# _root_ A versenyeken továbbra is lassúak voltunk , és egy idő után arra a következtetésre jutottunk , hogy valószínűleg nem bennünk van a hiba .
#goldHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
#predictedHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
(4,7),0.000223685 # DEPENDENCYPART_ARC
(4,8),-0.487292 # DEPENDENCYPART_ARC
(4,10),-1.17054 # DEPENDENCYPART_ARC
(4,11),-0.776041 # DEPENDENCYPART_ARC
(4,12),-1.4768 # DEPENDENCYPART_ARC
(4,13),-1.4304 # DEPENDENCYPART_ARC
(4,14),-1.87111 # DEPENDENCYPART_ARC
(4,15),-0.843462 # DEPENDENCYPART_ARC
(4,16),-0.875632 # DEPENDENCYPART_ARC
(4,17),-0.782528 # DEPENDENCYPART_ARC
(4,18),-1.22419 # DEPENDENCYPART_ARC
(4,19),-0.930277 # DEPENDENCYPART_ARC
(4,20),-1.00687 # DEPENDENCYPART_ARC
(4,21),-1.4972 # DEPENDENCYPART_ARC
(4,22),-1.71855 # DEPENDENCYPART_ARC
(4,23),-2.56137 # DEPENDENCYPART_ARC
(4,24),0.561577 # DEPENDENCYPART_ARC
(5,1),1.1257 # DEPENDENCYPART_ARC
(5,2),0.941384 # DEPENDENCYPART_ARC
(5,3),1.03691 # DEPENDENCYPART_ARC
(5,4),1.39776 # DEPENDENCYPART_ARC
(5,6),0.373371 # DEPENDENCYPART_ARC
(5,7),-0.31622 # DEPENDENCYPART_ARC
(5,8),-0.675148 # DEPENDENCYPART_ARC
(5,9),-0.84389 # DEPENDENCYPART_ARC
(5,10),-0.940497 # DEPENDENCYPART_ARC
(5,11),-0.625917 # DEPENDENCYPART_ARC
(5,12),-1.77189 # DEPENDENCYPART_ARC
(5,13),-1.23127 # DEPENDENCYPART_ARC
(5,14),-0.595498 # DEPENDENCYPART_ARC
(5,15),-0.327787 # DEPENDENCYPART_ARC
(5,16),-0.497136 # DEPENDENCYPART_ARC
(5,17),-0.738411 # DEPENDENCYPART_ARC
(5,18),-1.16088 # DEPENDENCYPART_ARC
(5,19),-1.1325 # DEPENDENCYPART_ARC
(5,20),-1.19289 # DEPENDENCYPART_ARC
(5,21),-0.712674 # DEPENDENCYPART_ARC
(5,22),-1.35937 # DEPENDENCYPART_ARC
(5,23),-1.89669 # DEPENDENCYPART_ARC
(5,24),1.02967 # DEPENDENCYPART_ARC
(6,1),0.394702 # DEPENDENCYPART_ARC
(6,2),3.62554 # DEPENDENCYPART_ARC
(6,3),2.60853 # DEPENDENCYPART_ARC
(6,4),3.27263 # DEPENDENCYPART_ARC
(6,5),3.44542 # DEPENDENCYPART_ARC
(6,7),1.90259 # DEPENDENCYPART_ARC
(6,8),0.671385 # DEPENDENCYPART_ARC
(6,9),-0.802962 # DEPENDENCYPART_ARC
(6,10),-1.20674 # DEPENDENCYPART_ARC
(6,11),0.459379 # DEPENDENCYPART_ARC
(6,12),-1.14966 # DEPENDENCYPART_ARC
(6,13),-0.355296 # DEPENDENCYPART_ARC
(6,14),-1.26026 # DEPENDENCYPART_ARC
(6,15),1.52742 # DEPENDENCYPART_ARC
(6,16),0.814527 # DEPENDENCYPART_ARC
(6,17),1.0081 # DEPENDENCYPART_ARC
(6,18),-0.712355 # DEPENDENCYPART_ARC
(6,19),-0.504105 # DEPENDENCYPART_ARC
(6,20),-0.891013 # DEPENDENCYPART_ARC
(6,21),0.37156 # DEPENDENCYPART_ARC
(6,22),-0.858625 # DEPENDENCYPART_ARC
(6,23),-3.27399 # DEPENDENCYPART_ARC
(6,24),2.70022 # DEPENDENCYPART_ARC
(8,1),-0.759511 # DEPENDENCYPART_ARC
(8,2),-0.455295 # DEPENDENCYPART_ARC
(8,3),0.0564557 # DEPENDENCYPART_ARC
(8,4),1.06606 # DEPENDENCYPART_ARC
(8,5),0.0452518 # DEPENDENCYPART_ARC
(8,6),2.21544 # DEPENDENCYPART_ARC
(8,7),2.29701 # DEPENDENCYPART_ARC
(8,10),0.793058 # DEPENDENCYPART_ARC
(8,11),0.994241 # DEPENDENCYPART_ARC
(8,12),-0.086774 # DEPENDENCYPART_ARC
(8,13),0.083664 # DEPENDENCYPART_ARC
(8,14),-0.507997 # DEPENDENCYPART_ARC
(8,15),2.08947 # DEPENDENCYPART_ARC
(8,16),0.484381 # DEPENDENCYPART_ARC
(8,17),0.875087 # DEPENDENCYPART_ARC
(8,18),-0.0634136 # DEPENDENCYPART_ARC
(8,19),0.226673 # DEPENDENCYPART_ARC
(8,20),0.228975 # DEPENDENCYPART_ARC
(8,21),0.826255 # DEPENDENCYPART_ARC
(8,22),-0.244261 # DEPENDENCYPART_ARC
(8,23),-1.42112 # DEPENDENCYPART_ARC
(8,24),4.18567 # DEPENDENCYPART_ARC
(9,5),-1.31303 # DEPENDENCYPART_ARC
(9,7),-0.50622 # DEPENDENCYPART_ARC
(9,16),-0.51128 # DEPENDENCYPART_ARC
(10,1),-1.46566 # DEPENDENCYPART_ARC
(10,2),-4.81494 # DEPENDENCYPART_ARC
(10,3),-1.9762 # DEPENDENCYPART_ARC
(10,4),-2.0568 # DEPENDENCYPART_ARC
(10,5),-3.80922 # DEPENDENCYPART_ARC
(10,6),-1.48696 # DEPENDENCYPART_ARC
(10,7),-0.89319 # DEPENDENCYPART_ARC
(10,8),-0.157878 # DEPENDENCYPART_ARC
(10,9),3.04243 # DEPENDENCYPART_ARC
(10,11),-0.411477 # DEPENDENCYPART_ARC
(10,12),-2.17785 # DEPENDENCYPART_ARC
(10,13),-1.43856 # DEPENDENCYPART_ARC
(10,14),-1.81372 # DEPENDENCYPART_ARC
(10,15),-1.08537 # DEPENDENCYPART_ARC
(10,16),-0.918454 # DEPENDENCYPART_ARC
(10,17),-1.41336 # DEPENDENCYPART_ARC
(10,18),-1.32257 # DEPENDENCYPART_ARC
(10,19),-1.42165 # DEPENDENCYPART_ARC
(10,20),-1.33274 # DEPENDENCYPART_ARC
(10,21),-1.69389 # DEPENDENCYPART_ARC
(10,22),-1.88993 # DEPENDENCYPART_ARC
(10,23),-3.16859 # DEPENDENCYPART_ARC
(10,24),-0.364944 # DEPENDENCYPART_ARC
(11,1),-1.04387 # DEPENDENCYPART_ARC
(11,2),-0.791235 # DEPENDENCYPART_ARC
(11,3),-0.905654 # DEPENDENCYPART_ARC
(11,4),-0.9692 # DEPENDENCYPART_ARC
(11,5),-0.891298 # DEPENDENCYPART_ARC
(11,6),-0.573233 # DEPENDENCYPART_ARC
(11,7),0.0572414 # DEPENDENCYPART_ARC
(11,8),1.08146 # DEPENDENCYPART_ARC
(11,10),3.23696 # DEPENDENCYPART_ARC
(11,12),-0.431671 # DEPENDENCYPART_ARC
(11,13),-0.509227 # DEPENDENCYPART_ARC
(11,14),-0.596089 # DEPENDENCYPART_ARC
(11,15),-0.203209 # DEPENDENCYPART_ARC
(11,16),-0.329613 # DEPENDENCYPART_ARC
(11,18),-0.532168 # DEPENDENCYPART_ARC
(11,19),-0.583653 # DEPENDENCYPART_ARC
(11,20),-0.617955 # DEPENDENCYPART_ARC
(11,21),-0.260421 # DEPENDENCYPART_ARC
(11,22),-0.729031 # DEPENDENCYPART_ARC
(11,23),-1.52508 # DEPENDENCYPART_ARC
(11,24),-0.273174 # DEPENDENCYPART_ARC
(12,1),-0.253466 # DEPENDENCYPART_ARC
(12,2),-1.40734 # DEPENDENCYPART_ARC
(12,3),-0.311304 # DEPENDENCYPART_ARC
(12,4),0.127463 # DEPENDENCYPART_ARC
(12,5),-1.53417 # DEPENDENCYPART_ARC
(12,6),-0.0397532 # DEPENDENCYPART_ARC
(12,7),-0.0103303 # DEPENDENCYPART_ARC
(12,8),0.0487106 # DEPENDENCYPART_ARC
(12,9),0.553348 # DEPENDENCYPART_ARC
(12,10),-0.843487 # DEPENDENCYPART_ARC
(12,11),0.290148 # DEPENDENCYPART_ARC
(12,13),-0.204169 # DEPENDENCYPART_ARC
(12,14),0.303884 # DEPENDENCYPART_ARC
(12,15),1.76418 # DEPENDENCYPART_ARC
(12,16),0.63005 # DEPENDENCYPART_ARC
(12,17),0.415755 # DEPENDENCYPART_ARC
(12,18),0.673081 # DEPENDENCYPART_ARC
(12,19),0.665139 # DEPENDENCYPART_ARC
(12,20),0.591108 # DEPENDENCYPART_ARC
(12,21),1.48621 # DEPENDENCYPART_ARC
(12,22),-0.307283 # DEPENDENCYPART_ARC
(12,23),0.514552 # DEPENDENCYPART_ARC
(12,24),1.12263 # DEPENDENCYPART_ARC
(13,2),-3.21344 # DEPENDENCYPART_ARC
(13,4),-1.68655 # DEPENDENCYPART_ARC
(13,5),-2.09631 # DEPENDENCYPART_ARC
(13,7),-0.967299 # DEPENDENCYPART_ARC
(13,8),-1.37168 # DEPENDENCYPART_ARC
(13,10),-2.3653 # DEPENDENCYPART_ARC
(13,14),-0.545355 # DEPENDENCYPART_ARC
(13,16),-0.339029 # DEPENDENCYPART_ARC
(13,23),-1.63853 # DEPENDENCYPART_ARC
(14,1),-2.66279 # DEPENDENCYPART_ARC
(14,2),-6.14314 # DEPENDENCYPART_ARC
(14,3),-1.79703 # DEPENDENCYPART_ARC
(14,4),-2.20314 # DEPENDENCYPART_ARC
(14,5),-4.71645 # DEPENDENCYPART_ARC
(14,6),-2.51578 # DEPENDENCYPART_ARC
(14,7),-1.51856 # DEPENDENCYPART_ARC
(14,8),-0.623593 # DEPENDENCYPART_ARC
(14,9),0.54832 # DEPENDENCYPART_ARC
(14,10),-1.98454 # DEPENDENCYPART_ARC
(14,11),-0.733509 # DEPENDENCYPART_ARC
(14,12),2.30138 # DEPENDENCYPART_ARC
(14,13),2.82344 # DEPENDENCYPART_ARC
(14,15),-1.11555 # DEPENDENCYPART_ARC
(14,16),-0.85697 # DEPENDENCYPART_ARC
(14,17),-1.29224 # DEPENDENCYPART_ARC
(14,18),-1.28567 # DEPENDENCYPART_ARC
(14,19),-1.42562 # DEPENDENCYPART_ARC
(14,20),-1.32973 # DEPENDENCYPART_ARC
(14,21),-1.90461 # DEPENDENCYPART_ARC
(14,22),-1.70117 # DEPENDENCYPART_ARC
(14,23),-2.88498 # DEPENDENCYPART_ARC
(14,24),-0.799501 # DEPENDENCYPART_ARC
(15,1),-0.635206 # DEPENDENCYPART_ARC
(15,2),1.36612 # DEPENDENCYPART_ARC
(15,3),0.698347 # DEPENDENCYPART_ARC
(15,4),0.615184 # DEPENDENCYPART_ARC
(15,5),0.4637 # DEPENDENCYPART_ARC
(15,6),-0.889549 # DEPENDENCYPART_ARC
(15,7),0.225915 # DEPENDENCYPART_ARC
(15,8),0.275365 # DEPENDENCYPART_ARC
(15,9),-0.0279221 # DEPENDENCYPART_ARC
(15,10),-0.538673 # DEPENDENCYPART_ARC
(15,11),2.39947 # DEPENDENCYPART_ARC
(15,12),0.824613 # DEPENDENCYPART_ARC
(15,13),0.707355 # DEPENDENCYPART_ARC
(15,14),3.48752 # DEPENDENCYPART_ARC
(15,16),1.79435 # DEPENDENCYPART_ARC
(15,17),2.74135 # DEPENDENCYPART_ARC
(15,18),0.281315 # DEPENDENCYPART_ARC
(15,19),0.365757 # DEPENDENCYPART_ARC
(15,20),0.14539 # DEPENDENCYPART_ARC
(15,21),1.43655 # DEPENDENCYPART_ARC
(15,22),-0.493519 # DEPENDENCYPART_ARC
(15,23),-1.86601 # DEPENDENCYPART_ARC
(15,24),2.06061 # DEPENDENCYPART_ARC
(17,1),-1.51961 # DEPENDENCYPART_ARC
(17,2),-0.929336 # DEPENDENCYPART_ARC
(17,3),0.179887 # DEPENDENCYPART_ARC
(17,4),0.208485 # DEPENDENCYPART_ARC
(17,5),-4.11387e-05 # DEPENDENCYPART_ARC
(17,6),0.285143 # DEPENDENCYPART_ARC
(17,7),0.553681 # DEPENDENCYPART_ARC
(17,8),0.457976 # DEPENDENCYPART_ARC
(17,10),0.188999 # DEPENDENCYPART_ARC
(17,11),0.583042 # DEPENDENCYPART_ARC
(17,12),-0.205534 # DEPENDENCYPART_ARC
(17,13),-0.294058 # DEPENDENCYPART_ARC
(17,14),0.5093 # DEPENDENCYPART_ARC
(17,15),1.09727 # DEPENDENCYPART_ARC
(17,16),1.59054 # DEPENDENCYPART_ARC
(17,18),-0.0345461 # DEPENDENCYPART_ARC
(17,19),0.0706482 # DEPENDENCYPART_ARC
(17,20),0.1291 # DEPENDENCYPART_ARC
(17,21),0.958602 # DEPENDENCYPART_ARC
(17,22),-0.85109 # DEPENDENCYPART_ARC
(17,23),-1.92256 # DEPENDENCYPART_ARC
(17,24),1.98375 # DEPENDENCYPART_ARC
(18,1),-2.94031 # DEPENDENCYPART_ARC
(18,2),-2.84651 # DEPENDENCYPART_ARC
(18,3),-2.30504 # DEPENDENCYPART_ARC
(18,4),-2.09057 # DEPENDENCYPART_ARC
(18,5),-2.31017 # DEPENDENCYPART_ARC
(18,6),-2.08918 # DEPENDENCYPART_ARC
(18,7),-1.88252 # DEPENDENCYPART_ARC
(18,8),-1.92928 # DEPENDENCYPART_ARC
(18,10),-2.13462 # DEPENDENCYPART_ARC
(18,11),-1.68001 # DEPENDENCYPART_ARC
(18,12),-2.09201 # DEPENDENCYPART_ARC
(18,13),-2.05681 # DEPENDENCYPART_ARC
(18,14),-1.68492 # DEPENDENCYPART_ARC
(18,15),-1.23468 # DEPENDENCYPART_ARC
(18,16),-1.14402 # DEPENDENCYPART_ARC
(18,17),-0.82949 # DEPENDENCYPART_ARC
(18,19),-0.484144 # DEPENDENCYPART_ARC
(18,20),-0.645993 # DEPENDENCYPART_ARC
(18,21),-0.219076 # DEPENDENCYPART_ARC
(18,22),-0.957899 # DEPENDENCYPART_ARC
(18,23),-1.23084 # DEPENDENCYPART_ARC
(18,24),-0.14516 # DEPENDENCYPART_ARC
(19,2),-1.16501 # DEPENDENCYPART_ARC
(19,3),-1.47717 # DEPENDENCYPART_ARC
(19,4),-0.913697 # DEPENDENCYPART_ARC
(19,5),-1.38701 # DEPENDENCYPART_ARC
(19,6),-0.767902 # DEPENDENCYPART_ARC
(19,7),-0.4022 # DEPENDENCYPART_ARC
(19,8),-0.814603 # DEPENDENCYPART_ARC
(19,10),-0.928276 # DEPENDENCYPART_ARC
(19,11),-0.388389 # DEPENDENCYPART_ARC
(19,12),-1.10381 # DEPENDENCYPART_ARC
(19,14),-0.600406 # DEPENDENCYPART_ARC
(19,15),-0.139189 # DEPENDENCYPART_ARC
(19,16),0.368055 # DEPENDENCYPART_ARC
(19,17),-0.138247 # DEPENDENCYPART_ARC
(19,18),0.520574 # DEPENDENCYPART_ARC
(19,20),-0.337859 # DEPENDENCYPART_ARC
(19,21),-0.0904715 # DEPENDENCYPART_ARC
(19,23),-0.831667 # DEPENDENCYPART_ARC
(19,24),0.0616256 # DEPENDENCYPART_ARC
(20,1),-2.11161 # DEPENDENCYPART_ARC
(20,2),-1.73945 # DEPENDENCYPART_ARC
(20,3),-1.30767 # DEPENDENCYPART_ARC
(20,4),-1.01547 # DEPENDENCYPART_ARC
(20,5),-1.18435 # DEPENDENCYPART_ARC
(20,6),-0.902788 # DEPENDENCYPART_ARC
(20,7),-0.963032 # DEPENDENCYPART_ARC
(20,8),-0.891848 # DEPENDENCYPART_ARC
(20,10),-1.21273 # DEPENDENCYPART_ARC
(20,12),-1.14216 # DEPENDENCYPART_ARC
(20,13),-1.23613 # DEPENDENCYPART_ARC
(20,14),-0.918033 # DEPENDENCYPART_ARC
(20,15),-0.353025 # DEPENDENCYPART_ARC
(20,16),-0.183602 # DEPENDENCYPART_ARC
(20,17),-0.174566 # DEPENDENCYPART_ARC
(20,18),0.13023 # DEPENDENCYPART_ARC
(20,19),0.672595 # DEPENDENCYPART_ARC
(20,21),0.285908 # DEPENDENCYPART_ARC
(20,22),-0.645785 # DEPENDENCYPART_ARC
(20,23),-0.588129 # DEPENDENCYPART_ARC
(20,24),-0.0781007 # DEPENDENCYPART_ARC
(21,1),-1.8892 # DEPENDENCYPART_ARC
(21,2),-1.16809 # DEPENDENCYPART_ARC
(21,3),-0.552771 # DEPENDENCYPART_ARC
(21,4),-0.952089 # DEPENDENCYPART_ARC
(21,5),-1.12 # DEPENDENCYPART_ARC
(21,6),-1.55935 # DEPENDENCYPART_ARC
(21,7),-0.275837 # DEPENDENCYPART_ARC
(21,8),-0.771125 # DEPENDENCYPART_ARC
(21,9),-1.01679 # DEPENDENCYPART_ARC
(21,10),-1.23797 # DEPENDENCYPART_ARC
(21,11),0.402217 # DEPENDENCYPART_ARC
(21,12),-0.954346 # DEPENDENCYPART_ARC
(21,13),-1.65058 # DEPENDENCYPART_ARC
(21,14),0.398867 # DEPENDENCYPART_ARC
(21,15),-0.738008 # DEPENDENCYPART_ARC
(21,16),0.724577 # DEPENDENCYPART_ARC
(21,17),-0.0314217 # DEPENDENCYPART_ARC
(21,18),1.81258 # DEPENDENCYPART_ARC
(21,19),1.84731 # DEPENDENCYPART_ARC
(21,20),2.53534 # DEPENDENCYPART_ARC
(21,22),-0.0745865 # DEPENDENCYPART_ARC
(21,23),2.54862 # DEPENDENCYPART_ARC
(21,24),1.84122 # DEPENDENCYPART_ARC
(22,2),-3.64467 # DEPENDENCYPART_ARC
(22,4),-2.20208 # DEPENDENCYPART_ARC
(22,5),-2.41267 # DEPENDENCYPART_ARC
(22,7),-1.68445 # DEPENDENCYPART_ARC
(22,8),-2.04401 # DEPENDENCYPART_ARC
(22,10),-3.5983 # DEPENDENCYPART_ARC
(22,14),-3.27454 # DEPENDENCYPART_ARC
(22,16),-1.34481 # DEPENDENCYPART_ARC
(22,23),-0.431443 # DEPENDENCYPART_ARC
(23,1),-4.46593 # DEPENDENCYPART_ARC
(23,2),-7.57323 # DEPENDENCYPART_ARC
(23,3),-2.41622 # DEPENDENCYPART_ARC
(23,4),-3.26849 # DEPENDENCYPART_ARC
(23,5),-6.31805 # DEPENDENCYPART_ARC
(23,6),-2.66874 # DEPENDENCYPART_ARC
(23,7),-3.27921 # DEPENDENCYPART_ARC
(23,8),-2.67249 # DEPENDENCYPART_ARC
(23,9),-1.6353 # DEPENDENCYPART_ARC
(23,10),-4.87225 # DEPENDENCYPART_ARC
(23,11),-1.94358 # DEPENDENCYPART_ARC
(23,12),-2.92346 # DEPENDENCYPART_ARC
(23,13),-1.48529 # DEPENDENCYPART_ARC
(23,14),-4.37606 # DEPENDENCYPART_ARC
(23,15),-1.90117 # DEPENDENCYPART_ARC
(23,16),-1.8366 # DEPENDENCYPART_ARC
(23,17),-1.69049 # DEPENDENCYPART_ARC
(23,18),-1.1544 # DEPENDENCYPART_ARC
(23,19),-0.966245 # DEPENDENCYPART_ARC
(23,20),-0.962549 # DEPENDENCYPART_ARC
(23,21),-1.03013 # DEPENDENCYPART_ARC
(23,22),3.01173 # DEPENDENCYPART_ARC
(23,24),-0.760458 # DEPENDENCYPART_ARC
