# _root_ Az előrehaladás akadálymentesnek látszik , amikor — már 1992-ben — jön egy váratlan kitérő : egy tárgyaláson a külföldi partner felfedezi , és pazar állásajánlattal téríti el .
#goldHeads=2,4,4,0,4,11,11,11,11,11,4,14,14,11,4,17,21,20,20,21,23,23,4,25,26,23,26,4,
#predictedHeads=2,4,4,11,4,11,11,11,11,11,21,14,14,11,11,17,21,20,20,21,23,23,0,25,26,23,26,4,
(12,20),-1.45852 # DEPENDENCYPART_ARC
(12,21),-0.956281 # DEPENDENCYPART_ARC
(12,22),-0.446498 # DEPENDENCYPART_ARC
(12,23),-1.09711 # DEPENDENCYPART_ARC
(12,24),-1.03575 # DEPENDENCYPART_ARC
(12,25),-1.84752 # DEPENDENCYPART_ARC
(12,26),-1.21168 # DEPENDENCYPART_ARC
(12,27),-1.06814 # DEPENDENCYPART_ARC
(12,28),-1.00246 # DEPENDENCYPART_ARC
(13,1),-1.70013 # DEPENDENCYPART_ARC
(13,2),-3.04383 # DEPENDENCYPART_ARC
(13,3),-1.54549 # DEPENDENCYPART_ARC
(13,4),-1.82313 # DEPENDENCYPART_ARC
(13,5),-1.4352 # DEPENDENCYPART_ARC
(13,6),-1.38404 # DEPENDENCYPART_ARC
(13,7),-0.965482 # DEPENDENCYPART_ARC
(13,8),-0.891487 # DEPENDENCYPART_ARC
(13,9),-0.526075 # DEPENDENCYPART_ARC
(13,10),-0.628187 # DEPENDENCYPART_ARC
(13,11),-0.685366 # DEPENDENCYPART_ARC
(13,12),1.38814 # DEPENDENCYPART_ARC
(13,14),-0.195941 # DEPENDENCYPART_ARC
(13,15),-0.36999 # DEPENDENCYPART_ARC
(13,16),-1.07355 # DEPENDENCYPART_ARC
(13,17),-1.08199 # DEPENDENCYPART_ARC
(13,18),-1.52537 # DEPENDENCYPART_ARC
(13,19),-1.50152 # DEPENDENCYPART_ARC
(13,20),-1.48432 # DEPENDENCYPART_ARC
(13,21),-0.957566 # DEPENDENCYPART_ARC
(13,22),-0.821314 # DEPENDENCYPART_ARC
(13,23),-1.07541 # DEPENDENCYPART_ARC
(13,24),-1.89165 # DEPENDENCYPART_ARC
(13,25),-2.27991 # DEPENDENCYPART_ARC
(13,26),-1.32802 # DEPENDENCYPART_ARC
(13,27),-1.33461 # DEPENDENCYPART_ARC
(13,28),-0.197733 # DEPENDENCYPART_ARC
(14,1),-0.138183 # DEPENDENCYPART_ARC
(14,2),-1.90595 # DEPENDENCYPART_ARC
(14,3),-2.52134 # DEPENDENCYPART_ARC
(14,4),-1.82705 # DEPENDENCYPART_ARC
(14,5),-1.05871 # DEPENDENCYPART_ARC
(14,6),-0.658919 # DEPENDENCYPART_ARC
(14,7),-0.488592 # DEPENDENCYPART_ARC
(14,8),-0.439131 # DEPENDENCYPART_ARC
(14,9),-1.54283 # DEPENDENCYPART_ARC
(14,10),-0.198827 # DEPENDENCYPART_ARC
(14,11),-0.634554 # DEPENDENCYPART_ARC
(14,12),3.567 # DEPENDENCYPART_ARC
(14,13),3.92154 # DEPENDENCYPART_ARC
(14,15),0.7659 # DEPENDENCYPART_ARC
(14,16),-0.126888 # DEPENDENCYPART_ARC
(14,17),-0.637288 # DEPENDENCYPART_ARC
(14,18),-0.566994 # DEPENDENCYPART_ARC
(14,19),-0.526226 # DEPENDENCYPART_ARC
(14,20),0.418113 # DEPENDENCYPART_ARC
(14,21),0.14127 # DEPENDENCYPART_ARC
(14,22),0.0963042 # DEPENDENCYPART_ARC
(14,23),-0.0496821 # DEPENDENCYPART_ARC
(14,24),-0.789788 # DEPENDENCYPART_ARC
(14,25),-1.00841 # DEPENDENCYPART_ARC
(14,26),-0.490869 # DEPENDENCYPART_ARC
(14,27),-0.416533 # DEPENDENCYPART_ARC
(14,28),0.899347 # DEPENDENCYPART_ARC
(15,1),-2.03734 # DEPENDENCYPART_ARC
(15,2),-3.05653 # DEPENDENCYPART_ARC
(15,3),-2.4086 # DEPENDENCYPART_ARC
(15,4),-2.27222 # DEPENDENCYPART_ARC
(15,5),-1.71802 # DEPENDENCYPART_ARC
(15,6),-1.98226 # DEPENDENCYPART_ARC
(15,7),-1.64789 # DEPENDENCYPART_ARC
(15,8),-1.88185 # DEPENDENCYPART_ARC
(15,9),-1.97146 # DEPENDENCYPART_ARC
(15,10),-1.6633 # DEPENDENCYPART_ARC
(15,11),-1.59887 # DEPENDENCYPART_ARC
(15,12),-1.13797 # DEPENDENCYPART_ARC
(15,13),-1.25307 # DEPENDENCYPART_ARC
(15,14),-1.31886 # DEPENDENCYPART_ARC
(15,16),-0.48258 # DEPENDENCYPART_ARC
(15,17),-0.913876 # DEPENDENCYPART_ARC
(15,18),-0.750022 # DEPENDENCYPART_ARC
(15,19),-0.865772 # DEPENDENCYPART_ARC
(15,20),-1.49495 # DEPENDENCYPART_ARC
(15,21),-0.886898 # DEPENDENCYPART_ARC
(15,22),-0.656652 # DEPENDENCYPART_ARC
(15,23),-0.688942 # DEPENDENCYPART_ARC
(15,24),-1.18538 # DEPENDENCYPART_ARC
(15,25),-1.79334 # DEPENDENCYPART_ARC
(15,26),-1.09832 # DEPENDENCYPART_ARC
(15,27),-1.00742 # DEPENDENCYPART_ARC
(15,28),-1.12594 # DEPENDENCYPART_ARC
(16,1),-2.24302 # DEPENDENCYPART_ARC
(16,2),-3.38222 # DEPENDENCYPART_ARC
(16,3),-2.36055 # DEPENDENCYPART_ARC
(16,4),-2.33036 # DEPENDENCYPART_ARC
(16,5),-1.90498 # DEPENDENCYPART_ARC
(16,6),-2.20534 # DEPENDENCYPART_ARC
(16,7),-1.87849 # DEPENDENCYPART_ARC
(16,8),-2.13455 # DEPENDENCYPART_ARC
(16,9),-2.14033 # DEPENDENCYPART_ARC
(16,10),-1.73951 # DEPENDENCYPART_ARC
(16,11),-1.8464 # DEPENDENCYPART_ARC
(16,12),-1.45889 # DEPENDENCYPART_ARC
(16,13),-1.51046 # DEPENDENCYPART_ARC
(16,14),-2.04424 # DEPENDENCYPART_ARC
(16,15),-0.883914 # DEPENDENCYPART_ARC
(16,17),-0.350767 # DEPENDENCYPART_ARC
(16,18),-0.593376 # DEPENDENCYPART_ARC
(16,19),-0.185451 # DEPENDENCYPART_ARC
(16,20),-1.03539 # DEPENDENCYPART_ARC
(16,21),-0.779091 # DEPENDENCYPART_ARC
(16,22),-0.344032 # DEPENDENCYPART_ARC
(16,23),-0.894098 # DEPENDENCYPART_ARC
(16,24),-0.901934 # DEPENDENCYPART_ARC
(16,25),-1.5734 # DEPENDENCYPART_ARC
(16,26),-1.00126 # DEPENDENCYPART_ARC
(16,27),-0.988588 # DEPENDENCYPART_ARC
(16,28),-0.974667 # DEPENDENCYPART_ARC
(17,1),-1.27199 # DEPENDENCYPART_ARC
(17,2),-3.85475 # DEPENDENCYPART_ARC
(17,3),-4.52262 # DEPENDENCYPART_ARC
(17,4),-3.69107 # DEPENDENCYPART_ARC
(17,5),-2.52901 # DEPENDENCYPART_ARC
(17,6),-1.97298 # DEPENDENCYPART_ARC
(17,7),-1.72763 # DEPENDENCYPART_ARC
(17,8),-1.76561 # DEPENDENCYPART_ARC
(17,9),-2.89421 # DEPENDENCYPART_ARC
(17,10),-1.58698 # DEPENDENCYPART_ARC
(17,11),-3.05293 # DEPENDENCYPART_ARC
(17,12),0.64969 # DEPENDENCYPART_ARC
(17,13),-0.338857 # DEPENDENCYPART_ARC
(17,14),-1.55054 # DEPENDENCYPART_ARC
(17,15),-0.947828 # DEPENDENCYPART_ARC
(17,16),3.50912 # DEPENDENCYPART_ARC
(17,18),-0.48805 # DEPENDENCYPART_ARC
(17,19),-0.493264 # DEPENDENCYPART_ARC
(17,20),0.153637 # DEPENDENCYPART_ARC
(17,21),0.0822358 # DEPENDENCYPART_ARC
(17,22),-0.0753456 # DEPENDENCYPART_ARC
(17,23),-0.13696 # DEPENDENCYPART_ARC
(17,24),-1.08112 # DEPENDENCYPART_ARC
(17,25),-0.982641 # DEPENDENCYPART_ARC
(17,26),-0.551237 # DEPENDENCYPART_ARC
(17,27),-0.488786 # DEPENDENCYPART_ARC
(17,28),0.471675 # DEPENDENCYPART_ARC
(18,1),-1.84701 # DEPENDENCYPART_ARC
(18,2),-3.26552 # DEPENDENCYPART_ARC
(18,3),-1.89192 # DEPENDENCYPART_ARC
(18,4),-2.38794 # DEPENDENCYPART_ARC
(18,5),-1.50564 # DEPENDENCYPART_ARC
(18,6),-1.90038 # DEPENDENCYPART_ARC
(18,7),-1.49535 # DEPENDENCYPART_ARC
(18,8),-1.78546 # DEPENDENCYPART_ARC
(18,9),-1.91617 # DEPENDENCYPART_ARC
(18,10),-1.35819 # DEPENDENCYPART_ARC
(18,11),-1.89851 # DEPENDENCYPART_ARC
(18,12),-1.14497 # DEPENDENCYPART_ARC
(18,13),-1.37438 # DEPENDENCYPART_ARC
(18,14),-2.25129 # DEPENDENCYPART_ARC
(18,15),-0.836479 # DEPENDENCYPART_ARC
(18,16),-0.531552 # DEPENDENCYPART_ARC
(18,17),-1.15614 # DEPENDENCYPART_ARC
(18,19),0.37287 # DEPENDENCYPART_ARC
