# _root_ Elébb egy , majd két téesz alakult a falu földjein : a Dózsa és a Petőfi , majd ezek egyesültek a nagy Egyetértésben .
#goldHeads=2,4,4,18,6,7,4,9,10,7,4,13,14,4,16,14,18,0,20,18,23,23,20,18,
#predictedHeads=4,4,4,0,6,7,4,9,10,7,7,13,14,7,16,14,18,7,20,18,23,23,20,4,
(1,19),-0.985343 # DEPENDENCYPART_ARC
(1,20),-0.804265 # DEPENDENCYPART_ARC
(1,21),-1.25213 # DEPENDENCYPART_ARC
(1,22),-1.76283 # DEPENDENCYPART_ARC
(1,23),-2.2152 # DEPENDENCYPART_ARC
(1,24),0.621429 # DEPENDENCYPART_ARC
(2,1),1.01202 # DEPENDENCYPART_ARC
(2,3),0.630931 # DEPENDENCYPART_ARC
(2,4),-0.172643 # DEPENDENCYPART_ARC
(2,5),-0.385183 # DEPENDENCYPART_ARC
(2,6),-0.250089 # DEPENDENCYPART_ARC
(2,7),0.58147 # DEPENDENCYPART_ARC
(2,8),-0.630304 # DEPENDENCYPART_ARC
(2,9),-0.722867 # DEPENDENCYPART_ARC
(2,10),-1.86477 # DEPENDENCYPART_ARC
(2,11),0.512364 # DEPENDENCYPART_ARC
(2,12),-0.763116 # DEPENDENCYPART_ARC
(2,13),-1.55056 # DEPENDENCYPART_ARC
(2,14),-0.508584 # DEPENDENCYPART_ARC
(2,15),-0.93051 # DEPENDENCYPART_ARC
(2,16),-1.69327 # DEPENDENCYPART_ARC
(2,17),-0.32213 # DEPENDENCYPART_ARC
(2,18),-0.537322 # DEPENDENCYPART_ARC
(2,19),-0.965649 # DEPENDENCYPART_ARC
(2,20),-0.387015 # DEPENDENCYPART_ARC
(2,21),-0.915498 # DEPENDENCYPART_ARC
(2,22),-0.721193 # DEPENDENCYPART_ARC
(2,23),-2.10658 # DEPENDENCYPART_ARC
(2,24),2.13391 # DEPENDENCYPART_ARC
(4,1),1.41481 # DEPENDENCYPART_ARC
(4,2),0.907643 # DEPENDENCYPART_ARC
(4,3),1.82517 # DEPENDENCYPART_ARC
(4,5),0.537332 # DEPENDENCYPART_ARC
(4,6),0.371317 # DEPENDENCYPART_ARC
(4,7),2.03165 # DEPENDENCYPART_ARC
(4,8),-0.245328 # DEPENDENCYPART_ARC
(4,9),-0.471242 # DEPENDENCYPART_ARC
(4,10),-0.58382 # DEPENDENCYPART_ARC
(4,11),1.09046 # DEPENDENCYPART_ARC
(4,12),-0.505844 # DEPENDENCYPART_ARC
(4,13),-1.08523 # DEPENDENCYPART_ARC
(4,14),0.424661 # DEPENDENCYPART_ARC
(4,15),-0.685226 # DEPENDENCYPART_ARC
(4,16),-1.07632 # DEPENDENCYPART_ARC
(4,17),0.264676 # DEPENDENCYPART_ARC
(4,18),0.0445464 # DEPENDENCYPART_ARC
(4,19),-0.552698 # DEPENDENCYPART_ARC
(4,20),0.213604 # DEPENDENCYPART_ARC
(4,21),-0.778164 # DEPENDENCYPART_ARC
(4,22),-0.609669 # DEPENDENCYPART_ARC
(4,23),-1.45656 # DEPENDENCYPART_ARC
(4,24),3.48172 # DEPENDENCYPART_ARC
(5,1),-1.01712 # DEPENDENCYPART_ARC
(5,2),-0.992514 # DEPENDENCYPART_ARC
(5,3),-1.13614 # DEPENDENCYPART_ARC
(5,4),-0.613669 # DEPENDENCYPART_ARC
(5,6),-0.453672 # DEPENDENCYPART_ARC
(5,7),-0.700091 # DEPENDENCYPART_ARC
(5,8),-1.43443 # DEPENDENCYPART_ARC
(5,9),-1.30135 # DEPENDENCYPART_ARC
(5,10),-2.54399 # DEPENDENCYPART_ARC
(5,11),-0.354786 # DEPENDENCYPART_ARC
(5,12),-1.65129 # DEPENDENCYPART_ARC
(5,13),-2.29789 # DEPENDENCYPART_ARC
(5,14),-1.30377 # DEPENDENCYPART_ARC
(5,15),-1.71089 # DEPENDENCYPART_ARC
(5,16),-2.54533 # DEPENDENCYPART_ARC
(5,17),-1.2557 # DEPENDENCYPART_ARC
(5,18),-1.48613 # DEPENDENCYPART_ARC
(5,19),-1.96333 # DEPENDENCYPART_ARC
(5,20),-2.01717 # DEPENDENCYPART_ARC
(5,21),-1.84402 # DEPENDENCYPART_ARC
(5,22),-1.70855 # DEPENDENCYPART_ARC
(5,23),-3.09056 # DEPENDENCYPART_ARC
(5,24),-0.56841 # DEPENDENCYPART_ARC
(6,1),0.182408 # DEPENDENCYPART_ARC
(6,2),0.735528 # DEPENDENCYPART_ARC
(6,3),0.481653 # DEPENDENCYPART_ARC
(6,4),0.745028 # DEPENDENCYPART_ARC
(6,5),3.35594 # DEPENDENCYPART_ARC
(6,7),-0.526061 # DEPENDENCYPART_ARC
(6,8),-1.33917 # DEPENDENCYPART_ARC
(6,9),-1.04086 # DEPENDENCYPART_ARC
(6,10),-2.08706 # DEPENDENCYPART_ARC
(6,11),-0.429231 # DEPENDENCYPART_ARC
(6,12),-1.52432 # DEPENDENCYPART_ARC
(6,13),-1.52477 # DEPENDENCYPART_ARC
(6,14),-0.89464 # DEPENDENCYPART_ARC
(6,15),-1.66594 # DEPENDENCYPART_ARC
(6,16),-1.68081 # DEPENDENCYPART_ARC
(6,17),-1.01354 # DEPENDENCYPART_ARC
(6,18),-1.32809 # DEPENDENCYPART_ARC
(6,19),-1.63806 # DEPENDENCYPART_ARC
(6,20),-1.4716 # DEPENDENCYPART_ARC
(6,21),-1.83341 # DEPENDENCYPART_ARC
(6,22),-2.32985 # DEPENDENCYPART_ARC
(6,23),-2.75686 # DEPENDENCYPART_ARC
(6,24),0.0782982 # DEPENDENCYPART_ARC
(7,1),1.12442 # DEPENDENCYPART_ARC
(7,2),-0.063179 # DEPENDENCYPART_ARC
(7,3),0.840796 # DEPENDENCYPART_ARC
(7,4),1.30148 # DEPENDENCYPART_ARC
(7,5),0.826631 # DEPENDENCYPART_ARC
(7,6),3.63675 # DEPENDENCYPART_ARC
(7,8),0.221752 # DEPENDENCYPART_ARC
(7,9),1.76081 # DEPENDENCYPART_ARC
(7,10),2.96967 # DEPENDENCYPART_ARC
(7,11),1.83132 # DEPENDENCYPART_ARC
(7,12),-0.132625 # DEPENDENCYPART_ARC
(7,13),0.108769 # DEPENDENCYPART_ARC
(7,14),0.698233 # DEPENDENCYPART_ARC
(7,15),-0.476098 # DEPENDENCYPART_ARC
(7,16),0.577798 # DEPENDENCYPART_ARC
(7,17),1.18917 # DEPENDENCYPART_ARC
(7,18),0.716165 # DEPENDENCYPART_ARC
(7,19),-1.15035 # DEPENDENCYPART_ARC
(7,20),1.10359 # DEPENDENCYPART_ARC
(7,21),-0.946118 # DEPENDENCYPART_ARC
(7,22),-1.31239 # DEPENDENCYPART_ARC
(7,23),-0.533605 # DEPENDENCYPART_ARC
(7,24),2.82892 # DEPENDENCYPART_ARC
(8,3),-1.72631 # DEPENDENCYPART_ARC
(8,4),-1.81222 # DEPENDENCYPART_ARC
(8,6),-2.73589 # DEPENDENCYPART_ARC
(8,9),-0.45498 # DEPENDENCYPART_ARC
(8,10),-1.07325 # DEPENDENCYPART_ARC
(8,11),-0.425536 # DEPENDENCYPART_ARC
(8,13),-1.26319 # DEPENDENCYPART_ARC
(8,14),-1.22088 # DEPENDENCYPART_ARC
(8,16),-1.57717 # DEPENDENCYPART_ARC
(8,17),-0.758562 # DEPENDENCYPART_ARC
(8,18),-1.28598 # DEPENDENCYPART_ARC
(8,22),-1.75784 # DEPENDENCYPART_ARC
(8,23),-2.27018 # DEPENDENCYPART_ARC
(9,1),-1.47365 # DEPENDENCYPART_ARC
(9,2),-1.53042 # DEPENDENCYPART_ARC
(9,3),-1.46269 # DEPENDENCYPART_ARC
(9,4),-1.15948 # DEPENDENCYPART_ARC
(9,5),-0.361474 # DEPENDENCYPART_ARC
(9,6),-2.37502 # DEPENDENCYPART_ARC
(9,7),-0.275639 # DEPENDENCYPART_ARC
(9,8),3.13616 # DEPENDENCYPART_ARC
(9,10),-1.75086 # DEPENDENCYPART_ARC
(9,11),-0.461787 # DEPENDENCYPART_ARC
(9,12),-1.44547 # DEPENDENCYPART_ARC
(9,13),-1.23133 # DEPENDENCYPART_ARC
(9,14),-1.07256 # DEPENDENCYPART_ARC
(9,15),-1.67058 # DEPENDENCYPART_ARC
(9,16),-1.63485 # DEPENDENCYPART_ARC
(9,17),-0.882543 # DEPENDENCYPART_ARC
(9,18),-1.34014 # DEPENDENCYPART_ARC
(9,19),-1.6647 # DEPENDENCYPART_ARC
(9,20),-1.31148 # DEPENDENCYPART_ARC
(9,21),-1.99154 # DEPENDENCYPART_ARC
(9,22),-2.43874 # DEPENDENCYPART_ARC
(9,23),-3.01727 # DEPENDENCYPART_ARC
(9,24),-0.447849 # DEPENDENCYPART_ARC
(10,1),-0.808278 # DEPENDENCYPART_ARC
(10,2),-1.26451 # DEPENDENCYPART_ARC
(10,3),-0.651034 # DEPENDENCYPART_ARC
(10,4),0.0113625 # DEPENDENCYPART_ARC
(10,5),-0.14245 # DEPENDENCYPART_ARC
(10,6),-0.346248 # DEPENDENCYPART_ARC
(10,7),-2.65917 # DEPENDENCYPART_ARC
(10,8),1.79087 # DEPENDENCYPART_ARC
(10,9),4.06589 # DEPENDENCYPART_ARC
(10,11),0.12515 # DEPENDENCYPART_ARC
(10,12),-1.0782 # DEPENDENCYPART_ARC
(10,13),-0.80864 # DEPENDENCYPART_ARC
(10,14),-0.523351 # DEPENDENCYPART_ARC
(10,15),-1.24006 # DEPENDENCYPART_ARC
(10,16),-1.28941 # DEPENDENCYPART_ARC
(10,17),-0.42344 # DEPENDENCYPART_ARC
(10,18),-0.766552 # DEPENDENCYPART_ARC
(10,19),-1.25418 # DEPENDENCYPART_ARC
(10,20),-0.898766 # DEPENDENCYPART_ARC
(10,21),-1.51778 # DEPENDENCYPART_ARC
(10,22),-1.85015 # DEPENDENCYPART_ARC
(10,23),-2.57644 # DEPENDENCYPART_ARC
(10,24),0.318809 # DEPENDENCYPART_ARC
(12,3),-1.99917 # DEPENDENCYPART_ARC
(12,4),-2.11876 # DEPENDENCYPART_ARC
(12,6),-3.59391 # DEPENDENCYPART_ARC
(12,9),-2.92864 # DEPENDENCYPART_ARC
(12,10),-3.03628 # DEPENDENCYPART_ARC
(12,11),-1.21209 # DEPENDENCYPART_ARC
(12,13),-0.473849 # DEPENDENCYPART_ARC
(12,14),-0.844097 # DEPENDENCYPART_ARC
(12,16),-1.17825 # DEPENDENCYPART_ARC
(12,17),-0.629874 # DEPENDENCYPART_ARC
(12,18),-0.985136 # DEPENDENCYPART_ARC
(12,22),-1.27376 # DEPENDENCYPART_ARC
(12,23),-2.09022 # DEPENDENCYPART_ARC
(13,1),-2.17749 # DEPENDENCYPART_ARC
(13,2),-3.58816 # DEPENDENCYPART_ARC
(13,3),-2.19777 # DEPENDENCYPART_ARC
(13,4),-1.76518 # DEPENDENCYPART_ARC
(13,5),-2.88782 # DEPENDENCYPART_ARC
(13,6),-4.27262 # DEPENDENCYPART_ARC
(13,7),-2.1555 # DEPENDENCYPART_ARC
(13,8),-0.387279 # DEPENDENCYPART_ARC
(13,9),-1.63581 # DEPENDENCYPART_ARC
(13,10),-4.04031 # DEPENDENCYPART_ARC
(13,11),-1.36866 # DEPENDENCYPART_ARC
(13,12),2.58475 # DEPENDENCYPART_ARC
(13,14),-1.36965 # DEPENDENCYPART_ARC
(13,15),-1.71684 # DEPENDENCYPART_ARC
(13,16),-1.45658 # DEPENDENCYPART_ARC
(13,17),-1.07777 # DEPENDENCYPART_ARC
(13,18),-1.71343 # DEPENDENCYPART_ARC
(13,19),-1.68322 # DEPENDENCYPART_ARC
(13,20),-1.56095 # DEPENDENCYPART_ARC
(13,21),-2.01133 # DEPENDENCYPART_ARC
(13,22),-2.11367 # DEPENDENCYPART_ARC
(13,23),-3.02825 # DEPENDENCYPART_ARC
(13,24),-0.792405 # DEPENDENCYPART_ARC
(14,1),-1.26286 # DEPENDENCYPART_ARC
(14,2),-0.677227 # DEPENDENCYPART_ARC
(14,3),0.246385 # DEPENDENCYPART_ARC
(14,4),0.0841604 # DEPENDENCYPART_ARC
(14,5),-0.623211 # DEPENDENCYPART_ARC
(14,6),-0.952248 # DEPENDENCYPART_ARC
(14,7),0.0197121 # DEPENDENCYPART_ARC
(14,8),-1.07211 # DEPENDENCYPART_ARC
(14,9),-0.260729 # DEPENDENCYPART_ARC
(14,10),-0.311402 # DEPENDENCYPART_ARC
(14,11),0.0957721 # DEPENDENCYPART_ARC
(14,12),-0.285707 # DEPENDENCYPART_ARC
(14,13),0.663496 # DEPENDENCYPART_ARC
(14,15),-0.289999 # DEPENDENCYPART_ARC
(14,16),1.06421 # DEPENDENCYPART_ARC
(14,17),-0.324782 # DEPENDENCYPART_ARC
(14,18),-0.179928 # DEPENDENCYPART_ARC
(14,19),-0.892932 # DEPENDENCYPART_ARC
(14,20),-0.0421375 # DEPENDENCYPART_ARC
(14,21),-0.764027 # DEPENDENCYPART_ARC
(14,22),-0.984379 # DEPENDENCYPART_ARC
(14,23),-0.528802 # DEPENDENCYPART_ARC
(14,24),0.688857 # DEPENDENCYPART_ARC
(15,3),-1.26719 # DEPENDENCYPART_ARC
(15,4),-1.73073 # DEPENDENCYPART_ARC
(15,6),-3.16862 # DEPENDENCYPART_ARC
(15,9),-2.78126 # DEPENDENCYPART_ARC
(15,10),-3.03032 # DEPENDENCYPART_ARC
(15,11),-1.09774 # DEPENDENCYPART_ARC
(15,13),-1.95551 # DEPENDENCYPART_ARC
(15,14),-0.375168 # DEPENDENCYPART_ARC
(15,16),-0.354763 # DEPENDENCYPART_ARC
(15,17),-0.359439 # DEPENDENCYPART_ARC
(15,18),-0.73267 # DEPENDENCYPART_ARC
(15,22),-0.985225 # DEPENDENCYPART_ARC
(15,23),-1.79177 # DEPENDENCYPART_ARC
(16,1),-2.28581 # DEPENDENCYPART_ARC
(16,2),-3.93477 # DEPENDENCYPART_ARC
(16,3),-2.32859 # DEPENDENCYPART_ARC
(16,4),-2.001 # DEPENDENCYPART_ARC
(16,5),-3.20335 # DEPENDENCYPART_ARC
(16,6),-4.64713 # DEPENDENCYPART_ARC
(16,7),-2.31262 # DEPENDENCYPART_ARC
(16,8),-1.39447 # DEPENDENCYPART_ARC
(16,9),-2.31769 # DEPENDENCYPART_ARC
(16,10),-4.74864 # DEPENDENCYPART_ARC
(16,11),-1.9259 # DEPENDENCYPART_ARC
(16,12),-0.291428 # DEPENDENCYPART_ARC
(16,13),-0.870151 # DEPENDENCYPART_ARC
(16,14),-0.152656 # DEPENDENCYPART_ARC
(16,15),2.69944 # DEPENDENCYPART_ARC
(16,17),-0.320902 # DEPENDENCYPART_ARC
(16,18),-1.18905 # DEPENDENCYPART_ARC
(16,19),-1.05439 # DEPENDENCYPART_ARC
(16,20),-0.662855 # DEPENDENCYPART_ARC
(16,21),-1.43232 # DEPENDENCYPART_ARC
(16,22),-1.41659 # DEPENDENCYPART_ARC
(16,23),-2.03952 # DEPENDENCYPART_ARC
(16,24),-0.169272 # DEPENDENCYPART_ARC
(18,1),0.452282 # DEPENDENCYPART_ARC
(18,2),-0.101702 # DEPENDENCYPART_ARC
(18,3),0.0612764 # DEPENDENCYPART_ARC
(18,4),0.753991 # DEPENDENCYPART_ARC
(18,5),-0.0707248 # DEPENDENCYPART_ARC
(18,6),-0.503194 # DEPENDENCYPART_ARC
(18,7),0.803045 # DEPENDENCYPART_ARC
(18,8),-0.651559 # DEPENDENCYPART_ARC
(18,9),-0.040265 # DEPENDENCYPART_ARC
(18,10),-0.344735 # DEPENDENCYPART_ARC
(18,11),0.386789 # DEPENDENCYPART_ARC
(18,12),-0.176221 # DEPENDENCYPART_ARC
(18,13),0.0144959 # DEPENDENCYPART_ARC
(18,14),0.559101 # DEPENDENCYPART_ARC
(18,15),0.215691 # DEPENDENCYPART_ARC
(18,16),0.142434 # DEPENDENCYPART_ARC
(18,17),1.96664 # DEPENDENCYPART_ARC
(18,19),-0.37394 # DEPENDENCYPART_ARC
(18,20),1.85231 # DEPENDENCYPART_ARC
(18,21),-0.296152 # DEPENDENCYPART_ARC
(18,22),-0.0491612 # DEPENDENCYPART_ARC
(18,23),-0.653267 # DEPENDENCYPART_ARC
(18,24),2.8001 # DEPENDENCYPART_ARC
(19,1),-0.962379 # DEPENDENCYPART_ARC
(19,2),-1.69147 # DEPENDENCYPART_ARC
(19,3),-1.0487 # DEPENDENCYPART_ARC
(19,4),-1.0249 # DEPENDENCYPART_ARC
(19,5),-1.64239 # DEPENDENCYPART_ARC
(19,6),-1.80944 # DEPENDENCYPART_ARC
(19,7),-1.53238 # DEPENDENCYPART_ARC
(19,8),-0.657248 # DEPENDENCYPART_ARC
(19,9),-1.48908 # DEPENDENCYPART_ARC
(19,10),-1.37961 # DEPENDENCYPART_ARC
(19,11),-0.850363 # DEPENDENCYPART_ARC
(19,12),-0.310803 # DEPENDENCYPART_ARC
(19,13),-1.156 # DEPENDENCYPART_ARC
(19,14),-0.785861 # DEPENDENCYPART_ARC
(19,15),-0.203804 # DEPENDENCYPART_ARC
(19,16),-1.01857 # DEPENDENCYPART_ARC
(19,17),-0.858809 # DEPENDENCYPART_ARC
(19,18),-0.0361425 # DEPENDENCYPART_ARC
(19,20),0.519412 # DEPENDENCYPART_ARC
(19,21),-0.922137 # DEPENDENCYPART_ARC
(19,22),-0.281845 # DEPENDENCYPART_ARC
(19,23),0.0870164 # DEPENDENCYPART_ARC
(19,24),-0.133539 # DEPENDENCYPART_ARC
(20,1),-0.642681 # DEPENDENCYPART_ARC
(20,2),-2.49599 # DEPENDENCYPART_ARC
(20,3),-0.713077 # DEPENDENCYPART_ARC
(20,4),-0.242167 # DEPENDENCYPART_ARC
(20,5),-2.31198 # DEPENDENCYPART_ARC
(20,6),-0.666372 # DEPENDENCYPART_ARC
(20,7),-1.41016 # DEPENDENCYPART_ARC
(20,8),-0.870508 # DEPENDENCYPART_ARC
(20,9),-1.1037 # DEPENDENCYPART_ARC
(20,10),0.756126 # DEPENDENCYPART_ARC
(20,11),0.366136 # DEPENDENCYPART_ARC
(20,12),-0.675187 # DEPENDENCYPART_ARC
(20,13),-0.0648527 # DEPENDENCYPART_ARC
(20,14),0.571657 # DEPENDENCYPART_ARC
(20,15),-0.671503 # DEPENDENCYPART_ARC
(20,16),-0.349019 # DEPENDENCYPART_ARC
(20,17),0.710261 # DEPENDENCYPART_ARC
(20,18),1.20461 # DEPENDENCYPART_ARC
(20,19),2.53877 # DEPENDENCYPART_ARC
(20,21),0.142497 # DEPENDENCYPART_ARC
(20,22),0.0763566 # DEPENDENCYPART_ARC
(20,23),2.66226 # DEPENDENCYPART_ARC
(20,24),1.73209 # DEPENDENCYPART_ARC
(21,3),-1.76124 # DEPENDENCYPART_ARC
(21,4),-2.25108 # DEPENDENCYPART_ARC
(21,6),-3.84989 # DEPENDENCYPART_ARC
(21,9),-3.67041 # DEPENDENCYPART_ARC
(21,10),-3.98227 # DEPENDENCYPART_ARC
(21,11),-1.80402 # DEPENDENCYPART_ARC
(21,13),-3.28344 # DEPENDENCYPART_ARC
(21,14),-1.86792 # DEPENDENCYPART_ARC
(21,16),-3.08785 # DEPENDENCYPART_ARC
(21,17),-1.5001 # DEPENDENCYPART_ARC
(21,18),-1.53208 # DEPENDENCYPART_ARC
(21,22),0.391027 # DEPENDENCYPART_ARC
(21,23),-0.606098 # DEPENDENCYPART_ARC
(22,1),-3.52703 # DEPENDENCYPART_ARC
(22,2),-2.84726 # DEPENDENCYPART_ARC
(22,3),-1.988 # DEPENDENCYPART_ARC
(22,4),-2.03263 # DEPENDENCYPART_ARC
(22,5),-3.07013 # DEPENDENCYPART_ARC
(22,6),-4.99446 # DEPENDENCYPART_ARC
(22,7),-2.85755 # DEPENDENCYPART_ARC
(22,8),-2.5684 # DEPENDENCYPART_ARC
(22,9),-4.34724 # DEPENDENCYPART_ARC
(22,10),-4.39082 # DEPENDENCYPART_ARC
(22,11),-1.43453 # DEPENDENCYPART_ARC
(22,12),-2.26714 # DEPENDENCYPART_ARC
(22,13),-3.77092 # DEPENDENCYPART_ARC
(22,14),-1.42355 # DEPENDENCYPART_ARC
(22,15),-1.80214 # DEPENDENCYPART_ARC
(22,16),-3.65165 # DEPENDENCYPART_ARC
(22,17),-1.44347 # DEPENDENCYPART_ARC
(22,18),-1.50015 # DEPENDENCYPART_ARC
(22,19),-2.31231 # DEPENDENCYPART_ARC
(22,20),-1.4871 # DEPENDENCYPART_ARC
(22,21),0.646298 # DEPENDENCYPART_ARC
(22,23),-0.674198 # DEPENDENCYPART_ARC
(22,24),-1.33579 # DEPENDENCYPART_ARC
(23,1),-2.32428 # DEPENDENCYPART_ARC
(23,2),-4.45254 # DEPENDENCYPART_ARC
(23,3),-2.55527 # DEPENDENCYPART_ARC
(23,4),-1.81592 # DEPENDENCYPART_ARC
(23,5),-3.49767 # DEPENDENCYPART_ARC
(23,6),-5.48874 # DEPENDENCYPART_ARC
(23,7),-3.02892 # DEPENDENCYPART_ARC
(23,8),-3.08964 # DEPENDENCYPART_ARC
(23,9),-4.06655 # DEPENDENCYPART_ARC
(23,10),-5.91236 # DEPENDENCYPART_ARC
(23,11),-3.19362 # DEPENDENCYPART_ARC
(23,12),-2.3696 # DEPENDENCYPART_ARC
(23,13),-3.32096 # DEPENDENCYPART_ARC
(23,14),-1.38243 # DEPENDENCYPART_ARC
(23,15),-1.16518 # DEPENDENCYPART_ARC
(23,16),-3.33364 # DEPENDENCYPART_ARC
(23,17),-1.83133 # DEPENDENCYPART_ARC
(23,18),-0.597998 # DEPENDENCYPART_ARC
(23,19),-1.91941 # DEPENDENCYPART_ARC
(23,20),-1.16605 # DEPENDENCYPART_ARC
(23,21),2.17148 # DEPENDENCYPART_ARC
(23,22),2.45526 # DEPENDENCYPART_ARC
(23,24),-0.463686 # DEPENDENCYPART_ARC
