# _root_ Az események hátterét kutatva folyamatokat , trendeket szándékozik bemutatni , segítve a polgárosulási folyamatot és a város jövőképének közös formálását .
#goldHeads=2,3,4,8,9,9,9,0,8,8,8,14,14,11,11,17,18,20,20,11,8,
#predictedHeads=2,3,9,9,9,8,9,0,8,11,4,14,14,11,18,17,18,19,20,11,11,
(5,15),-0.151498 # DEPENDENCYPART_ARC
(5,16),-0.870024 # DEPENDENCYPART_ARC
(5,17),-2.45916 # DEPENDENCYPART_ARC
(5,18),-2.11559 # DEPENDENCYPART_ARC
(5,19),-1.39911 # DEPENDENCYPART_ARC
(5,20),-2.14078 # DEPENDENCYPART_ARC
(5,21),0.777775 # DEPENDENCYPART_ARC
(6,1),-1.84818 # DEPENDENCYPART_ARC
(6,2),-2.62572 # DEPENDENCYPART_ARC
(6,3),-2.40524 # DEPENDENCYPART_ARC
(6,4),-1.3875 # DEPENDENCYPART_ARC
(6,5),-1.64157 # DEPENDENCYPART_ARC
(6,7),-1.5466 # DEPENDENCYPART_ARC
(6,8),-1.32531 # DEPENDENCYPART_ARC
(6,9),-1.48379 # DEPENDENCYPART_ARC
(6,10),-1.27437 # DEPENDENCYPART_ARC
(6,11),-1.68731 # DEPENDENCYPART_ARC
(6,12),-1.68085 # DEPENDENCYPART_ARC
(6,13),-1.87905 # DEPENDENCYPART_ARC
(6,14),-2.53753 # DEPENDENCYPART_ARC
(6,15),-1.43453 # DEPENDENCYPART_ARC
(6,16),-1.76452 # DEPENDENCYPART_ARC
(6,17),-2.7988 # DEPENDENCYPART_ARC
(6,18),-2.90015 # DEPENDENCYPART_ARC
(6,19),-2.09992 # DEPENDENCYPART_ARC
(6,20),-3.0454 # DEPENDENCYPART_ARC
(6,21),-1.82006 # DEPENDENCYPART_ARC
(7,1),0.998048 # DEPENDENCYPART_ARC
(7,2),-0.185085 # DEPENDENCYPART_ARC
(7,3),-1.2615 # DEPENDENCYPART_ARC
(7,4),0.534512 # DEPENDENCYPART_ARC
(7,5),0.556443 # DEPENDENCYPART_ARC
(7,6),0.858015 # DEPENDENCYPART_ARC
(7,8),-0.622415 # DEPENDENCYPART_ARC
(7,9),-0.430683 # DEPENDENCYPART_ARC
(7,10),0.0828803 # DEPENDENCYPART_ARC
(7,11),-0.740904 # DEPENDENCYPART_ARC
(7,12),-0.965345 # DEPENDENCYPART_ARC
(7,13),-1.19768 # DEPENDENCYPART_ARC
(7,14),-1.56984 # DEPENDENCYPART_ARC
(7,15),-0.378119 # DEPENDENCYPART_ARC
(7,16),-1.07284 # DEPENDENCYPART_ARC
(7,17),-2.35638 # DEPENDENCYPART_ARC
(7,18),-2.42872 # DEPENDENCYPART_ARC
(7,19),-1.66884 # DEPENDENCYPART_ARC
(7,20),-2.38455 # DEPENDENCYPART_ARC
(7,21),0.0915837 # DEPENDENCYPART_ARC
(8,1),-0.41292 # DEPENDENCYPART_ARC
(8,2),0.978253 # DEPENDENCYPART_ARC
(8,3),1.20523 # DEPENDENCYPART_ARC
(8,4),1.64481 # DEPENDENCYPART_ARC
(8,5),0.427852 # DEPENDENCYPART_ARC
(8,6),1.5725 # DEPENDENCYPART_ARC
(8,7),2.30419 # DEPENDENCYPART_ARC
(8,9),3.49965 # DEPENDENCYPART_ARC
(8,10),1.03229 # DEPENDENCYPART_ARC
(8,11),0.0841069 # DEPENDENCYPART_ARC
(8,12),-1.13405 # DEPENDENCYPART_ARC
(8,13),-1.15682 # DEPENDENCYPART_ARC
(8,14),-0.983693 # DEPENDENCYPART_ARC
(8,15),-0.0433912 # DEPENDENCYPART_ARC
(8,16),-1.30726 # DEPENDENCYPART_ARC
(8,17),-1.35714 # DEPENDENCYPART_ARC
(8,18),-0.780315 # DEPENDENCYPART_ARC
(8,19),-1.49366 # DEPENDENCYPART_ARC
(8,20),-0.590699 # DEPENDENCYPART_ARC
(8,21),0.985756 # DEPENDENCYPART_ARC
(9,1),0.0261352 # DEPENDENCYPART_ARC
(9,2),0.0272966 # DEPENDENCYPART_ARC
(9,3),2.9956 # DEPENDENCYPART_ARC
(9,4),1.65449 # DEPENDENCYPART_ARC
(9,5),2.09389 # DEPENDENCYPART_ARC
(9,6),1.37374 # DEPENDENCYPART_ARC
(9,7),4.11997 # DEPENDENCYPART_ARC
(9,8),1.79631 # DEPENDENCYPART_ARC
(9,10),0.642082 # DEPENDENCYPART_ARC
(9,11),0.0929421 # DEPENDENCYPART_ARC
(9,12),-0.700423 # DEPENDENCYPART_ARC
(9,13),0.00676474 # DEPENDENCYPART_ARC
(9,14),0.51201 # DEPENDENCYPART_ARC
(9,15),-0.590954 # DEPENDENCYPART_ARC
(9,16),-0.953235 # DEPENDENCYPART_ARC
(9,17),-2.16523 # DEPENDENCYPART_ARC
(9,18),-1.12054 # DEPENDENCYPART_ARC
(9,19),-0.339369 # DEPENDENCYPART_ARC
(9,20),0.75406 # DEPENDENCYPART_ARC
(9,21),1.01775 # DEPENDENCYPART_ARC
(10,1),-2.56344 # DEPENDENCYPART_ARC
(10,2),-3.38297 # DEPENDENCYPART_ARC
(10,3),-3.33478 # DEPENDENCYPART_ARC
(10,4),-2.51666 # DEPENDENCYPART_ARC
(10,5),-3.24298 # DEPENDENCYPART_ARC
(10,6),-2.21597 # DEPENDENCYPART_ARC
(10,7),-2.83052 # DEPENDENCYPART_ARC
(10,8),-2.10801 # DEPENDENCYPART_ARC
(10,9),-1.18378 # DEPENDENCYPART_ARC
(10,11),-1.3738 # DEPENDENCYPART_ARC
(10,12),-1.53342 # DEPENDENCYPART_ARC
(10,13),-1.6647 # DEPENDENCYPART_ARC
(10,14),-2.25561 # DEPENDENCYPART_ARC
(10,15),-1.55299 # DEPENDENCYPART_ARC
(10,16),-1.7883 # DEPENDENCYPART_ARC
(10,17),-2.67431 # DEPENDENCYPART_ARC
(10,18),-2.74974 # DEPENDENCYPART_ARC
(10,19),-2.07053 # DEPENDENCYPART_ARC
(10,20),-2.83948 # DEPENDENCYPART_ARC
(10,21),-1.79735 # DEPENDENCYPART_ARC
(11,1),-0.165052 # DEPENDENCYPART_ARC
(11,2),0.277573 # DEPENDENCYPART_ARC
(11,3),0.18477 # DEPENDENCYPART_ARC
(11,4),0.435991 # DEPENDENCYPART_ARC
(11,5),0.0489027 # DEPENDENCYPART_ARC
(11,6),0.46458 # DEPENDENCYPART_ARC
(11,7),0.788478 # DEPENDENCYPART_ARC
(11,8),0.959115 # DEPENDENCYPART_ARC
(11,9),1.09159 # DEPENDENCYPART_ARC
(11,10),1.20969 # DEPENDENCYPART_ARC
(11,12),0.741362 # DEPENDENCYPART_ARC
(11,13),1.15434 # DEPENDENCYPART_ARC
(11,14),1.19215 # DEPENDENCYPART_ARC
(11,15),1.32529 # DEPENDENCYPART_ARC
(11,16),0.499888 # DEPENDENCYPART_ARC
(11,17),0.761429 # DEPENDENCYPART_ARC
(11,18),0.711576 # DEPENDENCYPART_ARC
(11,19),0.349621 # DEPENDENCYPART_ARC
(11,20),0.932952 # DEPENDENCYPART_ARC
(11,21),1.7574 # DEPENDENCYPART_ARC
(12,1),-2.01003 # DEPENDENCYPART_ARC
(12,2),-3.11584 # DEPENDENCYPART_ARC
(12,3),-3.50187 # DEPENDENCYPART_ARC
(12,4),-2.12335 # DEPENDENCYPART_ARC
(12,5),-2.9464 # DEPENDENCYPART_ARC
(12,6),-1.63041 # DEPENDENCYPART_ARC
(12,7),-2.77216 # DEPENDENCYPART_ARC
(12,8),-2.17627 # DEPENDENCYPART_ARC
(12,9),-1.45803 # DEPENDENCYPART_ARC
(12,10),-1.18469 # DEPENDENCYPART_ARC
(12,11),-0.574458 # DEPENDENCYPART_ARC
(12,13),0.539038 # DEPENDENCYPART_ARC
(12,14),-0.501719 # DEPENDENCYPART_ARC
(12,15),-0.512636 # DEPENDENCYPART_ARC
(12,16),-0.614153 # DEPENDENCYPART_ARC
(12,17),-0.98776 # DEPENDENCYPART_ARC
(12,18),-1.62646 # DEPENDENCYPART_ARC
(12,19),-0.877128 # DEPENDENCYPART_ARC
(12,20),-1.826 # DEPENDENCYPART_ARC
(12,21),-1.72342 # DEPENDENCYPART_ARC
(13,1),-1.7795 # DEPENDENCYPART_ARC
(13,2),-3.05065 # DEPENDENCYPART_ARC
(13,3),-2.23654 # DEPENDENCYPART_ARC
(13,4),-1.48139 # DEPENDENCYPART_ARC
(13,5),-2.60948 # DEPENDENCYPART_ARC
(13,6),-1.34789 # DEPENDENCYPART_ARC
(13,7),-2.30478 # DEPENDENCYPART_ARC
(13,8),-1.83722 # DEPENDENCYPART_ARC
(13,9),-1.1094 # DEPENDENCYPART_ARC
(13,10),-0.760264 # DEPENDENCYPART_ARC
(13,11),-0.271239 # DEPENDENCYPART_ARC
(13,12),0.899848 # DEPENDENCYPART_ARC
(13,14),-0.905113 # DEPENDENCYPART_ARC
(13,15),-1.19868 # DEPENDENCYPART_ARC
(13,16),-1.4425 # DEPENDENCYPART_ARC
(13,17),-1.41081 # DEPENDENCYPART_ARC
(13,18),-1.53913 # DEPENDENCYPART_ARC
(13,19),-1.57893 # DEPENDENCYPART_ARC
(13,20),-2.40859 # DEPENDENCYPART_ARC
(13,21),-0.949341 # DEPENDENCYPART_ARC
(14,1),-0.586144 # DEPENDENCYPART_ARC
(14,2),-2.7986 # DEPENDENCYPART_ARC
(14,3),-4.63646 # DEPENDENCYPART_ARC
(14,4),-0.928015 # DEPENDENCYPART_ARC
(14,5),-4.7927 # DEPENDENCYPART_ARC
(14,6),-1.51925 # DEPENDENCYPART_ARC
(14,7),-4.22468 # DEPENDENCYPART_ARC
(14,8),-2.17754 # DEPENDENCYPART_ARC
(14,9),0.198525 # DEPENDENCYPART_ARC
(14,10),-0.188483 # DEPENDENCYPART_ARC
(14,11),0.0129085 # DEPENDENCYPART_ARC
(14,12),2.88585 # DEPENDENCYPART_ARC
(14,13),3.69518 # DEPENDENCYPART_ARC
(14,15),-0.796936 # DEPENDENCYPART_ARC
(14,16),-1.33036 # DEPENDENCYPART_ARC
(14,17),-1.78363 # DEPENDENCYPART_ARC
(14,18),-1.81246 # DEPENDENCYPART_ARC
(14,19),-1.7471 # DEPENDENCYPART_ARC
(14,20),-1.94946 # DEPENDENCYPART_ARC
(14,21),-0.674799 # DEPENDENCYPART_ARC
(15,1),-1.16305 # DEPENDENCYPART_ARC
(15,2),-0.778063 # DEPENDENCYPART_ARC
(15,3),-1.17412 # DEPENDENCYPART_ARC
(15,4),-1.24263 # DEPENDENCYPART_ARC
(15,5),-0.945619 # DEPENDENCYPART_ARC
(15,6),0.703673 # DEPENDENCYPART_ARC
(15,7),-1.16383 # DEPENDENCYPART_ARC
(15,8),0.0271826 # DEPENDENCYPART_ARC
(15,9),-0.777417 # DEPENDENCYPART_ARC
(15,10),0.610883 # DEPENDENCYPART_ARC
(15,11),0.058122 # DEPENDENCYPART_ARC
(15,12),-0.212202 # DEPENDENCYPART_ARC
(15,13),-0.193857 # DEPENDENCYPART_ARC
(15,14),0.548179 # DEPENDENCYPART_ARC
(15,16),-0.102981 # DEPENDENCYPART_ARC
(15,17),1.12839 # DEPENDENCYPART_ARC
(15,18),0.588421 # DEPENDENCYPART_ARC
(15,19),-0.117208 # DEPENDENCYPART_ARC
(15,20),0.126265 # DEPENDENCYPART_ARC
(15,21),0.221986 # DEPENDENCYPART_ARC
(16,1),-2.11376 # DEPENDENCYPART_ARC
(16,2),-3.28381 # DEPENDENCYPART_ARC
(16,3),-3.65177 # DEPENDENCYPART_ARC
(16,4),-2.2386 # DEPENDENCYPART_ARC
(16,5),-3.16112 # DEPENDENCYPART_ARC
(16,6),-1.62745 # DEPENDENCYPART_ARC
(16,7),-2.98139 # DEPENDENCYPART_ARC
(16,8),-2.44931 # DEPENDENCYPART_ARC
(16,9),-1.89088 # DEPENDENCYPART_ARC
(16,10),-1.0828 # DEPENDENCYPART_ARC
(16,11),-1.56597 # DEPENDENCYPART_ARC
(16,12),-1.30473 # DEPENDENCYPART_ARC
(16,13),-1.27425 # DEPENDENCYPART_ARC
(16,14),-1.99669 # DEPENDENCYPART_ARC
(16,15),-0.434198 # DEPENDENCYPART_ARC
(16,17),-0.41238 # DEPENDENCYPART_ARC
(16,18),-0.980437 # DEPENDENCYPART_ARC
(16,19),-0.595871 # DEPENDENCYPART_ARC
(16,20),-1.59848 # DEPENDENCYPART_ARC
(16,21),-1.72528 # DEPENDENCYPART_ARC
(17,1),-1.92 # DEPENDENCYPART_ARC
(17,2),-4.22123 # DEPENDENCYPART_ARC
(17,3),-6.62796 # DEPENDENCYPART_ARC
(17,4),-2.0144 # DEPENDENCYPART_ARC
(17,5),-6.50757 # DEPENDENCYPART_ARC
(17,6),-2.23183 # DEPENDENCYPART_ARC
(17,7),-6.12702 # DEPENDENCYPART_ARC
(17,8),-2.60361 # DEPENDENCYPART_ARC
(17,9),-0.713499 # DEPENDENCYPART_ARC
(17,10),-1.11782 # DEPENDENCYPART_ARC
(17,11),-1.42937 # DEPENDENCYPART_ARC
(17,12),0.0237782 # DEPENDENCYPART_ARC
(17,13),-0.238636 # DEPENDENCYPART_ARC
(17,14),-2.63187 # DEPENDENCYPART_ARC
(17,15),0.0517147 # DEPENDENCYPART_ARC
(17,16),3.49489 # DEPENDENCYPART_ARC
(17,18),-1.15126 # DEPENDENCYPART_ARC
(17,19),-1.27098 # DEPENDENCYPART_ARC
(17,20),-1.64686 # DEPENDENCYPART_ARC
(17,21),-0.901337 # DEPENDENCYPART_ARC
(18,1),-2.84005 # DEPENDENCYPART_ARC
(18,2),-0.77879 # DEPENDENCYPART_ARC
(18,3),-5.66526 # DEPENDENCYPART_ARC
(18,4),-0.83978 # DEPENDENCYPART_ARC
(18,5),-4.32457 # DEPENDENCYPART_ARC
(18,6),-1.03376 # DEPENDENCYPART_ARC
(18,7),-4.27248 # DEPENDENCYPART_ARC
(18,8),-3.14882 # DEPENDENCYPART_ARC
(18,9),-0.368341 # DEPENDENCYPART_ARC
(18,10),-0.376392 # DEPENDENCYPART_ARC
(18,11),-0.326371 # DEPENDENCYPART_ARC
(18,12),-0.403149 # DEPENDENCYPART_ARC
(18,13),-0.0108855 # DEPENDENCYPART_ARC
(18,14),-1.16642 # DEPENDENCYPART_ARC
(18,15),1.47407 # DEPENDENCYPART_ARC
(18,16),1.68445 # DEPENDENCYPART_ARC
(18,17),4.79725 # DEPENDENCYPART_ARC
(18,19),-0.467754 # DEPENDENCYPART_ARC
(18,20),-0.90101 # DEPENDENCYPART_ARC
(18,21),-0.151752 # DEPENDENCYPART_ARC
(19,1),-1.2223 # DEPENDENCYPART_ARC
(19,2),-1.71491 # DEPENDENCYPART_ARC
(19,3),-1.23358 # DEPENDENCYPART_ARC
(19,4),-0.934012 # DEPENDENCYPART_ARC
(19,5),-1.65923 # DEPENDENCYPART_ARC
(19,6),-0.580708 # DEPENDENCYPART_ARC
(19,7),-1.42306 # DEPENDENCYPART_ARC
(19,8),-1.17224 # DEPENDENCYPART_ARC
(19,9),-0.494799 # DEPENDENCYPART_ARC
(19,10),-0.285048 # DEPENDENCYPART_ARC
(19,11),-0.383701 # DEPENDENCYPART_ARC
(19,12),-0.455637 # DEPENDENCYPART_ARC
(19,13),-0.709142 # DEPENDENCYPART_ARC
(19,14),0.482406 # DEPENDENCYPART_ARC
(19,15),0.757523 # DEPENDENCYPART_ARC
(19,16),0.36264 # DEPENDENCYPART_ARC
(19,17),0.85353 # DEPENDENCYPART_ARC
(19,18),1.0229 # DEPENDENCYPART_ARC
(19,20),-0.929038 # DEPENDENCYPART_ARC
(19,21),-0.443537 # DEPENDENCYPART_ARC
(20,1),-2.35364 # DEPENDENCYPART_ARC
(20,2),-0.292775 # DEPENDENCYPART_ARC
(20,3),-5.26376 # DEPENDENCYPART_ARC
(20,4),-0.437287 # DEPENDENCYPART_ARC
(20,5),-3.55346 # DEPENDENCYPART_ARC
(20,6),-1.06675 # DEPENDENCYPART_ARC
(20,7),-3.24844 # DEPENDENCYPART_ARC
(20,8),-2.55074 # DEPENDENCYPART_ARC
(20,9),0.203508 # DEPENDENCYPART_ARC
(20,10),0.245367 # DEPENDENCYPART_ARC
(20,11),-0.0992477 # DEPENDENCYPART_ARC
(20,12),-0.233389 # DEPENDENCYPART_ARC
(20,13),0.648267 # DEPENDENCYPART_ARC
(20,14),-1.04758 # DEPENDENCYPART_ARC
(20,15),0.707177 # DEPENDENCYPART_ARC
(20,16),1.13642 # DEPENDENCYPART_ARC
(20,17),3.23695 # DEPENDENCYPART_ARC
(20,18),0.112453 # DEPENDENCYPART_ARC
(20,19),3.38816 # DEPENDENCYPART_ARC
(20,21),0.0382864 # DEPENDENCYPART_ARC
(21,1),-3.27375 # DEPENDENCYPART_ARC
(21,2),-4.39889 # DEPENDENCYPART_ARC
(21,3),-4.39072 # DEPENDENCYPART_ARC
(21,4),-3.27893 # DEPENDENCYPART_ARC
(21,5),-4.3006 # DEPENDENCYPART_ARC
(21,6),-2.97637 # DEPENDENCYPART_ARC
(21,7),-4.21496 # DEPENDENCYPART_ARC
(21,8),-3.25224 # DEPENDENCYPART_ARC
(21,9),-2.97263 # DEPENDENCYPART_ARC
(21,10),-2.49266 # DEPENDENCYPART_ARC
(21,11),-2.71705 # DEPENDENCYPART_ARC
(21,12),-2.67218 # DEPENDENCYPART_ARC
(21,13),-2.92489 # DEPENDENCYPART_ARC
(21,14),-3.68239 # DEPENDENCYPART_ARC
(21,15),-2.32099 # DEPENDENCYPART_ARC
(21,16),-2.56352 # DEPENDENCYPART_ARC
(21,17),-3.35014 # DEPENDENCYPART_ARC
(21,18),-3.14356 # DEPENDENCYPART_ARC
(21,19),-2.2176 # DEPENDENCYPART_ARC
(21,20),-2.57736 # DEPENDENCYPART_ARC
