# _root_ Érdekes helyzet volt : a vezetőség nem nagyon éreztette , hogy szükség van rám , és én se nagyon forszíroztam a dolgot .
#goldHeads=2,3,0,3,6,9,9,9,16,9,9,13,9,13,16,3,20,20,20,16,22,20,3,
#predictedHeads=2,3,16,3,6,9,9,9,3,9,9,13,9,13,16,0,20,20,20,16,22,20,16,
(6,12),-1.51849 # DEPENDENCYPART_ARC
(6,13),-0.852226 # DEPENDENCYPART_ARC
(6,14),-0.619059 # DEPENDENCYPART_ARC
(6,15),-0.46373 # DEPENDENCYPART_ARC
(6,16),-0.522734 # DEPENDENCYPART_ARC
(6,17),-1.32287 # DEPENDENCYPART_ARC
(6,18),-0.780064 # DEPENDENCYPART_ARC
(6,19),-0.802488 # DEPENDENCYPART_ARC
(6,20),-1.41693 # DEPENDENCYPART_ARC
(6,21),-1.33883 # DEPENDENCYPART_ARC
(6,22),-3.78869 # DEPENDENCYPART_ARC
(6,23),0.394829 # DEPENDENCYPART_ARC
(7,1),-0.795656 # DEPENDENCYPART_ARC
(7,2),-0.406681 # DEPENDENCYPART_ARC
(7,3),-0.261938 # DEPENDENCYPART_ARC
(7,4),0.193449 # DEPENDENCYPART_ARC
(7,5),0.102436 # DEPENDENCYPART_ARC
(7,6),0.641864 # DEPENDENCYPART_ARC
(7,8),0.0890621 # DEPENDENCYPART_ARC
(7,9),0.239099 # DEPENDENCYPART_ARC
(7,10),-0.0776992 # DEPENDENCYPART_ARC
(7,11),-0.0719982 # DEPENDENCYPART_ARC
(7,12),-0.742023 # DEPENDENCYPART_ARC
(7,13),-0.593385 # DEPENDENCYPART_ARC
(7,14),-0.327692 # DEPENDENCYPART_ARC
(7,15),-0.537476 # DEPENDENCYPART_ARC
(7,16),-0.212226 # DEPENDENCYPART_ARC
(7,17),-0.721643 # DEPENDENCYPART_ARC
(7,18),-0.500416 # DEPENDENCYPART_ARC
(7,19),-0.513079 # DEPENDENCYPART_ARC
(7,20),-1.09241 # DEPENDENCYPART_ARC
(7,21),-0.917811 # DEPENDENCYPART_ARC
(7,22),-1.84151 # DEPENDENCYPART_ARC
(7,23),0.0697175 # DEPENDENCYPART_ARC
(8,1),-0.579516 # DEPENDENCYPART_ARC
(8,2),-0.452728 # DEPENDENCYPART_ARC
(8,3),-0.343303 # DEPENDENCYPART_ARC
(8,4),-0.124704 # DEPENDENCYPART_ARC
(8,5),-0.0959723 # DEPENDENCYPART_ARC
(8,6),0.281035 # DEPENDENCYPART_ARC
(8,7),1.10436 # DEPENDENCYPART_ARC
(8,9),0.27744 # DEPENDENCYPART_ARC
(8,10),-0.399323 # DEPENDENCYPART_ARC
(8,11),-0.217418 # DEPENDENCYPART_ARC
(8,12),-0.913221 # DEPENDENCYPART_ARC
(8,13),-0.688333 # DEPENDENCYPART_ARC
(8,14),-0.700762 # DEPENDENCYPART_ARC
(8,15),-0.685539 # DEPENDENCYPART_ARC
(8,16),-0.531888 # DEPENDENCYPART_ARC
(8,17),-1.09787 # DEPENDENCYPART_ARC
(8,18),-0.874876 # DEPENDENCYPART_ARC
(8,19),-0.911257 # DEPENDENCYPART_ARC
(8,20),-0.955685 # DEPENDENCYPART_ARC
(8,21),-1.29935 # DEPENDENCYPART_ARC
(8,22),-2.04612 # DEPENDENCYPART_ARC
(8,23),-0.162965 # DEPENDENCYPART_ARC
(9,1),-0.21806 # DEPENDENCYPART_ARC
(9,2),1.95932 # DEPENDENCYPART_ARC
(9,3),1.09412 # DEPENDENCYPART_ARC
(9,4),1.05041 # DEPENDENCYPART_ARC
(9,5),-0.186743 # DEPENDENCYPART_ARC
(9,6),3.13232 # DEPENDENCYPART_ARC
(9,7),3.01595 # DEPENDENCYPART_ARC
(9,8),2.95909 # DEPENDENCYPART_ARC
(9,10),2.27507 # DEPENDENCYPART_ARC
(9,11),3.21985 # DEPENDENCYPART_ARC
(9,12),-0.444768 # DEPENDENCYPART_ARC
(9,13),2.49374 # DEPENDENCYPART_ARC
(9,14),1.14309 # DEPENDENCYPART_ARC
(9,15),1.38036 # DEPENDENCYPART_ARC
(9,16),0.815442 # DEPENDENCYPART_ARC
(9,17),-0.625644 # DEPENDENCYPART_ARC
(9,18),-0.00886324 # DEPENDENCYPART_ARC
(9,19),-0.465168 # DEPENDENCYPART_ARC
(9,20),0.786991 # DEPENDENCYPART_ARC
(9,21),-1.14251 # DEPENDENCYPART_ARC
(9,22),-1.73815 # DEPENDENCYPART_ARC
(9,23),2.82494 # DEPENDENCYPART_ARC
(10,1),-3.31373 # DEPENDENCYPART_ARC
(10,2),-3.72149 # DEPENDENCYPART_ARC
(10,3),-3.14509 # DEPENDENCYPART_ARC
(10,4),-2.49376 # DEPENDENCYPART_ARC
(10,5),-2.71609 # DEPENDENCYPART_ARC
(10,6),-3.30304 # DEPENDENCYPART_ARC
(10,7),-2.3326 # DEPENDENCYPART_ARC
(10,8),-2.23774 # DEPENDENCYPART_ARC
(10,9),-1.54079 # DEPENDENCYPART_ARC
(10,11),-1.45084 # DEPENDENCYPART_ARC
(10,12),-1.96669 # DEPENDENCYPART_ARC
(10,13),-1.80874 # DEPENDENCYPART_ARC
(10,14),-1.96588 # DEPENDENCYPART_ARC
(10,15),-1.73364 # DEPENDENCYPART_ARC
(10,16),-1.68617 # DEPENDENCYPART_ARC
(10,17),-2.2619 # DEPENDENCYPART_ARC
(10,18),-2.07639 # DEPENDENCYPART_ARC
(10,19),-2.09305 # DEPENDENCYPART_ARC
(10,20),-2.13039 # DEPENDENCYPART_ARC
(10,21),-2.14572 # DEPENDENCYPART_ARC
(10,22),-3.11857 # DEPENDENCYPART_ARC
(10,23),-1.92077 # DEPENDENCYPART_ARC
(11,1),0.317261 # DEPENDENCYPART_ARC
(11,2),0.0631452 # DEPENDENCYPART_ARC
(11,3),-0.339479 # DEPENDENCYPART_ARC
(11,4),0.330896 # DEPENDENCYPART_ARC
(11,5),-0.390609 # DEPENDENCYPART_ARC
(11,6),0.648231 # DEPENDENCYPART_ARC
(11,7),0.742934 # DEPENDENCYPART_ARC
(11,8),0.909161 # DEPENDENCYPART_ARC
(11,9),0.276487 # DEPENDENCYPART_ARC
(11,10),1.4738 # DEPENDENCYPART_ARC
(11,12),-0.296658 # DEPENDENCYPART_ARC
(11,13),1.46023 # DEPENDENCYPART_ARC
(11,14),0.0654971 # DEPENDENCYPART_ARC
(11,15),0.372866 # DEPENDENCYPART_ARC
(11,16),0.814812 # DEPENDENCYPART_ARC
(11,17),-0.795104 # DEPENDENCYPART_ARC
(11,18),-0.178913 # DEPENDENCYPART_ARC
(11,19),-0.0724044 # DEPENDENCYPART_ARC
(11,20),0.432884 # DEPENDENCYPART_ARC
(11,21),-0.970597 # DEPENDENCYPART_ARC
(11,22),-2.48696 # DEPENDENCYPART_ARC
(11,23),2.5757 # DEPENDENCYPART_ARC
(12,1),-2.07641 # DEPENDENCYPART_ARC
(12,2),-3.85676 # DEPENDENCYPART_ARC
(12,3),-2.42206 # DEPENDENCYPART_ARC
(12,4),-2.35065 # DEPENDENCYPART_ARC
(12,5),-1.4819 # DEPENDENCYPART_ARC
(12,6),-2.88181 # DEPENDENCYPART_ARC
(12,7),-1.21755 # DEPENDENCYPART_ARC
(12,8),-1.21262 # DEPENDENCYPART_ARC
(12,9),-0.941064 # DEPENDENCYPART_ARC
(12,10),-0.713382 # DEPENDENCYPART_ARC
(12,11),-0.753747 # DEPENDENCYPART_ARC
(12,13),0.0377854 # DEPENDENCYPART_ARC
(12,14),-0.520407 # DEPENDENCYPART_ARC
(12,15),-0.217251 # DEPENDENCYPART_ARC
(12,16),-0.483409 # DEPENDENCYPART_ARC
(12,17),-1.15771 # DEPENDENCYPART_ARC
(12,18),-0.604719 # DEPENDENCYPART_ARC
(12,19),-0.635145 # DEPENDENCYPART_ARC
(12,20),-0.963422 # DEPENDENCYPART_ARC
(12,21),-1.11197 # DEPENDENCYPART_ARC
(12,22),-2.65289 # DEPENDENCYPART_ARC
(12,23),0.558348 # DEPENDENCYPART_ARC
(13,1),-1.07292 # DEPENDENCYPART_ARC
(13,2),1.00911 # DEPENDENCYPART_ARC
(13,3),-0.0235894 # DEPENDENCYPART_ARC
(13,4),0.552925 # DEPENDENCYPART_ARC
(13,5),-0.60156 # DEPENDENCYPART_ARC
(13,6),1.49247 # DEPENDENCYPART_ARC
(13,7),1.06843 # DEPENDENCYPART_ARC
(13,8),0.949774 # DEPENDENCYPART_ARC
(13,9),0.235184 # DEPENDENCYPART_ARC
(13,10),1.14048 # DEPENDENCYPART_ARC
(13,11),1.28447 # DEPENDENCYPART_ARC
(13,12),4.10238 # DEPENDENCYPART_ARC
(13,14),3.37627 # DEPENDENCYPART_ARC
(13,15),1.88668 # DEPENDENCYPART_ARC
(13,16),0.956782 # DEPENDENCYPART_ARC
(13,17),0.819376 # DEPENDENCYPART_ARC
(13,18),0.517372 # DEPENDENCYPART_ARC
(13,19),0.186101 # DEPENDENCYPART_ARC
(13,20),1.11183 # DEPENDENCYPART_ARC
(13,21),-0.956752 # DEPENDENCYPART_ARC
(13,22),-0.933639 # DEPENDENCYPART_ARC
(13,23),2.08144 # DEPENDENCYPART_ARC
(14,1),-0.488858 # DEPENDENCYPART_ARC
(14,2),-0.568293 # DEPENDENCYPART_ARC
(14,3),-0.620201 # DEPENDENCYPART_ARC
(14,4),-0.514891 # DEPENDENCYPART_ARC
(14,5),-0.818057 # DEPENDENCYPART_ARC
(14,6),-0.164763 # DEPENDENCYPART_ARC
(14,7),0.158498 # DEPENDENCYPART_ARC
(14,8),0.162242 # DEPENDENCYPART_ARC
(14,9),-0.474433 # DEPENDENCYPART_ARC
(14,10),-0.066234 # DEPENDENCYPART_ARC
(14,11),0.281089 # DEPENDENCYPART_ARC
(14,12),0.572033 # DEPENDENCYPART_ARC
(14,13),0.436666 # DEPENDENCYPART_ARC
(14,15),-0.310212 # DEPENDENCYPART_ARC
(14,16),-0.220172 # DEPENDENCYPART_ARC
(14,17),-0.657385 # DEPENDENCYPART_ARC
(14,18),-0.574191 # DEPENDENCYPART_ARC
(14,19),-0.656014 # DEPENDENCYPART_ARC
(14,20),-0.212378 # DEPENDENCYPART_ARC
(14,21),-1.01308 # DEPENDENCYPART_ARC
(14,22),-1.52692 # DEPENDENCYPART_ARC
(14,23),0.049152 # DEPENDENCYPART_ARC
(15,1),-2.97319 # DEPENDENCYPART_ARC
(15,2),-3.49397 # DEPENDENCYPART_ARC
(15,3),-2.89278 # DEPENDENCYPART_ARC
(15,4),-2.36074 # DEPENDENCYPART_ARC
(15,5),-2.47011 # DEPENDENCYPART_ARC
(15,6),-3.31138 # DEPENDENCYPART_ARC
(15,7),-2.52858 # DEPENDENCYPART_ARC
(15,8),-2.47955 # DEPENDENCYPART_ARC
(15,9),-2.59922 # DEPENDENCYPART_ARC
(15,10),-2.17237 # DEPENDENCYPART_ARC
(15,11),-2.04517 # DEPENDENCYPART_ARC
(15,12),-2.63711 # DEPENDENCYPART_ARC
(15,13),-1.7113 # DEPENDENCYPART_ARC
(15,14),-0.91599 # DEPENDENCYPART_ARC
(15,16),-1.18845 # DEPENDENCYPART_ARC
(15,17),-1.532 # DEPENDENCYPART_ARC
(15,18),-1.59284 # DEPENDENCYPART_ARC
(15,19),-1.68058 # DEPENDENCYPART_ARC
(15,20),-1.69922 # DEPENDENCYPART_ARC
(15,21),-1.79326 # DEPENDENCYPART_ARC
(15,22),-2.60252 # DEPENDENCYPART_ARC
(15,23),-1.59761 # DEPENDENCYPART_ARC
(16,1),-0.0304075 # DEPENDENCYPART_ARC
(16,2),-0.480896 # DEPENDENCYPART_ARC
(16,3),1.34541 # DEPENDENCYPART_ARC
(16,4),0.797447 # DEPENDENCYPART_ARC
(16,5),-0.81275 # DEPENDENCYPART_ARC
(16,6),-0.582812 # DEPENDENCYPART_ARC
(16,7),-0.168857 # DEPENDENCYPART_ARC
(16,8),-0.207204 # DEPENDENCYPART_ARC
(16,9),1.4369 # DEPENDENCYPART_ARC
(16,10),1.56476 # DEPENDENCYPART_ARC
(16,11),0.909608 # DEPENDENCYPART_ARC
(16,12),-0.0812213 # DEPENDENCYPART_ARC
(16,13),1.77939 # DEPENDENCYPART_ARC
(16,14),0.69972 # DEPENDENCYPART_ARC
(16,15),2.3798 # DEPENDENCYPART_ARC
(16,17),0.288909 # DEPENDENCYPART_ARC
(16,18),0.634027 # DEPENDENCYPART_ARC
(16,19),0.912976 # DEPENDENCYPART_ARC
(16,20),2.72945 # DEPENDENCYPART_ARC
(16,21),0.140839 # DEPENDENCYPART_ARC
(16,22),-0.521283 # DEPENDENCYPART_ARC
(16,23),4.15153 # DEPENDENCYPART_ARC
(17,1),-1.50294 # DEPENDENCYPART_ARC
(17,2),-1.51906 # DEPENDENCYPART_ARC
(17,3),-0.503471 # DEPENDENCYPART_ARC
(17,4),-0.635798 # DEPENDENCYPART_ARC
(17,5),-1.24273 # DEPENDENCYPART_ARC
(17,6),-1.36472 # DEPENDENCYPART_ARC
(17,7),-0.549051 # DEPENDENCYPART_ARC
(17,8),-0.592464 # DEPENDENCYPART_ARC
(17,9),-0.557823 # DEPENDENCYPART_ARC
(17,10),-0.13957 # DEPENDENCYPART_ARC
(17,11),-0.386943 # DEPENDENCYPART_ARC
(17,12),-1.29184 # DEPENDENCYPART_ARC
(17,13),-0.48537 # DEPENDENCYPART_ARC
(17,14),0.0402407 # DEPENDENCYPART_ARC
(17,15),-0.29625 # DEPENDENCYPART_ARC
(17,16),0.254651 # DEPENDENCYPART_ARC
(17,18),-0.405262 # DEPENDENCYPART_ARC
(17,19),-0.549505 # DEPENDENCYPART_ARC
(17,20),-1.65311 # DEPENDENCYPART_ARC
(17,21),-1.20994 # DEPENDENCYPART_ARC
(17,22),-1.11174 # DEPENDENCYPART_ARC
(17,23),-0.086856 # DEPENDENCYPART_ARC
(18,1),-1.13052 # DEPENDENCYPART_ARC
(18,2),-1.60325 # DEPENDENCYPART_ARC
(18,3),-0.896379 # DEPENDENCYPART_ARC
(18,4),-0.967839 # DEPENDENCYPART_ARC
(18,5),-1.41962 # DEPENDENCYPART_ARC
(18,6),-1.39206 # DEPENDENCYPART_ARC
(18,7),-0.900448 # DEPENDENCYPART_ARC
(18,8),-0.812031 # DEPENDENCYPART_ARC
(18,9),-0.619565 # DEPENDENCYPART_ARC
(18,10),-0.424774 # DEPENDENCYPART_ARC
(18,11),-0.214279 # DEPENDENCYPART_ARC
(18,12),-0.686826 # DEPENDENCYPART_ARC
(18,13),-0.360369 # DEPENDENCYPART_ARC
(18,14),-0.174203 # DEPENDENCYPART_ARC
(18,15),0.123283 # DEPENDENCYPART_ARC
(18,16),0.235486 # DEPENDENCYPART_ARC
(18,17),0.644598 # DEPENDENCYPART_ARC
(18,19),-0.1493 # DEPENDENCYPART_ARC
(18,20),0.0298299 # DEPENDENCYPART_ARC
(18,21),-0.619904 # DEPENDENCYPART_ARC
(18,22),-0.392436 # DEPENDENCYPART_ARC
(18,23),-0.186181 # DEPENDENCYPART_ARC
(19,1),-1.11124 # DEPENDENCYPART_ARC
(19,2),-1.57693 # DEPENDENCYPART_ARC
(19,3),-0.658074 # DEPENDENCYPART_ARC
(19,4),-1.16699 # DEPENDENCYPART_ARC
(19,5),-1.56991 # DEPENDENCYPART_ARC
(19,6),-1.38519 # DEPENDENCYPART_ARC
(19,7),-0.949881 # DEPENDENCYPART_ARC
(19,8),-1.04029 # DEPENDENCYPART_ARC
(19,9),-0.543333 # DEPENDENCYPART_ARC
(19,10),-0.496065 # DEPENDENCYPART_ARC
(19,11),-0.325778 # DEPENDENCYPART_ARC
(19,12),-0.854241 # DEPENDENCYPART_ARC
(19,13),-0.326236 # DEPENDENCYPART_ARC
(19,14),-0.406673 # DEPENDENCYPART_ARC
(19,15),-0.145044 # DEPENDENCYPART_ARC
(19,16),0.245712 # DEPENDENCYPART_ARC
(19,17),0.272913 # DEPENDENCYPART_ARC
(19,18),0.949512 # DEPENDENCYPART_ARC
(19,20),0.25105 # DEPENDENCYPART_ARC
(19,21),-0.711397 # DEPENDENCYPART_ARC
(19,22),-0.435125 # DEPENDENCYPART_ARC
(19,23),-0.0409923 # DEPENDENCYPART_ARC
(20,1),-1.95436 # DEPENDENCYPART_ARC
(20,2),-1.34729 # DEPENDENCYPART_ARC
(20,3),0.347938 # DEPENDENCYPART_ARC
(20,4),0.575787 # DEPENDENCYPART_ARC
(20,5),-1.33218 # DEPENDENCYPART_ARC
(20,6),-0.735779 # DEPENDENCYPART_ARC
(20,7),-0.278288 # DEPENDENCYPART_ARC
(20,8),-0.711631 # DEPENDENCYPART_ARC
(20,9),-0.0916811 # DEPENDENCYPART_ARC
(20,10),0.628999 # DEPENDENCYPART_ARC
(20,11),0.732503 # DEPENDENCYPART_ARC
(20,12),0.27811 # DEPENDENCYPART_ARC
(20,13),0.298738 # DEPENDENCYPART_ARC
(20,14),0.849631 # DEPENDENCYPART_ARC
(20,15),1.10811 # DEPENDENCYPART_ARC
(20,16),0.808182 # DEPENDENCYPART_ARC
(20,17),3.02069 # DEPENDENCYPART_ARC
(20,18),2.85673 # DEPENDENCYPART_ARC
(20,19),2.85509 # DEPENDENCYPART_ARC
(20,21),0.295592 # DEPENDENCYPART_ARC
(20,22),3.49878 # DEPENDENCYPART_ARC
(20,23),1.92825 # DEPENDENCYPART_ARC
(21,1),-2.37692 # DEPENDENCYPART_ARC
(21,2),-3.71185 # DEPENDENCYPART_ARC
(21,3),-2.90679 # DEPENDENCYPART_ARC
(21,4),-1.95796 # DEPENDENCYPART_ARC
(21,5),-2.18098 # DEPENDENCYPART_ARC
(21,6),-3.53468 # DEPENDENCYPART_ARC
(21,7),-2.33724 # DEPENDENCYPART_ARC
(21,8),-2.28582 # DEPENDENCYPART_ARC
(21,9),-2.70402 # DEPENDENCYPART_ARC
(21,10),-1.62169 # DEPENDENCYPART_ARC
(21,11),-1.81777 # DEPENDENCYPART_ARC
(21,12),-3.22879 # DEPENDENCYPART_ARC
(21,13),-2.51661 # DEPENDENCYPART_ARC
(21,14),-2.00134 # DEPENDENCYPART_ARC
(21,15),-1.42224 # DEPENDENCYPART_ARC
(21,16),-1.69224 # DEPENDENCYPART_ARC
(21,17),-2.2487 # DEPENDENCYPART_ARC
(21,18),-1.49034 # DEPENDENCYPART_ARC
(21,19),-1.42302 # DEPENDENCYPART_ARC
(21,20),-0.836515 # DEPENDENCYPART_ARC
(21,22),-0.462841 # DEPENDENCYPART_ARC
(21,23),-1.20598 # DEPENDENCYPART_ARC
(22,1),-3.60637 # DEPENDENCYPART_ARC
(22,2),-5.76293 # DEPENDENCYPART_ARC
(22,3),-3.0931 # DEPENDENCYPART_ARC
(22,4),-3.37678 # DEPENDENCYPART_ARC
(22,5),-2.21122 # DEPENDENCYPART_ARC
(22,6),-4.33692 # DEPENDENCYPART_ARC
(22,7),-1.4625 # DEPENDENCYPART_ARC
(22,8),-1.63409 # DEPENDENCYPART_ARC
(22,9),-2.23174 # DEPENDENCYPART_ARC
(22,10),-2.28457 # DEPENDENCYPART_ARC
(22,11),-1.90043 # DEPENDENCYPART_ARC
(22,12),-3.77833 # DEPENDENCYPART_ARC
(22,13),-2.72365 # DEPENDENCYPART_ARC
(22,14),-1.39767 # DEPENDENCYPART_ARC
(22,15),-1.82656 # DEPENDENCYPART_ARC
(22,16),-1.05347 # DEPENDENCYPART_ARC
(22,17),-1.6282 # DEPENDENCYPART_ARC
(22,18),-0.793713 # DEPENDENCYPART_ARC
(22,19),-0.59029 # DEPENDENCYPART_ARC
(22,20),-0.345537 # DEPENDENCYPART_ARC
(22,21),3.28039 # DEPENDENCYPART_ARC
(22,23),-0.291337 # DEPENDENCYPART_ARC
(23,1),-3.67825 # DEPENDENCYPART_ARC
(23,2),-4.52767 # DEPENDENCYPART_ARC
