# _root_ A Gazdasági_Minisztérium utasítja az ITD_Hungary vezérigazgatóját , hogy dolgozzanak ki olyan térségi programokat , amelyek lehetővé teszik a bányászok foglalkoztatását .
#goldHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
#predictedHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
(17,15),3.03481 # DEPENDENCYPART_ARC
(17,16),3.64073 # DEPENDENCYPART_ARC
(17,18),-0.175196 # DEPENDENCYPART_ARC
(17,19),1.55098 # DEPENDENCYPART_ARC
(17,20),3.04244 # DEPENDENCYPART_ARC
(17,21),1.7945 # DEPENDENCYPART_ARC
(18,1),-2.2749 # DEPENDENCYPART_ARC
(18,2),-3.50226 # DEPENDENCYPART_ARC
(18,3),-2.95334 # DEPENDENCYPART_ARC
(18,4),-2.18127 # DEPENDENCYPART_ARC
(18,5),-3.37557 # DEPENDENCYPART_ARC
(18,6),-3.8176 # DEPENDENCYPART_ARC
(18,7),-1.84477 # DEPENDENCYPART_ARC
(18,8),-1.90872 # DEPENDENCYPART_ARC
(18,9),-2.61589 # DEPENDENCYPART_ARC
(18,10),-2.13095 # DEPENDENCYPART_ARC
(18,11),-2.73078 # DEPENDENCYPART_ARC
(18,12),-2.11226 # DEPENDENCYPART_ARC
(18,13),-2.86024 # DEPENDENCYPART_ARC
(18,14),-1.65462 # DEPENDENCYPART_ARC
(18,15),-2.2017 # DEPENDENCYPART_ARC
(18,16),-1.57901 # DEPENDENCYPART_ARC
(18,17),-0.940871 # DEPENDENCYPART_ARC
(18,19),-0.375497 # DEPENDENCYPART_ARC
(18,20),-1.01933 # DEPENDENCYPART_ARC
(18,21),-1.3216 # DEPENDENCYPART_ARC
(19,1),-2.47488 # DEPENDENCYPART_ARC
(19,2),-4.03165 # DEPENDENCYPART_ARC
(19,3),-2.96418 # DEPENDENCYPART_ARC
(19,4),-1.40965 # DEPENDENCYPART_ARC
(19,5),-2.70649 # DEPENDENCYPART_ARC
(19,6),-6.27424 # DEPENDENCYPART_ARC
(19,7),-2.4766 # DEPENDENCYPART_ARC
(19,8),-2.11675 # DEPENDENCYPART_ARC
(19,9),-2.74421 # DEPENDENCYPART_ARC
(19,10),-1.62512 # DEPENDENCYPART_ARC
(19,11),-0.926874 # DEPENDENCYPART_ARC
(19,12),-1.69821 # DEPENDENCYPART_ARC
(19,13),-4.74518 # DEPENDENCYPART_ARC
(19,14),-1.95185 # DEPENDENCYPART_ARC
(19,15),-1.06841 # DEPENDENCYPART_ARC
(19,16),-2.89275 # DEPENDENCYPART_ARC
(19,17),-0.85925 # DEPENDENCYPART_ARC
(19,18),3.24845 # DEPENDENCYPART_ARC
(19,20),-1.85402 # DEPENDENCYPART_ARC
(19,21),-1.01407 # DEPENDENCYPART_ARC
(20,1),-3.45458 # DEPENDENCYPART_ARC
(20,2),-2.56433 # DEPENDENCYPART_ARC
(20,3),-2.46983 # DEPENDENCYPART_ARC
(20,4),-2.06349 # DEPENDENCYPART_ARC
(20,5),-1.0139 # DEPENDENCYPART_ARC
(20,6),-5.51834 # DEPENDENCYPART_ARC
(20,7),-1.23901 # DEPENDENCYPART_ARC
(20,8),-1.03717 # DEPENDENCYPART_ARC
(20,9),-2.29151 # DEPENDENCYPART_ARC
(20,10),-0.746135 # DEPENDENCYPART_ARC
(20,11),-0.666032 # DEPENDENCYPART_ARC
(20,12),-1.3219 # DEPENDENCYPART_ARC
(20,13),-3.01627 # DEPENDENCYPART_ARC
(20,14),-0.842568 # DEPENDENCYPART_ARC
(20,15),-1.01186 # DEPENDENCYPART_ARC
(20,16),-2.59422 # DEPENDENCYPART_ARC
(20,17),-0.520062 # DEPENDENCYPART_ARC
(20,18),1.84399 # DEPENDENCYPART_ARC
(20,19),4.99872 # DEPENDENCYPART_ARC
(20,21),0.209358 # DEPENDENCYPART_ARC
(21,1),-3.26888 # DEPENDENCYPART_ARC
(21,2),-4.36493 # DEPENDENCYPART_ARC
(21,3),-3.46842 # DEPENDENCYPART_ARC
(21,4),-3.15502 # DEPENDENCYPART_ARC
(21,5),-4.33152 # DEPENDENCYPART_ARC
(21,6),-4.30066 # DEPENDENCYPART_ARC
(21,7),-2.87771 # DEPENDENCYPART_ARC
(21,8),-2.95802 # DEPENDENCYPART_ARC
(21,9),-3.22137 # DEPENDENCYPART_ARC
(21,10),-3.08065 # DEPENDENCYPART_ARC
(21,11),-3.20644 # DEPENDENCYPART_ARC
(21,12),-3.20184 # DEPENDENCYPART_ARC
(21,13),-3.90132 # DEPENDENCYPART_ARC
(21,14),-2.57023 # DEPENDENCYPART_ARC
(21,15),-3.02423 # DEPENDENCYPART_ARC
(21,16),-3.01021 # DEPENDENCYPART_ARC
(21,17),-2.53095 # DEPENDENCYPART_ARC
(21,18),-2.18879 # DEPENDENCYPART_ARC
(21,19),-2.86352 # DEPENDENCYPART_ARC
(21,20),-2.49761 # DEPENDENCYPART_ARC
