# _root_ Olyannyira erősen , hogy megkésett hordalékra tippeltem , majd meg öreg márnára .
#goldHeads=2,4,4,0,6,7,9,9,4,9,12,10,4,
#predictedHeads=7,7,6,9,6,7,9,7,0,12,12,7,7,
(3,9),-1.60431 # DEPENDENCYPART_ARC
(3,10),-1.64128 # DEPENDENCYPART_ARC
(3,11),-2.20555 # DEPENDENCYPART_ARC
(3,12),-2.82496 # DEPENDENCYPART_ARC
(3,13),-1.85476 # DEPENDENCYPART_ARC
(4,1),1.64049 # DEPENDENCYPART_ARC
(4,2),1.32184 # DEPENDENCYPART_ARC
(4,3),0.644398 # DEPENDENCYPART_ARC
(4,5),-0.246837 # DEPENDENCYPART_ARC
(4,6),-1.00512 # DEPENDENCYPART_ARC
(4,7),1.11281 # DEPENDENCYPART_ARC
(4,8),0.0991772 # DEPENDENCYPART_ARC
(4,9),0.294573 # DEPENDENCYPART_ARC
(4,10),0.381761 # DEPENDENCYPART_ARC
(4,11),-1.06643 # DEPENDENCYPART_ARC
(4,12),-2.2177 # DEPENDENCYPART_ARC
(4,13),1.59242 # DEPENDENCYPART_ARC
(5,1),-0.347952 # DEPENDENCYPART_ARC
(5,2),-0.276819 # DEPENDENCYPART_ARC
(5,3),-0.309102 # DEPENDENCYPART_ARC
(5,4),-0.300937 # DEPENDENCYPART_ARC
(5,6),0.0312181 # DEPENDENCYPART_ARC
(5,7),-0.255432 # DEPENDENCYPART_ARC
(5,8),-0.411605 # DEPENDENCYPART_ARC
(5,9),-0.847103 # DEPENDENCYPART_ARC
(5,10),-0.936838 # DEPENDENCYPART_ARC
(5,11),-1.38973 # DEPENDENCYPART_ARC
(5,12),-1.34462 # DEPENDENCYPART_ARC
(5,13),-0.23801 # DEPENDENCYPART_ARC
(6,1),0.0962592 # DEPENDENCYPART_ARC
(6,2),-0.188124 # DEPENDENCYPART_ARC
(6,3),1.93026 # DEPENDENCYPART_ARC
(6,4),0.832324 # DEPENDENCYPART_ARC
(6,5),3.58149 # DEPENDENCYPART_ARC
(6,7),-0.797735 # DEPENDENCYPART_ARC
(6,8),-0.591611 # DEPENDENCYPART_ARC
(6,9),-0.621553 # DEPENDENCYPART_ARC
(6,10),-0.813684 # DEPENDENCYPART_ARC
(6,11),-1.01577 # DEPENDENCYPART_ARC
(6,12),-2.13332 # DEPENDENCYPART_ARC
(6,13),-0.389398 # DEPENDENCYPART_ARC
(7,1),1.67855 # DEPENDENCYPART_ARC
(7,2),1.41545 # DEPENDENCYPART_ARC
(7,3),1.12459 # DEPENDENCYPART_ARC
(7,4),0.734758 # DEPENDENCYPART_ARC
(7,5),0.905155 # DEPENDENCYPART_ARC
(7,6),4.13506 # DEPENDENCYPART_ARC
(7,8),2.072 # DEPENDENCYPART_ARC
(7,9),1.49776 # DEPENDENCYPART_ARC
(7,10),0.417736 # DEPENDENCYPART_ARC
(7,11),0.284601 # DEPENDENCYPART_ARC
(7,12),0.650289 # DEPENDENCYPART_ARC
(7,13),2.26611 # DEPENDENCYPART_ARC
(8,1),-2.54334 # DEPENDENCYPART_ARC
(8,2),-2.83973 # DEPENDENCYPART_ARC
(8,3),-2.32755 # DEPENDENCYPART_ARC
(8,4),-2.19603 # DEPENDENCYPART_ARC
(8,5),-2.42782 # DEPENDENCYPART_ARC
(8,6),-2.56407 # DEPENDENCYPART_ARC
(8,7),-1.23218 # DEPENDENCYPART_ARC
(8,9),-1.2387 # DEPENDENCYPART_ARC
(8,10),-1.41682 # DEPENDENCYPART_ARC
(8,11),-1.67529 # DEPENDENCYPART_ARC
(8,12),-2.27692 # DEPENDENCYPART_ARC
(8,13),-1.70535 # DEPENDENCYPART_ARC
(9,1),0.419197 # DEPENDENCYPART_ARC
(9,2),-0.374511 # DEPENDENCYPART_ARC
(9,3),0.568609 # DEPENDENCYPART_ARC
(9,4),0.918374 # DEPENDENCYPART_ARC
(9,5),-0.136937 # DEPENDENCYPART_ARC
(9,6),-0.286961 # DEPENDENCYPART_ARC
(9,7),2.03705 # DEPENDENCYPART_ARC
(9,8),1.84087 # DEPENDENCYPART_ARC
(9,10),0.342456 # DEPENDENCYPART_ARC
(9,11),0.090008 # DEPENDENCYPART_ARC
(9,12),-0.719325 # DEPENDENCYPART_ARC
(9,13),1.77166 # DEPENDENCYPART_ARC
(10,1),-0.445322 # DEPENDENCYPART_ARC
(10,2),-0.84275 # DEPENDENCYPART_ARC
(10,3),0.590805 # DEPENDENCYPART_ARC
(10,4),0.198321 # DEPENDENCYPART_ARC
(10,5),-0.744865 # DEPENDENCYPART_ARC
(10,6),-1.21467 # DEPENDENCYPART_ARC
(10,7),1.18933 # DEPENDENCYPART_ARC
(10,8),0.854983 # DEPENDENCYPART_ARC
(10,9),0.868631 # DEPENDENCYPART_ARC
(10,11),0.508091 # DEPENDENCYPART_ARC
(10,12),0.121165 # DEPENDENCYPART_ARC
(10,13),1.1735 # DEPENDENCYPART_ARC
(11,1),-0.144797 # DEPENDENCYPART_ARC
(11,2),-0.228972 # DEPENDENCYPART_ARC
(11,3),0.24109 # DEPENDENCYPART_ARC
(11,4),-0.372638 # DEPENDENCYPART_ARC
(11,5),-0.69902 # DEPENDENCYPART_ARC
(11,6),-0.41859 # DEPENDENCYPART_ARC
(11,7),-0.384353 # DEPENDENCYPART_ARC
(11,8),0.62198 # DEPENDENCYPART_ARC
(11,9),0.279899 # DEPENDENCYPART_ARC
(11,10),1.21788 # DEPENDENCYPART_ARC
(11,12),0.00814946 # DEPENDENCYPART_ARC
(11,13),-0.451279 # DEPENDENCYPART_ARC
(12,1),-0.874529 # DEPENDENCYPART_ARC
(12,2),-1.28752 # DEPENDENCYPART_ARC
(12,3),1.07948 # DEPENDENCYPART_ARC
(12,4),-0.267865 # DEPENDENCYPART_ARC
(12,5),0.634414 # DEPENDENCYPART_ARC
(12,6),-1.41091 # DEPENDENCYPART_ARC
(12,7),-0.809371 # DEPENDENCYPART_ARC
(12,8),0.821297 # DEPENDENCYPART_ARC
(12,9),1.14844 # DEPENDENCYPART_ARC
(12,10),1.53572 # DEPENDENCYPART_ARC
(12,11),3.46288 # DEPENDENCYPART_ARC
(12,13),0.092601 # DEPENDENCYPART_ARC
(13,1),-3.04655 # DEPENDENCYPART_ARC
(13,2),-3.22404 # DEPENDENCYPART_ARC
(13,3),-2.64885 # DEPENDENCYPART_ARC
(13,4),-2.69235 # DEPENDENCYPART_ARC
(13,5),-3.12891 # DEPENDENCYPART_ARC
(13,6),-3.82959 # DEPENDENCYPART_ARC
(13,7),-2.70129 # DEPENDENCYPART_ARC
(13,8),-2.3183 # DEPENDENCYPART_ARC
(13,9),-2.25461 # DEPENDENCYPART_ARC
(13,10),-2.05076 # DEPENDENCYPART_ARC
(13,11),-2.14216 # DEPENDENCYPART_ARC
(13,12),-2.52423 # DEPENDENCYPART_ARC
