# _root_ — Öt percet kaptunk , hogy elhagyjuk a lakásunkat — meséli egy asszony , akit az EBESZ-szóvivő találomra állít meg .
#goldHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
#predictedHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
(4,18),-0.53958 # DEPENDENCYPART_ARC
(4,19),0.602769 # DEPENDENCYPART_ARC
(4,20),-0.063049 # DEPENDENCYPART_ARC
(4,21),2.91067 # DEPENDENCYPART_ARC
(6,1),0.498914 # DEPENDENCYPART_ARC
(6,2),0.267549 # DEPENDENCYPART_ARC
(6,3),-0.0505305 # DEPENDENCYPART_ARC
(6,4),1.0115 # DEPENDENCYPART_ARC
(6,5),1.18713 # DEPENDENCYPART_ARC
(6,7),0.909378 # DEPENDENCYPART_ARC
(6,8),-0.892273 # DEPENDENCYPART_ARC
(6,9),-1.39177 # DEPENDENCYPART_ARC
(6,10),0.272936 # DEPENDENCYPART_ARC
(6,11),0.0971675 # DEPENDENCYPART_ARC
(6,13),-1.55784 # DEPENDENCYPART_ARC
(6,14),-0.0350772 # DEPENDENCYPART_ARC
(6,15),-1.41212 # DEPENDENCYPART_ARC
(6,16),-1.11586 # DEPENDENCYPART_ARC
(6,17),-2.38748 # DEPENDENCYPART_ARC
(6,18),-0.616919 # DEPENDENCYPART_ARC
(6,19),-0.21932 # DEPENDENCYPART_ARC
(6,20),-0.980058 # DEPENDENCYPART_ARC
(6,21),2.01427 # DEPENDENCYPART_ARC
(7,1),-0.298062 # DEPENDENCYPART_ARC
(7,2),-2.54173 # DEPENDENCYPART_ARC
(7,3),0.503618 # DEPENDENCYPART_ARC
(7,4),-1.77467 # DEPENDENCYPART_ARC
(7,5),-0.222848 # DEPENDENCYPART_ARC
(7,6),-0.612357 # DEPENDENCYPART_ARC
(7,8),0.428644 # DEPENDENCYPART_ARC
(7,9),4.03918 # DEPENDENCYPART_ARC
(7,10),0.350262 # DEPENDENCYPART_ARC
(7,11),0.818533 # DEPENDENCYPART_ARC
(7,12),-0.848813 # DEPENDENCYPART_ARC
(7,13),-0.314551 # DEPENDENCYPART_ARC
(7,14),1.18715 # DEPENDENCYPART_ARC
(7,15),-1.32105 # DEPENDENCYPART_ARC
(7,16),-0.299653 # DEPENDENCYPART_ARC
(7,17),-2.18311 # DEPENDENCYPART_ARC
(7,18),-0.198829 # DEPENDENCYPART_ARC
(7,19),0.73106 # DEPENDENCYPART_ARC
(7,20),-0.0438338 # DEPENDENCYPART_ARC
(7,21),2.38381 # DEPENDENCYPART_ARC
(8,1),-1.80321 # DEPENDENCYPART_ARC
(8,3),-3.3005 # DEPENDENCYPART_ARC
(8,5),-1.34943 # DEPENDENCYPART_ARC
(8,9),-0.675188 # DEPENDENCYPART_ARC
(8,10),-0.324017 # DEPENDENCYPART_ARC
(8,13),-1.27391 # DEPENDENCYPART_ARC
(8,14),-0.589673 # DEPENDENCYPART_ARC
(8,17),-1.7768 # DEPENDENCYPART_ARC
(9,1),-1.87807 # DEPENDENCYPART_ARC
(9,2),-1.22387 # DEPENDENCYPART_ARC
(9,3),-5.63911 # DEPENDENCYPART_ARC
(9,4),-2.9682 # DEPENDENCYPART_ARC
(9,5),-1.81167 # DEPENDENCYPART_ARC
(9,6),-1.96182 # DEPENDENCYPART_ARC
(9,7),-1.67132 # DEPENDENCYPART_ARC
(9,8),2.9911 # DEPENDENCYPART_ARC
(9,10),-0.0677288 # DEPENDENCYPART_ARC
(9,11),-1.1708 # DEPENDENCYPART_ARC
(9,12),-0.886713 # DEPENDENCYPART_ARC
(9,13),-1.43902 # DEPENDENCYPART_ARC
(9,14),-0.43961 # DEPENDENCYPART_ARC
(9,15),-2.30947 # DEPENDENCYPART_ARC
(9,16),-1.46595 # DEPENDENCYPART_ARC
(9,17),-2.17192 # DEPENDENCYPART_ARC
(9,18),-1.30646 # DEPENDENCYPART_ARC
(9,19),-1.74341 # DEPENDENCYPART_ARC
(9,20),-1.31875 # DEPENDENCYPART_ARC
(9,21),0.222177 # DEPENDENCYPART_ARC
(11,1),1.66073 # DEPENDENCYPART_ARC
(11,2),-0.839395 # DEPENDENCYPART_ARC
(11,3),0.730704 # DEPENDENCYPART_ARC
(11,4),1.13064 # DEPENDENCYPART_ARC
(11,5),1.0847 # DEPENDENCYPART_ARC
(11,6),0.692662 # DEPENDENCYPART_ARC
(11,7),1.65322 # DEPENDENCYPART_ARC
(11,8),-0.311135 # DEPENDENCYPART_ARC
(11,9),1.89242 # DEPENDENCYPART_ARC
(11,10),1.69101 # DEPENDENCYPART_ARC
(11,12),0.00387058 # DEPENDENCYPART_ARC
(11,13),3.1748 # DEPENDENCYPART_ARC
(11,14),2.49315 # DEPENDENCYPART_ARC
(11,15),0.189939 # DEPENDENCYPART_ARC
(11,16),-0.27194 # DEPENDENCYPART_ARC
(11,17),0.0455827 # DEPENDENCYPART_ARC
(11,18),0.872661 # DEPENDENCYPART_ARC
(11,19),1.52296 # DEPENDENCYPART_ARC
(11,20),1.03471 # DEPENDENCYPART_ARC
(11,21),2.9712 # DEPENDENCYPART_ARC
(12,1),-1.80102 # DEPENDENCYPART_ARC
(12,5),-1.57627 # DEPENDENCYPART_ARC
(12,10),-1.46919 # DEPENDENCYPART_ARC
(12,14),-0.275623 # DEPENDENCYPART_ARC
(13,1),-1.77393 # DEPENDENCYPART_ARC
(13,2),-1.07153 # DEPENDENCYPART_ARC
(13,3),-5.01268 # DEPENDENCYPART_ARC
(13,4),-1.79734 # DEPENDENCYPART_ARC
(13,5),-1.91447 # DEPENDENCYPART_ARC
(13,6),-1.74345 # DEPENDENCYPART_ARC
(13,7),-1.99446 # DEPENDENCYPART_ARC
(13,8),0.331898 # DEPENDENCYPART_ARC
(13,9),-3.8781 # DEPENDENCYPART_ARC
(13,10),-0.804846 # DEPENDENCYPART_ARC
(13,11),-0.253127 # DEPENDENCYPART_ARC
(13,12),3.74878 # DEPENDENCYPART_ARC
(13,14),-0.00748958 # DEPENDENCYPART_ARC
(13,15),-1.59545 # DEPENDENCYPART_ARC
(13,16),-0.9696 # DEPENDENCYPART_ARC
(13,17),-0.819906 # DEPENDENCYPART_ARC
(13,18),-1.02211 # DEPENDENCYPART_ARC
(13,19),-0.376088 # DEPENDENCYPART_ARC
(13,20),-1.0121 # DEPENDENCYPART_ARC
(13,21),-0.122351 # DEPENDENCYPART_ARC
(15,3),-1.91552 # DEPENDENCYPART_ARC
(15,9),-2.09437 # DEPENDENCYPART_ARC
(15,13),-0.78333 # DEPENDENCYPART_ARC
(15,17),-0.1507 # DEPENDENCYPART_ARC
(16,1),-2.41141 # DEPENDENCYPART_ARC
(16,3),-3.94552 # DEPENDENCYPART_ARC
(16,5),-2.08971 # DEPENDENCYPART_ARC
(16,9),-4.07314 # DEPENDENCYPART_ARC
(16,10),-2.02656 # DEPENDENCYPART_ARC
(16,13),-2.90559 # DEPENDENCYPART_ARC
(16,14),-1.71182 # DEPENDENCYPART_ARC
(16,17),-0.813672 # DEPENDENCYPART_ARC
(17,1),-2.43726 # DEPENDENCYPART_ARC
(17,2),-1.82227 # DEPENDENCYPART_ARC
(17,3),-6.24894 # DEPENDENCYPART_ARC
(17,4),-2.26703 # DEPENDENCYPART_ARC
(17,5),-2.98624 # DEPENDENCYPART_ARC
(17,6),-2.43751 # DEPENDENCYPART_ARC
(17,7),-2.60897 # DEPENDENCYPART_ARC
(17,8),-1.21916 # DEPENDENCYPART_ARC
(17,9),-5.43589 # DEPENDENCYPART_ARC
(17,10),-1.6711 # DEPENDENCYPART_ARC
(17,11),-1.80095 # DEPENDENCYPART_ARC
(17,12),0.829288 # DEPENDENCYPART_ARC
(17,13),-1.8085 # DEPENDENCYPART_ARC
(17,14),-0.701026 # DEPENDENCYPART_ARC
(17,15),-0.383088 # DEPENDENCYPART_ARC
(17,16),3.26746 # DEPENDENCYPART_ARC
(17,18),-0.842737 # DEPENDENCYPART_ARC
(17,19),-0.512124 # DEPENDENCYPART_ARC
(17,20),-0.920501 # DEPENDENCYPART_ARC
(17,21),-0.741353 # DEPENDENCYPART_ARC
(18,1),-1.50211 # DEPENDENCYPART_ARC
(18,2),-1.74568 # DEPENDENCYPART_ARC
(18,3),-2.09116 # DEPENDENCYPART_ARC
(18,4),-1.49213 # DEPENDENCYPART_ARC
(18,5),-1.40877 # DEPENDENCYPART_ARC
(18,6),-1.70358 # DEPENDENCYPART_ARC
(18,7),-1.37065 # DEPENDENCYPART_ARC
(18,8),-1.76157 # DEPENDENCYPART_ARC
(18,9),-1.82554 # DEPENDENCYPART_ARC
(18,10),-0.920968 # DEPENDENCYPART_ARC
(18,11),-1.10197 # DEPENDENCYPART_ARC
(18,13),-1.23354 # DEPENDENCYPART_ARC
(18,14),-0.806521 # DEPENDENCYPART_ARC
(18,15),-0.501197 # DEPENDENCYPART_ARC
(18,16),-0.287021 # DEPENDENCYPART_ARC
(18,17),0.213747 # DEPENDENCYPART_ARC
(18,19),-0.0974948 # DEPENDENCYPART_ARC
(18,20),-0.815321 # DEPENDENCYPART_ARC
(18,21),-0.64623 # DEPENDENCYPART_ARC
(19,1),0.814432 # DEPENDENCYPART_ARC
(19,2),-1.9555 # DEPENDENCYPART_ARC
(19,3),-1.15826 # DEPENDENCYPART_ARC
(19,4),-0.240638 # DEPENDENCYPART_ARC
(19,5),0.0745704 # DEPENDENCYPART_ARC
(19,6),0.487444 # DEPENDENCYPART_ARC
(19,7),0.9234 # DEPENDENCYPART_ARC
(19,8),-1.47818 # DEPENDENCYPART_ARC
(19,9),-0.295418 # DEPENDENCYPART_ARC
(19,10),0.257459 # DEPENDENCYPART_ARC
(19,11),0.240496 # DEPENDENCYPART_ARC
(19,12),-0.366629 # DEPENDENCYPART_ARC
(19,13),0.502287 # DEPENDENCYPART_ARC
(19,14),0.704049 # DEPENDENCYPART_ARC
(19,15),1.27791 # DEPENDENCYPART_ARC
(19,16),-0.296896 # DEPENDENCYPART_ARC
(19,17),2.62327 # DEPENDENCYPART_ARC
(19,18),3.00745 # DEPENDENCYPART_ARC
(19,20),2.75759 # DEPENDENCYPART_ARC
(19,21),1.27803 # DEPENDENCYPART_ARC
(20,1),-1.17396 # DEPENDENCYPART_ARC
(20,3),-1.60893 # DEPENDENCYPART_ARC
(20,4),-1.14976 # DEPENDENCYPART_ARC
(20,5),-0.971285 # DEPENDENCYPART_ARC
(20,6),-1.05625 # DEPENDENCYPART_ARC
(20,7),-0.978426 # DEPENDENCYPART_ARC
(20,9),-1.49323 # DEPENDENCYPART_ARC
(20,10),-0.600067 # DEPENDENCYPART_ARC
(20,11),-0.866961 # DEPENDENCYPART_ARC
(20,13),-0.782132 # DEPENDENCYPART_ARC
(20,14),-0.575519 # DEPENDENCYPART_ARC
(20,15),-0.167925 # DEPENDENCYPART_ARC
(20,17),0.186628 # DEPENDENCYPART_ARC
(20,18),0.516926 # DEPENDENCYPART_ARC
(20,19),0.34714 # DEPENDENCYPART_ARC
(20,21),0.264226 # DEPENDENCYPART_ARC
