# _root_ Egyes hírek szerint S._József , akit ügyes jogásznak tartanak , a közelmúltban több állásajánlatot kapott a városban .
#goldHeads=2,3,15,15,15,9,8,9,15,15,12,15,14,15,0,17,15,15,
#predictedHeads=2,3,9,9,9,9,8,9,0,9,12,15,14,15,9,17,15,9,
(2,17),-2.97409 # DEPENDENCYPART_ARC
(2,18),0.152011 # DEPENDENCYPART_ARC
(3,1),0.773596 # DEPENDENCYPART_ARC
(3,2),3.87944 # DEPENDENCYPART_ARC
(3,4),0.0823622 # DEPENDENCYPART_ARC
(3,5),0.0579569 # DEPENDENCYPART_ARC
(3,6),-0.793859 # DEPENDENCYPART_ARC
(3,7),-0.715026 # DEPENDENCYPART_ARC
(3,8),-0.670139 # DEPENDENCYPART_ARC
(3,9),-0.0835762 # DEPENDENCYPART_ARC
(3,10),-0.0824591 # DEPENDENCYPART_ARC
(3,11),-0.733793 # DEPENDENCYPART_ARC
(3,12),-1.04285 # DEPENDENCYPART_ARC
(3,13),-1.06306 # DEPENDENCYPART_ARC
(3,14),-1.16518 # DEPENDENCYPART_ARC
(3,15),-0.469934 # DEPENDENCYPART_ARC
(3,16),-0.853733 # DEPENDENCYPART_ARC
(3,17),-1.33946 # DEPENDENCYPART_ARC
(3,18),-0.250071 # DEPENDENCYPART_ARC
(4,1),0.174276 # DEPENDENCYPART_ARC
(4,2),-0.416353 # DEPENDENCYPART_ARC
(4,3),0.856318 # DEPENDENCYPART_ARC
(4,5),0.664351 # DEPENDENCYPART_ARC
(4,6),-0.910128 # DEPENDENCYPART_ARC
(4,7),-0.0550832 # DEPENDENCYPART_ARC
(4,8),-0.22217 # DEPENDENCYPART_ARC
(4,9),0.5981 # DEPENDENCYPART_ARC
(4,10),0.379017 # DEPENDENCYPART_ARC
(4,11),-0.702856 # DEPENDENCYPART_ARC
(4,12),-0.968938 # DEPENDENCYPART_ARC
(4,13),-0.371128 # DEPENDENCYPART_ARC
(4,14),-0.906547 # DEPENDENCYPART_ARC
(4,15),-0.0253788 # DEPENDENCYPART_ARC
(4,16),-0.895028 # DEPENDENCYPART_ARC
(4,17),-1.45703 # DEPENDENCYPART_ARC
(4,18),1.2799 # DEPENDENCYPART_ARC
(6,1),-0.257961 # DEPENDENCYPART_ARC
(6,2),-1.30854 # DEPENDENCYPART_ARC
(6,3),-0.180338 # DEPENDENCYPART_ARC
(6,7),-0.502812 # DEPENDENCYPART_ARC
(6,8),-0.461167 # DEPENDENCYPART_ARC
(6,12),-1.01263 # DEPENDENCYPART_ARC
(6,14),-1.66238 # DEPENDENCYPART_ARC
(6,17),-1.16457 # DEPENDENCYPART_ARC
(7,1),-2.03905 # DEPENDENCYPART_ARC
(7,2),-2.52188 # DEPENDENCYPART_ARC
(7,3),-0.84319 # DEPENDENCYPART_ARC
(7,4),-2.14726 # DEPENDENCYPART_ARC
(7,5),-1.17817 # DEPENDENCYPART_ARC
(7,6),0.152465 # DEPENDENCYPART_ARC
(7,8),-1.1098 # DEPENDENCYPART_ARC
(7,9),-1.12835 # DEPENDENCYPART_ARC
(7,10),-0.931825 # DEPENDENCYPART_ARC
(7,11),-1.94175 # DEPENDENCYPART_ARC
(7,12),-1.8354 # DEPENDENCYPART_ARC
(7,13),-1.52227 # DEPENDENCYPART_ARC
(7,14),-2.54946 # DEPENDENCYPART_ARC
(7,15),-1.496 # DEPENDENCYPART_ARC
(7,16),-2.09163 # DEPENDENCYPART_ARC
(7,17),-2.15372 # DEPENDENCYPART_ARC
(7,18),-0.660327 # DEPENDENCYPART_ARC
(8,1),1.05851 # DEPENDENCYPART_ARC
(8,2),-1.80581 # DEPENDENCYPART_ARC
(8,3),-0.0786839 # DEPENDENCYPART_ARC
(8,4),-0.131603 # DEPENDENCYPART_ARC
(8,5),0.121935 # DEPENDENCYPART_ARC
(8,6),0.45831 # DEPENDENCYPART_ARC
(8,7),3.41097 # DEPENDENCYPART_ARC
(8,9),-1.37095 # DEPENDENCYPART_ARC
(8,10),-0.776065 # DEPENDENCYPART_ARC
(8,11),-1.47616 # DEPENDENCYPART_ARC
(8,12),-1.91423 # DEPENDENCYPART_ARC
(8,13),-1.65816 # DEPENDENCYPART_ARC
(8,14),-1.93327 # DEPENDENCYPART_ARC
(8,15),-1.78932 # DEPENDENCYPART_ARC
(8,16),-1.72723 # DEPENDENCYPART_ARC
(8,17),-2.36098 # DEPENDENCYPART_ARC
(8,18),-0.256299 # DEPENDENCYPART_ARC
(9,1),-0.401543 # DEPENDENCYPART_ARC
(9,2),1.10567 # DEPENDENCYPART_ARC
(9,3),2.1719 # DEPENDENCYPART_ARC
(9,4),0.798384 # DEPENDENCYPART_ARC
(9,5),0.98582 # DEPENDENCYPART_ARC
(9,6),2.38049 # DEPENDENCYPART_ARC
(9,7),1.06077 # DEPENDENCYPART_ARC
(9,8),3.85469 # DEPENDENCYPART_ARC
(9,10),1.57794 # DEPENDENCYPART_ARC
(9,11),-0.0637619 # DEPENDENCYPART_ARC
(9,12),0.041238 # DEPENDENCYPART_ARC
(9,13),-0.525443 # DEPENDENCYPART_ARC
(9,14),-0.81447 # DEPENDENCYPART_ARC
(9,15),1.41452 # DEPENDENCYPART_ARC
(9,16),-0.954061 # DEPENDENCYPART_ARC
(9,17),-0.296438 # DEPENDENCYPART_ARC
(9,18),2.23993 # DEPENDENCYPART_ARC
(11,1),-2.03816 # DEPENDENCYPART_ARC
(11,2),-3.1763 # DEPENDENCYPART_ARC
(11,4),-3.03049 # DEPENDENCYPART_ARC
(11,5),-1.50919 # DEPENDENCYPART_ARC
(11,7),-1.72809 # DEPENDENCYPART_ARC
(11,8),-2.5762 # DEPENDENCYPART_ARC
(11,10),-0.607351 # DEPENDENCYPART_ARC
(11,12),-0.63096 # DEPENDENCYPART_ARC
(11,14),-1.19637 # DEPENDENCYPART_ARC
(11,17),-1.76417 # DEPENDENCYPART_ARC
(12,1),-2.32502 # DEPENDENCYPART_ARC
(12,2),-4.61065 # DEPENDENCYPART_ARC
(12,3),-1.9045 # DEPENDENCYPART_ARC
(12,4),-3.45965 # DEPENDENCYPART_ARC
(12,5),-2.25008 # DEPENDENCYPART_ARC
(12,6),-2.79559 # DEPENDENCYPART_ARC
(12,7),-1.79858 # DEPENDENCYPART_ARC
(12,8),-3.85466 # DEPENDENCYPART_ARC
(12,9),-2.29762 # DEPENDENCYPART_ARC
(12,10),-1.06226 # DEPENDENCYPART_ARC
(12,11),2.9896 # DEPENDENCYPART_ARC
(12,13),-0.612679 # DEPENDENCYPART_ARC
(12,14),-0.371692 # DEPENDENCYPART_ARC
(12,15),-0.334889 # DEPENDENCYPART_ARC
(12,16),-1.00307 # DEPENDENCYPART_ARC
(12,17),-1.23719 # DEPENDENCYPART_ARC
(12,18),-0.135192 # DEPENDENCYPART_ARC
(13,1),-2.55289 # DEPENDENCYPART_ARC
(13,2),-2.79866 # DEPENDENCYPART_ARC
(13,3),-1.7191 # DEPENDENCYPART_ARC
(13,4),-2.30955 # DEPENDENCYPART_ARC
(13,5),-2.06764 # DEPENDENCYPART_ARC
(13,6),-2.22685 # DEPENDENCYPART_ARC
(13,7),-2.23788 # DEPENDENCYPART_ARC
(13,8),-2.58166 # DEPENDENCYPART_ARC
(13,9),-1.68653 # DEPENDENCYPART_ARC
(13,10),-1.27241 # DEPENDENCYPART_ARC
(13,11),-0.406702 # DEPENDENCYPART_ARC
(13,12),-0.915289 # DEPENDENCYPART_ARC
(13,14),-1.31078 # DEPENDENCYPART_ARC
(13,15),-0.761334 # DEPENDENCYPART_ARC
(13,16),-1.54092 # DEPENDENCYPART_ARC
(13,17),-1.61962 # DEPENDENCYPART_ARC
(13,18),-0.859332 # DEPENDENCYPART_ARC
(14,1),-1.5632 # DEPENDENCYPART_ARC
(14,2),-4.1437 # DEPENDENCYPART_ARC
(14,3),-1.26905 # DEPENDENCYPART_ARC
(14,4),-2.89242 # DEPENDENCYPART_ARC
(14,5),-1.73933 # DEPENDENCYPART_ARC
(14,6),-1.21803 # DEPENDENCYPART_ARC
(14,7),-1.22684 # DEPENDENCYPART_ARC
(14,8),-3.62367 # DEPENDENCYPART_ARC
(14,9),-1.97678 # DEPENDENCYPART_ARC
(14,10),-0.403987 # DEPENDENCYPART_ARC
(14,11),0.873078 # DEPENDENCYPART_ARC
(14,12),-0.561682 # DEPENDENCYPART_ARC
(14,13),2.9916 # DEPENDENCYPART_ARC
(14,15),-0.578146 # DEPENDENCYPART_ARC
(14,16),-1.26274 # DEPENDENCYPART_ARC
(14,17),-1.6817 # DEPENDENCYPART_ARC
(14,18),-0.67532 # DEPENDENCYPART_ARC
(15,1),-1.20262 # DEPENDENCYPART_ARC
(15,2),-0.780835 # DEPENDENCYPART_ARC
(15,3),1.16635 # DEPENDENCYPART_ARC
(15,4),-0.153775 # DEPENDENCYPART_ARC
(15,5),0.408533 # DEPENDENCYPART_ARC
(15,6),0.415995 # DEPENDENCYPART_ARC
(15,7),-0.43955 # DEPENDENCYPART_ARC
(15,8),1.89381 # DEPENDENCYPART_ARC
(15,9),0.323171 # DEPENDENCYPART_ARC
(15,10),1.10022 # DEPENDENCYPART_ARC
(15,11),-0.226298 # DEPENDENCYPART_ARC
(15,12),2.48377 # DEPENDENCYPART_ARC
(15,13),0.652085 # DEPENDENCYPART_ARC
(15,14),3.0584 # DEPENDENCYPART_ARC
(15,16),0.114825 # DEPENDENCYPART_ARC
(15,17),2.98195 # DEPENDENCYPART_ARC
(15,18),1.61325 # DEPENDENCYPART_ARC
(16,1),-2.67164 # DEPENDENCYPART_ARC
(16,2),-3.85347 # DEPENDENCYPART_ARC
(16,4),-3.74024 # DEPENDENCYPART_ARC
(16,5),-2.13074 # DEPENDENCYPART_ARC
(16,7),-2.52802 # DEPENDENCYPART_ARC
(16,8),-3.57574 # DEPENDENCYPART_ARC
(16,10),-1.87629 # DEPENDENCYPART_ARC
(16,12),-3.18748 # DEPENDENCYPART_ARC
(16,14),-2.71553 # DEPENDENCYPART_ARC
(16,17),-0.582953 # DEPENDENCYPART_ARC
(17,1),-3.11047 # DEPENDENCYPART_ARC
(17,2),-5.33207 # DEPENDENCYPART_ARC
(17,3),-1.85761 # DEPENDENCYPART_ARC
(17,4),-3.88088 # DEPENDENCYPART_ARC
(17,5),-2.74709 # DEPENDENCYPART_ARC
(17,6),-3.22018 # DEPENDENCYPART_ARC
(17,7),-2.76521 # DEPENDENCYPART_ARC
(17,8),-4.87925 # DEPENDENCYPART_ARC
(17,9),-3.08665 # DEPENDENCYPART_ARC
(17,10),-2.02786 # DEPENDENCYPART_ARC
(17,11),-0.459471 # DEPENDENCYPART_ARC
(17,12),-3.62833 # DEPENDENCYPART_ARC
(17,13),-0.825558 # DEPENDENCYPART_ARC
(17,14),-3.94188 # DEPENDENCYPART_ARC
(17,15),-0.963898 # DEPENDENCYPART_ARC
(17,16),3.2866 # DEPENDENCYPART_ARC
(17,18),-0.884605 # DEPENDENCYPART_ARC
