# _root_ A legrövidebb távot , a 2000 métert a II. korcsoport tagjai , az 1986- 1988-as születésű lányok teszik meg .
#goldHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,16,16,17,18,0,18,18,
#predictedHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,17,17,17,18,0,18,18,
(8,9),0.601836 # DEPENDENCYPART_ARC
(8,10),-0.0332432 # DEPENDENCYPART_ARC
(8,11),-0.763118 # DEPENDENCYPART_ARC
(8,12),0.082172 # DEPENDENCYPART_ARC
(8,13),-0.444241 # DEPENDENCYPART_ARC
(8,14),-0.205984 # DEPENDENCYPART_ARC
(8,15),-0.356541 # DEPENDENCYPART_ARC
(8,16),-0.309588 # DEPENDENCYPART_ARC
(8,17),-1.15674 # DEPENDENCYPART_ARC
(8,18),-0.95939 # DEPENDENCYPART_ARC
(8,19),-0.675706 # DEPENDENCYPART_ARC
(8,20),-1.22665 # DEPENDENCYPART_ARC
(9,1),-1.07667 # DEPENDENCYPART_ARC
(9,2),-1.5015 # DEPENDENCYPART_ARC
(9,3),-2.66487 # DEPENDENCYPART_ARC
(9,4),-1.59295 # DEPENDENCYPART_ARC
(9,5),-0.89215 # DEPENDENCYPART_ARC
(9,6),-0.977116 # DEPENDENCYPART_ARC
(9,7),-1.75007 # DEPENDENCYPART_ARC
(9,8),0.344205 # DEPENDENCYPART_ARC
(9,10),-0.51078 # DEPENDENCYPART_ARC
(9,11),-1.08495 # DEPENDENCYPART_ARC
(9,12),-0.848791 # DEPENDENCYPART_ARC
(9,13),-1.66633 # DEPENDENCYPART_ARC
(9,14),-1.33721 # DEPENDENCYPART_ARC
(9,15),-1.56014 # DEPENDENCYPART_ARC
(9,16),-1.62017 # DEPENDENCYPART_ARC
(9,17),-2.10185 # DEPENDENCYPART_ARC
(9,18),-0.950878 # DEPENDENCYPART_ARC
(9,19),-1.74387 # DEPENDENCYPART_ARC
(9,20),-0.446599 # DEPENDENCYPART_ARC
(10,1),-0.161699 # DEPENDENCYPART_ARC
(10,2),-0.132229 # DEPENDENCYPART_ARC
(10,3),-3.95823 # DEPENDENCYPART_ARC
(10,4),-0.498978 # DEPENDENCYPART_ARC
(10,5),0.619988 # DEPENDENCYPART_ARC
(10,6),0.970131 # DEPENDENCYPART_ARC
(10,7),-2.48338 # DEPENDENCYPART_ARC
(10,8),2.59277 # DEPENDENCYPART_ARC
(10,9),3.11901 # DEPENDENCYPART_ARC
(10,11),-0.607635 # DEPENDENCYPART_ARC
(10,12),-0.231094 # DEPENDENCYPART_ARC
(10,13),-1.17907 # DEPENDENCYPART_ARC
(10,14),-0.568996 # DEPENDENCYPART_ARC
(10,15),-1.26069 # DEPENDENCYPART_ARC
(10,16),-1.22946 # DEPENDENCYPART_ARC
(10,17),-0.945399 # DEPENDENCYPART_ARC
(10,18),-0.636868 # DEPENDENCYPART_ARC
(10,19),-1.07556 # DEPENDENCYPART_ARC
(10,20),-0.214126 # DEPENDENCYPART_ARC
(11,1),-1.01195 # DEPENDENCYPART_ARC
(11,2),-0.858556 # DEPENDENCYPART_ARC
(11,3),-2.71761 # DEPENDENCYPART_ARC
(11,4),-0.0267586 # DEPENDENCYPART_ARC
(11,5),-0.140688 # DEPENDENCYPART_ARC
(11,6),-0.395429 # DEPENDENCYPART_ARC
(11,7),-1.73262 # DEPENDENCYPART_ARC
(11,8),1.12605 # DEPENDENCYPART_ARC
(11,9),1.15979 # DEPENDENCYPART_ARC
(11,10),4.46788 # DEPENDENCYPART_ARC
(11,12),0.43538 # DEPENDENCYPART_ARC
(11,13),-0.802805 # DEPENDENCYPART_ARC
(11,14),0.0294525 # DEPENDENCYPART_ARC
(11,15),-0.380457 # DEPENDENCYPART_ARC
(11,16),-0.276907 # DEPENDENCYPART_ARC
(11,17),0.174633 # DEPENDENCYPART_ARC
(11,18),-0.825341 # DEPENDENCYPART_ARC
(11,19),-0.617002 # DEPENDENCYPART_ARC
(11,20),0.366554 # DEPENDENCYPART_ARC
(12,1),-1.78362 # DEPENDENCYPART_ARC
(12,2),-2.22806 # DEPENDENCYPART_ARC
(12,3),-3.00057 # DEPENDENCYPART_ARC
(12,4),-1.5328 # DEPENDENCYPART_ARC
(12,5),-1.66185 # DEPENDENCYPART_ARC
(12,6),-1.82973 # DEPENDENCYPART_ARC
(12,7),-2.53359 # DEPENDENCYPART_ARC
(12,8),-1.48948 # DEPENDENCYPART_ARC
(12,9),-1.47651 # DEPENDENCYPART_ARC
(12,10),-1.93752 # DEPENDENCYPART_ARC
(12,11),-1.46891 # DEPENDENCYPART_ARC
(12,13),-0.636878 # DEPENDENCYPART_ARC
(12,14),-0.661736 # DEPENDENCYPART_ARC
(12,15),-0.943186 # DEPENDENCYPART_ARC
(12,16),-1.03463 # DEPENDENCYPART_ARC
(12,17),-1.64906 # DEPENDENCYPART_ARC
(12,18),-1.1054 # DEPENDENCYPART_ARC
(12,19),-1.09726 # DEPENDENCYPART_ARC
(12,20),-0.967496 # DEPENDENCYPART_ARC
(13,1),-1.03551 # DEPENDENCYPART_ARC
(13,2),-1.268 # DEPENDENCYPART_ARC
(13,3),-2.25201 # DEPENDENCYPART_ARC
(13,4),-0.977518 # DEPENDENCYPART_ARC
(13,5),-0.922063 # DEPENDENCYPART_ARC
(13,6),-1.24279 # DEPENDENCYPART_ARC
(13,7),-2.0409 # DEPENDENCYPART_ARC
(13,8),-0.850963 # DEPENDENCYPART_ARC
(13,9),-1.01277 # DEPENDENCYPART_ARC
(13,10),-1.58204 # DEPENDENCYPART_ARC
(13,11),-1.57583 # DEPENDENCYPART_ARC
(13,12),-0.0635275 # DEPENDENCYPART_ARC
(13,14),0.537416 # DEPENDENCYPART_ARC
(13,15),0.480082 # DEPENDENCYPART_ARC
(13,16),0.285469 # DEPENDENCYPART_ARC
(13,17),-0.556758 # DEPENDENCYPART_ARC
(13,18),-0.502208 # DEPENDENCYPART_ARC
(13,19),-0.48035 # DEPENDENCYPART_ARC
(13,20),-0.284939 # DEPENDENCYPART_ARC
(14,1),-0.788075 # DEPENDENCYPART_ARC
(14,2),-0.893675 # DEPENDENCYPART_ARC
(14,3),-1.57177 # DEPENDENCYPART_ARC
(14,4),-0.663661 # DEPENDENCYPART_ARC
(14,5),-0.633492 # DEPENDENCYPART_ARC
(14,6),-0.806478 # DEPENDENCYPART_ARC
(14,7),-1.18259 # DEPENDENCYPART_ARC
(14,8),-0.496469 # DEPENDENCYPART_ARC
(14,9),-0.707815 # DEPENDENCYPART_ARC
(14,10),-0.83227 # DEPENDENCYPART_ARC
(14,11),-0.630927 # DEPENDENCYPART_ARC
(14,12),-0.23678 # DEPENDENCYPART_ARC
(14,13),1.0481 # DEPENDENCYPART_ARC
(14,15),-0.268614 # DEPENDENCYPART_ARC
(14,16),-0.450406 # DEPENDENCYPART_ARC
(14,17),-0.593696 # DEPENDENCYPART_ARC
(14,18),-0.490144 # DEPENDENCYPART_ARC
(14,19),-0.793524 # DEPENDENCYPART_ARC
(14,20),-0.235266 # DEPENDENCYPART_ARC
(15,1),-1.34168 # DEPENDENCYPART_ARC
(15,2),-1.32336 # DEPENDENCYPART_ARC
(15,3),-1.29369 # DEPENDENCYPART_ARC
(15,4),-1.02129 # DEPENDENCYPART_ARC
(15,5),-0.892559 # DEPENDENCYPART_ARC
(15,6),-0.416978 # DEPENDENCYPART_ARC
(15,7),-0.684135 # DEPENDENCYPART_ARC
(15,8),-0.540252 # DEPENDENCYPART_ARC
(15,9),-0.183304 # DEPENDENCYPART_ARC
(15,10),-0.725696 # DEPENDENCYPART_ARC
(15,11),-1.32111 # DEPENDENCYPART_ARC
(15,12),0.102314 # DEPENDENCYPART_ARC
(15,13),0.366449 # DEPENDENCYPART_ARC
(15,14),1.45685 # DEPENDENCYPART_ARC
(15,16),-0.564693 # DEPENDENCYPART_ARC
(15,17),-0.656801 # DEPENDENCYPART_ARC
(15,18),-0.510313 # DEPENDENCYPART_ARC
(15,19),-0.96707 # DEPENDENCYPART_ARC
(15,20),-0.515783 # DEPENDENCYPART_ARC
(16,1),-1.20236 # DEPENDENCYPART_ARC
(16,2),-0.957381 # DEPENDENCYPART_ARC
(16,3),-1.59621 # DEPENDENCYPART_ARC
(16,4),-0.860224 # DEPENDENCYPART_ARC
(16,5),-0.805376 # DEPENDENCYPART_ARC
(16,6),-0.387339 # DEPENDENCYPART_ARC
(16,7),-0.709928 # DEPENDENCYPART_ARC
(16,8),-0.407299 # DEPENDENCYPART_ARC
(16,9),-0.197762 # DEPENDENCYPART_ARC
(16,10),-0.840633 # DEPENDENCYPART_ARC
(16,11),-1.58771 # DEPENDENCYPART_ARC
(16,12),0.0803011 # DEPENDENCYPART_ARC
(16,13),0.19701 # DEPENDENCYPART_ARC
(16,14),0.848895 # DEPENDENCYPART_ARC
(16,15),1.77595 # DEPENDENCYPART_ARC
(16,17),-0.682952 # DEPENDENCYPART_ARC
(16,18),-0.629247 # DEPENDENCYPART_ARC
(16,19),-1.05533 # DEPENDENCYPART_ARC
(16,20),-0.650966 # DEPENDENCYPART_ARC
(17,1),-0.698744 # DEPENDENCYPART_ARC
(17,2),-0.316967 # DEPENDENCYPART_ARC
(17,3),-3.63298 # DEPENDENCYPART_ARC
(17,4),-0.738014 # DEPENDENCYPART_ARC
(17,5),0.330723 # DEPENDENCYPART_ARC
(17,6),-0.826406 # DEPENDENCYPART_ARC
(17,7),-2.55575 # DEPENDENCYPART_ARC
(17,8),1.23625 # DEPENDENCYPART_ARC
(17,9),-0.133677 # DEPENDENCYPART_ARC
(17,10),0.116676 # DEPENDENCYPART_ARC
(17,11),-2.40586 # DEPENDENCYPART_ARC
(17,12),0.151694 # DEPENDENCYPART_ARC
(17,13),1.94169 # DEPENDENCYPART_ARC
(17,14),1.55252 # DEPENDENCYPART_ARC
(17,15),2.74966 # DEPENDENCYPART_ARC
(17,16),3.80943 # DEPENDENCYPART_ARC
(17,18),-0.830725 # DEPENDENCYPART_ARC
(17,19),-1.0392 # DEPENDENCYPART_ARC
(17,20),-0.54756 # DEPENDENCYPART_ARC
(18,1),-0.00429831 # DEPENDENCYPART_ARC
(18,2),-0.296593 # DEPENDENCYPART_ARC
(18,3),1.16045 # DEPENDENCYPART_ARC
(18,4),1.06156 # DEPENDENCYPART_ARC
(18,5),0.202792 # DEPENDENCYPART_ARC
(18,6),-0.170653 # DEPENDENCYPART_ARC
(18,7),2.06463 # DEPENDENCYPART_ARC
(18,8),0.0104592 # DEPENDENCYPART_ARC
(18,9),0.00879273 # DEPENDENCYPART_ARC
(18,10),1.04375 # DEPENDENCYPART_ARC
(18,11),1.78586 # DEPENDENCYPART_ARC
(18,12),1.5754 # DEPENDENCYPART_ARC
(18,13),0.461027 # DEPENDENCYPART_ARC
(18,14),0.992562 # DEPENDENCYPART_ARC
(18,15),0.443024 # DEPENDENCYPART_ARC
(18,16),0.858422 # DEPENDENCYPART_ARC
(18,17),3.99651 # DEPENDENCYPART_ARC
(18,19),3.30464 # DEPENDENCYPART_ARC
(18,20),1.8154 # DEPENDENCYPART_ARC
(19,1),-1.48192 # DEPENDENCYPART_ARC
(19,2),-0.438797 # DEPENDENCYPART_ARC
(19,3),-0.926903 # DEPENDENCYPART_ARC
(19,4),-0.985188 # DEPENDENCYPART_ARC
(19,5),-1.11155 # DEPENDENCYPART_ARC
(19,6),-0.616164 # DEPENDENCYPART_ARC
(19,7),-0.339972 # DEPENDENCYPART_ARC
(19,8),-0.926512 # DEPENDENCYPART_ARC
(19,9),-0.47955 # DEPENDENCYPART_ARC
(19,10),-0.0736989 # DEPENDENCYPART_ARC
(19,11),-0.406442 # DEPENDENCYPART_ARC
(19,12),-0.16664 # DEPENDENCYPART_ARC
(19,13),-0.304424 # DEPENDENCYPART_ARC
(19,14),-0.14097 # DEPENDENCYPART_ARC
(19,15),0.00369378 # DEPENDENCYPART_ARC
(19,16),0.183339 # DEPENDENCYPART_ARC
(19,17),0.638567 # DEPENDENCYPART_ARC
(19,18),0.591444 # DEPENDENCYPART_ARC
(19,20),0.489615 # DEPENDENCYPART_ARC
(20,1),-3.00003 # DEPENDENCYPART_ARC
(20,2),-3.28764 # DEPENDENCYPART_ARC
(20,3),-4.00748 # DEPENDENCYPART_ARC
(20,4),-2.74402 # DEPENDENCYPART_ARC
(20,5),-2.9436 # DEPENDENCYPART_ARC
(20,6),-3.00682 # DEPENDENCYPART_ARC
(20,7),-3.8394 # DEPENDENCYPART_ARC
(20,8),-2.82129 # DEPENDENCYPART_ARC
(20,9),-2.94178 # DEPENDENCYPART_ARC
(20,10),-3.67747 # DEPENDENCYPART_ARC
(20,11),-3.67448 # DEPENDENCYPART_ARC
(20,12),-2.44951 # DEPENDENCYPART_ARC
(20,13),-2.64225 # DEPENDENCYPART_ARC
(20,14),-2.64348 # DEPENDENCYPART_ARC
(20,15),-2.85084 # DEPENDENCYPART_ARC
(20,16),-2.7129 # DEPENDENCYPART_ARC
(20,17),-3.08642 # DEPENDENCYPART_ARC
(20,18),-1.96438 # DEPENDENCYPART_ARC
(20,19),-1.23069 # DEPENDENCYPART_ARC
