# _root_ Koszovó székhelyének , Pristinának egyik kerületében összegyűjtik az embereket , majd vonatokon és autóbuszokon elindítják őket Macedónia felé .
#goldHeads=2,4,4,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
#predictedHeads=2,4,7,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
(13,9),-0.623713 # DEPENDENCYPART_ARC
(13,10),0.832592 # DEPENDENCYPART_ARC
(13,11),0.222864 # DEPENDENCYPART_ARC
(13,12),0.110434 # DEPENDENCYPART_ARC
(13,14),-0.257407 # DEPENDENCYPART_ARC
(13,15),0.676942 # DEPENDENCYPART_ARC
(13,16),-1.06484 # DEPENDENCYPART_ARC
(13,17),-0.206205 # DEPENDENCYPART_ARC
(13,18),-0.297496 # DEPENDENCYPART_ARC
(13,19),0.685922 # DEPENDENCYPART_ARC
(14,1),-2.53522 # DEPENDENCYPART_ARC
(14,2),-4.54547 # DEPENDENCYPART_ARC
(14,3),-1.19758 # DEPENDENCYPART_ARC
(14,4),-3.05971 # DEPENDENCYPART_ARC
(14,5),-1.7895 # DEPENDENCYPART_ARC
(14,6),-3.75952 # DEPENDENCYPART_ARC
(14,7),-2.25659 # DEPENDENCYPART_ARC
(14,8),0.170901 # DEPENDENCYPART_ARC
(14,9),-2.00378 # DEPENDENCYPART_ARC
(14,10),0.252148 # DEPENDENCYPART_ARC
(14,11),-0.265181 # DEPENDENCYPART_ARC
(14,12),-0.657889 # DEPENDENCYPART_ARC
(14,13),0.860333 # DEPENDENCYPART_ARC
(14,15),-0.869719 # DEPENDENCYPART_ARC
(14,16),-1.2048 # DEPENDENCYPART_ARC
(14,17),-1.46458 # DEPENDENCYPART_ARC
(14,18),-0.553832 # DEPENDENCYPART_ARC
(14,19),-0.440346 # DEPENDENCYPART_ARC
(15,1),-0.827685 # DEPENDENCYPART_ARC
(15,2),-1.13819 # DEPENDENCYPART_ARC
(15,3),-0.140003 # DEPENDENCYPART_ARC
(15,4),-0.102861 # DEPENDENCYPART_ARC
(15,5),-1.98103 # DEPENDENCYPART_ARC
(15,6),1.04894 # DEPENDENCYPART_ARC
(15,7),-1.09821 # DEPENDENCYPART_ARC
(15,8),-0.636744 # DEPENDENCYPART_ARC
(15,9),0.961843 # DEPENDENCYPART_ARC
(15,10),0.359236 # DEPENDENCYPART_ARC
(15,11),0.607771 # DEPENDENCYPART_ARC
(15,12),2.57761 # DEPENDENCYPART_ARC
(15,13),1.80976 # DEPENDENCYPART_ARC
(15,14),3.75889 # DEPENDENCYPART_ARC
(15,16),1.65658 # DEPENDENCYPART_ARC
(15,17),0.665231 # DEPENDENCYPART_ARC
(15,18),1.90458 # DEPENDENCYPART_ARC
(15,19),1.77053 # DEPENDENCYPART_ARC
(16,1),-1.86585 # DEPENDENCYPART_ARC
(16,2),-1.57309 # DEPENDENCYPART_ARC
(16,3),-1.29933 # DEPENDENCYPART_ARC
(16,4),-1.56346 # DEPENDENCYPART_ARC
(16,6),-1.34195 # DEPENDENCYPART_ARC
(16,7),-1.37097 # DEPENDENCYPART_ARC
(16,9),-2.01627 # DEPENDENCYPART_ARC
(16,10),-0.803854 # DEPENDENCYPART_ARC
(16,11),-0.961129 # DEPENDENCYPART_ARC
(16,12),-1.31447 # DEPENDENCYPART_ARC
(16,13),-0.652717 # DEPENDENCYPART_ARC
(16,14),-1.11783 # DEPENDENCYPART_ARC
(16,15),-0.257599 # DEPENDENCYPART_ARC
(16,17),-0.489371 # DEPENDENCYPART_ARC
(16,18),-0.687892 # DEPENDENCYPART_ARC
(16,19),-0.621424 # DEPENDENCYPART_ARC
(17,1),-3.91149 # DEPENDENCYPART_ARC
(17,2),-5.53125 # DEPENDENCYPART_ARC
(17,3),-1.83437 # DEPENDENCYPART_ARC
(17,4),-3.81846 # DEPENDENCYPART_ARC
(17,5),-2.58676 # DEPENDENCYPART_ARC
(17,6),-5.76753 # DEPENDENCYPART_ARC
(17,7),-2.08109 # DEPENDENCYPART_ARC
(17,8),-1.12832 # DEPENDENCYPART_ARC
(17,9),-5.20641 # DEPENDENCYPART_ARC
(17,10),-1.01527 # DEPENDENCYPART_ARC
(17,11),-0.69654 # DEPENDENCYPART_ARC
(17,12),-4.07881 # DEPENDENCYPART_ARC
(17,13),-0.35577 # DEPENDENCYPART_ARC
(17,14),-3.83051 # DEPENDENCYPART_ARC
(17,15),-0.0534466 # DEPENDENCYPART_ARC
(17,16),-0.790072 # DEPENDENCYPART_ARC
(17,18),-0.535572 # DEPENDENCYPART_ARC
(17,19),-1.11019 # DEPENDENCYPART_ARC
(18,1),-2.02279 # DEPENDENCYPART_ARC
(18,2),-1.21946 # DEPENDENCYPART_ARC
(18,3),-0.454196 # DEPENDENCYPART_ARC
(18,4),-1.4465 # DEPENDENCYPART_ARC
(18,5),-1.9288 # DEPENDENCYPART_ARC
(18,6),-0.887404 # DEPENDENCYPART_ARC
(18,7),-1.14285 # DEPENDENCYPART_ARC
(18,8),-0.686592 # DEPENDENCYPART_ARC
(18,9),-0.402502 # DEPENDENCYPART_ARC
(18,10),0.191598 # DEPENDENCYPART_ARC
(18,11),-0.054134 # DEPENDENCYPART_ARC
(18,12),0.376968 # DEPENDENCYPART_ARC
(18,13),0.92961 # DEPENDENCYPART_ARC
(18,14),0.0868476 # DEPENDENCYPART_ARC
(18,15),0.0934472 # DEPENDENCYPART_ARC
(18,16),1.08758 # DEPENDENCYPART_ARC
(18,17),3.77146 # DEPENDENCYPART_ARC
(18,19),-0.0246392 # DEPENDENCYPART_ARC
