# _root_ Be kell vallanom , csak pár nap alatt sikerült kiderítenem , hogy retrofit magyarul azt jelenti : korszerűsítés .
#goldHeads=2,0,2,2,9,7,8,9,3,9,9,9,16,16,16,10,16,15,2,
#predictedHeads=2,16,2,2,10,7,8,10,2,9,2,9,16,16,16,0,16,16,2,
(6,10),-0.837108 # DEPENDENCYPART_ARC
(6,11),-0.436132 # DEPENDENCYPART_ARC
(6,12),-0.878439 # DEPENDENCYPART_ARC
(6,13),-1.49238 # DEPENDENCYPART_ARC
(6,14),-1.49371 # DEPENDENCYPART_ARC
(6,15),-1.6746 # DEPENDENCYPART_ARC
(6,16),-0.61776 # DEPENDENCYPART_ARC
(6,17),-0.188471 # DEPENDENCYPART_ARC
(6,18),-2.02278 # DEPENDENCYPART_ARC
(6,19),0.0912342 # DEPENDENCYPART_ARC
(7,1),-0.480491 # DEPENDENCYPART_ARC
(7,2),-1.29606 # DEPENDENCYPART_ARC
(7,3),0.0582949 # DEPENDENCYPART_ARC
(7,4),0.341072 # DEPENDENCYPART_ARC
(7,5),1.23167 # DEPENDENCYPART_ARC
(7,6),3.21855 # DEPENDENCYPART_ARC
(7,8),-0.438372 # DEPENDENCYPART_ARC
(7,9),-0.862671 # DEPENDENCYPART_ARC
(7,10),-1.09413 # DEPENDENCYPART_ARC
(7,11),-0.597791 # DEPENDENCYPART_ARC
(7,12),-1.41542 # DEPENDENCYPART_ARC
(7,13),-1.79673 # DEPENDENCYPART_ARC
(7,14),-2.04992 # DEPENDENCYPART_ARC
(7,15),-2.48586 # DEPENDENCYPART_ARC
(7,16),-1.08491 # DEPENDENCYPART_ARC
(7,17),-0.692002 # DEPENDENCYPART_ARC
(7,18),-2.67962 # DEPENDENCYPART_ARC
(7,19),0.0184078 # DEPENDENCYPART_ARC
(8,2),-0.928718 # DEPENDENCYPART_ARC
(8,3),-0.501891 # DEPENDENCYPART_ARC
(8,4),-0.0272407 # DEPENDENCYPART_ARC
(8,5),0.124946 # DEPENDENCYPART_ARC
(8,6),0.784539 # DEPENDENCYPART_ARC
(8,7),3.94019 # DEPENDENCYPART_ARC
(8,9),-0.0378848 # DEPENDENCYPART_ARC
(8,10),-0.322502 # DEPENDENCYPART_ARC
(8,11),-0.270819 # DEPENDENCYPART_ARC
(8,13),-0.827044 # DEPENDENCYPART_ARC
(8,14),-0.854811 # DEPENDENCYPART_ARC
(8,15),-1.08035 # DEPENDENCYPART_ARC
(8,16),-0.336896 # DEPENDENCYPART_ARC
(8,17),-0.3458 # DEPENDENCYPART_ARC
(8,18),-1.35194 # DEPENDENCYPART_ARC
(8,19),-0.08027 # DEPENDENCYPART_ARC
(9,1),0.102506 # DEPENDENCYPART_ARC
(9,2),0.217105 # DEPENDENCYPART_ARC
(9,3),1.74525 # DEPENDENCYPART_ARC
(9,4),0.785251 # DEPENDENCYPART_ARC
(9,5),1.5972 # DEPENDENCYPART_ARC
(9,6),0.0376752 # DEPENDENCYPART_ARC
(9,7),0.882191 # DEPENDENCYPART_ARC
(9,8),1.87596 # DEPENDENCYPART_ARC
(9,10),4.86662 # DEPENDENCYPART_ARC
(9,11),1.62256 # DEPENDENCYPART_ARC
(9,12),2.55479 # DEPENDENCYPART_ARC
(9,13),-0.990422 # DEPENDENCYPART_ARC
(9,14),0.195544 # DEPENDENCYPART_ARC
(9,15),-0.781771 # DEPENDENCYPART_ARC
(9,16),0.517606 # DEPENDENCYPART_ARC
(9,17),1.05175 # DEPENDENCYPART_ARC
(9,18),-1.15603 # DEPENDENCYPART_ARC
(9,19),1.82524 # DEPENDENCYPART_ARC
(10,1),0.249676 # DEPENDENCYPART_ARC
(10,2),0.0848836 # DEPENDENCYPART_ARC
(10,3),0.364687 # DEPENDENCYPART_ARC
(10,4),0.315141 # DEPENDENCYPART_ARC
(10,5),1.64416 # DEPENDENCYPART_ARC
(10,6),-0.531619 # DEPENDENCYPART_ARC
(10,7),-0.4566 # DEPENDENCYPART_ARC
(10,8),2.45317 # DEPENDENCYPART_ARC
(10,9),1.22287 # DEPENDENCYPART_ARC
(10,11),0.844724 # DEPENDENCYPART_ARC
(10,12),1.6089 # DEPENDENCYPART_ARC
(10,13),-1.89606 # DEPENDENCYPART_ARC
(10,14),0.174277 # DEPENDENCYPART_ARC
(10,15),-0.972833 # DEPENDENCYPART_ARC
(10,16),-0.648351 # DEPENDENCYPART_ARC
(10,17),0.127706 # DEPENDENCYPART_ARC
(10,18),-2.42517 # DEPENDENCYPART_ARC
(10,19),0.987362 # DEPENDENCYPART_ARC
(12,1),-1.13919 # DEPENDENCYPART_ARC
(12,2),-0.845283 # DEPENDENCYPART_ARC
(12,3),-0.920135 # DEPENDENCYPART_ARC
(12,4),-0.616615 # DEPENDENCYPART_ARC
(12,5),-0.32032 # DEPENDENCYPART_ARC
(12,6),-0.283412 # DEPENDENCYPART_ARC
(12,7),-0.301573 # DEPENDENCYPART_ARC
(12,8),0.0101897 # DEPENDENCYPART_ARC
(12,9),-0.121496 # DEPENDENCYPART_ARC
(12,10),-0.138279 # DEPENDENCYPART_ARC
(12,11),0.985423 # DEPENDENCYPART_ARC
(12,13),-0.816169 # DEPENDENCYPART_ARC
(12,14),-0.405952 # DEPENDENCYPART_ARC
(12,15),-1.57443 # DEPENDENCYPART_ARC
(12,16),0.694922 # DEPENDENCYPART_ARC
(12,17),0.306208 # DEPENDENCYPART_ARC
(12,18),-1.90761 # DEPENDENCYPART_ARC
(12,19),1.21849 # DEPENDENCYPART_ARC
(13,1),-2.04794 # DEPENDENCYPART_ARC
(13,2),-2.93028 # DEPENDENCYPART_ARC
(13,3),-2.02252 # DEPENDENCYPART_ARC
(13,4),-2.05493 # DEPENDENCYPART_ARC
(13,5),-1.61551 # DEPENDENCYPART_ARC
(13,6),-0.968902 # DEPENDENCYPART_ARC
(13,7),-2.63218 # DEPENDENCYPART_ARC
(13,8),-1.59267 # DEPENDENCYPART_ARC
(13,9),-1.54157 # DEPENDENCYPART_ARC
(13,10),-0.807766 # DEPENDENCYPART_ARC
(13,11),-0.423715 # DEPENDENCYPART_ARC
(13,12),-0.674753 # DEPENDENCYPART_ARC
(13,14),-0.552155 # DEPENDENCYPART_ARC
(13,15),-1.57926 # DEPENDENCYPART_ARC
(13,16),0.135061 # DEPENDENCYPART_ARC
(13,17),-0.110424 # DEPENDENCYPART_ARC
(13,18),-1.16934 # DEPENDENCYPART_ARC
(13,19),0.400122 # DEPENDENCYPART_ARC
(14,1),-0.937202 # DEPENDENCYPART_ARC
(14,2),-1.45444 # DEPENDENCYPART_ARC
(14,3),-0.723406 # DEPENDENCYPART_ARC
(14,4),-0.537145 # DEPENDENCYPART_ARC
(14,5),-0.615804 # DEPENDENCYPART_ARC
(14,6),-0.769509 # DEPENDENCYPART_ARC
(14,7),-2.0016 # DEPENDENCYPART_ARC
(14,8),0.0254634 # DEPENDENCYPART_ARC
(14,9),-1.34816 # DEPENDENCYPART_ARC
(14,10),0.0377892 # DEPENDENCYPART_ARC
(14,11),0.459203 # DEPENDENCYPART_ARC
(14,12),0.431923 # DEPENDENCYPART_ARC
(14,13),0.25208 # DEPENDENCYPART_ARC
(14,15),-0.626132 # DEPENDENCYPART_ARC
(14,16),-0.0386951 # DEPENDENCYPART_ARC
(14,17),0.454456 # DEPENDENCYPART_ARC
(14,18),-0.438195 # DEPENDENCYPART_ARC
(14,19),0.332566 # DEPENDENCYPART_ARC
(15,1),-0.563173 # DEPENDENCYPART_ARC
(15,2),-0.10267 # DEPENDENCYPART_ARC
(15,3),-0.346815 # DEPENDENCYPART_ARC
(15,4),-0.267714 # DEPENDENCYPART_ARC
(15,5),-0.426437 # DEPENDENCYPART_ARC
(15,6),-0.474838 # DEPENDENCYPART_ARC
(15,7),-1.14716 # DEPENDENCYPART_ARC
(15,8),-0.645677 # DEPENDENCYPART_ARC
(15,9),0.0899086 # DEPENDENCYPART_ARC
(15,10),0.107663 # DEPENDENCYPART_ARC
(15,11),0.0330902 # DEPENDENCYPART_ARC
(15,12),-0.0183164 # DEPENDENCYPART_ARC
(15,13),-0.523058 # DEPENDENCYPART_ARC
(15,14),0.822704 # DEPENDENCYPART_ARC
(15,16),0.933537 # DEPENDENCYPART_ARC
(15,17),0.16602 # DEPENDENCYPART_ARC
(15,18),0.314113 # DEPENDENCYPART_ARC
(15,19),0.208127 # DEPENDENCYPART_ARC
(16,1),0.0233226 # DEPENDENCYPART_ARC
(16,2),1.06373 # DEPENDENCYPART_ARC
(16,3),1.24559 # DEPENDENCYPART_ARC
(16,4),0.6886 # DEPENDENCYPART_ARC
(16,5),1.08428 # DEPENDENCYPART_ARC
(16,6),-0.393984 # DEPENDENCYPART_ARC
(16,7),-0.281657 # DEPENDENCYPART_ARC
(16,8),1.65895 # DEPENDENCYPART_ARC
(16,9),0.814559 # DEPENDENCYPART_ARC
(16,10),1.2586 # DEPENDENCYPART_ARC
(16,11),1.08443 # DEPENDENCYPART_ARC
(16,12),1.02204 # DEPENDENCYPART_ARC
(16,13),1.96207 # DEPENDENCYPART_ARC
(16,14),2.89096 # DEPENDENCYPART_ARC
(16,15),4.04814 # DEPENDENCYPART_ARC
(16,17),2.60782 # DEPENDENCYPART_ARC
(16,18),1.71008 # DEPENDENCYPART_ARC
(16,19),2.68249 # DEPENDENCYPART_ARC
(18,1),-1.92183 # DEPENDENCYPART_ARC
(18,2),-2.86206 # DEPENDENCYPART_ARC
(18,3),-1.86705 # DEPENDENCYPART_ARC
(18,4),-2.4045 # DEPENDENCYPART_ARC
(18,5),-1.71095 # DEPENDENCYPART_ARC
(18,6),-1.18995 # DEPENDENCYPART_ARC
(18,7),-3.20515 # DEPENDENCYPART_ARC
(18,8),-1.58022 # DEPENDENCYPART_ARC
(18,9),-1.8038 # DEPENDENCYPART_ARC
(18,10),-1.45027 # DEPENDENCYPART_ARC
(18,11),-1.44334 # DEPENDENCYPART_ARC
(18,12),-1.21391 # DEPENDENCYPART_ARC
(18,13),-2.39227 # DEPENDENCYPART_ARC
(18,14),-2.92512 # DEPENDENCYPART_ARC
(18,15),-2.31483 # DEPENDENCYPART_ARC
(18,16),-0.382007 # DEPENDENCYPART_ARC
(18,17),-0.223168 # DEPENDENCYPART_ARC
(18,19),0.146911 # DEPENDENCYPART_ARC
