# _root_ E társaság tulajdonosai 150_millió forintot keresnek a Márkus_Kft.-n , mondván , ekkora összegben helyeztek el náluk importletétet .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
(10,9),0.828649 # DEPENDENCYPART_ARC
(10,11),1.32617 # DEPENDENCYPART_ARC
(10,12),0.87586 # DEPENDENCYPART_ARC
(10,13),1.13301 # DEPENDENCYPART_ARC
(10,14),2.10213 # DEPENDENCYPART_ARC
(10,15),0.84564 # DEPENDENCYPART_ARC
(10,16),0.80827 # DEPENDENCYPART_ARC
(10,17),0.154768 # DEPENDENCYPART_ARC
(10,18),1.69967 # DEPENDENCYPART_ARC
(11,1),-2.49165 # DEPENDENCYPART_ARC
(11,2),-3.03842 # DEPENDENCYPART_ARC
(11,3),-3.00668 # DEPENDENCYPART_ARC
(11,4),-2.30073 # DEPENDENCYPART_ARC
(11,5),-2.88318 # DEPENDENCYPART_ARC
(11,6),-2.06961 # DEPENDENCYPART_ARC
(11,7),-1.63797 # DEPENDENCYPART_ARC
(11,8),-2.3887 # DEPENDENCYPART_ARC
(11,9),-1.46414 # DEPENDENCYPART_ARC
(11,10),-0.688113 # DEPENDENCYPART_ARC
(11,12),-0.843702 # DEPENDENCYPART_ARC
(11,13),-1.20133 # DEPENDENCYPART_ARC
(11,14),-1.00813 # DEPENDENCYPART_ARC
(11,15),-1.17224 # DEPENDENCYPART_ARC
(11,16),-1.25129 # DEPENDENCYPART_ARC
(11,17),-2.02496 # DEPENDENCYPART_ARC
(11,18),-1.06904 # DEPENDENCYPART_ARC
(12,1),-0.400317 # DEPENDENCYPART_ARC
(12,2),-0.612733 # DEPENDENCYPART_ARC
(12,3),-0.655895 # DEPENDENCYPART_ARC
(12,4),-0.352288 # DEPENDENCYPART_ARC
(12,5),-1.26863 # DEPENDENCYPART_ARC
(12,6),0.47474 # DEPENDENCYPART_ARC
(12,7),-0.136878 # DEPENDENCYPART_ARC
(12,8),-0.713128 # DEPENDENCYPART_ARC
(12,9),0.17825 # DEPENDENCYPART_ARC
(12,10),0.36823 # DEPENDENCYPART_ARC
(12,11),0.260416 # DEPENDENCYPART_ARC
(12,13),0.561279 # DEPENDENCYPART_ARC
(12,14),0.21051 # DEPENDENCYPART_ARC
(12,15),0.160845 # DEPENDENCYPART_ARC
(12,16),0.0179745 # DEPENDENCYPART_ARC
(12,17),-0.27457 # DEPENDENCYPART_ARC
(12,18),0.481663 # DEPENDENCYPART_ARC
(13,1),-0.967136 # DEPENDENCYPART_ARC
(13,2),-3.34974 # DEPENDENCYPART_ARC
(13,3),-3.71098 # DEPENDENCYPART_ARC
(13,4),-0.505343 # DEPENDENCYPART_ARC
(13,5),-4.11912 # DEPENDENCYPART_ARC
(13,6),-2.17614 # DEPENDENCYPART_ARC
(13,7),0.879553 # DEPENDENCYPART_ARC
(13,8),-0.81986 # DEPENDENCYPART_ARC
(13,9),0.0456142 # DEPENDENCYPART_ARC
(13,10),0.17637 # DEPENDENCYPART_ARC
(13,11),-0.089329 # DEPENDENCYPART_ARC
(13,12),2.70067 # DEPENDENCYPART_ARC
(13,14),-0.376843 # DEPENDENCYPART_ARC
(13,15),-0.583639 # DEPENDENCYPART_ARC
(13,16),-0.539027 # DEPENDENCYPART_ARC
(13,17),-1.438 # DEPENDENCYPART_ARC
(13,18),-0.22903 # DEPENDENCYPART_ARC
(14,1),-1.5733 # DEPENDENCYPART_ARC
(14,2),0.0556222 # DEPENDENCYPART_ARC
(14,3),1.17696 # DEPENDENCYPART_ARC
(14,4),-1.03243 # DEPENDENCYPART_ARC
(14,5),0.152295 # DEPENDENCYPART_ARC
(14,6),-0.156406 # DEPENDENCYPART_ARC
(14,7),-0.356294 # DEPENDENCYPART_ARC
(14,8),0.901322 # DEPENDENCYPART_ARC
(14,9),0.841794 # DEPENDENCYPART_ARC
(14,10),1.26005 # DEPENDENCYPART_ARC
(14,11),1.23823 # DEPENDENCYPART_ARC
(14,12),1.99319 # DEPENDENCYPART_ARC
(14,13),4.12533 # DEPENDENCYPART_ARC
(14,15),2.95901 # DEPENDENCYPART_ARC
(14,16),2.00945 # DEPENDENCYPART_ARC
(14,17),1.80277 # DEPENDENCYPART_ARC
(14,18),1.78996 # DEPENDENCYPART_ARC
(15,1),-1.62023 # DEPENDENCYPART_ARC
(15,2),-1.4345 # DEPENDENCYPART_ARC
(15,3),-1.52728 # DEPENDENCYPART_ARC
(15,4),-1.2385 # DEPENDENCYPART_ARC
(15,5),-1.15391 # DEPENDENCYPART_ARC
(15,6),-0.99964 # DEPENDENCYPART_ARC
(15,7),-1.25897 # DEPENDENCYPART_ARC
(15,8),-1.20214 # DEPENDENCYPART_ARC
(15,9),-0.901551 # DEPENDENCYPART_ARC
(15,10),-0.54141 # DEPENDENCYPART_ARC
(15,11),-0.818637 # DEPENDENCYPART_ARC
(15,12),-0.348909 # DEPENDENCYPART_ARC
(15,13),-0.0330517 # DEPENDENCYPART_ARC
(15,14),0.146545 # DEPENDENCYPART_ARC
(15,16),-0.587533 # DEPENDENCYPART_ARC
(15,17),-0.561486 # DEPENDENCYPART_ARC
(15,18),-0.190881 # DEPENDENCYPART_ARC
(16,1),-1.17965 # DEPENDENCYPART_ARC
(16,2),-1.17428 # DEPENDENCYPART_ARC
(16,3),-1.24396 # DEPENDENCYPART_ARC
(16,4),-0.910089 # DEPENDENCYPART_ARC
(16,5),-1.10214 # DEPENDENCYPART_ARC
(16,6),-0.36081 # DEPENDENCYPART_ARC
(16,7),-0.879982 # DEPENDENCYPART_ARC
(16,8),-0.891989 # DEPENDENCYPART_ARC
(16,9),-0.168019 # DEPENDENCYPART_ARC
(16,10),-0.450153 # DEPENDENCYPART_ARC
(16,11),-0.341984 # DEPENDENCYPART_ARC
(16,12),-0.0896856 # DEPENDENCYPART_ARC
(16,13),0.179561 # DEPENDENCYPART_ARC
(16,14),0.170405 # DEPENDENCYPART_ARC
(16,15),0.862951 # DEPENDENCYPART_ARC
(16,17),0.0103499 # DEPENDENCYPART_ARC
(16,18),0.223954 # DEPENDENCYPART_ARC
(17,1),-1.97796 # DEPENDENCYPART_ARC
(17,2),-3.4991 # DEPENDENCYPART_ARC
(17,3),-4.67356 # DEPENDENCYPART_ARC
(17,4),-0.943556 # DEPENDENCYPART_ARC
(17,5),-4.23667 # DEPENDENCYPART_ARC
(17,6),-2.32647 # DEPENDENCYPART_ARC
(17,7),-0.466013 # DEPENDENCYPART_ARC
(17,8),-2.76662 # DEPENDENCYPART_ARC
(17,9),-0.703164 # DEPENDENCYPART_ARC
(17,10),-0.690787 # DEPENDENCYPART_ARC
(17,11),-0.865773 # DEPENDENCYPART_ARC
(17,12),-0.72902 # DEPENDENCYPART_ARC
(17,13),-3.11418 # DEPENDENCYPART_ARC
(17,14),-0.512139 # DEPENDENCYPART_ARC
(17,15),0.677401 # DEPENDENCYPART_ARC
(17,16),1.11371 # DEPENDENCYPART_ARC
(17,18),0.657958 # DEPENDENCYPART_ARC
(18,1),-3.47956 # DEPENDENCYPART_ARC
(18,2),-4.25615 # DEPENDENCYPART_ARC
(18,3),-4.28321 # DEPENDENCYPART_ARC
(18,4),-3.23083 # DEPENDENCYPART_ARC
(18,5),-4.11814 # DEPENDENCYPART_ARC
(18,6),-3.22628 # DEPENDENCYPART_ARC
(18,7),-2.95826 # DEPENDENCYPART_ARC
(18,8),-3.94056 # DEPENDENCYPART_ARC
(18,9),-2.64767 # DEPENDENCYPART_ARC
(18,10),-2.88708 # DEPENDENCYPART_ARC
(18,11),-2.5669 # DEPENDENCYPART_ARC
(18,12),-3.0209 # DEPENDENCYPART_ARC
(18,13),-3.60879 # DEPENDENCYPART_ARC
(18,14),-2.53586 # DEPENDENCYPART_ARC
(18,15),-2.08189 # DEPENDENCYPART_ARC
(18,16),-1.9745 # DEPENDENCYPART_ARC
(18,17),-2.39783 # DEPENDENCYPART_ARC
