# _root_ Ám 1996-ban született egy újabb rendelet , amely alapján a díj magasabb lett , mint amennyit a szegedi orvosegyetem előzőleg kifizetett .
#goldHeads=3,3,0,6,6,3,3,9,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
#predictedHeads=3,3,0,6,6,3,3,13,13,11,13,13,3,13,13,21,19,19,21,21,3,3,
(2,14),-0.130808 # DEPENDENCYPART_ARC
(2,15),-0.703618 # DEPENDENCYPART_ARC
(2,16),-1.24962 # DEPENDENCYPART_ARC
(2,17),-1.08688 # DEPENDENCYPART_ARC
(2,18),-1.06729 # DEPENDENCYPART_ARC
(2,19),-1.10531 # DEPENDENCYPART_ARC
(2,20),-1.0545 # DEPENDENCYPART_ARC
(2,21),-0.691018 # DEPENDENCYPART_ARC
(2,22),1.0272 # DEPENDENCYPART_ARC
(3,1),1.94891 # DEPENDENCYPART_ARC
(3,2),3.2878 # DEPENDENCYPART_ARC
(3,4),-0.055539 # DEPENDENCYPART_ARC
(3,5),0.986644 # DEPENDENCYPART_ARC
(3,6),2.85306 # DEPENDENCYPART_ARC
(3,7),2.48142 # DEPENDENCYPART_ARC
(3,8),0.30242 # DEPENDENCYPART_ARC
(3,9),1.61601 # DEPENDENCYPART_ARC
(3,10),-0.0972172 # DEPENDENCYPART_ARC
(3,11),-0.477751 # DEPENDENCYPART_ARC
(3,12),-0.272681 # DEPENDENCYPART_ARC
(3,13),1.89282 # DEPENDENCYPART_ARC
(3,14),1.92085 # DEPENDENCYPART_ARC
(3,15),1.82678 # DEPENDENCYPART_ARC
(3,16),-0.663681 # DEPENDENCYPART_ARC
(3,17),-0.316857 # DEPENDENCYPART_ARC
(3,18),-1.32864 # DEPENDENCYPART_ARC
(3,19),-1.08157 # DEPENDENCYPART_ARC
(3,20),0.212655 # DEPENDENCYPART_ARC
(3,21),1.16341 # DEPENDENCYPART_ARC
(3,22),3.25781 # DEPENDENCYPART_ARC
(4,5),0.384526 # DEPENDENCYPART_ARC
(4,7),-0.133202 # DEPENDENCYPART_ARC
(4,12),-0.833409 # DEPENDENCYPART_ARC
(4,14),-0.370877 # DEPENDENCYPART_ARC
(4,18),-0.963568 # DEPENDENCYPART_ARC
(5,1),-1.3892 # DEPENDENCYPART_ARC
(5,2),-1.5848 # DEPENDENCYPART_ARC
(5,3),-1.86795 # DEPENDENCYPART_ARC
(5,4),0.508785 # DEPENDENCYPART_ARC
(5,6),-0.929995 # DEPENDENCYPART_ARC
(5,7),-0.780833 # DEPENDENCYPART_ARC
(5,8),-2.05346 # DEPENDENCYPART_ARC
(5,9),-1.70456 # DEPENDENCYPART_ARC
(5,10),-2.00551 # DEPENDENCYPART_ARC
(5,11),-2.33831 # DEPENDENCYPART_ARC
(5,12),-1.93959 # DEPENDENCYPART_ARC
(5,13),-1.2929 # DEPENDENCYPART_ARC
(5,14),-1.26584 # DEPENDENCYPART_ARC
(5,15),-1.81523 # DEPENDENCYPART_ARC
(5,16),-2.50983 # DEPENDENCYPART_ARC
(5,17),-2.26444 # DEPENDENCYPART_ARC
(5,18),-2.44026 # DEPENDENCYPART_ARC
(5,19),-2.81658 # DEPENDENCYPART_ARC
(5,20),-1.98591 # DEPENDENCYPART_ARC
(5,21),-1.52409 # DEPENDENCYPART_ARC
(5,22),-0.437897 # DEPENDENCYPART_ARC
(6,1),-0.875256 # DEPENDENCYPART_ARC
(6,2),-1.46161 # DEPENDENCYPART_ARC
(6,3),-0.214024 # DEPENDENCYPART_ARC
(6,4),3.11228 # DEPENDENCYPART_ARC
(6,5),3.40115 # DEPENDENCYPART_ARC
(6,7),0.253682 # DEPENDENCYPART_ARC
(6,8),-1.15513 # DEPENDENCYPART_ARC
(6,9),-1.33932 # DEPENDENCYPART_ARC
(6,10),-0.897218 # DEPENDENCYPART_ARC
(6,11),-0.512002 # DEPENDENCYPART_ARC
(6,12),-1.02059 # DEPENDENCYPART_ARC
(6,13),-0.306524 # DEPENDENCYPART_ARC
(6,14),-0.231319 # DEPENDENCYPART_ARC
(6,15),-0.816296 # DEPENDENCYPART_ARC
(6,16),-1.77643 # DEPENDENCYPART_ARC
(6,17),-1.26208 # DEPENDENCYPART_ARC
(6,18),-1.5163 # DEPENDENCYPART_ARC
(6,19),-1.4673 # DEPENDENCYPART_ARC
(6,20),-0.88656 # DEPENDENCYPART_ARC
(6,21),-0.738107 # DEPENDENCYPART_ARC
(6,22),1.13821 # DEPENDENCYPART_ARC
(8,1),-0.219129 # DEPENDENCYPART_ARC
(8,5),-0.106918 # DEPENDENCYPART_ARC
(8,6),-0.954971 # DEPENDENCYPART_ARC
(8,9),-0.43743 # DEPENDENCYPART_ARC
(8,11),-0.41841 # DEPENDENCYPART_ARC
(8,12),-0.222241 # DEPENDENCYPART_ARC
(8,18),-1.0391 # DEPENDENCYPART_ARC
(8,19),-0.849801 # DEPENDENCYPART_ARC
(9,1),-1.60508 # DEPENDENCYPART_ARC
(9,2),-3.39336 # DEPENDENCYPART_ARC
(9,3),-3.64296 # DEPENDENCYPART_ARC
(9,4),-0.161536 # DEPENDENCYPART_ARC
(9,5),-0.291415 # DEPENDENCYPART_ARC
(9,6),-0.337953 # DEPENDENCYPART_ARC
(9,7),-0.968642 # DEPENDENCYPART_ARC
(9,8),0.932795 # DEPENDENCYPART_ARC
(9,10),-1.09683 # DEPENDENCYPART_ARC
(9,11),-0.500479 # DEPENDENCYPART_ARC
(9,12),-0.951317 # DEPENDENCYPART_ARC
(9,13),-0.569051 # DEPENDENCYPART_ARC
(9,14),-0.563034 # DEPENDENCYPART_ARC
(9,15),-1.19137 # DEPENDENCYPART_ARC
(9,16),-2.61811 # DEPENDENCYPART_ARC
(9,17),-1.60882 # DEPENDENCYPART_ARC
(9,18),-1.90035 # DEPENDENCYPART_ARC
(9,19),-1.8022 # DEPENDENCYPART_ARC
(9,20),-1.12183 # DEPENDENCYPART_ARC
(9,21),-1.14471 # DEPENDENCYPART_ARC
(9,22),0.252813 # DEPENDENCYPART_ARC
(10,1),-1.83881 # DEPENDENCYPART_ARC
(10,5),-1.70908 # DEPENDENCYPART_ARC
(10,6),-2.84486 # DEPENDENCYPART_ARC
(10,7),-1.12157 # DEPENDENCYPART_ARC
(10,9),-2.17566 # DEPENDENCYPART_ARC
(10,11),-0.317137 # DEPENDENCYPART_ARC
(10,12),-0.274506 # DEPENDENCYPART_ARC
(10,14),-0.380751 # DEPENDENCYPART_ARC
(10,18),-0.961283 # DEPENDENCYPART_ARC
(10,19),-1.68497 # DEPENDENCYPART_ARC
(11,1),-1.85483 # DEPENDENCYPART_ARC
(11,2),-3.47864 # DEPENDENCYPART_ARC
(11,3),-1.92753 # DEPENDENCYPART_ARC
(11,4),0.154715 # DEPENDENCYPART_ARC
(11,5),-1.09764 # DEPENDENCYPART_ARC
(11,6),-2.25871 # DEPENDENCYPART_ARC
(11,7),-0.914414 # DEPENDENCYPART_ARC
(11,8),-0.930983 # DEPENDENCYPART_ARC
(11,9),-2.61992 # DEPENDENCYPART_ARC
(11,10),3.11113 # DEPENDENCYPART_ARC
(11,12),-0.561293 # DEPENDENCYPART_ARC
(11,13),-0.456895 # DEPENDENCYPART_ARC
(11,14),-0.228178 # DEPENDENCYPART_ARC
(11,15),-1.01404 # DEPENDENCYPART_ARC
(11,16),-2.00658 # DEPENDENCYPART_ARC
(11,17),-1.31656 # DEPENDENCYPART_ARC
(11,18),-1.45329 # DEPENDENCYPART_ARC
(11,19),-1.34323 # DEPENDENCYPART_ARC
(11,20),-1.04862 # DEPENDENCYPART_ARC
(11,21),-1.01416 # DEPENDENCYPART_ARC
(11,22),0.320073 # DEPENDENCYPART_ARC
(12,1),-0.41878 # DEPENDENCYPART_ARC
(12,2),-1.33859 # DEPENDENCYPART_ARC
(12,3),-1.5791 # DEPENDENCYPART_ARC
(12,4),-0.437013 # DEPENDENCYPART_ARC
(12,5),-1.46494 # DEPENDENCYPART_ARC
(12,6),-2.12137 # DEPENDENCYPART_ARC
(12,7),-0.501714 # DEPENDENCYPART_ARC
(12,8),-0.620891 # DEPENDENCYPART_ARC
(12,9),-1.23169 # DEPENDENCYPART_ARC
(12,10),0.441447 # DEPENDENCYPART_ARC
(12,11),-0.00376984 # DEPENDENCYPART_ARC
(12,13),-0.121628 # DEPENDENCYPART_ARC
(12,14),-0.608161 # DEPENDENCYPART_ARC
(12,15),-1.06639 # DEPENDENCYPART_ARC
(12,16),-1.84409 # DEPENDENCYPART_ARC
(12,17),-1.58634 # DEPENDENCYPART_ARC
(12,18),-1.66049 # DEPENDENCYPART_ARC
(12,19),-1.8799 # DEPENDENCYPART_ARC
(12,20),-1.33629 # DEPENDENCYPART_ARC
(12,21),-0.764214 # DEPENDENCYPART_ARC
(12,22),0.0322502 # DEPENDENCYPART_ARC
(13,1),1.23276 # DEPENDENCYPART_ARC
(13,2),0.986858 # DEPENDENCYPART_ARC
(13,3),0.720139 # DEPENDENCYPART_ARC
(13,4),-0.0592139 # DEPENDENCYPART_ARC
(13,5),0.141561 # DEPENDENCYPART_ARC
(13,6),0.840278 # DEPENDENCYPART_ARC
(13,7),1.13594 # DEPENDENCYPART_ARC
(13,8),2.46505 # DEPENDENCYPART_ARC
(13,9),3.78122 # DEPENDENCYPART_ARC
(13,10),0.0524088 # DEPENDENCYPART_ARC
(13,11),2.44038 # DEPENDENCYPART_ARC
(13,12),2.77278 # DEPENDENCYPART_ARC
(13,14),2.08129 # DEPENDENCYPART_ARC
(13,15),2.75812 # DEPENDENCYPART_ARC
(13,16),-0.332617 # DEPENDENCYPART_ARC
(13,17),-0.341666 # DEPENDENCYPART_ARC
(13,18),-0.508134 # DEPENDENCYPART_ARC
(13,19),-0.760457 # DEPENDENCYPART_ARC
(13,20),0.259618 # DEPENDENCYPART_ARC
(13,21),1.1503 # DEPENDENCYPART_ARC
(13,22),2.36681 # DEPENDENCYPART_ARC
(15,1),0.442833 # DEPENDENCYPART_ARC
(15,2),-0.383141 # DEPENDENCYPART_ARC
(15,3),-0.532553 # DEPENDENCYPART_ARC
(15,5),-0.477283 # DEPENDENCYPART_ARC
(15,6),-0.47385 # DEPENDENCYPART_ARC
(15,7),-0.570827 # DEPENDENCYPART_ARC
(15,8),-0.286037 # DEPENDENCYPART_ARC
(15,9),-0.113368 # DEPENDENCYPART_ARC
(15,10),-1.04403 # DEPENDENCYPART_ARC
(15,11),0.229331 # DEPENDENCYPART_ARC
(15,12),0.4914 # DEPENDENCYPART_ARC
(15,13),0.0369173 # DEPENDENCYPART_ARC
(15,14),0.992158 # DEPENDENCYPART_ARC
(15,16),-1.02827 # DEPENDENCYPART_ARC
(15,17),-0.881593 # DEPENDENCYPART_ARC
(15,18),-0.191089 # DEPENDENCYPART_ARC
(15,19),-0.740473 # DEPENDENCYPART_ARC
(15,20),-0.428103 # DEPENDENCYPART_ARC
(15,21),0.25651 # DEPENDENCYPART_ARC
(15,22),1.62512 # DEPENDENCYPART_ARC
(16,1),-1.33117 # DEPENDENCYPART_ARC
(16,5),-0.816023 # DEPENDENCYPART_ARC
(16,6),-1.99867 # DEPENDENCYPART_ARC
(16,9),-1.73447 # DEPENDENCYPART_ARC
(16,11),-1.78284 # DEPENDENCYPART_ARC
(16,12),-0.515962 # DEPENDENCYPART_ARC
(16,18),-0.766602 # DEPENDENCYPART_ARC
(16,19),-0.574609 # DEPENDENCYPART_ARC
(17,1),-2.56642 # DEPENDENCYPART_ARC
(17,5),-2.48713 # DEPENDENCYPART_ARC
(17,6),-3.95638 # DEPENDENCYPART_ARC
(17,7),-2.02173 # DEPENDENCYPART_ARC
(17,9),-4.17285 # DEPENDENCYPART_ARC
(17,11),-3.60341 # DEPENDENCYPART_ARC
(17,12),-2.28094 # DEPENDENCYPART_ARC
(17,14),-1.31405 # DEPENDENCYPART_ARC
(17,18),-0.0777952 # DEPENDENCYPART_ARC
(17,19),-0.946114 # DEPENDENCYPART_ARC
(18,1),-1.35601 # DEPENDENCYPART_ARC
(18,2),-1.9323 # DEPENDENCYPART_ARC
(18,3),-2.62054 # DEPENDENCYPART_ARC
(18,4),-1.63995 # DEPENDENCYPART_ARC
(18,5),-2.52415 # DEPENDENCYPART_ARC
(18,6),-4.28873 # DEPENDENCYPART_ARC
(18,7),-1.99427 # DEPENDENCYPART_ARC
(18,8),-2.44458 # DEPENDENCYPART_ARC
(18,9),-2.99705 # DEPENDENCYPART_ARC
(18,10),-1.80374 # DEPENDENCYPART_ARC
(18,11),-2.76743 # DEPENDENCYPART_ARC
(18,12),-2.11837 # DEPENDENCYPART_ARC
(18,13),-2.03594 # DEPENDENCYPART_ARC
(18,14),-1.05339 # DEPENDENCYPART_ARC
(18,15),-0.994999 # DEPENDENCYPART_ARC
(18,16),-0.424131 # DEPENDENCYPART_ARC
(18,17),0.738121 # DEPENDENCYPART_ARC
(18,19),-0.818054 # DEPENDENCYPART_ARC
(18,20),-1.32547 # DEPENDENCYPART_ARC
(18,21),-1.0154 # DEPENDENCYPART_ARC
(18,22),-1.29092 # DEPENDENCYPART_ARC
(19,1),-1.99948 # DEPENDENCYPART_ARC
(19,2),-3.32968 # DEPENDENCYPART_ARC
(19,3),-1.95672 # DEPENDENCYPART_ARC
(19,4),-0.474498 # DEPENDENCYPART_ARC
(19,5),-1.50966 # DEPENDENCYPART_ARC
(19,6),-4.42104 # DEPENDENCYPART_ARC
(19,7),-2.42844 # DEPENDENCYPART_ARC
(19,8),-2.18277 # DEPENDENCYPART_ARC
(19,9),-5.60825 # DEPENDENCYPART_ARC
(19,10),-0.655441 # DEPENDENCYPART_ARC
(19,11),-2.35549 # DEPENDENCYPART_ARC
(19,12),-0.964869 # DEPENDENCYPART_ARC
(19,13),-1.04172 # DEPENDENCYPART_ARC
(19,14),-0.877485 # DEPENDENCYPART_ARC
(19,15),-0.462042 # DEPENDENCYPART_ARC
(19,16),-0.509711 # DEPENDENCYPART_ARC
(19,17),2.93381 # DEPENDENCYPART_ARC
(19,18),3.66479 # DEPENDENCYPART_ARC
(19,20),-0.659954 # DEPENDENCYPART_ARC
(19,21),-0.531813 # DEPENDENCYPART_ARC
(19,22),-0.270648 # DEPENDENCYPART_ARC
(20,1),-1.00365 # DEPENDENCYPART_ARC
(20,2),-1.41483 # DEPENDENCYPART_ARC
(20,3),-1.39865 # DEPENDENCYPART_ARC
(20,5),-1.13535 # DEPENDENCYPART_ARC
(20,6),-1.73058 # DEPENDENCYPART_ARC
(20,7),-1.17315 # DEPENDENCYPART_ARC
(20,8),-1.32825 # DEPENDENCYPART_ARC
(20,9),-1.19498 # DEPENDENCYPART_ARC
(20,10),-1.44056 # DEPENDENCYPART_ARC
(20,11),-0.897442 # DEPENDENCYPART_ARC
(20,12),-0.813254 # DEPENDENCYPART_ARC
(20,13),-0.698066 # DEPENDENCYPART_ARC
(20,14),-0.384172 # DEPENDENCYPART_ARC
(20,15),-0.501609 # DEPENDENCYPART_ARC
(20,16),-0.399122 # DEPENDENCYPART_ARC
(20,17),-0.359982 # DEPENDENCYPART_ARC
(20,18),-0.0822672 # DEPENDENCYPART_ARC
(20,19),0.502666 # DEPENDENCYPART_ARC
(20,21),-0.00547075 # DEPENDENCYPART_ARC
(20,22),-0.808369 # DEPENDENCYPART_ARC
(21,1),1.02607 # DEPENDENCYPART_ARC
(21,2),-0.00239065 # DEPENDENCYPART_ARC
(21,3),-0.304833 # DEPENDENCYPART_ARC
(21,4),-0.87888 # DEPENDENCYPART_ARC
(21,5),-1.29272 # DEPENDENCYPART_ARC
(21,6),-0.97222 # DEPENDENCYPART_ARC
(21,7),0.0124136 # DEPENDENCYPART_ARC
(21,8),0.403635 # DEPENDENCYPART_ARC
(21,9),1.24748 # DEPENDENCYPART_ARC
(21,10),-1.195 # DEPENDENCYPART_ARC
(21,11),-0.136766 # DEPENDENCYPART_ARC
(21,12),-0.198936 # DEPENDENCYPART_ARC
(21,13),-0.533517 # DEPENDENCYPART_ARC
(21,14),0.609513 # DEPENDENCYPART_ARC
(21,15),0.309213 # DEPENDENCYPART_ARC
(21,16),1.2173 # DEPENDENCYPART_ARC
(21,17),-0.480972 # DEPENDENCYPART_ARC
(21,18),0.376603 # DEPENDENCYPART_ARC
(21,19),2.71395 # DEPENDENCYPART_ARC
(21,20),3.36664 # DEPENDENCYPART_ARC
(21,22),1.31403 # DEPENDENCYPART_ARC
