# _root_ A képmutató terminus technicus jelentése , hogy az egyik etnikum fegyveres alakulatai tömegesen elüldözik a másik népcsoport civil lakosságát , hogy egy adott területet a sajátjai számára " megtisztítson " .
#goldHeads=4,4,4,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,7,
#predictedHeads=3,3,5,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,14,
(1,21),-1.67614 # DEPENDENCYPART_ARC
(1,22),-1.39459 # DEPENDENCYPART_ARC
(1,23),-2.20677 # DEPENDENCYPART_ARC
(1,24),-2.57369 # DEPENDENCYPART_ARC
(1,25),-1.37031 # DEPENDENCYPART_ARC
(1,26),-2.76819 # DEPENDENCYPART_ARC
(1,27),-1.63078 # DEPENDENCYPART_ARC
(1,28),-1.17595 # DEPENDENCYPART_ARC
(1,29),-2.34094 # DEPENDENCYPART_ARC
(1,30),-1.15292 # DEPENDENCYPART_ARC
(1,31),-3.20056 # DEPENDENCYPART_ARC
(2,1),1.03833 # DEPENDENCYPART_ARC
(2,3),-0.357899 # DEPENDENCYPART_ARC
(2,4),-0.804282 # DEPENDENCYPART_ARC
(2,5),-1.03005 # DEPENDENCYPART_ARC
(2,6),-0.630726 # DEPENDENCYPART_ARC
(2,7),-1.06005 # DEPENDENCYPART_ARC
(2,8),-1.51962 # DEPENDENCYPART_ARC
(2,9),-1.88386 # DEPENDENCYPART_ARC
(2,10),-1.66112 # DEPENDENCYPART_ARC
(2,11),-1.64335 # DEPENDENCYPART_ARC
(2,12),-2.18313 # DEPENDENCYPART_ARC
(2,13),-1.74495 # DEPENDENCYPART_ARC
(2,14),-1.25119 # DEPENDENCYPART_ARC
(2,15),-1.78559 # DEPENDENCYPART_ARC
(2,16),-2.125 # DEPENDENCYPART_ARC
(2,17),-2.09395 # DEPENDENCYPART_ARC
(2,18),-1.88859 # DEPENDENCYPART_ARC
(2,19),-2.59971 # DEPENDENCYPART_ARC
(2,20),-0.977338 # DEPENDENCYPART_ARC
(2,21),-1.32558 # DEPENDENCYPART_ARC
(2,22),-1.63154 # DEPENDENCYPART_ARC
(2,23),-2.12205 # DEPENDENCYPART_ARC
(2,24),-2.92561 # DEPENDENCYPART_ARC
(2,25),-1.9595 # DEPENDENCYPART_ARC
(2,26),-3.12212 # DEPENDENCYPART_ARC
(2,27),-1.27792 # DEPENDENCYPART_ARC
(2,28),-1.41725 # DEPENDENCYPART_ARC
(2,29),-2.03547 # DEPENDENCYPART_ARC
(2,30),-1.59522 # DEPENDENCYPART_ARC
(2,31),0.26642 # DEPENDENCYPART_ARC
(3,1),2.91782 # DEPENDENCYPART_ARC
(3,2),3.63821 # DEPENDENCYPART_ARC
(3,4),-0.22658 # DEPENDENCYPART_ARC
(3,5),-0.264505 # DEPENDENCYPART_ARC
(3,6),-0.108858 # DEPENDENCYPART_ARC
(3,7),-0.699881 # DEPENDENCYPART_ARC
(3,8),-1.15986 # DEPENDENCYPART_ARC
(3,9),-1.50304 # DEPENDENCYPART_ARC
(3,10),-1.10448 # DEPENDENCYPART_ARC
(3,11),-1.42843 # DEPENDENCYPART_ARC
(3,12),-1.3903 # DEPENDENCYPART_ARC
(3,13),-1.44721 # DEPENDENCYPART_ARC
(3,14),-0.675101 # DEPENDENCYPART_ARC
(3,15),-1.49069 # DEPENDENCYPART_ARC
(3,16),-1.7821 # DEPENDENCYPART_ARC
(3,17),-1.74431 # DEPENDENCYPART_ARC
(3,18),-1.72278 # DEPENDENCYPART_ARC
(3,19),-2.25314 # DEPENDENCYPART_ARC
(3,20),-0.790947 # DEPENDENCYPART_ARC
(3,21),-0.785228 # DEPENDENCYPART_ARC
(3,22),-1.24665 # DEPENDENCYPART_ARC
(3,23),-1.89689 # DEPENDENCYPART_ARC
(3,24),-2.63384 # DEPENDENCYPART_ARC
(3,25),-1.71154 # DEPENDENCYPART_ARC
(3,26),-2.76875 # DEPENDENCYPART_ARC
(3,27),-0.447607 # DEPENDENCYPART_ARC
(3,28),-1.33298 # DEPENDENCYPART_ARC
(3,29),-1.96204 # DEPENDENCYPART_ARC
(3,30),-1.50821 # DEPENDENCYPART_ARC
(3,31),0.958501 # DEPENDENCYPART_ARC
(4,1),1.68878 # DEPENDENCYPART_ARC
(4,2),1.25478 # DEPENDENCYPART_ARC
(4,3),2.25487 # DEPENDENCYPART_ARC
(4,5),0.568205 # DEPENDENCYPART_ARC
(4,6),0.431186 # DEPENDENCYPART_ARC
(4,7),0.111287 # DEPENDENCYPART_ARC
(4,8),-0.27257 # DEPENDENCYPART_ARC
(4,9),-0.30493 # DEPENDENCYPART_ARC
(4,10),-0.412568 # DEPENDENCYPART_ARC
(4,11),-0.71342 # DEPENDENCYPART_ARC
(4,12),-0.591562 # DEPENDENCYPART_ARC
(4,13),-0.825783 # DEPENDENCYPART_ARC
(4,14),-0.461412 # DEPENDENCYPART_ARC
(4,15),-0.541123 # DEPENDENCYPART_ARC
(4,16),-0.608428 # DEPENDENCYPART_ARC
(4,17),-0.914377 # DEPENDENCYPART_ARC
(4,18),-1.05756 # DEPENDENCYPART_ARC
(4,19),-0.891645 # DEPENDENCYPART_ARC
(4,20),-0.278314 # DEPENDENCYPART_ARC
(4,21),-0.215052 # DEPENDENCYPART_ARC
(4,22),-0.695791 # DEPENDENCYPART_ARC
(4,23),-1.16024 # DEPENDENCYPART_ARC
(4,24),-1.21097 # DEPENDENCYPART_ARC
(4,25),-0.736533 # DEPENDENCYPART_ARC
(4,26),-1.13378 # DEPENDENCYPART_ARC
(4,27),-0.861205 # DEPENDENCYPART_ARC
(4,28),-0.413935 # DEPENDENCYPART_ARC
(4,29),-1.12785 # DEPENDENCYPART_ARC
(4,30),-0.598421 # DEPENDENCYPART_ARC
(4,31),0.162099 # DEPENDENCYPART_ARC
(5,1),1.21758 # DEPENDENCYPART_ARC
(5,2),1.6629 # DEPENDENCYPART_ARC
(5,3),3.31141 # DEPENDENCYPART_ARC
(5,4),2.60501 # DEPENDENCYPART_ARC
(5,6),0.242041 # DEPENDENCYPART_ARC
(5,7),-0.731628 # DEPENDENCYPART_ARC
(5,8),-0.870922 # DEPENDENCYPART_ARC
(5,9),-1.56977 # DEPENDENCYPART_ARC
(5,10),-0.620161 # DEPENDENCYPART_ARC
(5,11),-1.07433 # DEPENDENCYPART_ARC
(5,12),-0.663239 # DEPENDENCYPART_ARC
(5,13),-1.24742 # DEPENDENCYPART_ARC
(5,14),-0.758724 # DEPENDENCYPART_ARC
(5,15),-1.20652 # DEPENDENCYPART_ARC
(5,16),-1.8595 # DEPENDENCYPART_ARC
(5,17),-1.42969 # DEPENDENCYPART_ARC
(5,18),-1.47316 # DEPENDENCYPART_ARC
(5,19),-2.10964 # DEPENDENCYPART_ARC
(5,20),-0.558086 # DEPENDENCYPART_ARC
(5,21),-0.681108 # DEPENDENCYPART_ARC
(5,22),-0.947764 # DEPENDENCYPART_ARC
(5,23),-1.58724 # DEPENDENCYPART_ARC
(5,24),-2.31864 # DEPENDENCYPART_ARC
(5,25),-1.60413 # DEPENDENCYPART_ARC
(5,26),-2.12482 # DEPENDENCYPART_ARC
(5,27),-0.286765 # DEPENDENCYPART_ARC
(5,28),-1.0216 # DEPENDENCYPART_ARC
(5,29),-2.22505 # DEPENDENCYPART_ARC
(5,30),-1.11662 # DEPENDENCYPART_ARC
(5,31),1.33452 # DEPENDENCYPART_ARC
(6,1),-2.25448 # DEPENDENCYPART_ARC
(6,2),-2.48192 # DEPENDENCYPART_ARC
(6,3),-2.83853 # DEPENDENCYPART_ARC
(6,4),-1.79519 # DEPENDENCYPART_ARC
(6,5),-2.03773 # DEPENDENCYPART_ARC
(6,7),-1.31177 # DEPENDENCYPART_ARC
(6,8),-1.61986 # DEPENDENCYPART_ARC
(6,9),-1.84839 # DEPENDENCYPART_ARC
(6,10),-2.37376 # DEPENDENCYPART_ARC
(6,11),-1.92229 # DEPENDENCYPART_ARC
(6,12),-2.68614 # DEPENDENCYPART_ARC
(6,13),-2.08703 # DEPENDENCYPART_ARC
(6,14),-1.98374 # DEPENDENCYPART_ARC
(6,15),-2.00342 # DEPENDENCYPART_ARC
(6,16),-2.16567 # DEPENDENCYPART_ARC
(6,17),-2.99653 # DEPENDENCYPART_ARC
(6,18),-2.28496 # DEPENDENCYPART_ARC
(6,19),-3.14631 # DEPENDENCYPART_ARC
(6,20),-1.8669 # DEPENDENCYPART_ARC
(6,21),-1.8127 # DEPENDENCYPART_ARC
(6,22),-2.12154 # DEPENDENCYPART_ARC
(6,23),-2.29058 # DEPENDENCYPART_ARC
(6,24),-3.29917 # DEPENDENCYPART_ARC
(6,25),-2.14944 # DEPENDENCYPART_ARC
(6,26),-3.46405 # DEPENDENCYPART_ARC
(6,27),-2.126 # DEPENDENCYPART_ARC
(6,28),-2.0436 # DEPENDENCYPART_ARC
(6,29),-2.58276 # DEPENDENCYPART_ARC
(6,30),-2.0158 # DEPENDENCYPART_ARC
(6,31),-2.28019 # DEPENDENCYPART_ARC
(7,1),-0.389437 # DEPENDENCYPART_ARC
(7,2),0.578146 # DEPENDENCYPART_ARC
(7,3),1.14403 # DEPENDENCYPART_ARC
(7,4),0.883967 # DEPENDENCYPART_ARC
(7,5),1.33173 # DEPENDENCYPART_ARC
(7,6),0.931448 # DEPENDENCYPART_ARC
(7,8),-0.551318 # DEPENDENCYPART_ARC
(7,9),-0.725662 # DEPENDENCYPART_ARC
(7,10),-0.565923 # DEPENDENCYPART_ARC
(7,11),-0.0667404 # DEPENDENCYPART_ARC
(7,12),-0.453465 # DEPENDENCYPART_ARC
(7,13),-0.380224 # DEPENDENCYPART_ARC
(7,14),1.18224 # DEPENDENCYPART_ARC
(7,15),-1.07718 # DEPENDENCYPART_ARC
(7,16),-1.18228 # DEPENDENCYPART_ARC
(7,17),-1.10489 # DEPENDENCYPART_ARC
(7,18),-0.42549 # DEPENDENCYPART_ARC
(7,19),-1.38512 # DEPENDENCYPART_ARC
(7,20),-0.334398 # DEPENDENCYPART_ARC
(7,21),0.0556591 # DEPENDENCYPART_ARC
(7,22),-1.15158 # DEPENDENCYPART_ARC
(7,23),-1.08763 # DEPENDENCYPART_ARC
(7,24),-2.09427 # DEPENDENCYPART_ARC
(7,25),-1.57456 # DEPENDENCYPART_ARC
(7,26),-1.70269 # DEPENDENCYPART_ARC
(7,27),-0.681397 # DEPENDENCYPART_ARC
(7,28),-0.305262 # DEPENDENCYPART_ARC
(7,29),-0.311049 # DEPENDENCYPART_ARC
(7,30),-0.556346 # DEPENDENCYPART_ARC
(7,31),2.51749 # DEPENDENCYPART_ARC
(8,1),-1.48801 # DEPENDENCYPART_ARC
(8,2),-1.65631 # DEPENDENCYPART_ARC
(8,3),-2.52968 # DEPENDENCYPART_ARC
(8,4),-1.22585 # DEPENDENCYPART_ARC
(8,5),-2.49923 # DEPENDENCYPART_ARC
(8,6),-0.970179 # DEPENDENCYPART_ARC
(8,7),-0.321171 # DEPENDENCYPART_ARC
(8,9),-0.0447775 # DEPENDENCYPART_ARC
(8,10),-0.0230538 # DEPENDENCYPART_ARC
(8,11),0.112093 # DEPENDENCYPART_ARC
(8,12),-0.835357 # DEPENDENCYPART_ARC
(8,13),-0.345755 # DEPENDENCYPART_ARC
(8,14),-0.655725 # DEPENDENCYPART_ARC
(8,15),-0.565206 # DEPENDENCYPART_ARC
(8,16),-1.02913 # DEPENDENCYPART_ARC
(8,17),-1.08232 # DEPENDENCYPART_ARC
(8,18),-0.559794 # DEPENDENCYPART_ARC
(8,19),-1.67664 # DEPENDENCYPART_ARC
(8,20),-0.256134 # DEPENDENCYPART_ARC
(8,21),-1.0109 # DEPENDENCYPART_ARC
(8,22),-0.7711 # DEPENDENCYPART_ARC
(8,23),-0.832517 # DEPENDENCYPART_ARC
(8,24),-1.61384 # DEPENDENCYPART_ARC
(8,25),-0.732321 # DEPENDENCYPART_ARC
(8,26),-1.88885 # DEPENDENCYPART_ARC
(8,27),-1.07377 # DEPENDENCYPART_ARC
(8,28),-0.660116 # DEPENDENCYPART_ARC
(8,29),-1.00096 # DEPENDENCYPART_ARC
(8,30),-0.616021 # DEPENDENCYPART_ARC
(8,31),-1.38234 # DEPENDENCYPART_ARC
(9,1),-0.569018 # DEPENDENCYPART_ARC
(9,2),-1.16816 # DEPENDENCYPART_ARC
(9,3),-0.975432 # DEPENDENCYPART_ARC
(9,4),-0.378321 # DEPENDENCYPART_ARC
(9,5),-1.07734 # DEPENDENCYPART_ARC
(9,6),-0.115677 # DEPENDENCYPART_ARC
(9,7),-0.495646 # DEPENDENCYPART_ARC
(9,8),0.876994 # DEPENDENCYPART_ARC
(9,10),0.0136291 # DEPENDENCYPART_ARC
(9,11),-0.731632 # DEPENDENCYPART_ARC
(9,12),-0.0411892 # DEPENDENCYPART_ARC
(9,13),-0.968532 # DEPENDENCYPART_ARC
(9,14),-0.489827 # DEPENDENCYPART_ARC
(9,15),-1.40394 # DEPENDENCYPART_ARC
(9,16),-0.845344 # DEPENDENCYPART_ARC
(9,17),-0.732761 # DEPENDENCYPART_ARC
(9,18),-0.741818 # DEPENDENCYPART_ARC
(9,19),-1.00312 # DEPENDENCYPART_ARC
(9,20),-0.348336 # DEPENDENCYPART_ARC
(9,21),-0.43041 # DEPENDENCYPART_ARC
(9,22),-1.14841 # DEPENDENCYPART_ARC
(9,23),-0.821116 # DEPENDENCYPART_ARC
(9,24),-1.41255 # DEPENDENCYPART_ARC
(9,25),-1.74021 # DEPENDENCYPART_ARC
(9,26),-0.980289 # DEPENDENCYPART_ARC
(9,27),-0.288575 # DEPENDENCYPART_ARC
(9,28),-1.0803 # DEPENDENCYPART_ARC
(9,29),-0.269986 # DEPENDENCYPART_ARC
(9,30),-1.17642 # DEPENDENCYPART_ARC
(9,31),0.043741 # DEPENDENCYPART_ARC
(10,1),0.13644 # DEPENDENCYPART_ARC
(10,2),0.260524 # DEPENDENCYPART_ARC
(10,3),-1.37601 # DEPENDENCYPART_ARC
(10,4),0.44324 # DEPENDENCYPART_ARC
(10,5),-1.90686 # DEPENDENCYPART_ARC
(10,6),0.0101256 # DEPENDENCYPART_ARC
(10,7),-0.197137 # DEPENDENCYPART_ARC
(10,8),2.71558 # DEPENDENCYPART_ARC
(10,9),3.5672 # DEPENDENCYPART_ARC
(10,11),-0.246065 # DEPENDENCYPART_ARC
(10,12),-0.0761367 # DEPENDENCYPART_ARC
(10,13),-0.571742 # DEPENDENCYPART_ARC
(10,14),0.211204 # DEPENDENCYPART_ARC
(10,15),-0.844649 # DEPENDENCYPART_ARC
(10,16),-1.18616 # DEPENDENCYPART_ARC
(10,17),-0.60579 # DEPENDENCYPART_ARC
(10,18),-1.0394 # DEPENDENCYPART_ARC
(10,19),-1.24111 # DEPENDENCYPART_ARC
(10,20),0.0563517 # DEPENDENCYPART_ARC
(10,21),-0.311214 # DEPENDENCYPART_ARC
(10,22),-0.802303 # DEPENDENCYPART_ARC
(10,23),-1.2193 # DEPENDENCYPART_ARC
(10,24),-1.68525 # DEPENDENCYPART_ARC
(10,25),-1.19113 # DEPENDENCYPART_ARC
(10,26),-1.73095 # DEPENDENCYPART_ARC
(10,27),0.106355 # DEPENDENCYPART_ARC
(10,28),-0.49341 # DEPENDENCYPART_ARC
(10,29),-1.03593 # DEPENDENCYPART_ARC
(10,30),-0.580619 # DEPENDENCYPART_ARC
(10,31),1.25537 # DEPENDENCYPART_ARC
(11,1),-0.823839 # DEPENDENCYPART_ARC
(11,2),-0.909508 # DEPENDENCYPART_ARC
(11,3),-1.06775 # DEPENDENCYPART_ARC
(11,4),0.19852 # DEPENDENCYPART_ARC
(11,5),-1.41255 # DEPENDENCYPART_ARC
(11,6),-0.0349685 # DEPENDENCYPART_ARC
(11,7),-0.12263 # DEPENDENCYPART_ARC
(11,8),0.0995574 # DEPENDENCYPART_ARC
(11,9),0.454118 # DEPENDENCYPART_ARC
(11,10),1.59239 # DEPENDENCYPART_ARC
(11,12),-0.855795 # DEPENDENCYPART_ARC
(11,13),-0.748592 # DEPENDENCYPART_ARC
(11,14),-0.424116 # DEPENDENCYPART_ARC
(11,15),-1.2501 # DEPENDENCYPART_ARC
(11,16),-1.64199 # DEPENDENCYPART_ARC
(11,17),-1.3617 # DEPENDENCYPART_ARC
(11,18),-1.35656 # DEPENDENCYPART_ARC
(11,19),-1.994 # DEPENDENCYPART_ARC
(11,20),-0.605887 # DEPENDENCYPART_ARC
(11,21),-0.943055 # DEPENDENCYPART_ARC
(11,22),-1.21017 # DEPENDENCYPART_ARC
(11,23),-1.6727 # DEPENDENCYPART_ARC
(11,24),-2.50423 # DEPENDENCYPART_ARC
(11,25),-1.5689 # DEPENDENCYPART_ARC
(11,26),-2.54582 # DEPENDENCYPART_ARC
(11,27),-0.919304 # DEPENDENCYPART_ARC
(11,28),-0.723326 # DEPENDENCYPART_ARC
(11,29),-1.40128 # DEPENDENCYPART_ARC
(11,30),-0.895005 # DEPENDENCYPART_ARC
(11,31),0.473747 # DEPENDENCYPART_ARC
(12,1),-0.198044 # DEPENDENCYPART_ARC
(12,2),0.68932 # DEPENDENCYPART_ARC
(12,3),0.773487 # DEPENDENCYPART_ARC
(12,4),0.728668 # DEPENDENCYPART_ARC
(12,5),-1.03797 # DEPENDENCYPART_ARC
(12,6),0.15641 # DEPENDENCYPART_ARC
(12,7),-0.268114 # DEPENDENCYPART_ARC
(12,8),1.26978 # DEPENDENCYPART_ARC
(12,9),1.30687 # DEPENDENCYPART_ARC
(12,10),3.1764 # DEPENDENCYPART_ARC
(12,11),3.55578 # DEPENDENCYPART_ARC
(12,13),-0.456456 # DEPENDENCYPART_ARC
(12,14),-0.979222 # DEPENDENCYPART_ARC
(12,15),-1.02867 # DEPENDENCYPART_ARC
(12,16),-1.45702 # DEPENDENCYPART_ARC
(12,17),-0.952986 # DEPENDENCYPART_ARC
(12,18),-1.04476 # DEPENDENCYPART_ARC
(12,19),-1.71962 # DEPENDENCYPART_ARC
(12,20),-0.311475 # DEPENDENCYPART_ARC
(12,21),-0.585429 # DEPENDENCYPART_ARC
(12,22),-0.905286 # DEPENDENCYPART_ARC
(12,23),-1.18945 # DEPENDENCYPART_ARC
(12,24),-2.21632 # DEPENDENCYPART_ARC
(12,25),-1.57382 # DEPENDENCYPART_ARC
(12,26),-1.70519 # DEPENDENCYPART_ARC
(12,27),-0.256399 # DEPENDENCYPART_ARC
(12,28),-0.547613 # DEPENDENCYPART_ARC
(12,29),-2.38799 # DEPENDENCYPART_ARC
(12,30),-0.754024 # DEPENDENCYPART_ARC
(12,31),0.928719 # DEPENDENCYPART_ARC
(13,1),-0.825001 # DEPENDENCYPART_ARC
(13,2),-1.28639 # DEPENDENCYPART_ARC
(13,3),-1.72936 # DEPENDENCYPART_ARC
(13,4),-0.0451846 # DEPENDENCYPART_ARC
(13,5),-1.90728 # DEPENDENCYPART_ARC
(13,6),-0.199735 # DEPENDENCYPART_ARC
(13,7),-0.302429 # DEPENDENCYPART_ARC
(13,8),-0.0472512 # DEPENDENCYPART_ARC
(13,9),-0.158613 # DEPENDENCYPART_ARC
(13,10),-0.717086 # DEPENDENCYPART_ARC
(13,11),0.0886033 # DEPENDENCYPART_ARC
(13,12),-0.358501 # DEPENDENCYPART_ARC
(13,14),-0.12947 # DEPENDENCYPART_ARC
(13,15),-0.75215 # DEPENDENCYPART_ARC
(13,16),-0.983416 # DEPENDENCYPART_ARC
(13,17),-0.600486 # DEPENDENCYPART_ARC
(13,18),-0.489291 # DEPENDENCYPART_ARC
(13,19),-1.42737 # DEPENDENCYPART_ARC
(13,20),-0.287152 # DEPENDENCYPART_ARC
(13,21),-0.516247 # DEPENDENCYPART_ARC
(13,22),-0.85878 # DEPENDENCYPART_ARC
(13,23),-0.816572 # DEPENDENCYPART_ARC
(13,24),-1.96245 # DEPENDENCYPART_ARC
(13,25),-1.20402 # DEPENDENCYPART_ARC
(13,26),-1.94841 # DEPENDENCYPART_ARC
(13,27),-0.646525 # DEPENDENCYPART_ARC
(13,28),-0.448855 # DEPENDENCYPART_ARC
(13,29),-1.06136 # DEPENDENCYPART_ARC
(13,30),-0.532312 # DEPENDENCYPART_ARC
(13,31),0.995358 # DEPENDENCYPART_ARC
(14,1),-0.639956 # DEPENDENCYPART_ARC
(14,2),-0.938677 # DEPENDENCYPART_ARC
(14,3),0.0866471 # DEPENDENCYPART_ARC
(14,4),0.576402 # DEPENDENCYPART_ARC
(14,5),-0.180945 # DEPENDENCYPART_ARC
(14,6),0.494623 # DEPENDENCYPART_ARC
(14,7),0.457846 # DEPENDENCYPART_ARC
(14,8),-0.22696 # DEPENDENCYPART_ARC
(14,9),0.308434 # DEPENDENCYPART_ARC
(14,10),1.32081 # DEPENDENCYPART_ARC
(14,11),0.417177 # DEPENDENCYPART_ARC
(14,12),2.6046 # DEPENDENCYPART_ARC
(14,13),3.26132 # DEPENDENCYPART_ARC
(14,15),0.0709346 # DEPENDENCYPART_ARC
(14,16),0.674735 # DEPENDENCYPART_ARC
(14,17),0.0302909 # DEPENDENCYPART_ARC
(14,18),-0.249203 # DEPENDENCYPART_ARC
(14,19),3.4093 # DEPENDENCYPART_ARC
(14,20),1.68175 # DEPENDENCYPART_ARC
(14,21),2.21436 # DEPENDENCYPART_ARC
(14,22),-0.72989 # DEPENDENCYPART_ARC
(14,23),-1.08949 # DEPENDENCYPART_ARC
(14,24),1.34973 # DEPENDENCYPART_ARC
(14,25),-0.489305 # DEPENDENCYPART_ARC
(14,26),-0.0938891 # DEPENDENCYPART_ARC
(14,27),0.965171 # DEPENDENCYPART_ARC
(14,28),-0.169905 # DEPENDENCYPART_ARC
(14,29),1.72251 # DEPENDENCYPART_ARC
(14,30),0.223379 # DEPENDENCYPART_ARC
(14,31),3.05737 # DEPENDENCYPART_ARC
(15,1),-1.9498 # DEPENDENCYPART_ARC
(15,2),-2.07498 # DEPENDENCYPART_ARC
(15,3),-3.2427 # DEPENDENCYPART_ARC
(15,4),-1.83144 # DEPENDENCYPART_ARC
(15,5),-3.43263 # DEPENDENCYPART_ARC
(15,6),-1.45296 # DEPENDENCYPART_ARC
(15,7),-1.55738 # DEPENDENCYPART_ARC
(15,8),-1.72808 # DEPENDENCYPART_ARC
(15,9),-2.46105 # DEPENDENCYPART_ARC
(15,10),-2.79139 # DEPENDENCYPART_ARC
(15,11),-1.78461 # DEPENDENCYPART_ARC
(15,12),-2.70335 # DEPENDENCYPART_ARC
(15,13),-1.40132 # DEPENDENCYPART_ARC
(15,14),-0.760646 # DEPENDENCYPART_ARC
(15,16),-0.260932 # DEPENDENCYPART_ARC
(15,17),-0.24623 # DEPENDENCYPART_ARC
(15,18),-0.128982 # DEPENDENCYPART_ARC
(15,19),-1.22377 # DEPENDENCYPART_ARC
(15,20),-0.212403 # DEPENDENCYPART_ARC
(15,21),-0.604465 # DEPENDENCYPART_ARC
(15,22),-0.788227 # DEPENDENCYPART_ARC
(15,23),-0.787144 # DEPENDENCYPART_ARC
(15,24),-1.50391 # DEPENDENCYPART_ARC
(15,25),-0.831264 # DEPENDENCYPART_ARC
(15,26),-1.8301 # DEPENDENCYPART_ARC
(15,27),-1.00144 # DEPENDENCYPART_ARC
(15,28),-0.488676 # DEPENDENCYPART_ARC
(15,29),-1.42918 # DEPENDENCYPART_ARC
(15,30),-0.509028 # DEPENDENCYPART_ARC
(15,31),-1.67787 # DEPENDENCYPART_ARC
(16,1),-1.0483 # DEPENDENCYPART_ARC
(16,2),-1.52876 # DEPENDENCYPART_ARC
(16,3),-1.41806 # DEPENDENCYPART_ARC
(16,4),-0.513073 # DEPENDENCYPART_ARC
(16,5),-1.54375 # DEPENDENCYPART_ARC
(16,6),-0.348094 # DEPENDENCYPART_ARC
(16,7),-0.562906 # DEPENDENCYPART_ARC
(16,8),-0.674839 # DEPENDENCYPART_ARC
(16,9),-0.714148 # DEPENDENCYPART_ARC
(16,10),-0.967698 # DEPENDENCYPART_ARC
(16,11),-1.37443 # DEPENDENCYPART_ARC
(16,12),-1.03393 # DEPENDENCYPART_ARC
(16,13),-0.385742 # DEPENDENCYPART_ARC
(16,14),0.0809776 # DEPENDENCYPART_ARC
(16,15),1.07924 # DEPENDENCYPART_ARC
(16,17),0.358818 # DEPENDENCYPART_ARC
(16,18),-0.375255 # DEPENDENCYPART_ARC
(16,19),-0.264237 # DEPENDENCYPART_ARC
(16,20),0.0783543 # DEPENDENCYPART_ARC
(16,21),-0.533627 # DEPENDENCYPART_ARC
(16,22),-0.524141 # DEPENDENCYPART_ARC
(16,23),-0.431928 # DEPENDENCYPART_ARC
