# _root_ Mint arról korábban beszámoltunk , márciusban csaknem kétszáz mázsa busa , harcsa és amur pusztult el a természetvédelmi területen található vajai őstóban .
#goldHeads=4,4,4,15,15,15,9,9,10,15,15,15,15,15,0,15,19,19,20,22,22,15,15,
#predictedHeads=4,4,4,0,4,15,9,9,10,15,15,15,15,15,2,15,19,19,20,21,22,15,15,
(6,2),-0.783707 # DEPENDENCYPART_ARC
(6,3),-0.568866 # DEPENDENCYPART_ARC
(6,4),-0.515627 # DEPENDENCYPART_ARC
(6,5),0.171633 # DEPENDENCYPART_ARC
(6,7),-0.38245 # DEPENDENCYPART_ARC
(6,8),-0.492509 # DEPENDENCYPART_ARC
(6,9),-0.574926 # DEPENDENCYPART_ARC
(6,10),-0.372631 # DEPENDENCYPART_ARC
(6,11),0.336285 # DEPENDENCYPART_ARC
(6,12),-1.25748 # DEPENDENCYPART_ARC
(6,13),-0.143258 # DEPENDENCYPART_ARC
(6,14),-1.24637 # DEPENDENCYPART_ARC
(6,15),-0.626964 # DEPENDENCYPART_ARC
(6,16),-0.61951 # DEPENDENCYPART_ARC
(6,17),-1.12211 # DEPENDENCYPART_ARC
(6,18),-1.62721 # DEPENDENCYPART_ARC
(6,19),-2.07657 # DEPENDENCYPART_ARC
(6,20),-1.67734 # DEPENDENCYPART_ARC
(6,21),-2.00678 # DEPENDENCYPART_ARC
(6,22),-1.91533 # DEPENDENCYPART_ARC
(6,23),-0.125388 # DEPENDENCYPART_ARC
(7,1),-0.672529 # DEPENDENCYPART_ARC
(7,2),-0.916406 # DEPENDENCYPART_ARC
(7,3),-0.411362 # DEPENDENCYPART_ARC
(7,4),-0.31688 # DEPENDENCYPART_ARC
(7,5),-0.432264 # DEPENDENCYPART_ARC
(7,6),0.479412 # DEPENDENCYPART_ARC
(7,8),-0.0449211 # DEPENDENCYPART_ARC
(7,9),0.258002 # DEPENDENCYPART_ARC
(7,10),0.033261 # DEPENDENCYPART_ARC
(7,11),0.211858 # DEPENDENCYPART_ARC
(7,12),-0.561839 # DEPENDENCYPART_ARC
(7,13),-0.0799541 # DEPENDENCYPART_ARC
(7,14),-0.735861 # DEPENDENCYPART_ARC
(7,15),-0.261156 # DEPENDENCYPART_ARC
(7,16),-0.545197 # DEPENDENCYPART_ARC
(7,17),-0.925332 # DEPENDENCYPART_ARC
(7,18),-0.993858 # DEPENDENCYPART_ARC
(7,19),-1.325 # DEPENDENCYPART_ARC
(7,20),-1.07208 # DEPENDENCYPART_ARC
(7,21),-1.43796 # DEPENDENCYPART_ARC
(7,22),-1.31657 # DEPENDENCYPART_ARC
(7,23),-0.0858866 # DEPENDENCYPART_ARC
(8,1),-1.08265 # DEPENDENCYPART_ARC
(8,2),-1.39304 # DEPENDENCYPART_ARC
(8,3),-0.793519 # DEPENDENCYPART_ARC
(8,4),-0.610916 # DEPENDENCYPART_ARC
(8,5),-0.534925 # DEPENDENCYPART_ARC
(8,6),-0.776302 # DEPENDENCYPART_ARC
(8,7),0.461683 # DEPENDENCYPART_ARC
(8,9),-0.356246 # DEPENDENCYPART_ARC
(8,10),-0.547882 # DEPENDENCYPART_ARC
(8,11),-0.561301 # DEPENDENCYPART_ARC
(8,12),-1.31065 # DEPENDENCYPART_ARC
(8,13),-1.19004 # DEPENDENCYPART_ARC
(8,14),-1.6002 # DEPENDENCYPART_ARC
(8,15),-1.18566 # DEPENDENCYPART_ARC
(8,17),-1.58396 # DEPENDENCYPART_ARC
(8,18),-1.434 # DEPENDENCYPART_ARC
(8,19),-2.6472 # DEPENDENCYPART_ARC
(8,20),-1.62048 # DEPENDENCYPART_ARC
(8,21),-2.56001 # DEPENDENCYPART_ARC
(8,22),-2.33008 # DEPENDENCYPART_ARC
(8,23),-0.415675 # DEPENDENCYPART_ARC
(9,1),-0.0390271 # DEPENDENCYPART_ARC
(9,2),-1.81777 # DEPENDENCYPART_ARC
(9,3),-0.265374 # DEPENDENCYPART_ARC
(9,4),-0.384641 # DEPENDENCYPART_ARC
(9,5),0.325972 # DEPENDENCYPART_ARC
(9,6),-1.60766 # DEPENDENCYPART_ARC
(9,7),1.59054 # DEPENDENCYPART_ARC
(9,8),3.08355 # DEPENDENCYPART_ARC
(9,10),-0.356999 # DEPENDENCYPART_ARC
(9,11),-0.323275 # DEPENDENCYPART_ARC
(9,12),-1.01795 # DEPENDENCYPART_ARC
(9,13),-0.88398 # DEPENDENCYPART_ARC
(9,14),-1.19691 # DEPENDENCYPART_ARC
(9,15),-0.955312 # DEPENDENCYPART_ARC
(9,16),-1.18874 # DEPENDENCYPART_ARC
(9,17),-1.67128 # DEPENDENCYPART_ARC
(9,18),-2.07388 # DEPENDENCYPART_ARC
(9,19),-2.53216 # DEPENDENCYPART_ARC
(9,20),-2.19389 # DEPENDENCYPART_ARC
(9,21),-2.56869 # DEPENDENCYPART_ARC
(9,22),-2.6796 # DEPENDENCYPART_ARC
(9,23),-0.771067 # DEPENDENCYPART_ARC
(10,1),-0.693219 # DEPENDENCYPART_ARC
(10,2),-2.52967 # DEPENDENCYPART_ARC
(10,3),-0.90717 # DEPENDENCYPART_ARC
(10,4),-1.06764 # DEPENDENCYPART_ARC
(10,5),0.0927102 # DEPENDENCYPART_ARC
(10,6),-2.30522 # DEPENDENCYPART_ARC
(10,7),0.184668 # DEPENDENCYPART_ARC
(10,8),1.34172 # DEPENDENCYPART_ARC
(10,9),2.19045 # DEPENDENCYPART_ARC
(10,11),0.174972 # DEPENDENCYPART_ARC
(10,12),-0.760583 # DEPENDENCYPART_ARC
(10,13),-0.587003 # DEPENDENCYPART_ARC
(10,14),-0.786886 # DEPENDENCYPART_ARC
(10,15),-0.595137 # DEPENDENCYPART_ARC
(10,16),-0.90592 # DEPENDENCYPART_ARC
(10,17),-1.32563 # DEPENDENCYPART_ARC
(10,18),-1.6858 # DEPENDENCYPART_ARC
(10,19),-2.12214 # DEPENDENCYPART_ARC
(10,20),-1.70511 # DEPENDENCYPART_ARC
(10,21),-2.12469 # DEPENDENCYPART_ARC
(10,22),-2.15363 # DEPENDENCYPART_ARC
(10,23),-0.300912 # DEPENDENCYPART_ARC
(12,1),-0.680973 # DEPENDENCYPART_ARC
(12,2),-2.44731 # DEPENDENCYPART_ARC
(12,3),-0.786602 # DEPENDENCYPART_ARC
(12,4),-1.10587 # DEPENDENCYPART_ARC
(12,5),-0.116259 # DEPENDENCYPART_ARC
(12,6),-2.26521 # DEPENDENCYPART_ARC
(12,7),0.0691028 # DEPENDENCYPART_ARC
(12,8),0.5448 # DEPENDENCYPART_ARC
(12,9),0.326436 # DEPENDENCYPART_ARC
(12,10),0.569757 # DEPENDENCYPART_ARC
(12,11),0.567682 # DEPENDENCYPART_ARC
(12,13),-0.912861 # DEPENDENCYPART_ARC
(12,14),-0.923017 # DEPENDENCYPART_ARC
(12,15),-1.09464 # DEPENDENCYPART_ARC
(12,16),-1.19853 # DEPENDENCYPART_ARC
(12,17),-1.63608 # DEPENDENCYPART_ARC
(12,18),-1.97966 # DEPENDENCYPART_ARC
(12,19),-2.43211 # DEPENDENCYPART_ARC
(12,20),-2.07857 # DEPENDENCYPART_ARC
(12,21),-2.24624 # DEPENDENCYPART_ARC
(12,22),-2.24135 # DEPENDENCYPART_ARC
(12,23),-0.823839 # DEPENDENCYPART_ARC
(13,1),-1.23855 # DEPENDENCYPART_ARC
(13,2),-1.87122 # DEPENDENCYPART_ARC
(13,3),-1.18402 # DEPENDENCYPART_ARC
(13,4),0.357119 # DEPENDENCYPART_ARC
(13,5),0.0441998 # DEPENDENCYPART_ARC
(13,6),-0.621591 # DEPENDENCYPART_ARC
(13,7),-0.905544 # DEPENDENCYPART_ARC
(13,8),-0.429012 # DEPENDENCYPART_ARC
(13,9),-0.532264 # DEPENDENCYPART_ARC
(13,10),-0.345206 # DEPENDENCYPART_ARC
(13,11),0.422348 # DEPENDENCYPART_ARC
(13,12),-0.138398 # DEPENDENCYPART_ARC
(13,14),-0.11962 # DEPENDENCYPART_ARC
(13,15),0.860962 # DEPENDENCYPART_ARC
(13,17),-0.82455 # DEPENDENCYPART_ARC
(13,18),-0.569752 # DEPENDENCYPART_ARC
(13,19),-0.657322 # DEPENDENCYPART_ARC
(13,20),-0.762454 # DEPENDENCYPART_ARC
(13,21),-0.570277 # DEPENDENCYPART_ARC
(13,22),-1.3208 # DEPENDENCYPART_ARC
(13,23),0.137988 # DEPENDENCYPART_ARC
(14,1),-0.55964 # DEPENDENCYPART_ARC
(14,2),-2.78532 # DEPENDENCYPART_ARC
(14,3),-0.890262 # DEPENDENCYPART_ARC
(14,4),-1.20125 # DEPENDENCYPART_ARC
(14,5),0.332235 # DEPENDENCYPART_ARC
(14,6),-2.10574 # DEPENDENCYPART_ARC
(14,7),0.0289006 # DEPENDENCYPART_ARC
(14,8),0.246845 # DEPENDENCYPART_ARC
(14,9),0.362849 # DEPENDENCYPART_ARC
(14,10),-0.158016 # DEPENDENCYPART_ARC
(14,11),0.844804 # DEPENDENCYPART_ARC
(14,12),1.25425 # DEPENDENCYPART_ARC
(14,13),1.0318 # DEPENDENCYPART_ARC
(14,15),-0.44301 # DEPENDENCYPART_ARC
(14,16),-0.856723 # DEPENDENCYPART_ARC
(14,17),-1.1508 # DEPENDENCYPART_ARC
(14,18),-1.29101 # DEPENDENCYPART_ARC
(14,19),-1.65387 # DEPENDENCYPART_ARC
(14,20),-1.58108 # DEPENDENCYPART_ARC
(14,21),-1.64603 # DEPENDENCYPART_ARC
(14,22),-1.73028 # DEPENDENCYPART_ARC
(14,23),-0.448936 # DEPENDENCYPART_ARC
(15,1),0.34036 # DEPENDENCYPART_ARC
(15,2),0.479218 # DEPENDENCYPART_ARC
(15,3),0.273969 # DEPENDENCYPART_ARC
(15,4),0.0261029 # DEPENDENCYPART_ARC
(15,5),0.386787 # DEPENDENCYPART_ARC
(15,6),1.61625 # DEPENDENCYPART_ARC
(15,7),0.444529 # DEPENDENCYPART_ARC
(15,8),-0.253003 # DEPENDENCYPART_ARC
(15,9),0.752232 # DEPENDENCYPART_ARC
(15,10),0.929611 # DEPENDENCYPART_ARC
(15,11),0.975205 # DEPENDENCYPART_ARC
(15,12),2.17877 # DEPENDENCYPART_ARC
(15,13),2.10171 # DEPENDENCYPART_ARC
(15,14),3.63945 # DEPENDENCYPART_ARC
(15,16),2.8225 # DEPENDENCYPART_ARC
(15,17),-0.0849795 # DEPENDENCYPART_ARC
(15,18),-0.303868 # DEPENDENCYPART_ARC
(15,19),1.01004 # DEPENDENCYPART_ARC
(15,20),-0.298836 # DEPENDENCYPART_ARC
(15,21),0.814053 # DEPENDENCYPART_ARC
(15,22),2.12563 # DEPENDENCYPART_ARC
(15,23),1.54996 # DEPENDENCYPART_ARC
(16,3),-0.663902 # DEPENDENCYPART_ARC
(16,4),-0.774756 # DEPENDENCYPART_ARC
(16,5),-1.23937 # DEPENDENCYPART_ARC
(16,6),-0.320869 # DEPENDENCYPART_ARC
(16,7),-0.0571428 # DEPENDENCYPART_ARC
(16,9),-0.325766 # DEPENDENCYPART_ARC
(16,10),-0.700744 # DEPENDENCYPART_ARC
(16,11),-0.653002 # DEPENDENCYPART_ARC
(16,12),0.0548303 # DEPENDENCYPART_ARC
(16,13),0.112797 # DEPENDENCYPART_ARC
(16,14),0.26566 # DEPENDENCYPART_ARC
(16,15),0.286808 # DEPENDENCYPART_ARC
(16,18),-0.307521 # DEPENDENCYPART_ARC
(16,19),-0.427648 # DEPENDENCYPART_ARC
(16,20),-0.680978 # DEPENDENCYPART_ARC
(16,21),-0.676043 # DEPENDENCYPART_ARC
(16,22),-0.730044 # DEPENDENCYPART_ARC
(16,23),-0.186174 # DEPENDENCYPART_ARC
(17,5),-1.39519 # DEPENDENCYPART_ARC
(17,6),-3.20468 # DEPENDENCYPART_ARC
(17,9),-3.02722 # DEPENDENCYPART_ARC
(17,10),-3.00553 # DEPENDENCYPART_ARC
(17,11),-1.14949 # DEPENDENCYPART_ARC
(17,12),-2.82358 # DEPENDENCYPART_ARC
(17,13),-1.33727 # DEPENDENCYPART_ARC
(17,14),-2.46831 # DEPENDENCYPART_ARC
(17,18),0.231524 # DEPENDENCYPART_ARC
(17,19),-0.872923 # DEPENDENCYPART_ARC
(17,20),-0.526737 # DEPENDENCYPART_ARC
(17,21),-1.56688 # DEPENDENCYPART_ARC
(17,22),-1.54999 # DEPENDENCYPART_ARC
(18,1),-2.37447 # DEPENDENCYPART_ARC
(18,2),-2.51992 # DEPENDENCYPART_ARC
(18,3),-1.6862 # DEPENDENCYPART_ARC
(18,4),-1.87883 # DEPENDENCYPART_ARC
(18,5),-1.60447 # DEPENDENCYPART_ARC
(18,6),-1.87129 # DEPENDENCYPART_ARC
(18,7),-1.73151 # DEPENDENCYPART_ARC
(18,8),-1.64912 # DEPENDENCYPART_ARC
(18,9),-2.54928 # DEPENDENCYPART_ARC
(18,10),-3.09001 # DEPENDENCYPART_ARC
(18,11),-1.12905 # DEPENDENCYPART_ARC
(18,12),-2.61921 # DEPENDENCYPART_ARC
(18,13),-0.870528 # DEPENDENCYPART_ARC
(18,14),-2.64135 # DEPENDENCYPART_ARC
(18,15),-1.54524 # DEPENDENCYPART_ARC
(18,16),-0.325412 # DEPENDENCYPART_ARC
(18,17),0.886016 # DEPENDENCYPART_ARC
(18,19),-0.595112 # DEPENDENCYPART_ARC
(18,20),-1.35988 # DEPENDENCYPART_ARC
(18,21),-1.99153 # DEPENDENCYPART_ARC
(18,22),-1.58234 # DEPENDENCYPART_ARC
(18,23),-1.79058 # DEPENDENCYPART_ARC
(19,1),-1.12216 # DEPENDENCYPART_ARC
(19,2),-2.53392 # DEPENDENCYPART_ARC
(19,3),-1.30919 # DEPENDENCYPART_ARC
(19,4),-2.40996 # DEPENDENCYPART_ARC
(19,5),-1.22741 # DEPENDENCYPART_ARC
(19,6),-4.88009 # DEPENDENCYPART_ARC
(19,7),-0.616849 # DEPENDENCYPART_ARC
(19,8),-0.792229 # DEPENDENCYPART_ARC
(19,9),-2.29696 # DEPENDENCYPART_ARC
(19,10),-3.62083 # DEPENDENCYPART_ARC
(19,11),-1.12945 # DEPENDENCYPART_ARC
(19,12),-2.9567 # DEPENDENCYPART_ARC
(19,13),-0.59462 # DEPENDENCYPART_ARC
(19,14),-2.66498 # DEPENDENCYPART_ARC
(19,15),-0.991891 # DEPENDENCYPART_ARC
(19,16),-0.22162 # DEPENDENCYPART_ARC
(19,17),2.94829 # DEPENDENCYPART_ARC
(19,18),3.9282 # DEPENDENCYPART_ARC
(19,20),-1.15017 # DEPENDENCYPART_ARC
(19,21),-0.520223 # DEPENDENCYPART_ARC
(19,22),-1.25704 # DEPENDENCYPART_ARC
(19,23),-0.656919 # DEPENDENCYPART_ARC
(20,1),-1.13126 # DEPENDENCYPART_ARC
(20,2),-1.29894 # DEPENDENCYPART_ARC
(20,3),-0.311386 # DEPENDENCYPART_ARC
(20,4),-0.345471 # DEPENDENCYPART_ARC
(20,5),0.231284 # DEPENDENCYPART_ARC
(20,6),0.00395521 # DEPENDENCYPART_ARC
(20,7),-0.477996 # DEPENDENCYPART_ARC
(20,8),-0.677928 # DEPENDENCYPART_ARC
(20,9),-0.850339 # DEPENDENCYPART_ARC
(20,10),-1.27691 # DEPENDENCYPART_ARC
(20,11),0.576621 # DEPENDENCYPART_ARC
(20,12),-0.785825 # DEPENDENCYPART_ARC
(20,13),0.712883 # DEPENDENCYPART_ARC
(20,14),-1.24463 # DEPENDENCYPART_ARC
(20,15),-0.580854 # DEPENDENCYPART_ARC
(20,16),0.481984 # DEPENDENCYPART_ARC
(20,17),0.492682 # DEPENDENCYPART_ARC
(20,18),0.731804 # DEPENDENCYPART_ARC
(20,19),2.49289 # DEPENDENCYPART_ARC
(20,21),-0.958035 # DEPENDENCYPART_ARC
(20,22),-0.535554 # DEPENDENCYPART_ARC
(20,23),-0.506385 # DEPENDENCYPART_ARC
(21,1),-0.673093 # DEPENDENCYPART_ARC
(21,2),-4.00661 # DEPENDENCYPART_ARC
(21,3),-0.754529 # DEPENDENCYPART_ARC
(21,4),-2.33996 # DEPENDENCYPART_ARC
(21,5),-0.636868 # DEPENDENCYPART_ARC
(21,6),-2.93067 # DEPENDENCYPART_ARC
(21,7),-0.169524 # DEPENDENCYPART_ARC
(21,8),-1.83529 # DEPENDENCYPART_ARC
(21,9),-0.0163268 # DEPENDENCYPART_ARC
(21,10),-1.53989 # DEPENDENCYPART_ARC
(21,11),-0.582132 # DEPENDENCYPART_ARC
(21,12),-0.687634 # DEPENDENCYPART_ARC
(21,13),0.22276 # DEPENDENCYPART_ARC
(21,14),-0.631698 # DEPENDENCYPART_ARC
(21,15),-1.63142 # DEPENDENCYPART_ARC
(21,16),0.0624753 # DEPENDENCYPART_ARC
(21,17),1.20534 # DEPENDENCYPART_ARC
(21,18),2.00473 # DEPENDENCYPART_ARC
(21,19),1.46436 # DEPENDENCYPART_ARC
(21,20),3.21936 # DEPENDENCYPART_ARC
(21,22),-1.29672 # DEPENDENCYPART_ARC
(21,23),-0.900462 # DEPENDENCYPART_ARC
(22,1),-1.06702 # DEPENDENCYPART_ARC
(22,2),-2.77003 # DEPENDENCYPART_ARC
(22,3),-1.04442 # DEPENDENCYPART_ARC
(22,4),-2.12495 # DEPENDENCYPART_ARC
(22,5),-0.71395 # DEPENDENCYPART_ARC
(22,6),-4.70706 # DEPENDENCYPART_ARC
(22,7),-0.725579 # DEPENDENCYPART_ARC
(22,8),-1.83765 # DEPENDENCYPART_ARC
(22,9),-2.51226 # DEPENDENCYPART_ARC
(22,10),-3.57765 # DEPENDENCYPART_ARC
(22,11),-0.486185 # DEPENDENCYPART_ARC
(22,12),-2.7914 # DEPENDENCYPART_ARC
(22,13),0.0747733 # DEPENDENCYPART_ARC
(22,14),-3.24485 # DEPENDENCYPART_ARC
(22,15),-1.2522 # DEPENDENCYPART_ARC
(22,16),-0.46031 # DEPENDENCYPART_ARC
(22,17),1.56976 # DEPENDENCYPART_ARC
(22,18),1.30618 # DEPENDENCYPART_ARC
(22,19),-1.24683 # DEPENDENCYPART_ARC
(22,20),2.14326 # DEPENDENCYPART_ARC
(22,21),1.33058 # DEPENDENCYPART_ARC
(22,23),0.0202514 # DEPENDENCYPART_ARC
