# _root_ Amit csak hosszabb út esetén , vagy ha a protokoll megkívánja , vezet a sofőröm .
#goldHeads=13,13,4,5,13,13,13,13,10,11,13,13,0,15,13,13,
#predictedHeads=11,11,4,5,11,7,13,13,10,11,13,13,0,15,13,7,
(3,11),-1.00624 # DEPENDENCYPART_ARC
(3,12),-0.548677 # DEPENDENCYPART_ARC
(3,13),-0.994125 # DEPENDENCYPART_ARC
(3,14),-1.47989 # DEPENDENCYPART_ARC
(3,15),-2.34152 # DEPENDENCYPART_ARC
(3,16),0.0961788 # DEPENDENCYPART_ARC
(4,1),-1.27546 # DEPENDENCYPART_ARC
(4,2),0.892013 # DEPENDENCYPART_ARC
(4,3),3.25414 # DEPENDENCYPART_ARC
(4,5),-1.09645 # DEPENDENCYPART_ARC
(4,6),-0.403962 # DEPENDENCYPART_ARC
(4,7),-0.68776 # DEPENDENCYPART_ARC
(4,8),-1.02924 # DEPENDENCYPART_ARC
(4,9),-1.40658 # DEPENDENCYPART_ARC
(4,10),-1.60079 # DEPENDENCYPART_ARC
(4,11),-1.16959 # DEPENDENCYPART_ARC
(4,12),-0.850341 # DEPENDENCYPART_ARC
(4,13),-1.2321 # DEPENDENCYPART_ARC
(4,14),-1.48775 # DEPENDENCYPART_ARC
(4,15),-2.22604 # DEPENDENCYPART_ARC
(4,16),0.0328609 # DEPENDENCYPART_ARC
(5,1),-1.88978 # DEPENDENCYPART_ARC
(5,2),0.122277 # DEPENDENCYPART_ARC
(5,3),1.41861 # DEPENDENCYPART_ARC
(5,4),4.03497 # DEPENDENCYPART_ARC
(5,6),-0.164388 # DEPENDENCYPART_ARC
(5,7),-0.703633 # DEPENDENCYPART_ARC
(5,8),-0.882183 # DEPENDENCYPART_ARC
(5,9),-1.23488 # DEPENDENCYPART_ARC
(5,10),-1.45455 # DEPENDENCYPART_ARC
(5,11),-1.54843 # DEPENDENCYPART_ARC
(5,12),-0.706093 # DEPENDENCYPART_ARC
(5,13),-1.37316 # DEPENDENCYPART_ARC
(5,14),-1.40619 # DEPENDENCYPART_ARC
(5,15),-1.95294 # DEPENDENCYPART_ARC
(5,16),0.230943 # DEPENDENCYPART_ARC
(6,1),-2.25296 # DEPENDENCYPART_ARC
(6,2),-1.88967 # DEPENDENCYPART_ARC
(6,3),-2.10309 # DEPENDENCYPART_ARC
(6,4),-2.40335 # DEPENDENCYPART_ARC
(6,5),-1.88183 # DEPENDENCYPART_ARC
(6,7),-1.14167 # DEPENDENCYPART_ARC
(6,8),-1.32347 # DEPENDENCYPART_ARC
(6,9),-1.53925 # DEPENDENCYPART_ARC
(6,10),-2.22573 # DEPENDENCYPART_ARC
(6,11),-1.66787 # DEPENDENCYPART_ARC
(6,12),-1.36197 # DEPENDENCYPART_ARC
(6,13),-1.73563 # DEPENDENCYPART_ARC
(6,14),-1.77544 # DEPENDENCYPART_ARC
(6,15),-2.6951 # DEPENDENCYPART_ARC
(6,16),-1.58943 # DEPENDENCYPART_ARC
(7,1),0.00984761 # DEPENDENCYPART_ARC
(7,2),0.764055 # DEPENDENCYPART_ARC
(7,3),0.233083 # DEPENDENCYPART_ARC
(7,4),0.239766 # DEPENDENCYPART_ARC
(7,5),-0.0934881 # DEPENDENCYPART_ARC
(7,6),1.0761 # DEPENDENCYPART_ARC
(7,8),0.660638 # DEPENDENCYPART_ARC
(7,9),-0.35882 # DEPENDENCYPART_ARC
(7,10),-0.49667 # DEPENDENCYPART_ARC
(7,11),1.21944 # DEPENDENCYPART_ARC
(7,12),0.65982 # DEPENDENCYPART_ARC
(7,13),0.352628 # DEPENDENCYPART_ARC
(7,14),-0.552643 # DEPENDENCYPART_ARC
(7,15),-0.940368 # DEPENDENCYPART_ARC
(7,16),2.70163 # DEPENDENCYPART_ARC
(8,1),0.39622 # DEPENDENCYPART_ARC
(8,2),0.984145 # DEPENDENCYPART_ARC
(8,3),1.0267 # DEPENDENCYPART_ARC
(8,4),0.582175 # DEPENDENCYPART_ARC
(8,5),0.779256 # DEPENDENCYPART_ARC
(8,6),0.891119 # DEPENDENCYPART_ARC
(8,7),0.989799 # DEPENDENCYPART_ARC
(8,9),-0.603465 # DEPENDENCYPART_ARC
(8,10),0.209495 # DEPENDENCYPART_ARC
(8,11),0.378459 # DEPENDENCYPART_ARC
(8,12),0.662317 # DEPENDENCYPART_ARC
(8,13),-0.410915 # DEPENDENCYPART_ARC
(8,14),-0.952463 # DEPENDENCYPART_ARC
(8,15),0.042887 # DEPENDENCYPART_ARC
(8,16),0.561951 # DEPENDENCYPART_ARC
(9,1),-3.1112 # DEPENDENCYPART_ARC
(9,2),-2.4774 # DEPENDENCYPART_ARC
(9,3),-2.33223 # DEPENDENCYPART_ARC
(9,4),-3.4112 # DEPENDENCYPART_ARC
(9,5),-3.56785 # DEPENDENCYPART_ARC
(9,6),-1.49316 # DEPENDENCYPART_ARC
(9,7),-1.78996 # DEPENDENCYPART_ARC
(9,8),-1.18689 # DEPENDENCYPART_ARC
(9,10),-0.825626 # DEPENDENCYPART_ARC
(9,11),-1.29685 # DEPENDENCYPART_ARC
(9,12),-0.825279 # DEPENDENCYPART_ARC
(9,13),-1.61607 # DEPENDENCYPART_ARC
(9,14),-1.40571 # DEPENDENCYPART_ARC
(9,15),-2.0757 # DEPENDENCYPART_ARC
(9,16),-1.79576 # DEPENDENCYPART_ARC
(10,1),-3.57091 # DEPENDENCYPART_ARC
(10,2),-1.46223 # DEPENDENCYPART_ARC
(10,3),-1.43095 # DEPENDENCYPART_ARC
(10,4),-1.09984 # DEPENDENCYPART_ARC
(10,5),-3.11006 # DEPENDENCYPART_ARC
(10,6),-0.651042 # DEPENDENCYPART_ARC
(10,7),-0.401783 # DEPENDENCYPART_ARC
(10,8),-0.326757 # DEPENDENCYPART_ARC
(10,9),3.08425 # DEPENDENCYPART_ARC
(10,11),-0.241718 # DEPENDENCYPART_ARC
(10,12),-0.496744 # DEPENDENCYPART_ARC
(10,13),-0.530552 # DEPENDENCYPART_ARC
(10,14),-1.35554 # DEPENDENCYPART_ARC
(10,15),-1.26454 # DEPENDENCYPART_ARC
(10,16),-0.0456954 # DEPENDENCYPART_ARC
(11,1),1.76942 # DEPENDENCYPART_ARC
(11,2),1.22373 # DEPENDENCYPART_ARC
(11,3),0.132883 # DEPENDENCYPART_ARC
(11,4),1.24825 # DEPENDENCYPART_ARC
(11,5),0.924254 # DEPENDENCYPART_ARC
(11,6),0.868364 # DEPENDENCYPART_ARC
(11,7),0.838806 # DEPENDENCYPART_ARC
(11,8),1.73602 # DEPENDENCYPART_ARC
(11,9),0.111146 # DEPENDENCYPART_ARC
(11,10),3.86832 # DEPENDENCYPART_ARC
(11,12),1.62207 # DEPENDENCYPART_ARC
(11,13),2.13328 # DEPENDENCYPART_ARC
(11,14),-0.676145 # DEPENDENCYPART_ARC
(11,15),0.480068 # DEPENDENCYPART_ARC
(11,16),2.22099 # DEPENDENCYPART_ARC
(12,1),-2.61866 # DEPENDENCYPART_ARC
(12,2),-2.36985 # DEPENDENCYPART_ARC
(12,3),-2.66707 # DEPENDENCYPART_ARC
(12,4),-3.07203 # DEPENDENCYPART_ARC
(12,5),-3.10455 # DEPENDENCYPART_ARC
(12,6),-1.9171 # DEPENDENCYPART_ARC
(12,7),-2.0608 # DEPENDENCYPART_ARC
(12,8),-1.91308 # DEPENDENCYPART_ARC
(12,9),-1.79326 # DEPENDENCYPART_ARC
(12,10),-2.27512 # DEPENDENCYPART_ARC
(12,11),-0.946846 # DEPENDENCYPART_ARC
(12,13),-1.05017 # DEPENDENCYPART_ARC
(12,14),-1.41599 # DEPENDENCYPART_ARC
(12,15),-2.04639 # DEPENDENCYPART_ARC
(12,16),-1.45247 # DEPENDENCYPART_ARC
(13,1),0.255495 # DEPENDENCYPART_ARC
(13,2),0.356407 # DEPENDENCYPART_ARC
(13,3),0.0453514 # DEPENDENCYPART_ARC
(13,4),0.202445 # DEPENDENCYPART_ARC
(13,5),0.0188005 # DEPENDENCYPART_ARC
(13,6),1.03463 # DEPENDENCYPART_ARC
(13,7),1.46318 # DEPENDENCYPART_ARC
(13,8),1.93421 # DEPENDENCYPART_ARC
(13,9),-0.512047 # DEPENDENCYPART_ARC
(13,10),1.98281 # DEPENDENCYPART_ARC
(13,11),2.13022 # DEPENDENCYPART_ARC
(13,12),1.80895 # DEPENDENCYPART_ARC
(13,14),0.340049 # DEPENDENCYPART_ARC
(13,15),3.8969 # DEPENDENCYPART_ARC
(13,16),2.64443 # DEPENDENCYPART_ARC
(14,1),-2.96051 # DEPENDENCYPART_ARC
(14,2),-2.39683 # DEPENDENCYPART_ARC
(14,3),-2.22135 # DEPENDENCYPART_ARC
(14,4),-3.37979 # DEPENDENCYPART_ARC
(14,5),-3.65448 # DEPENDENCYPART_ARC
(14,6),-1.60529 # DEPENDENCYPART_ARC
(14,7),-1.81883 # DEPENDENCYPART_ARC
(14,8),-1.77739 # DEPENDENCYPART_ARC
(14,9),-1.96275 # DEPENDENCYPART_ARC
(14,10),-2.94011 # DEPENDENCYPART_ARC
(14,11),-2.08977 # DEPENDENCYPART_ARC
(14,12),-1.57714 # DEPENDENCYPART_ARC
(14,13),-0.963147 # DEPENDENCYPART_ARC
(14,15),-0.476155 # DEPENDENCYPART_ARC
(14,16),-1.16844 # DEPENDENCYPART_ARC
(15,1),-5.36893 # DEPENDENCYPART_ARC
(15,2),-2.06727 # DEPENDENCYPART_ARC
(15,3),-3.01448 # DEPENDENCYPART_ARC
(15,4),-2.08439 # DEPENDENCYPART_ARC
(15,5),-5.69992 # DEPENDENCYPART_ARC
(15,6),-1.96824 # DEPENDENCYPART_ARC
(15,7),-1.10988 # DEPENDENCYPART_ARC
(15,8),-1.60644 # DEPENDENCYPART_ARC
(15,9),-1.09753 # DEPENDENCYPART_ARC
(15,10),-1.49308 # DEPENDENCYPART_ARC
(15,11),-1.9935 # DEPENDENCYPART_ARC
(15,12),-1.29358 # DEPENDENCYPART_ARC
(15,13),-1.73503 # DEPENDENCYPART_ARC
(15,14),2.51003 # DEPENDENCYPART_ARC
(15,16),-0.503132 # DEPENDENCYPART_ARC
(16,1),-3.50509 # DEPENDENCYPART_ARC
(16,2),-3.20247 # DEPENDENCYPART_ARC
(16,3),-3.36437 # DEPENDENCYPART_ARC
(16,4),-4.21125 # DEPENDENCYPART_ARC
(16,5),-4.15442 # DEPENDENCYPART_ARC
(16,6),-2.76533 # DEPENDENCYPART_ARC
(16,7),-2.80884 # DEPENDENCYPART_ARC
(16,8),-2.75965 # DEPENDENCYPART_ARC
(16,9),-2.91655 # DEPENDENCYPART_ARC
(16,10),-3.8463 # DEPENDENCYPART_ARC
(16,11),-2.97548 # DEPENDENCYPART_ARC
(16,12),-2.4961 # DEPENDENCYPART_ARC
(16,13),-2.35269 # DEPENDENCYPART_ARC
(16,14),-1.8609 # DEPENDENCYPART_ARC
(16,15),-2.53321 # DEPENDENCYPART_ARC
