# _root_ De például a májjal már más a helyzet : a sertés mája más enzimeket termel , mint az emberé , más nagyságú vörösvérsejteket hoz létre és így tovább .
#goldHeads=0,6,4,6,6,1,8,6,1,11,12,15,14,15,26,15,15,19,15,26,22,23,24,26,24,1,28,26,1,
#predictedHeads=24,15,4,2,15,8,8,12,1,11,12,15,14,15,1,15,15,19,24,24,24,23,24,26,24,27,0,24,1,
(10,9),-1.39579 # DEPENDENCYPART_ARC
(10,11),-0.734388 # DEPENDENCYPART_ARC
(10,12),-1.19506 # DEPENDENCYPART_ARC
(10,14),-1.53017 # DEPENDENCYPART_ARC
(10,16),-0.8076 # DEPENDENCYPART_ARC
(10,19),-2.07883 # DEPENDENCYPART_ARC
(10,20),-0.993167 # DEPENDENCYPART_ARC
(10,22),-1.78085 # DEPENDENCYPART_ARC
(10,23),-2.47516 # DEPENDENCYPART_ARC
(10,26),-1.95915 # DEPENDENCYPART_ARC
(11,1),-1.49663 # DEPENDENCYPART_ARC
(11,2),-1.48291 # DEPENDENCYPART_ARC
(11,3),-1.02712 # DEPENDENCYPART_ARC
(11,4),-4.2116 # DEPENDENCYPART_ARC
(11,5),-1.62092 # DEPENDENCYPART_ARC
(11,6),-0.122459 # DEPENDENCYPART_ARC
(11,7),0.290355 # DEPENDENCYPART_ARC
(11,8),-1.66637 # DEPENDENCYPART_ARC
(11,9),-1.14797 # DEPENDENCYPART_ARC
(11,10),3.04126 # DEPENDENCYPART_ARC
(11,12),-0.864312 # DEPENDENCYPART_ARC
(11,13),-1.95391 # DEPENDENCYPART_ARC
(11,14),-1.9585 # DEPENDENCYPART_ARC
(11,15),-0.477959 # DEPENDENCYPART_ARC
(11,16),-0.807246 # DEPENDENCYPART_ARC
(11,17),-1.3571 # DEPENDENCYPART_ARC
(11,18),-1.683 # DEPENDENCYPART_ARC
(11,19),-2.58935 # DEPENDENCYPART_ARC
(11,20),-0.788911 # DEPENDENCYPART_ARC
(11,21),-2.2567 # DEPENDENCYPART_ARC
(11,22),-2.24725 # DEPENDENCYPART_ARC
(11,23),-3.1716 # DEPENDENCYPART_ARC
(11,24),-1.11881 # DEPENDENCYPART_ARC
(11,25),-1.45545 # DEPENDENCYPART_ARC
(11,26),-1.18046 # DEPENDENCYPART_ARC
(11,27),-1.40966 # DEPENDENCYPART_ARC
(11,28),-1.4394 # DEPENDENCYPART_ARC
(11,29),-0.216669 # DEPENDENCYPART_ARC
(12,1),-0.568242 # DEPENDENCYPART_ARC
(12,2),-0.542553 # DEPENDENCYPART_ARC
(12,3),-1.62036 # DEPENDENCYPART_ARC
(12,4),-3.62814 # DEPENDENCYPART_ARC
(12,5),-0.720076 # DEPENDENCYPART_ARC
(12,6),-0.070996 # DEPENDENCYPART_ARC
(12,7),-0.32334 # DEPENDENCYPART_ARC
(12,8),0.36153 # DEPENDENCYPART_ARC
(12,9),-0.192822 # DEPENDENCYPART_ARC
(12,10),1.56023 # DEPENDENCYPART_ARC
(12,11),3.91783 # DEPENDENCYPART_ARC
(12,13),-1.62358 # DEPENDENCYPART_ARC
(12,14),-0.967479 # DEPENDENCYPART_ARC
(12,15),-0.467941 # DEPENDENCYPART_ARC
(12,16),-0.211271 # DEPENDENCYPART_ARC
(12,17),-0.981583 # DEPENDENCYPART_ARC
(12,18),-1.19806 # DEPENDENCYPART_ARC
(12,19),-2.01714 # DEPENDENCYPART_ARC
(12,20),-0.169283 # DEPENDENCYPART_ARC
(12,21),-2.14712 # DEPENDENCYPART_ARC
(12,22),-1.50051 # DEPENDENCYPART_ARC
(12,23),-2.44552 # DEPENDENCYPART_ARC
(12,24),-1.1411 # DEPENDENCYPART_ARC
(12,25),-0.867623 # DEPENDENCYPART_ARC
(12,26),-0.605595 # DEPENDENCYPART_ARC
(12,27),-0.807193 # DEPENDENCYPART_ARC
(12,28),-0.867537 # DEPENDENCYPART_ARC
(12,29),0.545857 # DEPENDENCYPART_ARC
(13,1),-0.193924 # DEPENDENCYPART_ARC
(13,2),-0.226852 # DEPENDENCYPART_ARC
(13,3),-0.516677 # DEPENDENCYPART_ARC
(13,4),-1.45031 # DEPENDENCYPART_ARC
(13,5),-0.124946 # DEPENDENCYPART_ARC
(13,6),-0.244761 # DEPENDENCYPART_ARC
(13,7),-0.224225 # DEPENDENCYPART_ARC
(13,8),-1.09844 # DEPENDENCYPART_ARC
(13,9),-0.36303 # DEPENDENCYPART_ARC
(13,10),0.0821286 # DEPENDENCYPART_ARC
(13,11),-0.651292 # DEPENDENCYPART_ARC
(13,12),-0.182755 # DEPENDENCYPART_ARC
(13,14),-0.657283 # DEPENDENCYPART_ARC
(13,15),-0.367369 # DEPENDENCYPART_ARC
(13,16),-0.0799397 # DEPENDENCYPART_ARC
(13,18),-1.46043 # DEPENDENCYPART_ARC
(13,19),-0.6947 # DEPENDENCYPART_ARC
(13,20),-0.410398 # DEPENDENCYPART_ARC
(13,21),-0.674998 # DEPENDENCYPART_ARC
(13,22),-0.737956 # DEPENDENCYPART_ARC
(13,23),-1.36169 # DEPENDENCYPART_ARC
(13,24),-0.00412958 # DEPENDENCYPART_ARC
(13,26),-0.115935 # DEPENDENCYPART_ARC
(13,28),-0.601773 # DEPENDENCYPART_ARC
(13,29),-0.413214 # DEPENDENCYPART_ARC
(14,1),-0.371328 # DEPENDENCYPART_ARC
(14,2),-0.364939 # DEPENDENCYPART_ARC
(14,3),-0.962188 # DEPENDENCYPART_ARC
(14,4),-3.48779 # DEPENDENCYPART_ARC
(14,5),-0.481169 # DEPENDENCYPART_ARC
(14,6),-0.0517696 # DEPENDENCYPART_ARC
(14,7),0.184275 # DEPENDENCYPART_ARC
(14,8),-1.95777 # DEPENDENCYPART_ARC
(14,9),-0.607672 # DEPENDENCYPART_ARC
(14,10),0.979773 # DEPENDENCYPART_ARC
(14,11),-0.0607988 # DEPENDENCYPART_ARC
(14,12),-0.351321 # DEPENDENCYPART_ARC
(14,13),3.31277 # DEPENDENCYPART_ARC
(14,15),-0.639409 # DEPENDENCYPART_ARC
(14,16),-0.580832 # DEPENDENCYPART_ARC
(14,17),-0.820803 # DEPENDENCYPART_ARC
(14,18),-1.16431 # DEPENDENCYPART_ARC
(14,19),-2.61185 # DEPENDENCYPART_ARC
(14,20),-0.548009 # DEPENDENCYPART_ARC
(14,21),-1.98328 # DEPENDENCYPART_ARC
(14,22),-1.52728 # DEPENDENCYPART_ARC
(14,23),-1.94139 # DEPENDENCYPART_ARC
(14,24),-1.336 # DEPENDENCYPART_ARC
(14,25),-1.12006 # DEPENDENCYPART_ARC
(14,26),-0.83166 # DEPENDENCYPART_ARC
(14,27),-1.17086 # DEPENDENCYPART_ARC
(14,28),-1.21711 # DEPENDENCYPART_ARC
(14,29),-0.0662019 # DEPENDENCYPART_ARC
(15,1),1.50092 # DEPENDENCYPART_ARC
(15,2),1.22549 # DEPENDENCYPART_ARC
(15,3),-1.19658 # DEPENDENCYPART_ARC
(15,4),-0.212153 # DEPENDENCYPART_ARC
(15,5),1.21455 # DEPENDENCYPART_ARC
(15,6),-0.0743377 # DEPENDENCYPART_ARC
(15,7),-0.900475 # DEPENDENCYPART_ARC
(15,8),0.205327 # DEPENDENCYPART_ARC
(15,9),0.612102 # DEPENDENCYPART_ARC
(15,10),-0.710338 # DEPENDENCYPART_ARC
(15,11),1.46739 # DEPENDENCYPART_ARC
(15,12),2.29844 # DEPENDENCYPART_ARC
(15,13),1.60765 # DEPENDENCYPART_ARC
(15,14),3.17075 # DEPENDENCYPART_ARC
(15,16),1.56717 # DEPENDENCYPART_ARC
(15,17),2.23385 # DEPENDENCYPART_ARC
(15,18),-0.665409 # DEPENDENCYPART_ARC
(15,19),0.100248 # DEPENDENCYPART_ARC
(15,20),0.719316 # DEPENDENCYPART_ARC
(15,21),-1.24268 # DEPENDENCYPART_ARC
(15,22),-0.896042 # DEPENDENCYPART_ARC
(15,23),-2.57488 # DEPENDENCYPART_ARC
(15,24),0.926414 # DEPENDENCYPART_ARC
(15,25),-0.076436 # DEPENDENCYPART_ARC
(15,26),-0.403679 # DEPENDENCYPART_ARC
(15,27),-0.460166 # DEPENDENCYPART_ARC
(15,28),-0.556623 # DEPENDENCYPART_ARC
(15,29),2.2516 # DEPENDENCYPART_ARC
(17,1),1.04835 # DEPENDENCYPART_ARC
(17,2),0.0837446 # DEPENDENCYPART_ARC
(17,3),-1.59057 # DEPENDENCYPART_ARC
(17,4),-0.242229 # DEPENDENCYPART_ARC
(17,5),-0.0221079 # DEPENDENCYPART_ARC
(17,6),0.276552 # DEPENDENCYPART_ARC
(17,7),-1.33145 # DEPENDENCYPART_ARC
(17,8),0.089963 # DEPENDENCYPART_ARC
(17,9),0.31707 # DEPENDENCYPART_ARC
(17,10),-0.975226 # DEPENDENCYPART_ARC
(17,11),0.18223 # DEPENDENCYPART_ARC
(17,12),0.364476 # DEPENDENCYPART_ARC
(17,13),0.537583 # DEPENDENCYPART_ARC
(17,14),-0.287542 # DEPENDENCYPART_ARC
(17,15),0.0901899 # DEPENDENCYPART_ARC
(17,16),1.08712 # DEPENDENCYPART_ARC
(17,18),-0.525303 # DEPENDENCYPART_ARC
(17,19),0.29613 # DEPENDENCYPART_ARC
(17,20),0.23872 # DEPENDENCYPART_ARC
(17,21),-0.913337 # DEPENDENCYPART_ARC
(17,22),-0.205506 # DEPENDENCYPART_ARC
(17,23),-0.993197 # DEPENDENCYPART_ARC
(17,24),0.411707 # DEPENDENCYPART_ARC
(17,25),-0.476604 # DEPENDENCYPART_ARC
(17,26),-0.361226 # DEPENDENCYPART_ARC
(17,27),-0.637219 # DEPENDENCYPART_ARC
(17,28),-0.414061 # DEPENDENCYPART_ARC
(17,29),1.66165 # DEPENDENCYPART_ARC
(18,1),-1.8404 # DEPENDENCYPART_ARC
(18,4),-3.37243 # DEPENDENCYPART_ARC
(18,8),-3.23426 # DEPENDENCYPART_ARC
(18,9),-1.64031 # DEPENDENCYPART_ARC
(18,11),-3.09609 # DEPENDENCYPART_ARC
(18,12),-3.479 # DEPENDENCYPART_ARC
(18,14),-2.51683 # DEPENDENCYPART_ARC
(18,16),-0.86964 # DEPENDENCYPART_ARC
(18,19),-0.951892 # DEPENDENCYPART_ARC
(18,20),-0.756537 # DEPENDENCYPART_ARC
(18,22),-0.924325 # DEPENDENCYPART_ARC
(18,23),-1.80895 # DEPENDENCYPART_ARC
(18,26),-1.4605 # DEPENDENCYPART_ARC
(19,1),-2.15372 # DEPENDENCYPART_ARC
(19,2),-1.56152 # DEPENDENCYPART_ARC
(19,3),-2.75837 # DEPENDENCYPART_ARC
(19,4),-5.8996 # DEPENDENCYPART_ARC
(19,5),-1.83789 # DEPENDENCYPART_ARC
(19,6),-1.71132 # DEPENDENCYPART_ARC
(19,7),-1.53048 # DEPENDENCYPART_ARC
(19,8),-3.57879 # DEPENDENCYPART_ARC
(19,9),-2.47715 # DEPENDENCYPART_ARC
(19,10),-0.878607 # DEPENDENCYPART_ARC
(19,11),-2.08648 # DEPENDENCYPART_ARC
(19,12),-2.80518 # DEPENDENCYPART_ARC
(19,13),-1.03912 # DEPENDENCYPART_ARC
(19,14),-4.63847 # DEPENDENCYPART_ARC
(19,15),-1.94744 # DEPENDENCYPART_ARC
(19,16),-0.361929 # DEPENDENCYPART_ARC
(19,17),-0.44615 # DEPENDENCYPART_ARC
(19,18),3.33838 # DEPENDENCYPART_ARC
(19,20),0.107582 # DEPENDENCYPART_ARC
(19,21),-1.65655 # DEPENDENCYPART_ARC
(19,22),-0.859131 # DEPENDENCYPART_ARC
(19,23),-0.756522 # DEPENDENCYPART_ARC
(19,24),0.277835 # DEPENDENCYPART_ARC
(19,25),-0.784486 # DEPENDENCYPART_ARC
(19,26),-0.505609 # DEPENDENCYPART_ARC
(19,27),-0.815972 # DEPENDENCYPART_ARC
(19,28),-0.939629 # DEPENDENCYPART_ARC
(19,29),-0.129888 # DEPENDENCYPART_ARC
(21,1),-0.281133 # DEPENDENCYPART_ARC
(21,2),-0.202878 # DEPENDENCYPART_ARC
(21,3),-1.00239 # DEPENDENCYPART_ARC
(21,4),-1.70827 # DEPENDENCYPART_ARC
(21,5),-0.242005 # DEPENDENCYPART_ARC
(21,6),-0.564866 # DEPENDENCYPART_ARC
(21,7),-0.766175 # DEPENDENCYPART_ARC
(21,8),-1.41699 # DEPENDENCYPART_ARC
(21,9),-0.529022 # DEPENDENCYPART_ARC
(21,10),-0.52272 # DEPENDENCYPART_ARC
(21,11),-1.05219 # DEPENDENCYPART_ARC
(21,12),-1.17602 # DEPENDENCYPART_ARC
(21,13),-0.468912 # DEPENDENCYPART_ARC
(21,14),-1.39396 # DEPENDENCYPART_ARC
(21,15),0.515889 # DEPENDENCYPART_ARC
(21,16),0.129603 # DEPENDENCYPART_ARC
(21,18),0.292134 # DEPENDENCYPART_ARC
(21,19),-0.673368 # DEPENDENCYPART_ARC
(21,20),0.190909 # DEPENDENCYPART_ARC
(21,22),-0.757711 # DEPENDENCYPART_ARC
(21,23),-0.710487 # DEPENDENCYPART_ARC
(21,24),-0.601458 # DEPENDENCYPART_ARC
(21,26),-0.732361 # DEPENDENCYPART_ARC
(21,28),-0.679463 # DEPENDENCYPART_ARC
(21,29),-0.679216 # DEPENDENCYPART_ARC
(22,1),-1.54767 # DEPENDENCYPART_ARC
(22,2),-2.25328 # DEPENDENCYPART_ARC
(22,3),-2.49378 # DEPENDENCYPART_ARC
(22,4),-2.60188 # DEPENDENCYPART_ARC
(22,5),-1.93207 # DEPENDENCYPART_ARC
(22,6),-2.25966 # DEPENDENCYPART_ARC
(22,7),-2.13645 # DEPENDENCYPART_ARC
(22,8),-3.28538 # DEPENDENCYPART_ARC
(22,9),-1.49845 # DEPENDENCYPART_ARC
(22,10),-1.79139 # DEPENDENCYPART_ARC
(22,11),-2.638 # DEPENDENCYPART_ARC
(22,12),-3.06862 # DEPENDENCYPART_ARC
(22,13),-1.71098 # DEPENDENCYPART_ARC
(22,14),-2.07002 # DEPENDENCYPART_ARC
(22,15),-1.48653 # DEPENDENCYPART_ARC
(22,16),-0.656719 # DEPENDENCYPART_ARC
(22,17),-0.820241 # DEPENDENCYPART_ARC
(22,18),-0.647057 # DEPENDENCYPART_ARC
(22,19),-1.11381 # DEPENDENCYPART_ARC
(22,20),-0.396764 # DEPENDENCYPART_ARC
(22,21),0.478137 # DEPENDENCYPART_ARC
(22,23),-1.35255 # DEPENDENCYPART_ARC
(22,24),-0.744292 # DEPENDENCYPART_ARC
(22,25),-1.21363 # DEPENDENCYPART_ARC
(22,26),-1.18372 # DEPENDENCYPART_ARC
(22,27),-1.43532 # DEPENDENCYPART_ARC
(22,28),-1.44017 # DEPENDENCYPART_ARC
(22,29),-0.811341 # DEPENDENCYPART_ARC
(23,1),-1.011 # DEPENDENCYPART_ARC
(23,2),-0.767054 # DEPENDENCYPART_ARC
(23,3),-2.64328 # DEPENDENCYPART_ARC
(23,4),-4.93433 # DEPENDENCYPART_ARC
(23,5),-0.883829 # DEPENDENCYPART_ARC
(23,6),-1.02798 # DEPENDENCYPART_ARC
(23,7),-1.44901 # DEPENDENCYPART_ARC
(23,8),-3.97219 # DEPENDENCYPART_ARC
(23,9),-2.25707 # DEPENDENCYPART_ARC
(23,10),-0.945669 # DEPENDENCYPART_ARC
(23,11),-2.00675 # DEPENDENCYPART_ARC
(23,12),-3.38983 # DEPENDENCYPART_ARC
(23,13),-0.416466 # DEPENDENCYPART_ARC
(23,14),-2.9348 # DEPENDENCYPART_ARC
(23,15),-2.43086 # DEPENDENCYPART_ARC
(23,16),-0.284685 # DEPENDENCYPART_ARC
(23,17),-0.0189166 # DEPENDENCYPART_ARC
(23,18),1.50596 # DEPENDENCYPART_ARC
(23,19),-0.961567 # DEPENDENCYPART_ARC
(23,20),0.164514 # DEPENDENCYPART_ARC
(23,21),1.53956 # DEPENDENCYPART_ARC
(23,22),3.51529 # DEPENDENCYPART_ARC
(23,24),-1.18078 # DEPENDENCYPART_ARC
