# _root_ Éppen ezért a Simi_Kft.-vel szembeni kartell megalakítására hívja föl a vidéki csapatokat , a Nyíregyházát , a Pécset és a Százhalombattát .
#goldHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,19,19,18,19,8,21,19,8,
#predictedHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,8,8,18,19,8,21,19,8,
(1,21),-2.32187 # DEPENDENCYPART_ARC
(1,22),0.463261 # DEPENDENCYPART_ARC
(2,1),1.02017 # DEPENDENCYPART_ARC
(2,4),0.264439 # DEPENDENCYPART_ARC
(2,5),-0.135202 # DEPENDENCYPART_ARC
(2,6),-0.077349 # DEPENDENCYPART_ARC
(2,7),-0.150178 # DEPENDENCYPART_ARC
(2,8),0.434381 # DEPENDENCYPART_ARC
(2,11),-0.951836 # DEPENDENCYPART_ARC
(2,12),-0.68272 # DEPENDENCYPART_ARC
(2,13),-0.00721622 # DEPENDENCYPART_ARC
(2,15),-1.26207 # DEPENDENCYPART_ARC
(2,16),-0.256862 # DEPENDENCYPART_ARC
(2,18),-1.96752 # DEPENDENCYPART_ARC
(2,19),-0.451142 # DEPENDENCYPART_ARC
(2,21),-1.74112 # DEPENDENCYPART_ARC
(2,22),2.18498 # DEPENDENCYPART_ARC
(3,4),-0.348055 # DEPENDENCYPART_ARC
(3,5),-0.108187 # DEPENDENCYPART_ARC
(3,6),-1.01313 # DEPENDENCYPART_ARC
(3,7),-1.52279 # DEPENDENCYPART_ARC
(3,11),-1.11617 # DEPENDENCYPART_ARC
(3,12),-1.78687 # DEPENDENCYPART_ARC
(3,13),-0.755714 # DEPENDENCYPART_ARC
(3,15),-2.03086 # DEPENDENCYPART_ARC
(3,16),-0.958471 # DEPENDENCYPART_ARC
(3,18),-2.18429 # DEPENDENCYPART_ARC
(3,19),-1.95926 # DEPENDENCYPART_ARC
(3,21),-2.36329 # DEPENDENCYPART_ARC
(4,1),-0.893733 # DEPENDENCYPART_ARC
(4,3),2.57922 # DEPENDENCYPART_ARC
(4,5),-0.756992 # DEPENDENCYPART_ARC
(4,6),-0.639017 # DEPENDENCYPART_ARC
(4,7),-1.51157 # DEPENDENCYPART_ARC
(4,8),-1.13001 # DEPENDENCYPART_ARC
(4,10),-1.56692 # DEPENDENCYPART_ARC
(4,11),-1.57632 # DEPENDENCYPART_ARC
(4,12),-1.71028 # DEPENDENCYPART_ARC
(4,13),-0.553098 # DEPENDENCYPART_ARC
(4,14),-1.68966 # DEPENDENCYPART_ARC
(4,15),-2.13465 # DEPENDENCYPART_ARC
(4,16),-0.78916 # DEPENDENCYPART_ARC
(4,17),-1.91313 # DEPENDENCYPART_ARC
(4,18),-2.47609 # DEPENDENCYPART_ARC
(4,19),-1.093 # DEPENDENCYPART_ARC
(4,20),-1.93831 # DEPENDENCYPART_ARC
(4,21),-2.83183 # DEPENDENCYPART_ARC
(4,22),-0.701291 # DEPENDENCYPART_ARC
(5,1),0.306093 # DEPENDENCYPART_ARC
(5,2),0.441383 # DEPENDENCYPART_ARC
(5,3),0.715549 # DEPENDENCYPART_ARC
(5,4),2.8121 # DEPENDENCYPART_ARC
(5,6),-0.695888 # DEPENDENCYPART_ARC
(5,7),-0.861811 # DEPENDENCYPART_ARC
(5,8),-0.822242 # DEPENDENCYPART_ARC
(5,9),-1.28183 # DEPENDENCYPART_ARC
(5,10),-1.70575 # DEPENDENCYPART_ARC
(5,11),-1.75524 # DEPENDENCYPART_ARC
(5,12),-2.44058 # DEPENDENCYPART_ARC
(5,13),-0.75934 # DEPENDENCYPART_ARC
(5,14),-1.8049 # DEPENDENCYPART_ARC
(5,15),-2.50769 # DEPENDENCYPART_ARC
(5,16),-0.875878 # DEPENDENCYPART_ARC
(5,17),-1.91992 # DEPENDENCYPART_ARC
(5,18),-3.05811 # DEPENDENCYPART_ARC
(5,19),-1.3336 # DEPENDENCYPART_ARC
(5,20),-1.95043 # DEPENDENCYPART_ARC
(5,21),-3.20836 # DEPENDENCYPART_ARC
(5,22),-0.184572 # DEPENDENCYPART_ARC
(6,1),-0.0236119 # DEPENDENCYPART_ARC
(6,2),-0.011507 # DEPENDENCYPART_ARC
(6,3),2.07872 # DEPENDENCYPART_ARC
(6,4),1.1969 # DEPENDENCYPART_ARC
(6,5),3.51733 # DEPENDENCYPART_ARC
(6,7),-1.15373 # DEPENDENCYPART_ARC
(6,8),-0.594832 # DEPENDENCYPART_ARC
(6,9),-0.883095 # DEPENDENCYPART_ARC
(6,10),-1.39178 # DEPENDENCYPART_ARC
(6,11),-1.56075 # DEPENDENCYPART_ARC
(6,12),-2.07786 # DEPENDENCYPART_ARC
(6,13),-0.4054 # DEPENDENCYPART_ARC
(6,14),-1.58977 # DEPENDENCYPART_ARC
(6,15),-2.20029 # DEPENDENCYPART_ARC
(6,16),-0.521925 # DEPENDENCYPART_ARC
(6,17),-1.72875 # DEPENDENCYPART_ARC
(6,18),-2.7514 # DEPENDENCYPART_ARC
(6,19),-0.896165 # DEPENDENCYPART_ARC
(6,20),-1.85509 # DEPENDENCYPART_ARC
(6,21),-3.03153 # DEPENDENCYPART_ARC
(6,22),-0.261221 # DEPENDENCYPART_ARC
(7,1),0.0871023 # DEPENDENCYPART_ARC
(7,2),0.171828 # DEPENDENCYPART_ARC
(7,3),0.273603 # DEPENDENCYPART_ARC
(7,4),-1.12916 # DEPENDENCYPART_ARC
(7,5),1.69613 # DEPENDENCYPART_ARC
(7,6),4.12894 # DEPENDENCYPART_ARC
(7,8),-1.63542 # DEPENDENCYPART_ARC
(7,9),-1.15194 # DEPENDENCYPART_ARC
(7,10),-1.52661 # DEPENDENCYPART_ARC
(7,11),-1.24636 # DEPENDENCYPART_ARC
(7,12),-1.40022 # DEPENDENCYPART_ARC
(7,13),-0.581724 # DEPENDENCYPART_ARC
(7,14),-1.78293 # DEPENDENCYPART_ARC
(7,15),-1.92399 # DEPENDENCYPART_ARC
(7,16),-0.750464 # DEPENDENCYPART_ARC
(7,17),-1.86777 # DEPENDENCYPART_ARC
(7,18),-2.33982 # DEPENDENCYPART_ARC
(7,19),-0.993089 # DEPENDENCYPART_ARC
(7,20),-2.09582 # DEPENDENCYPART_ARC
(7,21),-2.80729 # DEPENDENCYPART_ARC
(7,22),-0.444853 # DEPENDENCYPART_ARC
(8,1),1.43972 # DEPENDENCYPART_ARC
(8,2),1.81054 # DEPENDENCYPART_ARC
(8,3),-1.03173 # DEPENDENCYPART_ARC
(8,4),1.30962 # DEPENDENCYPART_ARC
(8,5),0.234558 # DEPENDENCYPART_ARC
(8,6),2.15855 # DEPENDENCYPART_ARC
(8,7),2.95572 # DEPENDENCYPART_ARC
(8,9),2.6743 # DEPENDENCYPART_ARC
(8,10),-0.370385 # DEPENDENCYPART_ARC
(8,11),-0.309177 # DEPENDENCYPART_ARC
(8,12),2.29868 # DEPENDENCYPART_ARC
(8,13),1.32825 # DEPENDENCYPART_ARC
(8,14),-0.67494 # DEPENDENCYPART_ARC
(8,15),1.56751 # DEPENDENCYPART_ARC
(8,16),0.861043 # DEPENDENCYPART_ARC
(8,17),-0.735672 # DEPENDENCYPART_ARC
(8,18),0.0776806 # DEPENDENCYPART_ARC
(8,19),0.63741 # DEPENDENCYPART_ARC
(8,20),-0.948064 # DEPENDENCYPART_ARC
(8,21),-0.0756306 # DEPENDENCYPART_ARC
(8,22),2.76502 # DEPENDENCYPART_ARC
(9,1),0.0429691 # DEPENDENCYPART_ARC
(9,5),-0.306264 # DEPENDENCYPART_ARC
(9,6),0.0262848 # DEPENDENCYPART_ARC
(9,7),0.147913 # DEPENDENCYPART_ARC
(9,8),0.222849 # DEPENDENCYPART_ARC
(9,11),-0.207351 # DEPENDENCYPART_ARC
(9,12),-0.0580908 # DEPENDENCYPART_ARC
(9,13),-0.297348 # DEPENDENCYPART_ARC
(9,16),-0.43738 # DEPENDENCYPART_ARC
(9,19),-0.378774 # DEPENDENCYPART_ARC
(9,22),0.417156 # DEPENDENCYPART_ARC
(10,4),-2.77743 # DEPENDENCYPART_ARC
(10,5),-1.90728 # DEPENDENCYPART_ARC
(10,6),-2.80672 # DEPENDENCYPART_ARC
(10,7),-2.98851 # DEPENDENCYPART_ARC
(10,11),0.309724 # DEPENDENCYPART_ARC
(10,12),-0.792206 # DEPENDENCYPART_ARC
(10,13),-0.400541 # DEPENDENCYPART_ARC
(10,15),-1.37672 # DEPENDENCYPART_ARC
(10,16),-0.565349 # DEPENDENCYPART_ARC
(10,18),-1.79005 # DEPENDENCYPART_ARC
(10,19),-1.37212 # DEPENDENCYPART_ARC
(10,21),-2.05923 # DEPENDENCYPART_ARC
(11,1),-1.71259 # DEPENDENCYPART_ARC
(11,2),-1.64578 # DEPENDENCYPART_ARC
(11,3),-1.89451 # DEPENDENCYPART_ARC
(11,4),-1.26685 # DEPENDENCYPART_ARC
(11,5),-2.46846 # DEPENDENCYPART_ARC
(11,6),-2.76633 # DEPENDENCYPART_ARC
(11,7),-1.88328 # DEPENDENCYPART_ARC
(11,8),-1.30711 # DEPENDENCYPART_ARC
(11,9),-0.462038 # DEPENDENCYPART_ARC
(11,10),0.703084 # DEPENDENCYPART_ARC
(11,12),-1.42915 # DEPENDENCYPART_ARC
(11,13),-0.791266 # DEPENDENCYPART_ARC
(11,14),-1.76808 # DEPENDENCYPART_ARC
(11,15),-2.18737 # DEPENDENCYPART_ARC
(11,16),-1.02708 # DEPENDENCYPART_ARC
(11,17),-1.93556 # DEPENDENCYPART_ARC
(11,18),-2.74553 # DEPENDENCYPART_ARC
(11,19),-1.47611 # DEPENDENCYPART_ARC
(11,20),-2.04395 # DEPENDENCYPART_ARC
(11,21),-2.99662 # DEPENDENCYPART_ARC
(11,22),-0.802717 # DEPENDENCYPART_ARC
(12,1),-1.20805 # DEPENDENCYPART_ARC
(12,2),-1.31491 # DEPENDENCYPART_ARC
(12,3),-0.640768 # DEPENDENCYPART_ARC
(12,4),-2.61188 # DEPENDENCYPART_ARC
(12,5),-0.381163 # DEPENDENCYPART_ARC
(12,6),-2.19248 # DEPENDENCYPART_ARC
(12,7),-4.1079 # DEPENDENCYPART_ARC
(12,8),-1.55982 # DEPENDENCYPART_ARC
(12,9),-0.315412 # DEPENDENCYPART_ARC
(12,10),2.83225 # DEPENDENCYPART_ARC
(12,11),3.41857 # DEPENDENCYPART_ARC
(12,13),0.273439 # DEPENDENCYPART_ARC
(12,14),-0.890831 # DEPENDENCYPART_ARC
(12,15),-0.757641 # DEPENDENCYPART_ARC
(12,16),-0.00896312 # DEPENDENCYPART_ARC
(12,17),-1.04659 # DEPENDENCYPART_ARC
(12,18),-1.45839 # DEPENDENCYPART_ARC
(12,19),-0.568213 # DEPENDENCYPART_ARC
(12,20),-1.17674 # DEPENDENCYPART_ARC
(12,21),-1.8575 # DEPENDENCYPART_ARC
(12,22),0.0199742 # DEPENDENCYPART_ARC
(14,4),-2.91555 # DEPENDENCYPART_ARC
(14,5),-1.98767 # DEPENDENCYPART_ARC
(14,6),-3.10759 # DEPENDENCYPART_ARC
(14,7),-3.45414 # DEPENDENCYPART_ARC
(14,11),-1.15951 # DEPENDENCYPART_ARC
(14,12),-1.93101 # DEPENDENCYPART_ARC
(14,13),-0.563471 # DEPENDENCYPART_ARC
(14,15),-0.350094 # DEPENDENCYPART_ARC
(14,16),-0.198587 # DEPENDENCYPART_ARC
(14,18),-1.13778 # DEPENDENCYPART_ARC
(14,19),-0.992074 # DEPENDENCYPART_ARC
(14,21),-1.59204 # DEPENDENCYPART_ARC
(15,1),-2.11265 # DEPENDENCYPART_ARC
(15,3),-2.22491 # DEPENDENCYPART_ARC
(15,4),-5.28354 # DEPENDENCYPART_ARC
(15,5),-3.49056 # DEPENDENCYPART_ARC
(15,6),-3.96666 # DEPENDENCYPART_ARC
(15,7),-5.33448 # DEPENDENCYPART_ARC
(15,8),-2.63032 # DEPENDENCYPART_ARC
(15,10),-0.501826 # DEPENDENCYPART_ARC
(15,11),-1.5136 # DEPENDENCYPART_ARC
(15,12),-3.12074 # DEPENDENCYPART_ARC
(15,13),-0.956669 # DEPENDENCYPART_ARC
(15,14),2.57339 # DEPENDENCYPART_ARC
(15,16),0.148593 # DEPENDENCYPART_ARC
(15,17),-0.909726 # DEPENDENCYPART_ARC
(15,18),-0.800361 # DEPENDENCYPART_ARC
(15,19),-0.793294 # DEPENDENCYPART_ARC
(15,20),-1.07159 # DEPENDENCYPART_ARC
(15,21),-1.5976 # DEPENDENCYPART_ARC
(15,22),-0.250684 # DEPENDENCYPART_ARC
(17,4),-3.07269 # DEPENDENCYPART_ARC
(17,5),-1.99264 # DEPENDENCYPART_ARC
(17,6),-3.31187 # DEPENDENCYPART_ARC
(17,7),-3.55576 # DEPENDENCYPART_ARC
(17,11),-1.47257 # DEPENDENCYPART_ARC
(17,12),-2.50629 # DEPENDENCYPART_ARC
(17,13),-1.26081 # DEPENDENCYPART_ARC
(17,15),-1.84852 # DEPENDENCYPART_ARC
(17,16),-0.549276 # DEPENDENCYPART_ARC
(17,18),-0.436792 # DEPENDENCYPART_ARC
(17,19),-0.67378 # DEPENDENCYPART_ARC
(17,21),-1.19064 # DEPENDENCYPART_ARC
(18,1),-2.32753 # DEPENDENCYPART_ARC
(18,3),-3.1898 # DEPENDENCYPART_ARC
(18,4),-5.78794 # DEPENDENCYPART_ARC
(18,5),-4.24142 # DEPENDENCYPART_ARC
(18,6),-4.65517 # DEPENDENCYPART_ARC
(18,7),-6.07251 # DEPENDENCYPART_ARC
(18,8),-3.07349 # DEPENDENCYPART_ARC
(18,10),-1.58119 # DEPENDENCYPART_ARC
(18,11),-2.57182 # DEPENDENCYPART_ARC
(18,12),-4.25819 # DEPENDENCYPART_ARC
(18,13),-1.54847 # DEPENDENCYPART_ARC
(18,14),-0.0833854 # DEPENDENCYPART_ARC
(18,15),-2.78377 # DEPENDENCYPART_ARC
(18,16),-1.06347 # DEPENDENCYPART_ARC
(18,17),2.57007 # DEPENDENCYPART_ARC
(18,19),-1.31277 # DEPENDENCYPART_ARC
(18,20),-1.64143 # DEPENDENCYPART_ARC
(18,21),-1.93523 # DEPENDENCYPART_ARC
(18,22),-1.40371 # DEPENDENCYPART_ARC
(19,1),-1.06313 # DEPENDENCYPART_ARC
(19,2),-1.72756 # DEPENDENCYPART_ARC
(19,3),-1.9375 # DEPENDENCYPART_ARC
(19,4),-0.671142 # DEPENDENCYPART_ARC
(19,5),-1.1495 # DEPENDENCYPART_ARC
(19,6),-0.982964 # DEPENDENCYPART_ARC
(19,7),-1.23414 # DEPENDENCYPART_ARC
(19,8),-0.489646 # DEPENDENCYPART_ARC
(19,10),-1.18508 # DEPENDENCYPART_ARC
(19,11),-1.02286 # DEPENDENCYPART_ARC
(19,12),-0.666262 # DEPENDENCYPART_ARC
(19,13),0.317192 # DEPENDENCYPART_ARC
(19,14),-0.945568 # DEPENDENCYPART_ARC
(19,15),-0.141277 # DEPENDENCYPART_ARC
(19,16),0.693547 # DEPENDENCYPART_ARC
(19,17),-0.289265 # DEPENDENCYPART_ARC
(19,18),0.41605 # DEPENDENCYPART_ARC
(19,20),-0.289999 # DEPENDENCYPART_ARC
(19,21),0.687557 # DEPENDENCYPART_ARC
(19,22),0.238611 # DEPENDENCYPART_ARC
(20,4),-3.29871 # DEPENDENCYPART_ARC
(20,5),-2.11539 # DEPENDENCYPART_ARC
(20,6),-3.46259 # DEPENDENCYPART_ARC
(20,7),-3.80592 # DEPENDENCYPART_ARC
(20,11),-1.62445 # DEPENDENCYPART_ARC
(20,12),-2.7894 # DEPENDENCYPART_ARC
(20,13),-1.15019 # DEPENDENCYPART_ARC
(20,15),-2.50903 # DEPENDENCYPART_ARC
(20,16),-1.05336 # DEPENDENCYPART_ARC
(20,18),-1.90762 # DEPENDENCYPART_ARC
(20,19),-0.397795 # DEPENDENCYPART_ARC
(20,21),-0.600284 # DEPENDENCYPART_ARC
(21,1),-2.26529 # DEPENDENCYPART_ARC
(21,3),-4.10709 # DEPENDENCYPART_ARC
(21,4),-6.20572 # DEPENDENCYPART_ARC
(21,5),-5.16443 # DEPENDENCYPART_ARC
(21,6),-5.00984 # DEPENDENCYPART_ARC
(21,7),-6.45774 # DEPENDENCYPART_ARC
(21,8),-2.92137 # DEPENDENCYPART_ARC
(21,10),-2.55217 # DEPENDENCYPART_ARC
(21,11),-3.40771 # DEPENDENCYPART_ARC
(21,12),-4.32075 # DEPENDENCYPART_ARC
(21,13),-1.56463 # DEPENDENCYPART_ARC
(21,14),-1.44122 # DEPENDENCYPART_ARC
(21,15),-3.1709 # DEPENDENCYPART_ARC
(21,16),-1.26668 # DEPENDENCYPART_ARC
(21,17),-0.418865 # DEPENDENCYPART_ARC
(21,18),-1.956 # DEPENDENCYPART_ARC
(21,19),-0.130791 # DEPENDENCYPART_ARC
(21,20),2.55329 # DEPENDENCYPART_ARC
(21,22),-0.837256 # DEPENDENCYPART_ARC
