# _root_ A Hexa és a RO-LA mellett már akad más támogatónk is , de mi azt szeretnénk , ha tovább bővülne ez a kör .
#goldHeads=2,6,6,5,6,8,8,13,10,8,8,13,0,16,16,13,16,16,20,15,23,23,20,13,
#predictedHeads=2,8,6,5,6,8,8,13,10,8,8,8,0,16,16,13,16,16,20,15,23,23,20,13,
(6,4),0.773619 # DEPENDENCYPART_ARC
(6,5),3.90285 # DEPENDENCYPART_ARC
(6,7),-0.325002 # DEPENDENCYPART_ARC
(6,8),-0.0320937 # DEPENDENCYPART_ARC
(6,9),-0.649288 # DEPENDENCYPART_ARC
(6,10),-0.655565 # DEPENDENCYPART_ARC
(6,11),-0.586965 # DEPENDENCYPART_ARC
(6,12),-0.129703 # DEPENDENCYPART_ARC
(6,13),-0.353593 # DEPENDENCYPART_ARC
(6,14),-0.885064 # DEPENDENCYPART_ARC
(6,15),-0.902749 # DEPENDENCYPART_ARC
(6,16),-0.216033 # DEPENDENCYPART_ARC
(6,17),-0.262562 # DEPENDENCYPART_ARC
(6,18),-0.523567 # DEPENDENCYPART_ARC
(6,19),-0.720652 # DEPENDENCYPART_ARC
(6,20),-0.414742 # DEPENDENCYPART_ARC
(6,21),-0.992079 # DEPENDENCYPART_ARC
(6,22),-0.783722 # DEPENDENCYPART_ARC
(6,23),-1.57614 # DEPENDENCYPART_ARC
(6,24),-0.0712867 # DEPENDENCYPART_ARC
(7,1),-0.495992 # DEPENDENCYPART_ARC
(7,2),0.0251733 # DEPENDENCYPART_ARC
(7,3),-0.069988 # DEPENDENCYPART_ARC
(7,4),-0.110793 # DEPENDENCYPART_ARC
(7,5),0.297836 # DEPENDENCYPART_ARC
(7,6),0.804811 # DEPENDENCYPART_ARC
(7,8),0.311155 # DEPENDENCYPART_ARC
(7,9),-0.489668 # DEPENDENCYPART_ARC
(7,10),-0.469003 # DEPENDENCYPART_ARC
(7,11),-0.292982 # DEPENDENCYPART_ARC
(7,12),-0.402577 # DEPENDENCYPART_ARC
(7,13),-0.295545 # DEPENDENCYPART_ARC
(7,14),-0.864446 # DEPENDENCYPART_ARC
(7,15),-0.956749 # DEPENDENCYPART_ARC
(7,16),-0.211234 # DEPENDENCYPART_ARC
(7,17),-0.563937 # DEPENDENCYPART_ARC
(7,18),-0.479406 # DEPENDENCYPART_ARC
(7,19),-0.811093 # DEPENDENCYPART_ARC
(7,20),-0.553688 # DEPENDENCYPART_ARC
(7,21),-1.0194 # DEPENDENCYPART_ARC
(7,22),-1.06475 # DEPENDENCYPART_ARC
(7,23),-1.93545 # DEPENDENCYPART_ARC
(7,24),0.85888 # DEPENDENCYPART_ARC
(8,1),-0.640584 # DEPENDENCYPART_ARC
(8,2),1.73908 # DEPENDENCYPART_ARC
(8,3),1.45429 # DEPENDENCYPART_ARC
(8,4),-0.535138 # DEPENDENCYPART_ARC
(8,5),1.79521 # DEPENDENCYPART_ARC
(8,6),2.09857 # DEPENDENCYPART_ARC
(8,7),3.31756 # DEPENDENCYPART_ARC
(8,9),2.3299 # DEPENDENCYPART_ARC
(8,10),2.97232 # DEPENDENCYPART_ARC
(8,11),2.94326 # DEPENDENCYPART_ARC
(8,12),2.43535 # DEPENDENCYPART_ARC
(8,13),1.37884 # DEPENDENCYPART_ARC
(8,14),1.07312 # DEPENDENCYPART_ARC
(8,15),0.0144517 # DEPENDENCYPART_ARC
(8,16),1.47451 # DEPENDENCYPART_ARC
(8,17),1.31203 # DEPENDENCYPART_ARC
(8,18),1.63106 # DEPENDENCYPART_ARC
(8,19),-0.0544253 # DEPENDENCYPART_ARC
(8,20),0.998952 # DEPENDENCYPART_ARC
(8,21),-0.175334 # DEPENDENCYPART_ARC
(8,22),-0.446633 # DEPENDENCYPART_ARC
(8,23),-1.53273 # DEPENDENCYPART_ARC
(8,24),4.09132 # DEPENDENCYPART_ARC
(9,1),-0.829436 # DEPENDENCYPART_ARC
(9,2),-1.098 # DEPENDENCYPART_ARC
(9,3),-0.249126 # DEPENDENCYPART_ARC
(9,4),-0.860383 # DEPENDENCYPART_ARC
(9,5),-0.997706 # DEPENDENCYPART_ARC
(9,6),-0.545908 # DEPENDENCYPART_ARC
(9,7),-0.335433 # DEPENDENCYPART_ARC
(9,8),0.268866 # DEPENDENCYPART_ARC
(9,10),0.295648 # DEPENDENCYPART_ARC
(9,11),-1.07369 # DEPENDENCYPART_ARC
(9,12),-0.0745725 # DEPENDENCYPART_ARC
(9,13),-0.50456 # DEPENDENCYPART_ARC
(9,14),-0.915916 # DEPENDENCYPART_ARC
(9,15),-1.18667 # DEPENDENCYPART_ARC
(9,16),1.11903 # DEPENDENCYPART_ARC
(9,17),0.203665 # DEPENDENCYPART_ARC
(9,18),0.104084 # DEPENDENCYPART_ARC
(9,19),-0.225521 # DEPENDENCYPART_ARC
(9,20),1.13309 # DEPENDENCYPART_ARC
(9,21),-0.555731 # DEPENDENCYPART_ARC
(9,22),-1.38624 # DEPENDENCYPART_ARC
(9,23),-0.650602 # DEPENDENCYPART_ARC
(9,24),0.314229 # DEPENDENCYPART_ARC
(10,1),-0.955811 # DEPENDENCYPART_ARC
(10,2),-3.35805 # DEPENDENCYPART_ARC
(10,3),-0.715991 # DEPENDENCYPART_ARC
(10,4),0.309479 # DEPENDENCYPART_ARC
(10,5),-2.75892 # DEPENDENCYPART_ARC
(10,6),-0.46386 # DEPENDENCYPART_ARC
(10,7),-0.364715 # DEPENDENCYPART_ARC
(10,8),-1.61076 # DEPENDENCYPART_ARC
(10,9),3.43273 # DEPENDENCYPART_ARC
(10,11),-0.734094 # DEPENDENCYPART_ARC
(10,12),-0.534816 # DEPENDENCYPART_ARC
(10,13),-0.704485 # DEPENDENCYPART_ARC
(10,14),-0.504846 # DEPENDENCYPART_ARC
(10,15),-1.9387 # DEPENDENCYPART_ARC
(10,16),-1.61623 # DEPENDENCYPART_ARC
(10,17),-0.979391 # DEPENDENCYPART_ARC
(10,18),-1.05294 # DEPENDENCYPART_ARC
(10,19),-0.817314 # DEPENDENCYPART_ARC
(10,20),-1.56747 # DEPENDENCYPART_ARC
(10,21),-1.94988 # DEPENDENCYPART_ARC
(10,22),-1.5687 # DEPENDENCYPART_ARC
(10,23),-3.29473 # DEPENDENCYPART_ARC
(10,24),0.977277 # DEPENDENCYPART_ARC
(11,1),-1.35232 # DEPENDENCYPART_ARC
(11,2),-0.747391 # DEPENDENCYPART_ARC
(11,3),-0.130467 # DEPENDENCYPART_ARC
(11,4),-1.14681 # DEPENDENCYPART_ARC
(11,5),-0.566179 # DEPENDENCYPART_ARC
(11,6),-0.132947 # DEPENDENCYPART_ARC
(11,7),0.0226565 # DEPENDENCYPART_ARC
(11,8),0.414963 # DEPENDENCYPART_ARC
(11,9),0.0749687 # DEPENDENCYPART_ARC
(11,10),0.203679 # DEPENDENCYPART_ARC
(11,12),0.0419063 # DEPENDENCYPART_ARC
(11,13),-0.497631 # DEPENDENCYPART_ARC
(11,14),-0.751018 # DEPENDENCYPART_ARC
(11,15),-1.25895 # DEPENDENCYPART_ARC
(11,16),-0.335945 # DEPENDENCYPART_ARC
(11,17),-0.311433 # DEPENDENCYPART_ARC
(11,18),-0.24996 # DEPENDENCYPART_ARC
(11,19),-0.756444 # DEPENDENCYPART_ARC
(11,20),-0.968639 # DEPENDENCYPART_ARC
(11,21),-0.834938 # DEPENDENCYPART_ARC
(11,22),-1.12866 # DEPENDENCYPART_ARC
(11,23),-1.6237 # DEPENDENCYPART_ARC
(11,24),1.08369 # DEPENDENCYPART_ARC
(12,1),-1.93079 # DEPENDENCYPART_ARC
(12,2),-2.7884 # DEPENDENCYPART_ARC
(12,3),-1.73953 # DEPENDENCYPART_ARC
(12,4),-1.84767 # DEPENDENCYPART_ARC
(12,5),-2.67896 # DEPENDENCYPART_ARC
(12,6),-1.80378 # DEPENDENCYPART_ARC
(12,7),-1.73738 # DEPENDENCYPART_ARC
(12,8),-1.64735 # DEPENDENCYPART_ARC
(12,9),-1.34216 # DEPENDENCYPART_ARC
(12,10),-1.71491 # DEPENDENCYPART_ARC
(12,11),-0.402121 # DEPENDENCYPART_ARC
(12,13),-0.805283 # DEPENDENCYPART_ARC
(12,14),-1.14883 # DEPENDENCYPART_ARC
(12,15),-1.3488 # DEPENDENCYPART_ARC
(12,16),-1.20027 # DEPENDENCYPART_ARC
(12,17),-1.05562 # DEPENDENCYPART_ARC
(12,18),-1.0336 # DEPENDENCYPART_ARC
(12,19),-1.39299 # DEPENDENCYPART_ARC
(12,20),-1.41296 # DEPENDENCYPART_ARC
(12,21),-1.63736 # DEPENDENCYPART_ARC
(12,22),-1.44749 # DEPENDENCYPART_ARC
(12,23),-2.38025 # DEPENDENCYPART_ARC
(12,24),-1.14331 # DEPENDENCYPART_ARC
(13,1),-1.10235 # DEPENDENCYPART_ARC
(13,2),-0.796794 # DEPENDENCYPART_ARC
(13,3),0.250824 # DEPENDENCYPART_ARC
(13,4),-0.901991 # DEPENDENCYPART_ARC
(13,5),-0.49081 # DEPENDENCYPART_ARC
(13,6),0.0665678 # DEPENDENCYPART_ARC
(13,7),0.18594 # DEPENDENCYPART_ARC
(13,8),1.72131 # DEPENDENCYPART_ARC
(13,9),0.310532 # DEPENDENCYPART_ARC
(13,10),-0.0823905 # DEPENDENCYPART_ARC
(13,11),0.924746 # DEPENDENCYPART_ARC
(13,12),2.20708 # DEPENDENCYPART_ARC
(13,14),-0.125869 # DEPENDENCYPART_ARC
(13,15),-0.615419 # DEPENDENCYPART_ARC
(13,16),1.87509 # DEPENDENCYPART_ARC
(13,17),0.403823 # DEPENDENCYPART_ARC
(13,18),0.6458 # DEPENDENCYPART_ARC
(13,19),0.0629776 # DEPENDENCYPART_ARC
(13,20),0.648322 # DEPENDENCYPART_ARC
(13,21),-0.168553 # DEPENDENCYPART_ARC
(13,22),-0.559014 # DEPENDENCYPART_ARC
(13,23),-1.30087 # DEPENDENCYPART_ARC
(13,24),4.19649 # DEPENDENCYPART_ARC
(14,1),-0.671612 # DEPENDENCYPART_ARC
(14,2),-1.45386 # DEPENDENCYPART_ARC
(14,3),-0.222177 # DEPENDENCYPART_ARC
(14,4),-0.547348 # DEPENDENCYPART_ARC
(14,5),-1.20626 # DEPENDENCYPART_ARC
(14,6),-0.791898 # DEPENDENCYPART_ARC
(14,7),-0.339869 # DEPENDENCYPART_ARC
(14,8),-0.964038 # DEPENDENCYPART_ARC
(14,9),0.30319 # DEPENDENCYPART_ARC
(14,10),-1.19647 # DEPENDENCYPART_ARC
(14,11),0.21462 # DEPENDENCYPART_ARC
(14,12),-0.220561 # DEPENDENCYPART_ARC
(14,13),0.592254 # DEPENDENCYPART_ARC
(14,15),-0.204997 # DEPENDENCYPART_ARC
(14,16),-1.29073 # DEPENDENCYPART_ARC
(14,17),0.783202 # DEPENDENCYPART_ARC
(14,18),0.643589 # DEPENDENCYPART_ARC
(14,19),0.337591 # DEPENDENCYPART_ARC
(14,20),-0.400696 # DEPENDENCYPART_ARC
(14,21),0.166354 # DEPENDENCYPART_ARC
(14,22),-0.181074 # DEPENDENCYPART_ARC
(14,23),0.236195 # DEPENDENCYPART_ARC
(14,24),1.10044 # DEPENDENCYPART_ARC
(15,1),-0.541403 # DEPENDENCYPART_ARC
(15,2),-1.0608 # DEPENDENCYPART_ARC
(15,3),-0.471602 # DEPENDENCYPART_ARC
(15,4),-0.410406 # DEPENDENCYPART_ARC
(15,5),-0.894787 # DEPENDENCYPART_ARC
(15,6),-0.563113 # DEPENDENCYPART_ARC
(15,7),0.0197846 # DEPENDENCYPART_ARC
(15,8),0.265867 # DEPENDENCYPART_ARC
(15,9),0.0891874 # DEPENDENCYPART_ARC
(15,10),-0.997284 # DEPENDENCYPART_ARC
(15,11),-0.0928726 # DEPENDENCYPART_ARC
(15,12),0.257155 # DEPENDENCYPART_ARC
(15,13),-0.0117247 # DEPENDENCYPART_ARC
(15,14),1.17432 # DEPENDENCYPART_ARC
(15,16),1.86356 # DEPENDENCYPART_ARC
(15,17),0.960736 # DEPENDENCYPART_ARC
(15,18),1.35568 # DEPENDENCYPART_ARC
(15,19),0.614377 # DEPENDENCYPART_ARC
(15,20),2.87641 # DEPENDENCYPART_ARC
(15,21),0.676829 # DEPENDENCYPART_ARC
(15,22),-0.0883604 # DEPENDENCYPART_ARC
(15,23),0.874796 # DEPENDENCYPART_ARC
(15,24),1.22068 # DEPENDENCYPART_ARC
(16,1),-0.572069 # DEPENDENCYPART_ARC
(16,2),-1.64725 # DEPENDENCYPART_ARC
(16,3),0.158783 # DEPENDENCYPART_ARC
(16,4),-0.511446 # DEPENDENCYPART_ARC
(16,5),-2.3165 # DEPENDENCYPART_ARC
(16,6),0.483617 # DEPENDENCYPART_ARC
(16,7),0.437814 # DEPENDENCYPART_ARC
(16,8),-0.587442 # DEPENDENCYPART_ARC
(16,9),-1.16705 # DEPENDENCYPART_ARC
(16,10),-0.37119 # DEPENDENCYPART_ARC
(16,11),0.923892 # DEPENDENCYPART_ARC
(16,12),0.673949 # DEPENDENCYPART_ARC
(16,13),1.45871 # DEPENDENCYPART_ARC
(16,14),3.08834 # DEPENDENCYPART_ARC
(16,15),3.51677 # DEPENDENCYPART_ARC
(16,17),3.06047 # DEPENDENCYPART_ARC
(16,18),2.80916 # DEPENDENCYPART_ARC
(16,19),0.602483 # DEPENDENCYPART_ARC
(16,20),1.88181 # DEPENDENCYPART_ARC
(16,21),-0.569411 # DEPENDENCYPART_ARC
(16,22),-0.261895 # DEPENDENCYPART_ARC
(16,23),-1.7707 # DEPENDENCYPART_ARC
(16,24),3.18818 # DEPENDENCYPART_ARC
(17,1),-2.51091 # DEPENDENCYPART_ARC
(17,2),-3.48544 # DEPENDENCYPART_ARC
(17,3),-2.36338 # DEPENDENCYPART_ARC
(17,4),-2.37689 # DEPENDENCYPART_ARC
(17,5),-3.3676 # DEPENDENCYPART_ARC
(17,6),-2.46547 # DEPENDENCYPART_ARC
(17,7),-2.44103 # DEPENDENCYPART_ARC
(17,8),-2.62953 # DEPENDENCYPART_ARC
(17,9),-2.49104 # DEPENDENCYPART_ARC
(17,10),-3.01603 # DEPENDENCYPART_ARC
(17,11),-1.94889 # DEPENDENCYPART_ARC
(17,12),-2.04296 # DEPENDENCYPART_ARC
(17,13),-1.91576 # DEPENDENCYPART_ARC
(17,14),-1.99164 # DEPENDENCYPART_ARC
(17,15),-1.60746 # DEPENDENCYPART_ARC
(17,16),-0.937891 # DEPENDENCYPART_ARC
(17,18),-1.21832 # DEPENDENCYPART_ARC
(17,19),-1.51404 # DEPENDENCYPART_ARC
(17,20),-1.55417 # DEPENDENCYPART_ARC
(17,21),-1.87944 # DEPENDENCYPART_ARC
(17,22),-1.8207 # DEPENDENCYPART_ARC
(17,23),-2.58454 # DEPENDENCYPART_ARC
(17,24),-1.57441 # DEPENDENCYPART_ARC
(18,1),-1.51862 # DEPENDENCYPART_ARC
(18,2),-0.900686 # DEPENDENCYPART_ARC
(18,3),-0.704977 # DEPENDENCYPART_ARC
(18,4),-1.34521 # DEPENDENCYPART_ARC
(18,5),-0.490548 # DEPENDENCYPART_ARC
(18,6),-0.211421 # DEPENDENCYPART_ARC
(18,7),0.185605 # DEPENDENCYPART_ARC
(18,8),-0.639579 # DEPENDENCYPART_ARC
(18,9),0.16813 # DEPENDENCYPART_ARC
(18,10),-0.654141 # DEPENDENCYPART_ARC
(18,11),0.425383 # DEPENDENCYPART_ARC
(18,12),0.647305 # DEPENDENCYPART_ARC
(18,13),1.0175 # DEPENDENCYPART_ARC
(18,14),0.257728 # DEPENDENCYPART_ARC
(18,15),0.0673016 # DEPENDENCYPART_ARC
(18,16),0.0307666 # DEPENDENCYPART_ARC
(18,17),1.4432 # DEPENDENCYPART_ARC
(18,19),-0.167651 # DEPENDENCYPART_ARC
(18,20),0.75527 # DEPENDENCYPART_ARC
(18,21),-0.581098 # DEPENDENCYPART_ARC
(18,22),-0.913001 # DEPENDENCYPART_ARC
(18,23),-1.11215 # DEPENDENCYPART_ARC
(18,24),1.73247 # DEPENDENCYPART_ARC
(19,1),-2.6006 # DEPENDENCYPART_ARC
(19,2),-2.70085 # DEPENDENCYPART_ARC
(19,3),-2.05321 # DEPENDENCYPART_ARC
(19,4),-2.46042 # DEPENDENCYPART_ARC
(19,5),-2.68528 # DEPENDENCYPART_ARC
(19,6),-1.777 # DEPENDENCYPART_ARC
(19,7),-2.40089 # DEPENDENCYPART_ARC
(19,8),-1.64908 # DEPENDENCYPART_ARC
(19,9),-2.15131 # DEPENDENCYPART_ARC
(19,10),-2.22602 # DEPENDENCYPART_ARC
(19,11),-1.53355 # DEPENDENCYPART_ARC
(19,12),-1.32288 # DEPENDENCYPART_ARC
(19,13),-1.29735 # DEPENDENCYPART_ARC
(19,14),-1.69934 # DEPENDENCYPART_ARC
(19,15),-1.38137 # DEPENDENCYPART_ARC
(19,16),-0.958771 # DEPENDENCYPART_ARC
(19,17),-0.901129 # DEPENDENCYPART_ARC
(19,18),-0.35885 # DEPENDENCYPART_ARC
(19,20),-0.41854 # DEPENDENCYPART_ARC
(19,21),-1.23287 # DEPENDENCYPART_ARC
(19,22),-1.39595 # DEPENDENCYPART_ARC
(19,23),-1.46071 # DEPENDENCYPART_ARC
(19,24),-0.463419 # DEPENDENCYPART_ARC
(20,1),-1.17874 # DEPENDENCYPART_ARC
(20,2),-1.49193 # DEPENDENCYPART_ARC
(20,3),-0.434543 # DEPENDENCYPART_ARC
(20,4),-1.24536 # DEPENDENCYPART_ARC
(20,5),-1.99157 # DEPENDENCYPART_ARC
(20,6),-0.314899 # DEPENDENCYPART_ARC
(20,7),-0.462178 # DEPENDENCYPART_ARC
(20,8),-1.34917 # DEPENDENCYPART_ARC
(20,9),-1.99329 # DEPENDENCYPART_ARC
(20,10),0.162245 # DEPENDENCYPART_ARC
(20,11),-0.120516 # DEPENDENCYPART_ARC
(20,12),-0.0630512 # DEPENDENCYPART_ARC
(20,13),0.751013 # DEPENDENCYPART_ARC
(20,14),-0.572268 # DEPENDENCYPART_ARC
(20,15),-0.109787 # DEPENDENCYPART_ARC
(20,16),1.57029 # DEPENDENCYPART_ARC
(20,17),1.05886 # DEPENDENCYPART_ARC
(20,18),0.980045 # DEPENDENCYPART_ARC
(20,19),2.92544 # DEPENDENCYPART_ARC
(20,21),1.42717 # DEPENDENCYPART_ARC
(20,22),0.0126067 # DEPENDENCYPART_ARC
(20,23),1.50786 # DEPENDENCYPART_ARC
(20,24),1.8957 # DEPENDENCYPART_ARC
(21,1),-1.31396 # DEPENDENCYPART_ARC
(21,2),-1.38196 # DEPENDENCYPART_ARC
(21,3),-0.207513 # DEPENDENCYPART_ARC
(21,4),-1.23588 # DEPENDENCYPART_ARC
(21,5),-1.38829 # DEPENDENCYPART_ARC
(21,6),-1.23827 # DEPENDENCYPART_ARC
(21,7),-0.686226 # DEPENDENCYPART_ARC
(21,8),-1.06414 # DEPENDENCYPART_ARC
(21,9),-1.33716 # DEPENDENCYPART_ARC
(21,10),-1.72209 # DEPENDENCYPART_ARC
(21,11),-0.254079 # DEPENDENCYPART_ARC
(21,12),-0.036969 # DEPENDENCYPART_ARC
(21,13),-0.269359 # DEPENDENCYPART_ARC
(21,14),-0.980301 # DEPENDENCYPART_ARC
(21,15),-1.76911 # DEPENDENCYPART_ARC
(21,16),-0.834506 # DEPENDENCYPART_ARC
(21,17),0.076878 # DEPENDENCYPART_ARC
(21,18),-0.121488 # DEPENDENCYPART_ARC
(21,19),-0.330137 # DEPENDENCYPART_ARC
(21,20),-0.0847353 # DEPENDENCYPART_ARC
(21,22),-0.419087 # DEPENDENCYPART_ARC
(21,23),0.89431 # DEPENDENCYPART_ARC
(21,24),0.864642 # DEPENDENCYPART_ARC
(22,1),-2.49552 # DEPENDENCYPART_ARC
(22,2),-3.58257 # DEPENDENCYPART_ARC
