# _root_ A társadalmi munkákat halmozó Kukorelli a Magyar_Politikatudományi_Társaság , a Független_Jogász_Fórum és a Népfőiskolai_Társaság tagja , emellett több tanácsadó testület és kodifikációs bizottság munkájában is közreműködik .
#goldHeads=5,3,4,5,0,7,14,14,10,14,14,13,14,5,5,25,19,19,23,23,22,23,25,25,5,5,
#predictedHeads=3,3,4,5,25,7,25,25,10,14,14,13,14,25,25,25,19,19,25,23,22,23,25,25,0,25,
(2,19),-2.42292 # DEPENDENCYPART_ARC
(2,20),-1.60907 # DEPENDENCYPART_ARC
(2,21),-2.35137 # DEPENDENCYPART_ARC
(2,22),-2.76338 # DEPENDENCYPART_ARC
(2,23),-2.93146 # DEPENDENCYPART_ARC
(2,24),-2.50021 # DEPENDENCYPART_ARC
(2,25),-2.4178 # DEPENDENCYPART_ARC
(2,26),-0.735286 # DEPENDENCYPART_ARC
(3,1),2.81815 # DEPENDENCYPART_ARC
(3,2),4.03239 # DEPENDENCYPART_ARC
(3,4),-0.454224 # DEPENDENCYPART_ARC
(3,5),-0.476203 # DEPENDENCYPART_ARC
(3,6),-0.946018 # DEPENDENCYPART_ARC
(3,7),-0.928753 # DEPENDENCYPART_ARC
(3,8),-0.182284 # DEPENDENCYPART_ARC
(3,9),-1.1491 # DEPENDENCYPART_ARC
(3,10),-1.56373 # DEPENDENCYPART_ARC
(3,11),-0.473375 # DEPENDENCYPART_ARC
(3,12),-1.29073 # DEPENDENCYPART_ARC
(3,13),-1.79111 # DEPENDENCYPART_ARC
(3,14),-2.03805 # DEPENDENCYPART_ARC
(3,15),-0.592801 # DEPENDENCYPART_ARC
(3,16),-1.09816 # DEPENDENCYPART_ARC
(3,17),-1.33251 # DEPENDENCYPART_ARC
(3,18),-1.53704 # DEPENDENCYPART_ARC
(3,19),-2.24723 # DEPENDENCYPART_ARC
(3,20),-0.598451 # DEPENDENCYPART_ARC
(3,21),-1.66759 # DEPENDENCYPART_ARC
(3,22),-2.38945 # DEPENDENCYPART_ARC
(3,23),-3.15384 # DEPENDENCYPART_ARC
(3,24),-2.10257 # DEPENDENCYPART_ARC
(3,25),-1.97053 # DEPENDENCYPART_ARC
(3,26),-0.49462 # DEPENDENCYPART_ARC
(4,1),0.502029 # DEPENDENCYPART_ARC
(4,2),0.81087 # DEPENDENCYPART_ARC
(4,3),2.36228 # DEPENDENCYPART_ARC
(4,5),-0.606338 # DEPENDENCYPART_ARC
(4,6),-1.10154 # DEPENDENCYPART_ARC
(4,7),-1.00486 # DEPENDENCYPART_ARC
(4,8),-0.317585 # DEPENDENCYPART_ARC
(4,9),-1.3593 # DEPENDENCYPART_ARC
(4,10),-1.66001 # DEPENDENCYPART_ARC
(4,11),-0.867158 # DEPENDENCYPART_ARC
(4,12),-1.42886 # DEPENDENCYPART_ARC
(4,13),-1.87732 # DEPENDENCYPART_ARC
(4,14),-1.67061 # DEPENDENCYPART_ARC
(4,15),-0.559654 # DEPENDENCYPART_ARC
(4,16),-1.19375 # DEPENDENCYPART_ARC
(4,17),-1.11266 # DEPENDENCYPART_ARC
(4,18),-1.77088 # DEPENDENCYPART_ARC
(4,19),-2.06175 # DEPENDENCYPART_ARC
(4,20),-0.990739 # DEPENDENCYPART_ARC
(4,21),-1.82014 # DEPENDENCYPART_ARC
(4,22),-2.28078 # DEPENDENCYPART_ARC
(4,23),-2.35934 # DEPENDENCYPART_ARC
(4,24),-1.87902 # DEPENDENCYPART_ARC
(4,25),-1.80414 # DEPENDENCYPART_ARC
(4,26),0.0231651 # DEPENDENCYPART_ARC
(5,1),1.58425 # DEPENDENCYPART_ARC
(5,2),1.26298 # DEPENDENCYPART_ARC
(5,3),-1.38942 # DEPENDENCYPART_ARC
(5,4),2.8916 # DEPENDENCYPART_ARC
(5,6),-0.447367 # DEPENDENCYPART_ARC
(5,7),0.198049 # DEPENDENCYPART_ARC
(5,8),0.393288 # DEPENDENCYPART_ARC
(5,9),-0.688321 # DEPENDENCYPART_ARC
(5,10),-0.495731 # DEPENDENCYPART_ARC
(5,11),-0.369723 # DEPENDENCYPART_ARC
(5,12),-0.861023 # DEPENDENCYPART_ARC
(5,13),-0.919013 # DEPENDENCYPART_ARC
(5,14),-0.361152 # DEPENDENCYPART_ARC
(5,15),-0.078646 # DEPENDENCYPART_ARC
(5,17),-0.473802 # DEPENDENCYPART_ARC
(5,18),-1.15124 # DEPENDENCYPART_ARC
(5,19),-1.0053 # DEPENDENCYPART_ARC
(5,20),-0.564633 # DEPENDENCYPART_ARC
(5,21),-1.20052 # DEPENDENCYPART_ARC
(5,22),-1.09023 # DEPENDENCYPART_ARC
(5,23),-1.98732 # DEPENDENCYPART_ARC
(5,24),-1.72104 # DEPENDENCYPART_ARC
(5,25),-1.08634 # DEPENDENCYPART_ARC
(5,26),0.0484183 # DEPENDENCYPART_ARC
(6,2),-1.40457 # DEPENDENCYPART_ARC
(6,3),-2.16369 # DEPENDENCYPART_ARC
(6,4),-1.05714 # DEPENDENCYPART_ARC
(6,5),-1.39605 # DEPENDENCYPART_ARC
(6,7),-0.287133 # DEPENDENCYPART_ARC
(6,8),-0.282844 # DEPENDENCYPART_ARC
(6,10),-1.0904 # DEPENDENCYPART_ARC
(6,11),-1.07714 # DEPENDENCYPART_ARC
(6,13),-1.51699 # DEPENDENCYPART_ARC
(6,14),-1.92149 # DEPENDENCYPART_ARC
(6,15),-0.674265 # DEPENDENCYPART_ARC
(6,18),-1.49692 # DEPENDENCYPART_ARC
(6,19),-2.06316 # DEPENDENCYPART_ARC
(6,20),-1.8046 # DEPENDENCYPART_ARC
(6,21),-1.74807 # DEPENDENCYPART_ARC
(6,22),-2.15281 # DEPENDENCYPART_ARC
(6,23),-2.55318 # DEPENDENCYPART_ARC
(6,24),-2.13161 # DEPENDENCYPART_ARC
(7,1),-0.779351 # DEPENDENCYPART_ARC
(7,2),-1.61359 # DEPENDENCYPART_ARC
(7,3),-3.84465 # DEPENDENCYPART_ARC
(7,4),-1.19104 # DEPENDENCYPART_ARC
(7,5),-0.735848 # DEPENDENCYPART_ARC
(7,6),2.68161 # DEPENDENCYPART_ARC
(7,8),0.180255 # DEPENDENCYPART_ARC
(7,9),-1.02434 # DEPENDENCYPART_ARC
(7,10),-0.679804 # DEPENDENCYPART_ARC
(7,11),-0.889388 # DEPENDENCYPART_ARC
(7,12),-1.1862 # DEPENDENCYPART_ARC
(7,13),-1.26276 # DEPENDENCYPART_ARC
(7,14),-0.558416 # DEPENDENCYPART_ARC
(7,15),-0.39762 # DEPENDENCYPART_ARC
(7,17),-0.795696 # DEPENDENCYPART_ARC
(7,18),-1.35514 # DEPENDENCYPART_ARC
(7,19),-1.14469 # DEPENDENCYPART_ARC
(7,20),-1.08754 # DEPENDENCYPART_ARC
(7,21),-1.5132 # DEPENDENCYPART_ARC
(7,22),-1.35853 # DEPENDENCYPART_ARC
(7,23),-2.05715 # DEPENDENCYPART_ARC
(7,24),-2.03873 # DEPENDENCYPART_ARC
(7,25),-1.39348 # DEPENDENCYPART_ARC
(7,26),-0.416855 # DEPENDENCYPART_ARC
(9,2),-1.61213 # DEPENDENCYPART_ARC
(9,3),-2.56714 # DEPENDENCYPART_ARC
(9,4),-1.51826 # DEPENDENCYPART_ARC
(9,5),-2.39857 # DEPENDENCYPART_ARC
(9,7),-1.91903 # DEPENDENCYPART_ARC
(9,8),-0.549276 # DEPENDENCYPART_ARC
(9,10),-0.303532 # DEPENDENCYPART_ARC
(9,11),-0.67378 # DEPENDENCYPART_ARC
(9,13),-1.0342 # DEPENDENCYPART_ARC
(9,14),-1.47031 # DEPENDENCYPART_ARC
(9,15),-0.467271 # DEPENDENCYPART_ARC
(9,18),-1.12545 # DEPENDENCYPART_ARC
(9,19),-1.65477 # DEPENDENCYPART_ARC
(9,20),-1.45306 # DEPENDENCYPART_ARC
(9,21),-1.47651 # DEPENDENCYPART_ARC
(9,22),-2.01259 # DEPENDENCYPART_ARC
(9,23),-2.42527 # DEPENDENCYPART_ARC
(9,24),-1.83588 # DEPENDENCYPART_ARC
(10,1),-1.85314 # DEPENDENCYPART_ARC
(10,2),-2.67922 # DEPENDENCYPART_ARC
(10,3),-4.84928 # DEPENDENCYPART_ARC
(10,4),-2.61359 # DEPENDENCYPART_ARC
(10,5),-2.39883 # DEPENDENCYPART_ARC
(10,6),-0.120523 # DEPENDENCYPART_ARC
(10,7),-1.64468 # DEPENDENCYPART_ARC
(10,8),-1.06865 # DEPENDENCYPART_ARC
(10,9),2.58475 # DEPENDENCYPART_ARC
(10,11),-1.36965 # DEPENDENCYPART_ARC
(10,12),-1.71684 # DEPENDENCYPART_ARC
(10,13),-1.61461 # DEPENDENCYPART_ARC
(10,14),-1.29724 # DEPENDENCYPART_ARC
(10,15),-1.05428 # DEPENDENCYPART_ARC
(10,17),-1.41613 # DEPENDENCYPART_ARC
(10,18),-1.87286 # DEPENDENCYPART_ARC
(10,19),-1.76801 # DEPENDENCYPART_ARC
(10,20),-1.52617 # DEPENDENCYPART_ARC
(10,21),-2.07774 # DEPENDENCYPART_ARC
(10,22),-2.23639 # DEPENDENCYPART_ARC
(10,23),-3.04152 # DEPENDENCYPART_ARC
(10,24),-2.52322 # DEPENDENCYPART_ARC
(10,25),-2.11332 # DEPENDENCYPART_ARC
(10,26),-1.40891 # DEPENDENCYPART_ARC
(11,1),-1.22718 # DEPENDENCYPART_ARC
(11,2),-0.897179 # DEPENDENCYPART_ARC
(11,3),-0.575466 # DEPENDENCYPART_ARC
(11,4),-0.889277 # DEPENDENCYPART_ARC
(11,5),-0.390263 # DEPENDENCYPART_ARC
(11,6),-1.03509 # DEPENDENCYPART_ARC
(11,7),0.106169 # DEPENDENCYPART_ARC
(11,8),0.697105 # DEPENDENCYPART_ARC
(11,9),-0.285707 # DEPENDENCYPART_ARC
(11,10),0.663496 # DEPENDENCYPART_ARC
(11,12),-0.289999 # DEPENDENCYPART_ARC
(11,13),0.965977 # DEPENDENCYPART_ARC
(11,14),0.34161 # DEPENDENCYPART_ARC
(11,15),-0.150047 # DEPENDENCYPART_ARC
(11,16),-0.494516 # DEPENDENCYPART_ARC
(11,17),-0.563428 # DEPENDENCYPART_ARC
(11,18),-0.675778 # DEPENDENCYPART_ARC
(11,19),-0.826272 # DEPENDENCYPART_ARC
(11,20),-0.631239 # DEPENDENCYPART_ARC
(11,21),-0.934246 # DEPENDENCYPART_ARC
(11,22),-0.883695 # DEPENDENCYPART_ARC
(11,23),-1.75353 # DEPENDENCYPART_ARC
(11,24),-1.06311 # DEPENDENCYPART_ARC
(11,25),-0.66968 # DEPENDENCYPART_ARC
(11,26),-0.347941 # DEPENDENCYPART_ARC
(12,2),-1.68672 # DEPENDENCYPART_ARC
(12,3),-2.78567 # DEPENDENCYPART_ARC
(12,4),-1.63889 # DEPENDENCYPART_ARC
(12,5),-2.77661 # DEPENDENCYPART_ARC
(12,7),-2.55285 # DEPENDENCYPART_ARC
(12,8),-1.02667 # DEPENDENCYPART_ARC
(12,10),-1.95144 # DEPENDENCYPART_ARC
(12,11),-0.371103 # DEPENDENCYPART_ARC
(12,13),-0.462775 # DEPENDENCYPART_ARC
(12,14),-1.02479 # DEPENDENCYPART_ARC
(12,15),-0.495286 # DEPENDENCYPART_ARC
(12,18),-0.958138 # DEPENDENCYPART_ARC
(12,19),-1.70279 # DEPENDENCYPART_ARC
(12,20),-1.34727 # DEPENDENCYPART_ARC
(12,21),-1.29418 # DEPENDENCYPART_ARC
(12,22),-1.85626 # DEPENDENCYPART_ARC
(12,23),-2.43678 # DEPENDENCYPART_ARC
(12,24),-1.83283 # DEPENDENCYPART_ARC
(13,1),-2.70864 # DEPENDENCYPART_ARC
(13,2),-3.24853 # DEPENDENCYPART_ARC
(13,3),-5.33212 # DEPENDENCYPART_ARC
(13,4),-3.44755 # DEPENDENCYPART_ARC
(13,5),-3.21863 # DEPENDENCYPART_ARC
(13,6),-1.43599 # DEPENDENCYPART_ARC
(13,7),-2.55728 # DEPENDENCYPART_ARC
(13,8),-1.39763 # DEPENDENCYPART_ARC
(13,9),-0.297162 # DEPENDENCYPART_ARC
(13,10),-1.08873 # DEPENDENCYPART_ARC
(13,11),-0.130644 # DEPENDENCYPART_ARC
(13,12),2.6927 # DEPENDENCYPART_ARC
(13,14),-0.567622 # DEPENDENCYPART_ARC
(13,15),-0.686138 # DEPENDENCYPART_ARC
(13,17),-1.16174 # DEPENDENCYPART_ARC
(13,18),-1.3684 # DEPENDENCYPART_ARC
(13,19),-1.22233 # DEPENDENCYPART_ARC
(13,20),-1.25224 # DEPENDENCYPART_ARC
(13,21),-1.6929 # DEPENDENCYPART_ARC
(13,22),-1.52389 # DEPENDENCYPART_ARC
(13,23),-2.348 # DEPENDENCYPART_ARC
(13,24),-2.08005 # DEPENDENCYPART_ARC
(13,25),-1.69632 # DEPENDENCYPART_ARC
(13,26),-1.20491 # DEPENDENCYPART_ARC
(14,1),-2.8013 # DEPENDENCYPART_ARC
(14,2),-2.21678 # DEPENDENCYPART_ARC
(14,3),-4.31656 # DEPENDENCYPART_ARC
(14,4),-2.08864 # DEPENDENCYPART_ARC
(14,5),-1.43431 # DEPENDENCYPART_ARC
(14,6),-1.81085 # DEPENDENCYPART_ARC
(14,7),-0.528154 # DEPENDENCYPART_ARC
(14,8),-0.404999 # DEPENDENCYPART_ARC
(14,9),-1.0861 # DEPENDENCYPART_ARC
(14,10),1.33141 # DEPENDENCYPART_ARC
(14,11),0.99557 # DEPENDENCYPART_ARC
(14,12),1.25561 # DEPENDENCYPART_ARC
(14,13),3.91026 # DEPENDENCYPART_ARC
(14,15),0.411788 # DEPENDENCYPART_ARC
(14,16),-0.618321 # DEPENDENCYPART_ARC
(14,17),-0.465434 # DEPENDENCYPART_ARC
(14,18),-0.682518 # DEPENDENCYPART_ARC
(14,19),-0.232015 # DEPENDENCYPART_ARC
(14,20),-0.302057 # DEPENDENCYPART_ARC
(14,21),-1.03539 # DEPENDENCYPART_ARC
(14,22),-0.718775 # DEPENDENCYPART_ARC
(14,23),-1.32875 # DEPENDENCYPART_ARC
(14,24),-0.991051 # DEPENDENCYPART_ARC
(14,25),-1.36737 # DEPENDENCYPART_ARC
(14,26),-0.0298677 # DEPENDENCYPART_ARC
(16,2),-0.862448 # DEPENDENCYPART_ARC
(16,3),-1.00246 # DEPENDENCYPART_ARC
(16,4),-0.869717 # DEPENDENCYPART_ARC
(16,5),-1.12415 # DEPENDENCYPART_ARC
(16,7),-1.03376 # DEPENDENCYPART_ARC
(16,8),-0.538316 # DEPENDENCYPART_ARC
(16,10),-0.531759 # DEPENDENCYPART_ARC
(16,11),-0.306927 # DEPENDENCYPART_ARC
(16,13),-0.137943 # DEPENDENCYPART_ARC
(16,14),-0.517849 # DEPENDENCYPART_ARC
(16,15),0.169874 # DEPENDENCYPART_ARC
(16,17),0.00648068 # DEPENDENCYPART_ARC
(16,18),0.212658 # DEPENDENCYPART_ARC
(16,19),-0.118352 # DEPENDENCYPART_ARC
(16,20),0.14666 # DEPENDENCYPART_ARC
(16,21),-0.320372 # DEPENDENCYPART_ARC
(16,22),-0.53155 # DEPENDENCYPART_ARC
(16,23),-0.682301 # DEPENDENCYPART_ARC
(16,24),-0.456073 # DEPENDENCYPART_ARC
(16,25),-0.327698 # DEPENDENCYPART_ARC
(16,26),-0.139291 # DEPENDENCYPART_ARC
(17,1),-0.991422 # DEPENDENCYPART_ARC
(17,2),-2.08616 # DEPENDENCYPART_ARC
(17,3),-2.71763 # DEPENDENCYPART_ARC
(17,4),-1.98258 # DEPENDENCYPART_ARC
(17,5),-1.81822 # DEPENDENCYPART_ARC
(17,6),-1.02612 # DEPENDENCYPART_ARC
(17,7),-1.52653 # DEPENDENCYPART_ARC
(17,8),-1.72724 # DEPENDENCYPART_ARC
(17,9),-0.925154 # DEPENDENCYPART_ARC
(17,10),-1.29585 # DEPENDENCYPART_ARC
(17,11),-1.08318 # DEPENDENCYPART_ARC
(17,12),-0.712342 # DEPENDENCYPART_ARC
(17,13),-0.852791 # DEPENDENCYPART_ARC
(17,14),-1.1872 # DEPENDENCYPART_ARC
(17,15),-0.695447 # DEPENDENCYPART_ARC
(17,16),0.321596 # DEPENDENCYPART_ARC
(17,18),-0.176291 # DEPENDENCYPART_ARC
(17,19),-0.0278997 # DEPENDENCYPART_ARC
(17,20),-0.59817 # DEPENDENCYPART_ARC
(17,21),-0.802265 # DEPENDENCYPART_ARC
(17,22),-0.695818 # DEPENDENCYPART_ARC
(17,23),-1.11313 # DEPENDENCYPART_ARC
(17,24),-0.744864 # DEPENDENCYPART_ARC
(17,25),-0.458695 # DEPENDENCYPART_ARC
(17,26),-0.231312 # DEPENDENCYPART_ARC
(18,1),-1.93428 # DEPENDENCYPART_ARC
(18,2),-2.26681 # DEPENDENCYPART_ARC
(18,3),-1.38514 # DEPENDENCYPART_ARC
(18,4),-2.47186 # DEPENDENCYPART_ARC
(18,5),-2.62126 # DEPENDENCYPART_ARC
(18,6),-1.42751 # DEPENDENCYPART_ARC
(18,7),-2.12275 # DEPENDENCYPART_ARC
(18,8),-0.748086 # DEPENDENCYPART_ARC
(18,9),-1.07408 # DEPENDENCYPART_ARC
(18,10),-1.24836 # DEPENDENCYPART_ARC
(18,11),-0.21726 # DEPENDENCYPART_ARC
(18,12),-0.594883 # DEPENDENCYPART_ARC
(18,13),-0.824612 # DEPENDENCYPART_ARC
(18,14),-1.66637 # DEPENDENCYPART_ARC
(18,15),-0.0389919 # DEPENDENCYPART_ARC
(18,16),0.897444 # DEPENDENCYPART_ARC
(18,17),1.79994 # DEPENDENCYPART_ARC
(18,19),-0.592731 # DEPENDENCYPART_ARC
(18,20),-1.17312 # DEPENDENCYPART_ARC
(18,21),-1.3696 # DEPENDENCYPART_ARC
(18,22),-1.38243 # DEPENDENCYPART_ARC
(18,23),-1.62499 # DEPENDENCYPART_ARC
(18,24),-1.44934 # DEPENDENCYPART_ARC
(18,25),-1.2855 # DEPENDENCYPART_ARC
(18,26),-0.895301 # DEPENDENCYPART_ARC
(19,1),-1.95179 # DEPENDENCYPART_ARC
(19,2),-1.05955 # DEPENDENCYPART_ARC
(19,3),-4.7254 # DEPENDENCYPART_ARC
(19,4),-0.987274 # DEPENDENCYPART_ARC
(19,5),-1.95097 # DEPENDENCYPART_ARC
(19,6),-0.761557 # DEPENDENCYPART_ARC
(19,7),-1.54399 # DEPENDENCYPART_ARC
(19,8),-0.838145 # DEPENDENCYPART_ARC
(19,9),-0.0641315 # DEPENDENCYPART_ARC
(19,10),-0.209736 # DEPENDENCYPART_ARC
(19,11),-0.442205 # DEPENDENCYPART_ARC
(19,12),1.1891 # DEPENDENCYPART_ARC
(19,13),0.727043 # DEPENDENCYPART_ARC
(19,14),-2.11546 # DEPENDENCYPART_ARC
(19,15),0.0346422 # DEPENDENCYPART_ARC
(19,16),0.345434 # DEPENDENCYPART_ARC
(19,17),1.92707 # DEPENDENCYPART_ARC
(19,18),3.35102 # DEPENDENCYPART_ARC
(19,20),-1.15056 # DEPENDENCYPART_ARC
(19,21),-1.43973 # DEPENDENCYPART_ARC
(19,22),-1.32488 # DEPENDENCYPART_ARC
(19,23),-2.11882 # DEPENDENCYPART_ARC
(19,24),-1.74421 # DEPENDENCYPART_ARC
(19,25),-1.61553 # DEPENDENCYPART_ARC
(19,26),-1.16815 # DEPENDENCYPART_ARC
(20,1),-1.87002 # DEPENDENCYPART_ARC
(20,2),-0.935434 # DEPENDENCYPART_ARC
(20,3),-0.766411 # DEPENDENCYPART_ARC
(20,4),-0.935453 # DEPENDENCYPART_ARC
(20,5),-0.579742 # DEPENDENCYPART_ARC
(20,6),-1.71305 # DEPENDENCYPART_ARC
(20,7),-0.65119 # DEPENDENCYPART_ARC
(20,8),-0.378618 # DEPENDENCYPART_ARC
(20,9),-1.48894 # DEPENDENCYPART_ARC
(20,10),-0.652921 # DEPENDENCYPART_ARC
(20,11),-0.212272 # DEPENDENCYPART_ARC
(20,12),-1.35782 # DEPENDENCYPART_ARC
(20,13),-0.533082 # DEPENDENCYPART_ARC
(20,14),-0.868412 # DEPENDENCYPART_ARC
(20,15),0.354904 # DEPENDENCYPART_ARC
(20,16),-0.340321 # DEPENDENCYPART_ARC
(20,17),-0.217928 # DEPENDENCYPART_ARC
(20,18),-0.545805 # DEPENDENCYPART_ARC
(20,19),0.3329 # DEPENDENCYPART_ARC
(20,21),-0.155939 # DEPENDENCYPART_ARC
(20,22),0.454546 # DEPENDENCYPART_ARC
(20,23),-0.521884 # DEPENDENCYPART_ARC
(20,24),-0.283955 # DEPENDENCYPART_ARC
(20,25),-0.0640308 # DEPENDENCYPART_ARC
(20,26),0.178413 # DEPENDENCYPART_ARC
(21,1),-2.08502 # DEPENDENCYPART_ARC
(21,2),-2.17257 # DEPENDENCYPART_ARC
(21,3),-1.06242 # DEPENDENCYPART_ARC
(21,4),-2.39578 # DEPENDENCYPART_ARC
(21,5),-2.34333 # DEPENDENCYPART_ARC
(21,6),-1.5762 # DEPENDENCYPART_ARC
(21,7),-1.79818 # DEPENDENCYPART_ARC
(21,8),-0.720925 # DEPENDENCYPART_ARC
(21,9),-1.2565 # DEPENDENCYPART_ARC
(21,10),-1.17433 # DEPENDENCYPART_ARC
(21,11),-0.220309 # DEPENDENCYPART_ARC
(21,12),-0.801296 # DEPENDENCYPART_ARC
(21,13),-0.646826 # DEPENDENCYPART_ARC
(21,14),-1.65327 # DEPENDENCYPART_ARC
(21,15),-0.0808585 # DEPENDENCYPART_ARC
(21,16),0.174093 # DEPENDENCYPART_ARC
(21,17),0.120923 # DEPENDENCYPART_ARC
(21,18),-0.282026 # DEPENDENCYPART_ARC
(21,19),-0.16105 # DEPENDENCYPART_ARC
(21,20),1.0716 # DEPENDENCYPART_ARC
(21,22),-0.641167 # DEPENDENCYPART_ARC
(21,23),-1.01778 # DEPENDENCYPART_ARC
(21,24),-1.37106 # DEPENDENCYPART_ARC
(21,25),-1.0409 # DEPENDENCYPART_ARC
(21,26),-0.892994 # DEPENDENCYPART_ARC
(22,1),-1.8835 # DEPENDENCYPART_ARC
(22,2),-0.662353 # DEPENDENCYPART_ARC
(22,3),-4.46722 # DEPENDENCYPART_ARC
(22,4),-0.784724 # DEPENDENCYPART_ARC
(22,5),-1.85461 # DEPENDENCYPART_ARC
(22,6),-0.923268 # DEPENDENCYPART_ARC
(22,7),-1.37863 # DEPENDENCYPART_ARC
(22,8),-0.405922 # DEPENDENCYPART_ARC
(22,9),-0.0665007 # DEPENDENCYPART_ARC
(22,10),-0.111275 # DEPENDENCYPART_ARC
(22,11),-0.350697 # DEPENDENCYPART_ARC
(22,12),1.08663 # DEPENDENCYPART_ARC
(22,13),0.932939 # DEPENDENCYPART_ARC
(22,14),-2.19779 # DEPENDENCYPART_ARC
(22,15),0.287455 # DEPENDENCYPART_ARC
(22,16),0.123872 # DEPENDENCYPART_ARC
(22,17),0.850004 # DEPENDENCYPART_ARC
(22,18),2.0143 # DEPENDENCYPART_ARC
(22,19),0.380127 # DEPENDENCYPART_ARC
(22,20),1.19981 # DEPENDENCYPART_ARC
(22,21),3.35251 # DEPENDENCYPART_ARC
(22,23),-0.956841 # DEPENDENCYPART_ARC
(22,24),-1.02608 # DEPENDENCYPART_ARC
(22,25),-0.578858 # DEPENDENCYPART_ARC
(22,26),-0.594552 # DEPENDENCYPART_ARC
(23,1),-3.11636 # DEPENDENCYPART_ARC
(23,2),-1.90916 # DEPENDENCYPART_ARC
(23,3),-3.87021 # DEPENDENCYPART_ARC
(23,4),-1.76477 # DEPENDENCYPART_ARC
(23,5),-2.00486 # DEPENDENCYPART_ARC
(23,6),-1.99282 # DEPENDENCYPART_ARC
(23,7),-1.31373 # DEPENDENCYPART_ARC
(23,8),-0.10307 # DEPENDENCYPART_ARC
(23,9),-1.28496 # DEPENDENCYPART_ARC
(23,10),0.133199 # DEPENDENCYPART_ARC
(23,11),0.419053 # DEPENDENCYPART_ARC
(23,12),-0.194599 # DEPENDENCYPART_ARC
(23,13),0.87316 # DEPENDENCYPART_ARC
(23,14),-1.19209 # DEPENDENCYPART_ARC
(23,15),0.508001 # DEPENDENCYPART_ARC
(23,16),-0.18531 # DEPENDENCYPART_ARC
(23,17),0.0540499 # DEPENDENCYPART_ARC
(23,18),0.629822 # DEPENDENCYPART_ARC
(23,19),1.41047 # DEPENDENCYPART_ARC
(23,20),1.38571 # DEPENDENCYPART_ARC
