# _root_ Azt azonban elárulja , hogy az áremelés lehetetlen helyzetbe hozná a csapat költségvetését , hiszen a teljes kézilabdapénz egynegyedét a két kubai játékosra kellene fordítani .
#goldHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,1,1,18,18,19,25,23,23,23,25,1,24,3,
#predictedHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,15,10,18,18,19,25,23,23,23,25,1,24,15,
(5,22),-0.812167 # DEPENDENCYPART_ARC
(5,23),-2.32774 # DEPENDENCYPART_ARC
(5,24),0.0448158 # DEPENDENCYPART_ARC
(5,25),0.0153137 # DEPENDENCYPART_ARC
(5,26),2.19839 # DEPENDENCYPART_ARC
(6,1),-2.69203 # DEPENDENCYPART_ARC
(6,2),-1.79201 # DEPENDENCYPART_ARC
(6,3),-1.65852 # DEPENDENCYPART_ARC
(6,4),-1.24929 # DEPENDENCYPART_ARC
(6,5),-0.674189 # DEPENDENCYPART_ARC
(6,7),-0.149965 # DEPENDENCYPART_ARC
(6,8),-0.0878011 # DEPENDENCYPART_ARC
(6,9),-0.933127 # DEPENDENCYPART_ARC
(6,10),-0.855067 # DEPENDENCYPART_ARC
(6,11),-0.823656 # DEPENDENCYPART_ARC
(6,12),-1.32238 # DEPENDENCYPART_ARC
(6,13),-1.72747 # DEPENDENCYPART_ARC
(6,14),-0.366237 # DEPENDENCYPART_ARC
(6,15),-1.09535 # DEPENDENCYPART_ARC
(6,16),-0.95002 # DEPENDENCYPART_ARC
(6,17),-1.33056 # DEPENDENCYPART_ARC
(6,18),-1.72033 # DEPENDENCYPART_ARC
(6,19),-1.26444 # DEPENDENCYPART_ARC
(6,20),-1.1145 # DEPENDENCYPART_ARC
(6,21),-1.22387 # DEPENDENCYPART_ARC
(6,22),-1.48374 # DEPENDENCYPART_ARC
(6,23),-1.80486 # DEPENDENCYPART_ARC
(6,24),-1.03973 # DEPENDENCYPART_ARC
(6,25),-0.797555 # DEPENDENCYPART_ARC
(6,26),-1.75069 # DEPENDENCYPART_ARC
(7,1),-3.23622 # DEPENDENCYPART_ARC
(7,2),-1.38012 # DEPENDENCYPART_ARC
(7,3),-1.32522 # DEPENDENCYPART_ARC
(7,4),-0.397547 # DEPENDENCYPART_ARC
(7,5),-0.563088 # DEPENDENCYPART_ARC
(7,6),3.49763 # DEPENDENCYPART_ARC
(7,8),-0.541588 # DEPENDENCYPART_ARC
(7,9),-0.296319 # DEPENDENCYPART_ARC
(7,10),-0.343449 # DEPENDENCYPART_ARC
(7,11),-1.04822 # DEPENDENCYPART_ARC
(7,12),-0.763551 # DEPENDENCYPART_ARC
(7,13),-1.47837 # DEPENDENCYPART_ARC
(7,14),-0.152349 # DEPENDENCYPART_ARC
(7,15),-0.63929 # DEPENDENCYPART_ARC
(7,16),-1.28262 # DEPENDENCYPART_ARC
(7,17),-1.39584 # DEPENDENCYPART_ARC
(7,18),-1.18307 # DEPENDENCYPART_ARC
(7,19),-1.32211 # DEPENDENCYPART_ARC
(7,20),-1.4613 # DEPENDENCYPART_ARC
(7,21),-1.06315 # DEPENDENCYPART_ARC
(7,22),-1.54676 # DEPENDENCYPART_ARC
(7,23),-1.72654 # DEPENDENCYPART_ARC
(7,24),-1.29527 # DEPENDENCYPART_ARC
(7,25),-0.972982 # DEPENDENCYPART_ARC
(7,26),0.483771 # DEPENDENCYPART_ARC
(8,1),-0.691809 # DEPENDENCYPART_ARC
(8,2),0.171923 # DEPENDENCYPART_ARC
(8,3),-0.554742 # DEPENDENCYPART_ARC
(8,4),0.148186 # DEPENDENCYPART_ARC
(8,5),0.0918215 # DEPENDENCYPART_ARC
(8,6),0.692849 # DEPENDENCYPART_ARC
(8,7),2.00686 # DEPENDENCYPART_ARC
(8,9),-0.451481 # DEPENDENCYPART_ARC
(8,10),0.182642 # DEPENDENCYPART_ARC
(8,11),-1.1224 # DEPENDENCYPART_ARC
(8,12),-1.11891 # DEPENDENCYPART_ARC
(8,13),-1.65905 # DEPENDENCYPART_ARC
(8,14),-0.457529 # DEPENDENCYPART_ARC
(8,15),-0.924577 # DEPENDENCYPART_ARC
(8,16),-1.37875 # DEPENDENCYPART_ARC
(8,17),-1.52262 # DEPENDENCYPART_ARC
(8,18),-1.59888 # DEPENDENCYPART_ARC
(8,19),-0.452223 # DEPENDENCYPART_ARC
(8,20),-1.49775 # DEPENDENCYPART_ARC
(8,21),-1.01525 # DEPENDENCYPART_ARC
(8,22),-1.65833 # DEPENDENCYPART_ARC
(8,23),-1.58304 # DEPENDENCYPART_ARC
(8,24),-0.781234 # DEPENDENCYPART_ARC
(8,25),-1.20288 # DEPENDENCYPART_ARC
(8,26),0.60044 # DEPENDENCYPART_ARC
(9,1),-1.73743 # DEPENDENCYPART_ARC
(9,2),-0.0808802 # DEPENDENCYPART_ARC
(9,3),-0.859021 # DEPENDENCYPART_ARC
(9,4),0.232954 # DEPENDENCYPART_ARC
(9,5),0.0286834 # DEPENDENCYPART_ARC
(9,6),2.04734 # DEPENDENCYPART_ARC
(9,7),1.35491 # DEPENDENCYPART_ARC
(9,8),3.70433 # DEPENDENCYPART_ARC
(9,10),-0.524935 # DEPENDENCYPART_ARC
(9,11),-1.08935 # DEPENDENCYPART_ARC
(9,12),-1.35473 # DEPENDENCYPART_ARC
(9,13),-1.44924 # DEPENDENCYPART_ARC
(9,14),-0.517889 # DEPENDENCYPART_ARC
(9,15),-0.474954 # DEPENDENCYPART_ARC
(9,16),-1.31777 # DEPENDENCYPART_ARC
(9,17),-1.6318 # DEPENDENCYPART_ARC
(9,18),-1.71282 # DEPENDENCYPART_ARC
(9,19),-1.09729 # DEPENDENCYPART_ARC
(9,20),-1.45772 # DEPENDENCYPART_ARC
(9,21),-1.32469 # DEPENDENCYPART_ARC
(9,22),-1.79998 # DEPENDENCYPART_ARC
(9,23),-2.18888 # DEPENDENCYPART_ARC
(9,24),-1.55344 # DEPENDENCYPART_ARC
(9,25),-1.23527 # DEPENDENCYPART_ARC
(9,26),0.185615 # DEPENDENCYPART_ARC
(10,1),0.544463 # DEPENDENCYPART_ARC
(10,2),1.82846 # DEPENDENCYPART_ARC
(10,3),0.58588 # DEPENDENCYPART_ARC
(10,4),1.01689 # DEPENDENCYPART_ARC
(10,5),0.458673 # DEPENDENCYPART_ARC
(10,6),0.317043 # DEPENDENCYPART_ARC
(10,7),2.2406 # DEPENDENCYPART_ARC
(10,8),1.33832 # DEPENDENCYPART_ARC
(10,9),3.12431 # DEPENDENCYPART_ARC
(10,11),0.0121099 # DEPENDENCYPART_ARC
(10,12),1.39557 # DEPENDENCYPART_ARC
(10,13),3.45508 # DEPENDENCYPART_ARC
(10,14),1.80993 # DEPENDENCYPART_ARC
(10,15),1.25533 # DEPENDENCYPART_ARC
(10,16),-0.719945 # DEPENDENCYPART_ARC
(10,17),-0.620596 # DEPENDENCYPART_ARC
(10,18),-0.628571 # DEPENDENCYPART_ARC
(10,19),1.33238 # DEPENDENCYPART_ARC
(10,20),-0.745749 # DEPENDENCYPART_ARC
(10,21),-0.500464 # DEPENDENCYPART_ARC
(10,22),-1.06272 # DEPENDENCYPART_ARC
(10,23),-1.13201 # DEPENDENCYPART_ARC
(10,24),1.10478 # DEPENDENCYPART_ARC
(10,25),1.60201 # DEPENDENCYPART_ARC
(10,26),2.89982 # DEPENDENCYPART_ARC
(11,1),-2.86793 # DEPENDENCYPART_ARC
(11,2),-1.89726 # DEPENDENCYPART_ARC
(11,3),-2.59832 # DEPENDENCYPART_ARC
(11,4),-1.57026 # DEPENDENCYPART_ARC
(11,5),-1.67386 # DEPENDENCYPART_ARC
(11,6),-1.87951 # DEPENDENCYPART_ARC
(11,7),-2.85013 # DEPENDENCYPART_ARC
(11,8),-1.79372 # DEPENDENCYPART_ARC
(11,9),-2.38143 # DEPENDENCYPART_ARC
(11,10),-0.920022 # DEPENDENCYPART_ARC
(11,12),-0.232024 # DEPENDENCYPART_ARC
(11,13),-0.833854 # DEPENDENCYPART_ARC
(11,14),-0.199826 # DEPENDENCYPART_ARC
(11,15),-0.821521 # DEPENDENCYPART_ARC
(11,16),-0.893404 # DEPENDENCYPART_ARC
(11,17),-0.92016 # DEPENDENCYPART_ARC
(11,18),-1.41679 # DEPENDENCYPART_ARC
(11,19),-0.789037 # DEPENDENCYPART_ARC
(11,20),-1.03248 # DEPENDENCYPART_ARC
(11,21),-0.773174 # DEPENDENCYPART_ARC
(11,22),-1.22026 # DEPENDENCYPART_ARC
(11,23),-1.8911 # DEPENDENCYPART_ARC
(11,24),-1.6265 # DEPENDENCYPART_ARC
(11,25),-1.38133 # DEPENDENCYPART_ARC
(11,26),-1.85221 # DEPENDENCYPART_ARC
(12,1),-3.84858 # DEPENDENCYPART_ARC
(12,2),-2.04398 # DEPENDENCYPART_ARC
(12,3),-2.47501 # DEPENDENCYPART_ARC
(12,4),-1.96279 # DEPENDENCYPART_ARC
(12,5),-1.89266 # DEPENDENCYPART_ARC
(12,6),-0.383795 # DEPENDENCYPART_ARC
(12,7),-2.55292 # DEPENDENCYPART_ARC
(12,8),-1.17829 # DEPENDENCYPART_ARC
(12,9),-3.23394 # DEPENDENCYPART_ARC
(12,10),-0.481843 # DEPENDENCYPART_ARC
(12,11),3.12574 # DEPENDENCYPART_ARC
(12,13),-1.22081 # DEPENDENCYPART_ARC
(12,14),-0.515868 # DEPENDENCYPART_ARC
(12,15),-0.903566 # DEPENDENCYPART_ARC
(12,16),-1.4865 # DEPENDENCYPART_ARC
(12,17),-1.46522 # DEPENDENCYPART_ARC
(12,18),-1.2155 # DEPENDENCYPART_ARC
(12,19),-1.54283 # DEPENDENCYPART_ARC
(12,20),-1.62574 # DEPENDENCYPART_ARC
(12,21),-1.30576 # DEPENDENCYPART_ARC
(12,22),-1.6433 # DEPENDENCYPART_ARC
(12,23),-2.0336 # DEPENDENCYPART_ARC
(12,24),-1.61081 # DEPENDENCYPART_ARC
(12,25),-1.36421 # DEPENDENCYPART_ARC
(12,26),-0.110138 # DEPENDENCYPART_ARC
(13,1),-2.02648 # DEPENDENCYPART_ARC
(13,2),-1.10534 # DEPENDENCYPART_ARC
(13,3),-2.42481 # DEPENDENCYPART_ARC
(13,4),-1.07281 # DEPENDENCYPART_ARC
(13,5),-0.874115 # DEPENDENCYPART_ARC
(13,6),-1.31274 # DEPENDENCYPART_ARC
(13,7),-0.422839 # DEPENDENCYPART_ARC
(13,8),-0.601078 # DEPENDENCYPART_ARC
(13,9),-1.7824 # DEPENDENCYPART_ARC
(13,10),-1.05351 # DEPENDENCYPART_ARC
(13,11),1.69136 # DEPENDENCYPART_ARC
(13,12),4.49894 # DEPENDENCYPART_ARC
(13,14),-0.064932 # DEPENDENCYPART_ARC
(13,15),-0.537605 # DEPENDENCYPART_ARC
(13,16),-0.991113 # DEPENDENCYPART_ARC
(13,17),-1.04267 # DEPENDENCYPART_ARC
(13,18),-1.00396 # DEPENDENCYPART_ARC
(13,19),-0.428806 # DEPENDENCYPART_ARC
(13,20),-1.18795 # DEPENDENCYPART_ARC
(13,21),-0.902832 # DEPENDENCYPART_ARC
(13,22),-1.26813 # DEPENDENCYPART_ARC
(13,23),-1.2965 # DEPENDENCYPART_ARC
(13,24),-1.85576 # DEPENDENCYPART_ARC
(13,25),-0.965969 # DEPENDENCYPART_ARC
(13,26),0.389057 # DEPENDENCYPART_ARC
(14,1),-2.89064 # DEPENDENCYPART_ARC
(14,2),-2.49825 # DEPENDENCYPART_ARC
(14,3),-2.85658 # DEPENDENCYPART_ARC
(14,4),-2.27977 # DEPENDENCYPART_ARC
(14,5),-2.26371 # DEPENDENCYPART_ARC
(14,6),-2.3842 # DEPENDENCYPART_ARC
(14,7),-3.31581 # DEPENDENCYPART_ARC
(14,8),-2.69857 # DEPENDENCYPART_ARC
(14,9),-3.16185 # DEPENDENCYPART_ARC
(14,10),-2.18355 # DEPENDENCYPART_ARC
(14,11),-1.69906 # DEPENDENCYPART_ARC
(14,12),-2.36979 # DEPENDENCYPART_ARC
(14,13),-1.85624 # DEPENDENCYPART_ARC
(14,15),-1.04594 # DEPENDENCYPART_ARC
(14,16),-1.35283 # DEPENDENCYPART_ARC
(14,17),-1.47855 # DEPENDENCYPART_ARC
(14,18),-2.09556 # DEPENDENCYPART_ARC
(14,19),-1.52302 # DEPENDENCYPART_ARC
(14,20),-1.60771 # DEPENDENCYPART_ARC
(14,21),-1.59938 # DEPENDENCYPART_ARC
(14,22),-1.85289 # DEPENDENCYPART_ARC
(14,23),-2.59275 # DEPENDENCYPART_ARC
(14,24),-1.76421 # DEPENDENCYPART_ARC
(14,25),-1.83961 # DEPENDENCYPART_ARC
(14,26),-1.50364 # DEPENDENCYPART_ARC
(15,1),-0.507128 # DEPENDENCYPART_ARC
(15,2),0.696116 # DEPENDENCYPART_ARC
(15,3),0.961123 # DEPENDENCYPART_ARC
(15,4),0.93413 # DEPENDENCYPART_ARC
(15,5),1.24202 # DEPENDENCYPART_ARC
(15,6),-0.19558 # DEPENDENCYPART_ARC
(15,7),0.110627 # DEPENDENCYPART_ARC
(15,8),-0.104465 # DEPENDENCYPART_ARC
(15,9),-0.254978 # DEPENDENCYPART_ARC
(15,10),1.72231 # DEPENDENCYPART_ARC
(15,11),0.168028 # DEPENDENCYPART_ARC
(15,12),0.707824 # DEPENDENCYPART_ARC
(15,13),0.126117 # DEPENDENCYPART_ARC
(15,14),2.29646 # DEPENDENCYPART_ARC
(15,16),0.0980386 # DEPENDENCYPART_ARC
(15,17),0.59426 # DEPENDENCYPART_ARC
(15,18),0.414038 # DEPENDENCYPART_ARC
(15,19),0.415104 # DEPENDENCYPART_ARC
(15,20),-0.150248 # DEPENDENCYPART_ARC
(15,21),0.371708 # DEPENDENCYPART_ARC
(15,22),-0.035145 # DEPENDENCYPART_ARC
(15,23),-0.36117 # DEPENDENCYPART_ARC
(15,24),2.03431 # DEPENDENCYPART_ARC
(15,25),1.24288 # DEPENDENCYPART_ARC
(15,26),4.13377 # DEPENDENCYPART_ARC
(16,1),-2.58541 # DEPENDENCYPART_ARC
(16,2),-1.63397 # DEPENDENCYPART_ARC
(16,3),-2.26403 # DEPENDENCYPART_ARC
(16,4),-1.10765 # DEPENDENCYPART_ARC
(16,5),-1.50013 # DEPENDENCYPART_ARC
(16,6),-1.55064 # DEPENDENCYPART_ARC
(16,7),-2.75507 # DEPENDENCYPART_ARC
(16,8),-1.63687 # DEPENDENCYPART_ARC
(16,9),-2.62564 # DEPENDENCYPART_ARC
(16,10),-1.72413 # DEPENDENCYPART_ARC
(16,11),-1.13603 # DEPENDENCYPART_ARC
(16,12),-2.12089 # DEPENDENCYPART_ARC
(16,13),-2.2268 # DEPENDENCYPART_ARC
(16,14),-0.629508 # DEPENDENCYPART_ARC
(16,15),-0.0405567 # DEPENDENCYPART_ARC
(16,17),0.439605 # DEPENDENCYPART_ARC
(16,18),-0.360936 # DEPENDENCYPART_ARC
(16,19),-0.22134 # DEPENDENCYPART_ARC
(16,20),-0.62301 # DEPENDENCYPART_ARC
(16,21),-0.3851 # DEPENDENCYPART_ARC
(16,22),-0.432233 # DEPENDENCYPART_ARC
(16,23),-1.41277 # DEPENDENCYPART_ARC
(16,24),-1.13721 # DEPENDENCYPART_ARC
(16,25),-0.916017 # DEPENDENCYPART_ARC
(16,26),-1.33918 # DEPENDENCYPART_ARC
(17,1),-2.87161 # DEPENDENCYPART_ARC
(17,2),-2.12938 # DEPENDENCYPART_ARC
(17,3),-2.62167 # DEPENDENCYPART_ARC
(17,4),-2.33733 # DEPENDENCYPART_ARC
(17,5),-2.24331 # DEPENDENCYPART_ARC
(17,6),-2.29348 # DEPENDENCYPART_ARC
(17,7),-3.16835 # DEPENDENCYPART_ARC
(17,8),-3.32609 # DEPENDENCYPART_ARC
(17,9),-2.94911 # DEPENDENCYPART_ARC
(17,10),-2.04705 # DEPENDENCYPART_ARC
(17,11),-1.74253 # DEPENDENCYPART_ARC
(17,12),-2.61328 # DEPENDENCYPART_ARC
(17,13),-2.40443 # DEPENDENCYPART_ARC
(17,14),-1.21366 # DEPENDENCYPART_ARC
(17,15),-1.34854 # DEPENDENCYPART_ARC
(17,16),0.351719 # DEPENDENCYPART_ARC
(17,18),-0.526315 # DEPENDENCYPART_ARC
(17,19),-0.323507 # DEPENDENCYPART_ARC
(17,20),-1.52678 # DEPENDENCYPART_ARC
(17,21),-1.02304 # DEPENDENCYPART_ARC
(17,22),-1.49417 # DEPENDENCYPART_ARC
(17,23),-1.17227 # DEPENDENCYPART_ARC
(17,24),-0.737286 # DEPENDENCYPART_ARC
(17,25),-1.3446 # DEPENDENCYPART_ARC
(17,26),-0.499486 # DEPENDENCYPART_ARC
(18,1),-3.97752 # DEPENDENCYPART_ARC
(18,2),-2.1188 # DEPENDENCYPART_ARC
(18,3),-2.22905 # DEPENDENCYPART_ARC
(18,4),-1.95977 # DEPENDENCYPART_ARC
(18,5),-1.84968 # DEPENDENCYPART_ARC
(18,6),-1.11736 # DEPENDENCYPART_ARC
(18,7),-2.83702 # DEPENDENCYPART_ARC
(18,8),-1.08739 # DEPENDENCYPART_ARC
(18,9),-3.97394 # DEPENDENCYPART_ARC
(18,10),-1.27992 # DEPENDENCYPART_ARC
(18,11),0.345548 # DEPENDENCYPART_ARC
(18,12),-0.398012 # DEPENDENCYPART_ARC
(18,13),-4.04656 # DEPENDENCYPART_ARC
(18,14),-0.49683 # DEPENDENCYPART_ARC
(18,15),-0.198402 # DEPENDENCYPART_ARC
(18,16),2.99101 # DEPENDENCYPART_ARC
(18,17),3.47396 # DEPENDENCYPART_ARC
(18,19),-0.458707 # DEPENDENCYPART_ARC
(18,20),-0.724396 # DEPENDENCYPART_ARC
(18,21),-0.363167 # DEPENDENCYPART_ARC
(18,22),-0.493752 # DEPENDENCYPART_ARC
(18,23),-0.507802 # DEPENDENCYPART_ARC
(18,24),-0.730248 # DEPENDENCYPART_ARC
(18,25),-0.331324 # DEPENDENCYPART_ARC
(18,26),0.627493 # DEPENDENCYPART_ARC
(19,1),0.688078 # DEPENDENCYPART_ARC
(19,2),-0.629812 # DEPENDENCYPART_ARC
(19,3),-1.34923 # DEPENDENCYPART_ARC
(19,4),-1.36731 # DEPENDENCYPART_ARC
(19,5),0.289454 # DEPENDENCYPART_ARC
(19,6),0.976031 # DEPENDENCYPART_ARC
(19,7),1.06561 # DEPENDENCYPART_ARC
(19,8),0.494524 # DEPENDENCYPART_ARC
(19,9),-0.103272 # DEPENDENCYPART_ARC
(19,10),-0.842886 # DEPENDENCYPART_ARC
(19,11),1.39939 # DEPENDENCYPART_ARC
(19,12),1.78828 # DEPENDENCYPART_ARC
(19,13),-0.740719 # DEPENDENCYPART_ARC
(19,14),0.115353 # DEPENDENCYPART_ARC
(19,15),0.13609 # DEPENDENCYPART_ARC
(19,16),1.88997 # DEPENDENCYPART_ARC
(19,17),1.74737 # DEPENDENCYPART_ARC
(19,18),3.34364 # DEPENDENCYPART_ARC
(19,20),0.0615879 # DEPENDENCYPART_ARC
(19,21),0.107371 # DEPENDENCYPART_ARC
(19,22),-0.106395 # DEPENDENCYPART_ARC
(19,23),0.540155 # DEPENDENCYPART_ARC
(19,24),0.0723191 # DEPENDENCYPART_ARC
(19,25),0.0754384 # DEPENDENCYPART_ARC
(19,26),1.22918 # DEPENDENCYPART_ARC
(20,1),-2.46986 # DEPENDENCYPART_ARC
(20,2),-1.56874 # DEPENDENCYPART_ARC
(20,3),-2.23468 # DEPENDENCYPART_ARC
(20,4),-1.09795 # DEPENDENCYPART_ARC
(20,5),-1.38709 # DEPENDENCYPART_ARC
