# _root_ A junior lányok versenyén Mester_Orsolyáé ( 347 ) az első hely , a fiúk között Dienes_Miklósé ( 505 ) , aki mögött Varga_Zoltán a harmadik lett ( 495 ) .
#goldHeads=3,3,4,5,0,7,5,7,11,11,5,5,14,15,16,5,18,16,18,16,22,26,26,25,26,16,28,26,28,5,
#predictedHeads=3,3,4,5,0,7,11,7,11,11,15,15,14,15,16,18,18,5,18,16,22,26,26,25,26,16,28,26,28,26,
(2,16),-2.24079 # DEPENDENCYPART_ARC
(2,17),-1.22753 # DEPENDENCYPART_ARC
(2,18),-1.53929 # DEPENDENCYPART_ARC
(2,19),-1.07782 # DEPENDENCYPART_ARC
(2,20),-1.29868 # DEPENDENCYPART_ARC
(2,21),-2.19048 # DEPENDENCYPART_ARC
(2,22),-1.55304 # DEPENDENCYPART_ARC
(2,23),-2.89164 # DEPENDENCYPART_ARC
(2,24),-2.10436 # DEPENDENCYPART_ARC
(2,25),-1.71935 # DEPENDENCYPART_ARC
(2,26),-1.72439 # DEPENDENCYPART_ARC
(2,27),-1.77008 # DEPENDENCYPART_ARC
(2,28),-1.87324 # DEPENDENCYPART_ARC
(2,29),-1.59273 # DEPENDENCYPART_ARC
(2,30),0.246794 # DEPENDENCYPART_ARC
(3,1),2.78171 # DEPENDENCYPART_ARC
(3,2),3.49184 # DEPENDENCYPART_ARC
(3,4),-1.88019 # DEPENDENCYPART_ARC
(3,5),-1.58258 # DEPENDENCYPART_ARC
(3,6),-0.553941 # DEPENDENCYPART_ARC
(3,7),-1.31123 # DEPENDENCYPART_ARC
(3,8),-0.42002 # DEPENDENCYPART_ARC
(3,9),-1.6283 # DEPENDENCYPART_ARC
(3,10),-1.47888 # DEPENDENCYPART_ARC
(3,11),-1.60663 # DEPENDENCYPART_ARC
(3,12),-0.594851 # DEPENDENCYPART_ARC
(3,13),-1.79741 # DEPENDENCYPART_ARC
(3,14),-2.06172 # DEPENDENCYPART_ARC
(3,15),-1.33706 # DEPENDENCYPART_ARC
(3,16),-2.65217 # DEPENDENCYPART_ARC
(3,17),-1.11671 # DEPENDENCYPART_ARC
(3,18),-1.71521 # DEPENDENCYPART_ARC
(3,19),-0.605518 # DEPENDENCYPART_ARC
(3,20),-0.876764 # DEPENDENCYPART_ARC
(3,21),-2.05379 # DEPENDENCYPART_ARC
(3,22),-1.42606 # DEPENDENCYPART_ARC
(3,23),-2.69252 # DEPENDENCYPART_ARC
(3,24),-2.16648 # DEPENDENCYPART_ARC
(3,25),-1.83027 # DEPENDENCYPART_ARC
(3,26),-1.24395 # DEPENDENCYPART_ARC
(3,27),-1.59298 # DEPENDENCYPART_ARC
(3,28),-2.0109 # DEPENDENCYPART_ARC
(3,29),-1.17751 # DEPENDENCYPART_ARC
(3,30),0.558416 # DEPENDENCYPART_ARC
(4,1),1.16191 # DEPENDENCYPART_ARC
(4,2),2.05896 # DEPENDENCYPART_ARC
(4,3),4.38602 # DEPENDENCYPART_ARC
(4,5),-0.719528 # DEPENDENCYPART_ARC
(4,6),-0.453495 # DEPENDENCYPART_ARC
(4,7),-1.06124 # DEPENDENCYPART_ARC
(4,8),-0.194671 # DEPENDENCYPART_ARC
(4,9),-1.53541 # DEPENDENCYPART_ARC
(4,10),-1.28336 # DEPENDENCYPART_ARC
(4,11),-1.34477 # DEPENDENCYPART_ARC
(4,12),-0.391857 # DEPENDENCYPART_ARC
(4,13),-1.73091 # DEPENDENCYPART_ARC
(4,14),-1.30235 # DEPENDENCYPART_ARC
(4,15),-1.09863 # DEPENDENCYPART_ARC
(4,16),-1.96642 # DEPENDENCYPART_ARC
(4,17),-0.877857 # DEPENDENCYPART_ARC
(4,18),-1.55887 # DEPENDENCYPART_ARC
(4,19),-0.426745 # DEPENDENCYPART_ARC
(4,20),-0.65424 # DEPENDENCYPART_ARC
(4,21),-2.7048 # DEPENDENCYPART_ARC
(4,22),-1.35052 # DEPENDENCYPART_ARC
(4,23),-1.87592 # DEPENDENCYPART_ARC
(4,24),-2.0766 # DEPENDENCYPART_ARC
(4,25),-1.71764 # DEPENDENCYPART_ARC
(4,26),-0.813852 # DEPENDENCYPART_ARC
(4,27),-1.43937 # DEPENDENCYPART_ARC
(4,28),-1.72838 # DEPENDENCYPART_ARC
(4,29),-0.911876 # DEPENDENCYPART_ARC
(4,30),0.703892 # DEPENDENCYPART_ARC
(5,1),0.946325 # DEPENDENCYPART_ARC
(5,2),0.707328 # DEPENDENCYPART_ARC
(5,3),0.799344 # DEPENDENCYPART_ARC
(5,4),0.87235 # DEPENDENCYPART_ARC
(5,6),0.851178 # DEPENDENCYPART_ARC
(5,7),0.12301 # DEPENDENCYPART_ARC
(5,8),0.852742 # DEPENDENCYPART_ARC
(5,9),-0.39961 # DEPENDENCYPART_ARC
(5,10),-0.0665391 # DEPENDENCYPART_ARC
(5,11),0.365765 # DEPENDENCYPART_ARC
(5,12),0.668741 # DEPENDENCYPART_ARC
(5,13),-0.643531 # DEPENDENCYPART_ARC
(5,14),-0.716758 # DEPENDENCYPART_ARC
(5,15),-0.000901206 # DEPENDENCYPART_ARC
(5,16),-0.888649 # DEPENDENCYPART_ARC
(5,17),0.241271 # DEPENDENCYPART_ARC
(5,18),-0.412451 # DEPENDENCYPART_ARC
(5,19),0.520748 # DEPENDENCYPART_ARC
(5,20),0.248808 # DEPENDENCYPART_ARC
(5,21),-1.16899 # DEPENDENCYPART_ARC
(5,22),-0.330231 # DEPENDENCYPART_ARC
(5,23),-0.956484 # DEPENDENCYPART_ARC
(5,24),-0.918012 # DEPENDENCYPART_ARC
(5,25),-0.581088 # DEPENDENCYPART_ARC
(5,26),0.425976 # DEPENDENCYPART_ARC
(5,27),-0.275553 # DEPENDENCYPART_ARC
(5,28),-0.666222 # DEPENDENCYPART_ARC
(5,29),0.0716424 # DEPENDENCYPART_ARC
(5,30),1.83259 # DEPENDENCYPART_ARC
(7,1),0.34002 # DEPENDENCYPART_ARC
(7,2),-0.560671 # DEPENDENCYPART_ARC
(7,3),-0.0812909 # DEPENDENCYPART_ARC
(7,4),-0.559672 # DEPENDENCYPART_ARC
(7,5),0.521914 # DEPENDENCYPART_ARC
(7,6),1.80189 # DEPENDENCYPART_ARC
(7,8),1.37863 # DEPENDENCYPART_ARC
(7,9),-0.238828 # DEPENDENCYPART_ARC
(7,10),-0.29122 # DEPENDENCYPART_ARC
(7,11),0.0144164 # DEPENDENCYPART_ARC
(7,12),0.264289 # DEPENDENCYPART_ARC
(7,13),-0.522577 # DEPENDENCYPART_ARC
(7,14),-0.974789 # DEPENDENCYPART_ARC
(7,15),-0.239685 # DEPENDENCYPART_ARC
(7,16),-1.20885 # DEPENDENCYPART_ARC
(7,17),0.253184 # DEPENDENCYPART_ARC
(7,18),-0.636611 # DEPENDENCYPART_ARC
(7,19),0.641654 # DEPENDENCYPART_ARC
(7,20),-0.0068553 # DEPENDENCYPART_ARC
(7,21),-0.879149 # DEPENDENCYPART_ARC
(7,22),-0.461057 # DEPENDENCYPART_ARC
(7,23),-1.70531 # DEPENDENCYPART_ARC
(7,24),-0.837802 # DEPENDENCYPART_ARC
(7,25),-0.696458 # DEPENDENCYPART_ARC
(7,26),0.198647 # DEPENDENCYPART_ARC
(7,27),-0.0627381 # DEPENDENCYPART_ARC
(7,28),-0.780666 # DEPENDENCYPART_ARC
(7,29),0.0164733 # DEPENDENCYPART_ARC
(7,30),1.78315 # DEPENDENCYPART_ARC
(9,2),-0.596773 # DEPENDENCYPART_ARC
(9,3),-1.52867 # DEPENDENCYPART_ARC
(9,4),-1.91475 # DEPENDENCYPART_ARC
(9,5),-1.38847 # DEPENDENCYPART_ARC
(9,6),0.0948695 # DEPENDENCYPART_ARC
(9,8),0.51099 # DEPENDENCYPART_ARC
(9,10),-0.107417 # DEPENDENCYPART_ARC
(9,11),-0.659322 # DEPENDENCYPART_ARC
(9,12),-0.368175 # DEPENDENCYPART_ARC
(9,14),-1.28941 # DEPENDENCYPART_ARC
(9,16),-1.53155 # DEPENDENCYPART_ARC
(9,17),-0.551199 # DEPENDENCYPART_ARC
(9,19),-0.504283 # DEPENDENCYPART_ARC
(9,20),-0.811753 # DEPENDENCYPART_ARC
(9,23),-1.80266 # DEPENDENCYPART_ARC
(9,25),-1.237 # DEPENDENCYPART_ARC
(9,27),-0.746638 # DEPENDENCYPART_ARC
(9,29),-0.725998 # DEPENDENCYPART_ARC
(10,1),-1.05902 # DEPENDENCYPART_ARC
(10,2),-2.08366 # DEPENDENCYPART_ARC
(10,3),-2.10552 # DEPENDENCYPART_ARC
(10,4),-2.66753 # DEPENDENCYPART_ARC
(10,5),-1.75193 # DEPENDENCYPART_ARC
(10,6),-0.837539 # DEPENDENCYPART_ARC
(10,8),-1.03996 # DEPENDENCYPART_ARC
(10,9),0.25894 # DEPENDENCYPART_ARC
(10,11),-0.870913 # DEPENDENCYPART_ARC
(10,12),-1.08781 # DEPENDENCYPART_ARC
(10,13),-1.83944 # DEPENDENCYPART_ARC
(10,14),-2.20147 # DEPENDENCYPART_ARC
(10,16),-2.62003 # DEPENDENCYPART_ARC
(10,17),-1.20074 # DEPENDENCYPART_ARC
(10,19),-1.0602 # DEPENDENCYPART_ARC
(10,20),-1.44699 # DEPENDENCYPART_ARC
(10,23),-3.21452 # DEPENDENCYPART_ARC
(10,24),-2.32 # DEPENDENCYPART_ARC
(10,25),-2.14313 # DEPENDENCYPART_ARC
(10,26),-1.93529 # DEPENDENCYPART_ARC
(10,27),-1.49261 # DEPENDENCYPART_ARC
(10,29),-1.55317 # DEPENDENCYPART_ARC
(10,30),-0.730395 # DEPENDENCYPART_ARC
(11,1),0.0715897 # DEPENDENCYPART_ARC
(11,2),-0.314835 # DEPENDENCYPART_ARC
(11,3),-1.68167 # DEPENDENCYPART_ARC
(11,4),-2.63325 # DEPENDENCYPART_ARC
(11,5),-1.10223 # DEPENDENCYPART_ARC
(11,6),-0.574733 # DEPENDENCYPART_ARC
(11,7),0.294395 # DEPENDENCYPART_ARC
(11,8),0.268358 # DEPENDENCYPART_ARC
(11,9),2.03432 # DEPENDENCYPART_ARC
(11,10),3.21374 # DEPENDENCYPART_ARC
(11,12),0.324596 # DEPENDENCYPART_ARC
(11,13),-0.948209 # DEPENDENCYPART_ARC
(11,14),-0.677393 # DEPENDENCYPART_ARC
(11,15),-0.144253 # DEPENDENCYPART_ARC
(11,16),-0.925606 # DEPENDENCYPART_ARC
(11,17),-0.124304 # DEPENDENCYPART_ARC
(11,18),-0.971494 # DEPENDENCYPART_ARC
(11,19),0.0830694 # DEPENDENCYPART_ARC
(11,20),-0.197536 # DEPENDENCYPART_ARC
(11,21),-1.65878 # DEPENDENCYPART_ARC
(11,22),-0.758905 # DEPENDENCYPART_ARC
(11,23),-1.43711 # DEPENDENCYPART_ARC
(11,24),-1.43339 # DEPENDENCYPART_ARC
(11,25),-1.28179 # DEPENDENCYPART_ARC
(11,26),-0.287331 # DEPENDENCYPART_ARC
(11,27),-0.716853 # DEPENDENCYPART_ARC
(11,28),-1.31763 # DEPENDENCYPART_ARC
(11,29),-0.537904 # DEPENDENCYPART_ARC
(11,30),0.98956 # DEPENDENCYPART_ARC
(13,2),-1.8044 # DEPENDENCYPART_ARC
(13,3),-3.02793 # DEPENDENCYPART_ARC
(13,4),-3.50001 # DEPENDENCYPART_ARC
(13,5),-3.11952 # DEPENDENCYPART_ARC
(13,6),-1.36491 # DEPENDENCYPART_ARC
(13,8),-1.54225 # DEPENDENCYPART_ARC
(13,10),-1.18672 # DEPENDENCYPART_ARC
(13,11),-2.22916 # DEPENDENCYPART_ARC
(13,12),-0.726114 # DEPENDENCYPART_ARC
(13,14),-0.496686 # DEPENDENCYPART_ARC
(13,16),-1.08496 # DEPENDENCYPART_ARC
(13,17),-0.494393 # DEPENDENCYPART_ARC
(13,19),-0.485217 # DEPENDENCYPART_ARC
(13,20),-0.586159 # DEPENDENCYPART_ARC
(13,23),-1.66243 # DEPENDENCYPART_ARC
(13,25),-0.992517 # DEPENDENCYPART_ARC
(13,27),-0.789272 # DEPENDENCYPART_ARC
(13,29),-0.77422 # DEPENDENCYPART_ARC
(14,1),-0.989357 # DEPENDENCYPART_ARC
(14,2),-1.73719 # DEPENDENCYPART_ARC
(14,3),-2.71286 # DEPENDENCYPART_ARC
(14,4),-3.75028 # DEPENDENCYPART_ARC
(14,5),-2.35127 # DEPENDENCYPART_ARC
(14,6),-1.30804 # DEPENDENCYPART_ARC
(14,7),-2.12334 # DEPENDENCYPART_ARC
(14,8),-0.983654 # DEPENDENCYPART_ARC
(14,9),0.0767629 # DEPENDENCYPART_ARC
(14,10),-0.679067 # DEPENDENCYPART_ARC
(14,11),-1.54152 # DEPENDENCYPART_ARC
(14,12),-0.625755 # DEPENDENCYPART_ARC
(14,13),3.15562 # DEPENDENCYPART_ARC
(14,15),-0.524481 # DEPENDENCYPART_ARC
(14,16),-1.66457 # DEPENDENCYPART_ARC
(14,17),-0.672085 # DEPENDENCYPART_ARC
(14,18),-1.4593 # DEPENDENCYPART_ARC
(14,19),-0.568002 # DEPENDENCYPART_ARC
(14,20),-0.602037 # DEPENDENCYPART_ARC
(14,21),-2.02478 # DEPENDENCYPART_ARC
(14,22),-1.19862 # DEPENDENCYPART_ARC
(14,23),-2.25476 # DEPENDENCYPART_ARC
(14,24),-1.83474 # DEPENDENCYPART_ARC
(14,25),-1.83796 # DEPENDENCYPART_ARC
(14,26),-1.13722 # DEPENDENCYPART_ARC
(14,27),-1.39852 # DEPENDENCYPART_ARC
(14,28),-1.99816 # DEPENDENCYPART_ARC
(14,29),-1.07342 # DEPENDENCYPART_ARC
(14,30),0.021183 # DEPENDENCYPART_ARC
(15,1),-0.8666 # DEPENDENCYPART_ARC
(15,2),-0.611221 # DEPENDENCYPART_ARC
(15,3),-1.06115 # DEPENDENCYPART_ARC
(15,4),-0.931233 # DEPENDENCYPART_ARC
(15,5),-0.159314 # DEPENDENCYPART_ARC
(15,6),0.255625 # DEPENDENCYPART_ARC
(15,7),0.0684777 # DEPENDENCYPART_ARC
(15,8),-0.0155068 # DEPENDENCYPART_ARC
(15,9),-0.282813 # DEPENDENCYPART_ARC
(15,10),0.289115 # DEPENDENCYPART_ARC
(15,11),0.85381 # DEPENDENCYPART_ARC
(15,12),0.906712 # DEPENDENCYPART_ARC
(15,13),0.808272 # DEPENDENCYPART_ARC
(15,14),3.90542 # DEPENDENCYPART_ARC
(15,16),0.0813914 # DEPENDENCYPART_ARC
(15,17),-0.133867 # DEPENDENCYPART_ARC
(15,18),-0.538774 # DEPENDENCYPART_ARC
(15,19),-0.167718 # DEPENDENCYPART_ARC
(15,20),-0.225214 # DEPENDENCYPART_ARC
(15,21),-0.911513 # DEPENDENCYPART_ARC
(15,22),-0.555947 # DEPENDENCYPART_ARC
(15,23),-0.933288 # DEPENDENCYPART_ARC
(15,24),-0.700421 # DEPENDENCYPART_ARC
(15,25),-0.790991 # DEPENDENCYPART_ARC
(15,26),-0.362681 # DEPENDENCYPART_ARC
(15,27),-0.434494 # DEPENDENCYPART_ARC
(15,28),-1.06821 # DEPENDENCYPART_ARC
(15,29),-0.536511 # DEPENDENCYPART_ARC
(15,30),-0.100228 # DEPENDENCYPART_ARC
(16,1),-1.00164 # DEPENDENCYPART_ARC
(16,2),-1.30357 # DEPENDENCYPART_ARC
(16,3),-1.81099 # DEPENDENCYPART_ARC
(16,4),-2.84528 # DEPENDENCYPART_ARC
(16,5),-1.67835 # DEPENDENCYPART_ARC
(16,6),-0.434952 # DEPENDENCYPART_ARC
(16,7),-1.56236 # DEPENDENCYPART_ARC
(16,8),-0.190947 # DEPENDENCYPART_ARC
(16,9),0.0907442 # DEPENDENCYPART_ARC
(16,10),-0.44486 # DEPENDENCYPART_ARC
(16,11),-0.953199 # DEPENDENCYPART_ARC
(16,12),0.15357 # DEPENDENCYPART_ARC
(16,13),1.24828 # DEPENDENCYPART_ARC
(16,14),0.33832 # DEPENDENCYPART_ARC
(16,15),1.11479 # DEPENDENCYPART_ARC
(16,17),1.0488 # DEPENDENCYPART_ARC
(16,18),0.329094 # DEPENDENCYPART_ARC
(16,19),1.08861 # DEPENDENCYPART_ARC
(16,20),0.783379 # DEPENDENCYPART_ARC
(16,21),-0.830329 # DEPENDENCYPART_ARC
(16,22),0.250047 # DEPENDENCYPART_ARC
(16,23),-0.0903942 # DEPENDENCYPART_ARC
(16,24),-0.442175 # DEPENDENCYPART_ARC
(16,25),-0.0667931 # DEPENDENCYPART_ARC
(16,26),0.832395 # DEPENDENCYPART_ARC
(16,27),0.25724 # DEPENDENCYPART_ARC
(16,28),-0.297964 # DEPENDENCYPART_ARC
(16,29),0.366278 # DEPENDENCYPART_ARC
(16,30),1.68492 # DEPENDENCYPART_ARC
(18,1),-0.212092 # DEPENDENCYPART_ARC
(18,2),-1.18393 # DEPENDENCYPART_ARC
(18,3),-1.0574 # DEPENDENCYPART_ARC
(18,4),-1.64926 # DEPENDENCYPART_ARC
(18,5),-0.803607 # DEPENDENCYPART_ARC
(18,6),0.347734 # DEPENDENCYPART_ARC
(18,7),-0.589522 # DEPENDENCYPART_ARC
(18,8),-0.100623 # DEPENDENCYPART_ARC
(18,9),-0.42245 # DEPENDENCYPART_ARC
(18,10),-0.357286 # DEPENDENCYPART_ARC
(18,11),-0.61582 # DEPENDENCYPART_ARC
(18,12),-0.135719 # DEPENDENCYPART_ARC
(18,13),0.0619679 # DEPENDENCYPART_ARC
(18,14),-0.0188589 # DEPENDENCYPART_ARC
(18,15),0.436741 # DEPENDENCYPART_ARC
(18,16),0.462807 # DEPENDENCYPART_ARC
(18,17),1.7689 # DEPENDENCYPART_ARC
(18,19),1.55178 # DEPENDENCYPART_ARC
(18,20),0.293897 # DEPENDENCYPART_ARC
(18,21),-0.59004 # DEPENDENCYPART_ARC
(18,22),-0.049152 # DEPENDENCYPART_ARC
(18,23),-0.882091 # DEPENDENCYPART_ARC
(18,24),-0.639666 # DEPENDENCYPART_ARC
(18,25),-0.626489 # DEPENDENCYPART_ARC
(18,26),0.250764 # DEPENDENCYPART_ARC
(18,27),0.275257 # DEPENDENCYPART_ARC
(18,28),-0.734571 # DEPENDENCYPART_ARC
(18,29),0.445148 # DEPENDENCYPART_ARC
(18,30),1.27728 # DEPENDENCYPART_ARC
(21,2),-1.00064 # DEPENDENCYPART_ARC
(21,3),-1.31885 # DEPENDENCYPART_ARC
(21,4),-1.51945 # DEPENDENCYPART_ARC
(21,11),-1.12614 # DEPENDENCYPART_ARC
(21,14),-0.824143 # DEPENDENCYPART_ARC
(21,15),-0.190697 # DEPENDENCYPART_ARC
(21,22),-0.37036 # DEPENDENCYPART_ARC
(22,1),-1.93516 # DEPENDENCYPART_ARC
(22,2),-1.78107 # DEPENDENCYPART_ARC
(22,3),-2.76161 # DEPENDENCYPART_ARC
(22,4),-2.66748 # DEPENDENCYPART_ARC
(22,5),-2.25186 # DEPENDENCYPART_ARC
(22,6),-0.94173 # DEPENDENCYPART_ARC
(22,7),-1.6642 # DEPENDENCYPART_ARC
(22,8),-1.36726 # DEPENDENCYPART_ARC
(22,9),-1.54441 # DEPENDENCYPART_ARC
(22,10),-1.49835 # DEPENDENCYPART_ARC
(22,11),-1.76288 # DEPENDENCYPART_ARC
(22,12),-0.805095 # DEPENDENCYPART_ARC
(22,13),-1.42775 # DEPENDENCYPART_ARC
(22,14),-0.726394 # DEPENDENCYPART_ARC
(22,15),-1.23105 # DEPENDENCYPART_ARC
(22,16),-1.1399 # DEPENDENCYPART_ARC
(22,17),-0.651552 # DEPENDENCYPART_ARC
(22,18),-0.586789 # DEPENDENCYPART_ARC
(22,19),-0.576224 # DEPENDENCYPART_ARC
(22,20),-0.282909 # DEPENDENCYPART_ARC
(22,21),2.55922 # DEPENDENCYPART_ARC
(22,23),-0.465515 # DEPENDENCYPART_ARC
(22,24),-0.98829 # DEPENDENCYPART_ARC
(22,25),-0.920979 # DEPENDENCYPART_ARC
(22,26),-0.741795 # DEPENDENCYPART_ARC
(22,27),-0.769444 # DEPENDENCYPART_ARC
(22,28),-1.13268 # DEPENDENCYPART_ARC
(22,29),-0.68005 # DEPENDENCYPART_ARC
(22,30),-0.65208 # DEPENDENCYPART_ARC
(23,1),-1.17702 # DEPENDENCYPART_ARC
(23,2),-1.92685 # DEPENDENCYPART_ARC
(23,3),-2.65179 # DEPENDENCYPART_ARC
(23,4),-3.46189 # DEPENDENCYPART_ARC
(23,5),-2.66001 # DEPENDENCYPART_ARC
(23,6),-1.01364 # DEPENDENCYPART_ARC
(23,7),-2.30458 # DEPENDENCYPART_ARC
(23,8),-0.969054 # DEPENDENCYPART_ARC
(23,9),0.0554195 # DEPENDENCYPART_ARC
(23,10),-1.1347 # DEPENDENCYPART_ARC
(23,11),-2.26829 # DEPENDENCYPART_ARC
(23,12),-0.657738 # DEPENDENCYPART_ARC
(23,13),0.70862 # DEPENDENCYPART_ARC
(23,14),-1.81449 # DEPENDENCYPART_ARC
(23,15),-0.778827 # DEPENDENCYPART_ARC
(23,16),-1.41695 # DEPENDENCYPART_ARC
(23,17),0.169282 # DEPENDENCYPART_ARC
(23,18),-0.646755 # DEPENDENCYPART_ARC
(23,19),0.305234 # DEPENDENCYPART_ARC
(23,20),0.0510854 # DEPENDENCYPART_ARC
(23,21),-0.0455102 # DEPENDENCYPART_ARC
(23,22),0.850768 # DEPENDENCYPART_ARC
(23,24),-0.0717244 # DEPENDENCYPART_ARC
(23,25),0.320541 # DEPENDENCYPART_ARC
(23,26),0.19405 # DEPENDENCYPART_ARC
(23,27),0.459731 # DEPENDENCYPART_ARC
(23,28),0.0474353 # DEPENDENCYPART_ARC
(23,29),0.742364 # DEPENDENCYPART_ARC
(23,30),0.89518 # DEPENDENCYPART_ARC
(24,2),-1.62155 # DEPENDENCYPART_ARC
(24,3),-3.25337 # DEPENDENCYPART_ARC
(24,4),-3.62537 # DEPENDENCYPART_ARC
(24,5),-3.24853 # DEPENDENCYPART_ARC
(24,6),-1.30512 # DEPENDENCYPART_ARC
(24,8),-1.34904 # DEPENDENCYPART_ARC
(24,10),-1.57922 # DEPENDENCYPART_ARC
(24,11),-2.97875 # DEPENDENCYPART_ARC
(24,12),-1.22779 # DEPENDENCYPART_ARC
(24,14),-2.71455 # DEPENDENCYPART_ARC
(24,16),-2.8144 # DEPENDENCYPART_ARC
(24,17),-0.94995 # DEPENDENCYPART_ARC
(24,19),-0.993295 # DEPENDENCYPART_ARC
(24,20),-0.844193 # DEPENDENCYPART_ARC
(24,23),-1.13264 # DEPENDENCYPART_ARC
(24,25),0.329117 # DEPENDENCYPART_ARC
(24,27),-0.0732094 # DEPENDENCYPART_ARC
(24,29),-0.241753 # DEPENDENCYPART_ARC
(25,1),-1.21717 # DEPENDENCYPART_ARC
(25,2),-2.24393 # DEPENDENCYPART_ARC
(25,3),-2.45377 # DEPENDENCYPART_ARC
(25,4),-3.06873 # DEPENDENCYPART_ARC
(25,5),-2.14062 # DEPENDENCYPART_ARC
(25,6),-1.12125 # DEPENDENCYPART_ARC
(25,8),-1.40944 # DEPENDENCYPART_ARC
(25,9),-1.28477 # DEPENDENCYPART_ARC
(25,10),-1.56939 # DEPENDENCYPART_ARC
(25,11),-2.15058 # DEPENDENCYPART_ARC
(25,12),-1.57261 # DEPENDENCYPART_ARC
(25,13),-0.915409 # DEPENDENCYPART_ARC
(25,14),-1.78804 # DEPENDENCYPART_ARC
(25,16),-1.5919 # DEPENDENCYPART_ARC
(25,17),-0.608961 # DEPENDENCYPART_ARC
(25,19),-0.76497 # DEPENDENCYPART_ARC
(25,20),-1.10732 # DEPENDENCYPART_ARC
(25,23),-0.377209 # DEPENDENCYPART_ARC
(25,24),0.909622 # DEPENDENCYPART_ARC
(25,26),-0.314673 # DEPENDENCYPART_ARC
(25,27),-0.300861 # DEPENDENCYPART_ARC
(25,29),-0.269175 # DEPENDENCYPART_ARC
(25,30),-0.33997 # DEPENDENCYPART_ARC
(26,1),-1.09143 # DEPENDENCYPART_ARC
(26,2),-1.55036 # DEPENDENCYPART_ARC
(26,3),-1.04458 # DEPENDENCYPART_ARC
(26,4),0.114015 # DEPENDENCYPART_ARC
(26,5),-0.769608 # DEPENDENCYPART_ARC
(26,6),-0.251765 # DEPENDENCYPART_ARC
(26,7),-1.74045 # DEPENDENCYPART_ARC
(26,8),-0.727775 # DEPENDENCYPART_ARC
(26,9),-0.067674 # DEPENDENCYPART_ARC
(26,10),-1.4983 # DEPENDENCYPART_ARC
(26,11),-0.690722 # DEPENDENCYPART_ARC
(26,12),0.617305 # DEPENDENCYPART_ARC
(26,13),-0.90698 # DEPENDENCYPART_ARC
(26,14),-0.917478 # DEPENDENCYPART_ARC
(26,15),0.0714751 # DEPENDENCYPART_ARC
