# _root_ Nagyon kedves neki az a rózsafüzér is , amelyikkel Angelo_Acerbi pápai nuncius ajándékozta meg , amikor meglátta a gyöngyösi Mária-szobor melletti olvasókat .
#goldHeads=2,7,7,6,6,7,0,7,13,12,12,13,7,13,13,17,13,20,20,21,22,17,7,
#predictedHeads=2,3,13,6,6,13,13,13,13,13,12,13,0,13,13,17,13,20,20,21,22,17,13,
(5,19),-1.5697 # DEPENDENCYPART_ARC
(5,20),-1.99477 # DEPENDENCYPART_ARC
(5,21),-1.79194 # DEPENDENCYPART_ARC
(5,22),-2.2463 # DEPENDENCYPART_ARC
(6,1),-0.947014 # DEPENDENCYPART_ARC
(6,2),-1.16809 # DEPENDENCYPART_ARC
(6,3),-0.546482 # DEPENDENCYPART_ARC
(6,4),1.58219 # DEPENDENCYPART_ARC
(6,5),3.2856 # DEPENDENCYPART_ARC
(6,7),-1.20296 # DEPENDENCYPART_ARC
(6,8),-0.783987 # DEPENDENCYPART_ARC
(6,9),-2.39487 # DEPENDENCYPART_ARC
(6,10),-1.58276 # DEPENDENCYPART_ARC
(6,11),-1.73772 # DEPENDENCYPART_ARC
(6,12),-1.60396 # DEPENDENCYPART_ARC
(6,13),-1.07186 # DEPENDENCYPART_ARC
(6,14),-1.44569 # DEPENDENCYPART_ARC
(6,15),-1.13569 # DEPENDENCYPART_ARC
(6,16),-1.4477 # DEPENDENCYPART_ARC
(6,17),-1.34131 # DEPENDENCYPART_ARC
(6,18),-1.98774 # DEPENDENCYPART_ARC
(6,19),-2.35855 # DEPENDENCYPART_ARC
(6,20),-2.5073 # DEPENDENCYPART_ARC
(6,21),-2.36878 # DEPENDENCYPART_ARC
(6,22),-3.63573 # DEPENDENCYPART_ARC
(6,23),-0.530432 # DEPENDENCYPART_ARC
(7,1),0.205456 # DEPENDENCYPART_ARC
(7,2),-0.087872 # DEPENDENCYPART_ARC
(7,3),0.425597 # DEPENDENCYPART_ARC
(7,4),0.118905 # DEPENDENCYPART_ARC
(7,5),-0.28004 # DEPENDENCYPART_ARC
(7,6),0.515006 # DEPENDENCYPART_ARC
(7,8),0.547622 # DEPENDENCYPART_ARC
(7,9),-0.994345 # DEPENDENCYPART_ARC
(7,10),-0.286174 # DEPENDENCYPART_ARC
(7,11),-0.455498 # DEPENDENCYPART_ARC
(7,12),-0.485231 # DEPENDENCYPART_ARC
(7,13),0.276574 # DEPENDENCYPART_ARC
(7,15),0.0442908 # DEPENDENCYPART_ARC
(7,16),-0.716273 # DEPENDENCYPART_ARC
(7,17),-0.30427 # DEPENDENCYPART_ARC
(7,18),-1.18854 # DEPENDENCYPART_ARC
(7,19),-0.928966 # DEPENDENCYPART_ARC
(7,20),-1.03297 # DEPENDENCYPART_ARC
(7,21),-0.985178 # DEPENDENCYPART_ARC
(7,22),-1.20975 # DEPENDENCYPART_ARC
(7,23),0.313218 # DEPENDENCYPART_ARC
(9,2),-0.529654 # DEPENDENCYPART_ARC
(9,6),-0.283542 # DEPENDENCYPART_ARC
(9,7),-0.216319 # DEPENDENCYPART_ARC
(9,11),-0.67622 # DEPENDENCYPART_ARC
(9,12),-0.395276 # DEPENDENCYPART_ARC
(9,19),-0.995199 # DEPENDENCYPART_ARC
(9,20),-0.59145 # DEPENDENCYPART_ARC
(9,21),-1.01677 # DEPENDENCYPART_ARC
(9,22),-1.25482 # DEPENDENCYPART_ARC
(10,1),-1.60097 # DEPENDENCYPART_ARC
(10,2),-2.49138 # DEPENDENCYPART_ARC
(10,3),-1.42963 # DEPENDENCYPART_ARC
(10,4),-2.18988 # DEPENDENCYPART_ARC
(10,5),-0.0881295 # DEPENDENCYPART_ARC
(10,6),-1.60162 # DEPENDENCYPART_ARC
(10,7),-0.860143 # DEPENDENCYPART_ARC
(10,8),-0.796563 # DEPENDENCYPART_ARC
(10,9),-0.613795 # DEPENDENCYPART_ARC
(10,11),-0.407172 # DEPENDENCYPART_ARC
(10,12),0.131411 # DEPENDENCYPART_ARC
(10,13),-0.382072 # DEPENDENCYPART_ARC
(10,15),-0.427952 # DEPENDENCYPART_ARC
(10,17),-0.698853 # DEPENDENCYPART_ARC
(10,18),-1.3143 # DEPENDENCYPART_ARC
(10,19),-1.29077 # DEPENDENCYPART_ARC
(10,20),-1.0008 # DEPENDENCYPART_ARC
(10,21),-1.4581 # DEPENDENCYPART_ARC
(10,22),-2.64422 # DEPENDENCYPART_ARC
(10,23),0.0466114 # DEPENDENCYPART_ARC
(11,1),-0.113593 # DEPENDENCYPART_ARC
(11,2),-1.14664 # DEPENDENCYPART_ARC
(11,3),-0.104103 # DEPENDENCYPART_ARC
(11,4),-1.08375 # DEPENDENCYPART_ARC
(11,5),-0.349341 # DEPENDENCYPART_ARC
(11,6),-0.140205 # DEPENDENCYPART_ARC
(11,7),0.536122 # DEPENDENCYPART_ARC
(11,8),0.0178045 # DEPENDENCYPART_ARC
(11,9),0.558993 # DEPENDENCYPART_ARC
(11,10),1.64388 # DEPENDENCYPART_ARC
(11,12),-0.646063 # DEPENDENCYPART_ARC
(11,13),-0.550875 # DEPENDENCYPART_ARC
(11,14),-1.14238 # DEPENDENCYPART_ARC
(11,15),-0.759696 # DEPENDENCYPART_ARC
(11,16),-1.29869 # DEPENDENCYPART_ARC
(11,17),-0.838203 # DEPENDENCYPART_ARC
(11,18),-1.6711 # DEPENDENCYPART_ARC
(11,19),-1.82508 # DEPENDENCYPART_ARC
(11,20),-1.92812 # DEPENDENCYPART_ARC
(11,21),-1.82355 # DEPENDENCYPART_ARC
(11,22),-2.93099 # DEPENDENCYPART_ARC
(11,23),-0.586096 # DEPENDENCYPART_ARC
(12,1),-0.401168 # DEPENDENCYPART_ARC
(12,2),-0.231962 # DEPENDENCYPART_ARC
(12,3),-0.0105844 # DEPENDENCYPART_ARC
(12,4),0.468479 # DEPENDENCYPART_ARC
(12,5),1.30575 # DEPENDENCYPART_ARC
(12,6),-0.173593 # DEPENDENCYPART_ARC
(12,7),-0.110228 # DEPENDENCYPART_ARC
(12,8),0.352317 # DEPENDENCYPART_ARC
(12,9),-0.448838 # DEPENDENCYPART_ARC
(12,10),2.17445 # DEPENDENCYPART_ARC
(12,11),3.69629 # DEPENDENCYPART_ARC
(12,13),-0.630375 # DEPENDENCYPART_ARC
(12,14),-0.892446 # DEPENDENCYPART_ARC
(12,15),-0.424848 # DEPENDENCYPART_ARC
(12,16),-0.930805 # DEPENDENCYPART_ARC
(12,17),-1.03282 # DEPENDENCYPART_ARC
(12,18),-1.39757 # DEPENDENCYPART_ARC
(12,19),-1.7053 # DEPENDENCYPART_ARC
(12,20),-1.40763 # DEPENDENCYPART_ARC
(12,21),-1.80868 # DEPENDENCYPART_ARC
(12,22),-2.47109 # DEPENDENCYPART_ARC
(12,23),-0.0588562 # DEPENDENCYPART_ARC
(13,1),-0.501274 # DEPENDENCYPART_ARC
(13,2),-0.722869 # DEPENDENCYPART_ARC
(13,3),0.66849 # DEPENDENCYPART_ARC
(13,4),-0.00233408 # DEPENDENCYPART_ARC
(13,5),-0.741591 # DEPENDENCYPART_ARC
(13,6),1.35839 # DEPENDENCYPART_ARC
(13,7),1.31117 # DEPENDENCYPART_ARC
(13,8),0.763457 # DEPENDENCYPART_ARC
(13,9),2.15476 # DEPENDENCYPART_ARC
(13,10),2.40436 # DEPENDENCYPART_ARC
(13,11),0.905326 # DEPENDENCYPART_ARC
(13,12),3.49529 # DEPENDENCYPART_ARC
(13,14),3.97636 # DEPENDENCYPART_ARC
(13,15),2.25901 # DEPENDENCYPART_ARC
(13,16),0.910011 # DEPENDENCYPART_ARC
(13,17),2.07106 # DEPENDENCYPART_ARC
(13,18),-0.424749 # DEPENDENCYPART_ARC
(13,19),-0.675552 # DEPENDENCYPART_ARC
(13,20),-1.10623 # DEPENDENCYPART_ARC
(13,21),-0.561397 # DEPENDENCYPART_ARC
(13,22),0.681637 # DEPENDENCYPART_ARC
(13,23),2.63017 # DEPENDENCYPART_ARC
(14,1),-0.476886 # DEPENDENCYPART_ARC
(14,2),-0.699755 # DEPENDENCYPART_ARC
(14,6),-0.563559 # DEPENDENCYPART_ARC
(14,7),-0.356079 # DEPENDENCYPART_ARC
(14,8),-0.65884 # DEPENDENCYPART_ARC
(14,9),-0.317763 # DEPENDENCYPART_ARC
(14,11),-0.113078 # DEPENDENCYPART_ARC
(14,12),0.30735 # DEPENDENCYPART_ARC
(14,13),0.0911007 # DEPENDENCYPART_ARC
(14,15),-0.00555262 # DEPENDENCYPART_ARC
(14,17),-0.0708646 # DEPENDENCYPART_ARC
(14,19),-0.808143 # DEPENDENCYPART_ARC
(14,20),-1.34333 # DEPENDENCYPART_ARC
(14,21),-1.0623 # DEPENDENCYPART_ARC
(14,22),-1.43752 # DEPENDENCYPART_ARC
(14,23),-0.433615 # DEPENDENCYPART_ARC
(16,4),-1.62522 # DEPENDENCYPART_ARC
(16,6),-1.3406 # DEPENDENCYPART_ARC
(16,8),-0.97912 # DEPENDENCYPART_ARC
(16,10),-0.878614 # DEPENDENCYPART_ARC
(16,12),-0.706959 # DEPENDENCYPART_ARC
(16,13),-0.021814 # DEPENDENCYPART_ARC
(16,15),0.00154557 # DEPENDENCYPART_ARC
(16,17),0.325999 # DEPENDENCYPART_ARC
(16,20),-0.884847 # DEPENDENCYPART_ARC
(16,22),-1.20373 # DEPENDENCYPART_ARC
(16,23),-0.676693 # DEPENDENCYPART_ARC
(17,1),-2.29456 # DEPENDENCYPART_ARC
(17,2),-2.08991 # DEPENDENCYPART_ARC
(17,3),-0.896852 # DEPENDENCYPART_ARC
(17,4),-1.67869 # DEPENDENCYPART_ARC
(17,5),-2.2559 # DEPENDENCYPART_ARC
(17,6),-0.36896 # DEPENDENCYPART_ARC
(17,7),-0.218267 # DEPENDENCYPART_ARC
(17,8),-0.234485 # DEPENDENCYPART_ARC
(17,9),-0.194223 # DEPENDENCYPART_ARC
(17,10),-0.305583 # DEPENDENCYPART_ARC
(17,11),-1.27205 # DEPENDENCYPART_ARC
(17,12),0.842295 # DEPENDENCYPART_ARC
(17,13),0.161514 # DEPENDENCYPART_ARC
(17,14),0.539829 # DEPENDENCYPART_ARC
(17,15),0.915444 # DEPENDENCYPART_ARC
(17,16),2.55536 # DEPENDENCYPART_ARC
(17,18),-0.0743559 # DEPENDENCYPART_ARC
(17,19),0.404954 # DEPENDENCYPART_ARC
(17,20),0.67957 # DEPENDENCYPART_ARC
(17,21),-0.123977 # DEPENDENCYPART_ARC
(17,22),2.82186 # DEPENDENCYPART_ARC
(17,23),1.74955 # DEPENDENCYPART_ARC
(18,2),-2.50425 # DEPENDENCYPART_ARC
(18,6),-3.73797 # DEPENDENCYPART_ARC
(18,7),-2.16109 # DEPENDENCYPART_ARC
(18,8),-1.88259 # DEPENDENCYPART_ARC
(18,10),-3.338 # DEPENDENCYPART_ARC
(18,11),-2.31418 # DEPENDENCYPART_ARC
(18,12),-3.40457 # DEPENDENCYPART_ARC
(18,15),-1.42346 # DEPENDENCYPART_ARC
(18,19),0.276957 # DEPENDENCYPART_ARC
(18,20),-0.632375 # DEPENDENCYPART_ARC
(18,21),-0.473049 # DEPENDENCYPART_ARC
(18,22),-1.35281 # DEPENDENCYPART_ARC
(19,1),-2.14708 # DEPENDENCYPART_ARC
(19,2),-3.16814 # DEPENDENCYPART_ARC
(19,3),-2.18805 # DEPENDENCYPART_ARC
(19,4),-2.99331 # DEPENDENCYPART_ARC
(19,5),-2.52573 # DEPENDENCYPART_ARC
(19,6),-3.55364 # DEPENDENCYPART_ARC
(19,7),-1.74712 # DEPENDENCYPART_ARC
(19,8),-2.06138 # DEPENDENCYPART_ARC
(19,9),-2.21063 # DEPENDENCYPART_ARC
(19,10),-2.70065 # DEPENDENCYPART_ARC
(19,11),-2.74052 # DEPENDENCYPART_ARC
(19,12),-3.51819 # DEPENDENCYPART_ARC
(19,13),-2.19222 # DEPENDENCYPART_ARC
(19,14),-1.37537 # DEPENDENCYPART_ARC
(19,15),-1.29004 # DEPENDENCYPART_ARC
(19,16),-1.01515 # DEPENDENCYPART_ARC
(19,17),-1.27295 # DEPENDENCYPART_ARC
(19,18),0.763586 # DEPENDENCYPART_ARC
(19,20),-0.812014 # DEPENDENCYPART_ARC
(19,21),-1.31509 # DEPENDENCYPART_ARC
(19,22),-2.2381 # DEPENDENCYPART_ARC
(19,23),-1.62953 # DEPENDENCYPART_ARC
(20,1),-1.4315 # DEPENDENCYPART_ARC
(20,2),-2.50831 # DEPENDENCYPART_ARC
(20,3),-1.20105 # DEPENDENCYPART_ARC
(20,4),-2.09036 # DEPENDENCYPART_ARC
(20,5),-1.06432 # DEPENDENCYPART_ARC
(20,6),-3.32529 # DEPENDENCYPART_ARC
(20,7),-1.84076 # DEPENDENCYPART_ARC
(20,8),-1.85746 # DEPENDENCYPART_ARC
(20,9),-2.83437 # DEPENDENCYPART_ARC
(20,10),-2.0146 # DEPENDENCYPART_ARC
(20,11),-0.427082 # DEPENDENCYPART_ARC
(20,12),-3.00165 # DEPENDENCYPART_ARC
(20,13),-0.596252 # DEPENDENCYPART_ARC
(20,14),-0.796916 # DEPENDENCYPART_ARC
(20,15),-1.16871 # DEPENDENCYPART_ARC
(20,16),-0.385526 # DEPENDENCYPART_ARC
(20,17),0.108118 # DEPENDENCYPART_ARC
(20,18),2.90402 # DEPENDENCYPART_ARC
(20,19),3.9783 # DEPENDENCYPART_ARC
(20,21),-0.739058 # DEPENDENCYPART_ARC
(20,22),-1.14041 # DEPENDENCYPART_ARC
(20,23),-0.291661 # DEPENDENCYPART_ARC
(21,1),-0.646644 # DEPENDENCYPART_ARC
(21,2),-1.77398 # DEPENDENCYPART_ARC
(21,3),-0.607942 # DEPENDENCYPART_ARC
(21,4),-1.43023 # DEPENDENCYPART_ARC
(21,5),-1.40405 # DEPENDENCYPART_ARC
(21,6),-1.22979 # DEPENDENCYPART_ARC
(21,7),-0.022524 # DEPENDENCYPART_ARC
(21,8),-0.613948 # DEPENDENCYPART_ARC
(21,9),-0.894908 # DEPENDENCYPART_ARC
(21,10),-0.981274 # DEPENDENCYPART_ARC
(21,11),-1.3898 # DEPENDENCYPART_ARC
(21,12),-1.59004 # DEPENDENCYPART_ARC
(21,13),-0.813055 # DEPENDENCYPART_ARC
(21,14),-0.143756 # DEPENDENCYPART_ARC
(21,15),0.106362 # DEPENDENCYPART_ARC
(21,16),0.188513 # DEPENDENCYPART_ARC
(21,17),-0.304213 # DEPENDENCYPART_ARC
(21,18),0.647552 # DEPENDENCYPART_ARC
(21,19),0.852579 # DEPENDENCYPART_ARC
(21,20),1.76701 # DEPENDENCYPART_ARC
(21,22),-1.4137 # DEPENDENCYPART_ARC
(21,23),-1.0179 # DEPENDENCYPART_ARC
(22,1),-1.35678 # DEPENDENCYPART_ARC
(22,2),-2.16993 # DEPENDENCYPART_ARC
(22,3),-0.937716 # DEPENDENCYPART_ARC
(22,4),-2.01382 # DEPENDENCYPART_ARC
(22,5),-0.840571 # DEPENDENCYPART_ARC
(22,6),-2.82743 # DEPENDENCYPART_ARC
(22,7),-1.52305 # DEPENDENCYPART_ARC
(22,8),-1.42644 # DEPENDENCYPART_ARC
(22,9),-2.1625 # DEPENDENCYPART_ARC
(22,10),-2.3944 # DEPENDENCYPART_ARC
(22,11),-0.230415 # DEPENDENCYPART_ARC
(22,12),-2.70489 # DEPENDENCYPART_ARC
(22,13),-1.39887 # DEPENDENCYPART_ARC
(22,14),-0.611531 # DEPENDENCYPART_ARC
(22,15),-0.691855 # DEPENDENCYPART_ARC
(22,16),-0.369601 # DEPENDENCYPART_ARC
(22,17),-1.01712 # DEPENDENCYPART_ARC
(22,18),1.99729 # DEPENDENCYPART_ARC
(22,19),2.06513 # DEPENDENCYPART_ARC
(22,20),1.3036 # DEPENDENCYPART_ARC
(22,21),3.50509 # DEPENDENCYPART_ARC
(22,23),-0.261437 # DEPENDENCYPART_ARC
