# _root_ Wrighték repülésének évében Henry_Ford autógyárat alapított , ahol 1924-ig 10_millió , 1927-ig 15_millió darab készült a legendás T-modellből .
#goldHeads=2,6,6,6,6,0,6,6,6,6,6,15,14,15,6,18,18,15,6,
#predictedHeads=2,6,6,6,6,0,6,15,10,14,14,15,14,15,6,18,18,15,6,
(13,3),-2.15524 # DEPENDENCYPART_ARC
(13,4),-1.37562 # DEPENDENCYPART_ARC
(13,5),-2.15525 # DEPENDENCYPART_ARC
(13,6),-0.769751 # DEPENDENCYPART_ARC
(13,7),-0.142587 # DEPENDENCYPART_ARC
(13,8),-0.365413 # DEPENDENCYPART_ARC
(13,9),-0.848145 # DEPENDENCYPART_ARC
(13,10),-0.452301 # DEPENDENCYPART_ARC
(13,11),-0.360425 # DEPENDENCYPART_ARC
(13,12),0.103968 # DEPENDENCYPART_ARC
(13,14),-0.568353 # DEPENDENCYPART_ARC
(13,15),-0.784982 # DEPENDENCYPART_ARC
(13,16),-1.53401 # DEPENDENCYPART_ARC
(13,17),-1.40187 # DEPENDENCYPART_ARC
(13,18),-1.5611 # DEPENDENCYPART_ARC
(13,19),-0.476988 # DEPENDENCYPART_ARC
(14,1),-2.1836 # DEPENDENCYPART_ARC
(14,2),-3.18455 # DEPENDENCYPART_ARC
(14,3),-4.10834 # DEPENDENCYPART_ARC
(14,4),-1.11816 # DEPENDENCYPART_ARC
(14,5),-4.14164 # DEPENDENCYPART_ARC
(14,6),-0.677653 # DEPENDENCYPART_ARC
(14,7),-0.41313 # DEPENDENCYPART_ARC
(14,8),0.315627 # DEPENDENCYPART_ARC
(14,9),-0.215995 # DEPENDENCYPART_ARC
(14,10),0.95313 # DEPENDENCYPART_ARC
(14,11),0.731084 # DEPENDENCYPART_ARC
(14,12),0.675544 # DEPENDENCYPART_ARC
(14,13),3.30567 # DEPENDENCYPART_ARC
(14,15),-0.493826 # DEPENDENCYPART_ARC
(14,16),-1.32171 # DEPENDENCYPART_ARC
(14,17),-1.30275 # DEPENDENCYPART_ARC
(14,18),-1.78722 # DEPENDENCYPART_ARC
(14,19),-0.648269 # DEPENDENCYPART_ARC
(15,1),-0.127673 # DEPENDENCYPART_ARC
(15,2),0.599514 # DEPENDENCYPART_ARC
(15,3),0.141085 # DEPENDENCYPART_ARC
(15,4),0.0505486 # DEPENDENCYPART_ARC
(15,5),0.22268 # DEPENDENCYPART_ARC
(15,6),-0.400309 # DEPENDENCYPART_ARC
(15,7),0.378919 # DEPENDENCYPART_ARC
(15,8),1.49267 # DEPENDENCYPART_ARC
(15,9),1.08844 # DEPENDENCYPART_ARC
(15,10),-0.253517 # DEPENDENCYPART_ARC
(15,11),0.634449 # DEPENDENCYPART_ARC
(15,12),1.88524 # DEPENDENCYPART_ARC
(15,13),0.6229 # DEPENDENCYPART_ARC
(15,14),3.29897 # DEPENDENCYPART_ARC
(15,16),-0.337085 # DEPENDENCYPART_ARC
(15,17),0.0273395 # DEPENDENCYPART_ARC
(15,18),2.09992 # DEPENDENCYPART_ARC
(15,19),1.23272 # DEPENDENCYPART_ARC
(16,1),-3.63799 # DEPENDENCYPART_ARC
(16,2),-4.22601 # DEPENDENCYPART_ARC
(16,3),-4.22808 # DEPENDENCYPART_ARC
(16,4),-3.6121 # DEPENDENCYPART_ARC
(16,5),-3.67075 # DEPENDENCYPART_ARC
(16,7),-1.82125 # DEPENDENCYPART_ARC
(16,11),-1.79704 # DEPENDENCYPART_ARC
(16,14),-2.65013 # DEPENDENCYPART_ARC
(16,17),0.322008 # DEPENDENCYPART_ARC
(16,18),-0.758757 # DEPENDENCYPART_ARC
(17,1),-3.61547 # DEPENDENCYPART_ARC
(17,2),-4.65489 # DEPENDENCYPART_ARC
(17,3),-2.77084 # DEPENDENCYPART_ARC
(17,4),-3.63354 # DEPENDENCYPART_ARC
(17,5),-3.19366 # DEPENDENCYPART_ARC
(17,6),-2.6281 # DEPENDENCYPART_ARC
(17,7),-1.89256 # DEPENDENCYPART_ARC
(17,8),-1.75532 # DEPENDENCYPART_ARC
(17,9),-1.58022 # DEPENDENCYPART_ARC
(17,10),-1.81224 # DEPENDENCYPART_ARC
(17,11),-1.37143 # DEPENDENCYPART_ARC
(17,12),-1.38776 # DEPENDENCYPART_ARC
(17,13),-1.30345 # DEPENDENCYPART_ARC
(17,14),-2.30083 # DEPENDENCYPART_ARC
(17,15),-1.30236 # DEPENDENCYPART_ARC
(17,16),0.896163 # DEPENDENCYPART_ARC
(17,18),-1.11326 # DEPENDENCYPART_ARC
(17,19),-1.67888 # DEPENDENCYPART_ARC
(18,1),-2.92335 # DEPENDENCYPART_ARC
(18,2),-4.07161 # DEPENDENCYPART_ARC
(18,3),-4.6543 # DEPENDENCYPART_ARC
(18,4),-2.14114 # DEPENDENCYPART_ARC
(18,5),-4.98177 # DEPENDENCYPART_ARC
(18,6),-1.80424 # DEPENDENCYPART_ARC
(18,7),-1.65244 # DEPENDENCYPART_ARC
(18,8),-0.885803 # DEPENDENCYPART_ARC
(18,9),-2.45321 # DEPENDENCYPART_ARC
(18,10),-0.953776 # DEPENDENCYPART_ARC
(18,11),-0.684866 # DEPENDENCYPART_ARC
(18,12),-2.10414 # DEPENDENCYPART_ARC
(18,13),-0.301898 # DEPENDENCYPART_ARC
(18,14),-1.59448 # DEPENDENCYPART_ARC
(18,15),-0.546328 # DEPENDENCYPART_ARC
(18,16),2.89073 # DEPENDENCYPART_ARC
(18,17),3.77335 # DEPENDENCYPART_ARC
(18,19),-0.413553 # DEPENDENCYPART_ARC
