# _root_ A Realbank kárvallott , körülbelül 2600 részvényesének soraiban még nem tört ki a pereskedési láz , de várható .
#goldHeads=2,7,7,7,7,7,8,11,11,11,17,11,15,15,11,17,0,17,17,
#predictedHeads=2,7,7,7,7,7,11,11,11,11,17,11,15,15,11,11,0,11,11,
(7,14),-2.03054 # DEPENDENCYPART_ARC
(7,15),-1.96849 # DEPENDENCYPART_ARC
(7,16),-0.943224 # DEPENDENCYPART_ARC
(7,17),-1.14318 # DEPENDENCYPART_ARC
(7,18),-2.26216 # DEPENDENCYPART_ARC
(7,19),-1.00885 # DEPENDENCYPART_ARC
(8,1),-0.16725 # DEPENDENCYPART_ARC
(8,2),-0.134967 # DEPENDENCYPART_ARC
(8,3),0.030462 # DEPENDENCYPART_ARC
(8,4),0.270907 # DEPENDENCYPART_ARC
(8,5),0.28737 # DEPENDENCYPART_ARC
(8,6),0.259346 # DEPENDENCYPART_ARC
(8,7),0.313019 # DEPENDENCYPART_ARC
(8,9),-0.971271 # DEPENDENCYPART_ARC
(8,10),-1.09576 # DEPENDENCYPART_ARC
(8,11),-1.1586 # DEPENDENCYPART_ARC
(8,12),-1.0301 # DEPENDENCYPART_ARC
(8,13),-1.58802 # DEPENDENCYPART_ARC
(8,14),-1.61711 # DEPENDENCYPART_ARC
(8,15),-2.08266 # DEPENDENCYPART_ARC
(8,16),-0.692197 # DEPENDENCYPART_ARC
(8,17),-1.00881 # DEPENDENCYPART_ARC
(8,18),-1.72753 # DEPENDENCYPART_ARC
(8,19),-0.688939 # DEPENDENCYPART_ARC
(9,1),-1.73296 # DEPENDENCYPART_ARC
(9,2),-1.06917 # DEPENDENCYPART_ARC
(9,3),-1.02477 # DEPENDENCYPART_ARC
(9,4),-1.04602 # DEPENDENCYPART_ARC
(9,5),-0.380066 # DEPENDENCYPART_ARC
(9,6),-0.663861 # DEPENDENCYPART_ARC
(9,7),-0.481141 # DEPENDENCYPART_ARC
(9,8),-0.249099 # DEPENDENCYPART_ARC
(9,10),-0.507393 # DEPENDENCYPART_ARC
(9,11),-0.419093 # DEPENDENCYPART_ARC
(9,12),-0.887145 # DEPENDENCYPART_ARC
(9,13),-1.14247 # DEPENDENCYPART_ARC
(9,14),-0.797758 # DEPENDENCYPART_ARC
(9,15),-1.40969 # DEPENDENCYPART_ARC
(9,16),-0.715963 # DEPENDENCYPART_ARC
(9,17),-0.986314 # DEPENDENCYPART_ARC
(9,18),-1.41989 # DEPENDENCYPART_ARC
(9,19),-1.16467 # DEPENDENCYPART_ARC
(10,2),-0.735875 # DEPENDENCYPART_ARC
(10,3),-0.972075 # DEPENDENCYPART_ARC
(10,4),-0.653774 # DEPENDENCYPART_ARC
(10,5),-0.357685 # DEPENDENCYPART_ARC
(10,7),-0.314901 # DEPENDENCYPART_ARC
(10,8),-0.408141 # DEPENDENCYPART_ARC
(10,9),0.602093 # DEPENDENCYPART_ARC
(10,11),-0.226618 # DEPENDENCYPART_ARC
(10,14),-0.934637 # DEPENDENCYPART_ARC
(10,15),-1.19806 # DEPENDENCYPART_ARC
(10,16),-0.805648 # DEPENDENCYPART_ARC
(10,17),-0.7894 # DEPENDENCYPART_ARC
(10,18),-1.6007 # DEPENDENCYPART_ARC
(10,19),-0.651849 # DEPENDENCYPART_ARC
(11,1),-1.17987 # DEPENDENCYPART_ARC
(11,2),0.797371 # DEPENDENCYPART_ARC
(11,3),-0.638764 # DEPENDENCYPART_ARC
(11,4),0.408385 # DEPENDENCYPART_ARC
(11,5),0.598072 # DEPENDENCYPART_ARC
(11,6),-0.15602 # DEPENDENCYPART_ARC
(11,7),1.77284 # DEPENDENCYPART_ARC
(11,8),2.22788 # DEPENDENCYPART_ARC
(11,9),2.29814 # DEPENDENCYPART_ARC
(11,10),2.64223 # DEPENDENCYPART_ARC
(11,12),3.35478 # DEPENDENCYPART_ARC
(11,13),0.378885 # DEPENDENCYPART_ARC
(11,14),0.252103 # DEPENDENCYPART_ARC
(11,15),2.88308 # DEPENDENCYPART_ARC
(11,16),2.26009 # DEPENDENCYPART_ARC
(11,17),1.25573 # DEPENDENCYPART_ARC
(11,18),0.238292 # DEPENDENCYPART_ARC
(11,19),2.28697 # DEPENDENCYPART_ARC
(12,3),-0.673011 # DEPENDENCYPART_ARC
(12,4),-0.850836 # DEPENDENCYPART_ARC
(12,5),-0.120888 # DEPENDENCYPART_ARC
(12,7),-0.362252 # DEPENDENCYPART_ARC
(12,8),-0.267806 # DEPENDENCYPART_ARC
(12,9),0.362603 # DEPENDENCYPART_ARC
(12,10),0.149694 # DEPENDENCYPART_ARC
(12,11),0.154704 # DEPENDENCYPART_ARC
(12,14),-0.224147 # DEPENDENCYPART_ARC
(12,15),-0.0457983 # DEPENDENCYPART_ARC
(12,16),-0.402542 # DEPENDENCYPART_ARC
(12,17),-0.438113 # DEPENDENCYPART_ARC
(12,18),-1.18483 # DEPENDENCYPART_ARC
(12,19),-0.433642 # DEPENDENCYPART_ARC
(13,2),-3.32372 # DEPENDENCYPART_ARC
(13,3),-2.14231 # DEPENDENCYPART_ARC
(13,4),-1.56344 # DEPENDENCYPART_ARC
(13,7),-3.55074 # DEPENDENCYPART_ARC
(13,8),-3.40413 # DEPENDENCYPART_ARC
(13,14),0.348693 # DEPENDENCYPART_ARC
(13,15),-0.639506 # DEPENDENCYPART_ARC
(13,16),-0.37557 # DEPENDENCYPART_ARC
(13,17),-0.743602 # DEPENDENCYPART_ARC
(13,18),-0.798224 # DEPENDENCYPART_ARC
(14,1),-2.47835 # DEPENDENCYPART_ARC
(14,2),-2.71261 # DEPENDENCYPART_ARC
(14,3),-3.12326 # DEPENDENCYPART_ARC
(14,4),-1.67113 # DEPENDENCYPART_ARC
(14,5),-1.69148 # DEPENDENCYPART_ARC
(14,6),-1.78496 # DEPENDENCYPART_ARC
(14,7),-3.8236 # DEPENDENCYPART_ARC
(14,8),-2.24924 # DEPENDENCYPART_ARC
(14,9),-1.01885 # DEPENDENCYPART_ARC
(14,10),-1.26841 # DEPENDENCYPART_ARC
(14,11),-1.66877 # DEPENDENCYPART_ARC
(14,12),-0.452083 # DEPENDENCYPART_ARC
(14,13),0.782247 # DEPENDENCYPART_ARC
(14,15),-0.645264 # DEPENDENCYPART_ARC
(14,16),-0.872376 # DEPENDENCYPART_ARC
(14,17),-1.25677 # DEPENDENCYPART_ARC
(14,18),-1.79541 # DEPENDENCYPART_ARC
(14,19),-1.381 # DEPENDENCYPART_ARC
(15,1),-0.961241 # DEPENDENCYPART_ARC
(15,2),-2.00512 # DEPENDENCYPART_ARC
(15,3),-0.275374 # DEPENDENCYPART_ARC
(15,4),0.0666802 # DEPENDENCYPART_ARC
(15,5),-0.113227 # DEPENDENCYPART_ARC
(15,6),-0.651035 # DEPENDENCYPART_ARC
(15,7),-3.33284 # DEPENDENCYPART_ARC
(15,8),-5.43173 # DEPENDENCYPART_ARC
(15,9),-0.725412 # DEPENDENCYPART_ARC
(15,10),-0.375672 # DEPENDENCYPART_ARC
(15,11),-0.210522 # DEPENDENCYPART_ARC
(15,12),-0.212183 # DEPENDENCYPART_ARC
(15,13),3.0091 # DEPENDENCYPART_ARC
(15,14),3.63878 # DEPENDENCYPART_ARC
(15,16),-0.0784705 # DEPENDENCYPART_ARC
(15,17),-0.807306 # DEPENDENCYPART_ARC
(15,18),-1.03895 # DEPENDENCYPART_ARC
(15,19),-0.424351 # DEPENDENCYPART_ARC
(17,1),-2.02948 # DEPENDENCYPART_ARC
(17,2),-0.254985 # DEPENDENCYPART_ARC
(17,3),-0.486338 # DEPENDENCYPART_ARC
(17,4),0.624034 # DEPENDENCYPART_ARC
(17,5),-0.727179 # DEPENDENCYPART_ARC
(17,6),-0.535415 # DEPENDENCYPART_ARC
(17,7),-0.488364 # DEPENDENCYPART_ARC
(17,8),-0.379654 # DEPENDENCYPART_ARC
(17,9),-0.250458 # DEPENDENCYPART_ARC
(17,10),-0.24529 # DEPENDENCYPART_ARC
(17,11),1.15037 # DEPENDENCYPART_ARC
(17,13),-0.616483 # DEPENDENCYPART_ARC
(17,14),-0.138053 # DEPENDENCYPART_ARC
(17,15),-0.341906 # DEPENDENCYPART_ARC
(17,16),1.86172 # DEPENDENCYPART_ARC
(17,18),-0.0800035 # DEPENDENCYPART_ARC
(17,19),1.74439 # DEPENDENCYPART_ARC
(18,1),-1.66866 # DEPENDENCYPART_ARC
(18,2),-1.24752 # DEPENDENCYPART_ARC
(18,3),-1.74927 # DEPENDENCYPART_ARC
(18,4),-0.176839 # DEPENDENCYPART_ARC
(18,5),-0.409681 # DEPENDENCYPART_ARC
(18,6),-0.743644 # DEPENDENCYPART_ARC
(18,7),-2.41656 # DEPENDENCYPART_ARC
(18,8),-0.629066 # DEPENDENCYPART_ARC
(18,9),-0.109469 # DEPENDENCYPART_ARC
(18,10),-0.24823 # DEPENDENCYPART_ARC
(18,11),-0.593167 # DEPENDENCYPART_ARC
(18,12),0.266884 # DEPENDENCYPART_ARC
(18,13),0.0638572 # DEPENDENCYPART_ARC
(18,14),0.102144 # DEPENDENCYPART_ARC
(18,15),-0.124719 # DEPENDENCYPART_ARC
(18,16),1.00846 # DEPENDENCYPART_ARC
(18,17),1.2695 # DEPENDENCYPART_ARC
(18,19),1.16281 # DEPENDENCYPART_ARC
