# _root_ Egybehangzó kommentárok szerint az együttes nemcsak hogy hullámvölgybe került , hanem alapjaiban rendült meg , sőt széthullóban van .
#goldHeads=2,3,9,5,9,9,9,9,16,16,16,13,16,13,16,0,18,16,16,
#predictedHeads=2,3,9,5,9,9,9,9,11,11,13,13,16,13,13,0,18,16,11,
(4,11),-1.02523 # DEPENDENCYPART_ARC
(4,12),-1.94642 # DEPENDENCYPART_ARC
(4,15),-0.572823 # DEPENDENCYPART_ARC
(4,16),-1.17752 # DEPENDENCYPART_ARC
(4,17),-1.63801 # DEPENDENCYPART_ARC
(5,1),-0.510478 # DEPENDENCYPART_ARC
(5,2),-1.85297 # DEPENDENCYPART_ARC
(5,3),-0.479654 # DEPENDENCYPART_ARC
(5,4),3.15133 # DEPENDENCYPART_ARC
(5,6),-0.861749 # DEPENDENCYPART_ARC
(5,7),-1.41616 # DEPENDENCYPART_ARC
(5,8),-1.87247 # DEPENDENCYPART_ARC
(5,9),-1.03256 # DEPENDENCYPART_ARC
(5,10),-0.93439 # DEPENDENCYPART_ARC
(5,11),-1.04857 # DEPENDENCYPART_ARC
(5,12),-3.16959 # DEPENDENCYPART_ARC
(5,13),-1.59071 # DEPENDENCYPART_ARC
(5,14),-1.12635 # DEPENDENCYPART_ARC
(5,15),-1.02444 # DEPENDENCYPART_ARC
(5,16),-1.23279 # DEPENDENCYPART_ARC
(5,17),-2.20561 # DEPENDENCYPART_ARC
(5,18),-2.11544 # DEPENDENCYPART_ARC
(5,19),-0.612368 # DEPENDENCYPART_ARC
(6,1),-1.41194 # DEPENDENCYPART_ARC
(6,2),-1.42783 # DEPENDENCYPART_ARC
(6,3),-0.901952 # DEPENDENCYPART_ARC
(6,4),-1.06363 # DEPENDENCYPART_ARC
(6,5),-0.695426 # DEPENDENCYPART_ARC
(6,7),-0.801962 # DEPENDENCYPART_ARC
(6,8),-1.52486 # DEPENDENCYPART_ARC
(6,9),-0.973741 # DEPENDENCYPART_ARC
(6,10),-1.08858 # DEPENDENCYPART_ARC
(6,11),-1.29334 # DEPENDENCYPART_ARC
(6,12),-2.4207 # DEPENDENCYPART_ARC
(6,13),-1.82961 # DEPENDENCYPART_ARC
(6,15),-1.21856 # DEPENDENCYPART_ARC
(6,16),-1.54 # DEPENDENCYPART_ARC
(6,17),-2.33633 # DEPENDENCYPART_ARC
(6,18),-2.44778 # DEPENDENCYPART_ARC
(6,19),-1.19786 # DEPENDENCYPART_ARC
(7,1),0.106654 # DEPENDENCYPART_ARC
(7,2),-0.44118 # DEPENDENCYPART_ARC
(7,3),-0.105645 # DEPENDENCYPART_ARC
(7,4),-0.394349 # DEPENDENCYPART_ARC
(7,5),0.0710663 # DEPENDENCYPART_ARC
(7,6),0.394071 # DEPENDENCYPART_ARC
(7,8),-1.09242 # DEPENDENCYPART_ARC
(7,9),0.209815 # DEPENDENCYPART_ARC
(7,10),-0.219271 # DEPENDENCYPART_ARC
(7,11),-0.248856 # DEPENDENCYPART_ARC
(7,12),-1.94626 # DEPENDENCYPART_ARC
(7,13),-0.745691 # DEPENDENCYPART_ARC
(7,14),-0.915207 # DEPENDENCYPART_ARC
(7,15),-0.321893 # DEPENDENCYPART_ARC
(7,16),-0.529142 # DEPENDENCYPART_ARC
(7,17),-1.51889 # DEPENDENCYPART_ARC
(7,18),-1.26149 # DEPENDENCYPART_ARC
(7,19),0.10385 # DEPENDENCYPART_ARC
(8,1),-1.32355 # DEPENDENCYPART_ARC
(8,2),-2.79052 # DEPENDENCYPART_ARC
(8,3),-1.14302 # DEPENDENCYPART_ARC
(8,4),-0.443936 # DEPENDENCYPART_ARC
(8,5),-0.780965 # DEPENDENCYPART_ARC
(8,6),-0.462399 # DEPENDENCYPART_ARC
(8,7),-0.329503 # DEPENDENCYPART_ARC
(8,9),-0.0845659 # DEPENDENCYPART_ARC
(8,10),-0.524094 # DEPENDENCYPART_ARC
(8,11),-0.497376 # DEPENDENCYPART_ARC
(8,12),-1.76722 # DEPENDENCYPART_ARC
(8,13),-0.736392 # DEPENDENCYPART_ARC
(8,14),-0.958405 # DEPENDENCYPART_ARC
(8,15),-0.584403 # DEPENDENCYPART_ARC
(8,16),-0.662429 # DEPENDENCYPART_ARC
(8,17),-1.63395 # DEPENDENCYPART_ARC
(8,18),-1.33065 # DEPENDENCYPART_ARC
(8,19),-0.11105 # DEPENDENCYPART_ARC
(9,1),-0.019358 # DEPENDENCYPART_ARC
(9,2),0.521399 # DEPENDENCYPART_ARC
(9,3),2.31737 # DEPENDENCYPART_ARC
(9,4),-0.127588 # DEPENDENCYPART_ARC
(9,5),2.157 # DEPENDENCYPART_ARC
(9,6),2.49686 # DEPENDENCYPART_ARC
(9,7),1.30345 # DEPENDENCYPART_ARC
(9,8),3.34228 # DEPENDENCYPART_ARC
(9,10),1.29493 # DEPENDENCYPART_ARC
(9,11),0.64861 # DEPENDENCYPART_ARC
(9,12),-0.535679 # DEPENDENCYPART_ARC
(9,13),1.28016 # DEPENDENCYPART_ARC
(9,14),0.777477 # DEPENDENCYPART_ARC
(9,15),0.421441 # DEPENDENCYPART_ARC
(9,16),0.13198 # DEPENDENCYPART_ARC
(9,17),0.0293381 # DEPENDENCYPART_ARC
(9,18),0.0869634 # DEPENDENCYPART_ARC
(9,19),1.71429 # DEPENDENCYPART_ARC
(11,1),-0.436019 # DEPENDENCYPART_ARC
(11,2),-0.973112 # DEPENDENCYPART_ARC
(11,3),-0.31404 # DEPENDENCYPART_ARC
(11,4),-0.421711 # DEPENDENCYPART_ARC
(11,5),-1.24881 # DEPENDENCYPART_ARC
(11,6),0.307127 # DEPENDENCYPART_ARC
(11,7),0.520246 # DEPENDENCYPART_ARC
(11,8),-0.778054 # DEPENDENCYPART_ARC
(11,9),2.11909 # DEPENDENCYPART_ARC
(11,10),1.61883 # DEPENDENCYPART_ARC
(11,12),-0.158197 # DEPENDENCYPART_ARC
(11,13),1.68634 # DEPENDENCYPART_ARC
(11,15),0.246335 # DEPENDENCYPART_ARC
(11,16),0.121305 # DEPENDENCYPART_ARC
(11,17),-0.846546 # DEPENDENCYPART_ARC
(11,18),0.239973 # DEPENDENCYPART_ARC
(11,19),2.5676 # DEPENDENCYPART_ARC
(12,1),-1.59751 # DEPENDENCYPART_ARC
(12,2),-0.31314 # DEPENDENCYPART_ARC
(12,3),-0.851946 # DEPENDENCYPART_ARC
(12,4),-1.83036 # DEPENDENCYPART_ARC
(12,5),-0.138126 # DEPENDENCYPART_ARC
(12,6),-0.596727 # DEPENDENCYPART_ARC
(12,7),-1.49571 # DEPENDENCYPART_ARC
(12,8),-1.28518 # DEPENDENCYPART_ARC
(12,9),-2.76862 # DEPENDENCYPART_ARC
(12,10),0.187486 # DEPENDENCYPART_ARC
(12,11),0.717566 # DEPENDENCYPART_ARC
(12,13),-0.821122 # DEPENDENCYPART_ARC
(12,14),-0.935273 # DEPENDENCYPART_ARC
(12,15),-0.503423 # DEPENDENCYPART_ARC
(12,16),-0.770292 # DEPENDENCYPART_ARC
(12,17),-1.1484 # DEPENDENCYPART_ARC
(12,18),-2.26555 # DEPENDENCYPART_ARC
(12,19),-0.212289 # DEPENDENCYPART_ARC
(13,1),-0.913329 # DEPENDENCYPART_ARC
(13,2),-0.528304 # DEPENDENCYPART_ARC
(13,3),1.29007 # DEPENDENCYPART_ARC
(13,4),-0.462021 # DEPENDENCYPART_ARC
(13,5),0.85798 # DEPENDENCYPART_ARC
(13,6),1.86342 # DEPENDENCYPART_ARC
(13,7),1.17538 # DEPENDENCYPART_ARC
(13,8),1.21604 # DEPENDENCYPART_ARC
(13,9),0.0017114 # DEPENDENCYPART_ARC
(13,10),1.12525 # DEPENDENCYPART_ARC
(13,11),1.95481 # DEPENDENCYPART_ARC
(13,12),3.87023 # DEPENDENCYPART_ARC
(13,14),3.41967 # DEPENDENCYPART_ARC
(13,15),1.69137 # DEPENDENCYPART_ARC
(13,16),0.690994 # DEPENDENCYPART_ARC
(13,17),0.948787 # DEPENDENCYPART_ARC
(13,18),1.17185 # DEPENDENCYPART_ARC
(13,19),1.59727 # DEPENDENCYPART_ARC
(14,1),-1.14997 # DEPENDENCYPART_ARC
(14,2),-1.21623 # DEPENDENCYPART_ARC
(14,3),-0.822378 # DEPENDENCYPART_ARC
(14,5),-0.933281 # DEPENDENCYPART_ARC
(14,6),-0.445193 # DEPENDENCYPART_ARC
(14,7),-0.570924 # DEPENDENCYPART_ARC
(14,8),-0.744258 # DEPENDENCYPART_ARC
(14,9),-1.02931 # DEPENDENCYPART_ARC
(14,10),-0.562266 # DEPENDENCYPART_ARC
(14,11),-0.0844161 # DEPENDENCYPART_ARC
(14,12),0.0840034 # DEPENDENCYPART_ARC
(14,13),-0.0697567 # DEPENDENCYPART_ARC
(14,15),-0.494756 # DEPENDENCYPART_ARC
(14,16),-0.381938 # DEPENDENCYPART_ARC
(14,17),-0.76452 # DEPENDENCYPART_ARC
(14,18),-0.442212 # DEPENDENCYPART_ARC
(14,19),-0.744959 # DEPENDENCYPART_ARC
(16,1),-0.390877 # DEPENDENCYPART_ARC
(16,2),-1.21876 # DEPENDENCYPART_ARC
(16,3),-0.243721 # DEPENDENCYPART_ARC
(16,4),-0.772119 # DEPENDENCYPART_ARC
(16,5),-1.4364 # DEPENDENCYPART_ARC
(16,6),0.970665 # DEPENDENCYPART_ARC
(16,7),1.01074 # DEPENDENCYPART_ARC
(16,8),-1.14888 # DEPENDENCYPART_ARC
(16,9),1.61914 # DEPENDENCYPART_ARC
(16,10),1.25588 # DEPENDENCYPART_ARC
(16,11),0.899978 # DEPENDENCYPART_ARC
(16,12),-0.474133 # DEPENDENCYPART_ARC
(16,13),2.26414 # DEPENDENCYPART_ARC
(16,15),1.5542 # DEPENDENCYPART_ARC
(16,17),-0.229276 # DEPENDENCYPART_ARC
(16,18),1.79427 # DEPENDENCYPART_ARC
(16,19),2.37016 # DEPENDENCYPART_ARC
(17,1),-2.38186 # DEPENDENCYPART_ARC
(17,2),-3.86086 # DEPENDENCYPART_ARC
(17,3),-1.91487 # DEPENDENCYPART_ARC
(17,4),-1.43313 # DEPENDENCYPART_ARC
(17,5),-3.13386 # DEPENDENCYPART_ARC
(17,6),-1.34228 # DEPENDENCYPART_ARC
(17,7),-1.16831 # DEPENDENCYPART_ARC
(17,8),-2.34157 # DEPENDENCYPART_ARC
(17,9),-2.23129 # DEPENDENCYPART_ARC
(17,10),-0.914681 # DEPENDENCYPART_ARC
(17,11),-1.26967 # DEPENDENCYPART_ARC
(17,12),-2.40331 # DEPENDENCYPART_ARC
(17,13),-1.64661 # DEPENDENCYPART_ARC
(17,14),-0.0326174 # DEPENDENCYPART_ARC
(17,15),-0.199376 # DEPENDENCYPART_ARC
(17,16),-0.20034 # DEPENDENCYPART_ARC
(17,18),-0.0795182 # DEPENDENCYPART_ARC
(17,19),-0.251368 # DEPENDENCYPART_ARC
(18,1),-1.4744 # DEPENDENCYPART_ARC
(18,2),-1.01499 # DEPENDENCYPART_ARC
(18,3),0.253075 # DEPENDENCYPART_ARC
(18,4),-0.59294 # DEPENDENCYPART_ARC
(18,5),-0.218814 # DEPENDENCYPART_ARC
(18,6),0.813055 # DEPENDENCYPART_ARC
(18,7),1.15204 # DEPENDENCYPART_ARC
(18,8),0.361011 # DEPENDENCYPART_ARC
(18,9),-0.520247 # DEPENDENCYPART_ARC
(18,10),0.317484 # DEPENDENCYPART_ARC
(18,11),1.21367 # DEPENDENCYPART_ARC
(18,12),1.63604 # DEPENDENCYPART_ARC
(18,13),0.13966 # DEPENDENCYPART_ARC
(18,14),1.01273 # DEPENDENCYPART_ARC
(18,15),1.09269 # DEPENDENCYPART_ARC
(18,16),1.95816 # DEPENDENCYPART_ARC
(18,17),3.36659 # DEPENDENCYPART_ARC
(18,19),1.65007 # DEPENDENCYPART_ARC
