# _root_ Egymillió forint körüli összeget zsákmányolt az a férfi , aki péntek délben kirabolta a főváros XI. kerületében , a Bartók_Béla_úton lévő egyik postahivatalt .
#goldHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,21,21,20,21,23,23,13,5,
#predictedHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,13,13,20,21,23,23,13,5,
(1,15),-2.05949 # DEPENDENCYPART_ARC
(1,16),-1.39078 # DEPENDENCYPART_ARC
(1,17),-2.1956 # DEPENDENCYPART_ARC
(1,18),-0.545088 # DEPENDENCYPART_ARC
(1,19),-1.72483 # DEPENDENCYPART_ARC
(1,20),-2.9139 # DEPENDENCYPART_ARC
(1,21),-1.6873 # DEPENDENCYPART_ARC
(1,22),-1.8821 # DEPENDENCYPART_ARC
(1,23),-3.14851 # DEPENDENCYPART_ARC
(1,24),0.364561 # DEPENDENCYPART_ARC
(2,1),2.9561 # DEPENDENCYPART_ARC
(2,3),-0.694247 # DEPENDENCYPART_ARC
(2,4),-0.597537 # DEPENDENCYPART_ARC
(2,5),-0.379258 # DEPENDENCYPART_ARC
(2,6),-1.6685 # DEPENDENCYPART_ARC
(2,7),-1.24881 # DEPENDENCYPART_ARC
(2,8),-1.02652 # DEPENDENCYPART_ARC
(2,9),-0.188076 # DEPENDENCYPART_ARC
(2,10),-1.83831 # DEPENDENCYPART_ARC
(2,11),-1.43671 # DEPENDENCYPART_ARC
(2,12),-1.64817 # DEPENDENCYPART_ARC
(2,13),-0.466055 # DEPENDENCYPART_ARC
(2,14),-1.51627 # DEPENDENCYPART_ARC
(2,15),-1.74571 # DEPENDENCYPART_ARC
(2,16),-1.2211 # DEPENDENCYPART_ARC
(2,17),-2.02742 # DEPENDENCYPART_ARC
(2,18),-0.318771 # DEPENDENCYPART_ARC
(2,19),-1.5646 # DEPENDENCYPART_ARC
(2,20),-2.47489 # DEPENDENCYPART_ARC
(2,21),-2.11855 # DEPENDENCYPART_ARC
(2,22),-1.92177 # DEPENDENCYPART_ARC
(2,23),-2.64578 # DEPENDENCYPART_ARC
(2,24),1.22089 # DEPENDENCYPART_ARC
(3,1),0.896947 # DEPENDENCYPART_ARC
(3,2),2.60084 # DEPENDENCYPART_ARC
(3,4),-1.01042 # DEPENDENCYPART_ARC
(3,5),-0.549292 # DEPENDENCYPART_ARC
(3,6),-1.67141 # DEPENDENCYPART_ARC
(3,7),-1.50497 # DEPENDENCYPART_ARC
(3,8),-1.27567 # DEPENDENCYPART_ARC
(3,9),-0.41699 # DEPENDENCYPART_ARC
(3,10),-1.8528 # DEPENDENCYPART_ARC
(3,11),-1.75566 # DEPENDENCYPART_ARC
(3,12),-1.68892 # DEPENDENCYPART_ARC
(3,13),-0.879743 # DEPENDENCYPART_ARC
(3,14),-1.71042 # DEPENDENCYPART_ARC
(3,15),-2.0831 # DEPENDENCYPART_ARC
(3,16),-1.25739 # DEPENDENCYPART_ARC
(3,17),-2.06753 # DEPENDENCYPART_ARC
(3,18),-0.635154 # DEPENDENCYPART_ARC
(3,19),-1.80221 # DEPENDENCYPART_ARC
(3,20),-1.9951 # DEPENDENCYPART_ARC
(3,21),-2.02111 # DEPENDENCYPART_ARC
(3,22),-2.00561 # DEPENDENCYPART_ARC
(3,23),-2.85241 # DEPENDENCYPART_ARC
(3,24),0.341297 # DEPENDENCYPART_ARC
(4,1),0.916795 # DEPENDENCYPART_ARC
(4,2),1.4425 # DEPENDENCYPART_ARC
(4,3),3.36658 # DEPENDENCYPART_ARC
(4,5),-0.730358 # DEPENDENCYPART_ARC
(4,6),-2.09761 # DEPENDENCYPART_ARC
(4,7),-1.22486 # DEPENDENCYPART_ARC
(4,8),-1.63753 # DEPENDENCYPART_ARC
(4,9),-0.625517 # DEPENDENCYPART_ARC
(4,10),-2.32136 # DEPENDENCYPART_ARC
(4,11),-2.19799 # DEPENDENCYPART_ARC
(4,12),-2.17186 # DEPENDENCYPART_ARC
(4,13),-0.970903 # DEPENDENCYPART_ARC
(4,14),-1.512 # DEPENDENCYPART_ARC
(4,15),-2.51893 # DEPENDENCYPART_ARC
(4,16),-1.62807 # DEPENDENCYPART_ARC
(4,17),-2.53438 # DEPENDENCYPART_ARC
(4,18),-0.703012 # DEPENDENCYPART_ARC
(4,19),-1.73404 # DEPENDENCYPART_ARC
(4,20),-2.85522 # DEPENDENCYPART_ARC
(4,21),-2.3268 # DEPENDENCYPART_ARC
(4,22),-2.44251 # DEPENDENCYPART_ARC
(4,23),-2.67271 # DEPENDENCYPART_ARC
(4,24),0.833992 # DEPENDENCYPART_ARC
(5,1),0.219505 # DEPENDENCYPART_ARC
(5,2),1.191 # DEPENDENCYPART_ARC
(5,3),0.881657 # DEPENDENCYPART_ARC
(5,4),2.55909 # DEPENDENCYPART_ARC
(5,6),0.768903 # DEPENDENCYPART_ARC
(5,7),0.303695 # DEPENDENCYPART_ARC
(5,8),2.4217 # DEPENDENCYPART_ARC
(5,9),2.14221 # DEPENDENCYPART_ARC
(5,10),-0.183514 # DEPENDENCYPART_ARC
(5,11),0.0170918 # DEPENDENCYPART_ARC
(5,12),0.156878 # DEPENDENCYPART_ARC
(5,13),0.903735 # DEPENDENCYPART_ARC
(5,14),-0.52135 # DEPENDENCYPART_ARC
(5,15),-0.819371 # DEPENDENCYPART_ARC
(5,16),-0.467193 # DEPENDENCYPART_ARC
(5,17),0.807198 # DEPENDENCYPART_ARC
(5,18),0.952632 # DEPENDENCYPART_ARC
(5,19),-0.493158 # DEPENDENCYPART_ARC
(5,20),-1.5048 # DEPENDENCYPART_ARC
(5,21),-1.0411 # DEPENDENCYPART_ARC
(5,22),-0.991829 # DEPENDENCYPART_ARC
(5,23),-0.924907 # DEPENDENCYPART_ARC
(5,24),3.19529 # DEPENDENCYPART_ARC
(6,1),-0.750941 # DEPENDENCYPART_ARC
(6,2),-0.959824 # DEPENDENCYPART_ARC
(6,3),-1.05668 # DEPENDENCYPART_ARC
(6,4),-1.33944 # DEPENDENCYPART_ARC
(6,5),0.447114 # DEPENDENCYPART_ARC
(6,7),-0.292054 # DEPENDENCYPART_ARC
(6,8),0.6327 # DEPENDENCYPART_ARC
(6,9),0.295098 # DEPENDENCYPART_ARC
(6,10),-0.236894 # DEPENDENCYPART_ARC
(6,11),0.021871 # DEPENDENCYPART_ARC
(6,12),-0.0383451 # DEPENDENCYPART_ARC
(6,13),2.54422 # DEPENDENCYPART_ARC
(6,14),-0.435309 # DEPENDENCYPART_ARC
(6,15),-0.0872198 # DEPENDENCYPART_ARC
(6,17),-0.0552071 # DEPENDENCYPART_ARC
(6,18),0.231335 # DEPENDENCYPART_ARC
(6,19),-0.617097 # DEPENDENCYPART_ARC
(6,20),-0.499896 # DEPENDENCYPART_ARC
(6,21),-0.407522 # DEPENDENCYPART_ARC
(6,22),-0.454517 # DEPENDENCYPART_ARC
(6,23),-0.718324 # DEPENDENCYPART_ARC
(6,24),1.07354 # DEPENDENCYPART_ARC
(7,2),-2.82367 # DEPENDENCYPART_ARC
(7,3),-1.66874 # DEPENDENCYPART_ARC
(7,4),-2.43845 # DEPENDENCYPART_ARC
(7,8),-0.337963 # DEPENDENCYPART_ARC
(7,9),-0.297371 # DEPENDENCYPART_ARC
(7,11),-1.12374 # DEPENDENCYPART_ARC
(7,12),-1.34751 # DEPENDENCYPART_ARC
(7,15),-1.63296 # DEPENDENCYPART_ARC
(7,16),-0.813871 # DEPENDENCYPART_ARC
(7,17),-2.02127 # DEPENDENCYPART_ARC
(7,18),-0.796598 # DEPENDENCYPART_ARC
(7,20),-2.13452 # DEPENDENCYPART_ARC
(7,21),-1.78502 # DEPENDENCYPART_ARC
(7,23),-2.2856 # DEPENDENCYPART_ARC
(8,1),-0.988935 # DEPENDENCYPART_ARC
(8,2),-2.95773 # DEPENDENCYPART_ARC
(8,3),-1.15664 # DEPENDENCYPART_ARC
(8,4),-4.41492 # DEPENDENCYPART_ARC
(8,5),-0.502372 # DEPENDENCYPART_ARC
(8,6),2.4712 # DEPENDENCYPART_ARC
(8,7),3.60211 # DEPENDENCYPART_ARC
(8,9),0.163849 # DEPENDENCYPART_ARC
(8,10),-1.28627 # DEPENDENCYPART_ARC
(8,11),-0.524487 # DEPENDENCYPART_ARC
(8,12),-0.471966 # DEPENDENCYPART_ARC
(8,13),0.198717 # DEPENDENCYPART_ARC
(8,14),-1.07316 # DEPENDENCYPART_ARC
(8,15),-1.2444 # DEPENDENCYPART_ARC
(8,16),-0.991736 # DEPENDENCYPART_ARC
(8,17),-1.4714 # DEPENDENCYPART_ARC
(8,18),0.142688 # DEPENDENCYPART_ARC
(8,19),-1.29952 # DEPENDENCYPART_ARC
(8,20),-2.21635 # DEPENDENCYPART_ARC
(8,21),-1.8329 # DEPENDENCYPART_ARC
(8,22),-1.68778 # DEPENDENCYPART_ARC
(8,23),-2.46037 # DEPENDENCYPART_ARC
(8,24),0.744221 # DEPENDENCYPART_ARC
(10,2),-1.13121 # DEPENDENCYPART_ARC
(10,3),-1.18505 # DEPENDENCYPART_ARC
(10,4),-1.8025 # DEPENDENCYPART_ARC
(10,8),-0.795413 # DEPENDENCYPART_ARC
(10,11),-0.311056 # DEPENDENCYPART_ARC
(10,12),-0.471768 # DEPENDENCYPART_ARC
(10,15),-0.977976 # DEPENDENCYPART_ARC
(10,17),-1.0601 # DEPENDENCYPART_ARC
(10,20),-1.4488 # DEPENDENCYPART_ARC
(10,21),-1.17982 # DEPENDENCYPART_ARC
(10,23),-1.93416 # DEPENDENCYPART_ARC
(11,1),-2.37301 # DEPENDENCYPART_ARC
(11,2),-4.61328 # DEPENDENCYPART_ARC
(11,3),-2.37931 # DEPENDENCYPART_ARC
(11,4),-6.52321 # DEPENDENCYPART_ARC
(11,5),-2.22433 # DEPENDENCYPART_ARC
(11,6),-1.39943 # DEPENDENCYPART_ARC
(11,7),-0.100966 # DEPENDENCYPART_ARC
(11,8),-2.33233 # DEPENDENCYPART_ARC
(11,9),-1.41735 # DEPENDENCYPART_ARC
(11,10),0.84323 # DEPENDENCYPART_ARC
(11,12),-0.969331 # DEPENDENCYPART_ARC
(11,13),-0.660636 # DEPENDENCYPART_ARC
(11,14),-1.51647 # DEPENDENCYPART_ARC
(11,15),-1.47601 # DEPENDENCYPART_ARC
(11,16),-1.47073 # DEPENDENCYPART_ARC
(11,17),-2.10475 # DEPENDENCYPART_ARC
(11,18),-0.616505 # DEPENDENCYPART_ARC
(11,19),-1.82438 # DEPENDENCYPART_ARC
(11,20),-2.53846 # DEPENDENCYPART_ARC
(11,21),-2.21873 # DEPENDENCYPART_ARC
(11,22),-2.2831 # DEPENDENCYPART_ARC
(11,23),-2.80952 # DEPENDENCYPART_ARC
(11,24),-0.656384 # DEPENDENCYPART_ARC
(12,1),-1.03598 # DEPENDENCYPART_ARC
(12,2),-3.58346 # DEPENDENCYPART_ARC
(12,3),-0.804081 # DEPENDENCYPART_ARC
(12,4),-4.78027 # DEPENDENCYPART_ARC
(12,5),-1.50436 # DEPENDENCYPART_ARC
(12,6),-0.0541864 # DEPENDENCYPART_ARC
(12,7),1.19564 # DEPENDENCYPART_ARC
(12,8),-1.11439 # DEPENDENCYPART_ARC
(12,9),0.514398 # DEPENDENCYPART_ARC
(12,10),0.777287 # DEPENDENCYPART_ARC
(12,11),1.85725 # DEPENDENCYPART_ARC
(12,13),-0.648565 # DEPENDENCYPART_ARC
(12,14),-1.22825 # DEPENDENCYPART_ARC
(12,15),-1.44425 # DEPENDENCYPART_ARC
(12,16),-1.1925 # DEPENDENCYPART_ARC
(12,17),-1.37526 # DEPENDENCYPART_ARC
(12,18),-0.274765 # DEPENDENCYPART_ARC
(12,19),-1.44896 # DEPENDENCYPART_ARC
(12,20),-2.11546 # DEPENDENCYPART_ARC
(12,21),-1.82871 # DEPENDENCYPART_ARC
(12,22),-2.15944 # DEPENDENCYPART_ARC
(12,23),-2.21429 # DEPENDENCYPART_ARC
(12,24),0.0765171 # DEPENDENCYPART_ARC
(13,1),-1.03388 # DEPENDENCYPART_ARC
(13,2),-1.29218 # DEPENDENCYPART_ARC
(13,3),-1.00382 # DEPENDENCYPART_ARC
(13,4),0.931432 # DEPENDENCYPART_ARC
(13,5),-0.327909 # DEPENDENCYPART_ARC
(13,6),-0.355033 # DEPENDENCYPART_ARC
(13,7),-1.0887 # DEPENDENCYPART_ARC
(13,8),0.355105 # DEPENDENCYPART_ARC
(13,9),0.632962 # DEPENDENCYPART_ARC
(13,10),2.4449 # DEPENDENCYPART_ARC
(13,11),1.80345 # DEPENDENCYPART_ARC
(13,12),3.56051 # DEPENDENCYPART_ARC
(13,14),-0.281698 # DEPENDENCYPART_ARC
(13,15),0.723275 # DEPENDENCYPART_ARC
(13,16),-0.407862 # DEPENDENCYPART_ARC
(13,17),1.94197 # DEPENDENCYPART_ARC
(13,18),1.01375 # DEPENDENCYPART_ARC
(13,19),-0.800109 # DEPENDENCYPART_ARC
(13,20),-1.34011 # DEPENDENCYPART_ARC
(13,21),-1.09342 # DEPENDENCYPART_ARC
(13,22),-1.13 # DEPENDENCYPART_ARC
(13,23),1.06373 # DEPENDENCYPART_ARC
(13,24),1.90505 # DEPENDENCYPART_ARC
(14,2),-3.79596 # DEPENDENCYPART_ARC
(14,3),-2.55146 # DEPENDENCYPART_ARC
(14,4),-3.60455 # DEPENDENCYPART_ARC
(14,8),-3.42057 # DEPENDENCYPART_ARC
(14,9),-1.887 # DEPENDENCYPART_ARC
(14,11),-2.9508 # DEPENDENCYPART_ARC
(14,12),-2.68077 # DEPENDENCYPART_ARC
(14,15),-0.454466 # DEPENDENCYPART_ARC
(14,16),-0.162004 # DEPENDENCYPART_ARC
(14,17),-1.39649 # DEPENDENCYPART_ARC
(14,18),-0.55043 # DEPENDENCYPART_ARC
(14,20),-1.65534 # DEPENDENCYPART_ARC
(14,21),-1.19871 # DEPENDENCYPART_ARC
(14,23),-1.96306 # DEPENDENCYPART_ARC
(15,1),-2.47989 # DEPENDENCYPART_ARC
(15,2),-5.1708 # DEPENDENCYPART_ARC
(15,3),-3.03655 # DEPENDENCYPART_ARC
(15,4),-6.74152 # DEPENDENCYPART_ARC
(15,5),-2.20783 # DEPENDENCYPART_ARC
(15,6),-1.61454 # DEPENDENCYPART_ARC
(15,7),-0.74924 # DEPENDENCYPART_ARC
(15,8),-3.84479 # DEPENDENCYPART_ARC
(15,9),-1.90922 # DEPENDENCYPART_ARC
(15,10),-1.7838 # DEPENDENCYPART_ARC
(15,11),-2.74731 # DEPENDENCYPART_ARC
(15,12),-4.10592 # DEPENDENCYPART_ARC
(15,13),-0.0312994 # DEPENDENCYPART_ARC
(15,14),2.93253 # DEPENDENCYPART_ARC
(15,16),-0.635778 # DEPENDENCYPART_ARC
(15,17),-0.49655 # DEPENDENCYPART_ARC
(15,18),0.289967 # DEPENDENCYPART_ARC
(15,19),-1.0602 # DEPENDENCYPART_ARC
(15,20),-1.35442 # DEPENDENCYPART_ARC
(15,21),-1.31202 # DEPENDENCYPART_ARC
(15,22),-1.68842 # DEPENDENCYPART_ARC
(15,23),-1.76289 # DEPENDENCYPART_ARC
(15,24),0.0859604 # DEPENDENCYPART_ARC
(16,2),-2.44928 # DEPENDENCYPART_ARC
(16,3),-2.10684 # DEPENDENCYPART_ARC
(16,4),-2.88393 # DEPENDENCYPART_ARC
(16,5),-1.36552 # DEPENDENCYPART_ARC
(16,7),-0.94201 # DEPENDENCYPART_ARC
(16,8),-1.94601 # DEPENDENCYPART_ARC
(16,9),-1.57375 # DEPENDENCYPART_ARC
(16,11),-1.52185 # DEPENDENCYPART_ARC
(16,12),-1.62028 # DEPENDENCYPART_ARC
(16,13),-0.523091 # DEPENDENCYPART_ARC
(16,14),0.114796 # DEPENDENCYPART_ARC
(16,15),-0.168879 # DEPENDENCYPART_ARC
(16,17),-0.501225 # DEPENDENCYPART_ARC
(16,18),-0.504823 # DEPENDENCYPART_ARC
(16,19),-1.38854 # DEPENDENCYPART_ARC
(16,20),-1.95923 # DEPENDENCYPART_ARC
(16,21),-1.35766 # DEPENDENCYPART_ARC
(16,23),-2.43146 # DEPENDENCYPART_ARC
(16,24),-0.769003 # DEPENDENCYPART_ARC
(17,1),-1.63799 # DEPENDENCYPART_ARC
(17,2),-2.92164 # DEPENDENCYPART_ARC
(17,3),-2.21579 # DEPENDENCYPART_ARC
(17,4),-5.65905 # DEPENDENCYPART_ARC
(17,5),-3.21088 # DEPENDENCYPART_ARC
(17,6),-1.56556 # DEPENDENCYPART_ARC
(17,7),-1.49507 # DEPENDENCYPART_ARC
(17,8),-1.83808 # DEPENDENCYPART_ARC
(17,9),-1.10085 # DEPENDENCYPART_ARC
(17,10),-1.84836 # DEPENDENCYPART_ARC
(17,11),-0.884404 # DEPENDENCYPART_ARC
(17,12),-2.62192 # DEPENDENCYPART_ARC
(17,13),-1.19606 # DEPENDENCYPART_ARC
(17,14),0.827138 # DEPENDENCYPART_ARC
(17,15),2.60366 # DEPENDENCYPART_ARC
(17,16),2.72138 # DEPENDENCYPART_ARC
(17,18),0.223253 # DEPENDENCYPART_ARC
(17,19),-1.15119 # DEPENDENCYPART_ARC
(17,20),-1.07235 # DEPENDENCYPART_ARC
(17,21),-1.06018 # DEPENDENCYPART_ARC
(17,22),-2.26528 # DEPENDENCYPART_ARC
(17,23),-1.43824 # DEPENDENCYPART_ARC
(17,24),0.239125 # DEPENDENCYPART_ARC
(19,2),-3.66143 # DEPENDENCYPART_ARC
(19,3),-2.37633 # DEPENDENCYPART_ARC
(19,4),-3.62626 # DEPENDENCYPART_ARC
(19,8),-3.48703 # DEPENDENCYPART_ARC
(19,9),-1.74026 # DEPENDENCYPART_ARC
(19,11),-3.23733 # DEPENDENCYPART_ARC
(19,12),-3.16606 # DEPENDENCYPART_ARC
(19,15),-2.66066 # DEPENDENCYPART_ARC
(19,16),-1.18708 # DEPENDENCYPART_ARC
(19,17),-2.69041 # DEPENDENCYPART_ARC
(19,18),-0.726476 # DEPENDENCYPART_ARC
(19,20),-0.628488 # DEPENDENCYPART_ARC
(19,21),-0.31253 # DEPENDENCYPART_ARC
(19,23),-1.43192 # DEPENDENCYPART_ARC
(20,1),-3.07374 # DEPENDENCYPART_ARC
(20,2),-6.17083 # DEPENDENCYPART_ARC
(20,3),-4.08369 # DEPENDENCYPART_ARC
(20,4),-7.60066 # DEPENDENCYPART_ARC
(20,5),-3.70387 # DEPENDENCYPART_ARC
(20,6),-2.79161 # DEPENDENCYPART_ARC
(20,7),-1.81544 # DEPENDENCYPART_ARC
(20,8),-4.88586 # DEPENDENCYPART_ARC
(20,9),-2.64039 # DEPENDENCYPART_ARC
(20,10),-3.04336 # DEPENDENCYPART_ARC
(20,11),-4.02921 # DEPENDENCYPART_ARC
(20,12),-5.57431 # DEPENDENCYPART_ARC
(20,13),-2.47153 # DEPENDENCYPART_ARC
(20,14),0.0329243 # DEPENDENCYPART_ARC
(20,15),-1.61437 # DEPENDENCYPART_ARC
(20,16),-0.323295 # DEPENDENCYPART_ARC
(20,17),-3.39702 # DEPENDENCYPART_ARC
(20,18),-0.991102 # DEPENDENCYPART_ARC
(20,19),3.01371 # DEPENDENCYPART_ARC
(20,21),-1.14549 # DEPENDENCYPART_ARC
(20,22),-1.98203 # DEPENDENCYPART_ARC
(20,23),-1.42696 # DEPENDENCYPART_ARC
(20,24),-0.494054 # DEPENDENCYPART_ARC
(21,1),-1.45585 # DEPENDENCYPART_ARC
(21,2),-1.65737 # DEPENDENCYPART_ARC
(21,3),-2.17593 # DEPENDENCYPART_ARC
(21,4),-1.28621 # DEPENDENCYPART_ARC
(21,5),-1.25063 # DEPENDENCYPART_ARC
(21,6),-0.865014 # DEPENDENCYPART_ARC
(21,7),-0.68091 # DEPENDENCYPART_ARC
(21,8),-1.24159 # DEPENDENCYPART_ARC
(21,9),-0.310221 # DEPENDENCYPART_ARC
(21,10),-0.834815 # DEPENDENCYPART_ARC
(21,11),-0.856384 # DEPENDENCYPART_ARC
(21,12),-0.0799543 # DEPENDENCYPART_ARC
(21,13),-0.521503 # DEPENDENCYPART_ARC
(21,14),0.240987 # DEPENDENCYPART_ARC
(21,15),0.0536054 # DEPENDENCYPART_ARC
(21,16),0.05001 # DEPENDENCYPART_ARC
(21,17),1.09139 # DEPENDENCYPART_ARC
(21,18),0.960572 # DEPENDENCYPART_ARC
(21,19),1.38564 # DEPENDENCYPART_ARC
(21,20),2.78158 # DEPENDENCYPART_ARC
(21,22),-0.825307 # DEPENDENCYPART_ARC
(21,23),-0.556838 # DEPENDENCYPART_ARC
(21,24),0.117741 # DEPENDENCYPART_ARC
(22,1),-1.3107 # DEPENDENCYPART_ARC
(22,2),-1.47214 # DEPENDENCYPART_ARC
(22,3),-1.52706 # DEPENDENCYPART_ARC
(22,4),-2.15061 # DEPENDENCYPART_ARC
(22,5),-1.00979 # DEPENDENCYPART_ARC
(22,6),-0.850337 # DEPENDENCYPART_ARC
(22,7),-1.16059 # DEPENDENCYPART_ARC
(22,8),-1.42015 # DEPENDENCYPART_ARC
(22,9),-0.673509 # DEPENDENCYPART_ARC
(22,11),-1.28232 # DEPENDENCYPART_ARC
(22,12),-1.20478 # DEPENDENCYPART_ARC
(22,13),-0.174002 # DEPENDENCYPART_ARC
(22,14),-0.368421 # DEPENDENCYPART_ARC
(22,15),-0.899824 # DEPENDENCYPART_ARC
(22,17),-1.07775 # DEPENDENCYPART_ARC
(22,18),-0.218221 # DEPENDENCYPART_ARC
(22,19),0.101155 # DEPENDENCYPART_ARC
(22,20),-0.679424 # DEPENDENCYPART_ARC
(22,21),0.051698 # DEPENDENCYPART_ARC
(22,23),-0.629038 # DEPENDENCYPART_ARC
(22,24),-0.706232 # DEPENDENCYPART_ARC
(23,1),-2.62362 # DEPENDENCYPART_ARC
(23,2),-5.41098 # DEPENDENCYPART_ARC
(23,3),-2.79344 # DEPENDENCYPART_ARC
(23,4),-6.23571 # DEPENDENCYPART_ARC
(23,5),-2.37853 # DEPENDENCYPART_ARC
(23,6),-2.1208 # DEPENDENCYPART_ARC
(23,7),-1.54126 # DEPENDENCYPART_ARC
(23,8),-3.90361 # DEPENDENCYPART_ARC
(23,9),-1.63823 # DEPENDENCYPART_ARC
(23,10),-1.62636 # DEPENDENCYPART_ARC
(23,11),-3.36921 # DEPENDENCYPART_ARC
(23,12),-4.85404 # DEPENDENCYPART_ARC
(23,13),-1.19154 # DEPENDENCYPART_ARC
(23,14),0.433869 # DEPENDENCYPART_ARC
(23,15),-1.04977 # DEPENDENCYPART_ARC
(23,16),-0.121821 # DEPENDENCYPART_ARC
(23,17),-3.14065 # DEPENDENCYPART_ARC
(23,18),-0.020262 # DEPENDENCYPART_ARC
(23,19),1.2953 # DEPENDENCYPART_ARC
(23,20),-1.23957 # DEPENDENCYPART_ARC
(23,21),2.017 # DEPENDENCYPART_ARC
(23,22),3.34023 # DEPENDENCYPART_ARC
(23,24),0.0769661 # DEPENDENCYPART_ARC
