# _root_ Szerinte a tudomány egyrészt az élet minden szférájába behatolt , másrészt viszont lekerült arról a piedesztálról , amelyre a felvilágosodás korában állították .
#goldHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,9,
#predictedHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,13,
(6,7),-1.32743 # DEPENDENCYPART_ARC
(6,8),-0.976822 # DEPENDENCYPART_ARC
(6,9),-0.0544348 # DEPENDENCYPART_ARC
(6,10),-0.23655 # DEPENDENCYPART_ARC
(6,11),-0.873463 # DEPENDENCYPART_ARC
(6,12),-0.654468 # DEPENDENCYPART_ARC
(6,13),-0.727385 # DEPENDENCYPART_ARC
(6,14),-1.95555 # DEPENDENCYPART_ARC
(6,15),-1.25757 # DEPENDENCYPART_ARC
(6,16),-2.79491 # DEPENDENCYPART_ARC
(6,17),-0.342287 # DEPENDENCYPART_ARC
(6,18),-2.05052 # DEPENDENCYPART_ARC
(6,19),-1.46743 # DEPENDENCYPART_ARC
(6,20),-2.3935 # DEPENDENCYPART_ARC
(6,21),-2.72134 # DEPENDENCYPART_ARC
(6,22),-0.450266 # DEPENDENCYPART_ARC
(6,23),1.13127 # DEPENDENCYPART_ARC
(7,3),-0.925444 # DEPENDENCYPART_ARC
(7,6),-0.328798 # DEPENDENCYPART_ARC
(7,8),-0.526093 # DEPENDENCYPART_ARC
(7,10),-0.374979 # DEPENDENCYPART_ARC
(7,12),-0.7629 # DEPENDENCYPART_ARC
(7,16),-1.20615 # DEPENDENCYPART_ARC
(7,17),-0.238925 # DEPENDENCYPART_ARC
(7,20),-1.23758 # DEPENDENCYPART_ARC
(7,21),-1.23575 # DEPENDENCYPART_ARC
(7,23),-0.242497 # DEPENDENCYPART_ARC
(8,1),-0.524643 # DEPENDENCYPART_ARC
(8,2),-1.10198 # DEPENDENCYPART_ARC
(8,3),-0.287077 # DEPENDENCYPART_ARC
(8,4),-0.066545 # DEPENDENCYPART_ARC
(8,5),0.173765 # DEPENDENCYPART_ARC
(8,6),2.10516 # DEPENDENCYPART_ARC
(8,7),2.92025 # DEPENDENCYPART_ARC
(8,9),-0.383922 # DEPENDENCYPART_ARC
(8,10),-0.704801 # DEPENDENCYPART_ARC
(8,11),-1.10915 # DEPENDENCYPART_ARC
(8,12),-0.838746 # DEPENDENCYPART_ARC
(8,13),-1.09572 # DEPENDENCYPART_ARC
(8,14),-2.84718 # DEPENDENCYPART_ARC
(8,15),-1.69732 # DEPENDENCYPART_ARC
(8,16),-3.4846 # DEPENDENCYPART_ARC
(8,17),-0.775554 # DEPENDENCYPART_ARC
(8,18),-2.95775 # DEPENDENCYPART_ARC
(8,19),-1.87676 # DEPENDENCYPART_ARC
(8,20),-2.97971 # DEPENDENCYPART_ARC
(8,21),-3.20575 # DEPENDENCYPART_ARC
(8,22),-1.33756 # DEPENDENCYPART_ARC
(8,23),0.526864 # DEPENDENCYPART_ARC
(9,1),2.0372 # DEPENDENCYPART_ARC
(9,2),-1.00994 # DEPENDENCYPART_ARC
(9,3),1.53751 # DEPENDENCYPART_ARC
(9,4),1.93559 # DEPENDENCYPART_ARC
(9,5),-0.421581 # DEPENDENCYPART_ARC
(9,6),1.87681 # DEPENDENCYPART_ARC
(9,7),0.963365 # DEPENDENCYPART_ARC
(9,8),3.39508 # DEPENDENCYPART_ARC
(9,10),1.37218 # DEPENDENCYPART_ARC
(9,11),0.486569 # DEPENDENCYPART_ARC
(9,12),0.452349 # DEPENDENCYPART_ARC
(9,13),0.983908 # DEPENDENCYPART_ARC
(9,14),-1.18902 # DEPENDENCYPART_ARC
(9,15),-0.970166 # DEPENDENCYPART_ARC
(9,16),-1.21576 # DEPENDENCYPART_ARC
(9,17),0.389846 # DEPENDENCYPART_ARC
(9,18),-1.90647 # DEPENDENCYPART_ARC
(9,19),-0.980859 # DEPENDENCYPART_ARC
(9,20),-3.03515 # DEPENDENCYPART_ARC
(9,21),-2.46825 # DEPENDENCYPART_ARC
(9,22),0.60869 # DEPENDENCYPART_ARC
(9,23),2.61104 # DEPENDENCYPART_ARC
(11,3),-1.17281 # DEPENDENCYPART_ARC
(11,6),-1.00873 # DEPENDENCYPART_ARC
(11,8),-0.566908 # DEPENDENCYPART_ARC
(11,10),-0.186881 # DEPENDENCYPART_ARC
(11,16),-0.902966 # DEPENDENCYPART_ARC
(11,17),-0.352692 # DEPENDENCYPART_ARC
(11,20),-1.66219 # DEPENDENCYPART_ARC
(11,21),-1.65026 # DEPENDENCYPART_ARC
(11,23),0.483026 # DEPENDENCYPART_ARC
(12,1),-0.973211 # DEPENDENCYPART_ARC
(12,2),-1.96929 # DEPENDENCYPART_ARC
(12,3),-1.3663 # DEPENDENCYPART_ARC
(12,4),-1.17748 # DEPENDENCYPART_ARC
(12,5),-1.38158 # DEPENDENCYPART_ARC
(12,6),-1.45284 # DEPENDENCYPART_ARC
(12,7),-1.50104 # DEPENDENCYPART_ARC
(12,8),-1.65081 # DEPENDENCYPART_ARC
(12,9),0.37765 # DEPENDENCYPART_ARC
(12,10),0.207651 # DEPENDENCYPART_ARC
(12,11),0.455426 # DEPENDENCYPART_ARC
(12,13),0.853636 # DEPENDENCYPART_ARC
(12,14),-1.03214 # DEPENDENCYPART_ARC
(12,15),-0.876965 # DEPENDENCYPART_ARC
(12,16),-0.353075 # DEPENDENCYPART_ARC
(12,17),0.151223 # DEPENDENCYPART_ARC
(12,18),-1.22624 # DEPENDENCYPART_ARC
(12,19),-1.14068 # DEPENDENCYPART_ARC
(12,20),-1.00839 # DEPENDENCYPART_ARC
(12,21),-1.23802 # DEPENDENCYPART_ARC
(12,22),-0.494991 # DEPENDENCYPART_ARC
(12,23),1.54106 # DEPENDENCYPART_ARC
(13,1),0.651558 # DEPENDENCYPART_ARC
(13,2),-1.70162 # DEPENDENCYPART_ARC
(13,3),0.459756 # DEPENDENCYPART_ARC
(13,4),0.360643 # DEPENDENCYPART_ARC
(13,5),-1.12257 # DEPENDENCYPART_ARC
(13,6),0.239045 # DEPENDENCYPART_ARC
(13,7),-1.39703 # DEPENDENCYPART_ARC
(13,8),0.664369 # DEPENDENCYPART_ARC
(13,9),-0.431984 # DEPENDENCYPART_ARC
(13,10),0.753297 # DEPENDENCYPART_ARC
(13,11),1.93234 # DEPENDENCYPART_ARC
(13,12),2.386 # DEPENDENCYPART_ARC
(13,14),1.23817 # DEPENDENCYPART_ARC
(13,15),0.458521 # DEPENDENCYPART_ARC
(13,16),2.51134 # DEPENDENCYPART_ARC
(13,17),2.08532 # DEPENDENCYPART_ARC
(13,18),-0.0905214 # DEPENDENCYPART_ARC
(13,19),-0.0796506 # DEPENDENCYPART_ARC
(13,20),0.0151076 # DEPENDENCYPART_ARC
(13,21),0.645743 # DEPENDENCYPART_ARC
(13,22),1.5559 # DEPENDENCYPART_ARC
(13,23),2.64283 # DEPENDENCYPART_ARC
(14,1),-0.768421 # DEPENDENCYPART_ARC
(14,2),-1.05776 # DEPENDENCYPART_ARC
(14,3),-1.4244 # DEPENDENCYPART_ARC
(14,5),-0.887066 # DEPENDENCYPART_ARC
(14,6),-1.41533 # DEPENDENCYPART_ARC
(14,7),-0.988132 # DEPENDENCYPART_ARC
(14,8),-1.58972 # DEPENDENCYPART_ARC
(14,9),-0.262539 # DEPENDENCYPART_ARC
(14,10),-0.481656 # DEPENDENCYPART_ARC
(14,12),-0.695909 # DEPENDENCYPART_ARC
(14,13),0.639398 # DEPENDENCYPART_ARC
(14,15),-0.167981 # DEPENDENCYPART_ARC
(14,16),0.763631 # DEPENDENCYPART_ARC
(14,17),0.512965 # DEPENDENCYPART_ARC
(14,18),-0.244004 # DEPENDENCYPART_ARC
(14,19),-0.400601 # DEPENDENCYPART_ARC
(14,20),0.400895 # DEPENDENCYPART_ARC
(14,21),0.238323 # DEPENDENCYPART_ARC
(14,22),2.74621 # DEPENDENCYPART_ARC
(14,23),1.01378 # DEPENDENCYPART_ARC
(15,3),-3.50919 # DEPENDENCYPART_ARC
(15,6),-3.32334 # DEPENDENCYPART_ARC
(15,8),-3.64192 # DEPENDENCYPART_ARC
(15,10),-1.43038 # DEPENDENCYPART_ARC
(15,12),-1.31017 # DEPENDENCYPART_ARC
(15,16),-0.539919 # DEPENDENCYPART_ARC
(15,17),-0.393065 # DEPENDENCYPART_ARC
(15,20),-1.333 # DEPENDENCYPART_ARC
(15,21),-1.98005 # DEPENDENCYPART_ARC
(16,1),-2.09758 # DEPENDENCYPART_ARC
(16,2),-2.0651 # DEPENDENCYPART_ARC
(16,3),-4.65075 # DEPENDENCYPART_ARC
(16,4),-1.99723 # DEPENDENCYPART_ARC
(16,5),-1.00995 # DEPENDENCYPART_ARC
(16,6),-3.41782 # DEPENDENCYPART_ARC
(16,7),-1.2653 # DEPENDENCYPART_ARC
(16,8),-4.81627 # DEPENDENCYPART_ARC
(16,9),-1.83781 # DEPENDENCYPART_ARC
(16,10),-1.73555 # DEPENDENCYPART_ARC
(16,11),-1.21931 # DEPENDENCYPART_ARC
(16,12),-1.26154 # DEPENDENCYPART_ARC
(16,13),-0.760673 # DEPENDENCYPART_ARC
(16,14),2.38421 # DEPENDENCYPART_ARC
(16,15),3.48707 # DEPENDENCYPART_ARC
(16,17),0.0159352 # DEPENDENCYPART_ARC
(16,18),-1.61065 # DEPENDENCYPART_ARC
(16,19),-0.899052 # DEPENDENCYPART_ARC
(16,20),-1.16554 # DEPENDENCYPART_ARC
(16,21),-1.05761 # DEPENDENCYPART_ARC
(16,22),0.339851 # DEPENDENCYPART_ARC
(16,23),0.325846 # DEPENDENCYPART_ARC
(18,3),-1.43441 # DEPENDENCYPART_ARC
(18,6),-1.57435 # DEPENDENCYPART_ARC
(18,8),-1.79001 # DEPENDENCYPART_ARC
(18,12),0.104971 # DEPENDENCYPART_ARC
(18,16),-1.0844 # DEPENDENCYPART_ARC
(18,20),-0.0252161 # DEPENDENCYPART_ARC
(18,21),-0.478332 # DEPENDENCYPART_ARC
(19,3),-4.53265 # DEPENDENCYPART_ARC
(19,6),-4.38991 # DEPENDENCYPART_ARC
(19,8),-4.76021 # DEPENDENCYPART_ARC
(19,10),-2.32471 # DEPENDENCYPART_ARC
(19,12),-2.47379 # DEPENDENCYPART_ARC
(19,16),-3.20164 # DEPENDENCYPART_ARC
(19,17),-1.97444 # DEPENDENCYPART_ARC
(19,20),-0.90453 # DEPENDENCYPART_ARC
(19,21),-1.52011 # DEPENDENCYPART_ARC
(20,1),-2.45043 # DEPENDENCYPART_ARC
(20,2),-3.545 # DEPENDENCYPART_ARC
(20,3),-5.87852 # DEPENDENCYPART_ARC
(20,4),-2.48889 # DEPENDENCYPART_ARC
(20,5),-2.28817 # DEPENDENCYPART_ARC
(20,6),-4.67387 # DEPENDENCYPART_ARC
(20,7),-1.97127 # DEPENDENCYPART_ARC
(20,8),-6.28156 # DEPENDENCYPART_ARC
(20,9),-2.34932 # DEPENDENCYPART_ARC
(20,10),-2.76394 # DEPENDENCYPART_ARC
(20,11),-1.99337 # DEPENDENCYPART_ARC
(20,12),-2.10131 # DEPENDENCYPART_ARC
(20,13),-1.8271 # DEPENDENCYPART_ARC
(20,14),-1.36225 # DEPENDENCYPART_ARC
(20,15),0.0338951 # DEPENDENCYPART_ARC
(20,16),-3.69596 # DEPENDENCYPART_ARC
(20,17),-0.996231 # DEPENDENCYPART_ARC
(20,18),-0.752842 # DEPENDENCYPART_ARC
(20,19),2.87018 # DEPENDENCYPART_ARC
(20,21),-1.10819 # DEPENDENCYPART_ARC
(20,22),-0.642959 # DEPENDENCYPART_ARC
(20,23),-0.789412 # DEPENDENCYPART_ARC
(21,1),-1.5601 # DEPENDENCYPART_ARC
(21,2),-4.48782 # DEPENDENCYPART_ARC
(21,3),-4.33429 # DEPENDENCYPART_ARC
(21,4),-1.52105 # DEPENDENCYPART_ARC
(21,5),-3.28041 # DEPENDENCYPART_ARC
(21,6),-2.99162 # DEPENDENCYPART_ARC
(21,7),-2.33893 # DEPENDENCYPART_ARC
(21,8),-5.36687 # DEPENDENCYPART_ARC
(21,9),-3.5769 # DEPENDENCYPART_ARC
(21,10),-2.29936 # DEPENDENCYPART_ARC
(21,11),-1.03118 # DEPENDENCYPART_ARC
(21,12),-1.11572 # DEPENDENCYPART_ARC
(21,13),-3.04824 # DEPENDENCYPART_ARC
(21,14),-1.31913 # DEPENDENCYPART_ARC
(21,15),-0.945723 # DEPENDENCYPART_ARC
(21,16),-3.16381 # DEPENDENCYPART_ARC
(21,17),-0.352136 # DEPENDENCYPART_ARC
(21,18),-1.12547 # DEPENDENCYPART_ARC
(21,19),1.26292 # DEPENDENCYPART_ARC
(21,20),3.59445 # DEPENDENCYPART_ARC
(21,22),-1.13703 # DEPENDENCYPART_ARC
(21,23),-1.06336 # DEPENDENCYPART_ARC
(22,1),0.590848 # DEPENDENCYPART_ARC
(22,2),-1.82022 # DEPENDENCYPART_ARC
(22,3),-0.880802 # DEPENDENCYPART_ARC
(22,4),-0.101469 # DEPENDENCYPART_ARC
(22,5),-1.13302 # DEPENDENCYPART_ARC
(22,6),-1.53422 # DEPENDENCYPART_ARC
(22,7),-3.19572 # DEPENDENCYPART_ARC
(22,8),-0.67624 # DEPENDENCYPART_ARC
(22,9),-0.685079 # DEPENDENCYPART_ARC
(22,10),-0.290992 # DEPENDENCYPART_ARC
(22,11),0.37863 # DEPENDENCYPART_ARC
(22,12),1.29069 # DEPENDENCYPART_ARC
(22,13),0.0297695 # DEPENDENCYPART_ARC
(22,14),0.868502 # DEPENDENCYPART_ARC
(22,15),-0.640217 # DEPENDENCYPART_ARC
(22,16),0.117292 # DEPENDENCYPART_ARC
(22,17),0.571654 # DEPENDENCYPART_ARC
(22,18),1.94445 # DEPENDENCYPART_ARC
(22,19),-0.159395 # DEPENDENCYPART_ARC
(22,20),1.706 # DEPENDENCYPART_ARC
(22,21),4.24265 # DEPENDENCYPART_ARC
(22,23),1.81973 # DEPENDENCYPART_ARC
