# _root_ Szép_Tibor egyelőre nem kívánt nyilatkozni lapunknak , de annyit elmondott , hogy a munkakör betöltésének napjáig a munkavállaló visszaléphet .
#goldHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
#predictedHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
(3,15),-2.38976 # DEPENDENCYPART_ARC
(3,16),-2.39831 # DEPENDENCYPART_ARC
(3,18),-2.47058 # DEPENDENCYPART_ARC
(3,19),-1.52791 # DEPENDENCYPART_ARC
(3,20),-0.395795 # DEPENDENCYPART_ARC
(4,1),2.17338 # DEPENDENCYPART_ARC
(4,2),1.86267 # DEPENDENCYPART_ARC
(4,3),2.75371 # DEPENDENCYPART_ARC
(4,5),3.60469 # DEPENDENCYPART_ARC
(4,6),2.73836 # DEPENDENCYPART_ARC
(4,7),1.61801 # DEPENDENCYPART_ARC
(4,8),0.905741 # DEPENDENCYPART_ARC
(4,9),-0.544238 # DEPENDENCYPART_ARC
(4,10),0.706598 # DEPENDENCYPART_ARC
(4,11),1.14317 # DEPENDENCYPART_ARC
(4,12),1.45573 # DEPENDENCYPART_ARC
(4,13),-0.928818 # DEPENDENCYPART_ARC
(4,14),-2.12957 # DEPENDENCYPART_ARC
(4,15),-1.10911 # DEPENDENCYPART_ARC
(4,16),-1.81673 # DEPENDENCYPART_ARC
(4,17),-1.12151 # DEPENDENCYPART_ARC
(4,18),-2.6469 # DEPENDENCYPART_ARC
(4,19),0.659568 # DEPENDENCYPART_ARC
(4,20),2.99553 # DEPENDENCYPART_ARC
(5,1),0.616461 # DEPENDENCYPART_ARC
(5,2),1.62138 # DEPENDENCYPART_ARC
(5,3),1.52678 # DEPENDENCYPART_ARC
(5,4),1.16814 # DEPENDENCYPART_ARC
(5,6),3.78933 # DEPENDENCYPART_ARC
(5,7),0.985886 # DEPENDENCYPART_ARC
(5,8),0.224081 # DEPENDENCYPART_ARC
(5,9),-0.0449119 # DEPENDENCYPART_ARC
(5,10),0.140709 # DEPENDENCYPART_ARC
(5,11),-0.0726521 # DEPENDENCYPART_ARC
(5,12),-0.0211755 # DEPENDENCYPART_ARC
(5,13),-0.851489 # DEPENDENCYPART_ARC
(5,14),-2.85334 # DEPENDENCYPART_ARC
(5,15),-1.59402 # DEPENDENCYPART_ARC
(5,16),-1.11518 # DEPENDENCYPART_ARC
(5,17),-1.03193 # DEPENDENCYPART_ARC
(5,18),-3.24477 # DEPENDENCYPART_ARC
(5,19),0.137417 # DEPENDENCYPART_ARC
(5,20),1.505 # DEPENDENCYPART_ARC
(6,1),-3.8007 # DEPENDENCYPART_ARC
(6,2),-1.06569 # DEPENDENCYPART_ARC
(6,3),-0.771378 # DEPENDENCYPART_ARC
(6,4),-2.11405 # DEPENDENCYPART_ARC
(6,5),1.35994 # DEPENDENCYPART_ARC
(6,7),-0.296124 # DEPENDENCYPART_ARC
(6,8),-0.98189 # DEPENDENCYPART_ARC
(6,9),-2.2566 # DEPENDENCYPART_ARC
(6,10),-1.76683 # DEPENDENCYPART_ARC
(6,11),-0.952584 # DEPENDENCYPART_ARC
(6,12),-1.26508 # DEPENDENCYPART_ARC
(6,13),-1.62036 # DEPENDENCYPART_ARC
(6,14),-2.92211 # DEPENDENCYPART_ARC
(6,15),-3.08562 # DEPENDENCYPART_ARC
(6,16),-3.19115 # DEPENDENCYPART_ARC
(6,17),-1.82506 # DEPENDENCYPART_ARC
(6,18),-3.03705 # DEPENDENCYPART_ARC
(6,19),-2.43506 # DEPENDENCYPART_ARC
(6,20),0.20555 # DEPENDENCYPART_ARC
(8,1),-0.152507 # DEPENDENCYPART_ARC
(8,2),0.152051 # DEPENDENCYPART_ARC
(8,3),-0.0207943 # DEPENDENCYPART_ARC
(8,4),1.81676 # DEPENDENCYPART_ARC
(8,5),1.01642 # DEPENDENCYPART_ARC
(8,6),-0.167737 # DEPENDENCYPART_ARC
(8,7),2.24515 # DEPENDENCYPART_ARC
(8,9),-0.590314 # DEPENDENCYPART_ARC
(8,10),2.24052 # DEPENDENCYPART_ARC
(8,11),0.604918 # DEPENDENCYPART_ARC
(8,12),1.05506 # DEPENDENCYPART_ARC
(8,13),-0.544587 # DEPENDENCYPART_ARC
(8,14),-1.04426 # DEPENDENCYPART_ARC
(8,15),-0.815088 # DEPENDENCYPART_ARC
(8,16),-1.15565 # DEPENDENCYPART_ARC
(8,17),-0.80689 # DEPENDENCYPART_ARC
(8,18),-1.27526 # DEPENDENCYPART_ARC
(8,19),1.39322 # DEPENDENCYPART_ARC
(8,20),3.44799 # DEPENDENCYPART_ARC
(9,1),-1.06384 # DEPENDENCYPART_ARC
(9,2),-0.418712 # DEPENDENCYPART_ARC
(9,3),-0.39749 # DEPENDENCYPART_ARC
(9,4),-0.139251 # DEPENDENCYPART_ARC
(9,5),-0.628907 # DEPENDENCYPART_ARC
(9,6),-1.41442 # DEPENDENCYPART_ARC
(9,7),-0.422272 # DEPENDENCYPART_ARC
(9,8),0.0209729 # DEPENDENCYPART_ARC
(9,10),1.3707 # DEPENDENCYPART_ARC
(9,11),0.508651 # DEPENDENCYPART_ARC
(9,12),0.517588 # DEPENDENCYPART_ARC
(9,13),-0.655197 # DEPENDENCYPART_ARC
(9,14),0.355536 # DEPENDENCYPART_ARC
(9,15),0.0345808 # DEPENDENCYPART_ARC
(9,16),-0.467413 # DEPENDENCYPART_ARC
(9,17),-0.651032 # DEPENDENCYPART_ARC
(9,18),-0.056659 # DEPENDENCYPART_ARC
(9,19),2.46906 # DEPENDENCYPART_ARC
(9,20),0.473686 # DEPENDENCYPART_ARC
(10,1),0.983018 # DEPENDENCYPART_ARC
(10,2),0.831366 # DEPENDENCYPART_ARC
(10,3),0.119687 # DEPENDENCYPART_ARC
(10,4),-0.0829271 # DEPENDENCYPART_ARC
(10,5),0.753143 # DEPENDENCYPART_ARC
(10,6),1.30455 # DEPENDENCYPART_ARC
(10,7),1.27945 # DEPENDENCYPART_ARC
(10,8),1.64435 # DEPENDENCYPART_ARC
(10,9),3.45987 # DEPENDENCYPART_ARC
(10,11),2.78247 # DEPENDENCYPART_ARC
(10,12),3.30761 # DEPENDENCYPART_ARC
(10,13),-0.388062 # DEPENDENCYPART_ARC
(10,14),-0.356675 # DEPENDENCYPART_ARC
(10,15),0.736254 # DEPENDENCYPART_ARC
(10,16),-0.535024 # DEPENDENCYPART_ARC
(10,17),-0.751126 # DEPENDENCYPART_ARC
(10,18),-1.20607 # DEPENDENCYPART_ARC
(10,19),1.09736 # DEPENDENCYPART_ARC
(10,20),2.50652 # DEPENDENCYPART_ARC
(12,1),-0.51628 # DEPENDENCYPART_ARC
(12,2),-0.217355 # DEPENDENCYPART_ARC
(12,3),-0.529378 # DEPENDENCYPART_ARC
(12,4),-0.604576 # DEPENDENCYPART_ARC
(12,5),-0.438432 # DEPENDENCYPART_ARC
(12,6),-0.503546 # DEPENDENCYPART_ARC
(12,7),0.027338 # DEPENDENCYPART_ARC
(12,8),0.977269 # DEPENDENCYPART_ARC
(12,9),0.0340368 # DEPENDENCYPART_ARC
(12,10),-0.0615957 # DEPENDENCYPART_ARC
(12,11),1.02662 # DEPENDENCYPART_ARC
(12,13),-0.663615 # DEPENDENCYPART_ARC
(12,14),-0.509485 # DEPENDENCYPART_ARC
(12,15),-0.776609 # DEPENDENCYPART_ARC
(12,16),-1.01257 # DEPENDENCYPART_ARC
(12,17),-1.08994 # DEPENDENCYPART_ARC
(12,18),-1.45704 # DEPENDENCYPART_ARC
(12,19),0.88615 # DEPENDENCYPART_ARC
(12,20),1.42988 # DEPENDENCYPART_ARC
(13,1),-4.08062 # DEPENDENCYPART_ARC
(13,6),-4.26864 # DEPENDENCYPART_ARC
(13,7),-1.82138 # DEPENDENCYPART_ARC
(13,8),-2.36265 # DEPENDENCYPART_ARC
(13,11),-1.56197 # DEPENDENCYPART_ARC
(13,14),-0.554742 # DEPENDENCYPART_ARC
(13,15),-1.18925 # DEPENDENCYPART_ARC
(13,16),-1.56319 # DEPENDENCYPART_ARC
(13,18),-1.41602 # DEPENDENCYPART_ARC
(14,1),-3.76332 # DEPENDENCYPART_ARC
(14,2),-2.28295 # DEPENDENCYPART_ARC
(14,3),-2.17013 # DEPENDENCYPART_ARC
(14,4),-2.54298 # DEPENDENCYPART_ARC
(14,5),-1.35842 # DEPENDENCYPART_ARC
(14,6),-4.26768 # DEPENDENCYPART_ARC
(14,7),-2.17413 # DEPENDENCYPART_ARC
(14,8),-1.61221 # DEPENDENCYPART_ARC
(14,9),-3.37749 # DEPENDENCYPART_ARC
(14,10),-1.56415 # DEPENDENCYPART_ARC
(14,11),-0.926813 # DEPENDENCYPART_ARC
(14,12),-1.04977 # DEPENDENCYPART_ARC
(14,13),3.07579 # DEPENDENCYPART_ARC
(14,15),-1.31357 # DEPENDENCYPART_ARC
(14,16),-1.50189 # DEPENDENCYPART_ARC
(14,17),-1.49777 # DEPENDENCYPART_ARC
(14,18),-1.0791 # DEPENDENCYPART_ARC
(14,19),-0.797103 # DEPENDENCYPART_ARC
(14,20),-0.729643 # DEPENDENCYPART_ARC
(15,1),-2.07962 # DEPENDENCYPART_ARC
(15,2),-1.20695 # DEPENDENCYPART_ARC
(15,3),-1.03234 # DEPENDENCYPART_ARC
(15,4),-3.40412 # DEPENDENCYPART_ARC
(15,5),-0.90449 # DEPENDENCYPART_ARC
(15,6),-1.71193 # DEPENDENCYPART_ARC
(15,7),-0.947547 # DEPENDENCYPART_ARC
(15,8),-0.451381 # DEPENDENCYPART_ARC
(15,9),-2.55343 # DEPENDENCYPART_ARC
(15,10),-2.57721 # DEPENDENCYPART_ARC
(15,11),-0.037329 # DEPENDENCYPART_ARC
(15,12),-0.167875 # DEPENDENCYPART_ARC
(15,13),1.489 # DEPENDENCYPART_ARC
(15,14),4.8088 # DEPENDENCYPART_ARC
(15,16),-1.33174 # DEPENDENCYPART_ARC
(15,17),-1.59011 # DEPENDENCYPART_ARC
(15,18),-1.19617 # DEPENDENCYPART_ARC
(15,19),-1.75779 # DEPENDENCYPART_ARC
(15,20),-0.897693 # DEPENDENCYPART_ARC
(16,1),-3.33083 # DEPENDENCYPART_ARC
(16,2),-1.41585 # DEPENDENCYPART_ARC
(16,3),-1.25876 # DEPENDENCYPART_ARC
(16,4),-3.8172 # DEPENDENCYPART_ARC
(16,5),-1.21081 # DEPENDENCYPART_ARC
(16,6),-3.11333 # DEPENDENCYPART_ARC
(16,7),-1.2284 # DEPENDENCYPART_ARC
(16,8),-0.909617 # DEPENDENCYPART_ARC
(16,9),-3.68888 # DEPENDENCYPART_ARC
(16,10),-3.14987 # DEPENDENCYPART_ARC
(16,11),-0.407328 # DEPENDENCYPART_ARC
(16,12),-0.707732 # DEPENDENCYPART_ARC
(16,13),0.366034 # DEPENDENCYPART_ARC
(16,14),2.32693 # DEPENDENCYPART_ARC
(16,15),0.649771 # DEPENDENCYPART_ARC
(16,17),-0.510049 # DEPENDENCYPART_ARC
(16,18),-0.369288 # DEPENDENCYPART_ARC
(16,19),-0.641668 # DEPENDENCYPART_ARC
(16,20),0.126497 # DEPENDENCYPART_ARC
(17,1),-3.52369 # DEPENDENCYPART_ARC
(17,6),-3.80654 # DEPENDENCYPART_ARC
(17,7),-1.34138 # DEPENDENCYPART_ARC
(17,8),-1.64986 # DEPENDENCYPART_ARC
(17,11),-0.992345 # DEPENDENCYPART_ARC
(17,14),-2.42648 # DEPENDENCYPART_ARC
(17,15),-2.60937 # DEPENDENCYPART_ARC
(17,16),-2.00282 # DEPENDENCYPART_ARC
(17,18),-0.559445 # DEPENDENCYPART_ARC
(18,1),-4.42714 # DEPENDENCYPART_ARC
(18,2),-1.89451 # DEPENDENCYPART_ARC
(18,3),-1.79522 # DEPENDENCYPART_ARC
(18,4),-2.50869 # DEPENDENCYPART_ARC
(18,5),-1.34503 # DEPENDENCYPART_ARC
(18,6),-4.79758 # DEPENDENCYPART_ARC
(18,7),-2.11287 # DEPENDENCYPART_ARC
(18,8),-1.59676 # DEPENDENCYPART_ARC
(18,9),-3.77861 # DEPENDENCYPART_ARC
(18,10),-1.89481 # DEPENDENCYPART_ARC
(18,11),-1.04976 # DEPENDENCYPART_ARC
(18,12),-1.3921 # DEPENDENCYPART_ARC
(18,13),0.0944259 # DEPENDENCYPART_ARC
(18,14),-1.13504 # DEPENDENCYPART_ARC
(18,15),-1.92352 # DEPENDENCYPART_ARC
(18,16),-2.81517 # DEPENDENCYPART_ARC
(18,17),2.91694 # DEPENDENCYPART_ARC
(18,19),-0.521043 # DEPENDENCYPART_ARC
(18,20),-1.11737 # DEPENDENCYPART_ARC
(19,1),-0.0470096 # DEPENDENCYPART_ARC
(19,2),0.367714 # DEPENDENCYPART_ARC
(19,3),-0.648918 # DEPENDENCYPART_ARC
(19,4),-0.675553 # DEPENDENCYPART_ARC
(19,5),-0.00180886 # DEPENDENCYPART_ARC
(19,6),-0.26129 # DEPENDENCYPART_ARC
(19,7),0.210362 # DEPENDENCYPART_ARC
(19,8),0.98502 # DEPENDENCYPART_ARC
(19,9),0.373148 # DEPENDENCYPART_ARC
(19,10),-0.0621283 # DEPENDENCYPART_ARC
(19,11),0.485223 # DEPENDENCYPART_ARC
(19,12),0.00943028 # DEPENDENCYPART_ARC
(19,13),-0.703178 # DEPENDENCYPART_ARC
(19,14),1.76694 # DEPENDENCYPART_ARC
(19,15),2.67874 # DEPENDENCYPART_ARC
(19,16),2.7744 # DEPENDENCYPART_ARC
(19,17),0.0300364 # DEPENDENCYPART_ARC
(19,18),3.54374 # DEPENDENCYPART_ARC
(19,20),1.42663 # DEPENDENCYPART_ARC
