# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=12,3,4,8,6,0,8,6,12,12,12,6,12,12,20,18,23,20,20,21,23,12,12,25,27,27,23,27,30,31,28,28,6,
(3,29),-1.54558 # DEPENDENCYPART_ARC
(3,30),-3.72638 # DEPENDENCYPART_ARC
(3,31),-1.18747 # DEPENDENCYPART_ARC
(3,32),-1.39945 # DEPENDENCYPART_ARC
(3,33),0.667382 # DEPENDENCYPART_ARC
(4,1),0.26707 # DEPENDENCYPART_ARC
(4,2),0.696903 # DEPENDENCYPART_ARC
(4,3),1.59396 # DEPENDENCYPART_ARC
(4,5),0.408791 # DEPENDENCYPART_ARC
(4,6),-0.247734 # DEPENDENCYPART_ARC
(4,7),0.169932 # DEPENDENCYPART_ARC
(4,8),-0.191705 # DEPENDENCYPART_ARC
(4,9),-0.976588 # DEPENDENCYPART_ARC
(4,10),-0.998825 # DEPENDENCYPART_ARC
(4,11),-0.301158 # DEPENDENCYPART_ARC
(4,12),0.243306 # DEPENDENCYPART_ARC
(4,13),-0.403101 # DEPENDENCYPART_ARC
(4,14),0.0551388 # DEPENDENCYPART_ARC
(4,15),-0.886272 # DEPENDENCYPART_ARC
(4,16),-0.535491 # DEPENDENCYPART_ARC
(4,17),-0.55736 # DEPENDENCYPART_ARC
(4,18),-1.33221 # DEPENDENCYPART_ARC
(4,19),-1.2467 # DEPENDENCYPART_ARC
(4,20),-2.17434 # DEPENDENCYPART_ARC
(4,21),-1.01446 # DEPENDENCYPART_ARC
(4,22),-0.425769 # DEPENDENCYPART_ARC
(4,23),-0.322832 # DEPENDENCYPART_ARC
(4,24),-0.816277 # DEPENDENCYPART_ARC
(4,25),-2.17208 # DEPENDENCYPART_ARC
(4,26),-0.540748 # DEPENDENCYPART_ARC
(4,27),-0.830109 # DEPENDENCYPART_ARC
(4,28),-0.905605 # DEPENDENCYPART_ARC
(4,29),-0.578993 # DEPENDENCYPART_ARC
(4,30),-2.1626 # DEPENDENCYPART_ARC
(4,31),-0.622402 # DEPENDENCYPART_ARC
(4,32),-1.24979 # DEPENDENCYPART_ARC
(4,33),1.63 # DEPENDENCYPART_ARC
(5,1),-1.49425 # DEPENDENCYPART_ARC
(5,2),-1.38251 # DEPENDENCYPART_ARC
(5,3),-1.95076 # DEPENDENCYPART_ARC
(5,4),-0.966257 # DEPENDENCYPART_ARC
(5,6),-0.913481 # DEPENDENCYPART_ARC
(5,7),-0.956967 # DEPENDENCYPART_ARC
(5,8),-1.06584 # DEPENDENCYPART_ARC
(5,9),-1.53971 # DEPENDENCYPART_ARC
(5,10),-1.6238 # DEPENDENCYPART_ARC
(5,11),-1.43639 # DEPENDENCYPART_ARC
(5,12),-1.47152 # DEPENDENCYPART_ARC
(5,13),-1.53903 # DEPENDENCYPART_ARC
(5,14),-1.19137 # DEPENDENCYPART_ARC
(5,15),-1.60196 # DEPENDENCYPART_ARC
(5,16),-1.54858 # DEPENDENCYPART_ARC
(5,17),-1.60907 # DEPENDENCYPART_ARC
(5,18),-1.93598 # DEPENDENCYPART_ARC
(5,19),-1.93158 # DEPENDENCYPART_ARC
(5,20),-2.57481 # DEPENDENCYPART_ARC
(5,21),-1.92918 # DEPENDENCYPART_ARC
(5,22),-1.32954 # DEPENDENCYPART_ARC
(5,23),-1.47136 # DEPENDENCYPART_ARC
(5,24),-1.76069 # DEPENDENCYPART_ARC
(5,25),-2.82256 # DEPENDENCYPART_ARC
(5,26),-1.745 # DEPENDENCYPART_ARC
(5,27),-1.99402 # DEPENDENCYPART_ARC
(5,28),-2.05795 # DEPENDENCYPART_ARC
(5,29),-1.71172 # DEPENDENCYPART_ARC
(5,30),-2.89645 # DEPENDENCYPART_ARC
(5,31),-1.83055 # DEPENDENCYPART_ARC
(5,32),-1.83751 # DEPENDENCYPART_ARC
(5,33),-1.7952 # DEPENDENCYPART_ARC
(6,1),1.19617 # DEPENDENCYPART_ARC
(6,2),0.271356 # DEPENDENCYPART_ARC
(6,3),1.01439 # DEPENDENCYPART_ARC
(6,4),0.847597 # DEPENDENCYPART_ARC
(6,5),2.18824 # DEPENDENCYPART_ARC
(6,7),0.762276 # DEPENDENCYPART_ARC
(6,8),0.863236 # DEPENDENCYPART_ARC
(6,9),-0.404698 # DEPENDENCYPART_ARC
(6,10),-0.275403 # DEPENDENCYPART_ARC
(6,11),0.323666 # DEPENDENCYPART_ARC
(6,12),1.90776 # DEPENDENCYPART_ARC
(6,13),0.308621 # DEPENDENCYPART_ARC
(6,14),1.00207 # DEPENDENCYPART_ARC
(6,15),-0.359971 # DEPENDENCYPART_ARC
(6,16),0.170883 # DEPENDENCYPART_ARC
(6,17),0.387255 # DEPENDENCYPART_ARC
(6,18),0.305504 # DEPENDENCYPART_ARC
(6,19),0.0533273 # DEPENDENCYPART_ARC
(6,20),-1.80947 # DEPENDENCYPART_ARC
(6,21),0.236775 # DEPENDENCYPART_ARC
(6,22),0.135254 # DEPENDENCYPART_ARC
(6,23),1.77923 # DEPENDENCYPART_ARC
(6,24),-0.542987 # DEPENDENCYPART_ARC
(6,25),-2.21218 # DEPENDENCYPART_ARC
(6,26),0.0656878 # DEPENDENCYPART_ARC
(6,27),0.763322 # DEPENDENCYPART_ARC
(6,28),-0.16618 # DEPENDENCYPART_ARC
(6,29),-0.264365 # DEPENDENCYPART_ARC
(6,30),-1.81932 # DEPENDENCYPART_ARC
(6,31),-0.526774 # DEPENDENCYPART_ARC
(6,32),-0.223612 # DEPENDENCYPART_ARC
(6,33),5.21396 # DEPENDENCYPART_ARC
(7,1),-1.47209 # DEPENDENCYPART_ARC
(7,2),-1.68742 # DEPENDENCYPART_ARC
(7,3),-2.28975 # DEPENDENCYPART_ARC
(7,4),-1.75285 # DEPENDENCYPART_ARC
(7,5),-1.36102 # DEPENDENCYPART_ARC
(7,6),-0.564544 # DEPENDENCYPART_ARC
(7,8),-0.75188 # DEPENDENCYPART_ARC
(7,9),-1.09135 # DEPENDENCYPART_ARC
(7,10),-1.28965 # DEPENDENCYPART_ARC
(7,11),-1.26119 # DEPENDENCYPART_ARC
(7,12),-1.24128 # DEPENDENCYPART_ARC
(7,13),-1.31488 # DEPENDENCYPART_ARC
(7,14),-0.971238 # DEPENDENCYPART_ARC
(7,15),-1.43905 # DEPENDENCYPART_ARC
(7,16),-1.41127 # DEPENDENCYPART_ARC
(7,17),-1.39855 # DEPENDENCYPART_ARC
(7,18),-1.63689 # DEPENDENCYPART_ARC
(7,19),-1.69738 # DEPENDENCYPART_ARC
(7,20),-2.40467 # DEPENDENCYPART_ARC
(7,21),-1.73413 # DEPENDENCYPART_ARC
(7,22),-1.18706 # DEPENDENCYPART_ARC
(7,23),-1.2252 # DEPENDENCYPART_ARC
(7,24),-1.54695 # DEPENDENCYPART_ARC
(7,25),-2.58389 # DEPENDENCYPART_ARC
(7,26),-1.51022 # DEPENDENCYPART_ARC
(7,27),-1.73339 # DEPENDENCYPART_ARC
(7,28),-1.73738 # DEPENDENCYPART_ARC
(7,29),-1.53635 # DEPENDENCYPART_ARC
(7,30),-2.69403 # DEPENDENCYPART_ARC
(7,31),-1.51324 # DEPENDENCYPART_ARC
(7,32),-1.64079 # DEPENDENCYPART_ARC
(7,33),-1.62586 # DEPENDENCYPART_ARC
(8,1),1.23898 # DEPENDENCYPART_ARC
(8,2),-0.140431 # DEPENDENCYPART_ARC
(8,3),1.18993 # DEPENDENCYPART_ARC
(8,4),1.11203 # DEPENDENCYPART_ARC
(8,5),1.32773 # DEPENDENCYPART_ARC
(8,6),1.39168 # DEPENDENCYPART_ARC
(8,7),1.65342 # DEPENDENCYPART_ARC
(8,9),-0.444728 # DEPENDENCYPART_ARC
(8,10),-0.515011 # DEPENDENCYPART_ARC
(8,11),0.22876 # DEPENDENCYPART_ARC
(8,12),1.36862 # DEPENDENCYPART_ARC
(8,13),0.0672734 # DEPENDENCYPART_ARC
(8,14),1.43505 # DEPENDENCYPART_ARC
(8,15),-0.590995 # DEPENDENCYPART_ARC
(8,16),-0.0879042 # DEPENDENCYPART_ARC
(8,17),0.125674 # DEPENDENCYPART_ARC
(8,18),0.0672205 # DEPENDENCYPART_ARC
(8,19),-0.200038 # DEPENDENCYPART_ARC
(8,20),-1.50526 # DEPENDENCYPART_ARC
(8,21),-0.13953 # DEPENDENCYPART_ARC
(8,22),0.173672 # DEPENDENCYPART_ARC
(8,23),1.28238 # DEPENDENCYPART_ARC
(8,24),-0.704327 # DEPENDENCYPART_ARC
(8,25),-1.99604 # DEPENDENCYPART_ARC
(8,26),-0.14521 # DEPENDENCYPART_ARC
(8,27),0.267595 # DEPENDENCYPART_ARC
(8,28),-0.445394 # DEPENDENCYPART_ARC
(8,29),-0.158395 # DEPENDENCYPART_ARC
(8,30),-1.435 # DEPENDENCYPART_ARC
(8,31),-0.716398 # DEPENDENCYPART_ARC
(8,32),-0.218197 # DEPENDENCYPART_ARC
(8,33),2.68091 # DEPENDENCYPART_ARC
(9,1),-0.613107 # DEPENDENCYPART_ARC
(9,2),-0.700049 # DEPENDENCYPART_ARC
(9,3),-1.25518 # DEPENDENCYPART_ARC
(9,4),-0.718997 # DEPENDENCYPART_ARC
(9,5),-0.603082 # DEPENDENCYPART_ARC
(9,6),-0.69069 # DEPENDENCYPART_ARC
(9,7),-0.749642 # DEPENDENCYPART_ARC
(9,8),-0.51776 # DEPENDENCYPART_ARC
(9,10),0.0900814 # DEPENDENCYPART_ARC
(9,11),0.299672 # DEPENDENCYPART_ARC
(9,12),1.15495 # DEPENDENCYPART_ARC
(9,13),0.396452 # DEPENDENCYPART_ARC
(9,14),0.231388 # DEPENDENCYPART_ARC
(9,15),-0.530959 # DEPENDENCYPART_ARC
(9,16),0.654857 # DEPENDENCYPART_ARC
(9,17),0.942424 # DEPENDENCYPART_ARC
(9,18),-0.247329 # DEPENDENCYPART_ARC
(9,19),-0.0927712 # DEPENDENCYPART_ARC
(9,20),-0.340737 # DEPENDENCYPART_ARC
(9,21),-0.0791707 # DEPENDENCYPART_ARC
(9,22),0.681534 # DEPENDENCYPART_ARC
(9,23),1.00654 # DEPENDENCYPART_ARC
(9,24),-0.258816 # DEPENDENCYPART_ARC
(9,25),-0.249224 # DEPENDENCYPART_ARC
(9,26),0.772363 # DEPENDENCYPART_ARC
(9,27),0.721452 # DEPENDENCYPART_ARC
(9,28),-0.332656 # DEPENDENCYPART_ARC
(9,29),-0.0988804 # DEPENDENCYPART_ARC
(9,30),-0.338743 # DEPENDENCYPART_ARC
(9,31),-0.032583 # DEPENDENCYPART_ARC
(9,32),0.875115 # DEPENDENCYPART_ARC
(9,33),0.136384 # DEPENDENCYPART_ARC
(10,1),-0.285396 # DEPENDENCYPART_ARC
(10,2),-0.694637 # DEPENDENCYPART_ARC
(10,3),-1.08665 # DEPENDENCYPART_ARC
(10,4),-1.16934 # DEPENDENCYPART_ARC
(10,5),-0.405576 # DEPENDENCYPART_ARC
(10,6),-0.168843 # DEPENDENCYPART_ARC
(10,7),-0.0727213 # DEPENDENCYPART_ARC
(10,8),-0.48223 # DEPENDENCYPART_ARC
(10,9),-0.351899 # DEPENDENCYPART_ARC
(10,11),-0.576169 # DEPENDENCYPART_ARC
(10,12),-0.657604 # DEPENDENCYPART_ARC
(10,13),-0.574673 # DEPENDENCYPART_ARC
(10,14),-0.601238 # DEPENDENCYPART_ARC
(10,15),-1.60987 # DEPENDENCYPART_ARC
(10,16),-0.520282 # DEPENDENCYPART_ARC
(10,17),-0.318986 # DEPENDENCYPART_ARC
(10,18),-1.33672 # DEPENDENCYPART_ARC
(10,19),-1.18056 # DEPENDENCYPART_ARC
(10,20),-0.862227 # DEPENDENCYPART_ARC
(10,21),-1.18227 # DEPENDENCYPART_ARC
(10,22),-0.102679 # DEPENDENCYPART_ARC
(10,23),-0.416597 # DEPENDENCYPART_ARC
(10,24),-1.17627 # DEPENDENCYPART_ARC
(10,25),-1.46759 # DEPENDENCYPART_ARC
(10,26),-0.723649 # DEPENDENCYPART_ARC
(10,27),-1.09226 # DEPENDENCYPART_ARC
(10,28),-1.85655 # DEPENDENCYPART_ARC
(10,29),-1.0633 # DEPENDENCYPART_ARC
(10,30),-1.69033 # DEPENDENCYPART_ARC
(10,31),-1.05529 # DEPENDENCYPART_ARC
(10,32),-0.583509 # DEPENDENCYPART_ARC
(10,33),-0.50001 # DEPENDENCYPART_ARC
(11,1),-0.43252 # DEPENDENCYPART_ARC
(11,2),-1.08166 # DEPENDENCYPART_ARC
(11,3),-1.04421 # DEPENDENCYPART_ARC
(11,4),-1.31911 # DEPENDENCYPART_ARC
(11,5),-0.228873 # DEPENDENCYPART_ARC
(11,6),-0.648392 # DEPENDENCYPART_ARC
(11,7),-0.30299 # DEPENDENCYPART_ARC
(11,8),-0.119378 # DEPENDENCYPART_ARC
(11,9),-0.39804 # DEPENDENCYPART_ARC
(11,10),0.363484 # DEPENDENCYPART_ARC
(11,12),0.138855 # DEPENDENCYPART_ARC
(11,13),-0.564249 # DEPENDENCYPART_ARC
(11,14),0.091828 # DEPENDENCYPART_ARC
(11,15),-0.894311 # DEPENDENCYPART_ARC
(11,16),-0.754204 # DEPENDENCYPART_ARC
(11,17),-0.732487 # DEPENDENCYPART_ARC
(11,18),-0.922663 # DEPENDENCYPART_ARC
(11,19),-0.843691 # DEPENDENCYPART_ARC
(11,20),-1.34355 # DEPENDENCYPART_ARC
(11,21),-0.934918 # DEPENDENCYPART_ARC
(11,22),-0.696674 # DEPENDENCYPART_ARC
(11,23),-0.845692 # DEPENDENCYPART_ARC
(11,24),-1.2478 # DEPENDENCYPART_ARC
(11,25),-2.00774 # DEPENDENCYPART_ARC
(11,26),-1.13181 # DEPENDENCYPART_ARC
(11,27),-1.26686 # DEPENDENCYPART_ARC
(11,28),-1.27268 # DEPENDENCYPART_ARC
(11,29),-1.25186 # DEPENDENCYPART_ARC
(11,30),-2.10834 # DEPENDENCYPART_ARC
(11,31),-0.852905 # DEPENDENCYPART_ARC
(11,32),-1.15841 # DEPENDENCYPART_ARC
(11,33),0.0792085 # DEPENDENCYPART_ARC
(12,1),2.51049 # DEPENDENCYPART_ARC
(12,2),-0.621497 # DEPENDENCYPART_ARC
(12,3),-0.493513 # DEPENDENCYPART_ARC
(12,4),-0.627876 # DEPENDENCYPART_ARC
(12,5),0.606081 # DEPENDENCYPART_ARC
(12,6),0.725852 # DEPENDENCYPART_ARC
(12,7),1.34413 # DEPENDENCYPART_ARC
(12,8),0.438126 # DEPENDENCYPART_ARC
(12,9),1.69349 # DEPENDENCYPART_ARC
(12,10),2.22602 # DEPENDENCYPART_ARC
(12,11),3.58715 # DEPENDENCYPART_ARC
(12,13),3.95357 # DEPENDENCYPART_ARC
(12,14),1.8125 # DEPENDENCYPART_ARC
(12,15),0.232671 # DEPENDENCYPART_ARC
(12,16),1.05078 # DEPENDENCYPART_ARC
(12,17),1.34167 # DEPENDENCYPART_ARC
(12,18),-0.112732 # DEPENDENCYPART_ARC
(12,19),-0.253273 # DEPENDENCYPART_ARC
(12,20),-0.258965 # DEPENDENCYPART_ARC
(12,21),0.217372 # DEPENDENCYPART_ARC
(12,22),1.83618 # DEPENDENCYPART_ARC
(12,23),1.95967 # DEPENDENCYPART_ARC
(12,24),-0.353777 # DEPENDENCYPART_ARC
(12,25),-0.129527 # DEPENDENCYPART_ARC
(12,26),0.677599 # DEPENDENCYPART_ARC
(12,27),0.902679 # DEPENDENCYPART_ARC
(12,28),0.552083 # DEPENDENCYPART_ARC
(12,29),-0.233694 # DEPENDENCYPART_ARC
(12,30),-1.63476 # DEPENDENCYPART_ARC
(12,31),0.147743 # DEPENDENCYPART_ARC
(12,32),0.534281 # DEPENDENCYPART_ARC
(12,33),3.77621 # DEPENDENCYPART_ARC
(13,1),-0.31961 # DEPENDENCYPART_ARC
(13,2),-1.02762 # DEPENDENCYPART_ARC
(13,3),-0.868244 # DEPENDENCYPART_ARC
(13,4),-0.881579 # DEPENDENCYPART_ARC
(13,5),-0.335465 # DEPENDENCYPART_ARC
(13,6),-0.14272 # DEPENDENCYPART_ARC
(13,7),0.007636 # DEPENDENCYPART_ARC
(13,8),-0.128946 # DEPENDENCYPART_ARC
(13,9),-0.141068 # DEPENDENCYPART_ARC
(13,10),0.133968 # DEPENDENCYPART_ARC
(13,11),0.409306 # DEPENDENCYPART_ARC
(13,12),0.31532 # DEPENDENCYPART_ARC
(13,14),0.280542 # DEPENDENCYPART_ARC
(13,15),-0.761986 # DEPENDENCYPART_ARC
(13,16),-0.459522 # DEPENDENCYPART_ARC
(13,17),-0.494655 # DEPENDENCYPART_ARC
(13,18),-0.632915 # DEPENDENCYPART_ARC
(13,19),-0.785202 # DEPENDENCYPART_ARC
(13,20),-1.02806 # DEPENDENCYPART_ARC
(13,21),-0.951242 # DEPENDENCYPART_ARC
(13,22),-0.598751 # DEPENDENCYPART_ARC
(13,23),-0.333744 # DEPENDENCYPART_ARC
(13,24),-1.10408 # DEPENDENCYPART_ARC
(13,25),-1.50785 # DEPENDENCYPART_ARC
(13,26),-1.01606 # DEPENDENCYPART_ARC
(13,27),-0.697817 # DEPENDENCYPART_ARC
(13,28),-1.00828 # DEPENDENCYPART_ARC
(13,29),-1.1463 # DEPENDENCYPART_ARC
(13,30),-1.73937 # DEPENDENCYPART_ARC
(13,31),-0.773675 # DEPENDENCYPART_ARC
(13,32),-0.944354 # DEPENDENCYPART_ARC
(13,33),-0.342107 # DEPENDENCYPART_ARC
(14,1),-1.89454 # DEPENDENCYPART_ARC
(14,2),-2.01377 # DEPENDENCYPART_ARC
(14,3),-2.92506 # DEPENDENCYPART_ARC
(14,4),-2.43155 # DEPENDENCYPART_ARC
(14,5),-1.77552 # DEPENDENCYPART_ARC
(14,6),-1.75524 # DEPENDENCYPART_ARC
(14,7),-1.69324 # DEPENDENCYPART_ARC
(14,8),-1.63765 # DEPENDENCYPART_ARC
(14,9),-1.997 # DEPENDENCYPART_ARC
(14,10),-1.85029 # DEPENDENCYPART_ARC
(14,11),-1.46798 # DEPENDENCYPART_ARC
(14,12),-1.27701 # DEPENDENCYPART_ARC
(14,13),-0.500279 # DEPENDENCYPART_ARC
(14,15),-0.585398 # DEPENDENCYPART_ARC
(14,16),-0.75978 # DEPENDENCYPART_ARC
(14,17),-0.868451 # DEPENDENCYPART_ARC
(14,18),-0.970444 # DEPENDENCYPART_ARC
(14,19),-1.0495 # DEPENDENCYPART_ARC
(14,20),-1.74618 # DEPENDENCYPART_ARC
(14,21),-1.20868 # DEPENDENCYPART_ARC
(14,22),-0.738012 # DEPENDENCYPART_ARC
(14,23),-0.773753 # DEPENDENCYPART_ARC
(14,24),-1.10574 # DEPENDENCYPART_ARC
(14,25),-2.09388 # DEPENDENCYPART_ARC
(14,26),-1.13674 # DEPENDENCYPART_ARC
(14,27),-1.28922 # DEPENDENCYPART_ARC
(14,28),-1.29347 # DEPENDENCYPART_ARC
(14,29),-1.18064 # DEPENDENCYPART_ARC
(14,30),-2.15137 # DEPENDENCYPART_ARC
(14,31),-1.08907 # DEPENDENCYPART_ARC
(14,32),-1.21444 # DEPENDENCYPART_ARC
(14,33),-1.13294 # DEPENDENCYPART_ARC
(15,1),-1.34095 # DEPENDENCYPART_ARC
(15,2),-1.40639 # DEPENDENCYPART_ARC
(15,3),-2.77169 # DEPENDENCYPART_ARC
(15,4),-1.37152 # DEPENDENCYPART_ARC
(15,5),-0.91034 # DEPENDENCYPART_ARC
(15,6),-1.1422 # DEPENDENCYPART_ARC
(15,7),-1.03644 # DEPENDENCYPART_ARC
(15,8),-1.05494 # DEPENDENCYPART_ARC
(15,9),-1.9738 # DEPENDENCYPART_ARC
(15,10),-1.90728 # DEPENDENCYPART_ARC
(15,11),-1.09879 # DEPENDENCYPART_ARC
(15,12),-1.13715 # DEPENDENCYPART_ARC
(15,13),-0.588556 # DEPENDENCYPART_ARC
(15,14),-0.124746 # DEPENDENCYPART_ARC
(15,16),0.0352201 # DEPENDENCYPART_ARC
(15,17),-0.159729 # DEPENDENCYPART_ARC
(15,18),0.0898454 # DEPENDENCYPART_ARC
(15,19),0.0130985 # DEPENDENCYPART_ARC
(15,20),-0.898391 # DEPENDENCYPART_ARC
(15,21),-0.51994 # DEPENDENCYPART_ARC
(15,22),-0.0661133 # DEPENDENCYPART_ARC
(15,23),-0.484176 # DEPENDENCYPART_ARC
