# _root_ Szerinte az egyéves lejáratú hitelek jó részét több év múlva megtérülő vásárlásokra , például alkatrészek és műtrágya beszerzésére fordították a gazdák , ezért e tartozások három-öt éves hitelekké történő átütemezése is szükséges lenne .
#goldHeads=19,5,4,5,7,7,19,9,10,11,12,19,19,19,18,18,18,19,23,21,19,23,0,25,30,29,28,29,30,33,33,33,23,23,
#predictedHeads=19,5,5,5,7,7,19,9,10,11,12,19,19,19,18,19,18,19,23,21,19,19,0,25,30,27,28,29,30,33,33,33,19,19,
(1,24),-1.28802 # DEPENDENCYPART_ARC
(1,25),-1.77292 # DEPENDENCYPART_ARC
(1,26),-1.02448 # DEPENDENCYPART_ARC
(1,27),-1.66715 # DEPENDENCYPART_ARC
(1,28),-1.87021 # DEPENDENCYPART_ARC
(1,29),-1.77506 # DEPENDENCYPART_ARC
(1,30),-2.08864 # DEPENDENCYPART_ARC
(1,31),-2.59624 # DEPENDENCYPART_ARC
(1,32),-2.05885 # DEPENDENCYPART_ARC
(1,33),-1.67424 # DEPENDENCYPART_ARC
(1,34),-0.32181 # DEPENDENCYPART_ARC
(2,3),0.222243 # DEPENDENCYPART_ARC
(2,4),-0.00518651 # DEPENDENCYPART_ARC
(2,5),-1.03582 # DEPENDENCYPART_ARC
(2,7),-1.64975 # DEPENDENCYPART_ARC
(2,9),-1.39072 # DEPENDENCYPART_ARC
(2,11),-0.978398 # DEPENDENCYPART_ARC
(2,12),-1.56047 # DEPENDENCYPART_ARC
(2,13),-0.877226 # DEPENDENCYPART_ARC
(2,15),-1.77595 # DEPENDENCYPART_ARC
(2,16),-1.54601 # DEPENDENCYPART_ARC
(2,17),-1.75116 # DEPENDENCYPART_ARC
(2,18),-2.11763 # DEPENDENCYPART_ARC
(2,21),-1.82219 # DEPENDENCYPART_ARC
(2,22),-1.34702 # DEPENDENCYPART_ARC
(2,23),-1.99004 # DEPENDENCYPART_ARC
(2,25),-1.96102 # DEPENDENCYPART_ARC
(2,27),-2.0169 # DEPENDENCYPART_ARC
(2,28),-2.07326 # DEPENDENCYPART_ARC
(2,29),-2.11436 # DEPENDENCYPART_ARC
(2,30),-2.35122 # DEPENDENCYPART_ARC
(2,31),-2.95669 # DEPENDENCYPART_ARC
(2,32),-2.34014 # DEPENDENCYPART_ARC
(3,1),-0.255354 # DEPENDENCYPART_ARC
(3,2),0.654366 # DEPENDENCYPART_ARC
(3,4),-0.952441 # DEPENDENCYPART_ARC
(3,5),-1.11791 # DEPENDENCYPART_ARC
(3,6),-1.24941 # DEPENDENCYPART_ARC
(3,7),-2.03109 # DEPENDENCYPART_ARC
(3,8),-1.19531 # DEPENDENCYPART_ARC
(3,9),-1.66669 # DEPENDENCYPART_ARC
(3,10),-1.18287 # DEPENDENCYPART_ARC
(3,11),-1.75296 # DEPENDENCYPART_ARC
(3,12),-1.66459 # DEPENDENCYPART_ARC
(3,13),-0.899062 # DEPENDENCYPART_ARC
(3,14),-1.48648 # DEPENDENCYPART_ARC
(3,15),-2.56369 # DEPENDENCYPART_ARC
(3,16),-1.52492 # DEPENDENCYPART_ARC
(3,17),-2.40614 # DEPENDENCYPART_ARC
(3,18),-2.4015 # DEPENDENCYPART_ARC
(3,19),-1.8161 # DEPENDENCYPART_ARC
(3,20),-2.03019 # DEPENDENCYPART_ARC
(3,21),-2.90187 # DEPENDENCYPART_ARC
(3,22),-1.24381 # DEPENDENCYPART_ARC
(3,23),-1.63215 # DEPENDENCYPART_ARC
(3,24),-2.37833 # DEPENDENCYPART_ARC
(3,25),-3.17409 # DEPENDENCYPART_ARC
(3,26),-1.61838 # DEPENDENCYPART_ARC
(3,27),-2.35197 # DEPENDENCYPART_ARC
(3,28),-3.33041 # DEPENDENCYPART_ARC
(3,29),-2.51061 # DEPENDENCYPART_ARC
(3,30),-3.20873 # DEPENDENCYPART_ARC
(3,31),-2.68938 # DEPENDENCYPART_ARC
(3,32),-2.61235 # DEPENDENCYPART_ARC
(3,33),-2.21897 # DEPENDENCYPART_ARC
(3,34),-0.969961 # DEPENDENCYPART_ARC
(4,1),-0.342854 # DEPENDENCYPART_ARC
(4,2),0.183202 # DEPENDENCYPART_ARC
(4,3),1.61667 # DEPENDENCYPART_ARC
(4,5),-1.0949 # DEPENDENCYPART_ARC
(4,6),-1.20155 # DEPENDENCYPART_ARC
(4,7),-2.04812 # DEPENDENCYPART_ARC
(4,8),-1.17495 # DEPENDENCYPART_ARC
(4,9),-1.59666 # DEPENDENCYPART_ARC
(4,10),-1.19723 # DEPENDENCYPART_ARC
(4,11),-1.81411 # DEPENDENCYPART_ARC
(4,12),-1.84371 # DEPENDENCYPART_ARC
(4,13),-0.979226 # DEPENDENCYPART_ARC
(4,14),-1.5199 # DEPENDENCYPART_ARC
(4,15),-2.61418 # DEPENDENCYPART_ARC
(4,16),-1.51144 # DEPENDENCYPART_ARC
(4,17),-2.5295 # DEPENDENCYPART_ARC
(4,18),-2.50307 # DEPENDENCYPART_ARC
(4,19),-1.95386 # DEPENDENCYPART_ARC
(4,20),-2.11251 # DEPENDENCYPART_ARC
(4,21),-2.90872 # DEPENDENCYPART_ARC
(4,22),-1.33492 # DEPENDENCYPART_ARC
(4,23),-1.53782 # DEPENDENCYPART_ARC
(4,24),-2.45148 # DEPENDENCYPART_ARC
(4,25),-3.3206 # DEPENDENCYPART_ARC
(4,26),-1.58123 # DEPENDENCYPART_ARC
(4,27),-2.54495 # DEPENDENCYPART_ARC
(4,28),-3.38888 # DEPENDENCYPART_ARC
(4,29),-2.57408 # DEPENDENCYPART_ARC
(4,30),-3.40541 # DEPENDENCYPART_ARC
(4,31),-2.6067 # DEPENDENCYPART_ARC
(4,32),-2.75644 # DEPENDENCYPART_ARC
(4,33),-2.26654 # DEPENDENCYPART_ARC
(4,34),-0.894521 # DEPENDENCYPART_ARC
(5,1),0.158768 # DEPENDENCYPART_ARC
(5,2),2.60419 # DEPENDENCYPART_ARC
(5,3),3.08658 # DEPENDENCYPART_ARC
(5,4),3.77131 # DEPENDENCYPART_ARC
(5,6),-0.640866 # DEPENDENCYPART_ARC
(5,7),-1.52782 # DEPENDENCYPART_ARC
(5,8),-0.749302 # DEPENDENCYPART_ARC
(5,9),-0.952019 # DEPENDENCYPART_ARC
(5,10),-0.089221 # DEPENDENCYPART_ARC
(5,11),-1.12922 # DEPENDENCYPART_ARC
(5,12),-1.43161 # DEPENDENCYPART_ARC
(5,13),-0.0244626 # DEPENDENCYPART_ARC
(5,14),-0.927676 # DEPENDENCYPART_ARC
(5,15),-1.64031 # DEPENDENCYPART_ARC
(5,16),-0.62135 # DEPENDENCYPART_ARC
(5,17),-2.20558 # DEPENDENCYPART_ARC
(5,18),-2.89648 # DEPENDENCYPART_ARC
(5,19),-1.12584 # DEPENDENCYPART_ARC
(5,20),-1.57975 # DEPENDENCYPART_ARC
(5,21),-2.24734 # DEPENDENCYPART_ARC
(5,22),-0.576982 # DEPENDENCYPART_ARC
(5,23),-1.10677 # DEPENDENCYPART_ARC
(5,24),-1.54921 # DEPENDENCYPART_ARC
(5,25),-2.92213 # DEPENDENCYPART_ARC
(5,26),-1.25894 # DEPENDENCYPART_ARC
(5,27),-1.75269 # DEPENDENCYPART_ARC
(5,28),-3.14736 # DEPENDENCYPART_ARC
(5,29),-2.06308 # DEPENDENCYPART_ARC
(5,30),-3.17935 # DEPENDENCYPART_ARC
(5,31),-2.38108 # DEPENDENCYPART_ARC
(5,32),-2.15735 # DEPENDENCYPART_ARC
(5,33),-2.15871 # DEPENDENCYPART_ARC
(5,34),-0.112929 # DEPENDENCYPART_ARC
(6,1),-0.21425 # DEPENDENCYPART_ARC
(6,2),-0.626244 # DEPENDENCYPART_ARC
(6,3),-0.327161 # DEPENDENCYPART_ARC
(6,4),-0.356536 # DEPENDENCYPART_ARC
(6,5),0.0709134 # DEPENDENCYPART_ARC
(6,7),-0.121513 # DEPENDENCYPART_ARC
(6,8),-0.339006 # DEPENDENCYPART_ARC
(6,9),-0.226281 # DEPENDENCYPART_ARC
(6,10),-0.0130099 # DEPENDENCYPART_ARC
(6,11),-0.439701 # DEPENDENCYPART_ARC
(6,12),-0.496261 # DEPENDENCYPART_ARC
(6,13),0.0968697 # DEPENDENCYPART_ARC
(6,14),-0.719112 # DEPENDENCYPART_ARC
(6,15),-1.37042 # DEPENDENCYPART_ARC
(6,16),-0.44872 # DEPENDENCYPART_ARC
(6,17),-1.20462 # DEPENDENCYPART_ARC
(6,18),-1.25884 # DEPENDENCYPART_ARC
(6,19),-0.586412 # DEPENDENCYPART_ARC
(6,20),-1.29455 # DEPENDENCYPART_ARC
(6,21),-1.4207 # DEPENDENCYPART_ARC
(6,22),-0.753634 # DEPENDENCYPART_ARC
(6,23),-0.858825 # DEPENDENCYPART_ARC
(6,24),-1.2169 # DEPENDENCYPART_ARC
(6,25),-1.93549 # DEPENDENCYPART_ARC
(6,26),-1.19385 # DEPENDENCYPART_ARC
(6,27),-1.56031 # DEPENDENCYPART_ARC
(6,28),-1.9261 # DEPENDENCYPART_ARC
(6,29),-1.58741 # DEPENDENCYPART_ARC
(6,30),-2.03047 # DEPENDENCYPART_ARC
(6,31),-2.34071 # DEPENDENCYPART_ARC
(6,32),-1.91321 # DEPENDENCYPART_ARC
(6,33),-1.61737 # DEPENDENCYPART_ARC
(6,34),-0.141672 # DEPENDENCYPART_ARC
(7,1),-0.497714 # DEPENDENCYPART_ARC
(7,2),0.0685415 # DEPENDENCYPART_ARC
(7,3),0.67296 # DEPENDENCYPART_ARC
(7,4),0.72163 # DEPENDENCYPART_ARC
(7,5),2.79621 # DEPENDENCYPART_ARC
(7,6),1.33113 # DEPENDENCYPART_ARC
(7,8),-0.284077 # DEPENDENCYPART_ARC
(7,9),-0.228024 # DEPENDENCYPART_ARC
(7,10),0.349048 # DEPENDENCYPART_ARC
(7,11),-0.599815 # DEPENDENCYPART_ARC
(7,12),-0.425184 # DEPENDENCYPART_ARC
(7,13),0.342107 # DEPENDENCYPART_ARC
(7,14),-0.590635 # DEPENDENCYPART_ARC
(7,15),-0.975574 # DEPENDENCYPART_ARC
(7,16),-0.181166 # DEPENDENCYPART_ARC
(7,17),-1.42342 # DEPENDENCYPART_ARC
(7,18),-1.99514 # DEPENDENCYPART_ARC
(7,19),-0.847571 # DEPENDENCYPART_ARC
(7,20),-1.2955 # DEPENDENCYPART_ARC
(7,21),-1.71722 # DEPENDENCYPART_ARC
(7,22),-0.359741 # DEPENDENCYPART_ARC
(7,23),-0.59782 # DEPENDENCYPART_ARC
(7,24),-2.17711 # DEPENDENCYPART_ARC
(7,25),-2.30674 # DEPENDENCYPART_ARC
(7,26),-0.947713 # DEPENDENCYPART_ARC
(7,27),-1.48575 # DEPENDENCYPART_ARC
(7,28),-2.44729 # DEPENDENCYPART_ARC
(7,29),-1.73948 # DEPENDENCYPART_ARC
(7,30),-2.62726 # DEPENDENCYPART_ARC
(7,31),-1.69766 # DEPENDENCYPART_ARC
(7,32),-1.86948 # DEPENDENCYPART_ARC
(7,33),-2.21206 # DEPENDENCYPART_ARC
(7,34),0.297547 # DEPENDENCYPART_ARC
(8,1),-1.24527 # DEPENDENCYPART_ARC
(8,2),-1.0835 # DEPENDENCYPART_ARC
(8,3),-1.90178 # DEPENDENCYPART_ARC
(8,4),-1.7434 # DEPENDENCYPART_ARC
(8,5),-1.52193 # DEPENDENCYPART_ARC
(8,6),-0.750545 # DEPENDENCYPART_ARC
(8,7),-1.3583 # DEPENDENCYPART_ARC
(8,9),-0.509098 # DEPENDENCYPART_ARC
(8,10),-0.897774 # DEPENDENCYPART_ARC
(8,11),-1.24432 # DEPENDENCYPART_ARC
(8,12),-2.03174 # DEPENDENCYPART_ARC
(8,13),-0.74278 # DEPENDENCYPART_ARC
(8,14),-1.40974 # DEPENDENCYPART_ARC
(8,15),-2.17311 # DEPENDENCYPART_ARC
(8,16),-1.28793 # DEPENDENCYPART_ARC
(8,17),-1.93397 # DEPENDENCYPART_ARC
(8,18),-2.43583 # DEPENDENCYPART_ARC
(8,19),-1.35452 # DEPENDENCYPART_ARC
(8,20),-1.88394 # DEPENDENCYPART_ARC
(8,21),-2.73485 # DEPENDENCYPART_ARC
(8,22),-0.984367 # DEPENDENCYPART_ARC
(8,23),-1.52601 # DEPENDENCYPART_ARC
(8,24),-2.03143 # DEPENDENCYPART_ARC
(8,25),-3.00506 # DEPENDENCYPART_ARC
(8,26),-1.83481 # DEPENDENCYPART_ARC
(8,27),-1.88199 # DEPENDENCYPART_ARC
(8,28),-3.45746 # DEPENDENCYPART_ARC
(8,29),-2.01679 # DEPENDENCYPART_ARC
(8,30),-2.72559 # DEPENDENCYPART_ARC
(8,31),-1.96698 # DEPENDENCYPART_ARC
(8,32),-2.00517 # DEPENDENCYPART_ARC
(8,33),-2.20857 # DEPENDENCYPART_ARC
(8,34),-0.452401 # DEPENDENCYPART_ARC
(9,1),-1.16233 # DEPENDENCYPART_ARC
(9,2),0.321003 # DEPENDENCYPART_ARC
(9,3),0.15806 # DEPENDENCYPART_ARC
(9,4),0.0899418 # DEPENDENCYPART_ARC
(9,5),-2.32829 # DEPENDENCYPART_ARC
(9,6),-0.160963 # DEPENDENCYPART_ARC
(9,7),-2.44354 # DEPENDENCYPART_ARC
(9,8),2.70262 # DEPENDENCYPART_ARC
(9,10),-0.0858091 # DEPENDENCYPART_ARC
(9,11),-0.907096 # DEPENDENCYPART_ARC
(9,12),-1.2838 # DEPENDENCYPART_ARC
(9,13),-0.15608 # DEPENDENCYPART_ARC
(9,14),-1.08381 # DEPENDENCYPART_ARC
(9,15),-1.54526 # DEPENDENCYPART_ARC
(9,16),-0.739256 # DEPENDENCYPART_ARC
(9,17),-1.54613 # DEPENDENCYPART_ARC
(9,18),-2.26859 # DEPENDENCYPART_ARC
(9,19),-0.752188 # DEPENDENCYPART_ARC
(9,20),-1.6229 # DEPENDENCYPART_ARC
(9,21),-2.30107 # DEPENDENCYPART_ARC
(9,22),-0.821729 # DEPENDENCYPART_ARC
(9,23),-1.2344 # DEPENDENCYPART_ARC
(9,24),-2.02455 # DEPENDENCYPART_ARC
(9,25),-2.89243 # DEPENDENCYPART_ARC
(9,26),-1.39963 # DEPENDENCYPART_ARC
(9,27),-2.06284 # DEPENDENCYPART_ARC
(9,28),-3.2017 # DEPENDENCYPART_ARC
(9,29),-2.35008 # DEPENDENCYPART_ARC
(9,30),-2.72467 # DEPENDENCYPART_ARC
(9,31),-2.2305 # DEPENDENCYPART_ARC
(9,32),-2.35575 # DEPENDENCYPART_ARC
(9,33),-1.72718 # DEPENDENCYPART_ARC
(9,34),-0.307828 # DEPENDENCYPART_ARC
(10,1),-0.735762 # DEPENDENCYPART_ARC
(10,2),-0.632173 # DEPENDENCYPART_ARC
(10,3),-0.579281 # DEPENDENCYPART_ARC
(10,4),-0.604307 # DEPENDENCYPART_ARC
(10,5),-0.314362 # DEPENDENCYPART_ARC
(10,6),-0.0541863 # DEPENDENCYPART_ARC
(10,7),0.241781 # DEPENDENCYPART_ARC
(10,8),0.789381 # DEPENDENCYPART_ARC
(10,9),3.675 # DEPENDENCYPART_ARC
(10,11),-0.437234 # DEPENDENCYPART_ARC
(10,12),-0.465028 # DEPENDENCYPART_ARC
(10,13),-0.328671 # DEPENDENCYPART_ARC
(10,14),-0.878893 # DEPENDENCYPART_ARC
(10,15),-1.11217 # DEPENDENCYPART_ARC
(10,16),-0.692726 # DEPENDENCYPART_ARC
(10,17),-1.20662 # DEPENDENCYPART_ARC
(10,18),-1.2514 # DEPENDENCYPART_ARC
(10,19),-0.681128 # DEPENDENCYPART_ARC
(10,20),-1.05671 # DEPENDENCYPART_ARC
(10,21),-1.39291 # DEPENDENCYPART_ARC
(10,22),-0.841399 # DEPENDENCYPART_ARC
(10,23),-1.01803 # DEPENDENCYPART_ARC
(10,24),-1.6203 # DEPENDENCYPART_ARC
(10,25),-1.65917 # DEPENDENCYPART_ARC
(10,26),-1.43888 # DEPENDENCYPART_ARC
(10,27),-1.42374 # DEPENDENCYPART_ARC
(10,28),-1.51484 # DEPENDENCYPART_ARC
(10,29),-1.44949 # DEPENDENCYPART_ARC
(10,30),-1.65928 # DEPENDENCYPART_ARC
(10,31),-1.40305 # DEPENDENCYPART_ARC
(10,32),-1.51166 # DEPENDENCYPART_ARC
(10,33),-1.30862 # DEPENDENCYPART_ARC
(10,34),-0.336116 # DEPENDENCYPART_ARC
(11,1),-0.316605 # DEPENDENCYPART_ARC
(11,2),-0.084599 # DEPENDENCYPART_ARC
(11,3),-0.437581 # DEPENDENCYPART_ARC
(11,4),-0.772685 # DEPENDENCYPART_ARC
(11,5),-0.697813 # DEPENDENCYPART_ARC
(11,6),0.525933 # DEPENDENCYPART_ARC
(11,7),0.456397 # DEPENDENCYPART_ARC
(11,8),0.30991 # DEPENDENCYPART_ARC
(11,9),0.27902 # DEPENDENCYPART_ARC
(11,10),1.97669 # DEPENDENCYPART_ARC
(11,12),-0.270162 # DEPENDENCYPART_ARC
(11,13),-0.341739 # DEPENDENCYPART_ARC
(11,14),-0.858114 # DEPENDENCYPART_ARC
(11,15),-1.50852 # DEPENDENCYPART_ARC
(11,16),-1.01564 # DEPENDENCYPART_ARC
(11,17),-1.5833 # DEPENDENCYPART_ARC
(11,18),-1.62084 # DEPENDENCYPART_ARC
(11,19),-1.07667 # DEPENDENCYPART_ARC
(11,20),-1.55696 # DEPENDENCYPART_ARC
(11,21),-2.09902 # DEPENDENCYPART_ARC
(11,22),-0.747463 # DEPENDENCYPART_ARC
(11,23),-1.03798 # DEPENDENCYPART_ARC
(11,24),-1.91766 # DEPENDENCYPART_ARC
(11,25),-2.60456 # DEPENDENCYPART_ARC
(11,26),-1.17364 # DEPENDENCYPART_ARC
(11,27),-1.94573 # DEPENDENCYPART_ARC
(11,28),-2.66587 # DEPENDENCYPART_ARC
(11,29),-2.01533 # DEPENDENCYPART_ARC
(11,30),-2.55214 # DEPENDENCYPART_ARC
(11,31),-1.8332 # DEPENDENCYPART_ARC
(11,32),-2.12233 # DEPENDENCYPART_ARC
(11,33),-1.38425 # DEPENDENCYPART_ARC
(11,34),-0.207219 # DEPENDENCYPART_ARC
(12,1),-0.712774 # DEPENDENCYPART_ARC
(12,2),1.15282 # DEPENDENCYPART_ARC
(12,3),0.852744 # DEPENDENCYPART_ARC
(12,4),0.848767 # DEPENDENCYPART_ARC
(12,5),-1.70737 # DEPENDENCYPART_ARC
(12,6),-0.145841 # DEPENDENCYPART_ARC
(12,7),-2.04466 # DEPENDENCYPART_ARC
(12,8),0.299535 # DEPENDENCYPART_ARC
(12,9),0.0696446 # DEPENDENCYPART_ARC
(12,10),0.634952 # DEPENDENCYPART_ARC
(12,11),3.20974 # DEPENDENCYPART_ARC
(12,13),-0.00620259 # DEPENDENCYPART_ARC
(12,14),-0.938464 # DEPENDENCYPART_ARC
(12,15),-0.897792 # DEPENDENCYPART_ARC
(12,16),-0.709309 # DEPENDENCYPART_ARC
(12,17),-1.64216 # DEPENDENCYPART_ARC
(12,18),-1.96238 # DEPENDENCYPART_ARC
(12,19),-1.07719 # DEPENDENCYPART_ARC
(12,20),-1.38599 # DEPENDENCYPART_ARC
(12,21),-1.71406 # DEPENDENCYPART_ARC
(12,22),-0.616809 # DEPENDENCYPART_ARC
(12,23),-0.982646 # DEPENDENCYPART_ARC
(12,24),-1.90416 # DEPENDENCYPART_ARC
(12,25),-2.5156 # DEPENDENCYPART_ARC
(12,26),-1.51064 # DEPENDENCYPART_ARC
(12,27),-1.37 # DEPENDENCYPART_ARC
(12,28),-2.2771 # DEPENDENCYPART_ARC
(12,29),-1.61492 # DEPENDENCYPART_ARC
(12,30),-3.0754 # DEPENDENCYPART_ARC
(12,31),-1.95897 # DEPENDENCYPART_ARC
(12,32),-1.66678 # DEPENDENCYPART_ARC
(12,33),-2.08005 # DEPENDENCYPART_ARC
(12,34),0.12803 # DEPENDENCYPART_ARC
(14,1),-0.327366 # DEPENDENCYPART_ARC
(14,2),-1.28952 # DEPENDENCYPART_ARC
(14,3),-0.78936 # DEPENDENCYPART_ARC
(14,4),-0.788185 # DEPENDENCYPART_ARC
(14,5),-0.79608 # DEPENDENCYPART_ARC
(14,6),-0.151943 # DEPENDENCYPART_ARC
(14,7),-0.628606 # DEPENDENCYPART_ARC
(14,8),-0.531692 # DEPENDENCYPART_ARC
(14,9),-0.619637 # DEPENDENCYPART_ARC
(14,10),-0.0760032 # DEPENDENCYPART_ARC
(14,11),-0.316526 # DEPENDENCYPART_ARC
(14,12),-0.569045 # DEPENDENCYPART_ARC
(14,13),0.257705 # DEPENDENCYPART_ARC
(14,15),0.0450606 # DEPENDENCYPART_ARC
(14,16),0.248534 # DEPENDENCYPART_ARC
(14,17),0.0717049 # DEPENDENCYPART_ARC
(14,18),-0.0110881 # DEPENDENCYPART_ARC
(14,19),0.404837 # DEPENDENCYPART_ARC
(14,20),-0.657852 # DEPENDENCYPART_ARC
(14,21),-0.499464 # DEPENDENCYPART_ARC
(14,22),0.410842 # DEPENDENCYPART_ARC
(14,23),0.0202411 # DEPENDENCYPART_ARC
(14,24),-0.824272 # DEPENDENCYPART_ARC
(14,25),-1.25927 # DEPENDENCYPART_ARC
(14,26),-0.76403 # DEPENDENCYPART_ARC
(14,27),-1.04126 # DEPENDENCYPART_ARC
(14,28),-1.20162 # DEPENDENCYPART_ARC
(14,29),-1.02539 # DEPENDENCYPART_ARC
(14,30),-1.20191 # DEPENDENCYPART_ARC
(14,31),-0.90454 # DEPENDENCYPART_ARC
(14,32),-1.29381 # DEPENDENCYPART_ARC
(14,33),-0.423477 # DEPENDENCYPART_ARC
(14,34),0.297542 # DEPENDENCYPART_ARC
(15,1),-1.40093 # DEPENDENCYPART_ARC
(15,2),-0.223599 # DEPENDENCYPART_ARC
(15,3),-0.195201 # DEPENDENCYPART_ARC
(15,4),-0.203221 # DEPENDENCYPART_ARC
(15,5),-2.45533 # DEPENDENCYPART_ARC
(15,6),-1.21748 # DEPENDENCYPART_ARC
(15,7),-3.43602 # DEPENDENCYPART_ARC
(15,8),-1.17184 # DEPENDENCYPART_ARC
(15,9),-1.42595 # DEPENDENCYPART_ARC
(15,10),-0.95891 # DEPENDENCYPART_ARC
(15,11),0.423526 # DEPENDENCYPART_ARC
(15,12),-2.15055 # DEPENDENCYPART_ARC
(15,13),0.0053262 # DEPENDENCYPART_ARC
(15,14),0.313715 # DEPENDENCYPART_ARC
(15,16),-0.713851 # DEPENDENCYPART_ARC
(15,17),-1.22576 # DEPENDENCYPART_ARC
(15,18),-2.01567 # DEPENDENCYPART_ARC
(15,19),-0.688312 # DEPENDENCYPART_ARC
(15,20),-1.42558 # DEPENDENCYPART_ARC
(15,21),-1.90548 # DEPENDENCYPART_ARC
(15,22),-0.6182 # DEPENDENCYPART_ARC
(15,23),-1.02608 # DEPENDENCYPART_ARC
(15,24),-1.73182 # DEPENDENCYPART_ARC
(15,25),-2.44057 # DEPENDENCYPART_ARC
(15,26),-1.41154 # DEPENDENCYPART_ARC
(15,27),-1.73464 # DEPENDENCYPART_ARC
(15,28),-3.01401 # DEPENDENCYPART_ARC
(15,29),-1.97978 # DEPENDENCYPART_ARC
(15,30),-2.92439 # DEPENDENCYPART_ARC
(15,31),-1.89968 # DEPENDENCYPART_ARC
(15,32),-1.928 # DEPENDENCYPART_ARC
(15,33),-2.01292 # DEPENDENCYPART_ARC
(15,34),-0.121792 # DEPENDENCYPART_ARC
(16,1),-0.780852 # DEPENDENCYPART_ARC
(16,2),-0.84081 # DEPENDENCYPART_ARC
(16,3),-0.600051 # DEPENDENCYPART_ARC
(16,4),-0.757043 # DEPENDENCYPART_ARC
(16,5),-0.833814 # DEPENDENCYPART_ARC
(16,6),-1.32454 # DEPENDENCYPART_ARC
(16,7),-1.0659 # DEPENDENCYPART_ARC
(16,8),-0.552883 # DEPENDENCYPART_ARC
(16,9),-0.808632 # DEPENDENCYPART_ARC
(16,10),-0.419398 # DEPENDENCYPART_ARC
(16,11),-0.703271 # DEPENDENCYPART_ARC
(16,12),-0.724439 # DEPENDENCYPART_ARC
(16,13),0.485431 # DEPENDENCYPART_ARC
(16,14),-0.117354 # DEPENDENCYPART_ARC
(16,15),-0.0454995 # DEPENDENCYPART_ARC
(16,17),-0.0410051 # DEPENDENCYPART_ARC
(16,18),-0.393091 # DEPENDENCYPART_ARC
(16,19),0.438773 # DEPENDENCYPART_ARC
(16,20),-0.868064 # DEPENDENCYPART_ARC
(16,21),-0.506449 # DEPENDENCYPART_ARC
(16,22),-0.13426 # DEPENDENCYPART_ARC
