# _root_ Krőzsel pénzügyi okokkal magyarázta , hogy az ORFK vezetése csökkentette a MESZ létszámát , pedig elégedett volt az eddigi tevékenységével .
#goldHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,4,4,17,4,20,20,17,4,
#predictedHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,10,17,17,4,20,20,17,4,
(4,18),-0.748005 # DEPENDENCYPART_ARC
(4,19),-1.49293 # DEPENDENCYPART_ARC
(4,20),-1.04489 # DEPENDENCYPART_ARC
(4,21),3.53117 # DEPENDENCYPART_ARC
(6,1),0.764207 # DEPENDENCYPART_ARC
(6,2),0.304968 # DEPENDENCYPART_ARC
(6,3),0.254749 # DEPENDENCYPART_ARC
(6,4),0.144386 # DEPENDENCYPART_ARC
(6,5),1.02065 # DEPENDENCYPART_ARC
(6,7),-0.642422 # DEPENDENCYPART_ARC
(6,8),-0.259692 # DEPENDENCYPART_ARC
(6,9),-0.751908 # DEPENDENCYPART_ARC
(6,10),0.939127 # DEPENDENCYPART_ARC
(6,11),-1.07236 # DEPENDENCYPART_ARC
(6,12),-1.04797 # DEPENDENCYPART_ARC
(6,13),-1.41622 # DEPENDENCYPART_ARC
(6,14),-0.336372 # DEPENDENCYPART_ARC
(6,15),0.0448994 # DEPENDENCYPART_ARC
(6,16),-1.01809 # DEPENDENCYPART_ARC
(6,17),0.887459 # DEPENDENCYPART_ARC
(6,18),-1.15197 # DEPENDENCYPART_ARC
(6,19),-0.989613 # DEPENDENCYPART_ARC
(6,20),-1.96445 # DEPENDENCYPART_ARC
(6,21),1.76533 # DEPENDENCYPART_ARC
(7,1),-3.12741 # DEPENDENCYPART_ARC
(7,2),-2.19439 # DEPENDENCYPART_ARC
(7,3),-2.82813 # DEPENDENCYPART_ARC
(7,5),-1.1737 # DEPENDENCYPART_ARC
(7,8),-0.241828 # DEPENDENCYPART_ARC
(7,9),-0.764504 # DEPENDENCYPART_ARC
(7,12),-1.04647 # DEPENDENCYPART_ARC
(7,13),-1.71362 # DEPENDENCYPART_ARC
(7,14),-0.375328 # DEPENDENCYPART_ARC
(7,15),-1.07763 # DEPENDENCYPART_ARC
(7,16),-1.34713 # DEPENDENCYPART_ARC
(7,19),-1.36694 # DEPENDENCYPART_ARC
(7,20),-2.23061 # DEPENDENCYPART_ARC
(8,1),-3.12219 # DEPENDENCYPART_ARC
(8,2),-2.49218 # DEPENDENCYPART_ARC
(8,3),-4.75039 # DEPENDENCYPART_ARC
(8,4),-1.14459 # DEPENDENCYPART_ARC
(8,5),-0.812854 # DEPENDENCYPART_ARC
(8,6),-0.992739 # DEPENDENCYPART_ARC
(8,7),2.68732 # DEPENDENCYPART_ARC
(8,9),-0.553497 # DEPENDENCYPART_ARC
(8,10),-0.893194 # DEPENDENCYPART_ARC
(8,11),-1.49818 # DEPENDENCYPART_ARC
(8,12),-1.4594 # DEPENDENCYPART_ARC
(8,13),-1.86937 # DEPENDENCYPART_ARC
(8,14),-0.673976 # DEPENDENCYPART_ARC
(8,15),-1.47149 # DEPENDENCYPART_ARC
(8,16),-1.79929 # DEPENDENCYPART_ARC
(8,17),-1.65823 # DEPENDENCYPART_ARC
(8,18),-1.74218 # DEPENDENCYPART_ARC
(8,19),-1.86914 # DEPENDENCYPART_ARC
(8,20),-2.70629 # DEPENDENCYPART_ARC
(8,21),-0.615958 # DEPENDENCYPART_ARC
(9,1),-1.13521 # DEPENDENCYPART_ARC
(9,2),-1.34192 # DEPENDENCYPART_ARC
(9,3),-3.2078 # DEPENDENCYPART_ARC
(9,4),-1.08719 # DEPENDENCYPART_ARC
(9,5),-0.169958 # DEPENDENCYPART_ARC
(9,6),-0.152348 # DEPENDENCYPART_ARC
(9,7),1.02572 # DEPENDENCYPART_ARC
(9,8),4.18813 # DEPENDENCYPART_ARC
(9,10),-1.07883 # DEPENDENCYPART_ARC
(9,11),-1.71319 # DEPENDENCYPART_ARC
(9,12),-1.31866 # DEPENDENCYPART_ARC
(9,13),-2.15398 # DEPENDENCYPART_ARC
(9,14),-0.808065 # DEPENDENCYPART_ARC
(9,15),-1.22721 # DEPENDENCYPART_ARC
(9,16),-1.97825 # DEPENDENCYPART_ARC
(9,17),-1.75937 # DEPENDENCYPART_ARC
(9,18),-1.93337 # DEPENDENCYPART_ARC
(9,19),-2.00196 # DEPENDENCYPART_ARC
(9,20),-2.74538 # DEPENDENCYPART_ARC
(9,21),-0.359422 # DEPENDENCYPART_ARC
(10,1),0.952526 # DEPENDENCYPART_ARC
(10,2),-0.531068 # DEPENDENCYPART_ARC
(10,3),0.391069 # DEPENDENCYPART_ARC
(10,4),-0.0501729 # DEPENDENCYPART_ARC
(10,5),0.740539 # DEPENDENCYPART_ARC
(10,6),0.0251238 # DEPENDENCYPART_ARC
(10,7),-0.0436103 # DEPENDENCYPART_ARC
(10,8),2.327 # DEPENDENCYPART_ARC
(10,9),4.0041 # DEPENDENCYPART_ARC
(10,11),-0.0623888 # DEPENDENCYPART_ARC
(10,12),1.16314 # DEPENDENCYPART_ARC
(10,13),3.43564 # DEPENDENCYPART_ARC
(10,14),1.65394 # DEPENDENCYPART_ARC
(10,15),0.696164 # DEPENDENCYPART_ARC
(10,16),-0.559839 # DEPENDENCYPART_ARC
(10,17),1.3379 # DEPENDENCYPART_ARC
(10,18),-0.983948 # DEPENDENCYPART_ARC
(10,19),-1.39307 # DEPENDENCYPART_ARC
(10,20),0.570655 # DEPENDENCYPART_ARC
(10,21),1.86924 # DEPENDENCYPART_ARC
(11,1),-3.27192 # DEPENDENCYPART_ARC
(11,2),-2.203 # DEPENDENCYPART_ARC
(11,3),-3.18617 # DEPENDENCYPART_ARC
(11,5),-1.34624 # DEPENDENCYPART_ARC
(11,8),-2.58799 # DEPENDENCYPART_ARC
(11,9),-3.00292 # DEPENDENCYPART_ARC
(11,12),-0.225437 # DEPENDENCYPART_ARC
(11,13),-0.943137 # DEPENDENCYPART_ARC
(11,14),-0.284713 # DEPENDENCYPART_ARC
(11,15),-0.817891 # DEPENDENCYPART_ARC
(11,16),-0.795228 # DEPENDENCYPART_ARC
(11,19),-1.09474 # DEPENDENCYPART_ARC
(11,20),-2.12662 # DEPENDENCYPART_ARC
(12,1),-4.05893 # DEPENDENCYPART_ARC
(12,2),-3.41642 # DEPENDENCYPART_ARC
(12,3),-5.87369 # DEPENDENCYPART_ARC
(12,4),-1.99185 # DEPENDENCYPART_ARC
(12,5),-2.05397 # DEPENDENCYPART_ARC
(12,6),-2.04909 # DEPENDENCYPART_ARC
(12,7),-0.860453 # DEPENDENCYPART_ARC
(12,8),-2.12112 # DEPENDENCYPART_ARC
(12,9),-3.5596 # DEPENDENCYPART_ARC
(12,10),-0.162848 # DEPENDENCYPART_ARC
(12,11),2.70272 # DEPENDENCYPART_ARC
(12,13),-1.07078 # DEPENDENCYPART_ARC
(12,14),-0.584655 # DEPENDENCYPART_ARC
(12,15),-1.21911 # DEPENDENCYPART_ARC
(12,16),-1.15458 # DEPENDENCYPART_ARC
(12,17),-1.29819 # DEPENDENCYPART_ARC
(12,18),-1.62719 # DEPENDENCYPART_ARC
(12,19),-1.56143 # DEPENDENCYPART_ARC
(12,20),-2.39832 # DEPENDENCYPART_ARC
(12,21),-0.872549 # DEPENDENCYPART_ARC
(13,1),-2.11719 # DEPENDENCYPART_ARC
(13,2),-1.9542 # DEPENDENCYPART_ARC
(13,3),-3.61986 # DEPENDENCYPART_ARC
(13,4),-2.54421 # DEPENDENCYPART_ARC
(13,5),-1.21029 # DEPENDENCYPART_ARC
(13,6),-1.16163 # DEPENDENCYPART_ARC
(13,7),-1.5363 # DEPENDENCYPART_ARC
(13,8),-0.0280127 # DEPENDENCYPART_ARC
(13,9),-1.56786 # DEPENDENCYPART_ARC
(13,10),-1.28016 # DEPENDENCYPART_ARC
(13,11),1.48515 # DEPENDENCYPART_ARC
(13,12),3.85064 # DEPENDENCYPART_ARC
(13,14),-0.274672 # DEPENDENCYPART_ARC
(13,15),-0.898383 # DEPENDENCYPART_ARC
(13,16),-1.00813 # DEPENDENCYPART_ARC
(13,17),-1.02585 # DEPENDENCYPART_ARC
(13,18),-1.44777 # DEPENDENCYPART_ARC
(13,19),-1.52218 # DEPENDENCYPART_ARC
(13,20),-2.04558 # DEPENDENCYPART_ARC
(13,21),-0.320102 # DEPENDENCYPART_ARC
(15,1),-0.796385 # DEPENDENCYPART_ARC
(15,2),-0.665535 # DEPENDENCYPART_ARC
(15,3),-1.1881 # DEPENDENCYPART_ARC
(15,4),1.06561 # DEPENDENCYPART_ARC
(15,5),0.445892 # DEPENDENCYPART_ARC
(15,6),0.634304 # DEPENDENCYPART_ARC
(15,7),-0.740935 # DEPENDENCYPART_ARC
(15,8),-0.672209 # DEPENDENCYPART_ARC
(15,9),-0.745923 # DEPENDENCYPART_ARC
(15,10),1.61612 # DEPENDENCYPART_ARC
(15,11),-0.399028 # DEPENDENCYPART_ARC
(15,12),0.2199 # DEPENDENCYPART_ARC
(15,13),-0.576839 # DEPENDENCYPART_ARC
(15,14),1.564 # DEPENDENCYPART_ARC
(15,16),-0.0565693 # DEPENDENCYPART_ARC
(15,17),1.5168 # DEPENDENCYPART_ARC
(15,18),-0.447168 # DEPENDENCYPART_ARC
(15,19),-0.260134 # DEPENDENCYPART_ARC
(15,20),-0.842565 # DEPENDENCYPART_ARC
(15,21),2.04244 # DEPENDENCYPART_ARC
(16,1),-2.62589 # DEPENDENCYPART_ARC
(16,2),-2.17659 # DEPENDENCYPART_ARC
(16,3),-2.21485 # DEPENDENCYPART_ARC
(16,4),-1.65259 # DEPENDENCYPART_ARC
(16,5),-0.838738 # DEPENDENCYPART_ARC
(16,6),-0.929919 # DEPENDENCYPART_ARC
(16,7),-1.13656 # DEPENDENCYPART_ARC
(16,8),-1.56031 # DEPENDENCYPART_ARC
(16,9),-2.28152 # DEPENDENCYPART_ARC
(16,10),-1.17718 # DEPENDENCYPART_ARC
(16,11),-0.513508 # DEPENDENCYPART_ARC
(16,12),-0.607223 # DEPENDENCYPART_ARC
(16,13),-0.39864 # DEPENDENCYPART_ARC
(16,14),0.204547 # DEPENDENCYPART_ARC
(16,15),0.219437 # DEPENDENCYPART_ARC
(16,17),-0.213768 # DEPENDENCYPART_ARC
(16,18),-1.3245 # DEPENDENCYPART_ARC
(16,19),-1.31377 # DEPENDENCYPART_ARC
(16,20),-1.62375 # DEPENDENCYPART_ARC
(16,21),-0.603636 # DEPENDENCYPART_ARC
(17,1),0.210631 # DEPENDENCYPART_ARC
(17,2),-0.84504 # DEPENDENCYPART_ARC
(17,3),-0.597195 # DEPENDENCYPART_ARC
(17,4),0.312227 # DEPENDENCYPART_ARC
(17,5),0.840101 # DEPENDENCYPART_ARC
(17,6),0.509425 # DEPENDENCYPART_ARC
(17,7),-0.597148 # DEPENDENCYPART_ARC
(17,8),0.715651 # DEPENDENCYPART_ARC
(17,9),1.65948 # DEPENDENCYPART_ARC
(17,10),0.543722 # DEPENDENCYPART_ARC
(17,11),-0.387334 # DEPENDENCYPART_ARC
(17,12),1.51188 # DEPENDENCYPART_ARC
(17,13),0.75712 # DEPENDENCYPART_ARC
(17,14),1.21151 # DEPENDENCYPART_ARC
(17,15),2.32157 # DEPENDENCYPART_ARC
(17,16),2.43884 # DEPENDENCYPART_ARC
(17,18),0.0518594 # DEPENDENCYPART_ARC
(17,19),0.545165 # DEPENDENCYPART_ARC
(17,20),2.47819 # DEPENDENCYPART_ARC
(17,21),1.7432 # DEPENDENCYPART_ARC
(18,1),-3.40947 # DEPENDENCYPART_ARC
(18,2),-2.20628 # DEPENDENCYPART_ARC
(18,3),-3.34357 # DEPENDENCYPART_ARC
(18,5),-1.36635 # DEPENDENCYPART_ARC
(18,8),-3.07367 # DEPENDENCYPART_ARC
(18,9),-3.65701 # DEPENDENCYPART_ARC
(18,12),-2.72336 # DEPENDENCYPART_ARC
(18,13),-3.18195 # DEPENDENCYPART_ARC
(18,14),-1.14064 # DEPENDENCYPART_ARC
(18,15),-1.20704 # DEPENDENCYPART_ARC
(18,16),-1.35503 # DEPENDENCYPART_ARC
(18,19),0.138232 # DEPENDENCYPART_ARC
(18,20),-1.12372 # DEPENDENCYPART_ARC
(19,1),-3.55235 # DEPENDENCYPART_ARC
(19,2),-3.41017 # DEPENDENCYPART_ARC
(19,3),-3.62465 # DEPENDENCYPART_ARC
(19,4),-2.4351 # DEPENDENCYPART_ARC
(19,5),-1.82857 # DEPENDENCYPART_ARC
(19,6),-1.83038 # DEPENDENCYPART_ARC
(19,7),-1.93174 # DEPENDENCYPART_ARC
(19,8),-3.06313 # DEPENDENCYPART_ARC
(19,9),-3.56361 # DEPENDENCYPART_ARC
(19,10),-2.22324 # DEPENDENCYPART_ARC
(19,11),-1.7194 # DEPENDENCYPART_ARC
(19,12),-2.61006 # DEPENDENCYPART_ARC
(19,13),-2.62681 # DEPENDENCYPART_ARC
(19,14),-1.16357 # DEPENDENCYPART_ARC
(19,15),-1.25741 # DEPENDENCYPART_ARC
(19,16),-1.54236 # DEPENDENCYPART_ARC
(19,17),-1.31561 # DEPENDENCYPART_ARC
(19,18),0.671691 # DEPENDENCYPART_ARC
(19,20),-1.43907 # DEPENDENCYPART_ARC
(19,21),-1.75104 # DEPENDENCYPART_ARC
(20,1),-2.50149 # DEPENDENCYPART_ARC
(20,2),-2.45859 # DEPENDENCYPART_ARC
(20,3),-4.17948 # DEPENDENCYPART_ARC
(20,4),-2.45287 # DEPENDENCYPART_ARC
(20,5),-1.93361 # DEPENDENCYPART_ARC
(20,6),-1.80255 # DEPENDENCYPART_ARC
(20,7),-2.44888 # DEPENDENCYPART_ARC
(20,8),-0.849324 # DEPENDENCYPART_ARC
(20,9),-2.72778 # DEPENDENCYPART_ARC
(20,10),-1.93564 # DEPENDENCYPART_ARC
(20,11),-1.40356 # DEPENDENCYPART_ARC
(20,12),0.00693871 # DEPENDENCYPART_ARC
(20,13),-5.15489 # DEPENDENCYPART_ARC
(20,14),-1.04242 # DEPENDENCYPART_ARC
(20,15),-0.475032 # DEPENDENCYPART_ARC
(20,16),-0.662414 # DEPENDENCYPART_ARC
(20,17),-1.82125 # DEPENDENCYPART_ARC
(20,18),1.71776 # DEPENDENCYPART_ARC
(20,19),3.38318 # DEPENDENCYPART_ARC
(20,21),-0.549425 # DEPENDENCYPART_ARC
