# _root_ Legalábbis ez volt az az elképzelés , amelyet a Királyi_városok programban tavaly meghirdettek , s amelyből a visegrádi palota 400_millió forinttal részesült volna .
#goldHeads=3,3,0,6,6,3,3,13,11,11,13,13,2,2,2,22,19,19,22,21,22,2,22,3,
#predictedHeads=3,3,0,6,6,3,3,13,11,11,13,13,2,15,3,22,19,19,22,21,22,4,22,3,
(4,23),1.40854 # DEPENDENCYPART_ARC
(4,24),0.58257 # DEPENDENCYPART_ARC
(5,6),-0.286046 # DEPENDENCYPART_ARC
(5,7),-0.166344 # DEPENDENCYPART_ARC
(5,10),-1.06138 # DEPENDENCYPART_ARC
(5,11),-1.44501 # DEPENDENCYPART_ARC
(5,14),-0.520972 # DEPENDENCYPART_ARC
(5,15),-0.89764 # DEPENDENCYPART_ARC
(5,18),-1.35494 # DEPENDENCYPART_ARC
(5,19),-1.87962 # DEPENDENCYPART_ARC
(5,21),-1.86543 # DEPENDENCYPART_ARC
(6,1),-1.12371 # DEPENDENCYPART_ARC
(6,2),-0.489556 # DEPENDENCYPART_ARC
(6,3),-0.571891 # DEPENDENCYPART_ARC
(6,4),2.45069 # DEPENDENCYPART_ARC
(6,5),3.44918 # DEPENDENCYPART_ARC
(6,7),0.0719771 # DEPENDENCYPART_ARC
(6,8),-1.53718 # DEPENDENCYPART_ARC
(6,9),-0.922069 # DEPENDENCYPART_ARC
(6,10),-0.761199 # DEPENDENCYPART_ARC
(6,11),-0.766977 # DEPENDENCYPART_ARC
(6,12),-0.922676 # DEPENDENCYPART_ARC
(6,13),-0.195434 # DEPENDENCYPART_ARC
(6,14),-0.419896 # DEPENDENCYPART_ARC
(6,15),-0.63585 # DEPENDENCYPART_ARC
(6,16),-2.04639 # DEPENDENCYPART_ARC
(6,17),-1.38763 # DEPENDENCYPART_ARC
(6,18),-1.85689 # DEPENDENCYPART_ARC
(6,19),-1.80741 # DEPENDENCYPART_ARC
(6,20),-1.34266 # DEPENDENCYPART_ARC
(6,21),-2.46583 # DEPENDENCYPART_ARC
(6,22),-0.594197 # DEPENDENCYPART_ARC
(6,24),0.980684 # DEPENDENCYPART_ARC
(8,6),-0.855691 # DEPENDENCYPART_ARC
(8,11),-0.672729 # DEPENDENCYPART_ARC
(8,15),0.174853 # DEPENDENCYPART_ARC
(8,18),-1.08359 # DEPENDENCYPART_ARC
(8,19),-0.740256 # DEPENDENCYPART_ARC
(8,21),-1.6766 # DEPENDENCYPART_ARC
(9,6),-3.13165 # DEPENDENCYPART_ARC
(9,7),-1.80791 # DEPENDENCYPART_ARC
(9,10),-0.62921 # DEPENDENCYPART_ARC
(9,11),-1.04225 # DEPENDENCYPART_ARC
(9,14),-0.837001 # DEPENDENCYPART_ARC
(9,15),-1.16248 # DEPENDENCYPART_ARC
(9,18),-1.47729 # DEPENDENCYPART_ARC
(9,19),-2.00554 # DEPENDENCYPART_ARC
(9,21),-2.33583 # DEPENDENCYPART_ARC
(10,1),-2.09518 # DEPENDENCYPART_ARC
(10,2),-2.96993 # DEPENDENCYPART_ARC
(10,3),-2.03458 # DEPENDENCYPART_ARC
(10,4),-1.73888 # DEPENDENCYPART_ARC
(10,5),-0.353153 # DEPENDENCYPART_ARC
(10,6),-2.49426 # DEPENDENCYPART_ARC
(10,7),-1.12829 # DEPENDENCYPART_ARC
(10,8),-2.48839 # DEPENDENCYPART_ARC
(10,9),2.41535 # DEPENDENCYPART_ARC
(10,11),-0.794295 # DEPENDENCYPART_ARC
(10,12),-1.31032 # DEPENDENCYPART_ARC
(10,13),-0.726695 # DEPENDENCYPART_ARC
(10,14),-0.736264 # DEPENDENCYPART_ARC
(10,15),-1.2732 # DEPENDENCYPART_ARC
(10,16),-2.24084 # DEPENDENCYPART_ARC
(10,17),-1.68288 # DEPENDENCYPART_ARC
(10,18),-1.79444 # DEPENDENCYPART_ARC
(10,19),-1.78457 # DEPENDENCYPART_ARC
(10,20),-1.31377 # DEPENDENCYPART_ARC
(10,21),-2.78689 # DEPENDENCYPART_ARC
(10,22),-1.53895 # DEPENDENCYPART_ARC
(10,24),-0.096227 # DEPENDENCYPART_ARC
(11,1),-1.20543 # DEPENDENCYPART_ARC
(11,2),-1.7866 # DEPENDENCYPART_ARC
(11,3),-2.00569 # DEPENDENCYPART_ARC
(11,4),-0.545001 # DEPENDENCYPART_ARC
(11,5),0.432038 # DEPENDENCYPART_ARC
(11,6),-2.09638 # DEPENDENCYPART_ARC
(11,7),-0.307011 # DEPENDENCYPART_ARC
(11,8),-0.503822 # DEPENDENCYPART_ARC
(11,9),2.55009 # DEPENDENCYPART_ARC
(11,10),2.79309 # DEPENDENCYPART_ARC
(11,12),-0.758752 # DEPENDENCYPART_ARC
(11,13),-0.707733 # DEPENDENCYPART_ARC
(11,14),-0.332297 # DEPENDENCYPART_ARC
(11,15),-0.567177 # DEPENDENCYPART_ARC
(11,16),-2.22124 # DEPENDENCYPART_ARC
(11,17),-1.27262 # DEPENDENCYPART_ARC
(11,18),-1.57028 # DEPENDENCYPART_ARC
(11,19),-2.0185 # DEPENDENCYPART_ARC
(11,20),-1.35403 # DEPENDENCYPART_ARC
(11,21),-2.12719 # DEPENDENCYPART_ARC
(11,22),-1.14654 # DEPENDENCYPART_ARC
(11,24),0.316328 # DEPENDENCYPART_ARC
(12,1),-1.17317 # DEPENDENCYPART_ARC
(12,2),-1.48534 # DEPENDENCYPART_ARC
(12,3),-1.09635 # DEPENDENCYPART_ARC
(12,4),-1.41904 # DEPENDENCYPART_ARC
(12,5),-1.11075 # DEPENDENCYPART_ARC
(12,6),-1.23158 # DEPENDENCYPART_ARC
(12,7),-0.970067 # DEPENDENCYPART_ARC
(12,8),-0.718049 # DEPENDENCYPART_ARC
(12,9),-0.675154 # DEPENDENCYPART_ARC
(12,10),-0.212212 # DEPENDENCYPART_ARC
(12,11),0.364032 # DEPENDENCYPART_ARC
(12,13),0.0776178 # DEPENDENCYPART_ARC
(12,14),-0.721773 # DEPENDENCYPART_ARC
(12,15),-0.495652 # DEPENDENCYPART_ARC
(12,16),-1.13793 # DEPENDENCYPART_ARC
(12,17),-1.18639 # DEPENDENCYPART_ARC
(12,18),-1.2707 # DEPENDENCYPART_ARC
(12,19),-1.60421 # DEPENDENCYPART_ARC
(12,20),-1.11597 # DEPENDENCYPART_ARC
(12,21),-1.69891 # DEPENDENCYPART_ARC
(12,22),-1.08878 # DEPENDENCYPART_ARC
(12,24),-0.532046 # DEPENDENCYPART_ARC
(13,1),0.277715 # DEPENDENCYPART_ARC
(13,2),-1.1733 # DEPENDENCYPART_ARC
(13,3),0.208263 # DEPENDENCYPART_ARC
(13,4),-0.751745 # DEPENDENCYPART_ARC
(13,5),-0.299109 # DEPENDENCYPART_ARC
(13,6),-0.127052 # DEPENDENCYPART_ARC
(13,7),0.670143 # DEPENDENCYPART_ARC
(13,8),1.8216 # DEPENDENCYPART_ARC
(13,9),-0.275689 # DEPENDENCYPART_ARC
(13,10),1.40074 # DEPENDENCYPART_ARC
(13,11),2.86726 # DEPENDENCYPART_ARC
(13,12),3.27772 # DEPENDENCYPART_ARC
(13,14),2.04769 # DEPENDENCYPART_ARC
(13,15),1.18566 # DEPENDENCYPART_ARC
(13,16),-0.935935 # DEPENDENCYPART_ARC
(13,17),-0.294324 # DEPENDENCYPART_ARC
(13,18),-0.818545 # DEPENDENCYPART_ARC
(13,19),-1.55022 # DEPENDENCYPART_ARC
(13,20),-0.803092 # DEPENDENCYPART_ARC
(13,21),-1.70958 # DEPENDENCYPART_ARC
(13,22),1.23198 # DEPENDENCYPART_ARC
(13,23),1.6362 # DEPENDENCYPART_ARC
(13,24),2.41256 # DEPENDENCYPART_ARC
(15,1),0.161445 # DEPENDENCYPART_ARC
(15,2),-1.17067 # DEPENDENCYPART_ARC
(15,3),0.987541 # DEPENDENCYPART_ARC
(15,4),-0.546728 # DEPENDENCYPART_ARC
(15,5),-0.856608 # DEPENDENCYPART_ARC
(15,6),-1.12057 # DEPENDENCYPART_ARC
(15,7),0.244293 # DEPENDENCYPART_ARC
(15,8),-0.967176 # DEPENDENCYPART_ARC
(15,9),-1.05641 # DEPENDENCYPART_ARC
(15,10),-0.613612 # DEPENDENCYPART_ARC
(15,11),-0.340742 # DEPENDENCYPART_ARC
(15,12),0.498483 # DEPENDENCYPART_ARC
(15,13),2.04954 # DEPENDENCYPART_ARC
(15,14),2.21834 # DEPENDENCYPART_ARC
(15,16),-0.590634 # DEPENDENCYPART_ARC
(15,17),-0.375152 # DEPENDENCYPART_ARC
(15,18),0.0270008 # DEPENDENCYPART_ARC
(15,19),-0.442351 # DEPENDENCYPART_ARC
(15,20),-0.0989839 # DEPENDENCYPART_ARC
(15,21),-0.705963 # DEPENDENCYPART_ARC
(15,22),2.2854 # DEPENDENCYPART_ARC
(15,23),1.40056 # DEPENDENCYPART_ARC
(15,24),3.52678 # DEPENDENCYPART_ARC
(16,6),-1.54883 # DEPENDENCYPART_ARC
(16,11),-1.40517 # DEPENDENCYPART_ARC
(16,15),-0.145999 # DEPENDENCYPART_ARC
(16,18),-0.33609 # DEPENDENCYPART_ARC
(16,19),-0.0979967 # DEPENDENCYPART_ARC
(16,21),-0.867094 # DEPENDENCYPART_ARC
(17,6),-4.18189 # DEPENDENCYPART_ARC
(17,7),-2.26166 # DEPENDENCYPART_ARC
(17,10),-3.77679 # DEPENDENCYPART_ARC
(17,11),-3.79781 # DEPENDENCYPART_ARC
(17,14),-1.55398 # DEPENDENCYPART_ARC
(17,15),-1.7819 # DEPENDENCYPART_ARC
(17,18),-0.0467617 # DEPENDENCYPART_ARC
(17,19),-0.915081 # DEPENDENCYPART_ARC
(17,21),-1.50014 # DEPENDENCYPART_ARC
(18,1),-2.47618 # DEPENDENCYPART_ARC
(18,2),-3.11236 # DEPENDENCYPART_ARC
(18,3),-2.71406 # DEPENDENCYPART_ARC
(18,4),-2.8852 # DEPENDENCYPART_ARC
(18,5),-2.24373 # DEPENDENCYPART_ARC
(18,6),-4.08908 # DEPENDENCYPART_ARC
(18,7),-2.14731 # DEPENDENCYPART_ARC
(18,8),-2.27416 # DEPENDENCYPART_ARC
(18,9),-1.98083 # DEPENDENCYPART_ARC
(18,10),-2.87788 # DEPENDENCYPART_ARC
(18,11),-2.33276 # DEPENDENCYPART_ARC
(18,12),-1.43837 # DEPENDENCYPART_ARC
(18,13),-2.04523 # DEPENDENCYPART_ARC
(18,14),-1.09361 # DEPENDENCYPART_ARC
(18,15),-1.01669 # DEPENDENCYPART_ARC
(18,16),-0.437657 # DEPENDENCYPART_ARC
(18,17),0.71401 # DEPENDENCYPART_ARC
(18,19),-0.770471 # DEPENDENCYPART_ARC
(18,20),-1.01492 # DEPENDENCYPART_ARC
(18,21),-1.73427 # DEPENDENCYPART_ARC
(18,22),-1.20914 # DEPENDENCYPART_ARC
(18,24),-0.933351 # DEPENDENCYPART_ARC
(19,1),-1.66734 # DEPENDENCYPART_ARC
(19,2),-2.4188 # DEPENDENCYPART_ARC
(19,3),-1.80293 # DEPENDENCYPART_ARC
(19,4),-1.85596 # DEPENDENCYPART_ARC
(19,5),-1.1446 # DEPENDENCYPART_ARC
(19,6),-4.2364 # DEPENDENCYPART_ARC
(19,7),-2.26846 # DEPENDENCYPART_ARC
(19,8),-3.4419 # DEPENDENCYPART_ARC
(19,9),-0.487699 # DEPENDENCYPART_ARC
(19,10),-1.27002 # DEPENDENCYPART_ARC
(19,11),-4.32598 # DEPENDENCYPART_ARC
(19,12),-0.919397 # DEPENDENCYPART_ARC
(19,13),-0.819135 # DEPENDENCYPART_ARC
(19,14),-0.695813 # DEPENDENCYPART_ARC
(19,15),0.0537038 # DEPENDENCYPART_ARC
(19,16),-0.30105 # DEPENDENCYPART_ARC
(19,17),3.1635 # DEPENDENCYPART_ARC
(19,18),3.6043 # DEPENDENCYPART_ARC
(19,20),-0.344783 # DEPENDENCYPART_ARC
(19,21),-0.344861 # DEPENDENCYPART_ARC
(19,22),-0.244264 # DEPENDENCYPART_ARC
(19,24),0.167983 # DEPENDENCYPART_ARC
(20,1),-1.51935 # DEPENDENCYPART_ARC
(20,2),-1.50898 # DEPENDENCYPART_ARC
(20,3),-1.50863 # DEPENDENCYPART_ARC
(20,4),-1.578 # DEPENDENCYPART_ARC
(20,5),-1.45689 # DEPENDENCYPART_ARC
(20,6),-2.42484 # DEPENDENCYPART_ARC
(20,7),-2.05109 # DEPENDENCYPART_ARC
(20,8),-1.99528 # DEPENDENCYPART_ARC
(20,9),-1.12351 # DEPENDENCYPART_ARC
(20,10),-1.67376 # DEPENDENCYPART_ARC
(20,11),-2.20346 # DEPENDENCYPART_ARC
(20,12),-1.0838 # DEPENDENCYPART_ARC
(20,13),-0.936821 # DEPENDENCYPART_ARC
(20,14),-1.12803 # DEPENDENCYPART_ARC
(20,15),-1.12756 # DEPENDENCYPART_ARC
(20,16),-0.816333 # DEPENDENCYPART_ARC
(20,17),-0.18807 # DEPENDENCYPART_ARC
(20,18),-0.798076 # DEPENDENCYPART_ARC
(20,19),-0.33762 # DEPENDENCYPART_ARC
(20,21),-0.87497 # DEPENDENCYPART_ARC
(20,22),-0.508651 # DEPENDENCYPART_ARC
(20,23),-0.859025 # DEPENDENCYPART_ARC
(20,24),-0.559889 # DEPENDENCYPART_ARC
(21,1),-1.16911 # DEPENDENCYPART_ARC
(21,2),-2.83108 # DEPENDENCYPART_ARC
(21,3),-2.61551 # DEPENDENCYPART_ARC
(21,4),-2.22328 # DEPENDENCYPART_ARC
(21,5),-2.05669 # DEPENDENCYPART_ARC
(21,6),-4.36607 # DEPENDENCYPART_ARC
(21,7),-2.06218 # DEPENDENCYPART_ARC
(21,8),-2.52447 # DEPENDENCYPART_ARC
(21,9),-1.22537 # DEPENDENCYPART_ARC
(21,10),-2.06754 # DEPENDENCYPART_ARC
(21,11),-4.41654 # DEPENDENCYPART_ARC
(21,12),-0.462742 # DEPENDENCYPART_ARC
(21,13),-1.44416 # DEPENDENCYPART_ARC
(21,14),-0.577857 # DEPENDENCYPART_ARC
(21,15),0.0512807 # DEPENDENCYPART_ARC
(21,16),0.261638 # DEPENDENCYPART_ARC
(21,17),1.26657 # DEPENDENCYPART_ARC
(21,18),1.51099 # DEPENDENCYPART_ARC
(21,19),0.668157 # DEPENDENCYPART_ARC
(21,20),3.05056 # DEPENDENCYPART_ARC
(21,22),-0.769208 # DEPENDENCYPART_ARC
(21,24),-0.476431 # DEPENDENCYPART_ARC
(22,1),-0.694497 # DEPENDENCYPART_ARC
(22,2),-2.01416 # DEPENDENCYPART_ARC
(22,3),-0.549743 # DEPENDENCYPART_ARC
(22,4),-1.45849 # DEPENDENCYPART_ARC
(22,5),-1.18575 # DEPENDENCYPART_ARC
(22,6),-1.46201 # DEPENDENCYPART_ARC
(22,7),-0.0890846 # DEPENDENCYPART_ARC
(22,8),0.459374 # DEPENDENCYPART_ARC
(22,9),-1.42139 # DEPENDENCYPART_ARC
(22,10),-0.377996 # DEPENDENCYPART_ARC
(22,11),-0.113567 # DEPENDENCYPART_ARC
(22,12),0.752504 # DEPENDENCYPART_ARC
(22,13),-0.773101 # DEPENDENCYPART_ARC
(22,14),0.396475 # DEPENDENCYPART_ARC
(22,15),0.962399 # DEPENDENCYPART_ARC
(22,16),0.657866 # DEPENDENCYPART_ARC
(22,17),-0.604879 # DEPENDENCYPART_ARC
(22,18),-0.150319 # DEPENDENCYPART_ARC
(22,19),1.88427 # DEPENDENCYPART_ARC
(22,20),0.522457 # DEPENDENCYPART_ARC
(22,21),1.83042 # DEPENDENCYPART_ARC
(22,23),4.4798 # DEPENDENCYPART_ARC
(22,24),1.81461 # DEPENDENCYPART_ARC
(23,1),-1.64716 # DEPENDENCYPART_ARC
(23,2),-2.1701 # DEPENDENCYPART_ARC
(23,3),-1.19487 # DEPENDENCYPART_ARC
(23,4),-1.73779 # DEPENDENCYPART_ARC
(23,6),-2.97863 # DEPENDENCYPART_ARC
(23,7),-0.742354 # DEPENDENCYPART_ARC
(23,8),-0.708371 # DEPENDENCYPART_ARC
(23,10),-1.79864 # DEPENDENCYPART_ARC
(23,11),-1.43509 # DEPENDENCYPART_ARC
(23,12),-0.376059 # DEPENDENCYPART_ARC
(23,13),-0.791963 # DEPENDENCYPART_ARC
(23,14),-0.438298 # DEPENDENCYPART_ARC
(23,15),0.279092 # DEPENDENCYPART_ARC
(23,16),-0.352447 # DEPENDENCYPART_ARC
(23,18),-1.12993 # DEPENDENCYPART_ARC
(23,19),0.548924 # DEPENDENCYPART_ARC
(23,20),-0.712681 # DEPENDENCYPART_ARC
(23,21),0.617217 # DEPENDENCYPART_ARC
(23,22),0.513188 # DEPENDENCYPART_ARC
(23,24),-0.29557 # DEPENDENCYPART_ARC
