# _root_ A század első negyedében Alsógöd , Felsőgöd és Sződliget kialakuló református gyülekezetei előbb a váci anyaegyház leány- , majd fiókegyházaiként növekedtek .
#goldHeads=2,4,4,21,12,12,12,12,12,12,12,21,21,16,16,20,20,20,20,21,0,21,
#predictedHeads=2,12,4,21,12,21,12,10,12,12,12,21,21,16,16,21,20,19,0,21,19,19,
(2,21),-1.00966 # DEPENDENCYPART_ARC
(2,22),-0.339757 # DEPENDENCYPART_ARC
(3,1),0.335009 # DEPENDENCYPART_ARC
(3,2),0.261322 # DEPENDENCYPART_ARC
(3,5),-0.185431 # DEPENDENCYPART_ARC
(3,6),0.147863 # DEPENDENCYPART_ARC
(3,7),-1.11689 # DEPENDENCYPART_ARC
(3,8),-0.725847 # DEPENDENCYPART_ARC
(3,9),-1.41586 # DEPENDENCYPART_ARC
(3,10),-0.936903 # DEPENDENCYPART_ARC
(3,11),-0.982363 # DEPENDENCYPART_ARC
(3,12),-1.54672 # DEPENDENCYPART_ARC
(3,14),-1.13747 # DEPENDENCYPART_ARC
(3,15),-1.10396 # DEPENDENCYPART_ARC
(3,16),-1.38701 # DEPENDENCYPART_ARC
(3,18),-0.423475 # DEPENDENCYPART_ARC
(3,19),-0.903937 # DEPENDENCYPART_ARC
(3,20),-2.31531 # DEPENDENCYPART_ARC
(3,21),-1.48953 # DEPENDENCYPART_ARC
(3,22),-0.225414 # DEPENDENCYPART_ARC
(4,1),0.828615 # DEPENDENCYPART_ARC
(4,2),0.979568 # DEPENDENCYPART_ARC
(4,3),1.703 # DEPENDENCYPART_ARC
(4,5),0.282579 # DEPENDENCYPART_ARC
(4,6),-0.726403 # DEPENDENCYPART_ARC
(4,7),-0.593414 # DEPENDENCYPART_ARC
(4,8),-1.32303 # DEPENDENCYPART_ARC
(4,9),-0.815171 # DEPENDENCYPART_ARC
(4,10),-1.69135 # DEPENDENCYPART_ARC
(4,11),-1.73725 # DEPENDENCYPART_ARC
(4,12),-1.07988 # DEPENDENCYPART_ARC
(4,13),-1.6111 # DEPENDENCYPART_ARC
(4,14),-1.77964 # DEPENDENCYPART_ARC
(4,15),-1.83803 # DEPENDENCYPART_ARC
(4,16),-1.17648 # DEPENDENCYPART_ARC
(4,18),-1.28025 # DEPENDENCYPART_ARC
(4,19),-1.57913 # DEPENDENCYPART_ARC
(4,20),-1.99756 # DEPENDENCYPART_ARC
(4,21),-2.74202 # DEPENDENCYPART_ARC
(4,22),-0.668564 # DEPENDENCYPART_ARC
(5,1),1.08018 # DEPENDENCYPART_ARC
(5,2),-0.164611 # DEPENDENCYPART_ARC
(5,3),0.936925 # DEPENDENCYPART_ARC
(5,4),0.276849 # DEPENDENCYPART_ARC
(5,6),0.0692834 # DEPENDENCYPART_ARC
(5,7),-0.714669 # DEPENDENCYPART_ARC
(5,8),-0.869726 # DEPENDENCYPART_ARC
(5,9),-0.822458 # DEPENDENCYPART_ARC
(5,10),-1.08909 # DEPENDENCYPART_ARC
(5,11),-1.01266 # DEPENDENCYPART_ARC
(5,12),-1.39813 # DEPENDENCYPART_ARC
(5,13),-1.21888 # DEPENDENCYPART_ARC
(5,14),-1.4636 # DEPENDENCYPART_ARC
(5,15),-1.24155 # DEPENDENCYPART_ARC
(5,16),-1.00841 # DEPENDENCYPART_ARC
(5,17),-0.892488 # DEPENDENCYPART_ARC
(5,18),-0.745923 # DEPENDENCYPART_ARC
(5,19),-1.33429 # DEPENDENCYPART_ARC
(5,20),-2.45762 # DEPENDENCYPART_ARC
(5,21),-1.02894 # DEPENDENCYPART_ARC
(5,22),-0.397303 # DEPENDENCYPART_ARC
(7,1),0.901309 # DEPENDENCYPART_ARC
(7,2),-0.811034 # DEPENDENCYPART_ARC
(7,3),-0.440514 # DEPENDENCYPART_ARC
(7,4),-1.82177 # DEPENDENCYPART_ARC
(7,5),0.593868 # DEPENDENCYPART_ARC
(7,6),0.439119 # DEPENDENCYPART_ARC
(7,8),-1.09389 # DEPENDENCYPART_ARC
(7,9),-0.942487 # DEPENDENCYPART_ARC
(7,10),-1.19319 # DEPENDENCYPART_ARC
(7,11),-1.04045 # DEPENDENCYPART_ARC
(7,12),-1.5771 # DEPENDENCYPART_ARC
(7,13),-1.39249 # DEPENDENCYPART_ARC
(7,14),-1.6876 # DEPENDENCYPART_ARC
(7,15),-1.50041 # DEPENDENCYPART_ARC
(7,16),-1.17293 # DEPENDENCYPART_ARC
(7,17),-1.03267 # DEPENDENCYPART_ARC
(7,18),-0.86064 # DEPENDENCYPART_ARC
(7,19),-1.54446 # DEPENDENCYPART_ARC
(7,20),-2.90078 # DEPENDENCYPART_ARC
(7,21),-1.71065 # DEPENDENCYPART_ARC
(7,22),-0.957221 # DEPENDENCYPART_ARC
(8,1),-1.24677 # DEPENDENCYPART_ARC
(8,2),-0.556492 # DEPENDENCYPART_ARC
(8,4),-0.409063 # DEPENDENCYPART_ARC
(8,5),-0.244719 # DEPENDENCYPART_ARC
(8,6),0.463897 # DEPENDENCYPART_ARC
(8,7),-0.00787507 # DEPENDENCYPART_ARC
(8,9),0.0228407 # DEPENDENCYPART_ARC
(8,10),-0.0714952 # DEPENDENCYPART_ARC
(8,11),-0.278138 # DEPENDENCYPART_ARC
(8,12),-0.0877488 # DEPENDENCYPART_ARC
(8,13),-0.684271 # DEPENDENCYPART_ARC
(8,14),-0.982082 # DEPENDENCYPART_ARC
(8,15),-0.757825 # DEPENDENCYPART_ARC
(8,16),-0.576755 # DEPENDENCYPART_ARC
(8,17),-0.157905 # DEPENDENCYPART_ARC
(8,18),-0.533565 # DEPENDENCYPART_ARC
(8,19),-0.706165 # DEPENDENCYPART_ARC
(8,20),-2.09165 # DEPENDENCYPART_ARC
(8,21),-0.902373 # DEPENDENCYPART_ARC
(8,22),0.054292 # DEPENDENCYPART_ARC
(9,1),0.260016 # DEPENDENCYPART_ARC
(9,2),-1.06682 # DEPENDENCYPART_ARC
(9,3),-1.20543 # DEPENDENCYPART_ARC
(9,4),-2.54881 # DEPENDENCYPART_ARC
(9,5),-0.330186 # DEPENDENCYPART_ARC
(9,6),0.554752 # DEPENDENCYPART_ARC
(9,7),0.895218 # DEPENDENCYPART_ARC
(9,8),0.852645 # DEPENDENCYPART_ARC
(9,10),-0.125585 # DEPENDENCYPART_ARC
(9,11),0.0228118 # DEPENDENCYPART_ARC
(9,12),-0.396837 # DEPENDENCYPART_ARC
(9,13),-0.655118 # DEPENDENCYPART_ARC
(9,14),-0.944039 # DEPENDENCYPART_ARC
(9,15),-0.589527 # DEPENDENCYPART_ARC
(9,16),-0.100506 # DEPENDENCYPART_ARC
(9,17),-0.337412 # DEPENDENCYPART_ARC
(9,18),-0.0526306 # DEPENDENCYPART_ARC
(9,19),-0.695528 # DEPENDENCYPART_ARC
(9,20),-1.83108 # DEPENDENCYPART_ARC
(9,21),-0.730016 # DEPENDENCYPART_ARC
(9,22),-0.0461085 # DEPENDENCYPART_ARC
(10,1),-0.450941 # DEPENDENCYPART_ARC
(10,2),-0.13493 # DEPENDENCYPART_ARC
(10,3),-0.476726 # DEPENDENCYPART_ARC
(10,4),0.438907 # DEPENDENCYPART_ARC
(10,5),-0.0679575 # DEPENDENCYPART_ARC
(10,6),0.502331 # DEPENDENCYPART_ARC
(10,7),0.542344 # DEPENDENCYPART_ARC
(10,8),1.36485 # DEPENDENCYPART_ARC
(10,9),1.40836 # DEPENDENCYPART_ARC
(10,11),-0.595239 # DEPENDENCYPART_ARC
(10,12),-1.08676 # DEPENDENCYPART_ARC
(10,13),-0.878938 # DEPENDENCYPART_ARC
(10,14),-1.32215 # DEPENDENCYPART_ARC
(10,15),-1.26546 # DEPENDENCYPART_ARC
(10,16),-1.27024 # DEPENDENCYPART_ARC
(10,17),-0.940167 # DEPENDENCYPART_ARC
(10,18),-0.667993 # DEPENDENCYPART_ARC
(10,19),-1.05814 # DEPENDENCYPART_ARC
(10,20),-1.88546 # DEPENDENCYPART_ARC
(10,21),-1.06938 # DEPENDENCYPART_ARC
(10,22),-0.348878 # DEPENDENCYPART_ARC
(11,1),-0.628451 # DEPENDENCYPART_ARC
(11,2),-0.97299 # DEPENDENCYPART_ARC
(11,3),-0.775481 # DEPENDENCYPART_ARC
(11,4),0.115981 # DEPENDENCYPART_ARC
(11,5),-0.946116 # DEPENDENCYPART_ARC
(11,6),0.0251078 # DEPENDENCYPART_ARC
(11,7),-0.47324 # DEPENDENCYPART_ARC
(11,8),0.670232 # DEPENDENCYPART_ARC
(11,9),0.375809 # DEPENDENCYPART_ARC
(11,10),1.26272 # DEPENDENCYPART_ARC
(11,12),-1.18145 # DEPENDENCYPART_ARC
(11,13),-1.10156 # DEPENDENCYPART_ARC
(11,14),-1.53112 # DEPENDENCYPART_ARC
(11,15),-1.51097 # DEPENDENCYPART_ARC
(11,16),-1.39432 # DEPENDENCYPART_ARC
(11,17),-1.19694 # DEPENDENCYPART_ARC
(11,18),-0.881782 # DEPENDENCYPART_ARC
(11,19),-1.27468 # DEPENDENCYPART_ARC
(11,20),-2.18627 # DEPENDENCYPART_ARC
(11,21),-1.34712 # DEPENDENCYPART_ARC
(11,22),-0.734706 # DEPENDENCYPART_ARC
(12,1),0.428826 # DEPENDENCYPART_ARC
(12,2),1.35181 # DEPENDENCYPART_ARC
(12,3),-0.193911 # DEPENDENCYPART_ARC
(12,4),-2.47888 # DEPENDENCYPART_ARC
(12,5),0.700007 # DEPENDENCYPART_ARC
(12,6),0.484893 # DEPENDENCYPART_ARC
(12,7),1.38215 # DEPENDENCYPART_ARC
(12,8),0.944197 # DEPENDENCYPART_ARC
(12,9),2.00742 # DEPENDENCYPART_ARC
(12,10),2.45099 # DEPENDENCYPART_ARC
(12,11),2.99416 # DEPENDENCYPART_ARC
(12,13),-0.794538 # DEPENDENCYPART_ARC
(12,14),-1.38388 # DEPENDENCYPART_ARC
(12,15),-0.916118 # DEPENDENCYPART_ARC
(12,16),-0.845746 # DEPENDENCYPART_ARC
(12,17),-0.714974 # DEPENDENCYPART_ARC
(12,18),-0.448682 # DEPENDENCYPART_ARC
(12,19),-0.826372 # DEPENDENCYPART_ARC
(12,20),-1.64859 # DEPENDENCYPART_ARC
(12,21),-1.1537 # DEPENDENCYPART_ARC
(12,22),-0.387217 # DEPENDENCYPART_ARC
(13,1),-1.23676 # DEPENDENCYPART_ARC
(13,2),-0.247929 # DEPENDENCYPART_ARC
(13,5),-0.213151 # DEPENDENCYPART_ARC
(13,6),-0.135378 # DEPENDENCYPART_ARC
(13,7),0.383304 # DEPENDENCYPART_ARC
(13,8),0.116732 # DEPENDENCYPART_ARC
(13,9),0.448872 # DEPENDENCYPART_ARC
(13,10),0.364683 # DEPENDENCYPART_ARC
(13,11),0.300657 # DEPENDENCYPART_ARC
(13,12),0.789438 # DEPENDENCYPART_ARC
(13,14),-0.249244 # DEPENDENCYPART_ARC
(13,15),0.240236 # DEPENDENCYPART_ARC
(13,16),0.173538 # DEPENDENCYPART_ARC
(13,17),-0.0562008 # DEPENDENCYPART_ARC
(13,18),-0.0999417 # DEPENDENCYPART_ARC
(13,19),0.0536168 # DEPENDENCYPART_ARC
(13,20),-0.527996 # DEPENDENCYPART_ARC
(13,21),-0.175293 # DEPENDENCYPART_ARC
(13,22),-0.0153941 # DEPENDENCYPART_ARC
(14,2),-3.30328 # DEPENDENCYPART_ARC
(14,3),-1.88467 # DEPENDENCYPART_ARC
(14,5),-2.96379 # DEPENDENCYPART_ARC
(14,6),-1.28079 # DEPENDENCYPART_ARC
(14,7),-2.87144 # DEPENDENCYPART_ARC
(14,8),-1.37426 # DEPENDENCYPART_ARC
(14,9),-2.69886 # DEPENDENCYPART_ARC
(14,10),-1.66157 # DEPENDENCYPART_ARC
(14,11),-1.4173 # DEPENDENCYPART_ARC
(14,12),-2.70323 # DEPENDENCYPART_ARC
(14,15),0.322412 # DEPENDENCYPART_ARC
(14,16),-0.666327 # DEPENDENCYPART_ARC
(14,17),-0.231792 # DEPENDENCYPART_ARC
(14,18),-0.446489 # DEPENDENCYPART_ARC
(14,19),-0.847449 # DEPENDENCYPART_ARC
(14,20),-1.88734 # DEPENDENCYPART_ARC
(15,1),-2.10225 # DEPENDENCYPART_ARC
(15,2),-2.50684 # DEPENDENCYPART_ARC
(15,3),-2.15215 # DEPENDENCYPART_ARC
(15,4),-1.26422 # DEPENDENCYPART_ARC
(15,5),-2.32599 # DEPENDENCYPART_ARC
(15,6),-1.05017 # DEPENDENCYPART_ARC
(15,7),-2.01269 # DEPENDENCYPART_ARC
(15,8),-0.72113 # DEPENDENCYPART_ARC
(15,9),-1.78023 # DEPENDENCYPART_ARC
(15,10),-1.90509 # DEPENDENCYPART_ARC
(15,11),-1.74687 # DEPENDENCYPART_ARC
(15,12),-2.31133 # DEPENDENCYPART_ARC
(15,13),-0.525571 # DEPENDENCYPART_ARC
(15,14),0.633151 # DEPENDENCYPART_ARC
(15,16),-0.765778 # DEPENDENCYPART_ARC
(15,17),-1.12257 # DEPENDENCYPART_ARC
(15,18),-0.932297 # DEPENDENCYPART_ARC
(15,19),-1.46642 # DEPENDENCYPART_ARC
(15,20),-2.03215 # DEPENDENCYPART_ARC
(15,21),-1.38946 # DEPENDENCYPART_ARC
(15,22),-1.15853 # DEPENDENCYPART_ARC
(16,1),-0.395662 # DEPENDENCYPART_ARC
(16,2),-1.88849 # DEPENDENCYPART_ARC
(16,3),-0.452573 # DEPENDENCYPART_ARC
(16,4),-2.59996 # DEPENDENCYPART_ARC
(16,5),-1.49415 # DEPENDENCYPART_ARC
(16,6),-0.476647 # DEPENDENCYPART_ARC
(16,7),-1.03083 # DEPENDENCYPART_ARC
(16,8),-0.425332 # DEPENDENCYPART_ARC
(16,9),-0.681507 # DEPENDENCYPART_ARC
(16,10),0.123688 # DEPENDENCYPART_ARC
(16,11),0.206767 # DEPENDENCYPART_ARC
(16,12),-2.47944 # DEPENDENCYPART_ARC
(16,13),-0.305121 # DEPENDENCYPART_ARC
(16,14),2.71092 # DEPENDENCYPART_ARC
(16,15),3.33035 # DEPENDENCYPART_ARC
(16,17),-0.2979 # DEPENDENCYPART_ARC
(16,18),-0.372472 # DEPENDENCYPART_ARC
(16,19),-0.556044 # DEPENDENCYPART_ARC
(16,20),-1.44342 # DEPENDENCYPART_ARC
(16,21),-0.708489 # DEPENDENCYPART_ARC
(16,22),-0.229709 # DEPENDENCYPART_ARC
(17,1),-0.335292 # DEPENDENCYPART_ARC
(17,2),-1.26318 # DEPENDENCYPART_ARC
(17,5),-1.1539 # DEPENDENCYPART_ARC
(17,6),-0.384889 # DEPENDENCYPART_ARC
(17,7),-0.809873 # DEPENDENCYPART_ARC
(17,9),-0.701911 # DEPENDENCYPART_ARC
(17,10),-0.197939 # DEPENDENCYPART_ARC
(17,11),-0.110129 # DEPENDENCYPART_ARC
(17,12),-0.575845 # DEPENDENCYPART_ARC
(17,13),0.434557 # DEPENDENCYPART_ARC
(17,14),0.347603 # DEPENDENCYPART_ARC
(17,15),0.455205 # DEPENDENCYPART_ARC
(17,16),0.844414 # DEPENDENCYPART_ARC
(17,18),0.909457 # DEPENDENCYPART_ARC
(17,20),-0.212153 # DEPENDENCYPART_ARC
(19,1),-1.64377 # DEPENDENCYPART_ARC
(19,2),-0.554699 # DEPENDENCYPART_ARC
(19,4),-0.427515 # DEPENDENCYPART_ARC
(19,5),-0.695 # DEPENDENCYPART_ARC
(19,6),-0.685204 # DEPENDENCYPART_ARC
(19,7),-0.769036 # DEPENDENCYPART_ARC
(19,8),-0.310233 # DEPENDENCYPART_ARC
(19,9),-0.00467293 # DEPENDENCYPART_ARC
(19,10),-0.00589194 # DEPENDENCYPART_ARC
(19,11),-0.288008 # DEPENDENCYPART_ARC
(19,12),-0.256248 # DEPENDENCYPART_ARC
(19,13),0.307983 # DEPENDENCYPART_ARC
(19,14),-0.61365 # DEPENDENCYPART_ARC
(19,15),-0.205635 # DEPENDENCYPART_ARC
(19,16),0.0479479 # DEPENDENCYPART_ARC
(19,17),0.453228 # DEPENDENCYPART_ARC
(19,18),1.64467 # DEPENDENCYPART_ARC
(19,20),-0.327064 # DEPENDENCYPART_ARC
(19,21),1.71464 # DEPENDENCYPART_ARC
(19,22),2.3611 # DEPENDENCYPART_ARC
(20,1),-2.6439 # DEPENDENCYPART_ARC
(20,2),-0.614474 # DEPENDENCYPART_ARC
(20,3),-1.47926 # DEPENDENCYPART_ARC
(20,4),-4.17985 # DEPENDENCYPART_ARC
(20,5),-0.774628 # DEPENDENCYPART_ARC
(20,6),-0.124732 # DEPENDENCYPART_ARC
(20,7),-0.42676 # DEPENDENCYPART_ARC
(20,8),-0.827983 # DEPENDENCYPART_ARC
(20,9),-0.697507 # DEPENDENCYPART_ARC
(20,10),-1.15741 # DEPENDENCYPART_ARC
(20,11),-1.1169 # DEPENDENCYPART_ARC
(20,12),-1.25871 # DEPENDENCYPART_ARC
(20,13),-0.800284 # DEPENDENCYPART_ARC
(20,14),-0.755558 # DEPENDENCYPART_ARC
(20,15),0.0651486 # DEPENDENCYPART_ARC
(20,16),1.24428 # DEPENDENCYPART_ARC
(20,17),0.979327 # DEPENDENCYPART_ARC
(20,18),0.462566 # DEPENDENCYPART_ARC
(20,19),0.773898 # DEPENDENCYPART_ARC
(20,21),-0.25535 # DEPENDENCYPART_ARC
(20,22),-0.846026 # DEPENDENCYPART_ARC
(21,1),-0.466204 # DEPENDENCYPART_ARC
(21,2),-0.353698 # DEPENDENCYPART_ARC
(21,3),-0.982165 # DEPENDENCYPART_ARC
(21,4),2.67124 # DEPENDENCYPART_ARC
(21,5),-0.397464 # DEPENDENCYPART_ARC
(21,6),0.663707 # DEPENDENCYPART_ARC
(21,7),0.70734 # DEPENDENCYPART_ARC
(21,8),1.25093 # DEPENDENCYPART_ARC
(21,9),0.387298 # DEPENDENCYPART_ARC
(21,10),-0.685714 # DEPENDENCYPART_ARC
(21,11),-0.69498 # DEPENDENCYPART_ARC
(21,12),2.14246 # DEPENDENCYPART_ARC
(21,13),1.73846 # DEPENDENCYPART_ARC
(21,14),-0.098867 # DEPENDENCYPART_ARC
(21,15),-0.462572 # DEPENDENCYPART_ARC
(21,16),1.35743 # DEPENDENCYPART_ARC
(21,17),0.599281 # DEPENDENCYPART_ARC
(21,18),1.09996 # DEPENDENCYPART_ARC
(21,19),1.87018 # DEPENDENCYPART_ARC
(21,20),4.70555 # DEPENDENCYPART_ARC
(21,22),1.33119 # DEPENDENCYPART_ARC
