# _root_ Azt , hogy melyik banknév lehet alkalmas a kívülállók megtévesztésére , jelenleg az ÁPTF dönti el .
#goldHeads=15,15,15,5,6,1,6,9,10,6,15,15,14,15,0,15,15,
#predictedHeads=3,3,0,5,6,1,6,9,10,6,6,15,14,15,1,15,6,
(4,14),-0.88776 # DEPENDENCYPART_ARC
(4,15),0.219016 # DEPENDENCYPART_ARC
(4,16),-0.214421 # DEPENDENCYPART_ARC
(4,17),-0.196134 # DEPENDENCYPART_ARC
(5,1),-1.82424 # DEPENDENCYPART_ARC
(5,2),0.431723 # DEPENDENCYPART_ARC
(5,3),0.181202 # DEPENDENCYPART_ARC
(5,4),3.33747 # DEPENDENCYPART_ARC
(5,6),0.291548 # DEPENDENCYPART_ARC
(5,7),-0.533863 # DEPENDENCYPART_ARC
(5,8),-0.790107 # DEPENDENCYPART_ARC
(5,9),-0.876402 # DEPENDENCYPART_ARC
(5,10),-1.23467 # DEPENDENCYPART_ARC
(5,11),0.0543109 # DEPENDENCYPART_ARC
(5,12),-0.534427 # DEPENDENCYPART_ARC
(5,13),-1.06251 # DEPENDENCYPART_ARC
(5,14),-1.08927 # DEPENDENCYPART_ARC
(5,15),-0.396198 # DEPENDENCYPART_ARC
(5,16),-0.611793 # DEPENDENCYPART_ARC
(5,17),0.514077 # DEPENDENCYPART_ARC
(6,1),0.254079 # DEPENDENCYPART_ARC
(6,2),0.504606 # DEPENDENCYPART_ARC
(6,3),0.414589 # DEPENDENCYPART_ARC
(6,4),1.72096 # DEPENDENCYPART_ARC
(6,5),3.00258 # DEPENDENCYPART_ARC
(6,7),2.35635 # DEPENDENCYPART_ARC
(6,8),0.217879 # DEPENDENCYPART_ARC
(6,9),1.1312 # DEPENDENCYPART_ARC
(6,10),2.59414 # DEPENDENCYPART_ARC
(6,11),1.34662 # DEPENDENCYPART_ARC
(6,12),0.952877 # DEPENDENCYPART_ARC
(6,13),-0.453526 # DEPENDENCYPART_ARC
(6,14),-0.517272 # DEPENDENCYPART_ARC
(6,15),1.30865 # DEPENDENCYPART_ARC
(6,16),1.40049 # DEPENDENCYPART_ARC
(6,17),2.63416 # DEPENDENCYPART_ARC
(7,1),-0.184699 # DEPENDENCYPART_ARC
(7,2),-0.01173 # DEPENDENCYPART_ARC
(7,3),0.0969951 # DEPENDENCYPART_ARC
(7,4),-0.0514058 # DEPENDENCYPART_ARC
(7,5),-0.227814 # DEPENDENCYPART_ARC
(7,6),0.820021 # DEPENDENCYPART_ARC
(7,8),-0.126637 # DEPENDENCYPART_ARC
(7,9),0.112489 # DEPENDENCYPART_ARC
(7,10),0.477802 # DEPENDENCYPART_ARC
(7,11),0.310667 # DEPENDENCYPART_ARC
(7,12),-0.0839255 # DEPENDENCYPART_ARC
(7,13),-0.540989 # DEPENDENCYPART_ARC
(7,14),-0.68729 # DEPENDENCYPART_ARC
(7,15),-0.0509928 # DEPENDENCYPART_ARC
(7,16),-0.154146 # DEPENDENCYPART_ARC
(7,17),0.713578 # DEPENDENCYPART_ARC
(8,1),-2.31928 # DEPENDENCYPART_ARC
(8,2),-1.141 # DEPENDENCYPART_ARC
(8,3),-1.40913 # DEPENDENCYPART_ARC
(8,4),-2.0551 # DEPENDENCYPART_ARC
(8,5),-2.27257 # DEPENDENCYPART_ARC
(8,6),-1.23801 # DEPENDENCYPART_ARC
(8,7),-0.42774 # DEPENDENCYPART_ARC
(8,9),-0.561701 # DEPENDENCYPART_ARC
(8,10),-1.10162 # DEPENDENCYPART_ARC
(8,11),-0.466157 # DEPENDENCYPART_ARC
(8,12),-1.06607 # DEPENDENCYPART_ARC
(8,13),-1.11352 # DEPENDENCYPART_ARC
(8,14),-1.515 # DEPENDENCYPART_ARC
(8,15),-1.53894 # DEPENDENCYPART_ARC
(8,16),-1.26172 # DEPENDENCYPART_ARC
(8,17),-1.70021 # DEPENDENCYPART_ARC
(9,1),-3.80402 # DEPENDENCYPART_ARC
(9,2),-1.82437 # DEPENDENCYPART_ARC
(9,3),-1.89752 # DEPENDENCYPART_ARC
(9,4),-0.885138 # DEPENDENCYPART_ARC
(9,5),-2.95362 # DEPENDENCYPART_ARC
(9,6),-1.86652 # DEPENDENCYPART_ARC
(9,7),-0.454968 # DEPENDENCYPART_ARC
(9,8),3.01132 # DEPENDENCYPART_ARC
(9,10),-1.38572 # DEPENDENCYPART_ARC
(9,11),-0.323013 # DEPENDENCYPART_ARC
(9,12),-0.936744 # DEPENDENCYPART_ARC
(9,13),-1.30504 # DEPENDENCYPART_ARC
(9,14),-1.44411 # DEPENDENCYPART_ARC
(9,15),-0.981859 # DEPENDENCYPART_ARC
(9,16),-1.07312 # DEPENDENCYPART_ARC
(9,17),-0.411681 # DEPENDENCYPART_ARC
(10,1),-2.78659 # DEPENDENCYPART_ARC
(10,2),-0.729879 # DEPENDENCYPART_ARC
(10,3),-0.861845 # DEPENDENCYPART_ARC
(10,4),-0.669683 # DEPENDENCYPART_ARC
(10,5),-0.447695 # DEPENDENCYPART_ARC
(10,6),-2.27099 # DEPENDENCYPART_ARC
(10,7),-0.612267 # DEPENDENCYPART_ARC
(10,8),1.6222 # DEPENDENCYPART_ARC
(10,9),4.53481 # DEPENDENCYPART_ARC
(10,11),0.207606 # DEPENDENCYPART_ARC
(10,12),-0.695057 # DEPENDENCYPART_ARC
(10,13),-0.949202 # DEPENDENCYPART_ARC
(10,14),-0.380136 # DEPENDENCYPART_ARC
(10,15),-1.20194 # DEPENDENCYPART_ARC
(10,16),-0.759265 # DEPENDENCYPART_ARC
(10,17),0.108563 # DEPENDENCYPART_ARC
(11,1),-2.57224 # DEPENDENCYPART_ARC
(11,2),-2.06146 # DEPENDENCYPART_ARC
(11,3),-2.03066 # DEPENDENCYPART_ARC
(11,4),-2.44346 # DEPENDENCYPART_ARC
(11,5),-3.01087 # DEPENDENCYPART_ARC
(11,6),-2.13918 # DEPENDENCYPART_ARC
(11,7),-2.07774 # DEPENDENCYPART_ARC
(11,8),-1.5091 # DEPENDENCYPART_ARC
(11,9),-2.17368 # DEPENDENCYPART_ARC
(11,10),-1.64785 # DEPENDENCYPART_ARC
(11,12),-1.06902 # DEPENDENCYPART_ARC
(11,13),-1.22552 # DEPENDENCYPART_ARC
(11,14),-1.90545 # DEPENDENCYPART_ARC
(11,15),-1.39325 # DEPENDENCYPART_ARC
(11,16),-1.52923 # DEPENDENCYPART_ARC
(11,17),-1.2715 # DEPENDENCYPART_ARC
(12,1),-0.832199 # DEPENDENCYPART_ARC
(12,2),0.243853 # DEPENDENCYPART_ARC
(12,3),-0.103026 # DEPENDENCYPART_ARC
(12,4),-0.429188 # DEPENDENCYPART_ARC
(12,5),-0.0310066 # DEPENDENCYPART_ARC
(12,6),0.101286 # DEPENDENCYPART_ARC
(12,7),0.153076 # DEPENDENCYPART_ARC
(12,8),-0.0422222 # DEPENDENCYPART_ARC
(12,9),0.637913 # DEPENDENCYPART_ARC
(12,10),0.243512 # DEPENDENCYPART_ARC
(12,11),0.795949 # DEPENDENCYPART_ARC
(12,13),-0.136406 # DEPENDENCYPART_ARC
(12,14),0.634811 # DEPENDENCYPART_ARC
(12,15),0.743313 # DEPENDENCYPART_ARC
(12,16),-0.187692 # DEPENDENCYPART_ARC
(12,17),0.436083 # DEPENDENCYPART_ARC
(13,1),-2.39917 # DEPENDENCYPART_ARC
(13,2),-1.32309 # DEPENDENCYPART_ARC
(13,3),-1.45253 # DEPENDENCYPART_ARC
(13,4),-2.30168 # DEPENDENCYPART_ARC
(13,5),-2.71023 # DEPENDENCYPART_ARC
(13,6),-1.47073 # DEPENDENCYPART_ARC
(13,7),-1.44453 # DEPENDENCYPART_ARC
(13,8),-1.1201 # DEPENDENCYPART_ARC
(13,9),-1.92499 # DEPENDENCYPART_ARC
(13,10),-2.10775 # DEPENDENCYPART_ARC
(13,11),-0.875534 # DEPENDENCYPART_ARC
(13,12),-0.243358 # DEPENDENCYPART_ARC
(13,14),-0.0181421 # DEPENDENCYPART_ARC
(13,15),-0.459661 # DEPENDENCYPART_ARC
(13,16),-0.584296 # DEPENDENCYPART_ARC
(13,17),-0.672971 # DEPENDENCYPART_ARC
(14,1),-4.72387 # DEPENDENCYPART_ARC
(14,2),-1.81633 # DEPENDENCYPART_ARC
(14,3),-1.94016 # DEPENDENCYPART_ARC
(14,4),-1.96223 # DEPENDENCYPART_ARC
(14,5),-4.08498 # DEPENDENCYPART_ARC
(14,6),-1.78448 # DEPENDENCYPART_ARC
(14,7),-2.99963 # DEPENDENCYPART_ARC
(14,8),-0.232232 # DEPENDENCYPART_ARC
(14,9),-1.59308 # DEPENDENCYPART_ARC
(14,10),-3.00182 # DEPENDENCYPART_ARC
(14,11),-0.349421 # DEPENDENCYPART_ARC
(14,12),0.114498 # DEPENDENCYPART_ARC
(14,13),2.87473 # DEPENDENCYPART_ARC
(14,15),-0.488304 # DEPENDENCYPART_ARC
(14,16),-1.12759 # DEPENDENCYPART_ARC
(14,17),-0.6929 # DEPENDENCYPART_ARC
(15,1),-0.288826 # DEPENDENCYPART_ARC
(15,2),0.27907 # DEPENDENCYPART_ARC
(15,3),0.507123 # DEPENDENCYPART_ARC
(15,4),-0.0628144 # DEPENDENCYPART_ARC
(15,5),1.71871 # DEPENDENCYPART_ARC
(15,6),0.655003 # DEPENDENCYPART_ARC
(15,7),0.143269 # DEPENDENCYPART_ARC
(15,8),-0.897206 # DEPENDENCYPART_ARC
(15,9),1.00044 # DEPENDENCYPART_ARC
(15,10),0.791667 # DEPENDENCYPART_ARC
(15,11),1.2804 # DEPENDENCYPART_ARC
(15,12),2.73807 # DEPENDENCYPART_ARC
(15,13),0.240724 # DEPENDENCYPART_ARC
(15,14),3.89068 # DEPENDENCYPART_ARC
(15,16),3.40536 # DEPENDENCYPART_ARC
(15,17),1.98284 # DEPENDENCYPART_ARC
(16,1),-1.13285 # DEPENDENCYPART_ARC
(16,2),-0.740479 # DEPENDENCYPART_ARC
(16,3),-0.395974 # DEPENDENCYPART_ARC
(16,4),-0.75333 # DEPENDENCYPART_ARC
(16,5),-0.256657 # DEPENDENCYPART_ARC
(16,6),-0.554999 # DEPENDENCYPART_ARC
(16,7),-0.153555 # DEPENDENCYPART_ARC
(16,8),-0.712536 # DEPENDENCYPART_ARC
(16,9),0.07013 # DEPENDENCYPART_ARC
(16,10),-0.268446 # DEPENDENCYPART_ARC
(16,11),-0.245744 # DEPENDENCYPART_ARC
(16,12),0.774928 # DEPENDENCYPART_ARC
(16,13),0.170218 # DEPENDENCYPART_ARC
(16,14),0.733234 # DEPENDENCYPART_ARC
(16,15),0.62916 # DEPENDENCYPART_ARC
(16,17),0.289181 # DEPENDENCYPART_ARC
(17,1),-3.35118 # DEPENDENCYPART_ARC
(17,2),-2.80217 # DEPENDENCYPART_ARC
(17,3),-2.84732 # DEPENDENCYPART_ARC
(17,4),-3.199 # DEPENDENCYPART_ARC
(17,5),-3.90626 # DEPENDENCYPART_ARC
(17,6),-3.05419 # DEPENDENCYPART_ARC
(17,7),-3.07862 # DEPENDENCYPART_ARC
(17,8),-2.76423 # DEPENDENCYPART_ARC
(17,9),-3.63311 # DEPENDENCYPART_ARC
(17,10),-3.5825 # DEPENDENCYPART_ARC
(17,11),-2.34557 # DEPENDENCYPART_ARC
(17,12),-2.53662 # DEPENDENCYPART_ARC
(17,13),-2.48184 # DEPENDENCYPART_ARC
(17,14),-3.08214 # DEPENDENCYPART_ARC
(17,15),-1.97188 # DEPENDENCYPART_ARC
(17,16),-1.23818 # DEPENDENCYPART_ARC
