# _root_ " Előzőleg minden békés , tárgyalásos lehetőséggel megpróbálkoztunk , ám ezek kudarcot vallottak " — emlékeztetett .
#goldHeads=16,8,7,7,7,7,8,16,8,8,13,13,8,16,16,0,16,
#predictedHeads=16,8,7,7,7,7,8,10,10,16,13,13,16,16,16,0,10,
(4,11),-1.40621 # DEPENDENCYPART_ARC
(4,12),-2.0069 # DEPENDENCYPART_ARC
(4,13),-0.662902 # DEPENDENCYPART_ARC
(4,14),-0.450245 # DEPENDENCYPART_ARC
(4,15),-0.404079 # DEPENDENCYPART_ARC
(4,16),-0.642651 # DEPENDENCYPART_ARC
(4,17),0.600388 # DEPENDENCYPART_ARC
(6,1),-0.168754 # DEPENDENCYPART_ARC
(6,2),0.274629 # DEPENDENCYPART_ARC
(6,3),-0.459777 # DEPENDENCYPART_ARC
(6,4),0.0277798 # DEPENDENCYPART_ARC
(6,5),0.554665 # DEPENDENCYPART_ARC
(6,7),-0.651691 # DEPENDENCYPART_ARC
(6,8),-0.571993 # DEPENDENCYPART_ARC
(6,9),-0.361867 # DEPENDENCYPART_ARC
(6,10),-0.994993 # DEPENDENCYPART_ARC
(6,11),-1.57644 # DEPENDENCYPART_ARC
(6,12),-2.0101 # DEPENDENCYPART_ARC
(6,13),-0.967019 # DEPENDENCYPART_ARC
(6,14),-0.397046 # DEPENDENCYPART_ARC
(6,15),-0.359621 # DEPENDENCYPART_ARC
(6,16),-0.84917 # DEPENDENCYPART_ARC
(6,17),0.112688 # DEPENDENCYPART_ARC
(7,1),0.0510563 # DEPENDENCYPART_ARC
(7,2),0.142751 # DEPENDENCYPART_ARC
(7,3),1.42906 # DEPENDENCYPART_ARC
(7,4),1.79465 # DEPENDENCYPART_ARC
(7,5),1.80671 # DEPENDENCYPART_ARC
(7,6),3.40684 # DEPENDENCYPART_ARC
(7,8),-1.16302 # DEPENDENCYPART_ARC
(7,9),-0.631459 # DEPENDENCYPART_ARC
(7,10),-0.605584 # DEPENDENCYPART_ARC
(7,11),-1.54608 # DEPENDENCYPART_ARC
(7,12),-2.14384 # DEPENDENCYPART_ARC
(7,13),-1.35945 # DEPENDENCYPART_ARC
(7,14),0.0331721 # DEPENDENCYPART_ARC
(7,15),-0.503777 # DEPENDENCYPART_ARC
(7,16),-0.984773 # DEPENDENCYPART_ARC
(7,17),0.372319 # DEPENDENCYPART_ARC
(8,1),0.845543 # DEPENDENCYPART_ARC
(8,2),1.34609 # DEPENDENCYPART_ARC
(8,3),-0.796367 # DEPENDENCYPART_ARC
(8,4),-0.319307 # DEPENDENCYPART_ARC
(8,5),1.14281 # DEPENDENCYPART_ARC
(8,6),0.350939 # DEPENDENCYPART_ARC
(8,7),3.3722 # DEPENDENCYPART_ARC
(8,9),1.73061 # DEPENDENCYPART_ARC
(8,10),1.08656 # DEPENDENCYPART_ARC
(8,11),-0.512342 # DEPENDENCYPART_ARC
(8,12),-0.74077 # DEPENDENCYPART_ARC
(8,13),1.24337 # DEPENDENCYPART_ARC
(8,14),0.936946 # DEPENDENCYPART_ARC
(8,15),0.249464 # DEPENDENCYPART_ARC
(8,16),-0.0213987 # DEPENDENCYPART_ARC
(8,17),2.24478 # DEPENDENCYPART_ARC
(10,1),0.4137 # DEPENDENCYPART_ARC
(10,2),0.310134 # DEPENDENCYPART_ARC
(10,3),-0.24271 # DEPENDENCYPART_ARC
(10,4),-0.433403 # DEPENDENCYPART_ARC
(10,5),0.838935 # DEPENDENCYPART_ARC
(10,6),-0.20995 # DEPENDENCYPART_ARC
(10,7),-0.306402 # DEPENDENCYPART_ARC
(10,8),2.2452 # DEPENDENCYPART_ARC
(10,9),2.05883 # DEPENDENCYPART_ARC
(10,11),-0.478263 # DEPENDENCYPART_ARC
(10,12),-0.118762 # DEPENDENCYPART_ARC
(10,13),1.86825 # DEPENDENCYPART_ARC
(10,14),0.615111 # DEPENDENCYPART_ARC
(10,15),0.663015 # DEPENDENCYPART_ARC
(10,16),0.898572 # DEPENDENCYPART_ARC
(10,17),3.03313 # DEPENDENCYPART_ARC
(11,1),-0.991359 # DEPENDENCYPART_ARC
(11,2),-1.04399 # DEPENDENCYPART_ARC
(11,3),-1.27852 # DEPENDENCYPART_ARC
(11,4),-1.68432 # DEPENDENCYPART_ARC
(11,5),-0.700703 # DEPENDENCYPART_ARC
(11,6),-1.70401 # DEPENDENCYPART_ARC
(11,7),-1.9492 # DEPENDENCYPART_ARC
(11,8),-1.02652 # DEPENDENCYPART_ARC
(11,9),-0.694883 # DEPENDENCYPART_ARC
(11,10),-0.0634836 # DEPENDENCYPART_ARC
(11,12),-0.112123 # DEPENDENCYPART_ARC
(11,13),0.260249 # DEPENDENCYPART_ARC
(11,14),-0.286636 # DEPENDENCYPART_ARC
(11,15),-0.502569 # DEPENDENCYPART_ARC
(11,16),0.458122 # DEPENDENCYPART_ARC
(11,17),0.143589 # DEPENDENCYPART_ARC
(12,1),-1.90295 # DEPENDENCYPART_ARC
(12,2),-1.38656 # DEPENDENCYPART_ARC
(12,3),-0.73276 # DEPENDENCYPART_ARC
(12,4),-1.1403 # DEPENDENCYPART_ARC
(12,5),-0.708915 # DEPENDENCYPART_ARC
(12,6),-0.744042 # DEPENDENCYPART_ARC
(12,7),-3.39597 # DEPENDENCYPART_ARC
(12,8),-1.40027 # DEPENDENCYPART_ARC
(12,9),-0.417534 # DEPENDENCYPART_ARC
(12,10),0.025918 # DEPENDENCYPART_ARC
(12,11),1.90431 # DEPENDENCYPART_ARC
(12,13),-0.443543 # DEPENDENCYPART_ARC
(12,14),0.241526 # DEPENDENCYPART_ARC
(12,15),-0.271004 # DEPENDENCYPART_ARC
(12,16),-0.452621 # DEPENDENCYPART_ARC
(12,17),0.0186499 # DEPENDENCYPART_ARC
(13,1),0.168774 # DEPENDENCYPART_ARC
(13,2),0.0823691 # DEPENDENCYPART_ARC
(13,3),-2.31122 # DEPENDENCYPART_ARC
(13,4),-1.23334 # DEPENDENCYPART_ARC
(13,5),0.0452939 # DEPENDENCYPART_ARC
(13,6),-1.03023 # DEPENDENCYPART_ARC
(13,7),0.895602 # DEPENDENCYPART_ARC
(13,8),-0.920962 # DEPENDENCYPART_ARC
(13,9),0.413434 # DEPENDENCYPART_ARC
(13,10),1.12316 # DEPENDENCYPART_ARC
(13,11),2.02836 # DEPENDENCYPART_ARC
(13,12),3.43452 # DEPENDENCYPART_ARC
(13,14),1.53019 # DEPENDENCYPART_ARC
(13,15),0.99917 # DEPENDENCYPART_ARC
(13,16),1.12931 # DEPENDENCYPART_ARC
(13,17),2.02226 # DEPENDENCYPART_ARC
(16,1),1.57263 # DEPENDENCYPART_ARC
(16,2),-0.0494082 # DEPENDENCYPART_ARC
(16,3),-1.85718 # DEPENDENCYPART_ARC
(16,4),-0.996317 # DEPENDENCYPART_ARC
(16,5),0.793851 # DEPENDENCYPART_ARC
(16,6),-0.70028 # DEPENDENCYPART_ARC
(16,7),0.176437 # DEPENDENCYPART_ARC
(16,8),1.01429 # DEPENDENCYPART_ARC
(16,9),1.165 # DEPENDENCYPART_ARC
(16,10),2.00661 # DEPENDENCYPART_ARC
(16,11),0.255253 # DEPENDENCYPART_ARC
(16,12),1.89553 # DEPENDENCYPART_ARC
(16,13),1.91184 # DEPENDENCYPART_ARC
(16,14),2.03751 # DEPENDENCYPART_ARC
(16,15),2.45761 # DEPENDENCYPART_ARC
(16,17),2.20588 # DEPENDENCYPART_ARC
