# _root_ Szakmai ártalom talán , hogy jobb híján statisztikát készítek róluk magamban , hátha kiderül az élet e mindennapi jelenetéből valami .
#goldHeads=2,5,5,5,0,7,9,9,5,9,9,9,14,9,16,19,19,19,14,14,5,
#predictedHeads=2,5,5,5,0,8,9,9,5,9,9,9,14,9,16,14,19,19,14,14,9,
(7,2),0.201359 # DEPENDENCYPART_ARC
(7,3),0.197374 # DEPENDENCYPART_ARC
(7,4),0.463071 # DEPENDENCYPART_ARC
(7,6),1.45391 # DEPENDENCYPART_ARC
(7,8),-0.421015 # DEPENDENCYPART_ARC
(7,9),-0.50078 # DEPENDENCYPART_ARC
(7,10),-0.846699 # DEPENDENCYPART_ARC
(7,11),-1.23585 # DEPENDENCYPART_ARC
(7,12),-0.706595 # DEPENDENCYPART_ARC
(7,13),-0.885069 # DEPENDENCYPART_ARC
(7,14),-0.701135 # DEPENDENCYPART_ARC
(7,15),-1.04548 # DEPENDENCYPART_ARC
(7,16),-1.47599 # DEPENDENCYPART_ARC
(7,17),-1.37756 # DEPENDENCYPART_ARC
(7,18),-1.34463 # DEPENDENCYPART_ARC
(7,19),-1.63004 # DEPENDENCYPART_ARC
(7,20),-1.5533 # DEPENDENCYPART_ARC
(7,21),-0.503509 # DEPENDENCYPART_ARC
(8,1),0.60658 # DEPENDENCYPART_ARC
(8,2),-0.739635 # DEPENDENCYPART_ARC
(8,3),0.0127094 # DEPENDENCYPART_ARC
(8,4),0.319257 # DEPENDENCYPART_ARC
(8,5),0.0411777 # DEPENDENCYPART_ARC
(8,6),1.8302 # DEPENDENCYPART_ARC
(8,7),1.11154 # DEPENDENCYPART_ARC
(8,9),-0.626394 # DEPENDENCYPART_ARC
(8,10),-0.774094 # DEPENDENCYPART_ARC
(8,11),-1.57724 # DEPENDENCYPART_ARC
(8,12),-0.419149 # DEPENDENCYPART_ARC
(8,13),-0.897628 # DEPENDENCYPART_ARC
(8,14),-0.735636 # DEPENDENCYPART_ARC
(8,15),-1.07896 # DEPENDENCYPART_ARC
(8,16),-2.23434 # DEPENDENCYPART_ARC
(8,17),-2.11915 # DEPENDENCYPART_ARC
(8,18),-1.68755 # DEPENDENCYPART_ARC
(8,19),-2.96142 # DEPENDENCYPART_ARC
(8,20),-2.20549 # DEPENDENCYPART_ARC
(8,21),0.90425 # DEPENDENCYPART_ARC
(9,1),-1.26154 # DEPENDENCYPART_ARC
(9,2),0.345917 # DEPENDENCYPART_ARC
(9,3),0.678996 # DEPENDENCYPART_ARC
(9,4),0.592454 # DEPENDENCYPART_ARC
(9,5),-0.336991 # DEPENDENCYPART_ARC
(9,6),0.400863 # DEPENDENCYPART_ARC
(9,7),1.95581 # DEPENDENCYPART_ARC
(9,8),2.64822 # DEPENDENCYPART_ARC
(9,10),2.79988 # DEPENDENCYPART_ARC
(9,11),3.00515 # DEPENDENCYPART_ARC
(9,12),1.84876 # DEPENDENCYPART_ARC
(9,13),0.772481 # DEPENDENCYPART_ARC
(9,14),1.55094 # DEPENDENCYPART_ARC
(9,15),-0.269334 # DEPENDENCYPART_ARC
(9,16),-0.40966 # DEPENDENCYPART_ARC
(9,17),-0.388388 # DEPENDENCYPART_ARC
(9,18),-0.332353 # DEPENDENCYPART_ARC
(9,19),-0.653967 # DEPENDENCYPART_ARC
(9,20),-0.259861 # DEPENDENCYPART_ARC
(9,21),2.79481 # DEPENDENCYPART_ARC
(10,1),-1.09014 # DEPENDENCYPART_ARC
(10,2),-1.08053 # DEPENDENCYPART_ARC
(10,3),-0.718043 # DEPENDENCYPART_ARC
(10,4),-0.773635 # DEPENDENCYPART_ARC
(10,5),-0.843346 # DEPENDENCYPART_ARC
(10,6),-0.704644 # DEPENDENCYPART_ARC
(10,8),-0.223046 # DEPENDENCYPART_ARC
(10,9),-0.0530144 # DEPENDENCYPART_ARC
(10,12),-0.591133 # DEPENDENCYPART_ARC
(10,13),-0.926433 # DEPENDENCYPART_ARC
(10,14),-0.568444 # DEPENDENCYPART_ARC
(10,15),-1.26278 # DEPENDENCYPART_ARC
(10,16),-1.89773 # DEPENDENCYPART_ARC
(10,17),-1.55451 # DEPENDENCYPART_ARC
(10,18),-1.41585 # DEPENDENCYPART_ARC
(10,19),-1.90726 # DEPENDENCYPART_ARC
(10,20),-1.71857 # DEPENDENCYPART_ARC
(10,21),0.0201391 # DEPENDENCYPART_ARC
(11,15),-0.704989 # DEPENDENCYPART_ARC
(13,1),-1.28772 # DEPENDENCYPART_ARC
(13,2),-1.69273 # DEPENDENCYPART_ARC
(13,3),-1.25401 # DEPENDENCYPART_ARC
(13,4),-1.15429 # DEPENDENCYPART_ARC
(13,5),-0.777782 # DEPENDENCYPART_ARC
(13,6),-1.03683 # DEPENDENCYPART_ARC
(13,7),-0.746898 # DEPENDENCYPART_ARC
(13,8),-1.08575 # DEPENDENCYPART_ARC
(13,9),-0.39277 # DEPENDENCYPART_ARC
(13,10),-0.198185 # DEPENDENCYPART_ARC
(13,12),-0.228739 # DEPENDENCYPART_ARC
(13,14),0.297902 # DEPENDENCYPART_ARC
(13,15),-0.87246 # DEPENDENCYPART_ARC
(13,16),-0.938294 # DEPENDENCYPART_ARC
(13,17),-1.10266 # DEPENDENCYPART_ARC
(13,18),-0.905708 # DEPENDENCYPART_ARC
(13,19),-1.33307 # DEPENDENCYPART_ARC
(13,20),-1.37538 # DEPENDENCYPART_ARC
(13,21),-0.0089789 # DEPENDENCYPART_ARC
(14,1),-1.5406 # DEPENDENCYPART_ARC
(14,2),-0.701598 # DEPENDENCYPART_ARC
(14,3),-0.36815 # DEPENDENCYPART_ARC
(14,4),0.282551 # DEPENDENCYPART_ARC
(14,5),0.134689 # DEPENDENCYPART_ARC
(14,6),-0.264506 # DEPENDENCYPART_ARC
(14,7),0.530761 # DEPENDENCYPART_ARC
(14,8),-0.177195 # DEPENDENCYPART_ARC
(14,9),0.142614 # DEPENDENCYPART_ARC
(14,10),1.04645 # DEPENDENCYPART_ARC
(14,11),1.59041 # DEPENDENCYPART_ARC
(14,12),1.32572 # DEPENDENCYPART_ARC
(14,13),2.71106 # DEPENDENCYPART_ARC
(14,15),0.411093 # DEPENDENCYPART_ARC
(14,16),2.28268 # DEPENDENCYPART_ARC
(14,17),0.982437 # DEPENDENCYPART_ARC
(14,18),0.44257 # DEPENDENCYPART_ARC
(14,19),2.10376 # DEPENDENCYPART_ARC
(14,20),0.757701 # DEPENDENCYPART_ARC
(14,21),2.47587 # DEPENDENCYPART_ARC
(15,1),-2.27262 # DEPENDENCYPART_ARC
(15,2),-3.37689 # DEPENDENCYPART_ARC
(15,4),-1.57286 # DEPENDENCYPART_ARC
(15,6),-2.16571 # DEPENDENCYPART_ARC
(15,8),-3.02437 # DEPENDENCYPART_ARC
(15,12),-1.21672 # DEPENDENCYPART_ARC
(15,16),-0.450206 # DEPENDENCYPART_ARC
(15,18),-0.55959 # DEPENDENCYPART_ARC
(15,19),-1.52812 # DEPENDENCYPART_ARC
(16,1),-2.47191 # DEPENDENCYPART_ARC
(16,2),-4.477 # DEPENDENCYPART_ARC
(16,3),-1.80282 # DEPENDENCYPART_ARC
(16,4),-2.60977 # DEPENDENCYPART_ARC
(16,5),-2.19577 # DEPENDENCYPART_ARC
(16,6),-2.75044 # DEPENDENCYPART_ARC
(16,7),-1.654 # DEPENDENCYPART_ARC
(16,8),-5.82593 # DEPENDENCYPART_ARC
(16,9),-2.3126 # DEPENDENCYPART_ARC
(16,10),-1.31973 # DEPENDENCYPART_ARC
(16,11),-1.99263 # DEPENDENCYPART_ARC
(16,12),-1.48988 # DEPENDENCYPART_ARC
(16,13),-0.858579 # DEPENDENCYPART_ARC
(16,14),-0.992512 # DEPENDENCYPART_ARC
(16,15),3.1671 # DEPENDENCYPART_ARC
(16,17),-1.62112 # DEPENDENCYPART_ARC
(16,18),-1.0409 # DEPENDENCYPART_ARC
(16,19),-1.5681 # DEPENDENCYPART_ARC
(16,20),-1.98063 # DEPENDENCYPART_ARC
(16,21),-0.240542 # DEPENDENCYPART_ARC
(17,1),-1.97891 # DEPENDENCYPART_ARC
(17,2),-1.83712 # DEPENDENCYPART_ARC
(17,3),-1.0092 # DEPENDENCYPART_ARC
(17,4),-0.672397 # DEPENDENCYPART_ARC
(17,5),-0.886843 # DEPENDENCYPART_ARC
(17,6),-1.1996 # DEPENDENCYPART_ARC
(17,7),-1.2046 # DEPENDENCYPART_ARC
(17,8),-2.14319 # DEPENDENCYPART_ARC
(17,9),-0.748291 # DEPENDENCYPART_ARC
(17,10),-0.705287 # DEPENDENCYPART_ARC
(17,12),-0.687376 # DEPENDENCYPART_ARC
(17,13),-0.651853 # DEPENDENCYPART_ARC
(17,14),0.018672 # DEPENDENCYPART_ARC
(17,15),-0.143713 # DEPENDENCYPART_ARC
(17,16),-0.624783 # DEPENDENCYPART_ARC
(17,18),0.1365 # DEPENDENCYPART_ARC
(17,19),0.12933 # DEPENDENCYPART_ARC
(17,20),-0.57247 # DEPENDENCYPART_ARC
(17,21),-0.0412778 # DEPENDENCYPART_ARC
(18,1),-2.32022 # DEPENDENCYPART_ARC
(18,2),-3.28154 # DEPENDENCYPART_ARC
(18,3),-1.2112 # DEPENDENCYPART_ARC
(18,4),-1.25003 # DEPENDENCYPART_ARC
(18,5),-0.922385 # DEPENDENCYPART_ARC
(18,6),-1.88722 # DEPENDENCYPART_ARC
(18,7),-0.787359 # DEPENDENCYPART_ARC
(18,8),-1.98033 # DEPENDENCYPART_ARC
(18,9),-1.07863 # DEPENDENCYPART_ARC
(18,10),-0.70943 # DEPENDENCYPART_ARC
(18,11),-1.3044 # DEPENDENCYPART_ARC
(18,12),-0.791223 # DEPENDENCYPART_ARC
(18,13),-0.505293 # DEPENDENCYPART_ARC
(18,14),-0.987917 # DEPENDENCYPART_ARC
(18,15),-0.164578 # DEPENDENCYPART_ARC
(18,16),-0.423473 # DEPENDENCYPART_ARC
(18,17),1.3342 # DEPENDENCYPART_ARC
(18,19),-0.943366 # DEPENDENCYPART_ARC
(18,20),-1.52279 # DEPENDENCYPART_ARC
(18,21),-0.651967 # DEPENDENCYPART_ARC
(19,1),-1.2825 # DEPENDENCYPART_ARC
(19,2),-2.28194 # DEPENDENCYPART_ARC
(19,3),-1.00863 # DEPENDENCYPART_ARC
(19,4),-2.09549 # DEPENDENCYPART_ARC
(19,5),-1.47344 # DEPENDENCYPART_ARC
(19,6),-1.50048 # DEPENDENCYPART_ARC
(19,7),-0.756624 # DEPENDENCYPART_ARC
(19,8),-5.14182 # DEPENDENCYPART_ARC
(19,9),-2.69141 # DEPENDENCYPART_ARC
(19,10),-0.603065 # DEPENDENCYPART_ARC
(19,11),-1.0898 # DEPENDENCYPART_ARC
(19,12),-0.761306 # DEPENDENCYPART_ARC
(19,13),-0.41247 # DEPENDENCYPART_ARC
(19,14),-2.38451 # DEPENDENCYPART_ARC
(19,15),0.759713 # DEPENDENCYPART_ARC
(19,16),1.92701 # DEPENDENCYPART_ARC
(19,17),2.24269 # DEPENDENCYPART_ARC
(19,18),3.12961 # DEPENDENCYPART_ARC
(19,20),-2.17816 # DEPENDENCYPART_ARC
(19,21),-0.582844 # DEPENDENCYPART_ARC
(20,1),-1.15272 # DEPENDENCYPART_ARC
(20,2),-0.925002 # DEPENDENCYPART_ARC
(20,3),-0.208222 # DEPENDENCYPART_ARC
(20,4),-0.0325923 # DEPENDENCYPART_ARC
(20,6),-0.427865 # DEPENDENCYPART_ARC
(20,7),-0.493804 # DEPENDENCYPART_ARC
(20,8),-1.44442 # DEPENDENCYPART_ARC
(20,9),-0.239497 # DEPENDENCYPART_ARC
(20,12),0.352436 # DEPENDENCYPART_ARC
(20,13),0.0716579 # DEPENDENCYPART_ARC
(20,14),0.385927 # DEPENDENCYPART_ARC
(20,15),0.102672 # DEPENDENCYPART_ARC
(20,16),-0.530116 # DEPENDENCYPART_ARC
(20,17),0.419669 # DEPENDENCYPART_ARC
(20,18),-0.1735 # DEPENDENCYPART_ARC
(20,19),0.326795 # DEPENDENCYPART_ARC
(20,21),0.574667 # DEPENDENCYPART_ARC
