# _root_ Hogy Récsey vállalkozó , netán másként vállalkozó , azt nehéz lenne eldönteni .
#goldHeads=11,9,9,11,9,9,9,11,12,11,0,11,11,
#predictedHeads=12,3,1,7,12,12,11,11,12,11,0,11,11,
(3,1),0.407716 # DEPENDENCYPART_ARC
(3,2),3.63346 # DEPENDENCYPART_ARC
(3,4),0.213262 # DEPENDENCYPART_ARC
(3,5),-0.794859 # DEPENDENCYPART_ARC
(3,6),-0.707534 # DEPENDENCYPART_ARC
(3,7),-0.848933 # DEPENDENCYPART_ARC
(3,8),-0.046586 # DEPENDENCYPART_ARC
(3,9),-1.85904 # DEPENDENCYPART_ARC
(3,10),-1.27932 # DEPENDENCYPART_ARC
(3,11),-0.273472 # DEPENDENCYPART_ARC
(3,12),-0.140594 # DEPENDENCYPART_ARC
(3,13),0.45258 # DEPENDENCYPART_ARC
(5,1),-0.496252 # DEPENDENCYPART_ARC
(5,2),-0.488904 # DEPENDENCYPART_ARC
(5,3),-0.692129 # DEPENDENCYPART_ARC
(5,4),-0.233916 # DEPENDENCYPART_ARC
(5,6),-0.425987 # DEPENDENCYPART_ARC
(5,7),-0.218295 # DEPENDENCYPART_ARC
(5,8),0.0767426 # DEPENDENCYPART_ARC
(5,9),-0.983892 # DEPENDENCYPART_ARC
(5,10),-0.837315 # DEPENDENCYPART_ARC
(5,11),-0.0143929 # DEPENDENCYPART_ARC
(5,12),-0.5258 # DEPENDENCYPART_ARC
(5,13),0.0108294 # DEPENDENCYPART_ARC
(6,1),-0.486447 # DEPENDENCYPART_ARC
(6,2),-0.662576 # DEPENDENCYPART_ARC
(6,3),-0.729711 # DEPENDENCYPART_ARC
(6,4),-0.266253 # DEPENDENCYPART_ARC
(6,5),0.202123 # DEPENDENCYPART_ARC
(6,7),-0.377181 # DEPENDENCYPART_ARC
(6,8),-0.162283 # DEPENDENCYPART_ARC
(6,9),-1.01059 # DEPENDENCYPART_ARC
(6,10),-0.814009 # DEPENDENCYPART_ARC
(6,11),-0.269989 # DEPENDENCYPART_ARC
(6,12),-0.670823 # DEPENDENCYPART_ARC
(6,13),0.0166662 # DEPENDENCYPART_ARC
(7,1),-0.443747 # DEPENDENCYPART_ARC
(7,2),0.703695 # DEPENDENCYPART_ARC
(7,3),-0.869162 # DEPENDENCYPART_ARC
(7,4),0.605638 # DEPENDENCYPART_ARC
(7,5),0.662612 # DEPENDENCYPART_ARC
(7,6),0.72085 # DEPENDENCYPART_ARC
(7,8),0.622463 # DEPENDENCYPART_ARC
(7,9),-1.12178 # DEPENDENCYPART_ARC
(7,10),0.0780046 # DEPENDENCYPART_ARC
(7,11),0.427403 # DEPENDENCYPART_ARC
(7,12),0.504658 # DEPENDENCYPART_ARC
(7,13),1.23243 # DEPENDENCYPART_ARC
(9,1),0.0326064 # DEPENDENCYPART_ARC
(9,2),-0.460149 # DEPENDENCYPART_ARC
(9,3),-0.687092 # DEPENDENCYPART_ARC
(9,4),-0.23306 # DEPENDENCYPART_ARC
(9,5),0.285355 # DEPENDENCYPART_ARC
(9,6),0.542897 # DEPENDENCYPART_ARC
(9,7),-0.575487 # DEPENDENCYPART_ARC
(9,8),0.000713028 # DEPENDENCYPART_ARC
(9,10),0.754812 # DEPENDENCYPART_ARC
(9,11),1.74065 # DEPENDENCYPART_ARC
(9,12),0.785812 # DEPENDENCYPART_ARC
(9,13),0.126768 # DEPENDENCYPART_ARC
(10,1),-0.690884 # DEPENDENCYPART_ARC
(10,2),-0.123624 # DEPENDENCYPART_ARC
(10,3),-1.97588 # DEPENDENCYPART_ARC
(10,4),-0.00835855 # DEPENDENCYPART_ARC
(10,5),0.0643072 # DEPENDENCYPART_ARC
(10,6),0.000234035 # DEPENDENCYPART_ARC
(10,7),-0.872938 # DEPENDENCYPART_ARC
(10,8),-0.026101 # DEPENDENCYPART_ARC
(10,9),0.873476 # DEPENDENCYPART_ARC
(10,11),-0.257846 # DEPENDENCYPART_ARC
(10,12),-0.199753 # DEPENDENCYPART_ARC
(10,13),0.0993601 # DEPENDENCYPART_ARC
(11,1),0.355067 # DEPENDENCYPART_ARC
(11,2),0.130087 # DEPENDENCYPART_ARC
(11,3),-0.73028 # DEPENDENCYPART_ARC
(11,4),0.44161 # DEPENDENCYPART_ARC
(11,5),0.160359 # DEPENDENCYPART_ARC
(11,6),0.275074 # DEPENDENCYPART_ARC
(11,7),-0.0381865 # DEPENDENCYPART_ARC
(11,8),0.663212 # DEPENDENCYPART_ARC
(11,9),1.79827 # DEPENDENCYPART_ARC
(11,10),2.2851 # DEPENDENCYPART_ARC
(11,12),4.05528 # DEPENDENCYPART_ARC
(11,13),1.62091 # DEPENDENCYPART_ARC
(12,1),0.460273 # DEPENDENCYPART_ARC
(12,2),-0.751175 # DEPENDENCYPART_ARC
(12,3),-0.965797 # DEPENDENCYPART_ARC
(12,4),0.345903 # DEPENDENCYPART_ARC
(12,5),1.1503 # DEPENDENCYPART_ARC
(12,6),0.846022 # DEPENDENCYPART_ARC
(12,7),-0.223758 # DEPENDENCYPART_ARC
(12,8),0.613824 # DEPENDENCYPART_ARC
(12,9),2.88431 # DEPENDENCYPART_ARC
(12,10),1.98098 # DEPENDENCYPART_ARC
(12,11),1.22114 # DEPENDENCYPART_ARC
(12,13),0.422532 # DEPENDENCYPART_ARC
