# _root_ A végső szót a Legfelsőbb_Bíróság mondja majd ki , de nem tudni , mikor .
#goldHeads=3,3,6,5,6,10,6,6,10,0,12,10,12,12,10,
#predictedHeads=3,3,6,5,6,10,6,6,6,0,12,6,6,12,10,
(7,11),-1.18934 # DEPENDENCYPART_ARC
(7,12),-0.913362 # DEPENDENCYPART_ARC
(7,13),-1.04557 # DEPENDENCYPART_ARC
(7,14),-1.3202 # DEPENDENCYPART_ARC
(7,15),-1.37426 # DEPENDENCYPART_ARC
(8,2),-0.521044 # DEPENDENCYPART_ARC
(8,3),-0.447808 # DEPENDENCYPART_ARC
(8,6),-0.329677 # DEPENDENCYPART_ARC
(8,7),0.879246 # DEPENDENCYPART_ARC
(8,9),-0.125382 # DEPENDENCYPART_ARC
(8,10),-0.245963 # DEPENDENCYPART_ARC
(8,11),-0.493877 # DEPENDENCYPART_ARC
(8,12),0.0219713 # DEPENDENCYPART_ARC
(8,13),-0.395433 # DEPENDENCYPART_ARC
(8,15),-0.225397 # DEPENDENCYPART_ARC
(10,1),-1.22064 # DEPENDENCYPART_ARC
(10,2),-0.477075 # DEPENDENCYPART_ARC
(10,3),-0.609371 # DEPENDENCYPART_ARC
(10,4),-0.863409 # DEPENDENCYPART_ARC
(10,5),-0.296636 # DEPENDENCYPART_ARC
(10,6),1.58437 # DEPENDENCYPART_ARC
(10,7),0.519626 # DEPENDENCYPART_ARC
(10,9),2.32387 # DEPENDENCYPART_ARC
(10,11),0.312342 # DEPENDENCYPART_ARC
(10,12),1.84006 # DEPENDENCYPART_ARC
(10,13),1.09585 # DEPENDENCYPART_ARC
(10,14),-0.00689779 # DEPENDENCYPART_ARC
(10,15),2.36865 # DEPENDENCYPART_ARC
(11,2),-0.910344 # DEPENDENCYPART_ARC
(11,3),-0.57473 # DEPENDENCYPART_ARC
(11,5),-0.546508 # DEPENDENCYPART_ARC
(11,6),-0.00258552 # DEPENDENCYPART_ARC
(11,7),0.125597 # DEPENDENCYPART_ARC
(11,9),0.225702 # DEPENDENCYPART_ARC
(11,10),0.332409 # DEPENDENCYPART_ARC
(11,12),0.332783 # DEPENDENCYPART_ARC
(11,13),-0.468142 # DEPENDENCYPART_ARC
(11,14),-0.646386 # DEPENDENCYPART_ARC
(11,15),-0.281603 # DEPENDENCYPART_ARC
(12,1),-0.921361 # DEPENDENCYPART_ARC
(12,2),-0.313617 # DEPENDENCYPART_ARC
(12,3),1.66599 # DEPENDENCYPART_ARC
(12,4),-0.948236 # DEPENDENCYPART_ARC
(12,5),-0.162779 # DEPENDENCYPART_ARC
(12,6),-0.809197 # DEPENDENCYPART_ARC
(12,7),1.44191 # DEPENDENCYPART_ARC
(12,8),1.16708 # DEPENDENCYPART_ARC
(12,9),1.07591 # DEPENDENCYPART_ARC
(12,10),0.627259 # DEPENDENCYPART_ARC
(12,11),3.12984 # DEPENDENCYPART_ARC
(12,13),1.44134 # DEPENDENCYPART_ARC
(12,14),0.647346 # DEPENDENCYPART_ARC
(12,15),1.58841 # DEPENDENCYPART_ARC
(14,2),-0.493465 # DEPENDENCYPART_ARC
(14,3),-0.95241 # DEPENDENCYPART_ARC
(14,7),-0.223199 # DEPENDENCYPART_ARC
(14,8),-0.166333 # DEPENDENCYPART_ARC
(14,9),-0.142738 # DEPENDENCYPART_ARC
(14,10),0.130875 # DEPENDENCYPART_ARC
(14,13),0.469109 # DEPENDENCYPART_ARC
(14,15),0.968884 # DEPENDENCYPART_ARC
