# _root_ A kft. másik társtulajdonosa Rózsavölgyi_Sándor , aki korábban maga is futballozott , később pedig a játékvezetésre adta a fejét .
#goldHeads=2,4,4,5,0,5,11,11,11,11,5,5,17,17,16,17,5,19,17,5,
#predictedHeads=2,4,4,5,11,11,11,11,11,11,0,11,17,17,16,17,11,19,17,11,
(2,1),3.28279 # DEPENDENCYPART_ARC
(2,3),-0.632562 # DEPENDENCYPART_ARC
(2,4),-0.0204016 # DEPENDENCYPART_ARC
(2,5),0.15192 # DEPENDENCYPART_ARC
(2,6),0.574462 # DEPENDENCYPART_ARC
(2,7),-1.04009 # DEPENDENCYPART_ARC
(2,8),-0.340333 # DEPENDENCYPART_ARC
(2,9),-1.12506 # DEPENDENCYPART_ARC
(2,10),-0.478217 # DEPENDENCYPART_ARC
(2,11),0.181686 # DEPENDENCYPART_ARC
(2,12),-0.29392 # DEPENDENCYPART_ARC
(2,13),-0.437849 # DEPENDENCYPART_ARC
(2,14),-0.511984 # DEPENDENCYPART_ARC
(2,15),-1.05842 # DEPENDENCYPART_ARC
(2,16),-2.83972 # DEPENDENCYPART_ARC
(2,17),-0.349855 # DEPENDENCYPART_ARC
(2,18),-1.01216 # DEPENDENCYPART_ARC
(2,19),-3.12344 # DEPENDENCYPART_ARC
(2,20),1.29017 # DEPENDENCYPART_ARC
(3,1),0.661241 # DEPENDENCYPART_ARC
(3,2),0.167437 # DEPENDENCYPART_ARC
(3,4),0.343228 # DEPENDENCYPART_ARC
(3,5),-0.0308692 # DEPENDENCYPART_ARC
(3,6),-0.00814796 # DEPENDENCYPART_ARC
(3,7),-0.41198 # DEPENDENCYPART_ARC
(3,8),-0.341015 # DEPENDENCYPART_ARC
(3,9),-0.389313 # DEPENDENCYPART_ARC
(3,10),-0.149625 # DEPENDENCYPART_ARC
(3,11),1.01849 # DEPENDENCYPART_ARC
(3,12),0.254903 # DEPENDENCYPART_ARC
(3,13),-0.169258 # DEPENDENCYPART_ARC
(3,14),-0.0638361 # DEPENDENCYPART_ARC
(3,15),-1.18387 # DEPENDENCYPART_ARC
(3,16),-1.28201 # DEPENDENCYPART_ARC
(3,17),0.904854 # DEPENDENCYPART_ARC
(3,18),-1.19548 # DEPENDENCYPART_ARC
(3,19),-0.90732 # DEPENDENCYPART_ARC
(3,20),1.08459 # DEPENDENCYPART_ARC
(4,1),0.944169 # DEPENDENCYPART_ARC
(4,2),2.9387 # DEPENDENCYPART_ARC
(4,3),3.51889 # DEPENDENCYPART_ARC
(4,5),0.128542 # DEPENDENCYPART_ARC
(4,6),0.045225 # DEPENDENCYPART_ARC
(4,7),-1.70337 # DEPENDENCYPART_ARC
(4,8),-0.714905 # DEPENDENCYPART_ARC
(4,9),-1.86618 # DEPENDENCYPART_ARC
(4,10),-0.724043 # DEPENDENCYPART_ARC
(4,11),-0.581163 # DEPENDENCYPART_ARC
(4,12),-0.69931 # DEPENDENCYPART_ARC
(4,13),-0.797063 # DEPENDENCYPART_ARC
(4,14),-0.700622 # DEPENDENCYPART_ARC
(4,15),-1.50166 # DEPENDENCYPART_ARC
(4,16),-3.16144 # DEPENDENCYPART_ARC
(4,17),-1.38306 # DEPENDENCYPART_ARC
(4,18),-1.56686 # DEPENDENCYPART_ARC
(4,19),-3.67836 # DEPENDENCYPART_ARC
(4,20),0.890219 # DEPENDENCYPART_ARC
(5,1),0.8589 # DEPENDENCYPART_ARC
(5,2),-0.381605 # DEPENDENCYPART_ARC
(5,3),0.944328 # DEPENDENCYPART_ARC
(5,4),1.46205 # DEPENDENCYPART_ARC
(5,6),0.680886 # DEPENDENCYPART_ARC
(5,7),-0.447361 # DEPENDENCYPART_ARC
(5,8),-0.0982644 # DEPENDENCYPART_ARC
(5,9),-0.609532 # DEPENDENCYPART_ARC
(5,10),-0.407027 # DEPENDENCYPART_ARC
(5,11),0.044923 # DEPENDENCYPART_ARC
(5,12),-0.0554544 # DEPENDENCYPART_ARC
(5,13),-0.276879 # DEPENDENCYPART_ARC
(5,14),-0.309061 # DEPENDENCYPART_ARC
(5,15),-0.717771 # DEPENDENCYPART_ARC
(5,16),-2.60165 # DEPENDENCYPART_ARC
(5,17),-0.415429 # DEPENDENCYPART_ARC
(5,18),-0.891132 # DEPENDENCYPART_ARC
(5,19),-2.85229 # DEPENDENCYPART_ARC
(5,20),1.5166 # DEPENDENCYPART_ARC
(6,1),-1.71277 # DEPENDENCYPART_ARC
(6,2),-2.5119 # DEPENDENCYPART_ARC
(6,3),-1.54961 # DEPENDENCYPART_ARC
(6,4),-2.02041 # DEPENDENCYPART_ARC
(6,5),-1.57585 # DEPENDENCYPART_ARC
(6,7),-1.23018 # DEPENDENCYPART_ARC
(6,8),-1.32296 # DEPENDENCYPART_ARC
(6,9),-1.58726 # DEPENDENCYPART_ARC
(6,10),-1.27722 # DEPENDENCYPART_ARC
(6,11),-1.51925 # DEPENDENCYPART_ARC
(6,12),-1.20189 # DEPENDENCYPART_ARC
(6,13),-1.62573 # DEPENDENCYPART_ARC
(6,14),-1.34109 # DEPENDENCYPART_ARC
(6,15),-1.72699 # DEPENDENCYPART_ARC
(6,16),-2.5108 # DEPENDENCYPART_ARC
(6,17),-1.77442 # DEPENDENCYPART_ARC
(6,18),-1.78117 # DEPENDENCYPART_ARC
(6,19),-2.8721 # DEPENDENCYPART_ARC
(6,20),-1.51693 # DEPENDENCYPART_ARC
(7,1),-0.839611 # DEPENDENCYPART_ARC
(7,2),-1.5368 # DEPENDENCYPART_ARC
(7,3),-0.884656 # DEPENDENCYPART_ARC
(7,4),-1.24694 # DEPENDENCYPART_ARC
(7,5),-1.28707 # DEPENDENCYPART_ARC
(7,6),-0.789573 # DEPENDENCYPART_ARC
(7,8),-0.885949 # DEPENDENCYPART_ARC
(7,9),-1.41392 # DEPENDENCYPART_ARC
(7,10),-1.07428 # DEPENDENCYPART_ARC
(7,11),-0.227941 # DEPENDENCYPART_ARC
(7,12),-0.747276 # DEPENDENCYPART_ARC
(7,13),-0.687181 # DEPENDENCYPART_ARC
(7,14),-0.804932 # DEPENDENCYPART_ARC
(7,15),-1.76451 # DEPENDENCYPART_ARC
(7,16),-1.79359 # DEPENDENCYPART_ARC
(7,17),0.0211095 # DEPENDENCYPART_ARC
(7,18),-1.79225 # DEPENDENCYPART_ARC
(7,19),-1.48914 # DEPENDENCYPART_ARC
(7,20),-0.543665 # DEPENDENCYPART_ARC
(8,1),-1.85621 # DEPENDENCYPART_ARC
(8,2),-1.50905 # DEPENDENCYPART_ARC
(8,3),-1.56549 # DEPENDENCYPART_ARC
(8,4),-1.23212 # DEPENDENCYPART_ARC
(8,5),-1.28135 # DEPENDENCYPART_ARC
(8,6),-1.12758 # DEPENDENCYPART_ARC
(8,7),-0.399044 # DEPENDENCYPART_ARC
(8,9),-0.710766 # DEPENDENCYPART_ARC
(8,10),-0.492935 # DEPENDENCYPART_ARC
(8,11),-0.187956 # DEPENDENCYPART_ARC
(8,12),-0.476589 # DEPENDENCYPART_ARC
(8,13),-0.895774 # DEPENDENCYPART_ARC
(8,14),-0.483828 # DEPENDENCYPART_ARC
(8,15),-1.20452 # DEPENDENCYPART_ARC
(8,16),-1.57624 # DEPENDENCYPART_ARC
(8,17),-0.909564 # DEPENDENCYPART_ARC
(8,18),-1.20823 # DEPENDENCYPART_ARC
(8,19),-1.65291 # DEPENDENCYPART_ARC
(8,20),0.0224408 # DEPENDENCYPART_ARC
(9,1),-0.439597 # DEPENDENCYPART_ARC
(9,2),-0.803559 # DEPENDENCYPART_ARC
(9,3),-0.364945 # DEPENDENCYPART_ARC
(9,4),-0.90533 # DEPENDENCYPART_ARC
(9,5),-0.818555 # DEPENDENCYPART_ARC
(9,6),-0.0307687 # DEPENDENCYPART_ARC
(9,7),-0.0872464 # DEPENDENCYPART_ARC
(9,8),0.441716 # DEPENDENCYPART_ARC
(9,10),-0.660718 # DEPENDENCYPART_ARC
(9,11),0.121012 # DEPENDENCYPART_ARC
(9,12),-0.0132844 # DEPENDENCYPART_ARC
(9,13),-0.391626 # DEPENDENCYPART_ARC
(9,14),-0.515716 # DEPENDENCYPART_ARC
(9,15),-1.06197 # DEPENDENCYPART_ARC
(9,16),-0.975069 # DEPENDENCYPART_ARC
(9,17),0.81136 # DEPENDENCYPART_ARC
(9,18),-1.15728 # DEPENDENCYPART_ARC
(9,19),-0.669425 # DEPENDENCYPART_ARC
(9,20),0.575991 # DEPENDENCYPART_ARC
(10,1),-1.31639 # DEPENDENCYPART_ARC
(10,2),-0.893462 # DEPENDENCYPART_ARC
(10,3),-0.908833 # DEPENDENCYPART_ARC
(10,4),-0.981578 # DEPENDENCYPART_ARC
(10,5),-0.811482 # DEPENDENCYPART_ARC
(10,6),-0.136764 # DEPENDENCYPART_ARC
(10,7),-0.349063 # DEPENDENCYPART_ARC
(10,8),0.481574 # DEPENDENCYPART_ARC
(10,9),0.319329 # DEPENDENCYPART_ARC
(10,11),0.631045 # DEPENDENCYPART_ARC
(10,12),0.408672 # DEPENDENCYPART_ARC
(10,13),-0.666708 # DEPENDENCYPART_ARC
(10,14),-0.435375 # DEPENDENCYPART_ARC
(10,15),-1.15294 # DEPENDENCYPART_ARC
(10,16),-1.54062 # DEPENDENCYPART_ARC
(10,17),-0.584871 # DEPENDENCYPART_ARC
(10,18),-1.22888 # DEPENDENCYPART_ARC
(10,19),-1.4765 # DEPENDENCYPART_ARC
(10,20),0.852887 # DEPENDENCYPART_ARC
(11,1),-0.627116 # DEPENDENCYPART_ARC
(11,2),0.742853 # DEPENDENCYPART_ARC
(11,3),0.03369 # DEPENDENCYPART_ARC
(11,4),1.13644 # DEPENDENCYPART_ARC
(11,5),0.430973 # DEPENDENCYPART_ARC
(11,6),0.777705 # DEPENDENCYPART_ARC
(11,7),2.49122 # DEPENDENCYPART_ARC
(11,8),2.45944 # DEPENDENCYPART_ARC
(11,9),2.52776 # DEPENDENCYPART_ARC
(11,10),3.29714 # DEPENDENCYPART_ARC
(11,12),1.90838 # DEPENDENCYPART_ARC
(11,13),0.954399 # DEPENDENCYPART_ARC
(11,14),0.749746 # DEPENDENCYPART_ARC
(11,15),-0.342883 # DEPENDENCYPART_ARC
(11,16),-0.730416 # DEPENDENCYPART_ARC
(11,17),1.45636 # DEPENDENCYPART_ARC
(11,18),-0.710811 # DEPENDENCYPART_ARC
(11,19),-0.528147 # DEPENDENCYPART_ARC
(11,20),2.45028 # DEPENDENCYPART_ARC
(12,1),-2.2031 # DEPENDENCYPART_ARC
(12,2),-3.05457 # DEPENDENCYPART_ARC
(12,3),-2.45569 # DEPENDENCYPART_ARC
(12,4),-2.96576 # DEPENDENCYPART_ARC
(12,5),-3.01714 # DEPENDENCYPART_ARC
(12,6),-1.83667 # DEPENDENCYPART_ARC
(12,7),-2.22471 # DEPENDENCYPART_ARC
(12,8),-1.86244 # DEPENDENCYPART_ARC
(12,9),-1.88122 # DEPENDENCYPART_ARC
(12,10),-1.59792 # DEPENDENCYPART_ARC
(12,11),-0.851743 # DEPENDENCYPART_ARC
(12,13),-1.01654 # DEPENDENCYPART_ARC
(12,14),-1.05263 # DEPENDENCYPART_ARC
(12,15),-1.27292 # DEPENDENCYPART_ARC
(12,16),-1.92559 # DEPENDENCYPART_ARC
(12,17),-1.41765 # DEPENDENCYPART_ARC
(12,18),-1.47565 # DEPENDENCYPART_ARC
(12,19),-2.35271 # DEPENDENCYPART_ARC
(12,20),-1.36279 # DEPENDENCYPART_ARC
(13,1),-1.62344 # DEPENDENCYPART_ARC
(13,2),-1.53739 # DEPENDENCYPART_ARC
(13,3),-1.2939 # DEPENDENCYPART_ARC
(13,4),-1.21718 # DEPENDENCYPART_ARC
(13,5),-1.45081 # DEPENDENCYPART_ARC
(13,6),-0.882149 # DEPENDENCYPART_ARC
(13,7),-0.888979 # DEPENDENCYPART_ARC
(13,8),-0.576562 # DEPENDENCYPART_ARC
(13,9),-0.717476 # DEPENDENCYPART_ARC
(13,10),-0.214816 # DEPENDENCYPART_ARC
(13,11),-0.199844 # DEPENDENCYPART_ARC
(13,12),-0.0748751 # DEPENDENCYPART_ARC
(13,14),0.0259498 # DEPENDENCYPART_ARC
(13,15),-0.673104 # DEPENDENCYPART_ARC
(13,16),-0.373373 # DEPENDENCYPART_ARC
(13,17),0.119929 # DEPENDENCYPART_ARC
(13,18),-0.845282 # DEPENDENCYPART_ARC
(13,19),-1.02395 # DEPENDENCYPART_ARC
(13,20),0.00389291 # DEPENDENCYPART_ARC
(14,1),-2.08101 # DEPENDENCYPART_ARC
(14,2),-1.65543 # DEPENDENCYPART_ARC
(14,3),-2.02763 # DEPENDENCYPART_ARC
(14,4),-1.75317 # DEPENDENCYPART_ARC
(14,5),-1.48066 # DEPENDENCYPART_ARC
(14,6),-0.250407 # DEPENDENCYPART_ARC
(14,7),-1.65401 # DEPENDENCYPART_ARC
(14,8),-0.80771 # DEPENDENCYPART_ARC
(14,9),-1.39073 # DEPENDENCYPART_ARC
(14,10),0.066002 # DEPENDENCYPART_ARC
(14,11),0.162555 # DEPENDENCYPART_ARC
(14,12),0.0421561 # DEPENDENCYPART_ARC
(14,13),0.230122 # DEPENDENCYPART_ARC
(14,15),-0.4886 # DEPENDENCYPART_ARC
(14,16),0.0587234 # DEPENDENCYPART_ARC
(14,17),0.824782 # DEPENDENCYPART_ARC
(14,18),-0.805023 # DEPENDENCYPART_ARC
(14,19),-0.25026 # DEPENDENCYPART_ARC
(14,20),0.954316 # DEPENDENCYPART_ARC
(15,1),-1.85152 # DEPENDENCYPART_ARC
(15,2),-3.16895 # DEPENDENCYPART_ARC
(15,3),-2.63635 # DEPENDENCYPART_ARC
(15,4),-3.49396 # DEPENDENCYPART_ARC
(15,5),-2.87559 # DEPENDENCYPART_ARC
(15,6),-1.29791 # DEPENDENCYPART_ARC
(15,7),-2.48545 # DEPENDENCYPART_ARC
(15,8),-1.81822 # DEPENDENCYPART_ARC
(15,9),-2.37868 # DEPENDENCYPART_ARC
(15,10),-1.57621 # DEPENDENCYPART_ARC
(15,11),-1.72582 # DEPENDENCYPART_ARC
(15,12),-0.741433 # DEPENDENCYPART_ARC
(15,13),-0.999335 # DEPENDENCYPART_ARC
(15,14),-0.312662 # DEPENDENCYPART_ARC
(15,16),-0.520601 # DEPENDENCYPART_ARC
(15,17),-0.857064 # DEPENDENCYPART_ARC
(15,18),-0.848311 # DEPENDENCYPART_ARC
(15,19),-1.57523 # DEPENDENCYPART_ARC
(15,20),-1.48815 # DEPENDENCYPART_ARC
(16,1),-2.52079 # DEPENDENCYPART_ARC
(16,2),-4.15389 # DEPENDENCYPART_ARC
(16,3),-2.13499 # DEPENDENCYPART_ARC
(16,4),-4.4974 # DEPENDENCYPART_ARC
(16,5),-3.55033 # DEPENDENCYPART_ARC
(16,6),-2.40287 # DEPENDENCYPART_ARC
(16,7),-3.23592 # DEPENDENCYPART_ARC
(16,8),-1.65442 # DEPENDENCYPART_ARC
(16,9),-1.72348 # DEPENDENCYPART_ARC
(16,10),-1.54343 # DEPENDENCYPART_ARC
(16,11),-2.42082 # DEPENDENCYPART_ARC
(16,12),-0.983325 # DEPENDENCYPART_ARC
(16,13),-0.635927 # DEPENDENCYPART_ARC
(16,14),-0.40525 # DEPENDENCYPART_ARC
(16,15),2.90507 # DEPENDENCYPART_ARC
(16,17),-0.535186 # DEPENDENCYPART_ARC
(16,18),-1.30046 # DEPENDENCYPART_ARC
(16,19),-1.85673 # DEPENDENCYPART_ARC
(16,20),-0.6395 # DEPENDENCYPART_ARC
(17,1),-1.49464 # DEPENDENCYPART_ARC
(17,2),-0.125109 # DEPENDENCYPART_ARC
(17,3),-1.13217 # DEPENDENCYPART_ARC
(17,4),0.246285 # DEPENDENCYPART_ARC
(17,5),-0.503499 # DEPENDENCYPART_ARC
(17,6),0.664535 # DEPENDENCYPART_ARC
(17,7),1.03904 # DEPENDENCYPART_ARC
(17,8),1.02697 # DEPENDENCYPART_ARC
(17,9),0.823175 # DEPENDENCYPART_ARC
(17,10),1.21282 # DEPENDENCYPART_ARC
(17,11),0.291811 # DEPENDENCYPART_ARC
(17,12),1.34243 # DEPENDENCYPART_ARC
(17,13),2.53612 # DEPENDENCYPART_ARC
(17,14),2.86113 # DEPENDENCYPART_ARC
(17,15),0.274649 # DEPENDENCYPART_ARC
(17,16),3.41028 # DEPENDENCYPART_ARC
(17,18),0.201724 # DEPENDENCYPART_ARC
(17,19),3.77416 # DEPENDENCYPART_ARC
(17,20),1.9923 # DEPENDENCYPART_ARC
(18,1),-2.28631 # DEPENDENCYPART_ARC
(18,2),-3.65353 # DEPENDENCYPART_ARC
(18,3),-3.10476 # DEPENDENCYPART_ARC
(18,4),-3.90955 # DEPENDENCYPART_ARC
(18,5),-3.38421 # DEPENDENCYPART_ARC
(18,6),-1.7993 # DEPENDENCYPART_ARC
(18,7),-2.95879 # DEPENDENCYPART_ARC
(18,8),-2.27821 # DEPENDENCYPART_ARC
(18,9),-2.88277 # DEPENDENCYPART_ARC
(18,10),-1.89883 # DEPENDENCYPART_ARC
(18,11),-2.56555 # DEPENDENCYPART_ARC
(18,12),-1.54725 # DEPENDENCYPART_ARC
(18,13),-1.93705 # DEPENDENCYPART_ARC
(18,14),-1.71328 # DEPENDENCYPART_ARC
(18,15),-1.54263 # DEPENDENCYPART_ARC
(18,16),-2.3798 # DEPENDENCYPART_ARC
(18,17),-0.948454 # DEPENDENCYPART_ARC
(18,19),-0.641887 # DEPENDENCYPART_ARC
(18,20),-1.11518 # DEPENDENCYPART_ARC
(19,1),-3.77799 # DEPENDENCYPART_ARC
(19,2),-2.59178 # DEPENDENCYPART_ARC
(19,3),-2.63821 # DEPENDENCYPART_ARC
(19,4),-3.58737 # DEPENDENCYPART_ARC
(19,5),-2.87044 # DEPENDENCYPART_ARC
(19,6),-2.65899 # DEPENDENCYPART_ARC
(19,7),-3.40845 # DEPENDENCYPART_ARC
(19,8),-1.73682 # DEPENDENCYPART_ARC
(19,9),-2.15336 # DEPENDENCYPART_ARC
(19,10),-1.72974 # DEPENDENCYPART_ARC
(19,11),-3.31703 # DEPENDENCYPART_ARC
(19,12),-1.64926 # DEPENDENCYPART_ARC
(19,13),-1.22178 # DEPENDENCYPART_ARC
(19,14),-1.34899 # DEPENDENCYPART_ARC
(19,15),-0.920022 # DEPENDENCYPART_ARC
(19,16),-1.75233 # DEPENDENCYPART_ARC
(19,17),-0.586406 # DEPENDENCYPART_ARC
(19,18),2.41673 # DEPENDENCYPART_ARC
(19,20),-0.523389 # DEPENDENCYPART_ARC
(20,1),-3.26416 # DEPENDENCYPART_ARC
(20,2),-4.37883 # DEPENDENCYPART_ARC
(20,3),-3.49116 # DEPENDENCYPART_ARC
(20,4),-4.27881 # DEPENDENCYPART_ARC
(20,5),-4.30597 # DEPENDENCYPART_ARC
(20,6),-2.90639 # DEPENDENCYPART_ARC
(20,7),-3.37732 # DEPENDENCYPART_ARC
(20,8),-3.17113 # DEPENDENCYPART_ARC
(20,9),-3.35347 # DEPENDENCYPART_ARC
(20,10),-2.85991 # DEPENDENCYPART_ARC
(20,11),-3.17715 # DEPENDENCYPART_ARC
(20,12),-2.63757 # DEPENDENCYPART_ARC
(20,13),-2.88043 # DEPENDENCYPART_ARC
(20,14),-2.59124 # DEPENDENCYPART_ARC
(20,15),-2.83391 # DEPENDENCYPART_ARC
(20,16),-3.55212 # DEPENDENCYPART_ARC
(20,17),-2.37109 # DEPENDENCYPART_ARC
(20,18),-1.87106 # DEPENDENCYPART_ARC
(20,19),-2.54337 # DEPENDENCYPART_ARC
