# _root_ Kouchnerhez hasonlóan a tanács többi tagja sem tudja még , miképpen lehetne szavatolni a szerb kisebbség biztonságát , s így a kérdés valószínűleg még többször napirendre kerül a testület ülésein .
#goldHeads=2,8,4,6,6,8,8,19,8,8,13,8,12,16,16,17,13,19,0,27,22,27,27,27,27,27,19,29,30,27,19,
#predictedHeads=2,8,4,6,6,8,8,19,8,8,12,8,12,16,16,17,13,19,0,27,22,27,27,27,26,27,19,29,30,27,12,
(9,21),-1.63085 # DEPENDENCYPART_ARC
(9,22),-2.35702 # DEPENDENCYPART_ARC
(9,23),-1.26301 # DEPENDENCYPART_ARC
(9,24),-1.17786 # DEPENDENCYPART_ARC
(9,25),-1.50475 # DEPENDENCYPART_ARC
(9,26),-2.77463 # DEPENDENCYPART_ARC
(9,27),-1.63476 # DEPENDENCYPART_ARC
(9,28),-1.77488 # DEPENDENCYPART_ARC
(9,29),-3.14994 # DEPENDENCYPART_ARC
(9,30),-3.19505 # DEPENDENCYPART_ARC
(9,31),-1.27884 # DEPENDENCYPART_ARC
(11,2),-0.856675 # DEPENDENCYPART_ARC
(11,4),-0.971496 # DEPENDENCYPART_ARC
(11,5),-0.852206 # DEPENDENCYPART_ARC
(11,6),-0.98986 # DEPENDENCYPART_ARC
(11,9),-0.36392 # DEPENDENCYPART_ARC
(11,10),-0.133283 # DEPENDENCYPART_ARC
(11,15),-0.574455 # DEPENDENCYPART_ARC
(11,16),-0.669278 # DEPENDENCYPART_ARC
(11,17),-0.788103 # DEPENDENCYPART_ARC
(11,18),-0.312416 # DEPENDENCYPART_ARC
(11,19),-0.138478 # DEPENDENCYPART_ARC
(11,22),-1.2768 # DEPENDENCYPART_ARC
(11,23),-0.825506 # DEPENDENCYPART_ARC
(11,24),-0.792085 # DEPENDENCYPART_ARC
(11,26),-1.71037 # DEPENDENCYPART_ARC
(11,29),-1.91304 # DEPENDENCYPART_ARC
(11,30),-1.87713 # DEPENDENCYPART_ARC
(11,31),0.0510754 # DEPENDENCYPART_ARC
(12,1),-1.11673 # DEPENDENCYPART_ARC
(12,2),-0.232637 # DEPENDENCYPART_ARC
(12,3),-1.79257 # DEPENDENCYPART_ARC
(12,4),-0.625571 # DEPENDENCYPART_ARC
(12,5),-1.42463 # DEPENDENCYPART_ARC
(12,6),0.183572 # DEPENDENCYPART_ARC
(12,7),0.491211 # DEPENDENCYPART_ARC
(12,8),0.339305 # DEPENDENCYPART_ARC
(12,9),0.674259 # DEPENDENCYPART_ARC
(12,10),0.926716 # DEPENDENCYPART_ARC
(12,11),2.4825 # DEPENDENCYPART_ARC
(12,13),4.23728 # DEPENDENCYPART_ARC
(12,14),-0.164351 # DEPENDENCYPART_ARC
(12,15),0.0997081 # DEPENDENCYPART_ARC
(12,16),0.676745 # DEPENDENCYPART_ARC
(12,17),1.67888 # DEPENDENCYPART_ARC
(12,18),2.00661 # DEPENDENCYPART_ARC
(12,19),1.42546 # DEPENDENCYPART_ARC
(12,20),0.87062 # DEPENDENCYPART_ARC
(12,21),-0.751491 # DEPENDENCYPART_ARC
(12,22),-0.770331 # DEPENDENCYPART_ARC
(12,23),0.241491 # DEPENDENCYPART_ARC
(12,24),0.0648742 # DEPENDENCYPART_ARC
(12,25),0.0461971 # DEPENDENCYPART_ARC
(12,26),-1.60462 # DEPENDENCYPART_ARC
(12,27),1.31966 # DEPENDENCYPART_ARC
(12,28),-1.05606 # DEPENDENCYPART_ARC
(12,29),-1.19928 # DEPENDENCYPART_ARC
(12,30),-0.663416 # DEPENDENCYPART_ARC
(12,31),3.4077 # DEPENDENCYPART_ARC
(13,1),0.0662105 # DEPENDENCYPART_ARC
(13,2),1.1119 # DEPENDENCYPART_ARC
(13,3),-1.25404 # DEPENDENCYPART_ARC
(13,4),-1.15698 # DEPENDENCYPART_ARC
(13,5),-0.101406 # DEPENDENCYPART_ARC
(13,6),-0.00800614 # DEPENDENCYPART_ARC
(13,7),0.371003 # DEPENDENCYPART_ARC
(13,8),-0.146965 # DEPENDENCYPART_ARC
(13,9),0.798381 # DEPENDENCYPART_ARC
(13,10),0.85114 # DEPENDENCYPART_ARC
(13,11),1.70929 # DEPENDENCYPART_ARC
(13,12),1.26443 # DEPENDENCYPART_ARC
(13,14),0.105117 # DEPENDENCYPART_ARC
(13,15),1.21803 # DEPENDENCYPART_ARC
(13,16),0.699952 # DEPENDENCYPART_ARC
(13,17),3.86642 # DEPENDENCYPART_ARC
(13,18),1.03915 # DEPENDENCYPART_ARC
(13,19),0.254373 # DEPENDENCYPART_ARC
(13,20),0.129246 # DEPENDENCYPART_ARC
(13,21),-0.535645 # DEPENDENCYPART_ARC
(13,22),-1.09099 # DEPENDENCYPART_ARC
(13,23),-0.411787 # DEPENDENCYPART_ARC
(13,24),-0.501355 # DEPENDENCYPART_ARC
(13,25),-0.191381 # DEPENDENCYPART_ARC
(13,26),-0.696519 # DEPENDENCYPART_ARC
(13,27),0.204589 # DEPENDENCYPART_ARC
(13,28),-0.992803 # DEPENDENCYPART_ARC
(13,29),-2.07789 # DEPENDENCYPART_ARC
(13,30),0.377586 # DEPENDENCYPART_ARC
(13,31),1.53971 # DEPENDENCYPART_ARC
(14,1),-3.49485 # DEPENDENCYPART_ARC
(14,2),-2.54367 # DEPENDENCYPART_ARC
(14,4),-3.57454 # DEPENDENCYPART_ARC
(14,5),-2.39347 # DEPENDENCYPART_ARC
(14,6),-4.02459 # DEPENDENCYPART_ARC
(14,10),-1.68484 # DEPENDENCYPART_ARC
(14,15),0.358192 # DEPENDENCYPART_ARC
(14,16),-0.59655 # DEPENDENCYPART_ARC
(14,17),-1.38267 # DEPENDENCYPART_ARC
(14,18),-0.439613 # DEPENDENCYPART_ARC
(14,19),-0.884784 # DEPENDENCYPART_ARC
(14,22),-1.57192 # DEPENDENCYPART_ARC
(14,26),-1.93547 # DEPENDENCYPART_ARC
(14,29),-1.97219 # DEPENDENCYPART_ARC
(14,30),-2.43935 # DEPENDENCYPART_ARC
(15,1),-2.75133 # DEPENDENCYPART_ARC
(15,2),-2.95511 # DEPENDENCYPART_ARC
(15,3),-2.91995 # DEPENDENCYPART_ARC
(15,4),-3.38894 # DEPENDENCYPART_ARC
(15,5),-3.12509 # DEPENDENCYPART_ARC
(15,6),-4.00359 # DEPENDENCYPART_ARC
(15,7),-2.14406 # DEPENDENCYPART_ARC
(15,8),-2.2957 # DEPENDENCYPART_ARC
(15,9),-1.81767 # DEPENDENCYPART_ARC
(15,10),-1.72787 # DEPENDENCYPART_ARC
(15,12),-1.7595 # DEPENDENCYPART_ARC
(15,13),-0.997328 # DEPENDENCYPART_ARC
(15,14),0.540596 # DEPENDENCYPART_ARC
(15,16),-0.789072 # DEPENDENCYPART_ARC
(15,17),-1.59723 # DEPENDENCYPART_ARC
(15,18),-0.859618 # DEPENDENCYPART_ARC
(15,19),-1.46702 # DEPENDENCYPART_ARC
(15,20),-1.60104 # DEPENDENCYPART_ARC
(15,21),-1.91206 # DEPENDENCYPART_ARC
(15,22),-2.2264 # DEPENDENCYPART_ARC
(15,23),-1.69293 # DEPENDENCYPART_ARC
(15,24),-1.73243 # DEPENDENCYPART_ARC
(15,25),-1.50298 # DEPENDENCYPART_ARC
(15,26),-2.19598 # DEPENDENCYPART_ARC
(15,27),-1.86207 # DEPENDENCYPART_ARC
(15,28),-2.21071 # DEPENDENCYPART_ARC
(15,29),-2.70432 # DEPENDENCYPART_ARC
(15,30),-2.96181 # DEPENDENCYPART_ARC
(15,31),-1.19065 # DEPENDENCYPART_ARC
(16,1),-4.08062 # DEPENDENCYPART_ARC
(16,2),-4.36517 # DEPENDENCYPART_ARC
(16,3),-1.08371 # DEPENDENCYPART_ARC
(16,4),-3.26168 # DEPENDENCYPART_ARC
(16,5),-0.728902 # DEPENDENCYPART_ARC
(16,6),-4.1574 # DEPENDENCYPART_ARC
(16,7),-0.963877 # DEPENDENCYPART_ARC
(16,8),-1.51715 # DEPENDENCYPART_ARC
(16,9),-1.04341 # DEPENDENCYPART_ARC
(16,10),-1.48095 # DEPENDENCYPART_ARC
(16,12),-1.42468 # DEPENDENCYPART_ARC
(16,13),0.745696 # DEPENDENCYPART_ARC
(16,14),2.8782 # DEPENDENCYPART_ARC
(16,15),3.73202 # DEPENDENCYPART_ARC
(16,17),-1.16833 # DEPENDENCYPART_ARC
(16,18),-0.493703 # DEPENDENCYPART_ARC
(16,19),-0.732721 # DEPENDENCYPART_ARC
(16,20),-1.03967 # DEPENDENCYPART_ARC
(16,21),-1.51173 # DEPENDENCYPART_ARC
(16,22),-1.85532 # DEPENDENCYPART_ARC
(16,23),-1.22084 # DEPENDENCYPART_ARC
(16,24),-1.23288 # DEPENDENCYPART_ARC
(16,25),-1.44052 # DEPENDENCYPART_ARC
(16,26),-2.61502 # DEPENDENCYPART_ARC
(16,27),-1.24803 # DEPENDENCYPART_ARC
(16,28),-1.83696 # DEPENDENCYPART_ARC
(16,29),-2.85784 # DEPENDENCYPART_ARC
(16,30),-4.06159 # DEPENDENCYPART_ARC
(16,31),-0.664108 # DEPENDENCYPART_ARC
(17,1),-4.81842 # DEPENDENCYPART_ARC
(17,2),-4.93895 # DEPENDENCYPART_ARC
(17,3),-1.86948 # DEPENDENCYPART_ARC
(17,4),-1.56968 # DEPENDENCYPART_ARC
(17,5),-1.14154 # DEPENDENCYPART_ARC
(17,6),-2.96574 # DEPENDENCYPART_ARC
(17,7),-0.4792 # DEPENDENCYPART_ARC
(17,8),-2.28669 # DEPENDENCYPART_ARC
(17,9),-0.570827 # DEPENDENCYPART_ARC
(17,10),-0.964653 # DEPENDENCYPART_ARC
(17,12),-2.77169 # DEPENDENCYPART_ARC
(17,13),0.651436 # DEPENDENCYPART_ARC
(17,14),1.28973 # DEPENDENCYPART_ARC
(17,15),2.01484 # DEPENDENCYPART_ARC
(17,16),4.43632 # DEPENDENCYPART_ARC
(17,18),-0.140423 # DEPENDENCYPART_ARC
(17,19),-0.690495 # DEPENDENCYPART_ARC
(17,20),-0.870313 # DEPENDENCYPART_ARC
(17,21),-1.21388 # DEPENDENCYPART_ARC
(17,22),-1.80305 # DEPENDENCYPART_ARC
(17,23),-1.06793 # DEPENDENCYPART_ARC
(17,24),-1.05624 # DEPENDENCYPART_ARC
(17,25),-1.25247 # DEPENDENCYPART_ARC
(17,26),-2.34264 # DEPENDENCYPART_ARC
(17,27),-1.49322 # DEPENDENCYPART_ARC
(17,28),-1.56237 # DEPENDENCYPART_ARC
(17,29),-2.97524 # DEPENDENCYPART_ARC
(17,30),-3.20208 # DEPENDENCYPART_ARC
(17,31),-0.369759 # DEPENDENCYPART_ARC
(19,1),0.326126 # DEPENDENCYPART_ARC
(19,2),0.293642 # DEPENDENCYPART_ARC
(19,3),-1.80213 # DEPENDENCYPART_ARC
(19,4),-0.287312 # DEPENDENCYPART_ARC
(19,5),-0.0988751 # DEPENDENCYPART_ARC
(19,6),-0.59643 # DEPENDENCYPART_ARC
(19,7),-0.228089 # DEPENDENCYPART_ARC
(19,8),0.780828 # DEPENDENCYPART_ARC
(19,9),-0.331169 # DEPENDENCYPART_ARC
(19,10),0.793023 # DEPENDENCYPART_ARC
(19,11),0.114968 # DEPENDENCYPART_ARC
(19,12),1.189 # DEPENDENCYPART_ARC
(19,13),0.912441 # DEPENDENCYPART_ARC
(19,14),-0.598128 # DEPENDENCYPART_ARC
(19,15),-0.00399958 # DEPENDENCYPART_ARC
(19,16),0.285924 # DEPENDENCYPART_ARC
(19,17),-0.505917 # DEPENDENCYPART_ARC
(19,18),2.31668 # DEPENDENCYPART_ARC
(19,20),-0.0650501 # DEPENDENCYPART_ARC
(19,21),-0.479688 # DEPENDENCYPART_ARC
(19,22),-0.934337 # DEPENDENCYPART_ARC
(19,23),-0.213311 # DEPENDENCYPART_ARC
(19,24),-0.195154 # DEPENDENCYPART_ARC
(19,25),-0.192041 # DEPENDENCYPART_ARC
(19,26),-1.4718 # DEPENDENCYPART_ARC
(19,27),1.75241 # DEPENDENCYPART_ARC
(19,28),-0.907587 # DEPENDENCYPART_ARC
(19,29),-1.3609 # DEPENDENCYPART_ARC
(19,30),-1.88224 # DEPENDENCYPART_ARC
(19,31),3.3861 # DEPENDENCYPART_ARC
(20,1),0.104929 # DEPENDENCYPART_ARC
(20,2),-0.365344 # DEPENDENCYPART_ARC
(20,4),-0.197615 # DEPENDENCYPART_ARC
(20,5),-0.459528 # DEPENDENCYPART_ARC
(20,6),-0.474459 # DEPENDENCYPART_ARC
(20,8),0.0393375 # DEPENDENCYPART_ARC
(20,9),-0.848066 # DEPENDENCYPART_ARC
(20,10),-0.275268 # DEPENDENCYPART_ARC
(20,12),-0.418449 # DEPENDENCYPART_ARC
(20,13),-0.21708 # DEPENDENCYPART_ARC
(20,15),-0.0873428 # DEPENDENCYPART_ARC
(20,16),0.108507 # DEPENDENCYPART_ARC
(20,17),0.0820578 # DEPENDENCYPART_ARC
(20,18),0.849102 # DEPENDENCYPART_ARC
(20,19),1.11375 # DEPENDENCYPART_ARC
(20,22),0.35992 # DEPENDENCYPART_ARC
(20,23),0.216448 # DEPENDENCYPART_ARC
(20,24),0.162619 # DEPENDENCYPART_ARC
(20,25),-0.0683157 # DEPENDENCYPART_ARC
(20,26),-0.352234 # DEPENDENCYPART_ARC
(20,27),0.649943 # DEPENDENCYPART_ARC
(20,29),-1.05141 # DEPENDENCYPART_ARC
(20,30),-0.68429 # DEPENDENCYPART_ARC
(20,31),2.34939 # DEPENDENCYPART_ARC
(21,1),-3.49226 # DEPENDENCYPART_ARC
(21,2),-2.3867 # DEPENDENCYPART_ARC
