# _root_ Bár sokan emlegetik következő áldozatként a Hyundait , elemzők rámutatnak , hogy helyzete több szempontból sem hasonlítható a Daewooéhoz .
#goldHeads=10,3,10,5,3,7,3,10,10,0,10,10,10,15,10,10,10,19,10,10,
#predictedHeads=10,3,0,5,10,7,3,10,10,3,10,10,17,15,17,17,10,19,17,3,
(7,15),-2.54083 # DEPENDENCYPART_ARC
(7,16),-1.45617 # DEPENDENCYPART_ARC
(7,17),-1.65552 # DEPENDENCYPART_ARC
(7,18),-1.63229 # DEPENDENCYPART_ARC
(7,19),-3.35773 # DEPENDENCYPART_ARC
(7,20),-0.625251 # DEPENDENCYPART_ARC
(9,1),-0.504965 # DEPENDENCYPART_ARC
(9,2),-0.600931 # DEPENDENCYPART_ARC
(9,3),-1.30073 # DEPENDENCYPART_ARC
(9,4),0.144066 # DEPENDENCYPART_ARC
(9,5),-1.94382 # DEPENDENCYPART_ARC
(9,6),1.59666 # DEPENDENCYPART_ARC
(9,7),0.713397 # DEPENDENCYPART_ARC
(9,8),0.617695 # DEPENDENCYPART_ARC
(9,10),-0.515746 # DEPENDENCYPART_ARC
(9,11),-0.470256 # DEPENDENCYPART_ARC
(9,12),-0.921347 # DEPENDENCYPART_ARC
(9,13),-1.83394 # DEPENDENCYPART_ARC
(9,14),-1.28019 # DEPENDENCYPART_ARC
(9,15),-2.726 # DEPENDENCYPART_ARC
(9,16),-1.14401 # DEPENDENCYPART_ARC
(9,17),-1.63667 # DEPENDENCYPART_ARC
(9,18),-1.56457 # DEPENDENCYPART_ARC
(9,19),-3.23078 # DEPENDENCYPART_ARC
(9,20),-0.7248 # DEPENDENCYPART_ARC
(10,1),1.86805 # DEPENDENCYPART_ARC
(10,2),1.48238 # DEPENDENCYPART_ARC
(10,3),0.402862 # DEPENDENCYPART_ARC
(10,4),-0.318321 # DEPENDENCYPART_ARC
(10,5),2.20767 # DEPENDENCYPART_ARC
(10,6),-0.0420424 # DEPENDENCYPART_ARC
(10,7),1.01667 # DEPENDENCYPART_ARC
(10,8),1.62235 # DEPENDENCYPART_ARC
(10,9),4.38629 # DEPENDENCYPART_ARC
(10,11),1.64956 # DEPENDENCYPART_ARC
(10,12),2.83802 # DEPENDENCYPART_ARC
(10,13),-0.520603 # DEPENDENCYPART_ARC
(10,14),-0.4517 # DEPENDENCYPART_ARC
(10,15),-0.815508 # DEPENDENCYPART_ARC
(10,16),0.386879 # DEPENDENCYPART_ARC
(10,17),-0.388848 # DEPENDENCYPART_ARC
(10,18),-0.772959 # DEPENDENCYPART_ARC
(10,19),-0.477928 # DEPENDENCYPART_ARC
(10,20),1.87473 # DEPENDENCYPART_ARC
(12,1),0.531763 # DEPENDENCYPART_ARC
(12,2),-0.431505 # DEPENDENCYPART_ARC
(12,3),-0.401685 # DEPENDENCYPART_ARC
(12,4),-0.521278 # DEPENDENCYPART_ARC
(12,5),-0.603908 # DEPENDENCYPART_ARC
(12,6),-1.14319 # DEPENDENCYPART_ARC
(12,7),-0.924572 # DEPENDENCYPART_ARC
(12,8),-0.582308 # DEPENDENCYPART_ARC
(12,9),0.178604 # DEPENDENCYPART_ARC
(12,10),0.265643 # DEPENDENCYPART_ARC
(12,11),1.04145 # DEPENDENCYPART_ARC
(12,13),-0.684136 # DEPENDENCYPART_ARC
(12,14),-0.498283 # DEPENDENCYPART_ARC
(12,15),-1.59297 # DEPENDENCYPART_ARC
(12,16),-0.431267 # DEPENDENCYPART_ARC
(12,17),-0.481636 # DEPENDENCYPART_ARC
(12,18),-1.39559 # DEPENDENCYPART_ARC
(12,19),-2.10595 # DEPENDENCYPART_ARC
(12,20),1.05954 # DEPENDENCYPART_ARC
(13,1),-2.26828 # DEPENDENCYPART_ARC
(13,2),-2.02646 # DEPENDENCYPART_ARC
(13,3),-2.77545 # DEPENDENCYPART_ARC
(13,4),-2.27056 # DEPENDENCYPART_ARC
(13,5),-4.06886 # DEPENDENCYPART_ARC
(13,6),-1.54936 # DEPENDENCYPART_ARC
(13,7),-3.92569 # DEPENDENCYPART_ARC
(13,8),-1.3488 # DEPENDENCYPART_ARC
(13,9),0.0375772 # DEPENDENCYPART_ARC
(13,10),-2.32715 # DEPENDENCYPART_ARC
(13,11),-0.598348 # DEPENDENCYPART_ARC
(13,12),-0.776527 # DEPENDENCYPART_ARC
(13,14),-0.170061 # DEPENDENCYPART_ARC
(13,15),-0.947048 # DEPENDENCYPART_ARC
(13,16),-0.420609 # DEPENDENCYPART_ARC
(13,17),-0.692547 # DEPENDENCYPART_ARC
(13,18),-1.00043 # DEPENDENCYPART_ARC
(13,19),-1.61592 # DEPENDENCYPART_ARC
(13,20),0.162554 # DEPENDENCYPART_ARC
(14,1),-1.38299 # DEPENDENCYPART_ARC
(14,2),-1.79424 # DEPENDENCYPART_ARC
(14,3),-2.53702 # DEPENDENCYPART_ARC
(14,4),-2.44011 # DEPENDENCYPART_ARC
(14,5),-2.89294 # DEPENDENCYPART_ARC
(14,6),-1.47804 # DEPENDENCYPART_ARC
(14,7),-2.5635 # DEPENDENCYPART_ARC
(14,8),-1.70777 # DEPENDENCYPART_ARC
(14,9),-1.9447 # DEPENDENCYPART_ARC
(14,10),-1.62792 # DEPENDENCYPART_ARC
(14,11),-1.09846 # DEPENDENCYPART_ARC
(14,12),-0.619307 # DEPENDENCYPART_ARC
(14,13),-0.814212 # DEPENDENCYPART_ARC
(14,15),-0.43237 # DEPENDENCYPART_ARC
(14,16),-0.94963 # DEPENDENCYPART_ARC
(14,17),-1.06173 # DEPENDENCYPART_ARC
(14,18),-1.35118 # DEPENDENCYPART_ARC
(14,19),-2.11215 # DEPENDENCYPART_ARC
(14,20),-0.762598 # DEPENDENCYPART_ARC
(15,1),-1.95988 # DEPENDENCYPART_ARC
(15,2),-1.85241 # DEPENDENCYPART_ARC
(15,3),-2.72032 # DEPENDENCYPART_ARC
(15,4),-1.43754 # DEPENDENCYPART_ARC
(15,5),-4.82154 # DEPENDENCYPART_ARC
(15,6),-0.819131 # DEPENDENCYPART_ARC
(15,7),-3.65988 # DEPENDENCYPART_ARC
(15,8),-1.74854 # DEPENDENCYPART_ARC
(15,9),-3.35136 # DEPENDENCYPART_ARC
(15,10),-2.31637 # DEPENDENCYPART_ARC
(15,11),-0.99325 # DEPENDENCYPART_ARC
(15,12),-1.31809 # DEPENDENCYPART_ARC
(15,13),-0.472727 # DEPENDENCYPART_ARC
(15,14),2.20381 # DEPENDENCYPART_ARC
(15,16),-0.887606 # DEPENDENCYPART_ARC
(15,17),-0.896884 # DEPENDENCYPART_ARC
(15,18),-1.14436 # DEPENDENCYPART_ARC
(15,19),-1.80044 # DEPENDENCYPART_ARC
(15,20),-0.677516 # DEPENDENCYPART_ARC
(16,1),-1.44415 # DEPENDENCYPART_ARC
(16,2),-1.43045 # DEPENDENCYPART_ARC
(16,3),-1.80611 # DEPENDENCYPART_ARC
(16,4),-1.34318 # DEPENDENCYPART_ARC
(16,5),-1.46572 # DEPENDENCYPART_ARC
(16,7),-1.47195 # DEPENDENCYPART_ARC
(16,8),-1.32598 # DEPENDENCYPART_ARC
(16,9),-0.92409 # DEPENDENCYPART_ARC
(16,10),-1.14564 # DEPENDENCYPART_ARC
(16,11),-1.03888 # DEPENDENCYPART_ARC
(16,12),-0.83084 # DEPENDENCYPART_ARC
(16,13),-0.376364 # DEPENDENCYPART_ARC
(16,15),0.260596 # DEPENDENCYPART_ARC
(16,17),-0.0221456 # DEPENDENCYPART_ARC
(16,19),-0.20727 # DEPENDENCYPART_ARC
(16,20),0.110325 # DEPENDENCYPART_ARC
(17,1),0.466123 # DEPENDENCYPART_ARC
(17,2),-0.608074 # DEPENDENCYPART_ARC
(17,3),-0.394259 # DEPENDENCYPART_ARC
(17,4),-1.29757 # DEPENDENCYPART_ARC
(17,5),-0.342399 # DEPENDENCYPART_ARC
(17,6),-0.633606 # DEPENDENCYPART_ARC
(17,7),0.0528722 # DEPENDENCYPART_ARC
(17,8),0.385661 # DEPENDENCYPART_ARC
(17,9),-1.13177 # DEPENDENCYPART_ARC
(17,10),-0.152824 # DEPENDENCYPART_ARC
(17,11),0.792234 # DEPENDENCYPART_ARC
(17,12),0.461363 # DEPENDENCYPART_ARC
(17,13),-0.0130474 # DEPENDENCYPART_ARC
(17,14),0.581578 # DEPENDENCYPART_ARC
(17,15),1.88427 # DEPENDENCYPART_ARC
(17,16),1.67467 # DEPENDENCYPART_ARC
(17,18),0.131062 # DEPENDENCYPART_ARC
(17,19),0.197162 # DEPENDENCYPART_ARC
(17,20),0.972918 # DEPENDENCYPART_ARC
(18,4),-1.95783 # DEPENDENCYPART_ARC
(18,5),-3.25983 # DEPENDENCYPART_ARC
(18,7),-3.05262 # DEPENDENCYPART_ARC
(18,8),-1.32945 # DEPENDENCYPART_ARC
(18,9),-2.98641 # DEPENDENCYPART_ARC
(18,11),-0.906343 # DEPENDENCYPART_ARC
(18,13),-3.08155 # DEPENDENCYPART_ARC
(18,15),-2.12526 # DEPENDENCYPART_ARC
(18,17),-0.554894 # DEPENDENCYPART_ARC
(18,19),-0.682748 # DEPENDENCYPART_ARC
(19,1),-2.08966 # DEPENDENCYPART_ARC
(19,2),-2.18022 # DEPENDENCYPART_ARC
(19,3),-2.87914 # DEPENDENCYPART_ARC
(19,4),-3.56251 # DEPENDENCYPART_ARC
(19,5),-5.36994 # DEPENDENCYPART_ARC
(19,6),-1.6155 # DEPENDENCYPART_ARC
(19,7),-4.49175 # DEPENDENCYPART_ARC
(19,8),-1.94608 # DEPENDENCYPART_ARC
(19,9),-3.96242 # DEPENDENCYPART_ARC
(19,10),-2.77005 # DEPENDENCYPART_ARC
(19,11),-1.06657 # DEPENDENCYPART_ARC
(19,12),-1.90433 # DEPENDENCYPART_ARC
(19,13),-2.22847 # DEPENDENCYPART_ARC
(19,14),-1.53263 # DEPENDENCYPART_ARC
(19,15),-3.32015 # DEPENDENCYPART_ARC
(19,16),-0.988896 # DEPENDENCYPART_ARC
(19,17),-1.40764 # DEPENDENCYPART_ARC
(19,18),2.47602 # DEPENDENCYPART_ARC
(19,20),-0.775452 # DEPENDENCYPART_ARC
