# _root_ Amiből még olyan következtetést is le lehet vonni , hogy nem is maga a szabadság olyan fontos és nélkülözhetetlen az emberfajtának , hanem a szabadság utáni vágy : a szabadság szivárványos képe .
#goldHeads=8,8,4,8,8,7,0,7,7,7,12,3,12,15,13,17,19,19,12,21,12,3,3,25,26,27,3,27,30,32,32,27,7,
#predictedHeads=8,8,4,8,7,7,0,7,7,7,23,23,15,15,32,17,19,19,23,21,26,23,3,25,26,27,32,27,30,32,32,23,7,
(4,31),-2.72683 # DEPENDENCYPART_ARC
(4,32),-4.53372 # DEPENDENCYPART_ARC
(4,33),-0.257373 # DEPENDENCYPART_ARC
(5,1),-0.721523 # DEPENDENCYPART_ARC
(5,2),0.519391 # DEPENDENCYPART_ARC
(5,3),-0.386287 # DEPENDENCYPART_ARC
(5,4),-0.500367 # DEPENDENCYPART_ARC
(5,7),-0.0822786 # DEPENDENCYPART_ARC
(5,8),-1.08396 # DEPENDENCYPART_ARC
(5,9),-0.36991 # DEPENDENCYPART_ARC
(5,10),-0.699122 # DEPENDENCYPART_ARC
(5,11),-1.04447 # DEPENDENCYPART_ARC
(5,12),-1.05344 # DEPENDENCYPART_ARC
(5,13),-1.0366 # DEPENDENCYPART_ARC
(5,14),-1.5732 # DEPENDENCYPART_ARC
(5,15),-1.69411 # DEPENDENCYPART_ARC
(5,16),-1.10325 # DEPENDENCYPART_ARC
(5,17),-1.25202 # DEPENDENCYPART_ARC
(5,18),-0.752124 # DEPENDENCYPART_ARC
(5,19),-1.40438 # DEPENDENCYPART_ARC
(5,20),-1.56614 # DEPENDENCYPART_ARC
(5,21),-1.86117 # DEPENDENCYPART_ARC
(5,22),-1.16969 # DEPENDENCYPART_ARC
(5,23),-0.935847 # DEPENDENCYPART_ARC
(5,24),-1.93398 # DEPENDENCYPART_ARC
(5,25),-2.432 # DEPENDENCYPART_ARC
(5,26),-1.65507 # DEPENDENCYPART_ARC
(5,27),-2.19557 # DEPENDENCYPART_ARC
(5,28),-0.723554 # DEPENDENCYPART_ARC
(5,29),-2.08802 # DEPENDENCYPART_ARC
(5,30),-2.74423 # DEPENDENCYPART_ARC
(5,31),-1.92843 # DEPENDENCYPART_ARC
(5,32),-3.08773 # DEPENDENCYPART_ARC
(5,33),-0.039832 # DEPENDENCYPART_ARC
(6,1),-0.0526091 # DEPENDENCYPART_ARC
(6,2),0.434104 # DEPENDENCYPART_ARC
(6,4),0.38204 # DEPENDENCYPART_ARC
(6,5),0.627467 # DEPENDENCYPART_ARC
(6,7),0.231068 # DEPENDENCYPART_ARC
(6,8),-0.15003 # DEPENDENCYPART_ARC
(6,9),-0.289575 # DEPENDENCYPART_ARC
(6,10),-0.0710647 # DEPENDENCYPART_ARC
(6,11),-0.678262 # DEPENDENCYPART_ARC
(6,12),-0.829885 # DEPENDENCYPART_ARC
(6,13),-0.988728 # DEPENDENCYPART_ARC
(6,15),-1.576 # DEPENDENCYPART_ARC
(6,16),-0.649975 # DEPENDENCYPART_ARC
(6,17),-1.1864 # DEPENDENCYPART_ARC
(6,18),-0.663291 # DEPENDENCYPART_ARC
(6,19),-1.26215 # DEPENDENCYPART_ARC
(6,21),-1.89822 # DEPENDENCYPART_ARC
(6,22),-1.20023 # DEPENDENCYPART_ARC
(6,23),-0.835381 # DEPENDENCYPART_ARC
(6,25),-2.36136 # DEPENDENCYPART_ARC
(6,26),-1.63956 # DEPENDENCYPART_ARC
(6,27),-2.2141 # DEPENDENCYPART_ARC
(6,28),-0.402498 # DEPENDENCYPART_ARC
(6,30),-2.57635 # DEPENDENCYPART_ARC
(6,31),-1.94964 # DEPENDENCYPART_ARC
(6,32),-2.69191 # DEPENDENCYPART_ARC
(6,33),0.137071 # DEPENDENCYPART_ARC
(7,1),-0.00941313 # DEPENDENCYPART_ARC
(7,2),0.700706 # DEPENDENCYPART_ARC
(7,3),-0.408801 # DEPENDENCYPART_ARC
(7,4),-0.154862 # DEPENDENCYPART_ARC
(7,5),2.34641 # DEPENDENCYPART_ARC
(7,6),2.48431 # DEPENDENCYPART_ARC
(7,8),4.058 # DEPENDENCYPART_ARC
(7,9),2.1756 # DEPENDENCYPART_ARC
(7,10),2.66985 # DEPENDENCYPART_ARC
(7,11),-0.0850146 # DEPENDENCYPART_ARC
(7,12),-0.0187985 # DEPENDENCYPART_ARC
(7,13),-1.16742 # DEPENDENCYPART_ARC
(7,14),-1.14909 # DEPENDENCYPART_ARC
(7,15),-2.00054 # DEPENDENCYPART_ARC
(7,16),-0.481633 # DEPENDENCYPART_ARC
(7,17),-1.06507 # DEPENDENCYPART_ARC
(7,18),0.248362 # DEPENDENCYPART_ARC
(7,19),-1.02449 # DEPENDENCYPART_ARC
(7,20),-1.2947 # DEPENDENCYPART_ARC
(7,21),-1.45319 # DEPENDENCYPART_ARC
(7,22),0.131012 # DEPENDENCYPART_ARC
(7,23),0.54182 # DEPENDENCYPART_ARC
(7,24),-1.25783 # DEPENDENCYPART_ARC
(7,25),-3.72917 # DEPENDENCYPART_ARC
(7,26),-1.84566 # DEPENDENCYPART_ARC
(7,27),-2.22594 # DEPENDENCYPART_ARC
(7,28),-0.0773157 # DEPENDENCYPART_ARC
(7,29),-1.14915 # DEPENDENCYPART_ARC
(7,30),-4.19451 # DEPENDENCYPART_ARC
(7,31),-2.09454 # DEPENDENCYPART_ARC
(7,32),-2.50009 # DEPENDENCYPART_ARC
(7,33),2.178 # DEPENDENCYPART_ARC
(8,1),1.07063 # DEPENDENCYPART_ARC
(8,2),0.934734 # DEPENDENCYPART_ARC
(8,3),-0.467327 # DEPENDENCYPART_ARC
(8,4),2.87992 # DEPENDENCYPART_ARC
(8,5),1.40552 # DEPENDENCYPART_ARC
(8,6),1.71987 # DEPENDENCYPART_ARC
(8,7),1.70354 # DEPENDENCYPART_ARC
(8,9),1.05647 # DEPENDENCYPART_ARC
(8,10),1.33257 # DEPENDENCYPART_ARC
(8,11),-0.234449 # DEPENDENCYPART_ARC
(8,12),-0.33946 # DEPENDENCYPART_ARC
(8,13),-0.808809 # DEPENDENCYPART_ARC
(8,14),-0.763128 # DEPENDENCYPART_ARC
(8,15),-2.49603 # DEPENDENCYPART_ARC
(8,16),-0.800995 # DEPENDENCYPART_ARC
(8,17),-0.0889357 # DEPENDENCYPART_ARC
(8,18),-0.701542 # DEPENDENCYPART_ARC
(8,19),0.151434 # DEPENDENCYPART_ARC
(8,20),-0.918557 # DEPENDENCYPART_ARC
(8,21),-0.990453 # DEPENDENCYPART_ARC
(8,22),-0.306653 # DEPENDENCYPART_ARC
(8,23),-0.484185 # DEPENDENCYPART_ARC
(8,24),-0.933662 # DEPENDENCYPART_ARC
(8,25),-3.95515 # DEPENDENCYPART_ARC
(8,26),-0.833854 # DEPENDENCYPART_ARC
(8,27),-2.72663 # DEPENDENCYPART_ARC
(8,28),0.0923046 # DEPENDENCYPART_ARC
(8,29),-0.840179 # DEPENDENCYPART_ARC
(8,30),-4.17273 # DEPENDENCYPART_ARC
(8,31),-1.08195 # DEPENDENCYPART_ARC
(8,32),-2.36379 # DEPENDENCYPART_ARC
(8,33),1.71351 # DEPENDENCYPART_ARC
(10,1),-1.03239 # DEPENDENCYPART_ARC
(10,2),0.130716 # DEPENDENCYPART_ARC
(10,3),-0.364361 # DEPENDENCYPART_ARC
(10,4),-0.9675 # DEPENDENCYPART_ARC
(10,5),-0.109575 # DEPENDENCYPART_ARC
(10,6),0.447251 # DEPENDENCYPART_ARC
(10,7),-0.0898833 # DEPENDENCYPART_ARC
(10,8),0.333488 # DEPENDENCYPART_ARC
(10,9),1.38334 # DEPENDENCYPART_ARC
(10,11),-0.250491 # DEPENDENCYPART_ARC
(10,12),-0.244389 # DEPENDENCYPART_ARC
(10,13),-0.89085 # DEPENDENCYPART_ARC
(10,14),-1.02178 # DEPENDENCYPART_ARC
(10,15),-1.94103 # DEPENDENCYPART_ARC
(10,16),-0.33307 # DEPENDENCYPART_ARC
(10,17),-0.541419 # DEPENDENCYPART_ARC
(10,18),0.0498712 # DEPENDENCYPART_ARC
(10,19),-0.725272 # DEPENDENCYPART_ARC
(10,20),-1.17442 # DEPENDENCYPART_ARC
(10,21),-2.64733 # DEPENDENCYPART_ARC
(10,22),-0.661627 # DEPENDENCYPART_ARC
(10,23),-0.0458733 # DEPENDENCYPART_ARC
(10,24),-1.58203 # DEPENDENCYPART_ARC
(10,25),-3.01655 # DEPENDENCYPART_ARC
(10,26),-0.952776 # DEPENDENCYPART_ARC
(10,27),-2.78519 # DEPENDENCYPART_ARC
(10,28),0.212845 # DEPENDENCYPART_ARC
(10,29),-1.68825 # DEPENDENCYPART_ARC
(10,30),-3.45775 # DEPENDENCYPART_ARC
(10,31),-1.11253 # DEPENDENCYPART_ARC
(10,32),-3.43896 # DEPENDENCYPART_ARC
(10,33),1.83708 # DEPENDENCYPART_ARC
(11,2),-1.93233 # DEPENDENCYPART_ARC
(11,3),-2.21455 # DEPENDENCYPART_ARC
(11,4),-1.87767 # DEPENDENCYPART_ARC
(11,5),-1.64989 # DEPENDENCYPART_ARC
(11,7),-1.24058 # DEPENDENCYPART_ARC
(11,8),-0.999203 # DEPENDENCYPART_ARC
(11,9),-0.864502 # DEPENDENCYPART_ARC
(11,10),-0.790411 # DEPENDENCYPART_ARC
(11,12),-0.608083 # DEPENDENCYPART_ARC
(11,15),-0.935742 # DEPENDENCYPART_ARC
(11,16),-0.801186 # DEPENDENCYPART_ARC
(11,17),-0.811274 # DEPENDENCYPART_ARC
(11,18),-0.265016 # DEPENDENCYPART_ARC
(11,19),-0.863349 # DEPENDENCYPART_ARC
(11,21),-1.3742 # DEPENDENCYPART_ARC
(11,22),-0.927704 # DEPENDENCYPART_ARC
(11,23),-0.984632 # DEPENDENCYPART_ARC
(11,25),-2.23757 # DEPENDENCYPART_ARC
(11,26),-1.40033 # DEPENDENCYPART_ARC
(11,27),-1.9519 # DEPENDENCYPART_ARC
(11,28),0.0857652 # DEPENDENCYPART_ARC
(11,30),-2.41653 # DEPENDENCYPART_ARC
(11,31),-1.77726 # DEPENDENCYPART_ARC
(11,32),-2.46977 # DEPENDENCYPART_ARC
(11,33),0.827598 # DEPENDENCYPART_ARC
(12,1),-1.45464 # DEPENDENCYPART_ARC
(12,2),-1.69437 # DEPENDENCYPART_ARC
(12,3),-1.43309 # DEPENDENCYPART_ARC
(12,4),-1.73059 # DEPENDENCYPART_ARC
(12,5),-0.962565 # DEPENDENCYPART_ARC
(12,6),-1.29587 # DEPENDENCYPART_ARC
(12,7),-0.961833 # DEPENDENCYPART_ARC
(12,8),-0.802531 # DEPENDENCYPART_ARC
(12,9),-0.348872 # DEPENDENCYPART_ARC
(12,10),-0.478871 # DEPENDENCYPART_ARC
(12,11),0.0887486 # DEPENDENCYPART_ARC
(12,13),-0.611461 # DEPENDENCYPART_ARC
(12,14),-0.738752 # DEPENDENCYPART_ARC
(12,15),-0.562796 # DEPENDENCYPART_ARC
(12,16),-0.615517 # DEPENDENCYPART_ARC
(12,17),-0.621657 # DEPENDENCYPART_ARC
(12,18),-0.200271 # DEPENDENCYPART_ARC
(12,19),-0.802927 # DEPENDENCYPART_ARC
(12,20),-0.983104 # DEPENDENCYPART_ARC
(12,21),-1.1171 # DEPENDENCYPART_ARC
(12,22),-0.625345 # DEPENDENCYPART_ARC
(12,23),-0.712404 # DEPENDENCYPART_ARC
(12,24),-1.25594 # DEPENDENCYPART_ARC
(12,25),-1.9802 # DEPENDENCYPART_ARC
(12,26),-1.5079 # DEPENDENCYPART_ARC
(12,27),-1.72366 # DEPENDENCYPART_ARC
(12,28),-0.238327 # DEPENDENCYPART_ARC
(12,29),-1.31245 # DEPENDENCYPART_ARC
(12,30),-2.33017 # DEPENDENCYPART_ARC
(12,31),-1.84482 # DEPENDENCYPART_ARC
(12,32),-2.22685 # DEPENDENCYPART_ARC
(12,33),-0.0224301 # DEPENDENCYPART_ARC
(13,3),-0.715326 # DEPENDENCYPART_ARC
(13,4),-0.951469 # DEPENDENCYPART_ARC
(13,5),0.612219 # DEPENDENCYPART_ARC
(13,7),0.204815 # DEPENDENCYPART_ARC
(13,8),-0.152494 # DEPENDENCYPART_ARC
(13,9),0.713548 # DEPENDENCYPART_ARC
(13,10),0.602665 # DEPENDENCYPART_ARC
(13,15),0.281434 # DEPENDENCYPART_ARC
(13,17),-0.570781 # DEPENDENCYPART_ARC
(13,18),-0.474298 # DEPENDENCYPART_ARC
(13,19),-0.391561 # DEPENDENCYPART_ARC
(13,21),-0.23746 # DEPENDENCYPART_ARC
(13,22),0.169805 # DEPENDENCYPART_ARC
(13,23),-0.0698878 # DEPENDENCYPART_ARC
(13,25),-0.246692 # DEPENDENCYPART_ARC
(13,26),-0.674344 # DEPENDENCYPART_ARC
(13,27),-0.581083 # DEPENDENCYPART_ARC
(13,28),0.296647 # DEPENDENCYPART_ARC
(13,30),-0.481325 # DEPENDENCYPART_ARC
(13,31),-0.736604 # DEPENDENCYPART_ARC
(13,32),-0.554596 # DEPENDENCYPART_ARC
(13,33),1.15491 # DEPENDENCYPART_ARC
(14,4),-3.35168 # DEPENDENCYPART_ARC
(14,5),-1.86006 # DEPENDENCYPART_ARC
(14,9),-1.20988 # DEPENDENCYPART_ARC
(14,13),-0.318016 # DEPENDENCYPART_ARC
(14,15),-0.780808 # DEPENDENCYPART_ARC
(14,17),-0.857184 # DEPENDENCYPART_ARC
(14,18),-1.15637 # DEPENDENCYPART_ARC
(14,19),-1.22664 # DEPENDENCYPART_ARC
(14,21),-2.05474 # DEPENDENCYPART_ARC
(14,22),-1.00342 # DEPENDENCYPART_ARC
(14,23),-1.42298 # DEPENDENCYPART_ARC
(14,25),-2.25117 # DEPENDENCYPART_ARC
(14,26),-2.03424 # DEPENDENCYPART_ARC
(14,27),-2.45952 # DEPENDENCYPART_ARC
(14,28),-1.24009 # DEPENDENCYPART_ARC
(14,30),-2.52488 # DEPENDENCYPART_ARC
(14,31),-2.42563 # DEPENDENCYPART_ARC
(14,32),-3.0382 # DEPENDENCYPART_ARC
(15,1),-4.25832 # DEPENDENCYPART_ARC
(15,2),-1.7452 # DEPENDENCYPART_ARC
(15,3),-1.63076 # DEPENDENCYPART_ARC
(15,4),-5.89048 # DEPENDENCYPART_ARC
(15,5),-2.05975 # DEPENDENCYPART_ARC
(15,6),-1.70693 # DEPENDENCYPART_ARC
(15,7),-2.54613 # DEPENDENCYPART_ARC
(15,8),-0.565601 # DEPENDENCYPART_ARC
(15,9),-1.19912 # DEPENDENCYPART_ARC
(15,10),-1.39874 # DEPENDENCYPART_ARC
(15,11),-0.652964 # DEPENDENCYPART_ARC
(15,12),-0.723451 # DEPENDENCYPART_ARC
(15,13),1.9284 # DEPENDENCYPART_ARC
(15,14),3.21163 # DEPENDENCYPART_ARC
(15,16),-0.460878 # DEPENDENCYPART_ARC
(15,17),-0.581218 # DEPENDENCYPART_ARC
(15,18),-0.241506 # DEPENDENCYPART_ARC
(15,19),-0.74884 # DEPENDENCYPART_ARC
(15,20),-0.937443 # DEPENDENCYPART_ARC
(15,21),-1.58366 # DEPENDENCYPART_ARC
(15,22),-0.0906647 # DEPENDENCYPART_ARC
(15,23),-0.560842 # DEPENDENCYPART_ARC
(15,24),-1.13928 # DEPENDENCYPART_ARC
(15,25),-1.30887 # DEPENDENCYPART_ARC
(15,26),-1.39292 # DEPENDENCYPART_ARC
(15,27),-1.15838 # DEPENDENCYPART_ARC
(15,28),0.031243 # DEPENDENCYPART_ARC
(15,29),-1.36325 # DEPENDENCYPART_ARC
(15,30),-1.58166 # DEPENDENCYPART_ARC
(15,31),-1.48713 # DEPENDENCYPART_ARC
(15,32),-1.69499 # DEPENDENCYPART_ARC
(15,33),-0.250798 # DEPENDENCYPART_ARC
(16,1),-2.03338 # DEPENDENCYPART_ARC
(16,2),-1.48465 # DEPENDENCYPART_ARC
(16,3),-1.94622 # DEPENDENCYPART_ARC
(16,4),-1.86733 # DEPENDENCYPART_ARC
(16,5),-1.03043 # DEPENDENCYPART_ARC
(16,6),-1.25086 # DEPENDENCYPART_ARC
(16,7),-0.908717 # DEPENDENCYPART_ARC
(16,8),-0.816805 # DEPENDENCYPART_ARC
(16,9),-0.737091 # DEPENDENCYPART_ARC
(16,10),-0.738338 # DEPENDENCYPART_ARC
(16,11),-0.504369 # DEPENDENCYPART_ARC
(16,12),-0.407845 # DEPENDENCYPART_ARC
(16,13),-0.68972 # DEPENDENCYPART_ARC
(16,14),-0.578565 # DEPENDENCYPART_ARC
(16,15),-0.0667652 # DEPENDENCYPART_ARC
(16,17),-0.135118 # DEPENDENCYPART_ARC
(16,18),-0.239139 # DEPENDENCYPART_ARC
(16,19),-0.381141 # DEPENDENCYPART_ARC
(16,20),-0.822377 # DEPENDENCYPART_ARC
(16,21),-0.675045 # DEPENDENCYPART_ARC
(16,22),-0.591259 # DEPENDENCYPART_ARC
(16,23),-0.430796 # DEPENDENCYPART_ARC
(16,24),-1.07487 # DEPENDENCYPART_ARC
(16,25),-1.44815 # DEPENDENCYPART_ARC
(16,26),-0.863818 # DEPENDENCYPART_ARC
(16,27),-1.36507 # DEPENDENCYPART_ARC
(16,28),-0.14545 # DEPENDENCYPART_ARC
(16,29),-1.31829 # DEPENDENCYPART_ARC
(16,30),-1.77812 # DEPENDENCYPART_ARC
(16,31),-1.12914 # DEPENDENCYPART_ARC
(16,32),-1.51253 # DEPENDENCYPART_ARC
(16,33),-0.664893 # DEPENDENCYPART_ARC
(17,1),-1.45563 # DEPENDENCYPART_ARC
(17,2),-1.03439 # DEPENDENCYPART_ARC
(17,3),-1.60523 # DEPENDENCYPART_ARC
(17,4),-2.01675 # DEPENDENCYPART_ARC
(17,5),-1.19913 # DEPENDENCYPART_ARC
(17,6),-0.924328 # DEPENDENCYPART_ARC
(17,7),-1.33799 # DEPENDENCYPART_ARC
(17,8),-0.601631 # DEPENDENCYPART_ARC
(17,9),-0.412732 # DEPENDENCYPART_ARC
(17,10),-0.502635 # DEPENDENCYPART_ARC
(17,11),-0.387539 # DEPENDENCYPART_ARC
(17,12),-0.179917 # DEPENDENCYPART_ARC
(17,13),-0.566578 # DEPENDENCYPART_ARC
(17,14),0.0851337 # DEPENDENCYPART_ARC
(17,15),0.10603 # DEPENDENCYPART_ARC
(17,16),1.88514 # DEPENDENCYPART_ARC
(17,18),-1.08414 # DEPENDENCYPART_ARC
(17,19),-1.23118 # DEPENDENCYPART_ARC
(17,20),-1.60136 # DEPENDENCYPART_ARC
(17,21),-1.5394 # DEPENDENCYPART_ARC
(17,22),-0.951811 # DEPENDENCYPART_ARC
(17,23),-1.28504 # DEPENDENCYPART_ARC
(17,24),-1.81454 # DEPENDENCYPART_ARC
(17,25),-2.04848 # DEPENDENCYPART_ARC
(17,26),-1.96423 # DEPENDENCYPART_ARC
(17,27),-1.83996 # DEPENDENCYPART_ARC
(17,28),-1.01774 # DEPENDENCYPART_ARC
(17,29),-2.00141 # DEPENDENCYPART_ARC
(17,30),-2.48456 # DEPENDENCYPART_ARC
(17,31),-2.20307 # DEPENDENCYPART_ARC
(17,32),-2.69594 # DEPENDENCYPART_ARC
(17,33),-0.461715 # DEPENDENCYPART_ARC
(18,1),-1.95961 # DEPENDENCYPART_ARC
(18,2),-1.07122 # DEPENDENCYPART_ARC
(18,3),-1.84686 # DEPENDENCYPART_ARC
(18,4),-1.8895 # DEPENDENCYPART_ARC
(18,5),-0.236973 # DEPENDENCYPART_ARC
(18,7),-0.636911 # DEPENDENCYPART_ARC
(18,8),-1.21052 # DEPENDENCYPART_ARC
(18,9),0.141608 # DEPENDENCYPART_ARC
(18,10),-0.347509 # DEPENDENCYPART_ARC
(18,11),-0.429992 # DEPENDENCYPART_ARC
(18,12),-0.629299 # DEPENDENCYPART_ARC
(18,13),-0.879443 # DEPENDENCYPART_ARC
(18,14),-0.762941 # DEPENDENCYPART_ARC
(18,15),-0.160731 # DEPENDENCYPART_ARC
(18,16),-0.0871206 # DEPENDENCYPART_ARC
(18,17),0.179104 # DEPENDENCYPART_ARC
(18,19),0.00853214 # DEPENDENCYPART_ARC
(18,20),-0.43949 # DEPENDENCYPART_ARC
(18,21),-0.013691 # DEPENDENCYPART_ARC
(18,22),-0.176372 # DEPENDENCYPART_ARC
(18,23),-0.0464697 # DEPENDENCYPART_ARC
