# _root_ Valószínű , hogy a többség továbbra is a legális , illetve illegális lerakókba kerül .
#goldHeads=3,3,0,5,14,14,14,13,13,13,13,13,14,3,3,
#predictedHeads=3,3,0,5,14,14,14,13,13,13,13,13,14,3,3,
(9,14),-0.655757 # DEPENDENCYPART_ARC
(9,15),-0.306509 # DEPENDENCYPART_ARC
(11,1),-0.398132 # DEPENDENCYPART_ARC
(11,2),-0.297154 # DEPENDENCYPART_ARC
(11,3),-0.356191 # DEPENDENCYPART_ARC
(11,4),-1.17869 # DEPENDENCYPART_ARC
(11,5),-0.264271 # DEPENDENCYPART_ARC
(11,6),0.169766 # DEPENDENCYPART_ARC
(11,7),0.229055 # DEPENDENCYPART_ARC
(11,8),-0.604739 # DEPENDENCYPART_ARC
(11,9),-0.337722 # DEPENDENCYPART_ARC
(11,10),0.55633 # DEPENDENCYPART_ARC
(11,12),-0.310927 # DEPENDENCYPART_ARC
(11,13),-0.388374 # DEPENDENCYPART_ARC
(11,14),1.0747 # DEPENDENCYPART_ARC
(11,15),1.28035 # DEPENDENCYPART_ARC
(12,1),-1.93162 # DEPENDENCYPART_ARC
(12,2),-0.555072 # DEPENDENCYPART_ARC
(12,3),-1.06035 # DEPENDENCYPART_ARC
(12,4),-1.27144 # DEPENDENCYPART_ARC
(12,5),-1.7097 # DEPENDENCYPART_ARC
(12,6),-0.729904 # DEPENDENCYPART_ARC
(12,7),-0.531563 # DEPENDENCYPART_ARC
(12,8),-0.622465 # DEPENDENCYPART_ARC
(12,9),-0.533565 # DEPENDENCYPART_ARC
(12,10),0.108342 # DEPENDENCYPART_ARC
(12,11),0.173094 # DEPENDENCYPART_ARC
(12,13),-1.18095 # DEPENDENCYPART_ARC
(12,14),-0.603426 # DEPENDENCYPART_ARC
(12,15),-0.607057 # DEPENDENCYPART_ARC
(13,1),-0.518885 # DEPENDENCYPART_ARC
(13,2),0.832225 # DEPENDENCYPART_ARC
(13,3),-0.817056 # DEPENDENCYPART_ARC
(13,4),0.295037 # DEPENDENCYPART_ARC
(13,5),-0.802703 # DEPENDENCYPART_ARC
(13,6),-0.0673007 # DEPENDENCYPART_ARC
(13,7),-0.0855179 # DEPENDENCYPART_ARC
(13,8),1.84495 # DEPENDENCYPART_ARC
(13,9),1.75206 # DEPENDENCYPART_ARC
(13,10),1.95 # DEPENDENCYPART_ARC
(13,11),1.57508 # DEPENDENCYPART_ARC
(13,12),3.40698 # DEPENDENCYPART_ARC
(13,14),-0.751319 # DEPENDENCYPART_ARC
(13,15),-0.953157 # DEPENDENCYPART_ARC
(14,1),-0.998375 # DEPENDENCYPART_ARC
(14,2),-0.187107 # DEPENDENCYPART_ARC
(14,3),-0.427051 # DEPENDENCYPART_ARC
(14,4),-0.695633 # DEPENDENCYPART_ARC
(14,5),1.22761 # DEPENDENCYPART_ARC
(14,6),1.15304 # DEPENDENCYPART_ARC
(14,7),1.06671 # DEPENDENCYPART_ARC
(14,8),-0.388369 # DEPENDENCYPART_ARC
(14,9),-0.391153 # DEPENDENCYPART_ARC
(14,10),0.429698 # DEPENDENCYPART_ARC
(14,11),1.10524 # DEPENDENCYPART_ARC
(14,12),0.601005 # DEPENDENCYPART_ARC
(14,13),2.88643 # DEPENDENCYPART_ARC
(14,15),1.06565 # DEPENDENCYPART_ARC
