# _root_ Akkor a két állam között automatikusan adódna katonai szövetség , a vasútvonal használatát egymástól nem lehetne megtagadni , ( ... )
#goldHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,7,7,7,7,
#predictedHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,16,16,16,7,
(5,20),-0.501911 # DEPENDENCYPART_ARC
(5,21),-0.115408 # DEPENDENCYPART_ARC
(6,1),-0.442231 # DEPENDENCYPART_ARC
(6,2),0.075149 # DEPENDENCYPART_ARC
(6,3),-0.330499 # DEPENDENCYPART_ARC
(6,4),-0.953796 # DEPENDENCYPART_ARC
(6,5),0.967245 # DEPENDENCYPART_ARC
(6,7),0.454182 # DEPENDENCYPART_ARC
(6,8),-0.0529297 # DEPENDENCYPART_ARC
(6,9),-0.128862 # DEPENDENCYPART_ARC
(6,10),0.0334719 # DEPENDENCYPART_ARC
(6,11),-0.934411 # DEPENDENCYPART_ARC
(6,12),-0.851218 # DEPENDENCYPART_ARC
(6,13),-1.55789 # DEPENDENCYPART_ARC
(6,14),-1.19109 # DEPENDENCYPART_ARC
(6,15),-0.665193 # DEPENDENCYPART_ARC
(6,16),-0.257304 # DEPENDENCYPART_ARC
(6,17),-0.711094 # DEPENDENCYPART_ARC
(6,18),-0.116578 # DEPENDENCYPART_ARC
(6,19),-0.412203 # DEPENDENCYPART_ARC
(6,20),-0.431304 # DEPENDENCYPART_ARC
(6,21),0.686169 # DEPENDENCYPART_ARC
(7,1),1.63799 # DEPENDENCYPART_ARC
(7,2),-0.224407 # DEPENDENCYPART_ARC
(7,3),0.00367334 # DEPENDENCYPART_ARC
(7,4),1.34273 # DEPENDENCYPART_ARC
(7,5),2.09052 # DEPENDENCYPART_ARC
(7,6),3.07265 # DEPENDENCYPART_ARC
(7,8),1.45178 # DEPENDENCYPART_ARC
(7,9),2.34036 # DEPENDENCYPART_ARC
(7,10),1.17944 # DEPENDENCYPART_ARC
(7,11),-0.582977 # DEPENDENCYPART_ARC
(7,12),0.0612748 # DEPENDENCYPART_ARC
(7,13),0.0560812 # DEPENDENCYPART_ARC
(7,14),-0.338476 # DEPENDENCYPART_ARC
(7,15),0.458475 # DEPENDENCYPART_ARC
(7,16),1.24779 # DEPENDENCYPART_ARC
(7,17),1.89825 # DEPENDENCYPART_ARC
(7,18),0.781681 # DEPENDENCYPART_ARC
(7,19),0.367473 # DEPENDENCYPART_ARC
(7,20),0.570386 # DEPENDENCYPART_ARC
(7,21),1.77406 # DEPENDENCYPART_ARC
(8,1),-1.59542 # DEPENDENCYPART_ARC
(8,2),-1.39443 # DEPENDENCYPART_ARC
(8,3),-1.34085 # DEPENDENCYPART_ARC
(8,4),-1.97661 # DEPENDENCYPART_ARC
(8,5),-0.179143 # DEPENDENCYPART_ARC
(8,6),-0.0232288 # DEPENDENCYPART_ARC
(8,7),0.0400933 # DEPENDENCYPART_ARC
(8,9),-0.616054 # DEPENDENCYPART_ARC
(8,10),-0.711297 # DEPENDENCYPART_ARC
(8,11),-1.63882 # DEPENDENCYPART_ARC
(8,12),-1.58896 # DEPENDENCYPART_ARC
(8,13),-2.30772 # DEPENDENCYPART_ARC
(8,14),-2.10343 # DEPENDENCYPART_ARC
(8,15),-1.40477 # DEPENDENCYPART_ARC
(8,16),-0.797516 # DEPENDENCYPART_ARC
(8,17),-1.49164 # DEPENDENCYPART_ARC
(8,18),-0.89645 # DEPENDENCYPART_ARC
(8,19),-1.14088 # DEPENDENCYPART_ARC
(8,20),-1.23316 # DEPENDENCYPART_ARC
(8,21),-0.484487 # DEPENDENCYPART_ARC
(9,1),-0.742234 # DEPENDENCYPART_ARC
(9,2),1.22383 # DEPENDENCYPART_ARC
(9,3),1.02793 # DEPENDENCYPART_ARC
(9,4),-1.41469 # DEPENDENCYPART_ARC
(9,5),0.140595 # DEPENDENCYPART_ARC
(9,6),-1.22444 # DEPENDENCYPART_ARC
(9,7),0.413606 # DEPENDENCYPART_ARC
(9,8),3.60053 # DEPENDENCYPART_ARC
(9,10),0.363251 # DEPENDENCYPART_ARC
(9,11),-0.950984 # DEPENDENCYPART_ARC
(9,12),-0.536899 # DEPENDENCYPART_ARC
(9,13),-1.03529 # DEPENDENCYPART_ARC
(9,14),-1.83212 # DEPENDENCYPART_ARC
(9,15),-0.857445 # DEPENDENCYPART_ARC
(9,16),-0.501624 # DEPENDENCYPART_ARC
(9,17),-0.276579 # DEPENDENCYPART_ARC
(9,18),-0.0875391 # DEPENDENCYPART_ARC
(9,19),-0.286442 # DEPENDENCYPART_ARC
(9,20),-0.448096 # DEPENDENCYPART_ARC
(9,21),0.625157 # DEPENDENCYPART_ARC
(11,4),-3.21286 # DEPENDENCYPART_ARC
(11,6),-1.95095 # DEPENDENCYPART_ARC
(11,8),-1.32957 # DEPENDENCYPART_ARC
(11,9),-2.27458 # DEPENDENCYPART_ARC
(11,10),-0.738274 # DEPENDENCYPART_ARC
(11,12),-0.564071 # DEPENDENCYPART_ARC
(11,13),-1.158 # DEPENDENCYPART_ARC
(11,18),-0.574034 # DEPENDENCYPART_ARC
(11,19),-0.555118 # DEPENDENCYPART_ARC
(11,20),-0.565248 # DEPENDENCYPART_ARC
(12,1),-2.06293 # DEPENDENCYPART_ARC
(12,2),-1.10494 # DEPENDENCYPART_ARC
(12,3),-1.03558 # DEPENDENCYPART_ARC
(12,4),-3.29254 # DEPENDENCYPART_ARC
(12,5),-1.54212 # DEPENDENCYPART_ARC
(12,6),-4.20031 # DEPENDENCYPART_ARC
(12,7),-2.13781 # DEPENDENCYPART_ARC
(12,8),-0.647942 # DEPENDENCYPART_ARC
(12,9),-1.57234 # DEPENDENCYPART_ARC
(12,10),-0.80401 # DEPENDENCYPART_ARC
(12,11),3.08521 # DEPENDENCYPART_ARC
(12,13),-1.46983 # DEPENDENCYPART_ARC
(12,14),-2.20077 # DEPENDENCYPART_ARC
(12,15),-1.23433 # DEPENDENCYPART_ARC
(12,16),-0.825117 # DEPENDENCYPART_ARC
(12,17),-0.70562 # DEPENDENCYPART_ARC
(12,18),-0.461109 # DEPENDENCYPART_ARC
(12,19),-0.666653 # DEPENDENCYPART_ARC
(12,20),-0.690598 # DEPENDENCYPART_ARC
(12,21),-0.22231 # DEPENDENCYPART_ARC
(13,1),-1.12421 # DEPENDENCYPART_ARC
(13,2),-1.46052 # DEPENDENCYPART_ARC
(13,3),-0.540497 # DEPENDENCYPART_ARC
(13,4),-0.946723 # DEPENDENCYPART_ARC
(13,5),-0.646944 # DEPENDENCYPART_ARC
(13,6),-4.04756 # DEPENDENCYPART_ARC
(13,7),-3.17838 # DEPENDENCYPART_ARC
(13,8),-0.298298 # DEPENDENCYPART_ARC
(13,9),0.486163 # DEPENDENCYPART_ARC
(13,10),0.323565 # DEPENDENCYPART_ARC
(13,11),1.54699 # DEPENDENCYPART_ARC
(13,12),4.02593 # DEPENDENCYPART_ARC
(13,14),-2.36191 # DEPENDENCYPART_ARC
(13,15),-0.994685 # DEPENDENCYPART_ARC
(13,16),-1.22144 # DEPENDENCYPART_ARC
(13,17),-0.391502 # DEPENDENCYPART_ARC
(13,18),-0.368023 # DEPENDENCYPART_ARC
(13,19),-0.354114 # DEPENDENCYPART_ARC
(13,20),-0.373815 # DEPENDENCYPART_ARC
(13,21),0.158837 # DEPENDENCYPART_ARC
(14,4),-1.41041 # DEPENDENCYPART_ARC
(14,6),-0.350858 # DEPENDENCYPART_ARC
(14,8),-0.238901 # DEPENDENCYPART_ARC
(14,9),-1.4217 # DEPENDENCYPART_ARC
(14,12),-0.891825 # DEPENDENCYPART_ARC
(14,13),-0.994512 # DEPENDENCYPART_ARC
(14,21),0.0945235 # DEPENDENCYPART_ARC
(15,1),-0.916877 # DEPENDENCYPART_ARC
(15,4),-1.07187 # DEPENDENCYPART_ARC
(15,5),-0.648413 # DEPENDENCYPART_ARC
(15,6),-1.20322 # DEPENDENCYPART_ARC
(15,7),-0.854877 # DEPENDENCYPART_ARC
(15,8),-0.999531 # DEPENDENCYPART_ARC
(15,9),-1.11744 # DEPENDENCYPART_ARC
(15,10),-0.722151 # DEPENDENCYPART_ARC
(15,12),-0.387196 # DEPENDENCYPART_ARC
(15,13),-0.526953 # DEPENDENCYPART_ARC
(15,16),0.123184 # DEPENDENCYPART_ARC
(15,17),-0.324586 # DEPENDENCYPART_ARC
(15,18),-0.346481 # DEPENDENCYPART_ARC
(15,19),-0.345103 # DEPENDENCYPART_ARC
(15,20),-0.369962 # DEPENDENCYPART_ARC
(15,21),-0.227065 # DEPENDENCYPART_ARC
(16,1),0.0545419 # DEPENDENCYPART_ARC
(16,2),-1.42977 # DEPENDENCYPART_ARC
(16,3),-1.74281 # DEPENDENCYPART_ARC
(16,4),-1.63961 # DEPENDENCYPART_ARC
(16,5),-0.20115 # DEPENDENCYPART_ARC
(16,6),-0.0643453 # DEPENDENCYPART_ARC
(16,7),0.542465 # DEPENDENCYPART_ARC
(16,8),-1.12769 # DEPENDENCYPART_ARC
(16,9),-0.579099 # DEPENDENCYPART_ARC
(16,10),0.706737 # DEPENDENCYPART_ARC
(16,11),-0.932093 # DEPENDENCYPART_ARC
(16,12),0.352697 # DEPENDENCYPART_ARC
(16,13),0.340164 # DEPENDENCYPART_ARC
(16,14),0.369801 # DEPENDENCYPART_ARC
(16,15),2.98041 # DEPENDENCYPART_ARC
(16,17),4.14047 # DEPENDENCYPART_ARC
(16,18),1.92707 # DEPENDENCYPART_ARC
(16,19),1.19315 # DEPENDENCYPART_ARC
(16,20),1.36392 # DEPENDENCYPART_ARC
(16,21),1.43775 # DEPENDENCYPART_ARC
(17,1),0.662763 # DEPENDENCYPART_ARC
(17,2),-1.09678 # DEPENDENCYPART_ARC
(17,3),-0.717886 # DEPENDENCYPART_ARC
(17,4),-1.83719 # DEPENDENCYPART_ARC
(17,5),0.723523 # DEPENDENCYPART_ARC
(17,6),1.35657 # DEPENDENCYPART_ARC
(17,7),-0.720261 # DEPENDENCYPART_ARC
(17,8),-0.266119 # DEPENDENCYPART_ARC
(17,9),-1.05907 # DEPENDENCYPART_ARC
(17,10),0.515908 # DEPENDENCYPART_ARC
(17,11),-0.812946 # DEPENDENCYPART_ARC
(17,12),-0.379267 # DEPENDENCYPART_ARC
(17,13),2.46343 # DEPENDENCYPART_ARC
(17,14),1.56326 # DEPENDENCYPART_ARC
(17,15),1.5678 # DEPENDENCYPART_ARC
(17,16),1.3632 # DEPENDENCYPART_ARC
(17,18),0.783784 # DEPENDENCYPART_ARC
(17,19),0.156984 # DEPENDENCYPART_ARC
(17,20),0.188435 # DEPENDENCYPART_ARC
(17,21),0.514303 # DEPENDENCYPART_ARC
