# _root_ — Mivel a legnagyobb vetélytársunk , Turi_Tamás anyagiak hiánya miatt nem indult , elég volt biztonsági autózással teljesíteni a távot .
#goldHeads=15,15,5,5,12,12,12,9,10,12,12,15,15,15,0,17,18,15,20,18,15,
#predictedHeads=2,15,5,5,9,15,8,9,10,12,12,0,15,15,12,17,18,15,20,18,2,
(3,7),-1.01907 # DEPENDENCYPART_ARC
(3,8),-1.19086 # DEPENDENCYPART_ARC
(3,9),-1.74929 # DEPENDENCYPART_ARC
(3,13),-0.637409 # DEPENDENCYPART_ARC
(3,14),-1.35958 # DEPENDENCYPART_ARC
(3,16),-1.41336 # DEPENDENCYPART_ARC
(3,17),-2.09448 # DEPENDENCYPART_ARC
(3,20),-2.18395 # DEPENDENCYPART_ARC
(4,1),-0.892102 # DEPENDENCYPART_ARC
(4,2),-1.07851 # DEPENDENCYPART_ARC
(4,3),1.20278 # DEPENDENCYPART_ARC
(4,5),-1.69747 # DEPENDENCYPART_ARC
(4,6),-0.856583 # DEPENDENCYPART_ARC
(4,7),-2.24277 # DEPENDENCYPART_ARC
(4,8),-2.83278 # DEPENDENCYPART_ARC
(4,9),-3.04052 # DEPENDENCYPART_ARC
(4,10),-1.48717 # DEPENDENCYPART_ARC
(4,11),-1.62635 # DEPENDENCYPART_ARC
(4,12),-2.07211 # DEPENDENCYPART_ARC
(4,13),-1.37893 # DEPENDENCYPART_ARC
(4,14),-1.71673 # DEPENDENCYPART_ARC
(4,15),-2.3083 # DEPENDENCYPART_ARC
(4,16),-1.77495 # DEPENDENCYPART_ARC
(4,17),-3.58965 # DEPENDENCYPART_ARC
(4,18),-2.12378 # DEPENDENCYPART_ARC
(4,19),-2.34372 # DEPENDENCYPART_ARC
(4,20),-4.02973 # DEPENDENCYPART_ARC
(4,21),-1.31574 # DEPENDENCYPART_ARC
(5,1),-0.70823 # DEPENDENCYPART_ARC
(5,2),-1.22229 # DEPENDENCYPART_ARC
(5,3),2.50817 # DEPENDENCYPART_ARC
(5,4),3.91425 # DEPENDENCYPART_ARC
(5,6),-0.0124779 # DEPENDENCYPART_ARC
(5,7),-0.995683 # DEPENDENCYPART_ARC
(5,8),-0.8819 # DEPENDENCYPART_ARC
(5,9),-1.02337 # DEPENDENCYPART_ARC
(5,10),-0.411434 # DEPENDENCYPART_ARC
(5,11),-1.25447 # DEPENDENCYPART_ARC
(5,12),-1.46366 # DEPENDENCYPART_ARC
(5,13),-0.409928 # DEPENDENCYPART_ARC
(5,14),-2.14296 # DEPENDENCYPART_ARC
(5,15),-1.65978 # DEPENDENCYPART_ARC
(5,16),-2.13249 # DEPENDENCYPART_ARC
(5,17),-2.06575 # DEPENDENCYPART_ARC
(5,18),-0.98597 # DEPENDENCYPART_ARC
(5,19),-1.92223 # DEPENDENCYPART_ARC
(5,20),-2.98345 # DEPENDENCYPART_ARC
(5,21),0.0808774 # DEPENDENCYPART_ARC
(7,1),-0.170443 # DEPENDENCYPART_ARC
(7,2),-0.419522 # DEPENDENCYPART_ARC
(7,3),0.951013 # DEPENDENCYPART_ARC
(7,4),0.910761 # DEPENDENCYPART_ARC
(7,5),0.0110068 # DEPENDENCYPART_ARC
(7,6),0.394668 # DEPENDENCYPART_ARC
(7,8),-0.556375 # DEPENDENCYPART_ARC
(7,9),-0.292103 # DEPENDENCYPART_ARC
(7,10),-0.102975 # DEPENDENCYPART_ARC
(7,11),-1.09195 # DEPENDENCYPART_ARC
(7,12),-0.900794 # DEPENDENCYPART_ARC
(7,13),-0.336286 # DEPENDENCYPART_ARC
(7,14),-1.36613 # DEPENDENCYPART_ARC
(7,15),-1.14049 # DEPENDENCYPART_ARC
(7,16),-1.34708 # DEPENDENCYPART_ARC
(7,17),-1.52086 # DEPENDENCYPART_ARC
(7,18),-0.796437 # DEPENDENCYPART_ARC
(7,19),-1.61052 # DEPENDENCYPART_ARC
(7,20),-2.40265 # DEPENDENCYPART_ARC
(7,21),-0.0248418 # DEPENDENCYPART_ARC
(8,1),0.0108737 # DEPENDENCYPART_ARC
(8,2),-0.243327 # DEPENDENCYPART_ARC
(8,3),1.6065 # DEPENDENCYPART_ARC
(8,4),1.71005 # DEPENDENCYPART_ARC
(8,5),-0.461598 # DEPENDENCYPART_ARC
(8,6),0.66465 # DEPENDENCYPART_ARC
(8,7),3.0591 # DEPENDENCYPART_ARC
(8,9),-0.968121 # DEPENDENCYPART_ARC
(8,10),-0.301237 # DEPENDENCYPART_ARC
(8,11),-1.01615 # DEPENDENCYPART_ARC
(8,12),-0.841332 # DEPENDENCYPART_ARC
(8,13),-0.552563 # DEPENDENCYPART_ARC
(8,14),-1.4448 # DEPENDENCYPART_ARC
(8,15),-1.16831 # DEPENDENCYPART_ARC
(8,16),-1.42019 # DEPENDENCYPART_ARC
(8,17),-2.24797 # DEPENDENCYPART_ARC
(8,18),-0.94209 # DEPENDENCYPART_ARC
(8,19),-1.63536 # DEPENDENCYPART_ARC
(8,20),-3.04938 # DEPENDENCYPART_ARC
(8,21),0.0171421 # DEPENDENCYPART_ARC
(9,1),-0.321915 # DEPENDENCYPART_ARC
(9,2),-0.527937 # DEPENDENCYPART_ARC
(9,3),0.127034 # DEPENDENCYPART_ARC
(9,4),1.03666 # DEPENDENCYPART_ARC
(9,5),1.13716 # DEPENDENCYPART_ARC
(9,6),0.690331 # DEPENDENCYPART_ARC
(9,7),2.58204 # DEPENDENCYPART_ARC
(9,8),3.67254 # DEPENDENCYPART_ARC
(9,10),-0.160688 # DEPENDENCYPART_ARC
(9,11),-1.0405 # DEPENDENCYPART_ARC
(9,12),-0.85335 # DEPENDENCYPART_ARC
(9,13),-0.509236 # DEPENDENCYPART_ARC
(9,14),-1.41623 # DEPENDENCYPART_ARC
(9,15),-1.23613 # DEPENDENCYPART_ARC
(9,16),-1.52193 # DEPENDENCYPART_ARC
(9,17),-1.73392 # DEPENDENCYPART_ARC
(9,18),-0.855384 # DEPENDENCYPART_ARC
(9,19),-1.67191 # DEPENDENCYPART_ARC
(9,20),-2.91739 # DEPENDENCYPART_ARC
(9,21),0.0516803 # DEPENDENCYPART_ARC
(10,1),-0.489689 # DEPENDENCYPART_ARC
(10,3),-0.546977 # DEPENDENCYPART_ARC
(10,4),-0.552985 # DEPENDENCYPART_ARC
(10,5),0.627038 # DEPENDENCYPART_ARC
(10,6),0.551497 # DEPENDENCYPART_ARC
(10,7),0.409849 # DEPENDENCYPART_ARC
(10,8),1.32636 # DEPENDENCYPART_ARC
(10,9),4.1498 # DEPENDENCYPART_ARC
(10,11),-0.44065 # DEPENDENCYPART_ARC
(10,12),-0.225359 # DEPENDENCYPART_ARC
(10,13),-0.215855 # DEPENDENCYPART_ARC
(10,14),-0.805711 # DEPENDENCYPART_ARC
(10,15),-0.557976 # DEPENDENCYPART_ARC
(10,16),-0.84353 # DEPENDENCYPART_ARC
(10,17),-1.09806 # DEPENDENCYPART_ARC
(10,18),-0.535371 # DEPENDENCYPART_ARC
(10,19),-0.846233 # DEPENDENCYPART_ARC
(10,20),-1.39166 # DEPENDENCYPART_ARC
(10,21),-0.363923 # DEPENDENCYPART_ARC
(11,1),-0.2478 # DEPENDENCYPART_ARC
(11,2),-0.1562 # DEPENDENCYPART_ARC
(11,4),-0.815816 # DEPENDENCYPART_ARC
(11,5),-0.66903 # DEPENDENCYPART_ARC
(11,6),-0.760342 # DEPENDENCYPART_ARC
(11,7),-0.0359086 # DEPENDENCYPART_ARC
(11,8),-0.0338017 # DEPENDENCYPART_ARC
(11,9),-0.0917254 # DEPENDENCYPART_ARC
(11,10),0.568024 # DEPENDENCYPART_ARC
(11,12),-0.101752 # DEPENDENCYPART_ARC
(11,13),-0.835503 # DEPENDENCYPART_ARC
(11,14),-1.0363 # DEPENDENCYPART_ARC
(11,15),-1.00017 # DEPENDENCYPART_ARC
(11,16),-1.08943 # DEPENDENCYPART_ARC
(11,17),-1.51627 # DEPENDENCYPART_ARC
(11,18),-1.36086 # DEPENDENCYPART_ARC
(11,20),-1.75526 # DEPENDENCYPART_ARC
(11,21),-0.663829 # DEPENDENCYPART_ARC
(12,1),1.0681 # DEPENDENCYPART_ARC
(12,2),0.570521 # DEPENDENCYPART_ARC
(12,3),-0.684007 # DEPENDENCYPART_ARC
(12,4),-0.0463514 # DEPENDENCYPART_ARC
(12,5),1.06256 # DEPENDENCYPART_ARC
(12,6),1.0298 # DEPENDENCYPART_ARC
(12,7),1.8191 # DEPENDENCYPART_ARC
(12,8),1.26575 # DEPENDENCYPART_ARC
(12,9),1.78012 # DEPENDENCYPART_ARC
(12,10),2.47571 # DEPENDENCYPART_ARC
(12,11),3.23477 # DEPENDENCYPART_ARC
(12,13),1.19686 # DEPENDENCYPART_ARC
(12,14),-0.000339765 # DEPENDENCYPART_ARC
(12,15),1.13027 # DEPENDENCYPART_ARC
(12,16),-0.533019 # DEPENDENCYPART_ARC
(12,17),-1.26963 # DEPENDENCYPART_ARC
(12,18),1.90918 # DEPENDENCYPART_ARC
(12,19),-1.15324 # DEPENDENCYPART_ARC
(12,20),-0.853293 # DEPENDENCYPART_ARC
(12,21),2.04909 # DEPENDENCYPART_ARC
(14,1),-0.84066 # DEPENDENCYPART_ARC
(14,2),-0.675478 # DEPENDENCYPART_ARC
(14,3),-1.17966 # DEPENDENCYPART_ARC
(14,4),-1.16137 # DEPENDENCYPART_ARC
(14,5),-2.2581 # DEPENDENCYPART_ARC
(14,6),-0.522357 # DEPENDENCYPART_ARC
(14,7),-1.41799 # DEPENDENCYPART_ARC
(14,8),-1.99948 # DEPENDENCYPART_ARC
(14,9),-2.05252 # DEPENDENCYPART_ARC
(14,10),-0.1323 # DEPENDENCYPART_ARC
(14,11),-0.0457381 # DEPENDENCYPART_ARC
(14,12),-0.525524 # DEPENDENCYPART_ARC
(14,13),0.360098 # DEPENDENCYPART_ARC
(14,15),0.175527 # DEPENDENCYPART_ARC
(14,16),-0.677286 # DEPENDENCYPART_ARC
(14,17),-0.890063 # DEPENDENCYPART_ARC
(14,18),-0.464634 # DEPENDENCYPART_ARC
(14,19),-1.14627 # DEPENDENCYPART_ARC
(14,20),-1.48828 # DEPENDENCYPART_ARC
(14,21),0.0613826 # DEPENDENCYPART_ARC
(15,1),0.977638 # DEPENDENCYPART_ARC
(15,2),0.905465 # DEPENDENCYPART_ARC
(15,3),-1.21352 # DEPENDENCYPART_ARC
(15,4),-0.740306 # DEPENDENCYPART_ARC
(15,5),0.964057 # DEPENDENCYPART_ARC
(15,6),1.03894 # DEPENDENCYPART_ARC
(15,7),1.19739 # DEPENDENCYPART_ARC
(15,8),0.785442 # DEPENDENCYPART_ARC
(15,9),1.2029 # DEPENDENCYPART_ARC
(15,10),1.79929 # DEPENDENCYPART_ARC
(15,11),1.30652 # DEPENDENCYPART_ARC
(15,12),1.11049 # DEPENDENCYPART_ARC
(15,13),1.65636 # DEPENDENCYPART_ARC
(15,14),2.24429 # DEPENDENCYPART_ARC
(15,16),1.47949 # DEPENDENCYPART_ARC
(15,17),1.39632 # DEPENDENCYPART_ARC
(15,18),2.19596 # DEPENDENCYPART_ARC
(15,19),-0.577201 # DEPENDENCYPART_ARC
(15,20),0.982677 # DEPENDENCYPART_ARC
(15,21),1.86584 # DEPENDENCYPART_ARC
(16,1),-1.14452 # DEPENDENCYPART_ARC
(16,2),-1.22185 # DEPENDENCYPART_ARC
(16,3),-1.94613 # DEPENDENCYPART_ARC
(16,4),-1.78345 # DEPENDENCYPART_ARC
(16,5),-3.18883 # DEPENDENCYPART_ARC
(16,6),-0.935334 # DEPENDENCYPART_ARC
(16,7),-2.03596 # DEPENDENCYPART_ARC
(16,8),-2.52854 # DEPENDENCYPART_ARC
(16,9),-2.67833 # DEPENDENCYPART_ARC
(16,10),-0.663869 # DEPENDENCYPART_ARC
(16,11),-0.781368 # DEPENDENCYPART_ARC
(16,12),-1.86005 # DEPENDENCYPART_ARC
(16,13),-0.590597 # DEPENDENCYPART_ARC
(16,14),-0.462086 # DEPENDENCYPART_ARC
(16,15),-0.375895 # DEPENDENCYPART_ARC
(16,17),-1.12206 # DEPENDENCYPART_ARC
(16,18),-1.05548 # DEPENDENCYPART_ARC
(16,19),-1.75446 # DEPENDENCYPART_ARC
(16,20),-2.16259 # DEPENDENCYPART_ARC
(16,21),-1.20729 # DEPENDENCYPART_ARC
(17,1),-1.22632 # DEPENDENCYPART_ARC
(17,2),-1.08269 # DEPENDENCYPART_ARC
(17,3),0.0210402 # DEPENDENCYPART_ARC
(17,4),0.709237 # DEPENDENCYPART_ARC
(17,5),-3.03413 # DEPENDENCYPART_ARC
(17,6),-1.12139 # DEPENDENCYPART_ARC
(17,7),-1.43139 # DEPENDENCYPART_ARC
(17,8),-2.73034 # DEPENDENCYPART_ARC
(17,9),-3.1455 # DEPENDENCYPART_ARC
(17,10),-0.547312 # DEPENDENCYPART_ARC
(17,11),-0.448123 # DEPENDENCYPART_ARC
(17,12),-1.42826 # DEPENDENCYPART_ARC
(17,13),-0.413388 # DEPENDENCYPART_ARC
(17,14),0.763286 # DEPENDENCYPART_ARC
(17,15),0.0977753 # DEPENDENCYPART_ARC
(17,16),3.3783 # DEPENDENCYPART_ARC
(17,18),-0.697031 # DEPENDENCYPART_ARC
(17,19),-1.4576 # DEPENDENCYPART_ARC
(17,20),-1.98311 # DEPENDENCYPART_ARC
(17,21),-0.725107 # DEPENDENCYPART_ARC
(18,1),0.621454 # DEPENDENCYPART_ARC
(18,2),-0.371818 # DEPENDENCYPART_ARC
(18,3),-1.07408 # DEPENDENCYPART_ARC
(18,4),-1.35881 # DEPENDENCYPART_ARC
(18,5),-1.40173 # DEPENDENCYPART_ARC
(18,6),0.572013 # DEPENDENCYPART_ARC
(18,7),-0.778413 # DEPENDENCYPART_ARC
(18,8),-0.731196 # DEPENDENCYPART_ARC
(18,9),-0.881074 # DEPENDENCYPART_ARC
(18,10),1.34555 # DEPENDENCYPART_ARC
(18,11),0.109743 # DEPENDENCYPART_ARC
(18,12),-0.679107 # DEPENDENCYPART_ARC
(18,13),0.764707 # DEPENDENCYPART_ARC
(18,14),0.486158 # DEPENDENCYPART_ARC
(18,15),-0.00707618 # DEPENDENCYPART_ARC
(18,16),1.22954 # DEPENDENCYPART_ARC
(18,17),4.10738 # DEPENDENCYPART_ARC
(18,19),0.282418 # DEPENDENCYPART_ARC
(18,20),3.42763 # DEPENDENCYPART_ARC
(18,21),0.992104 # DEPENDENCYPART_ARC
(19,1),-2.1369 # DEPENDENCYPART_ARC
(19,4),-2.54765 # DEPENDENCYPART_ARC
(19,5),-4.36256 # DEPENDENCYPART_ARC
(19,6),-2.0983 # DEPENDENCYPART_ARC
(19,7),-3.67099 # DEPENDENCYPART_ARC
(19,8),-3.69703 # DEPENDENCYPART_ARC
(19,9),-4.16505 # DEPENDENCYPART_ARC
(19,13),-1.79731 # DEPENDENCYPART_ARC
(19,14),-2.33617 # DEPENDENCYPART_ARC
(19,16),-1.92603 # DEPENDENCYPART_ARC
(19,17),-2.66711 # DEPENDENCYPART_ARC
(19,20),-0.619936 # DEPENDENCYPART_ARC
(20,1),-2.38287 # DEPENDENCYPART_ARC
(20,2),-2.32765 # DEPENDENCYPART_ARC
(20,3),-2.02107 # DEPENDENCYPART_ARC
(20,4),-1.99501 # DEPENDENCYPART_ARC
(20,5),-4.20718 # DEPENDENCYPART_ARC
(20,6),-2.36802 # DEPENDENCYPART_ARC
(20,7),-3.22702 # DEPENDENCYPART_ARC
(20,8),-4.52657 # DEPENDENCYPART_ARC
(20,9),-4.9353 # DEPENDENCYPART_ARC
(20,10),-1.60229 # DEPENDENCYPART_ARC
(20,11),-1.62211 # DEPENDENCYPART_ARC
(20,12),-2.80081 # DEPENDENCYPART_ARC
(20,13),-2.00103 # DEPENDENCYPART_ARC
(20,14),-2.1833 # DEPENDENCYPART_ARC
(20,15),-2.27361 # DEPENDENCYPART_ARC
(20,16),-1.54036 # DEPENDENCYPART_ARC
(20,17),-3.3261 # DEPENDENCYPART_ARC
(20,18),0.664495 # DEPENDENCYPART_ARC
(20,19),3.03276 # DEPENDENCYPART_ARC
(20,21),-0.847229 # DEPENDENCYPART_ARC
