# _root_ Egy hétre 14 1/4 százalékon hangzottak el ajánlatok , hosszabb távra viszont drágábban , 14 1/2-3/8 százalékon lehetett pénzhez jutni .
#goldHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,18,17,17,20,6,20,18,6,
#predictedHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,17,17,17,20,6,20,18,6,
(1,18),-0.49532 # DEPENDENCYPART_ARC
(1,19),-2.15934 # DEPENDENCYPART_ARC
(1,20),-0.471576 # DEPENDENCYPART_ARC
(1,21),1.2852 # DEPENDENCYPART_ARC
(2,1),2.97631 # DEPENDENCYPART_ARC
(2,3),-0.537419 # DEPENDENCYPART_ARC
(2,4),-0.682126 # DEPENDENCYPART_ARC
(2,5),-0.660784 # DEPENDENCYPART_ARC
(2,6),-0.489968 # DEPENDENCYPART_ARC
(2,7),-0.614646 # DEPENDENCYPART_ARC
(2,8),-0.971495 # DEPENDENCYPART_ARC
(2,9),0.155292 # DEPENDENCYPART_ARC
(2,10),-0.806885 # DEPENDENCYPART_ARC
(2,11),-1.51165 # DEPENDENCYPART_ARC
(2,12),-0.478369 # DEPENDENCYPART_ARC
(2,13),-0.923995 # DEPENDENCYPART_ARC
(2,14),-0.300783 # DEPENDENCYPART_ARC
(2,15),-1.29052 # DEPENDENCYPART_ARC
(2,16),-1.25205 # DEPENDENCYPART_ARC
(2,17),-2.15893 # DEPENDENCYPART_ARC
(2,18),-1.08326 # DEPENDENCYPART_ARC
(2,19),-1.85191 # DEPENDENCYPART_ARC
(2,20),-0.788719 # DEPENDENCYPART_ARC
(2,21),0.340714 # DEPENDENCYPART_ARC
(3,1),-0.000587009 # DEPENDENCYPART_ARC
(3,2),0.28816 # DEPENDENCYPART_ARC
(3,4),-0.11504 # DEPENDENCYPART_ARC
(3,5),-0.314896 # DEPENDENCYPART_ARC
(3,6),0.173231 # DEPENDENCYPART_ARC
(3,8),-0.811178 # DEPENDENCYPART_ARC
(3,9),0.339466 # DEPENDENCYPART_ARC
(3,10),-0.679452 # DEPENDENCYPART_ARC
(3,11),-1.31448 # DEPENDENCYPART_ARC
(3,12),-0.445413 # DEPENDENCYPART_ARC
(3,13),-0.924882 # DEPENDENCYPART_ARC
(3,14),0.0771396 # DEPENDENCYPART_ARC
(3,15),-0.92171 # DEPENDENCYPART_ARC
(3,16),-0.901777 # DEPENDENCYPART_ARC
(3,17),-1.86353 # DEPENDENCYPART_ARC
(3,18),-0.363422 # DEPENDENCYPART_ARC
(3,19),-1.58463 # DEPENDENCYPART_ARC
(3,20),-0.294063 # DEPENDENCYPART_ARC
(3,21),0.995362 # DEPENDENCYPART_ARC
(4,1),-0.239729 # DEPENDENCYPART_ARC
(4,2),-0.607345 # DEPENDENCYPART_ARC
(4,3),0.590667 # DEPENDENCYPART_ARC
(4,5),-1.21198 # DEPENDENCYPART_ARC
(4,6),-0.985156 # DEPENDENCYPART_ARC
(4,8),-1.81606 # DEPENDENCYPART_ARC
(4,9),-0.91691 # DEPENDENCYPART_ARC
(4,10),-1.58967 # DEPENDENCYPART_ARC
(4,11),-2.29042 # DEPENDENCYPART_ARC
(4,12),-1.34655 # DEPENDENCYPART_ARC
(4,13),-1.88732 # DEPENDENCYPART_ARC
(4,14),-1.04267 # DEPENDENCYPART_ARC
(4,15),-1.84377 # DEPENDENCYPART_ARC
(4,17),-2.97023 # DEPENDENCYPART_ARC
(4,18),-1.6461 # DEPENDENCYPART_ARC
(4,19),-2.60626 # DEPENDENCYPART_ARC
(4,20),-1.60602 # DEPENDENCYPART_ARC
(4,21),-0.0175496 # DEPENDENCYPART_ARC
(5,1),1.93683 # DEPENDENCYPART_ARC
(5,2),-0.330488 # DEPENDENCYPART_ARC
(5,3),2.6214 # DEPENDENCYPART_ARC
(5,4),3.84921 # DEPENDENCYPART_ARC
(5,6),-0.815507 # DEPENDENCYPART_ARC
(5,7),-1.21902 # DEPENDENCYPART_ARC
(5,8),-1.32507 # DEPENDENCYPART_ARC
(5,9),-0.611742 # DEPENDENCYPART_ARC
(5,10),-1.66771 # DEPENDENCYPART_ARC
(5,11),-2.22871 # DEPENDENCYPART_ARC
(5,12),-1.1217 # DEPENDENCYPART_ARC
(5,13),-1.83162 # DEPENDENCYPART_ARC
(5,14),-0.898756 # DEPENDENCYPART_ARC
(5,15),-1.75687 # DEPENDENCYPART_ARC
(5,16),-1.83432 # DEPENDENCYPART_ARC
(5,17),-2.83451 # DEPENDENCYPART_ARC
(5,18),-1.5163 # DEPENDENCYPART_ARC
(5,19),-2.62646 # DEPENDENCYPART_ARC
(5,20),-1.36348 # DEPENDENCYPART_ARC
(5,21),-0.386371 # DEPENDENCYPART_ARC
(6,1),-0.23738 # DEPENDENCYPART_ARC
(6,2),1.40518 # DEPENDENCYPART_ARC
(6,3),0.158527 # DEPENDENCYPART_ARC
(6,4),0.463891 # DEPENDENCYPART_ARC
(6,5),3.62043 # DEPENDENCYPART_ARC
(6,7),2.98328 # DEPENDENCYPART_ARC
(6,8),2.83402 # DEPENDENCYPART_ARC
(6,9),1.51749 # DEPENDENCYPART_ARC
(6,10),-0.134548 # DEPENDENCYPART_ARC
(6,11),1.10387 # DEPENDENCYPART_ARC
(6,12),0.837882 # DEPENDENCYPART_ARC
(6,13),0.958924 # DEPENDENCYPART_ARC
(6,14),0.621948 # DEPENDENCYPART_ARC
(6,15),-0.765071 # DEPENDENCYPART_ARC
(6,16),-0.790609 # DEPENDENCYPART_ARC
(6,17),-0.598181 # DEPENDENCYPART_ARC
(6,18),1.00919 # DEPENDENCYPART_ARC
(6,19),-0.837453 # DEPENDENCYPART_ARC
(6,20),1.23031 # DEPENDENCYPART_ARC
(6,21),2.21011 # DEPENDENCYPART_ARC
(7,2),-0.570971 # DEPENDENCYPART_ARC
(7,5),-0.139176 # DEPENDENCYPART_ARC
(7,6),0.0323392 # DEPENDENCYPART_ARC
(7,8),-0.737451 # DEPENDENCYPART_ARC
(7,9),-0.701975 # DEPENDENCYPART_ARC
(7,10),-0.914419 # DEPENDENCYPART_ARC
(7,11),-1.30718 # DEPENDENCYPART_ARC
(7,12),-0.729878 # DEPENDENCYPART_ARC
(7,13),-1.35117 # DEPENDENCYPART_ARC
(7,14),-1.02992 # DEPENDENCYPART_ARC
(7,17),-1.83273 # DEPENDENCYPART_ARC
(7,18),-1.21842 # DEPENDENCYPART_ARC
(7,19),-2.41264 # DEPENDENCYPART_ARC
(7,20),-1.70319 # DEPENDENCYPART_ARC
(7,21),-0.858477 # DEPENDENCYPART_ARC
(8,1),-1.12902 # DEPENDENCYPART_ARC
(8,2),-2.81448 # DEPENDENCYPART_ARC
(8,3),-1.02422 # DEPENDENCYPART_ARC
(8,4),-0.413929 # DEPENDENCYPART_ARC
(8,5),-2.01122 # DEPENDENCYPART_ARC
(8,6),-0.0201743 # DEPENDENCYPART_ARC
(8,7),0.863596 # DEPENDENCYPART_ARC
(8,9),0.3903 # DEPENDENCYPART_ARC
(8,10),-0.174265 # DEPENDENCYPART_ARC
(8,11),-0.972058 # DEPENDENCYPART_ARC
(8,12),-0.615529 # DEPENDENCYPART_ARC
(8,13),-0.472856 # DEPENDENCYPART_ARC
(8,14),-0.0202018 # DEPENDENCYPART_ARC
(8,15),-0.994498 # DEPENDENCYPART_ARC
(8,16),-0.994361 # DEPENDENCYPART_ARC
(8,17),-1.83377 # DEPENDENCYPART_ARC
(8,18),-0.615732 # DEPENDENCYPART_ARC
(8,19),-1.99444 # DEPENDENCYPART_ARC
(8,20),-0.649646 # DEPENDENCYPART_ARC
(8,21),0.451229 # DEPENDENCYPART_ARC
(10,1),-1.69951 # DEPENDENCYPART_ARC
(10,2),-1.67941 # DEPENDENCYPART_ARC
(10,3),-1.59165 # DEPENDENCYPART_ARC
(10,4),-1.53428 # DEPENDENCYPART_ARC
(10,5),-1.19011 # DEPENDENCYPART_ARC
(10,6),-1.06719 # DEPENDENCYPART_ARC
(10,7),0.399612 # DEPENDENCYPART_ARC
(10,8),-1.19766 # DEPENDENCYPART_ARC
(10,9),0.307249 # DEPENDENCYPART_ARC
(10,11),-0.257004 # DEPENDENCYPART_ARC
(10,12),-0.977352 # DEPENDENCYPART_ARC
(10,13),-1.13635 # DEPENDENCYPART_ARC
(10,14),-0.222185 # DEPENDENCYPART_ARC
(10,15),-0.879079 # DEPENDENCYPART_ARC
(10,16),-0.922144 # DEPENDENCYPART_ARC
(10,17),-1.33236 # DEPENDENCYPART_ARC
(10,18),-0.875957 # DEPENDENCYPART_ARC
(10,19),-2.07599 # DEPENDENCYPART_ARC
(10,20),-1.23729 # DEPENDENCYPART_ARC
(10,21),-0.31579 # DEPENDENCYPART_ARC
(11,1),-0.494463 # DEPENDENCYPART_ARC
(11,2),-2.62445 # DEPENDENCYPART_ARC
(11,3),-0.686719 # DEPENDENCYPART_ARC
(11,4),-0.214861 # DEPENDENCYPART_ARC
(11,5),-3.06026 # DEPENDENCYPART_ARC
(11,6),-1.06178 # DEPENDENCYPART_ARC
(11,7),-0.132458 # DEPENDENCYPART_ARC
(11,8),-1.47016 # DEPENDENCYPART_ARC
(11,9),0.337177 # DEPENDENCYPART_ARC
(11,10),3.04831 # DEPENDENCYPART_ARC
(11,12),-0.754303 # DEPENDENCYPART_ARC
(11,13),-0.418889 # DEPENDENCYPART_ARC
(11,14),-0.433669 # DEPENDENCYPART_ARC
(11,15),-1.32242 # DEPENDENCYPART_ARC
(11,16),-1.37541 # DEPENDENCYPART_ARC
(11,17),-1.82588 # DEPENDENCYPART_ARC
(11,18),-1.35853 # DEPENDENCYPART_ARC
(11,19),-1.92432 # DEPENDENCYPART_ARC
(11,20),-1.13664 # DEPENDENCYPART_ARC
(11,21),-0.21377 # DEPENDENCYPART_ARC
(12,1),-0.983105 # DEPENDENCYPART_ARC
(12,2),-1.48008 # DEPENDENCYPART_ARC
(12,3),-0.787861 # DEPENDENCYPART_ARC
(12,4),-0.869607 # DEPENDENCYPART_ARC
(12,5),-1.23253 # DEPENDENCYPART_ARC
(12,6),0.0796983 # DEPENDENCYPART_ARC
(12,8),-0.6221 # DEPENDENCYPART_ARC
(12,9),0.0357882 # DEPENDENCYPART_ARC
(12,10),-0.180337 # DEPENDENCYPART_ARC
(12,11),0.0256973 # DEPENDENCYPART_ARC
(12,13),-0.840416 # DEPENDENCYPART_ARC
(12,14),-0.358964 # DEPENDENCYPART_ARC
(12,15),-0.773426 # DEPENDENCYPART_ARC
(12,16),-0.794902 # DEPENDENCYPART_ARC
(12,17),-0.85855 # DEPENDENCYPART_ARC
(12,18),-0.188633 # DEPENDENCYPART_ARC
(12,19),-1.11062 # DEPENDENCYPART_ARC
(12,20),-1.1361 # DEPENDENCYPART_ARC
(12,21),0.341492 # DEPENDENCYPART_ARC
(13,1),-1.91795 # DEPENDENCYPART_ARC
(13,2),-2.28935 # DEPENDENCYPART_ARC
(13,3),-1.67497 # DEPENDENCYPART_ARC
(13,4),-1.78899 # DEPENDENCYPART_ARC
(13,5),-1.83499 # DEPENDENCYPART_ARC
(13,6),-1.42586 # DEPENDENCYPART_ARC
(13,7),-0.021759 # DEPENDENCYPART_ARC
(13,8),-2.03074 # DEPENDENCYPART_ARC
(13,9),0.411614 # DEPENDENCYPART_ARC
(13,10),-0.188927 # DEPENDENCYPART_ARC
(13,11),-0.569683 # DEPENDENCYPART_ARC
(13,12),0.985613 # DEPENDENCYPART_ARC
(13,14),0.349516 # DEPENDENCYPART_ARC
(13,15),-0.312129 # DEPENDENCYPART_ARC
(13,16),-0.487866 # DEPENDENCYPART_ARC
(13,17),-0.508077 # DEPENDENCYPART_ARC
(13,18),-0.607028 # DEPENDENCYPART_ARC
(13,19),-1.36356 # DEPENDENCYPART_ARC
(13,20),-0.599695 # DEPENDENCYPART_ARC
(13,21),0.553773 # DEPENDENCYPART_ARC
(15,1),-1.4334 # DEPENDENCYPART_ARC
(15,2),-1.92531 # DEPENDENCYPART_ARC
(15,3),-1.44943 # DEPENDENCYPART_ARC
(15,4),-1.41296 # DEPENDENCYPART_ARC
(15,5),-2.2188 # DEPENDENCYPART_ARC
(15,6),-0.706406 # DEPENDENCYPART_ARC
(15,8),-1.35994 # DEPENDENCYPART_ARC
(15,9),-0.672208 # DEPENDENCYPART_ARC
(15,10),-0.638425 # DEPENDENCYPART_ARC
(15,11),-1.04947 # DEPENDENCYPART_ARC
(15,12),-0.430969 # DEPENDENCYPART_ARC
(15,13),-0.720809 # DEPENDENCYPART_ARC
(15,14),0.291079 # DEPENDENCYPART_ARC
(15,16),-0.210777 # DEPENDENCYPART_ARC
(15,17),-0.272121 # DEPENDENCYPART_ARC
(15,18),0.210771 # DEPENDENCYPART_ARC
(15,19),-0.629429 # DEPENDENCYPART_ARC
(15,20),-0.266376 # DEPENDENCYPART_ARC
(15,21),0.526801 # DEPENDENCYPART_ARC
(16,1),-1.56667 # DEPENDENCYPART_ARC
(16,2),-2.17606 # DEPENDENCYPART_ARC
(16,3),-1.50815 # DEPENDENCYPART_ARC
(16,5),-2.51128 # DEPENDENCYPART_ARC
(16,6),-0.784801 # DEPENDENCYPART_ARC
(16,8),-1.5441 # DEPENDENCYPART_ARC
(16,9),-0.713213 # DEPENDENCYPART_ARC
(16,10),-0.784699 # DEPENDENCYPART_ARC
(16,11),-1.39556 # DEPENDENCYPART_ARC
(16,12),-0.659848 # DEPENDENCYPART_ARC
(16,13),-1.01494 # DEPENDENCYPART_ARC
(16,14),-0.261774 # DEPENDENCYPART_ARC
(16,15),0.607485 # DEPENDENCYPART_ARC
(16,17),-1.20094 # DEPENDENCYPART_ARC
(16,18),-0.832037 # DEPENDENCYPART_ARC
(16,19),-1.58515 # DEPENDENCYPART_ARC
(16,20),-1.31916 # DEPENDENCYPART_ARC
(16,21),-0.775746 # DEPENDENCYPART_ARC
(17,1),0.301748 # DEPENDENCYPART_ARC
(17,2),-2.93299 # DEPENDENCYPART_ARC
(17,3),-0.108755 # DEPENDENCYPART_ARC
(17,4),0.424377 # DEPENDENCYPART_ARC
(17,5),-3.20292 # DEPENDENCYPART_ARC
(17,6),-1.30888 # DEPENDENCYPART_ARC
(17,7),-0.401179 # DEPENDENCYPART_ARC
(17,8),-1.8619 # DEPENDENCYPART_ARC
(17,9),0.303408 # DEPENDENCYPART_ARC
(17,10),0.53295 # DEPENDENCYPART_ARC
(17,11),-1.28804 # DEPENDENCYPART_ARC
(17,12),-0.116696 # DEPENDENCYPART_ARC
(17,13),-1.23708 # DEPENDENCYPART_ARC
(17,14),0.845344 # DEPENDENCYPART_ARC
(17,15),2.45614 # DEPENDENCYPART_ARC
(17,16),3.74541 # DEPENDENCYPART_ARC
(17,18),-0.549044 # DEPENDENCYPART_ARC
(17,19),-1.22903 # DEPENDENCYPART_ARC
(17,20),-0.691652 # DEPENDENCYPART_ARC
(17,21),-0.563721 # DEPENDENCYPART_ARC
(18,1),-1.95726 # DEPENDENCYPART_ARC
(18,2),-0.832908 # DEPENDENCYPART_ARC
(18,3),-2.01268 # DEPENDENCYPART_ARC
(18,4),-1.94159 # DEPENDENCYPART_ARC
(18,5),0.173332 # DEPENDENCYPART_ARC
(18,6),-1.38078 # DEPENDENCYPART_ARC
(18,7),-0.602486 # DEPENDENCYPART_ARC
(18,8),-0.867629 # DEPENDENCYPART_ARC
(18,9),-0.0363169 # DEPENDENCYPART_ARC
(18,10),-1.08773 # DEPENDENCYPART_ARC
(18,11),0.235486 # DEPENDENCYPART_ARC
(18,12),1.29373 # DEPENDENCYPART_ARC
(18,13),0.677999 # DEPENDENCYPART_ARC
(18,14),6.89212e-05 # DEPENDENCYPART_ARC
(18,15),-0.261296 # DEPENDENCYPART_ARC
(18,16),-0.00892849 # DEPENDENCYPART_ARC
(18,17),2.77144 # DEPENDENCYPART_ARC
(18,19),2.45592 # DEPENDENCYPART_ARC
(18,20),3.49435 # DEPENDENCYPART_ARC
(18,21),2.07126 # DEPENDENCYPART_ARC
(19,1),-1.43559 # DEPENDENCYPART_ARC
(19,2),-3.66137 # DEPENDENCYPART_ARC
(19,3),-1.82437 # DEPENDENCYPART_ARC
(19,4),-1.41344 # DEPENDENCYPART_ARC
(19,5),-3.85018 # DEPENDENCYPART_ARC
(19,6),-1.96141 # DEPENDENCYPART_ARC
(19,7),-1.38925 # DEPENDENCYPART_ARC
(19,8),-3.42114 # DEPENDENCYPART_ARC
(19,9),-0.942869 # DEPENDENCYPART_ARC
(19,10),-0.865929 # DEPENDENCYPART_ARC
(19,11),-2.85105 # DEPENDENCYPART_ARC
(19,12),-1.10085 # DEPENDENCYPART_ARC
(19,13),-2.73031 # DEPENDENCYPART_ARC
(19,14),-0.594279 # DEPENDENCYPART_ARC
(19,15),-0.329086 # DEPENDENCYPART_ARC
(19,16),0.235866 # DEPENDENCYPART_ARC
(19,17),-1.65854 # DEPENDENCYPART_ARC
(19,18),0.446041 # DEPENDENCYPART_ARC
(19,20),-0.455937 # DEPENDENCYPART_ARC
(19,21),-0.930444 # DEPENDENCYPART_ARC
(20,1),-0.594201 # DEPENDENCYPART_ARC
(20,2),0.355733 # DEPENDENCYPART_ARC
(20,3),-0.624879 # DEPENDENCYPART_ARC
(20,4),-0.615875 # DEPENDENCYPART_ARC
(20,5),1.35468 # DEPENDENCYPART_ARC
(20,6),-1.16835 # DEPENDENCYPART_ARC
(20,7),-0.511672 # DEPENDENCYPART_ARC
(20,8),-1.12752 # DEPENDENCYPART_ARC
(20,9),0.303584 # DEPENDENCYPART_ARC
(20,10),-0.241145 # DEPENDENCYPART_ARC
(20,11),1.61531 # DEPENDENCYPART_ARC
(20,12),1.17011 # DEPENDENCYPART_ARC
(20,13),1.46298 # DEPENDENCYPART_ARC
(20,14),0.326801 # DEPENDENCYPART_ARC
(20,15),0.502155 # DEPENDENCYPART_ARC
(20,16),0.624191 # DEPENDENCYPART_ARC
(20,17),3.28229 # DEPENDENCYPART_ARC
(20,18),0.0138829 # DEPENDENCYPART_ARC
(20,19),3.8767 # DEPENDENCYPART_ARC
(20,21),0.938746 # DEPENDENCYPART_ARC
