# _root_ Akkoriban a cég — átmeneti sikerrel — megszerezte a Magyar_Nemzet , az Esti_Hírlap és az Expressz kiadói jogát , 1997 végén pedig megindította a Napi_Magyarország című napilapot .
#goldHeads=8,3,8,8,6,8,8,0,10,18,18,13,18,18,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
#predictedHeads=8,3,8,8,6,8,8,0,10,8,8,13,18,8,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
(2,19),-0.98981 # DEPENDENCYPART_ARC
(2,21),-2.68212 # DEPENDENCYPART_ARC
(2,22),-1.98905 # DEPENDENCYPART_ARC
(2,25),-2.34084 # DEPENDENCYPART_ARC
(2,26),-2.37272 # DEPENDENCYPART_ARC
(2,27),-2.74502 # DEPENDENCYPART_ARC
(3,1),0.0196645 # DEPENDENCYPART_ARC
(3,2),3.98222 # DEPENDENCYPART_ARC
(3,4),0.176618 # DEPENDENCYPART_ARC
(3,5),-0.673158 # DEPENDENCYPART_ARC
(3,6),-0.430449 # DEPENDENCYPART_ARC
(3,7),-0.0497596 # DEPENDENCYPART_ARC
(3,8),-0.222839 # DEPENDENCYPART_ARC
(3,9),-1.27909 # DEPENDENCYPART_ARC
(3,10),-1.03429 # DEPENDENCYPART_ARC
(3,11),-0.198934 # DEPENDENCYPART_ARC
(3,12),-1.35874 # DEPENDENCYPART_ARC
(3,13),-1.32241 # DEPENDENCYPART_ARC
(3,14),-0.805582 # DEPENDENCYPART_ARC
(3,15),-1.51447 # DEPENDENCYPART_ARC
(3,16),-1.71677 # DEPENDENCYPART_ARC
(3,17),-1.92975 # DEPENDENCYPART_ARC
(3,18),-1.88865 # DEPENDENCYPART_ARC
(3,19),-0.880016 # DEPENDENCYPART_ARC
(3,20),-1.44933 # DEPENDENCYPART_ARC
(3,21),-2.67696 # DEPENDENCYPART_ARC
(3,22),-1.38001 # DEPENDENCYPART_ARC
(3,23),-1.36365 # DEPENDENCYPART_ARC
(3,24),-1.75722 # DEPENDENCYPART_ARC
(3,25),-1.97421 # DEPENDENCYPART_ARC
(3,26),-2.17688 # DEPENDENCYPART_ARC
(3,27),-2.39385 # DEPENDENCYPART_ARC
(3,28),0.195704 # DEPENDENCYPART_ARC
(5,1),-0.100324 # DEPENDENCYPART_ARC
(5,2),0.322039 # DEPENDENCYPART_ARC
(5,3),-0.13504 # DEPENDENCYPART_ARC
(5,4),0.612829 # DEPENDENCYPART_ARC
(5,6),-0.213871 # DEPENDENCYPART_ARC
(5,7),0.267982 # DEPENDENCYPART_ARC
(5,8),-0.148011 # DEPENDENCYPART_ARC
(5,9),-1.17256 # DEPENDENCYPART_ARC
(5,10),-1.12512 # DEPENDENCYPART_ARC
(5,11),-0.06846 # DEPENDENCYPART_ARC
(5,12),-1.27104 # DEPENDENCYPART_ARC
(5,13),-1.68623 # DEPENDENCYPART_ARC
(5,14),-0.768144 # DEPENDENCYPART_ARC
(5,15),-1.32848 # DEPENDENCYPART_ARC
(5,16),-1.99007 # DEPENDENCYPART_ARC
(5,17),-1.64746 # DEPENDENCYPART_ARC
(5,18),-2.30022 # DEPENDENCYPART_ARC
(5,19),-0.45542 # DEPENDENCYPART_ARC
(5,20),-0.984011 # DEPENDENCYPART_ARC
(5,21),-1.94532 # DEPENDENCYPART_ARC
(5,22),-1.04412 # DEPENDENCYPART_ARC
(5,23),-1.10367 # DEPENDENCYPART_ARC
(5,24),-1.49096 # DEPENDENCYPART_ARC
(5,25),-2.45326 # DEPENDENCYPART_ARC
(5,26),-1.8428 # DEPENDENCYPART_ARC
(5,27),-2.59708 # DEPENDENCYPART_ARC
(5,28),0.291676 # DEPENDENCYPART_ARC
(6,1),-0.249498 # DEPENDENCYPART_ARC
(6,2),1.87364 # DEPENDENCYPART_ARC
(6,3),-0.155348 # DEPENDENCYPART_ARC
(6,4),0.64157 # DEPENDENCYPART_ARC
(6,5),3.63865 # DEPENDENCYPART_ARC
(6,7),0.530054 # DEPENDENCYPART_ARC
(6,8),-0.22534 # DEPENDENCYPART_ARC
(6,9),-0.766974 # DEPENDENCYPART_ARC
(6,10),-0.881543 # DEPENDENCYPART_ARC
(6,11),0.00999418 # DEPENDENCYPART_ARC
(6,12),-0.948158 # DEPENDENCYPART_ARC
(6,13),-1.52989 # DEPENDENCYPART_ARC
(6,14),-0.422623 # DEPENDENCYPART_ARC
(6,15),-1.07173 # DEPENDENCYPART_ARC
(6,16),-1.55977 # DEPENDENCYPART_ARC
(6,17),-1.66931 # DEPENDENCYPART_ARC
(6,18),-1.63143 # DEPENDENCYPART_ARC
(6,19),-0.449097 # DEPENDENCYPART_ARC
(6,20),-1.33082 # DEPENDENCYPART_ARC
(6,21),-2.49313 # DEPENDENCYPART_ARC
(6,22),-0.95116 # DEPENDENCYPART_ARC
(6,23),-1.19455 # DEPENDENCYPART_ARC
(6,24),-1.38977 # DEPENDENCYPART_ARC
(6,25),-2.12833 # DEPENDENCYPART_ARC
(6,26),-1.95854 # DEPENDENCYPART_ARC
(6,27),-2.34836 # DEPENDENCYPART_ARC
(6,28),0.568875 # DEPENDENCYPART_ARC
(8,1),1.24485 # DEPENDENCYPART_ARC
(8,2),-0.683954 # DEPENDENCYPART_ARC
(8,3),0.684593 # DEPENDENCYPART_ARC
(8,4),1.51594 # DEPENDENCYPART_ARC
(8,5),0.365039 # DEPENDENCYPART_ARC
(8,6),0.723087 # DEPENDENCYPART_ARC
(8,7),1.60646 # DEPENDENCYPART_ARC
(8,9),0.164016 # DEPENDENCYPART_ARC
(8,10),2.70245 # DEPENDENCYPART_ARC
(8,11),2.0362 # DEPENDENCYPART_ARC
(8,12),-0.120184 # DEPENDENCYPART_ARC
(8,13),0.560286 # DEPENDENCYPART_ARC
(8,14),1.10028 # DEPENDENCYPART_ARC
(8,15),-0.392833 # DEPENDENCYPART_ARC
(8,16),-1.2471 # DEPENDENCYPART_ARC
(8,17),-0.998644 # DEPENDENCYPART_ARC
(8,18),2.40285 # DEPENDENCYPART_ARC
(8,19),1.1879 # DEPENDENCYPART_ARC
(8,20),-0.631837 # DEPENDENCYPART_ARC
(8,21),-0.383161 # DEPENDENCYPART_ARC
(8,22),0.965539 # DEPENDENCYPART_ARC
(8,23),1.13047 # DEPENDENCYPART_ARC
(8,24),-0.866243 # DEPENDENCYPART_ARC
(8,25),-2.58612 # DEPENDENCYPART_ARC
(8,26),-1.84057 # DEPENDENCYPART_ARC
(8,27),0.537636 # DEPENDENCYPART_ARC
(8,28),3.06121 # DEPENDENCYPART_ARC
(9,3),-3.26057 # DEPENDENCYPART_ARC
(9,4),-1.72141 # DEPENDENCYPART_ARC
(9,5),-1.88173 # DEPENDENCYPART_ARC
(9,6),-2.73946 # DEPENDENCYPART_ARC
(9,7),-1.50403 # DEPENDENCYPART_ARC
(9,10),-0.145949 # DEPENDENCYPART_ARC
(9,11),-0.26727 # DEPENDENCYPART_ARC
(9,13),-1.03128 # DEPENDENCYPART_ARC
(9,14),-1.06679 # DEPENDENCYPART_ARC
(9,16),-1.38714 # DEPENDENCYPART_ARC
(9,17),-1.21817 # DEPENDENCYPART_ARC
(9,18),-2.07937 # DEPENDENCYPART_ARC
(9,19),-0.673332 # DEPENDENCYPART_ARC
(9,21),-2.34312 # DEPENDENCYPART_ARC
(9,22),-1.56589 # DEPENDENCYPART_ARC
(9,25),-1.95152 # DEPENDENCYPART_ARC
(9,26),-1.92367 # DEPENDENCYPART_ARC
(9,27),-2.43634 # DEPENDENCYPART_ARC
(10,2),-1.0426 # DEPENDENCYPART_ARC
(10,3),-3.64368 # DEPENDENCYPART_ARC
(10,4),-1.40697 # DEPENDENCYPART_ARC
(10,5),-2.58123 # DEPENDENCYPART_ARC
(10,6),-4.67003 # DEPENDENCYPART_ARC
(10,7),-1.51784 # DEPENDENCYPART_ARC
(10,8),-0.424071 # DEPENDENCYPART_ARC
(10,9),2.57817 # DEPENDENCYPART_ARC
(10,11),0.131319 # DEPENDENCYPART_ARC
(10,12),-1.05199 # DEPENDENCYPART_ARC
(10,13),-0.72874 # DEPENDENCYPART_ARC
(10,14),-0.938324 # DEPENDENCYPART_ARC
(10,15),-1.19427 # DEPENDENCYPART_ARC
(10,16),-1.1709 # DEPENDENCYPART_ARC
(10,17),-1.28668 # DEPENDENCYPART_ARC
(10,18),-1.19434 # DEPENDENCYPART_ARC
(10,19),-0.341222 # DEPENDENCYPART_ARC
(10,20),-0.882212 # DEPENDENCYPART_ARC
(10,21),-2.24695 # DEPENDENCYPART_ARC
(10,22),-1.44097 # DEPENDENCYPART_ARC
(10,23),-1.18969 # DEPENDENCYPART_ARC
(10,24),-1.62511 # DEPENDENCYPART_ARC
(10,25),-2.11562 # DEPENDENCYPART_ARC
(10,26),-1.79654 # DEPENDENCYPART_ARC
(10,27),-2.26072 # DEPENDENCYPART_ARC
(10,28),-0.344263 # DEPENDENCYPART_ARC
(12,3),-2.77105 # DEPENDENCYPART_ARC
(12,4),-1.28188 # DEPENDENCYPART_ARC
(12,5),-1.60772 # DEPENDENCYPART_ARC
(12,6),-2.52972 # DEPENDENCYPART_ARC
(12,7),-1.26119 # DEPENDENCYPART_ARC
(12,10),-1.52301 # DEPENDENCYPART_ARC
(12,11),-0.308365 # DEPENDENCYPART_ARC
(12,13),-0.228325 # DEPENDENCYPART_ARC
(12,14),-0.62015 # DEPENDENCYPART_ARC
(12,16),-0.842602 # DEPENDENCYPART_ARC
(12,17),-0.784675 # DEPENDENCYPART_ARC
(12,18),-1.67463 # DEPENDENCYPART_ARC
(12,19),-0.355194 # DEPENDENCYPART_ARC
(12,21),-1.73115 # DEPENDENCYPART_ARC
(12,22),-1.11178 # DEPENDENCYPART_ARC
(12,25),-1.55991 # DEPENDENCYPART_ARC
(12,26),-1.55518 # DEPENDENCYPART_ARC
(12,27),-1.83574 # DEPENDENCYPART_ARC
(13,2),-1.80024 # DEPENDENCYPART_ARC
(13,3),-4.20406 # DEPENDENCYPART_ARC
(13,4),-1.69436 # DEPENDENCYPART_ARC
(13,5),-3.40365 # DEPENDENCYPART_ARC
(13,6),-5.54896 # DEPENDENCYPART_ARC
(13,7),-1.8775 # DEPENDENCYPART_ARC
(13,8),-1.56927 # DEPENDENCYPART_ARC
(13,9),3.51902e-05 # DEPENDENCYPART_ARC
(13,10),-1.47802 # DEPENDENCYPART_ARC
(13,11),-0.901989 # DEPENDENCYPART_ARC
(13,12),2.61241 # DEPENDENCYPART_ARC
(13,14),-1.42748 # DEPENDENCYPART_ARC
(13,15),-1.75185 # DEPENDENCYPART_ARC
(13,16),-1.5515 # DEPENDENCYPART_ARC
(13,17),-1.63296 # DEPENDENCYPART_ARC
(13,18),-1.88492 # DEPENDENCYPART_ARC
(13,19),-0.955263 # DEPENDENCYPART_ARC
(13,20),-1.5086 # DEPENDENCYPART_ARC
(13,21),-2.76979 # DEPENDENCYPART_ARC
(13,22),-1.87803 # DEPENDENCYPART_ARC
(13,23),-1.84856 # DEPENDENCYPART_ARC
(13,24),-2.20016 # DEPENDENCYPART_ARC
(13,25),-2.84128 # DEPENDENCYPART_ARC
(13,26),-2.44105 # DEPENDENCYPART_ARC
(13,27),-3.17244 # DEPENDENCYPART_ARC
(13,28),-1.28093 # DEPENDENCYPART_ARC
(14,1),-1.37816 # DEPENDENCYPART_ARC
(14,2),-1.69888 # DEPENDENCYPART_ARC
(14,3),-0.864724 # DEPENDENCYPART_ARC
(14,4),-0.140853 # DEPENDENCYPART_ARC
(14,5),-1.19832 # DEPENDENCYPART_ARC
(14,6),-0.919435 # DEPENDENCYPART_ARC
(14,7),0.180513 # DEPENDENCYPART_ARC
(14,8),0.262081 # DEPENDENCYPART_ARC
(14,9),-1.00065 # DEPENDENCYPART_ARC
(14,10),0.100206 # DEPENDENCYPART_ARC
(14,11),0.691141 # DEPENDENCYPART_ARC
(14,12),-0.0810384 # DEPENDENCYPART_ARC
(14,13),0.657533 # DEPENDENCYPART_ARC
(14,15),-0.299648 # DEPENDENCYPART_ARC
(14,16),0.884862 # DEPENDENCYPART_ARC
(14,17),-0.214915 # DEPENDENCYPART_ARC
(14,18),0.36269 # DEPENDENCYPART_ARC
(14,19),-0.172093 # DEPENDENCYPART_ARC
(14,20),-0.463813 # DEPENDENCYPART_ARC
(14,21),-0.952296 # DEPENDENCYPART_ARC
(14,22),-0.462614 # DEPENDENCYPART_ARC
(14,23),-0.0353943 # DEPENDENCYPART_ARC
(14,24),-0.910917 # DEPENDENCYPART_ARC
(14,25),-0.85366 # DEPENDENCYPART_ARC
(14,26),-1.29604 # DEPENDENCYPART_ARC
(14,27),-1.30643 # DEPENDENCYPART_ARC
(14,28),-0.285322 # DEPENDENCYPART_ARC
(15,3),-3.04948 # DEPENDENCYPART_ARC
(15,4),-1.29794 # DEPENDENCYPART_ARC
(15,5),-1.70666 # DEPENDENCYPART_ARC
(15,6),-2.78627 # DEPENDENCYPART_ARC
(15,7),-1.11919 # DEPENDENCYPART_ARC
(15,10),-2.19859 # DEPENDENCYPART_ARC
(15,11),-0.799214 # DEPENDENCYPART_ARC
(15,13),-1.58674 # DEPENDENCYPART_ARC
(15,14),-0.066687 # DEPENDENCYPART_ARC
(15,16),-0.331858 # DEPENDENCYPART_ARC
(15,17),-0.277863 # DEPENDENCYPART_ARC
(15,18),-1.426 # DEPENDENCYPART_ARC
(15,19),-0.449803 # DEPENDENCYPART_ARC
(15,21),-1.78088 # DEPENDENCYPART_ARC
(15,22),-1.1886 # DEPENDENCYPART_ARC
(15,25),-1.45135 # DEPENDENCYPART_ARC
(15,26),-1.39276 # DEPENDENCYPART_ARC
(15,27),-1.96466 # DEPENDENCYPART_ARC
(16,2),-2.74195 # DEPENDENCYPART_ARC
(16,3),-4.62769 # DEPENDENCYPART_ARC
(16,4),-1.8842 # DEPENDENCYPART_ARC
(16,5),-4.12286 # DEPENDENCYPART_ARC
(16,6),-5.98306 # DEPENDENCYPART_ARC
(16,7),-2.08611 # DEPENDENCYPART_ARC
(16,8),-1.92408 # DEPENDENCYPART_ARC
(16,9),-1.25303 # DEPENDENCYPART_ARC
(16,10),-2.34768 # DEPENDENCYPART_ARC
(16,11),-1.15807 # DEPENDENCYPART_ARC
(16,12),-0.15722 # DEPENDENCYPART_ARC
(16,13),-1.01008 # DEPENDENCYPART_ARC
(16,14),-0.0549772 # DEPENDENCYPART_ARC
(16,15),2.72156 # DEPENDENCYPART_ARC
(16,17),-0.643307 # DEPENDENCYPART_ARC
(16,18),-0.608568 # DEPENDENCYPART_ARC
(16,19),-0.206887 # DEPENDENCYPART_ARC
(16,20),-0.900368 # DEPENDENCYPART_ARC
(16,21),-1.71276 # DEPENDENCYPART_ARC
(16,22),-1.17281 # DEPENDENCYPART_ARC
(16,23),-1.05792 # DEPENDENCYPART_ARC
(16,24),-1.58859 # DEPENDENCYPART_ARC
(16,25),-1.76022 # DEPENDENCYPART_ARC
(16,26),-1.65527 # DEPENDENCYPART_ARC
(16,27),-2.20379 # DEPENDENCYPART_ARC
(16,28),-0.643871 # DEPENDENCYPART_ARC
(17,1),-1.96203 # DEPENDENCYPART_ARC
(17,2),-1.90471 # DEPENDENCYPART_ARC
(17,3),-2.42378 # DEPENDENCYPART_ARC
(17,4),-0.765845 # DEPENDENCYPART_ARC
(17,5),-2.17205 # DEPENDENCYPART_ARC
(17,6),-2.03921 # DEPENDENCYPART_ARC
(17,7),-0.712702 # DEPENDENCYPART_ARC
(17,8),-1.13035 # DEPENDENCYPART_ARC
(17,9),-0.832969 # DEPENDENCYPART_ARC
(17,10),-1.03853 # DEPENDENCYPART_ARC
(17,11),-0.206748 # DEPENDENCYPART_ARC
(17,12),-0.418483 # DEPENDENCYPART_ARC
(17,13),0.0729654 # DEPENDENCYPART_ARC
(17,14),0.644899 # DEPENDENCYPART_ARC
(17,15),0.456609 # DEPENDENCYPART_ARC
(17,16),1.87641 # DEPENDENCYPART_ARC
(17,18),-1.21294 # DEPENDENCYPART_ARC
(17,19),-0.640878 # DEPENDENCYPART_ARC
(17,20),-1.00062 # DEPENDENCYPART_ARC
(17,21),-1.44785 # DEPENDENCYPART_ARC
(17,22),-1.39221 # DEPENDENCYPART_ARC
(17,23),-0.984933 # DEPENDENCYPART_ARC
(17,24),-1.78225 # DEPENDENCYPART_ARC
(17,25),-2.25445 # DEPENDENCYPART_ARC
(17,26),-1.94109 # DEPENDENCYPART_ARC
(17,27),-2.56406 # DEPENDENCYPART_ARC
(17,28),-0.683061 # DEPENDENCYPART_ARC
(18,1),-0.953501 # DEPENDENCYPART_ARC
(18,2),-2.56931 # DEPENDENCYPART_ARC
(18,3),-1.45684 # DEPENDENCYPART_ARC
(18,4),-0.793293 # DEPENDENCYPART_ARC
(18,5),-1.76539 # DEPENDENCYPART_ARC
(18,6),-4.0178 # DEPENDENCYPART_ARC
(18,7),-1.19751 # DEPENDENCYPART_ARC
(18,8),-1.74859 # DEPENDENCYPART_ARC
(18,9),-0.809376 # DEPENDENCYPART_ARC
(18,10),0.0608663 # DEPENDENCYPART_ARC
(18,11),0.00835188 # DEPENDENCYPART_ARC
(18,12),-0.175691 # DEPENDENCYPART_ARC
(18,13),1.64681 # DEPENDENCYPART_ARC
(18,14),0.811154 # DEPENDENCYPART_ARC
(18,15),1.27345 # DEPENDENCYPART_ARC
(18,16),3.3574 # DEPENDENCYPART_ARC
(18,17),3.62502 # DEPENDENCYPART_ARC
(18,19),0.358574 # DEPENDENCYPART_ARC
(18,20),-0.647551 # DEPENDENCYPART_ARC
(18,21),-1.41223 # DEPENDENCYPART_ARC
(18,22),-0.489055 # DEPENDENCYPART_ARC
(18,23),-0.880909 # DEPENDENCYPART_ARC
(18,24),-1.09963 # DEPENDENCYPART_ARC
(18,25),-1.2104 # DEPENDENCYPART_ARC
(18,26),-1.45963 # DEPENDENCYPART_ARC
(18,27),-1.64016 # DEPENDENCYPART_ARC
(18,28),0.00256093 # DEPENDENCYPART_ARC
(20,1),-1.08431 # DEPENDENCYPART_ARC
(20,2),-1.09092 # DEPENDENCYPART_ARC
(20,3),-2.52977 # DEPENDENCYPART_ARC
(20,4),-1.43401 # DEPENDENCYPART_ARC
(20,5),-2.02626 # DEPENDENCYPART_ARC
(20,6),-3.04009 # DEPENDENCYPART_ARC
(20,7),-1.27716 # DEPENDENCYPART_ARC
(20,8),-1.04427 # DEPENDENCYPART_ARC
(20,9),-0.63764 # DEPENDENCYPART_ARC
(20,10),-1.42672 # DEPENDENCYPART_ARC
(20,11),-1.42847 # DEPENDENCYPART_ARC
(20,12),-0.677935 # DEPENDENCYPART_ARC
(20,13),-1.1497 # DEPENDENCYPART_ARC
(20,14),-0.788767 # DEPENDENCYPART_ARC
(20,15),-0.449727 # DEPENDENCYPART_ARC
(20,16),-0.733898 # DEPENDENCYPART_ARC
(20,17),-0.826214 # DEPENDENCYPART_ARC
(20,18),-1.37424 # DEPENDENCYPART_ARC
(20,19),0.225291 # DEPENDENCYPART_ARC
(20,21),-1.00204 # DEPENDENCYPART_ARC
(20,22),-0.995989 # DEPENDENCYPART_ARC
(20,23),-0.712228 # DEPENDENCYPART_ARC
(20,24),-1.43625 # DEPENDENCYPART_ARC
(20,25),-1.70925 # DEPENDENCYPART_ARC
(20,26),-1.40593 # DEPENDENCYPART_ARC
(20,27),-2.3018 # DEPENDENCYPART_ARC
(20,28),-0.758463 # DEPENDENCYPART_ARC
(21,1),-1.61072 # DEPENDENCYPART_ARC
(21,2),-3.49172 # DEPENDENCYPART_ARC
(21,3),-2.71605 # DEPENDENCYPART_ARC
(21,4),-1.52423 # DEPENDENCYPART_ARC
(21,5),-3.28844 # DEPENDENCYPART_ARC
(21,6),-5.43976 # DEPENDENCYPART_ARC
(21,7),-1.78149 # DEPENDENCYPART_ARC
(21,8),-2.76664 # DEPENDENCYPART_ARC
(21,9),-1.84189 # DEPENDENCYPART_ARC
(21,10),-1.23916 # DEPENDENCYPART_ARC
(21,11),-0.832736 # DEPENDENCYPART_ARC
(21,12),-1.14327 # DEPENDENCYPART_ARC
(21,13),-0.0781755 # DEPENDENCYPART_ARC
(21,14),-0.266038 # DEPENDENCYPART_ARC
(21,15),-0.0818209 # DEPENDENCYPART_ARC
(21,16),0.800859 # DEPENDENCYPART_ARC
(21,17),0.371416 # DEPENDENCYPART_ARC
(21,18),-3.25233 # DEPENDENCYPART_ARC
(21,19),-0.0462923 # DEPENDENCYPART_ARC
(21,20),2.91731 # DEPENDENCYPART_ARC
(21,22),-0.966594 # DEPENDENCYPART_ARC
(21,23),-1.36435 # DEPENDENCYPART_ARC
(21,24),-1.55988 # DEPENDENCYPART_ARC
(21,25),-1.27723 # DEPENDENCYPART_ARC
(21,26),-2.04825 # DEPENDENCYPART_ARC
(21,27),-2.31472 # DEPENDENCYPART_ARC
(21,28),-0.819864 # DEPENDENCYPART_ARC
(22,1),-1.27596 # DEPENDENCYPART_ARC
(22,2),-2.57569 # DEPENDENCYPART_ARC
(22,3),-1.70218 # DEPENDENCYPART_ARC
(22,4),-0.356818 # DEPENDENCYPART_ARC
(22,5),-1.39582 # DEPENDENCYPART_ARC
(22,6),-1.84132 # DEPENDENCYPART_ARC
(22,7),-0.0808193 # DEPENDENCYPART_ARC
(22,8),-0.078404 # DEPENDENCYPART_ARC
(22,9),-1.7179 # DEPENDENCYPART_ARC
(22,10),-1.00665 # DEPENDENCYPART_ARC
(22,11),-0.385452 # DEPENDENCYPART_ARC
(22,12),-0.864597 # DEPENDENCYPART_ARC
(22,13),-0.943679 # DEPENDENCYPART_ARC
(22,14),-0.0853529 # DEPENDENCYPART_ARC
(22,15),-0.807678 # DEPENDENCYPART_ARC
(22,16),-0.438153 # DEPENDENCYPART_ARC
(22,17),-0.738437 # DEPENDENCYPART_ARC
(22,18),-1.06254 # DEPENDENCYPART_ARC
(22,19),0.493786 # DEPENDENCYPART_ARC
(22,20),0.0602634 # DEPENDENCYPART_ARC
(22,21),-0.0724999 # DEPENDENCYPART_ARC
(22,23),0.485784 # DEPENDENCYPART_ARC
(22,24),-1.16202 # DEPENDENCYPART_ARC
(22,25),-0.313722 # DEPENDENCYPART_ARC
(22,26),-0.827858 # DEPENDENCYPART_ARC
(22,27),-0.757887 # DEPENDENCYPART_ARC
(22,28),0.363865 # DEPENDENCYPART_ARC
(23,1),-0.103101 # DEPENDENCYPART_ARC
(23,2),-1.55941 # DEPENDENCYPART_ARC
(23,3),-0.462795 # DEPENDENCYPART_ARC
(23,4),0.303639 # DEPENDENCYPART_ARC
(23,5),-1.53566 # DEPENDENCYPART_ARC
(23,6),-1.15398 # DEPENDENCYPART_ARC
(23,7),-0.0661679 # DEPENDENCYPART_ARC
(23,8),-0.6288 # DEPENDENCYPART_ARC
(23,9),-0.972022 # DEPENDENCYPART_ARC
(23,10),-0.128939 # DEPENDENCYPART_ARC
(23,11),0.61182 # DEPENDENCYPART_ARC
(23,12),-0.593045 # DEPENDENCYPART_ARC
(23,13),1.09495 # DEPENDENCYPART_ARC
(23,14),0.555077 # DEPENDENCYPART_ARC
(23,15),-0.556237 # DEPENDENCYPART_ARC
(23,16),0.695241 # DEPENDENCYPART_ARC
(23,17),-0.420875 # DEPENDENCYPART_ARC
(23,18),1.2821 # DEPENDENCYPART_ARC
(23,19),0.899557 # DEPENDENCYPART_ARC
(23,20),0.471427 # DEPENDENCYPART_ARC
(23,21),2.51915 # DEPENDENCYPART_ARC
(23,22),2.84114 # DEPENDENCYPART_ARC
(23,24),-0.19286 # DEPENDENCYPART_ARC
(23,25),0.18809 # DEPENDENCYPART_ARC
(23,26),-0.508628 # DEPENDENCYPART_ARC
(23,27),2.68212 # DEPENDENCYPART_ARC
(23,28),1.2917 # DEPENDENCYPART_ARC
(24,3),-3.99891 # DEPENDENCYPART_ARC
(24,4),-1.94935 # DEPENDENCYPART_ARC
(24,5),-2.27456 # DEPENDENCYPART_ARC
(24,6),-3.76493 # DEPENDENCYPART_ARC
(24,7),-1.8796 # DEPENDENCYPART_ARC
(24,10),-3.49269 # DEPENDENCYPART_ARC
(24,11),-1.69681 # DEPENDENCYPART_ARC
(24,13),-3.40886 # DEPENDENCYPART_ARC
(24,14),-1.87689 # DEPENDENCYPART_ARC
(24,16),-3.19687 # DEPENDENCYPART_ARC
(24,17),-2.10742 # DEPENDENCYPART_ARC
(24,18),-3.70346 # DEPENDENCYPART_ARC
(24,19),-1.58601 # DEPENDENCYPART_ARC
(24,21),-3.20416 # DEPENDENCYPART_ARC
(24,22),-1.43912 # DEPENDENCYPART_ARC
(24,25),-0.18525 # DEPENDENCYPART_ARC
(24,26),-0.15798 # DEPENDENCYPART_ARC
