# _root_ Ezúttal nem a tehetetlenség , a szégyen az , ami lefogja a tollat .
#goldHeads=8,8,4,8,4,7,4,0,8,11,8,13,11,8,
#predictedHeads=2,8,4,2,8,7,8,0,8,11,8,13,11,2,
(4,9),-0.351492 # DEPENDENCYPART_ARC
(4,10),-1.40036 # DEPENDENCYPART_ARC
(4,11),0.117114 # DEPENDENCYPART_ARC
(4,12),-1.19256 # DEPENDENCYPART_ARC
(4,13),-2.20102 # DEPENDENCYPART_ARC
(4,14),0.918361 # DEPENDENCYPART_ARC
(5,1),-1.50091 # DEPENDENCYPART_ARC
(5,2),-1.30846 # DEPENDENCYPART_ARC
(5,3),-0.997646 # DEPENDENCYPART_ARC
(5,4),-1.55415 # DEPENDENCYPART_ARC
(5,6),-0.790069 # DEPENDENCYPART_ARC
(5,7),-1.2856 # DEPENDENCYPART_ARC
(5,8),-1.21172 # DEPENDENCYPART_ARC
(5,9),-0.841904 # DEPENDENCYPART_ARC
(5,10),-1.38712 # DEPENDENCYPART_ARC
(5,11),-1.2001 # DEPENDENCYPART_ARC
(5,12),-1.30087 # DEPENDENCYPART_ARC
(5,13),-2.28847 # DEPENDENCYPART_ARC
(5,14),-1.16864 # DEPENDENCYPART_ARC
(6,1),-1.35055 # DEPENDENCYPART_ARC
(6,2),-1.23793 # DEPENDENCYPART_ARC
(6,3),-0.945864 # DEPENDENCYPART_ARC
(6,4),-1.90139 # DEPENDENCYPART_ARC
(6,5),-0.516822 # DEPENDENCYPART_ARC
(6,7),-0.255901 # DEPENDENCYPART_ARC
(6,8),-0.550066 # DEPENDENCYPART_ARC
(6,9),-0.174414 # DEPENDENCYPART_ARC
(6,10),-0.870242 # DEPENDENCYPART_ARC
(6,11),-1.05489 # DEPENDENCYPART_ARC
(6,12),-0.884397 # DEPENDENCYPART_ARC
(6,13),-1.56897 # DEPENDENCYPART_ARC
(6,14),-1.30521 # DEPENDENCYPART_ARC
(7,1),-1.16611 # DEPENDENCYPART_ARC
(7,2),-0.992523 # DEPENDENCYPART_ARC
(7,3),0.808297 # DEPENDENCYPART_ARC
(7,4),-1.27391 # DEPENDENCYPART_ARC
(7,5),-0.766843 # DEPENDENCYPART_ARC
(7,6),3.38644 # DEPENDENCYPART_ARC
(7,8),-0.818673 # DEPENDENCYPART_ARC
(7,9),0.129401 # DEPENDENCYPART_ARC
(7,10),-1.03486 # DEPENDENCYPART_ARC
(7,11),0.398469 # DEPENDENCYPART_ARC
(7,12),-0.91467 # DEPENDENCYPART_ARC
(7,13),-1.75532 # DEPENDENCYPART_ARC
(7,14),0.853278 # DEPENDENCYPART_ARC
(8,1),0.717276 # DEPENDENCYPART_ARC
(8,2),0.644324 # DEPENDENCYPART_ARC
(8,3),0.251897 # DEPENDENCYPART_ARC
(8,4),-0.211973 # DEPENDENCYPART_ARC
(8,5),0.582478 # DEPENDENCYPART_ARC
(8,6),0.862351 # DEPENDENCYPART_ARC
(8,7),0.695108 # DEPENDENCYPART_ARC
(8,9),1.02583 # DEPENDENCYPART_ARC
(8,10),0.339293 # DEPENDENCYPART_ARC
(8,11),1.58 # DEPENDENCYPART_ARC
(8,12),-0.166595 # DEPENDENCYPART_ARC
(8,13),-0.19826 # DEPENDENCYPART_ARC
(8,14),1.52891 # DEPENDENCYPART_ARC
(9,1),-2.21179 # DEPENDENCYPART_ARC
(9,2),-2.17529 # DEPENDENCYPART_ARC
(9,3),-1.98676 # DEPENDENCYPART_ARC
(9,4),-2.98138 # DEPENDENCYPART_ARC
(9,5),-1.80388 # DEPENDENCYPART_ARC
(9,6),-1.69039 # DEPENDENCYPART_ARC
(9,7),-2.28492 # DEPENDENCYPART_ARC
(9,8),-0.879113 # DEPENDENCYPART_ARC
(9,10),-1.23425 # DEPENDENCYPART_ARC
(9,11),-1.20752 # DEPENDENCYPART_ARC
(9,12),-1.48333 # DEPENDENCYPART_ARC
(9,13),-2.16369 # DEPENDENCYPART_ARC
(9,14),-1.51322 # DEPENDENCYPART_ARC
(10,1),-0.346916 # DEPENDENCYPART_ARC
(10,2),-0.33946 # DEPENDENCYPART_ARC
(10,3),-0.681313 # DEPENDENCYPART_ARC
(10,4),-1.27149 # DEPENDENCYPART_ARC
(10,5),-1.02073 # DEPENDENCYPART_ARC
(10,6),-0.555961 # DEPENDENCYPART_ARC
(10,7),-0.972687 # DEPENDENCYPART_ARC
(10,8),-0.728189 # DEPENDENCYPART_ARC
(10,9),-0.298531 # DEPENDENCYPART_ARC
(10,11),-0.230288 # DEPENDENCYPART_ARC
(10,12),-1.28715 # DEPENDENCYPART_ARC
(10,13),-0.460396 # DEPENDENCYPART_ARC
(10,14),-0.00921566 # DEPENDENCYPART_ARC
(11,1),0.0798216 # DEPENDENCYPART_ARC
(11,2),0.46167 # DEPENDENCYPART_ARC
(11,3),-1.82349 # DEPENDENCYPART_ARC
(11,4),-1.12706 # DEPENDENCYPART_ARC
(11,5),0.284633 # DEPENDENCYPART_ARC
(11,6),-1.64878 # DEPENDENCYPART_ARC
(11,7),0.513171 # DEPENDENCYPART_ARC
(11,8),0.00214356 # DEPENDENCYPART_ARC
(11,9),0.565774 # DEPENDENCYPART_ARC
(11,10),3.03288 # DEPENDENCYPART_ARC
(11,12),-0.606917 # DEPENDENCYPART_ARC
(11,13),2.81023 # DEPENDENCYPART_ARC
(11,14),1.67091 # DEPENDENCYPART_ARC
(12,1),-2.30535 # DEPENDENCYPART_ARC
(12,2),-2.24806 # DEPENDENCYPART_ARC
(12,3),-2.02159 # DEPENDENCYPART_ARC
(12,4),-3.23932 # DEPENDENCYPART_ARC
(12,5),-1.81491 # DEPENDENCYPART_ARC
(12,6),-1.85069 # DEPENDENCYPART_ARC
(12,7),-3.02107 # DEPENDENCYPART_ARC
(12,8),-2.4643 # DEPENDENCYPART_ARC
(12,9),-1.46026 # DEPENDENCYPART_ARC
(12,10),-1.91716 # DEPENDENCYPART_ARC
(12,11),-0.95711 # DEPENDENCYPART_ARC
(12,13),-0.443734 # DEPENDENCYPART_ARC
(12,14),-1.18688 # DEPENDENCYPART_ARC
(13,1),-1.80829 # DEPENDENCYPART_ARC
(13,2),-1.88541 # DEPENDENCYPART_ARC
(13,3),-1.5838 # DEPENDENCYPART_ARC
(13,4),-3.54675 # DEPENDENCYPART_ARC
(13,5),-2.3989 # DEPENDENCYPART_ARC
(13,6),-0.895797 # DEPENDENCYPART_ARC
(13,7),-2.87443 # DEPENDENCYPART_ARC
(13,8),-1.1148 # DEPENDENCYPART_ARC
(13,9),-1.69338 # DEPENDENCYPART_ARC
(13,10),-1.18783 # DEPENDENCYPART_ARC
(13,11),-0.972292 # DEPENDENCYPART_ARC
(13,12),3.13494 # DEPENDENCYPART_ARC
(13,14),-0.442356 # DEPENDENCYPART_ARC
(14,1),-3.04262 # DEPENDENCYPART_ARC
(14,2),-3.04024 # DEPENDENCYPART_ARC
(14,3),-2.92653 # DEPENDENCYPART_ARC
(14,4),-3.90883 # DEPENDENCYPART_ARC
(14,5),-2.61594 # DEPENDENCYPART_ARC
(14,6),-2.83448 # DEPENDENCYPART_ARC
(14,7),-3.79456 # DEPENDENCYPART_ARC
(14,8),-2.99313 # DEPENDENCYPART_ARC
(14,9),-2.58923 # DEPENDENCYPART_ARC
(14,10),-2.76857 # DEPENDENCYPART_ARC
(14,11),-2.29911 # DEPENDENCYPART_ARC
(14,12),-1.80732 # DEPENDENCYPART_ARC
(14,13),-2.47963 # DEPENDENCYPART_ARC
