# _root_ Drága mulatság a washoku , de a legfinomabb alapanyagokból készítik , és elképesztő dúskálást lehet vele csapni .
#goldHeads=2,12,4,2,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
#predictedHeads=2,10,4,10,6,10,9,9,10,12,12,0,14,17,12,17,15,12,
(12,8),-0.0130335 # DEPENDENCYPART_ARC
(12,9),-0.119193 # DEPENDENCYPART_ARC
(12,10),2.4733 # DEPENDENCYPART_ARC
(12,11),2.76959 # DEPENDENCYPART_ARC
(12,13),0.638313 # DEPENDENCYPART_ARC
(12,14),0.560802 # DEPENDENCYPART_ARC
(12,15),2.30993 # DEPENDENCYPART_ARC
(12,16),0.383613 # DEPENDENCYPART_ARC
(12,17),1.4157 # DEPENDENCYPART_ARC
(12,18),3.79302 # DEPENDENCYPART_ARC
(13,1),-1.9697 # DEPENDENCYPART_ARC
(13,2),-3.30322 # DEPENDENCYPART_ARC
(13,3),-1.65015 # DEPENDENCYPART_ARC
(13,4),-0.755258 # DEPENDENCYPART_ARC
(13,5),-0.503906 # DEPENDENCYPART_ARC
(13,6),-0.800423 # DEPENDENCYPART_ARC
(13,7),-1.0807 # DEPENDENCYPART_ARC
(13,8),-0.700613 # DEPENDENCYPART_ARC
(13,9),-0.747311 # DEPENDENCYPART_ARC
(13,10),-0.551227 # DEPENDENCYPART_ARC
(13,11),0.0346176 # DEPENDENCYPART_ARC
(13,12),0.391753 # DEPENDENCYPART_ARC
(13,14),-0.751566 # DEPENDENCYPART_ARC
(13,15),-0.43037 # DEPENDENCYPART_ARC
(13,16),-0.812706 # DEPENDENCYPART_ARC
(13,17),-0.776639 # DEPENDENCYPART_ARC
(13,18),-0.242843 # DEPENDENCYPART_ARC
(14,1),-0.441576 # DEPENDENCYPART_ARC
(14,2),-2.36009 # DEPENDENCYPART_ARC
(14,3),-0.0482189 # DEPENDENCYPART_ARC
(14,4),0.375525 # DEPENDENCYPART_ARC
(14,5),-0.346821 # DEPENDENCYPART_ARC
(14,6),0.188712 # DEPENDENCYPART_ARC
(14,7),1.06477 # DEPENDENCYPART_ARC
(14,8),1.38882 # DEPENDENCYPART_ARC
(14,9),-2.85194 # DEPENDENCYPART_ARC
(14,10),-0.162844 # DEPENDENCYPART_ARC
(14,11),0.777608 # DEPENDENCYPART_ARC
(14,12),1.57887 # DEPENDENCYPART_ARC
(14,13),3.77742 # DEPENDENCYPART_ARC
(14,15),-0.500497 # DEPENDENCYPART_ARC
(14,16),-0.645605 # DEPENDENCYPART_ARC
(14,17),-0.41491 # DEPENDENCYPART_ARC
(14,18),0.0150051 # DEPENDENCYPART_ARC
(15,1),-1.68309 # DEPENDENCYPART_ARC
(15,2),0.432974 # DEPENDENCYPART_ARC
(15,3),-1.03366 # DEPENDENCYPART_ARC
(15,4),-0.0984684 # DEPENDENCYPART_ARC
(15,5),0.18006 # DEPENDENCYPART_ARC
(15,6),1.27561 # DEPENDENCYPART_ARC
(15,7),-0.989996 # DEPENDENCYPART_ARC
(15,8),-0.773123 # DEPENDENCYPART_ARC
(15,9),0.806516 # DEPENDENCYPART_ARC
(15,10),-0.187126 # DEPENDENCYPART_ARC
(15,11),0.7406 # DEPENDENCYPART_ARC
(15,12),0.569843 # DEPENDENCYPART_ARC
(15,13),0.433099 # DEPENDENCYPART_ARC
(15,14),2.35535 # DEPENDENCYPART_ARC
(15,16),2.4549 # DEPENDENCYPART_ARC
(15,17),3.71992 # DEPENDENCYPART_ARC
(15,18),2.23084 # DEPENDENCYPART_ARC
(16,1),-1.15031 # DEPENDENCYPART_ARC
(16,2),-1.2206 # DEPENDENCYPART_ARC
(16,3),-1.44249 # DEPENDENCYPART_ARC
(16,4),-1.10737 # DEPENDENCYPART_ARC
(16,5),-0.837042 # DEPENDENCYPART_ARC
(16,6),-0.646028 # DEPENDENCYPART_ARC
(16,7),-1.36061 # DEPENDENCYPART_ARC
(16,8),-0.878772 # DEPENDENCYPART_ARC
(16,9),-0.698022 # DEPENDENCYPART_ARC
(16,10),-0.920975 # DEPENDENCYPART_ARC
(16,11),-0.679499 # DEPENDENCYPART_ARC
(16,12),-0.380636 # DEPENDENCYPART_ARC
(16,13),-0.259013 # DEPENDENCYPART_ARC
(16,14),0.0639523 # DEPENDENCYPART_ARC
(16,15),0.220741 # DEPENDENCYPART_ARC
(16,17),-0.150845 # DEPENDENCYPART_ARC
(16,18),-0.909944 # DEPENDENCYPART_ARC
(17,1),-0.568989 # DEPENDENCYPART_ARC
(17,2),-0.177913 # DEPENDENCYPART_ARC
(17,3),-0.326679 # DEPENDENCYPART_ARC
(17,4),0.443005 # DEPENDENCYPART_ARC
(17,5),0.731218 # DEPENDENCYPART_ARC
(17,6),0.297116 # DEPENDENCYPART_ARC
(17,7),-0.411333 # DEPENDENCYPART_ARC
(17,8),-0.232348 # DEPENDENCYPART_ARC
(17,9),2.33699 # DEPENDENCYPART_ARC
(17,10),-0.463608 # DEPENDENCYPART_ARC
(17,11),0.97897 # DEPENDENCYPART_ARC
(17,12),0.0231826 # DEPENDENCYPART_ARC
(17,13),0.805646 # DEPENDENCYPART_ARC
(17,14),3.73806 # DEPENDENCYPART_ARC
(17,15),0.90415 # DEPENDENCYPART_ARC
(17,16),3.49403 # DEPENDENCYPART_ARC
(17,18),1.07956 # DEPENDENCYPART_ARC
(18,1),-3.67294 # DEPENDENCYPART_ARC
(18,2),-4.46411 # DEPENDENCYPART_ARC
(18,3),-3.37108 # DEPENDENCYPART_ARC
(18,4),-3.25289 # DEPENDENCYPART_ARC
(18,5),-3.05086 # DEPENDENCYPART_ARC
(18,6),-3.17205 # DEPENDENCYPART_ARC
(18,7),-3.22523 # DEPENDENCYPART_ARC
(18,8),-3.512 # DEPENDENCYPART_ARC
(18,9),-4.13386 # DEPENDENCYPART_ARC
(18,10),-3.41167 # DEPENDENCYPART_ARC
(18,11),-2.85906 # DEPENDENCYPART_ARC
(18,12),-2.85846 # DEPENDENCYPART_ARC
(18,13),-3.29904 # DEPENDENCYPART_ARC
(18,14),-3.73518 # DEPENDENCYPART_ARC
(18,15),-2.84339 # DEPENDENCYPART_ARC
(18,16),-2.48135 # DEPENDENCYPART_ARC
(18,17),-1.68031 # DEPENDENCYPART_ARC
