# _root_ De hogy az átütemezést valóban megkapja -e gazda , arról a bankok egyedileg döntenek , azaz a termelőknek a pénzintézetekkel kell megállapodniuk .
#goldHeads=16,14,4,6,6,10,6,6,14,14,12,14,14,16,16,0,18,21,20,22,16,21,16,
#predictedHeads=21,21,4,6,6,0,6,6,6,14,12,14,14,6,14,21,18,22,20,22,10,21,6,
(1,13),-1.43488 # DEPENDENCYPART_ARC
(1,14),-0.373596 # DEPENDENCYPART_ARC
(1,15),-0.0868223 # DEPENDENCYPART_ARC
(1,16),-0.792968 # DEPENDENCYPART_ARC
(1,17),-1.76577 # DEPENDENCYPART_ARC
(1,18),-1.98534 # DEPENDENCYPART_ARC
(1,19),-1.9192 # DEPENDENCYPART_ARC
(1,20),-2.36347 # DEPENDENCYPART_ARC
(1,21),-0.313528 # DEPENDENCYPART_ARC
(1,22),-0.906537 # DEPENDENCYPART_ARC
(1,23),1.71989 # DEPENDENCYPART_ARC
(2,1),1.10483 # DEPENDENCYPART_ARC
(2,3),-0.611256 # DEPENDENCYPART_ARC
(2,4),-0.589725 # DEPENDENCYPART_ARC
(2,5),-0.153484 # DEPENDENCYPART_ARC
(2,6),0.578231 # DEPENDENCYPART_ARC
(2,7),-0.416229 # DEPENDENCYPART_ARC
(2,8),-0.908861 # DEPENDENCYPART_ARC
(2,9),0.512599 # DEPENDENCYPART_ARC
(2,10),-1.14383 # DEPENDENCYPART_ARC
(2,11),-1.22945 # DEPENDENCYPART_ARC
(2,12),-1.26931 # DEPENDENCYPART_ARC
(2,13),-0.817446 # DEPENDENCYPART_ARC
(2,14),0.0838834 # DEPENDENCYPART_ARC
(2,15),-0.0402864 # DEPENDENCYPART_ARC
(2,16),-0.179289 # DEPENDENCYPART_ARC
(2,17),-1.47443 # DEPENDENCYPART_ARC
(2,18),-1.94782 # DEPENDENCYPART_ARC
(2,19),-1.50523 # DEPENDENCYPART_ARC
(2,20),-2.37743 # DEPENDENCYPART_ARC
(2,21),-0.110696 # DEPENDENCYPART_ARC
(2,22),-0.666877 # DEPENDENCYPART_ARC
(2,23),1.34663 # DEPENDENCYPART_ARC
(3,1),-1.48025 # DEPENDENCYPART_ARC
(3,2),-0.822137 # DEPENDENCYPART_ARC
(3,4),-0.339618 # DEPENDENCYPART_ARC
(3,5),-0.504909 # DEPENDENCYPART_ARC
(3,6),-0.802253 # DEPENDENCYPART_ARC
(3,7),-0.794557 # DEPENDENCYPART_ARC
(3,8),-1.07245 # DEPENDENCYPART_ARC
(3,9),-0.389442 # DEPENDENCYPART_ARC
(3,10),-1.24227 # DEPENDENCYPART_ARC
(3,11),-0.949808 # DEPENDENCYPART_ARC
(3,12),-1.49704 # DEPENDENCYPART_ARC
(3,13),-1.32905 # DEPENDENCYPART_ARC
(3,14),-1.12861 # DEPENDENCYPART_ARC
(3,15),-0.585832 # DEPENDENCYPART_ARC
(3,16),-1.14013 # DEPENDENCYPART_ARC
(3,17),-1.07195 # DEPENDENCYPART_ARC
(3,18),-2.00105 # DEPENDENCYPART_ARC
(3,19),-1.05843 # DEPENDENCYPART_ARC
(3,20),-2.06577 # DEPENDENCYPART_ARC
(3,21),-1.38526 # DEPENDENCYPART_ARC
(3,22),-0.916182 # DEPENDENCYPART_ARC
(3,23),-1.48859 # DEPENDENCYPART_ARC
(4,1),-0.573138 # DEPENDENCYPART_ARC
(4,2),-0.492391 # DEPENDENCYPART_ARC
(4,3),3.33871 # DEPENDENCYPART_ARC
(4,5),-0.681805 # DEPENDENCYPART_ARC
(4,6),-0.548154 # DEPENDENCYPART_ARC
(4,7),-0.734108 # DEPENDENCYPART_ARC
(4,8),-1.46821 # DEPENDENCYPART_ARC
(4,9),-0.199879 # DEPENDENCYPART_ARC
(4,10),-1.87869 # DEPENDENCYPART_ARC
(4,11),-1.14186 # DEPENDENCYPART_ARC
(4,12),-2.02866 # DEPENDENCYPART_ARC
(4,13),-1.62584 # DEPENDENCYPART_ARC
(4,14),-1.0749 # DEPENDENCYPART_ARC
(4,15),-0.545327 # DEPENDENCYPART_ARC
(4,16),-0.761322 # DEPENDENCYPART_ARC
(4,17),-1.38276 # DEPENDENCYPART_ARC
(4,18),-2.96955 # DEPENDENCYPART_ARC
(4,19),-1.37944 # DEPENDENCYPART_ARC
(4,20),-2.62717 # DEPENDENCYPART_ARC
(4,21),-1.2076 # DEPENDENCYPART_ARC
(4,22),-1.46113 # DEPENDENCYPART_ARC
(4,23),0.713463 # DEPENDENCYPART_ARC
(5,1),-0.393101 # DEPENDENCYPART_ARC
(5,2),-0.313192 # DEPENDENCYPART_ARC
(5,3),-0.243182 # DEPENDENCYPART_ARC
(5,4),0.344649 # DEPENDENCYPART_ARC
(5,6),0.0362234 # DEPENDENCYPART_ARC
(5,7),-0.57985 # DEPENDENCYPART_ARC
(5,8),-0.577761 # DEPENDENCYPART_ARC
(5,9),-0.217624 # DEPENDENCYPART_ARC
(5,10),-0.991065 # DEPENDENCYPART_ARC
(5,11),-1.0663 # DEPENDENCYPART_ARC
(5,12),-1.26887 # DEPENDENCYPART_ARC
(5,13),-1.14044 # DEPENDENCYPART_ARC
(5,14),-0.529111 # DEPENDENCYPART_ARC
(5,15),-0.657135 # DEPENDENCYPART_ARC
(5,16),-0.645958 # DEPENDENCYPART_ARC
(5,17),-1.26225 # DEPENDENCYPART_ARC
(5,18),-1.75141 # DEPENDENCYPART_ARC
(5,19),-1.29658 # DEPENDENCYPART_ARC
(5,20),-1.85947 # DEPENDENCYPART_ARC
(5,21),-0.860129 # DEPENDENCYPART_ARC
(5,22),-0.904333 # DEPENDENCYPART_ARC
(5,23),0.0274462 # DEPENDENCYPART_ARC
(6,1),1.06179 # DEPENDENCYPART_ARC
(6,2),0.342586 # DEPENDENCYPART_ARC
(6,3),-1.06507 # DEPENDENCYPART_ARC
(6,4),2.23865 # DEPENDENCYPART_ARC
(6,5),2.55832 # DEPENDENCYPART_ARC
(6,7),2.98836 # DEPENDENCYPART_ARC
(6,8),2.9678 # DEPENDENCYPART_ARC
(6,9),1.95472 # DEPENDENCYPART_ARC
(6,10),0.00883187 # DEPENDENCYPART_ARC
(6,11),-0.417894 # DEPENDENCYPART_ARC
(6,12),-0.752475 # DEPENDENCYPART_ARC
(6,13),0.440515 # DEPENDENCYPART_ARC
(6,14),1.50128 # DEPENDENCYPART_ARC
(6,15),1.5773 # DEPENDENCYPART_ARC
(6,16),1.04308 # DEPENDENCYPART_ARC
(6,17),-0.753522 # DEPENDENCYPART_ARC
(6,18),-0.680528 # DEPENDENCYPART_ARC
(6,19),-0.854304 # DEPENDENCYPART_ARC
(6,20),-2.03354 # DEPENDENCYPART_ARC
(6,21),1.20553 # DEPENDENCYPART_ARC
(6,22),2.5347 # DEPENDENCYPART_ARC
(6,23),2.9114 # DEPENDENCYPART_ARC
(7,1),-0.358519 # DEPENDENCYPART_ARC
(7,2),-0.669729 # DEPENDENCYPART_ARC
(7,3),-0.932204 # DEPENDENCYPART_ARC
(7,4),-0.216586 # DEPENDENCYPART_ARC
(7,5),-0.133344 # DEPENDENCYPART_ARC
(7,6),0.0553883 # DEPENDENCYPART_ARC
(7,8),-0.502211 # DEPENDENCYPART_ARC
(7,9),-0.45167 # DEPENDENCYPART_ARC
(7,10),-1.10318 # DEPENDENCYPART_ARC
(7,11),-1.23635 # DEPENDENCYPART_ARC
(7,12),-1.20342 # DEPENDENCYPART_ARC
(7,13),-1.24518 # DEPENDENCYPART_ARC
(7,14),-0.471527 # DEPENDENCYPART_ARC
(7,15),-0.873176 # DEPENDENCYPART_ARC
(7,16),-0.814688 # DEPENDENCYPART_ARC
(7,17),-1.46425 # DEPENDENCYPART_ARC
(7,18),-2.25514 # DEPENDENCYPART_ARC
(7,19),-1.60456 # DEPENDENCYPART_ARC
(7,20),-2.39288 # DEPENDENCYPART_ARC
(7,21),-1.09985 # DEPENDENCYPART_ARC
(7,22),-1.13329 # DEPENDENCYPART_ARC
(7,23),0.0503659 # DEPENDENCYPART_ARC
(8,1),-0.382205 # DEPENDENCYPART_ARC
(8,2),-0.656949 # DEPENDENCYPART_ARC
(8,3),0.211315 # DEPENDENCYPART_ARC
(8,4),-3.32993 # DEPENDENCYPART_ARC
(8,5),0.0131379 # DEPENDENCYPART_ARC
(8,6),0.31282 # DEPENDENCYPART_ARC
(8,7),1.0447 # DEPENDENCYPART_ARC
(8,9),1.0668 # DEPENDENCYPART_ARC
(8,10),-0.365333 # DEPENDENCYPART_ARC
(8,11),0.0325742 # DEPENDENCYPART_ARC
(8,12),0.0589468 # DEPENDENCYPART_ARC
(8,13),-0.176596 # DEPENDENCYPART_ARC
(8,14),0.882049 # DEPENDENCYPART_ARC
(8,15),0.587456 # DEPENDENCYPART_ARC
(8,16),0.311541 # DEPENDENCYPART_ARC
(8,17),-0.293919 # DEPENDENCYPART_ARC
(8,18),-1.6022 # DEPENDENCYPART_ARC
(8,19),-0.411293 # DEPENDENCYPART_ARC
(8,20),-1.55624 # DEPENDENCYPART_ARC
(8,21),0.110291 # DEPENDENCYPART_ARC
(8,22),0.295075 # DEPENDENCYPART_ARC
(8,23),2.03085 # DEPENDENCYPART_ARC
(9,1),-1.80796 # DEPENDENCYPART_ARC
(9,2),-1.7693 # DEPENDENCYPART_ARC
(9,3),-1.86012 # DEPENDENCYPART_ARC
(9,4),-2.76748 # DEPENDENCYPART_ARC
(9,5),-1.7174 # DEPENDENCYPART_ARC
(9,6),-1.57386 # DEPENDENCYPART_ARC
(9,7),-1.16873 # DEPENDENCYPART_ARC
(9,8),-1.46252 # DEPENDENCYPART_ARC
(9,10),-1.05284 # DEPENDENCYPART_ARC
(9,11),-1.13068 # DEPENDENCYPART_ARC
(9,12),-1.83786 # DEPENDENCYPART_ARC
(9,13),-1.35711 # DEPENDENCYPART_ARC
(9,14),-1.35014 # DEPENDENCYPART_ARC
(9,15),-1.03363 # DEPENDENCYPART_ARC
(9,16),-1.11517 # DEPENDENCYPART_ARC
(9,17),-1.49878 # DEPENDENCYPART_ARC
(9,18),-2.37457 # DEPENDENCYPART_ARC
(9,19),-1.50272 # DEPENDENCYPART_ARC
(9,20),-2.58861 # DEPENDENCYPART_ARC
(9,21),-1.684 # DEPENDENCYPART_ARC
(9,22),-1.6622 # DEPENDENCYPART_ARC
(9,23),-1.38162 # DEPENDENCYPART_ARC
(10,1),0.240749 # DEPENDENCYPART_ARC
(10,2),-0.0673806 # DEPENDENCYPART_ARC
(10,3),-0.000159629 # DEPENDENCYPART_ARC
(10,4),-0.709109 # DEPENDENCYPART_ARC
(10,5),0.234936 # DEPENDENCYPART_ARC
(10,6),1.02907 # DEPENDENCYPART_ARC
(10,7),0.769463 # DEPENDENCYPART_ARC
(10,8),0.0929186 # DEPENDENCYPART_ARC
(10,9),0.164176 # DEPENDENCYPART_ARC
(10,11),-0.137133 # DEPENDENCYPART_ARC
(10,12),1.07018 # DEPENDENCYPART_ARC
(10,13),0.344087 # DEPENDENCYPART_ARC
(10,14),1.60279 # DEPENDENCYPART_ARC
(10,15),0.845542 # DEPENDENCYPART_ARC
(10,16),1.02474 # DEPENDENCYPART_ARC
(10,17),-0.255793 # DEPENDENCYPART_ARC
(10,18),0.240037 # DEPENDENCYPART_ARC
(10,19),-0.353666 # DEPENDENCYPART_ARC
(10,20),-0.175482 # DEPENDENCYPART_ARC
(10,21),1.66382 # DEPENDENCYPART_ARC
(10,22),0.842474 # DEPENDENCYPART_ARC
(10,23),0.96517 # DEPENDENCYPART_ARC
(11,1),-1.55639 # DEPENDENCYPART_ARC
(11,2),-1.52994 # DEPENDENCYPART_ARC
(11,3),-1.63041 # DEPENDENCYPART_ARC
(11,4),-2.78893 # DEPENDENCYPART_ARC
(11,5),-1.70369 # DEPENDENCYPART_ARC
(11,6),-1.83611 # DEPENDENCYPART_ARC
(11,7),-1.198 # DEPENDENCYPART_ARC
(11,8),-2.1004 # DEPENDENCYPART_ARC
(11,9),-0.997405 # DEPENDENCYPART_ARC
(11,10),-0.669428 # DEPENDENCYPART_ARC
(11,12),-0.250755 # DEPENDENCYPART_ARC
(11,13),-0.324416 # DEPENDENCYPART_ARC
(11,14),-0.944 # DEPENDENCYPART_ARC
(11,15),-0.372327 # DEPENDENCYPART_ARC
(11,16),-0.891662 # DEPENDENCYPART_ARC
(11,17),-0.936635 # DEPENDENCYPART_ARC
(11,18),-1.58604 # DEPENDENCYPART_ARC
(11,19),-1.01637 # DEPENDENCYPART_ARC
(11,20),-1.73246 # DEPENDENCYPART_ARC
(11,21),-1.40319 # DEPENDENCYPART_ARC
(11,22),-1.37056 # DEPENDENCYPART_ARC
(11,23),-1.5323 # DEPENDENCYPART_ARC
(12,1),-1.43408 # DEPENDENCYPART_ARC
(12,2),-1.77988 # DEPENDENCYPART_ARC
(12,3),-0.372658 # DEPENDENCYPART_ARC
(12,4),-4.47691 # DEPENDENCYPART_ARC
(12,5),-1.09649 # DEPENDENCYPART_ARC
(12,6),-1.92285 # DEPENDENCYPART_ARC
(12,7),-0.764595 # DEPENDENCYPART_ARC
(12,8),-1.69618 # DEPENDENCYPART_ARC
(12,9),-0.572111 # DEPENDENCYPART_ARC
(12,10),-0.214018 # DEPENDENCYPART_ARC
(12,11),3.51156 # DEPENDENCYPART_ARC
(12,13),-0.519555 # DEPENDENCYPART_ARC
(12,14),-0.323688 # DEPENDENCYPART_ARC
(12,15),-0.24834 # DEPENDENCYPART_ARC
(12,16),-0.643301 # DEPENDENCYPART_ARC
(12,17),-1.18735 # DEPENDENCYPART_ARC
(12,18),-2.11483 # DEPENDENCYPART_ARC
(12,19),-1.23994 # DEPENDENCYPART_ARC
(12,20),-2.04349 # DEPENDENCYPART_ARC
(12,21),-1.11423 # DEPENDENCYPART_ARC
(12,22),-0.977101 # DEPENDENCYPART_ARC
(12,23),0.38931 # DEPENDENCYPART_ARC
(13,1),-0.74171 # DEPENDENCYPART_ARC
(13,2),-0.60227 # DEPENDENCYPART_ARC
(13,3),-0.830362 # DEPENDENCYPART_ARC
(13,4),-1.26183 # DEPENDENCYPART_ARC
(13,5),-0.691982 # DEPENDENCYPART_ARC
(13,6),-1.04646 # DEPENDENCYPART_ARC
(13,7),-0.0616591 # DEPENDENCYPART_ARC
(13,8),-1.75938 # DEPENDENCYPART_ARC
(13,9),-0.29127 # DEPENDENCYPART_ARC
(13,10),0.0895266 # DEPENDENCYPART_ARC
(13,11),0.774707 # DEPENDENCYPART_ARC
(13,12),0.174458 # DEPENDENCYPART_ARC
(13,14),-0.395491 # DEPENDENCYPART_ARC
(13,15),-0.343132 # DEPENDENCYPART_ARC
(13,16),-0.554897 # DEPENDENCYPART_ARC
(13,17),-1.12063 # DEPENDENCYPART_ARC
(13,18),-1.57354 # DEPENDENCYPART_ARC
(13,19),-1.18346 # DEPENDENCYPART_ARC
(13,20),-1.93961 # DEPENDENCYPART_ARC
(13,21),-1.13283 # DEPENDENCYPART_ARC
(13,22),-0.973891 # DEPENDENCYPART_ARC
(13,23),0.651596 # DEPENDENCYPART_ARC
(14,1),1.35745 # DEPENDENCYPART_ARC
(14,2),1.09603 # DEPENDENCYPART_ARC
(14,3),-0.478592 # DEPENDENCYPART_ARC
(14,4),0.333054 # DEPENDENCYPART_ARC
(14,5),0.819552 # DEPENDENCYPART_ARC
(14,6),0.503357 # DEPENDENCYPART_ARC
(14,7),0.832123 # DEPENDENCYPART_ARC
(14,8),0.0250493 # DEPENDENCYPART_ARC
(14,9),0.678486 # DEPENDENCYPART_ARC
(14,10),2.4842 # DEPENDENCYPART_ARC
(14,11),0.260124 # DEPENDENCYPART_ARC
(14,12),2.70082 # DEPENDENCYPART_ARC
(14,13),3.53989 # DEPENDENCYPART_ARC
(14,15),2.02922 # DEPENDENCYPART_ARC
(14,16),1.28847 # DEPENDENCYPART_ARC
(14,17),-0.285683 # DEPENDENCYPART_ARC
(14,18),0.59688 # DEPENDENCYPART_ARC
(14,19),-0.458254 # DEPENDENCYPART_ARC
(14,20),-0.891021 # DEPENDENCYPART_ARC
(14,21),1.36604 # DEPENDENCYPART_ARC
(14,22),2.90089 # DEPENDENCYPART_ARC
(14,23),2.49086 # DEPENDENCYPART_ARC
(15,1),-2.65982 # DEPENDENCYPART_ARC
(15,2),-2.61863 # DEPENDENCYPART_ARC
(15,3),-2.67808 # DEPENDENCYPART_ARC
(15,4),-3.6434 # DEPENDENCYPART_ARC
(15,5),-2.74634 # DEPENDENCYPART_ARC
(15,6),-2.93259 # DEPENDENCYPART_ARC
(15,7),-2.60673 # DEPENDENCYPART_ARC
(15,8),-3.40015 # DEPENDENCYPART_ARC
(15,9),-2.2203 # DEPENDENCYPART_ARC
(15,10),-2.60506 # DEPENDENCYPART_ARC
(15,11),-2.29109 # DEPENDENCYPART_ARC
(15,12),-2.82797 # DEPENDENCYPART_ARC
(15,13),-2.20281 # DEPENDENCYPART_ARC
(15,14),-1.23723 # DEPENDENCYPART_ARC
(15,16),-1.09651 # DEPENDENCYPART_ARC
(15,17),-1.40926 # DEPENDENCYPART_ARC
(15,18),-2.05506 # DEPENDENCYPART_ARC
(15,19),-1.58266 # DEPENDENCYPART_ARC
(15,20),-2.31271 # DEPENDENCYPART_ARC
(15,21),-1.66608 # DEPENDENCYPART_ARC
(15,22),-1.72028 # DEPENDENCYPART_ARC
(15,23),-1.50941 # DEPENDENCYPART_ARC
(16,1),0.510372 # DEPENDENCYPART_ARC
(16,2),-0.265429 # DEPENDENCYPART_ARC
(16,3),-1.04302 # DEPENDENCYPART_ARC
(16,4),-1.27482 # DEPENDENCYPART_ARC
(16,5),-0.808747 # DEPENDENCYPART_ARC
(16,6),0.414837 # DEPENDENCYPART_ARC
(16,7),-0.647863 # DEPENDENCYPART_ARC
(16,8),-0.92543 # DEPENDENCYPART_ARC
(16,9),-0.387336 # DEPENDENCYPART_ARC
(16,10),-1.17343 # DEPENDENCYPART_ARC
(16,11),-1.00209 # DEPENDENCYPART_ARC
(16,12),-0.50062 # DEPENDENCYPART_ARC
(16,13),-0.415584 # DEPENDENCYPART_ARC
(16,14),1.53685 # DEPENDENCYPART_ARC
(16,15),0.971031 # DEPENDENCYPART_ARC
(16,17),-0.304144 # DEPENDENCYPART_ARC
(16,18),0.108835 # DEPENDENCYPART_ARC
(16,19),-0.447005 # DEPENDENCYPART_ARC
(16,20),-0.564444 # DEPENDENCYPART_ARC
(16,21),1.02594 # DEPENDENCYPART_ARC
(16,22),0.401504 # DEPENDENCYPART_ARC
(16,23),1.76145 # DEPENDENCYPART_ARC
(17,1),-1.76224 # DEPENDENCYPART_ARC
(17,2),-1.74686 # DEPENDENCYPART_ARC
(17,3),-1.70173 # DEPENDENCYPART_ARC
(17,4),-2.97624 # DEPENDENCYPART_ARC
(17,5),-1.91449 # DEPENDENCYPART_ARC
(17,6),-2.22839 # DEPENDENCYPART_ARC
(17,7),-1.7222 # DEPENDENCYPART_ARC
(17,8),-2.78402 # DEPENDENCYPART_ARC
(17,9),-1.16542 # DEPENDENCYPART_ARC
(17,10),-2.22478 # DEPENDENCYPART_ARC
(17,11),-1.36199 # DEPENDENCYPART_ARC
(17,12),-2.41499 # DEPENDENCYPART_ARC
(17,13),-1.36528 # DEPENDENCYPART_ARC
(17,14),-1.32106 # DEPENDENCYPART_ARC
(17,15),-0.601597 # DEPENDENCYPART_ARC
(17,16),0.0848624 # DEPENDENCYPART_ARC
(17,18),-0.335606 # DEPENDENCYPART_ARC
(17,19),-0.482184 # DEPENDENCYPART_ARC
(17,20),-1.00625 # DEPENDENCYPART_ARC
(17,21),-0.962862 # DEPENDENCYPART_ARC
(17,22),-0.997514 # DEPENDENCYPART_ARC
(17,23),-1.06426 # DEPENDENCYPART_ARC
(18,1),-2.14202 # DEPENDENCYPART_ARC
(18,2),-2.7624 # DEPENDENCYPART_ARC
(18,3),-1.87837 # DEPENDENCYPART_ARC
(18,4),-5.45364 # DEPENDENCYPART_ARC
(18,5),-2.04657 # DEPENDENCYPART_ARC
(18,6),-3.36219 # DEPENDENCYPART_ARC
(18,7),-2.09991 # DEPENDENCYPART_ARC
(18,8),-4.40023 # DEPENDENCYPART_ARC
(18,9),-2.51207 # DEPENDENCYPART_ARC
(18,10),-1.97872 # DEPENDENCYPART_ARC
(18,11),-0.719017 # DEPENDENCYPART_ARC
(18,12),-3.37359 # DEPENDENCYPART_ARC
(18,13),-3.45792 # DEPENDENCYPART_ARC
(18,14),-2.77441 # DEPENDENCYPART_ARC
(18,15),-0.873788 # DEPENDENCYPART_ARC
(18,16),-0.443513 # DEPENDENCYPART_ARC
(18,17),3.29566 # DEPENDENCYPART_ARC
(18,19),-0.577491 # DEPENDENCYPART_ARC
(18,20),-0.376682 # DEPENDENCYPART_ARC
(18,21),-0.680492 # DEPENDENCYPART_ARC
(18,22),-0.911998 # DEPENDENCYPART_ARC
(18,23),0.209339 # DEPENDENCYPART_ARC
(19,1),-1.96239 # DEPENDENCYPART_ARC
(19,2),-1.9071 # DEPENDENCYPART_ARC
(19,3),-1.98148 # DEPENDENCYPART_ARC
(19,4),-3.30647 # DEPENDENCYPART_ARC
(19,5),-2.13712 # DEPENDENCYPART_ARC
(19,6),-2.44556 # DEPENDENCYPART_ARC
(19,7),-2.01825 # DEPENDENCYPART_ARC
(19,8),-3.1539 # DEPENDENCYPART_ARC
(19,9),-1.44929 # DEPENDENCYPART_ARC
(19,10),-2.48667 # DEPENDENCYPART_ARC
(19,11),-1.66612 # DEPENDENCYPART_ARC
(19,12),-2.79044 # DEPENDENCYPART_ARC
(19,13),-1.76114 # DEPENDENCYPART_ARC
(19,14),-1.85787 # DEPENDENCYPART_ARC
(19,15),-0.919138 # DEPENDENCYPART_ARC
(19,16),-0.800467 # DEPENDENCYPART_ARC
(19,17),-0.657418 # DEPENDENCYPART_ARC
(19,18),-1.16047 # DEPENDENCYPART_ARC
(19,20),-0.555909 # DEPENDENCYPART_ARC
(19,21),-0.819533 # DEPENDENCYPART_ARC
(19,22),-0.956702 # DEPENDENCYPART_ARC
(19,23),-1.12187 # DEPENDENCYPART_ARC
(20,1),-2.2461 # DEPENDENCYPART_ARC
(20,2),-2.6543 # DEPENDENCYPART_ARC
(20,3),-2.81961 # DEPENDENCYPART_ARC
(20,4),-6.00611 # DEPENDENCYPART_ARC
(20,5),-1.91438 # DEPENDENCYPART_ARC
(20,6),-3.21846 # DEPENDENCYPART_ARC
(20,7),-1.92996 # DEPENDENCYPART_ARC
(20,8),-4.69463 # DEPENDENCYPART_ARC
(20,9),-2.78297 # DEPENDENCYPART_ARC
(20,10),-1.77727 # DEPENDENCYPART_ARC
(20,11),-1.80052 # DEPENDENCYPART_ARC
(20,12),-3.69445 # DEPENDENCYPART_ARC
(20,13),-4.12968 # DEPENDENCYPART_ARC
(20,14),-2.92477 # DEPENDENCYPART_ARC
(20,15),-1.29459 # DEPENDENCYPART_ARC
(20,16),-0.857022 # DEPENDENCYPART_ARC
(20,17),0.526796 # DEPENDENCYPART_ARC
(20,18),-1.33959 # DEPENDENCYPART_ARC
(20,19),2.82283 # DEPENDENCYPART_ARC
(20,21),-1.05846 # DEPENDENCYPART_ARC
(20,22),-1.54814 # DEPENDENCYPART_ARC
(20,23),-0.484309 # DEPENDENCYPART_ARC
(21,1),1.39265 # DEPENDENCYPART_ARC
(21,2),1.15312 # DEPENDENCYPART_ARC
(21,3),-1.73451 # DEPENDENCYPART_ARC
(21,4),-1.8366 # DEPENDENCYPART_ARC
(21,5),0.0787834 # DEPENDENCYPART_ARC
(21,6),-0.5981 # DEPENDENCYPART_ARC
(21,7),-0.809936 # DEPENDENCYPART_ARC
(21,8),-1.71677 # DEPENDENCYPART_ARC
(21,9),0.150982 # DEPENDENCYPART_ARC
(21,10),0.433033 # DEPENDENCYPART_ARC
(21,11),-1.63909 # DEPENDENCYPART_ARC
(21,12),-0.63574 # DEPENDENCYPART_ARC
(21,13),0.599787 # DEPENDENCYPART_ARC
(21,14),-0.522566 # DEPENDENCYPART_ARC
(21,15),0.545916 # DEPENDENCYPART_ARC
(21,16),1.40646 # DEPENDENCYPART_ARC
(21,17),-1.04622 # DEPENDENCYPART_ARC
(21,18),1.58562 # DEPENDENCYPART_ARC
(21,19),-0.532374 # DEPENDENCYPART_ARC
(21,20),1.17626 # DEPENDENCYPART_ARC
(21,22),5.5284 # DEPENDENCYPART_ARC
(21,23),2.07977 # DEPENDENCYPART_ARC
(22,1),0.56125 # DEPENDENCYPART_ARC
(22,2),0.522861 # DEPENDENCYPART_ARC
(22,3),-0.728103 # DEPENDENCYPART_ARC
(22,4),0.407271 # DEPENDENCYPART_ARC
(22,5),0.221734 # DEPENDENCYPART_ARC
(22,6),-0.565072 # DEPENDENCYPART_ARC
(22,7),-0.191101 # DEPENDENCYPART_ARC
(22,8),-1.82703 # DEPENDENCYPART_ARC
(22,9),0.269327 # DEPENDENCYPART_ARC
(22,10),1.22191 # DEPENDENCYPART_ARC
(22,11),-0.766048 # DEPENDENCYPART_ARC
(22,12),-0.463767 # DEPENDENCYPART_ARC
(22,13),2.20088 # DEPENDENCYPART_ARC
(22,14),-0.369993 # DEPENDENCYPART_ARC
(22,15),0.615077 # DEPENDENCYPART_ARC
(22,16),1.10034 # DEPENDENCYPART_ARC
(22,17),-0.585021 # DEPENDENCYPART_ARC
(22,18),2.30064 # DEPENDENCYPART_ARC
(22,19),-0.26597 # DEPENDENCYPART_ARC
(22,20),3.9464 # DEPENDENCYPART_ARC
(22,21),1.50032 # DEPENDENCYPART_ARC
(22,23),0.716133 # DEPENDENCYPART_ARC
(23,1),-3.70437 # DEPENDENCYPART_ARC
