# _root_ Amikor Freit megválasztottuk , sokkal erőteljesebben felléphetett volna a hadsereggel és Pinochettel szemben , hiszen ma a demokrácia már nincs veszélyben .
#goldHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
#predictedHeads=3,3,7,3,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
(12,5),-0.71761 # DEPENDENCYPART_ARC
(12,6),-3.03185 # DEPENDENCYPART_ARC
(12,7),-1.67806 # DEPENDENCYPART_ARC
(12,8),-1.58729 # DEPENDENCYPART_ARC
(12,9),1.30877 # DEPENDENCYPART_ARC
(12,10),0.224501 # DEPENDENCYPART_ARC
(12,11),1.08233 # DEPENDENCYPART_ARC
(12,13),-0.106547 # DEPENDENCYPART_ARC
(12,14),-0.517996 # DEPENDENCYPART_ARC
(12,15),-0.665852 # DEPENDENCYPART_ARC
(12,16),-0.936949 # DEPENDENCYPART_ARC
(12,17),-1.28399 # DEPENDENCYPART_ARC
(12,18),-2.16112 # DEPENDENCYPART_ARC
(12,19),-1.05498 # DEPENDENCYPART_ARC
(12,20),-1.28926 # DEPENDENCYPART_ARC
(12,21),-2.70086 # DEPENDENCYPART_ARC
(12,22),-0.403641 # DEPENDENCYPART_ARC
(13,1),-0.586116 # DEPENDENCYPART_ARC
(13,2),-0.495509 # DEPENDENCYPART_ARC
(13,3),-0.79353 # DEPENDENCYPART_ARC
(13,4),-0.237599 # DEPENDENCYPART_ARC
(13,5),-0.284236 # DEPENDENCYPART_ARC
(13,6),-0.390962 # DEPENDENCYPART_ARC
(13,7),-0.51984 # DEPENDENCYPART_ARC
(13,8),-0.0820002 # DEPENDENCYPART_ARC
(13,9),0.363541 # DEPENDENCYPART_ARC
(13,10),1.88592 # DEPENDENCYPART_ARC
(13,11),2.35458 # DEPENDENCYPART_ARC
(13,12),4.19236 # DEPENDENCYPART_ARC
(13,14),0.507178 # DEPENDENCYPART_ARC
(13,15),-0.0346088 # DEPENDENCYPART_ARC
(13,16),-0.014706 # DEPENDENCYPART_ARC
(13,17),-0.216893 # DEPENDENCYPART_ARC
(13,18),-0.34242 # DEPENDENCYPART_ARC
(13,19),0.00520511 # DEPENDENCYPART_ARC
(13,20),0.165659 # DEPENDENCYPART_ARC
(13,21),-0.764394 # DEPENDENCYPART_ARC
(13,22),0.560482 # DEPENDENCYPART_ARC
(14,1),-2.54069 # DEPENDENCYPART_ARC
(14,2),-3.33328 # DEPENDENCYPART_ARC
(14,3),-2.73378 # DEPENDENCYPART_ARC
(14,4),-2.16159 # DEPENDENCYPART_ARC
(14,5),-2.40493 # DEPENDENCYPART_ARC
(14,6),-2.69223 # DEPENDENCYPART_ARC
(14,7),-2.51874 # DEPENDENCYPART_ARC
(14,8),-2.18462 # DEPENDENCYPART_ARC
(14,9),-1.85723 # DEPENDENCYPART_ARC
(14,10),-2.5276 # DEPENDENCYPART_ARC
(14,11),-1.44504 # DEPENDENCYPART_ARC
(14,12),-2.06106 # DEPENDENCYPART_ARC
(14,13),-0.894389 # DEPENDENCYPART_ARC
(14,15),-0.969231 # DEPENDENCYPART_ARC
(14,16),-1.26866 # DEPENDENCYPART_ARC
(14,17),-1.37131 # DEPENDENCYPART_ARC
(14,18),-2.0264 # DEPENDENCYPART_ARC
(14,19),-1.54042 # DEPENDENCYPART_ARC
(14,20),-1.52723 # DEPENDENCYPART_ARC
(14,21),-2.39364 # DEPENDENCYPART_ARC
(14,22),-1.44492 # DEPENDENCYPART_ARC
(15,1),-0.465641 # DEPENDENCYPART_ARC
(15,2),-0.762404 # DEPENDENCYPART_ARC
(15,3),0.935155 # DEPENDENCYPART_ARC
(15,4),0.802695 # DEPENDENCYPART_ARC
(15,5),-0.261128 # DEPENDENCYPART_ARC
(15,6),0.102001 # DEPENDENCYPART_ARC
(15,7),1.37095 # DEPENDENCYPART_ARC
(15,8),1.36017 # DEPENDENCYPART_ARC
(15,9),-0.343747 # DEPENDENCYPART_ARC
(15,10),-0.391781 # DEPENDENCYPART_ARC
(15,11),0.535158 # DEPENDENCYPART_ARC
(15,12),0.251423 # DEPENDENCYPART_ARC
(15,13),0.406144 # DEPENDENCYPART_ARC
(15,14),2.09384 # DEPENDENCYPART_ARC
(15,16),0.221729 # DEPENDENCYPART_ARC
(15,17),-0.257296 # DEPENDENCYPART_ARC
(15,18),-0.50577 # DEPENDENCYPART_ARC
(15,19),0.131761 # DEPENDENCYPART_ARC
(15,20),1.75174 # DEPENDENCYPART_ARC
(15,21),-0.878448 # DEPENDENCYPART_ARC
(15,22),3.4573 # DEPENDENCYPART_ARC
(16,1),-1.06249 # DEPENDENCYPART_ARC
(16,2),-1.16626 # DEPENDENCYPART_ARC
(16,3),-1.02921 # DEPENDENCYPART_ARC
(16,4),-0.932878 # DEPENDENCYPART_ARC
(16,5),-0.6025 # DEPENDENCYPART_ARC
(16,6),-0.958259 # DEPENDENCYPART_ARC
(16,7),-0.857959 # DEPENDENCYPART_ARC
(16,8),-0.701682 # DEPENDENCYPART_ARC
(16,9),-0.704811 # DEPENDENCYPART_ARC
(16,10),-0.470987 # DEPENDENCYPART_ARC
(16,11),-0.428202 # DEPENDENCYPART_ARC
(16,12),-0.295032 # DEPENDENCYPART_ARC
(16,13),0.0949435 # DEPENDENCYPART_ARC
(16,14),-0.00243784 # DEPENDENCYPART_ARC
(16,15),0.321326 # DEPENDENCYPART_ARC
(16,17),-0.490941 # DEPENDENCYPART_ARC
(16,18),0.0664991 # DEPENDENCYPART_ARC
(16,19),-0.15247 # DEPENDENCYPART_ARC
(16,20),-0.0102925 # DEPENDENCYPART_ARC
(16,21),-0.483118 # DEPENDENCYPART_ARC
(16,22),0.188677 # DEPENDENCYPART_ARC
(17,1),-2.45019 # DEPENDENCYPART_ARC
(17,2),-3.3242 # DEPENDENCYPART_ARC
(17,3),-2.7175 # DEPENDENCYPART_ARC
(17,4),-1.68003 # DEPENDENCYPART_ARC
(17,5),-2.33766 # DEPENDENCYPART_ARC
(17,6),-2.16966 # DEPENDENCYPART_ARC
(17,7),-2.58547 # DEPENDENCYPART_ARC
(17,8),-2.27722 # DEPENDENCYPART_ARC
(17,9),-1.59615 # DEPENDENCYPART_ARC
(17,10),-2.77217 # DEPENDENCYPART_ARC
(17,11),-1.32508 # DEPENDENCYPART_ARC
(17,12),-2.60659 # DEPENDENCYPART_ARC
(17,13),-1.43962 # DEPENDENCYPART_ARC
(17,14),-0.927575 # DEPENDENCYPART_ARC
(17,15),-1.08223 # DEPENDENCYPART_ARC
(17,16),-0.598393 # DEPENDENCYPART_ARC
(17,18),-0.447927 # DEPENDENCYPART_ARC
(17,19),-0.742204 # DEPENDENCYPART_ARC
(17,20),-1.10117 # DEPENDENCYPART_ARC
(17,21),-1.33584 # DEPENDENCYPART_ARC
(17,22),-1.52265 # DEPENDENCYPART_ARC
(18,1),-2.25549 # DEPENDENCYPART_ARC
(18,2),-5.43237 # DEPENDENCYPART_ARC
(18,3),-2.23358 # DEPENDENCYPART_ARC
(18,4),-2.59601 # DEPENDENCYPART_ARC
(18,5),-1.75528 # DEPENDENCYPART_ARC
(18,6),-5.4283 # DEPENDENCYPART_ARC
(18,7),-2.33551 # DEPENDENCYPART_ARC
(18,8),-2.63156 # DEPENDENCYPART_ARC
(18,9),-0.442595 # DEPENDENCYPART_ARC
(18,10),-2.95134 # DEPENDENCYPART_ARC
(18,11),-1.0813 # DEPENDENCYPART_ARC
(18,12),-3.18397 # DEPENDENCYPART_ARC
(18,13),-1.15201 # DEPENDENCYPART_ARC
(18,14),-0.893149 # DEPENDENCYPART_ARC
(18,15),-0.709902 # DEPENDENCYPART_ARC
(18,16),-0.302502 # DEPENDENCYPART_ARC
(18,17),3.37821 # DEPENDENCYPART_ARC
(18,19),-0.588477 # DEPENDENCYPART_ARC
(18,20),-0.251176 # DEPENDENCYPART_ARC
(18,21),-1.35891 # DEPENDENCYPART_ARC
(18,22),-0.33563 # DEPENDENCYPART_ARC
(19,1),-1.3068 # DEPENDENCYPART_ARC
(19,2),-1.19248 # DEPENDENCYPART_ARC
(19,3),-1.42677 # DEPENDENCYPART_ARC
(19,4),-1.00557 # DEPENDENCYPART_ARC
(19,5),-0.792308 # DEPENDENCYPART_ARC
(19,6),-1.14182 # DEPENDENCYPART_ARC
(19,7),-1.25784 # DEPENDENCYPART_ARC
(19,8),-1.06645 # DEPENDENCYPART_ARC
(19,9),-1.25575 # DEPENDENCYPART_ARC
(19,10),-0.66864 # DEPENDENCYPART_ARC
(19,11),-0.545902 # DEPENDENCYPART_ARC
(19,12),-0.773541 # DEPENDENCYPART_ARC
(19,13),-0.314793 # DEPENDENCYPART_ARC
(19,14),-0.469639 # DEPENDENCYPART_ARC
(19,15),-0.560925 # DEPENDENCYPART_ARC
(19,16),0.282132 # DEPENDENCYPART_ARC
(19,17),-0.235241 # DEPENDENCYPART_ARC
(19,18),0.430445 # DEPENDENCYPART_ARC
(19,20),0.103167 # DEPENDENCYPART_ARC
(19,21),-0.102927 # DEPENDENCYPART_ARC
(19,22),-0.314237 # DEPENDENCYPART_ARC
(20,1),0.245809 # DEPENDENCYPART_ARC
(20,2),-0.852221 # DEPENDENCYPART_ARC
(20,3),-0.0171727 # DEPENDENCYPART_ARC
(20,4),0.84453 # DEPENDENCYPART_ARC
(20,5),-1.04526 # DEPENDENCYPART_ARC
(20,6),0.853015 # DEPENDENCYPART_ARC
(20,7),0.0750582 # DEPENDENCYPART_ARC
(20,8),0.123814 # DEPENDENCYPART_ARC
(20,9),-0.863433 # DEPENDENCYPART_ARC
(20,10),-0.240031 # DEPENDENCYPART_ARC
(20,11),1.09955 # DEPENDENCYPART_ARC
(20,12),-0.542071 # DEPENDENCYPART_ARC
(20,13),0.753476 # DEPENDENCYPART_ARC
(20,14),1.50713 # DEPENDENCYPART_ARC
(20,15),1.06288 # DEPENDENCYPART_ARC
(20,16),2.33611 # DEPENDENCYPART_ARC
(20,17),-0.445456 # DEPENDENCYPART_ARC
(20,18),2.60684 # DEPENDENCYPART_ARC
(20,19),3.49199 # DEPENDENCYPART_ARC
(20,21),3.72158 # DEPENDENCYPART_ARC
(20,22),1.82972 # DEPENDENCYPART_ARC
(21,1),-1.7882 # DEPENDENCYPART_ARC
(21,2),-5.6126 # DEPENDENCYPART_ARC
(21,3),-2.28737 # DEPENDENCYPART_ARC
(21,4),-2.32006 # DEPENDENCYPART_ARC
(21,5),-1.36758 # DEPENDENCYPART_ARC
(21,6),-4.56795 # DEPENDENCYPART_ARC
(21,7),-2.84829 # DEPENDENCYPART_ARC
(21,8),-3.20659 # DEPENDENCYPART_ARC
(21,9),-1.35763 # DEPENDENCYPART_ARC
(21,10),-3.78467 # DEPENDENCYPART_ARC
(21,11),-1.12153 # DEPENDENCYPART_ARC
(21,12),-4.14514 # DEPENDENCYPART_ARC
(21,13),-1.1268 # DEPENDENCYPART_ARC
(21,14),-1.14828 # DEPENDENCYPART_ARC
(21,15),-0.672414 # DEPENDENCYPART_ARC
(21,16),-0.806371 # DEPENDENCYPART_ARC
(21,17),0.354114 # DEPENDENCYPART_ARC
(21,18),-2.10145 # DEPENDENCYPART_ARC
(21,19),-0.0681325 # DEPENDENCYPART_ARC
(21,20),-0.369984 # DEPENDENCYPART_ARC
(21,22),0.18099 # DEPENDENCYPART_ARC
(22,1),-3.58367 # DEPENDENCYPART_ARC
(22,2),-4.43739 # DEPENDENCYPART_ARC
(22,3),-3.45607 # DEPENDENCYPART_ARC
(22,4),-3.00182 # DEPENDENCYPART_ARC
(22,5),-3.25056 # DEPENDENCYPART_ARC
(22,6),-3.47383 # DEPENDENCYPART_ARC
(22,7),-3.40766 # DEPENDENCYPART_ARC
(22,8),-3.26416 # DEPENDENCYPART_ARC
(22,9),-2.99565 # DEPENDENCYPART_ARC
(22,10),-4.10664 # DEPENDENCYPART_ARC
(22,11),-2.8664 # DEPENDENCYPART_ARC
(22,12),-3.88699 # DEPENDENCYPART_ARC
(22,13),-2.8959 # DEPENDENCYPART_ARC
(22,14),-2.61017 # DEPENDENCYPART_ARC
(22,15),-2.64369 # DEPENDENCYPART_ARC
(22,16),-2.78027 # DEPENDENCYPART_ARC
(22,17),-2.80652 # DEPENDENCYPART_ARC
(22,18),-3.5222 # DEPENDENCYPART_ARC
(22,19),-2.35482 # DEPENDENCYPART_ARC
(22,20),-2.11681 # DEPENDENCYPART_ARC
(22,21),-2.41636 # DEPENDENCYPART_ARC
