# _root_ Az a kérdés , hogy sikerül -e az előtt tárgyalóasztalhoz ültetni Szlobodan_Milosevicset , hogy a jugoszláv hadsereg teljesen kiűzi az albánokat a tartományból .
#goldHeads=5,3,5,5,0,5,6,9,11,11,6,11,6,6,17,17,19,19,6,21,19,23,19,5,
#predictedHeads=3,3,5,5,0,19,6,10,11,11,6,11,6,6,17,17,19,19,1,21,19,23,19,5,
(1,17),0.00848505 # DEPENDENCYPART_ARC
(1,18),-0.366021 # DEPENDENCYPART_ARC
(1,19),1.59737 # DEPENDENCYPART_ARC
(1,20),0.232181 # DEPENDENCYPART_ARC
(1,21),-0.908219 # DEPENDENCYPART_ARC
(1,22),-0.798325 # DEPENDENCYPART_ARC
(1,23),-0.703944 # DEPENDENCYPART_ARC
(1,24),0.928265 # DEPENDENCYPART_ARC
(2,1),-0.706377 # DEPENDENCYPART_ARC
(2,3),-0.0677549 # DEPENDENCYPART_ARC
(2,4),-0.00536873 # DEPENDENCYPART_ARC
(2,5),-0.442543 # DEPENDENCYPART_ARC
(2,6),-0.879911 # DEPENDENCYPART_ARC
(2,7),-0.750314 # DEPENDENCYPART_ARC
(2,8),-0.784472 # DEPENDENCYPART_ARC
(2,9),-0.743684 # DEPENDENCYPART_ARC
(2,10),-1.40968 # DEPENDENCYPART_ARC
(2,11),-0.899026 # DEPENDENCYPART_ARC
(2,12),-1.29979 # DEPENDENCYPART_ARC
(2,13),-0.351455 # DEPENDENCYPART_ARC
(2,14),-0.948213 # DEPENDENCYPART_ARC
(2,15),-0.992025 # DEPENDENCYPART_ARC
(2,16),-1.34509 # DEPENDENCYPART_ARC
(2,17),-1.56523 # DEPENDENCYPART_ARC
(2,18),-1.73967 # DEPENDENCYPART_ARC
(2,19),-1.45164 # DEPENDENCYPART_ARC
(2,20),-1.05484 # DEPENDENCYPART_ARC
(2,21),-1.90063 # DEPENDENCYPART_ARC
(2,22),-1.09973 # DEPENDENCYPART_ARC
(2,23),-2.03007 # DEPENDENCYPART_ARC
(2,24),-2.06356 # DEPENDENCYPART_ARC
(3,1),1.58089 # DEPENDENCYPART_ARC
(3,2),3.25895 # DEPENDENCYPART_ARC
(3,4),-0.24324 # DEPENDENCYPART_ARC
(3,5),-0.99893 # DEPENDENCYPART_ARC
(3,6),-0.458079 # DEPENDENCYPART_ARC
(3,7),-0.866839 # DEPENDENCYPART_ARC
(3,8),-1.26432 # DEPENDENCYPART_ARC
(3,9),-0.656334 # DEPENDENCYPART_ARC
(3,10),-1.76024 # DEPENDENCYPART_ARC
(3,11),-0.678898 # DEPENDENCYPART_ARC
(3,12),-2.13312 # DEPENDENCYPART_ARC
(3,13),-0.694977 # DEPENDENCYPART_ARC
(3,14),-1.00876 # DEPENDENCYPART_ARC
(3,15),-1.54471 # DEPENDENCYPART_ARC
(3,16),-1.94017 # DEPENDENCYPART_ARC
(3,17),-1.8481 # DEPENDENCYPART_ARC
(3,18),-1.99977 # DEPENDENCYPART_ARC
(3,19),-1.19073 # DEPENDENCYPART_ARC
(3,20),-1.54666 # DEPENDENCYPART_ARC
(3,21),-3.37731 # DEPENDENCYPART_ARC
(3,22),-1.63275 # DEPENDENCYPART_ARC
(3,23),-3.46613 # DEPENDENCYPART_ARC
(3,24),0.687456 # DEPENDENCYPART_ARC
(4,1),-2.08817 # DEPENDENCYPART_ARC
(4,2),-1.56387 # DEPENDENCYPART_ARC
(4,3),-2.08855 # DEPENDENCYPART_ARC
(4,5),-1.13072 # DEPENDENCYPART_ARC
(4,6),-1.29891 # DEPENDENCYPART_ARC
(4,7),-1.55516 # DEPENDENCYPART_ARC
(4,8),-1.64723 # DEPENDENCYPART_ARC
(4,9),-1.45644 # DEPENDENCYPART_ARC
(4,10),-2.4334 # DEPENDENCYPART_ARC
(4,11),-1.74098 # DEPENDENCYPART_ARC
(4,12),-2.51806 # DEPENDENCYPART_ARC
(4,13),-1.43008 # DEPENDENCYPART_ARC
(4,14),-1.421 # DEPENDENCYPART_ARC
(4,15),-1.81759 # DEPENDENCYPART_ARC
(4,16),-2.04434 # DEPENDENCYPART_ARC
(4,17),-2.85357 # DEPENDENCYPART_ARC
(4,18),-2.08665 # DEPENDENCYPART_ARC
(4,19),-1.97357 # DEPENDENCYPART_ARC
(4,20),-1.90247 # DEPENDENCYPART_ARC
(4,21),-2.93504 # DEPENDENCYPART_ARC
(4,22),-1.97777 # DEPENDENCYPART_ARC
(4,23),-3.15455 # DEPENDENCYPART_ARC
(4,24),-1.997 # DEPENDENCYPART_ARC
(5,1),1.39162 # DEPENDENCYPART_ARC
(5,2),0.331525 # DEPENDENCYPART_ARC
(5,3),1.33723 # DEPENDENCYPART_ARC
(5,4),1.30417 # DEPENDENCYPART_ARC
(5,6),1.27281 # DEPENDENCYPART_ARC
(5,7),-0.172582 # DEPENDENCYPART_ARC
(5,8),-0.681705 # DEPENDENCYPART_ARC
(5,9),-0.168739 # DEPENDENCYPART_ARC
(5,10),-1.44847 # DEPENDENCYPART_ARC
(5,11),0.370436 # DEPENDENCYPART_ARC
(5,12),-1.005 # DEPENDENCYPART_ARC
(5,13),0.112478 # DEPENDENCYPART_ARC
(5,14),0.323143 # DEPENDENCYPART_ARC
(5,15),-1.20412 # DEPENDENCYPART_ARC
(5,16),-0.815188 # DEPENDENCYPART_ARC
(5,17),-1.81947 # DEPENDENCYPART_ARC
(5,18),-1.0038 # DEPENDENCYPART_ARC
(5,19),0.162428 # DEPENDENCYPART_ARC
(5,20),-1.01421 # DEPENDENCYPART_ARC
(5,21),-2.24499 # DEPENDENCYPART_ARC
(5,22),-1.45217 # DEPENDENCYPART_ARC
(5,23),-2.74072 # DEPENDENCYPART_ARC
(5,24),2.60661 # DEPENDENCYPART_ARC
(6,1),-0.87564 # DEPENDENCYPART_ARC
(6,2),-2.27807 # DEPENDENCYPART_ARC
(6,3),-0.911328 # DEPENDENCYPART_ARC
(6,4),-0.580349 # DEPENDENCYPART_ARC
(6,5),-1.07058 # DEPENDENCYPART_ARC
(6,7),3.00239 # DEPENDENCYPART_ARC
(6,8),0.277381 # DEPENDENCYPART_ARC
(6,9),1.97189 # DEPENDENCYPART_ARC
(6,10),1.41618 # DEPENDENCYPART_ARC
(6,11),2.7965 # DEPENDENCYPART_ARC
(6,12),1.22336 # DEPENDENCYPART_ARC
(6,13),1.74043 # DEPENDENCYPART_ARC
(6,14),2.55256 # DEPENDENCYPART_ARC
(6,15),-0.475926 # DEPENDENCYPART_ARC
(6,16),-0.766461 # DEPENDENCYPART_ARC
(6,17),-0.881859 # DEPENDENCYPART_ARC
(6,18),-0.204308 # DEPENDENCYPART_ARC
(6,19),0.689066 # DEPENDENCYPART_ARC
(6,20),-0.447524 # DEPENDENCYPART_ARC
(6,21),-0.23347 # DEPENDENCYPART_ARC
(6,22),-0.450625 # DEPENDENCYPART_ARC
(6,23),0.346853 # DEPENDENCYPART_ARC
(6,24),2.49287 # DEPENDENCYPART_ARC
(7,1),-0.687779 # DEPENDENCYPART_ARC
(7,2),-0.905766 # DEPENDENCYPART_ARC
(7,3),-0.597868 # DEPENDENCYPART_ARC
(7,4),-0.00521068 # DEPENDENCYPART_ARC
(7,5),-0.228102 # DEPENDENCYPART_ARC
(7,6),0.290997 # DEPENDENCYPART_ARC
(7,8),-0.621745 # DEPENDENCYPART_ARC
(7,9),0.0380228 # DEPENDENCYPART_ARC
(7,10),-0.277327 # DEPENDENCYPART_ARC
(7,11),-0.100629 # DEPENDENCYPART_ARC
(7,12),-0.402072 # DEPENDENCYPART_ARC
(7,13),-0.405693 # DEPENDENCYPART_ARC
(7,14),-0.269447 # DEPENDENCYPART_ARC
(7,15),-1.07906 # DEPENDENCYPART_ARC
(7,16),-1.27476 # DEPENDENCYPART_ARC
(7,17),-1.22586 # DEPENDENCYPART_ARC
(7,18),-1.44053 # DEPENDENCYPART_ARC
(7,19),-0.912616 # DEPENDENCYPART_ARC
(7,20),-1.07621 # DEPENDENCYPART_ARC
(7,21),-1.56788 # DEPENDENCYPART_ARC
(7,22),-1.17989 # DEPENDENCYPART_ARC
(7,23),-1.51812 # DEPENDENCYPART_ARC
(7,24),0.3407 # DEPENDENCYPART_ARC
(8,1),-1.93402 # DEPENDENCYPART_ARC
(8,2),-0.96981 # DEPENDENCYPART_ARC
(8,3),-1.9624 # DEPENDENCYPART_ARC
(8,4),-0.636321 # DEPENDENCYPART_ARC
(8,5),-0.599179 # DEPENDENCYPART_ARC
(8,6),-0.613867 # DEPENDENCYPART_ARC
(8,7),0.202965 # DEPENDENCYPART_ARC
(8,9),0.321305 # DEPENDENCYPART_ARC
(8,10),-0.0708321 # DEPENDENCYPART_ARC
(8,11),0.00742776 # DEPENDENCYPART_ARC
(8,12),-0.530929 # DEPENDENCYPART_ARC
(8,13),0.137433 # DEPENDENCYPART_ARC
(8,14),-0.362266 # DEPENDENCYPART_ARC
(8,15),-0.444193 # DEPENDENCYPART_ARC
(8,16),-0.418915 # DEPENDENCYPART_ARC
(8,17),-0.987479 # DEPENDENCYPART_ARC
(8,18),-0.765616 # DEPENDENCYPART_ARC
(8,19),-0.758097 # DEPENDENCYPART_ARC
(8,20),-0.299355 # DEPENDENCYPART_ARC
(8,21),-1.50428 # DEPENDENCYPART_ARC
(8,22),-0.605435 # DEPENDENCYPART_ARC
(8,23),-1.51834 # DEPENDENCYPART_ARC
(8,24),-1.01302 # DEPENDENCYPART_ARC
(9,1),-0.91415 # DEPENDENCYPART_ARC
(9,2),-0.584009 # DEPENDENCYPART_ARC
(9,3),-0.630236 # DEPENDENCYPART_ARC
(9,4),-0.654364 # DEPENDENCYPART_ARC
(9,5),-0.306714 # DEPENDENCYPART_ARC
(9,6),-0.148394 # DEPENDENCYPART_ARC
(9,7),0.640891 # DEPENDENCYPART_ARC
(9,8),1.29993 # DEPENDENCYPART_ARC
(9,10),-0.42229 # DEPENDENCYPART_ARC
(9,11),-0.539348 # DEPENDENCYPART_ARC
(9,12),-0.865866 # DEPENDENCYPART_ARC
(9,13),-0.640326 # DEPENDENCYPART_ARC
(9,14),-0.967434 # DEPENDENCYPART_ARC
(9,15),-1.04726 # DEPENDENCYPART_ARC
(9,16),-1.23828 # DEPENDENCYPART_ARC
(9,17),-1.26976 # DEPENDENCYPART_ARC
(9,18),-1.28153 # DEPENDENCYPART_ARC
(9,19),-0.995447 # DEPENDENCYPART_ARC
(9,20),-1.16063 # DEPENDENCYPART_ARC
(9,21),-1.51084 # DEPENDENCYPART_ARC
(9,22),-1.25818 # DEPENDENCYPART_ARC
(9,23),-1.6787 # DEPENDENCYPART_ARC
(9,24),-0.501928 # DEPENDENCYPART_ARC
(10,1),-0.845589 # DEPENDENCYPART_ARC
(10,2),-0.467113 # DEPENDENCYPART_ARC
(10,3),-2.28588 # DEPENDENCYPART_ARC
(10,4),-0.746093 # DEPENDENCYPART_ARC
(10,5),-0.820167 # DEPENDENCYPART_ARC
(10,6),-1.16484 # DEPENDENCYPART_ARC
(10,7),0.305761 # DEPENDENCYPART_ARC
(10,8),2.82912 # DEPENDENCYPART_ARC
(10,9),1.14719 # DEPENDENCYPART_ARC
(10,11),0.0148665 # DEPENDENCYPART_ARC
(10,12),-0.584431 # DEPENDENCYPART_ARC
(10,13),-0.0457899 # DEPENDENCYPART_ARC
(10,14),-0.554438 # DEPENDENCYPART_ARC
(10,15),-1.06333 # DEPENDENCYPART_ARC
(10,16),-1.24517 # DEPENDENCYPART_ARC
(10,17),-1.3656 # DEPENDENCYPART_ARC
(10,18),-1.26421 # DEPENDENCYPART_ARC
(10,19),-1.32633 # DEPENDENCYPART_ARC
(10,20),-1.10123 # DEPENDENCYPART_ARC
(10,21),-1.94257 # DEPENDENCYPART_ARC
(10,22),-1.30247 # DEPENDENCYPART_ARC
(10,23),-2.46046 # DEPENDENCYPART_ARC
(10,24),0.330949 # DEPENDENCYPART_ARC
(11,1),-0.256579 # DEPENDENCYPART_ARC
(11,2),-0.537514 # DEPENDENCYPART_ARC
(11,3),-0.967928 # DEPENDENCYPART_ARC
(11,4),0.649623 # DEPENDENCYPART_ARC
(11,5),-0.386474 # DEPENDENCYPART_ARC
(11,6),0.0277477 # DEPENDENCYPART_ARC
(11,7),1.92138 # DEPENDENCYPART_ARC
(11,8),0.607842 # DEPENDENCYPART_ARC
(11,9),2.314 # DEPENDENCYPART_ARC
(11,10),3.94812 # DEPENDENCYPART_ARC
(11,12),4.43299 # DEPENDENCYPART_ARC
(11,13),1.51079 # DEPENDENCYPART_ARC
(11,14),1.7658 # DEPENDENCYPART_ARC
(11,15),0.101504 # DEPENDENCYPART_ARC
(11,16),0.803991 # DEPENDENCYPART_ARC
(11,17),-1.01414 # DEPENDENCYPART_ARC
(11,18),0.657972 # DEPENDENCYPART_ARC
(11,19),0.488861 # DEPENDENCYPART_ARC
(11,20),-0.188461 # DEPENDENCYPART_ARC
(11,21),1.36964 # DEPENDENCYPART_ARC
(11,22),-0.164248 # DEPENDENCYPART_ARC
(11,23),0.783998 # DEPENDENCYPART_ARC
(11,24),1.99937 # DEPENDENCYPART_ARC
(12,1),-2.85849 # DEPENDENCYPART_ARC
(12,2),-1.46202 # DEPENDENCYPART_ARC
(12,3),-3.65345 # DEPENDENCYPART_ARC
(12,4),-1.63501 # DEPENDENCYPART_ARC
(12,5),-1.48845 # DEPENDENCYPART_ARC
(12,6),-2.40609 # DEPENDENCYPART_ARC
(12,7),-0.936764 # DEPENDENCYPART_ARC
(12,8),-0.0535048 # DEPENDENCYPART_ARC
(12,9),-0.48574 # DEPENDENCYPART_ARC
(12,10),-1.69332 # DEPENDENCYPART_ARC
(12,11),1.62621 # DEPENDENCYPART_ARC
(12,13),-0.12516 # DEPENDENCYPART_ARC
(12,14),-0.906203 # DEPENDENCYPART_ARC
(12,15),-0.946583 # DEPENDENCYPART_ARC
(12,16),-0.801969 # DEPENDENCYPART_ARC
(12,17),-0.796369 # DEPENDENCYPART_ARC
(12,18),-0.869254 # DEPENDENCYPART_ARC
(12,19),-0.903699 # DEPENDENCYPART_ARC
(12,20),-1.21352 # DEPENDENCYPART_ARC
(12,21),-1.88314 # DEPENDENCYPART_ARC
(12,22),-1.26001 # DEPENDENCYPART_ARC
(12,23),-2.56785 # DEPENDENCYPART_ARC
(12,24),0.106482 # DEPENDENCYPART_ARC
(13,1),-3.04449 # DEPENDENCYPART_ARC
(13,2),-2.68214 # DEPENDENCYPART_ARC
(13,3),-3.81145 # DEPENDENCYPART_ARC
(13,4),-2.46859 # DEPENDENCYPART_ARC
(13,5),-2.43858 # DEPENDENCYPART_ARC
(13,6),-2.85575 # DEPENDENCYPART_ARC
(13,7),-2.52507 # DEPENDENCYPART_ARC
(13,8),-2.46972 # DEPENDENCYPART_ARC
(13,9),-2.28576 # DEPENDENCYPART_ARC
(13,10),-2.91835 # DEPENDENCYPART_ARC
(13,11),-1.92029 # DEPENDENCYPART_ARC
(13,12),-1.97563 # DEPENDENCYPART_ARC
(13,14),-1.40452 # DEPENDENCYPART_ARC
(13,15),-1.7114 # DEPENDENCYPART_ARC
(13,16),-1.83712 # DEPENDENCYPART_ARC
(13,17),-2.45413 # DEPENDENCYPART_ARC
(13,18),-2.01504 # DEPENDENCYPART_ARC
(13,19),-1.96907 # DEPENDENCYPART_ARC
(13,20),-2.04161 # DEPENDENCYPART_ARC
(13,21),-2.90557 # DEPENDENCYPART_ARC
(13,22),-2.09616 # DEPENDENCYPART_ARC
(13,23),-3.07425 # DEPENDENCYPART_ARC
(13,24),-1.93812 # DEPENDENCYPART_ARC
(14,1),-0.441833 # DEPENDENCYPART_ARC
(14,2),-1.09909 # DEPENDENCYPART_ARC
(14,3),-0.321379 # DEPENDENCYPART_ARC
(14,4),-0.451576 # DEPENDENCYPART_ARC
(14,5),-0.0992618 # DEPENDENCYPART_ARC
(14,6),-0.556419 # DEPENDENCYPART_ARC
(14,7),0.0234482 # DEPENDENCYPART_ARC
(14,8),-0.354063 # DEPENDENCYPART_ARC
(14,9),0.496488 # DEPENDENCYPART_ARC
(14,10),0.562892 # DEPENDENCYPART_ARC
(14,11),0.461359 # DEPENDENCYPART_ARC
(14,12),0.652778 # DEPENDENCYPART_ARC
(14,13),0.978112 # DEPENDENCYPART_ARC
(14,15),-0.594348 # DEPENDENCYPART_ARC
(14,16),0.0652033 # DEPENDENCYPART_ARC
(14,17),-0.449087 # DEPENDENCYPART_ARC
(14,18),-0.231733 # DEPENDENCYPART_ARC
(14,19),1.0809 # DEPENDENCYPART_ARC
(14,20),-0.718954 # DEPENDENCYPART_ARC
(14,21),-1.15483 # DEPENDENCYPART_ARC
(14,22),-1.04661 # DEPENDENCYPART_ARC
(14,23),-1.52006 # DEPENDENCYPART_ARC
(14,24),1.8714 # DEPENDENCYPART_ARC
(15,1),-3.38953 # DEPENDENCYPART_ARC
(15,2),-2.47699 # DEPENDENCYPART_ARC
(15,3),-3.8285 # DEPENDENCYPART_ARC
(15,4),-1.99591 # DEPENDENCYPART_ARC
(15,5),-2.22273 # DEPENDENCYPART_ARC
(15,6),-2.97738 # DEPENDENCYPART_ARC
(15,7),-2.4726 # DEPENDENCYPART_ARC
(15,8),-2.23799 # DEPENDENCYPART_ARC
(15,9),-2.24733 # DEPENDENCYPART_ARC
(15,10),-3.24888 # DEPENDENCYPART_ARC
(15,11),-2.09633 # DEPENDENCYPART_ARC
(15,12),-2.53357 # DEPENDENCYPART_ARC
(15,13),-1.43788 # DEPENDENCYPART_ARC
(15,14),-0.834153 # DEPENDENCYPART_ARC
(15,16),0.434173 # DEPENDENCYPART_ARC
(15,17),-0.366982 # DEPENDENCYPART_ARC
(15,18),-0.413518 # DEPENDENCYPART_ARC
(15,19),-0.921741 # DEPENDENCYPART_ARC
(15,20),-0.762141 # DEPENDENCYPART_ARC
(15,21),-1.47906 # DEPENDENCYPART_ARC
(15,22),-0.844891 # DEPENDENCYPART_ARC
(15,23),-1.60469 # DEPENDENCYPART_ARC
(15,24),-1.61644 # DEPENDENCYPART_ARC
(16,1),-2.77543 # DEPENDENCYPART_ARC
(16,2),-2.37452 # DEPENDENCYPART_ARC
(16,3),-3.75667 # DEPENDENCYPART_ARC
(16,4),-1.70105 # DEPENDENCYPART_ARC
(16,5),-1.71327 # DEPENDENCYPART_ARC
(16,6),-2.0073 # DEPENDENCYPART_ARC
(16,7),-1.71521 # DEPENDENCYPART_ARC
(16,8),-1.57427 # DEPENDENCYPART_ARC
(16,9),-1.05453 # DEPENDENCYPART_ARC
(16,10),-1.7497 # DEPENDENCYPART_ARC
(16,11),-1.27601 # DEPENDENCYPART_ARC
(16,12),-1.43596 # DEPENDENCYPART_ARC
(16,13),-0.529607 # DEPENDENCYPART_ARC
(16,14),-0.731676 # DEPENDENCYPART_ARC
(16,15),1.03142 # DEPENDENCYPART_ARC
(16,17),-0.501674 # DEPENDENCYPART_ARC
(16,18),-1.04881 # DEPENDENCYPART_ARC
(16,19),-0.692688 # DEPENDENCYPART_ARC
(16,20),-1.56863 # DEPENDENCYPART_ARC
(16,21),-2.41626 # DEPENDENCYPART_ARC
(16,22),-1.63653 # DEPENDENCYPART_ARC
(16,23),-2.1066 # DEPENDENCYPART_ARC
(16,24),-0.703065 # DEPENDENCYPART_ARC
(17,1),-2.52932 # DEPENDENCYPART_ARC
(17,2),-1.53088 # DEPENDENCYPART_ARC
(17,3),-3.66662 # DEPENDENCYPART_ARC
(17,4),-1.90144 # DEPENDENCYPART_ARC
(17,5),-1.505 # DEPENDENCYPART_ARC
(17,6),-1.89788 # DEPENDENCYPART_ARC
(17,7),-0.961048 # DEPENDENCYPART_ARC
(17,8),-0.367482 # DEPENDENCYPART_ARC
(17,9),-0.561748 # DEPENDENCYPART_ARC
(17,10),-2.81153 # DEPENDENCYPART_ARC
(17,11),0.512262 # DEPENDENCYPART_ARC
(17,12),-1.53183 # DEPENDENCYPART_ARC
(17,13),-0.168826 # DEPENDENCYPART_ARC
(17,14),-0.331331 # DEPENDENCYPART_ARC
(17,15),3.22518 # DEPENDENCYPART_ARC
(17,16),4.16767 # DEPENDENCYPART_ARC
(17,18),-0.603863 # DEPENDENCYPART_ARC
(17,19),-0.258809 # DEPENDENCYPART_ARC
(17,20),-0.953565 # DEPENDENCYPART_ARC
(17,21),-1.52131 # DEPENDENCYPART_ARC
(17,22),-1.16909 # DEPENDENCYPART_ARC
(17,23),-1.78493 # DEPENDENCYPART_ARC
(17,24),0.182587 # DEPENDENCYPART_ARC
(18,1),-1.82625 # DEPENDENCYPART_ARC
(18,2),-2.10684 # DEPENDENCYPART_ARC
(18,3),-3.29315 # DEPENDENCYPART_ARC
(18,4),-1.26202 # DEPENDENCYPART_ARC
(18,5),-1.27013 # DEPENDENCYPART_ARC
(18,6),-1.91831 # DEPENDENCYPART_ARC
(18,7),-1.31501 # DEPENDENCYPART_ARC
(18,8),-1.04044 # DEPENDENCYPART_ARC
(18,9),-0.756797 # DEPENDENCYPART_ARC
(18,10),-1.54359 # DEPENDENCYPART_ARC
(18,11),-1.05215 # DEPENDENCYPART_ARC
(18,12),-1.54503 # DEPENDENCYPART_ARC
(18,13),-0.392567 # DEPENDENCYPART_ARC
(18,14),-0.591999 # DEPENDENCYPART_ARC
(18,15),0.076373 # DEPENDENCYPART_ARC
(18,16),-0.0572853 # DEPENDENCYPART_ARC
(18,17),-0.456603 # DEPENDENCYPART_ARC
(18,19),-0.186609 # DEPENDENCYPART_ARC
(18,20),-0.848608 # DEPENDENCYPART_ARC
(18,21),-1.56203 # DEPENDENCYPART_ARC
(18,22),-1.01439 # DEPENDENCYPART_ARC
(18,23),-1.19016 # DEPENDENCYPART_ARC
(18,24),0.230644 # DEPENDENCYPART_ARC
(19,1),-0.0598324 # DEPENDENCYPART_ARC
(19,2),-1.15794 # DEPENDENCYPART_ARC
(19,3),-1.08227 # DEPENDENCYPART_ARC
(19,4),0.379348 # DEPENDENCYPART_ARC
(19,5),0.372283 # DEPENDENCYPART_ARC
(19,6),1.42698 # DEPENDENCYPART_ARC
(19,7),0.513958 # DEPENDENCYPART_ARC
(19,8),-0.504598 # DEPENDENCYPART_ARC
(19,9),1.11129 # DEPENDENCYPART_ARC
(19,10),0.666854 # DEPENDENCYPART_ARC
(19,11),0.620812 # DEPENDENCYPART_ARC
(19,12),1.06581 # DEPENDENCYPART_ARC
(19,13),1.09378 # DEPENDENCYPART_ARC
(19,14),0.582938 # DEPENDENCYPART_ARC
(19,15),-0.300701 # DEPENDENCYPART_ARC
(19,16),0.694347 # DEPENDENCYPART_ARC
(19,17),2.61172 # DEPENDENCYPART_ARC
(19,18),3.57273 # DEPENDENCYPART_ARC
(19,20),-0.104583 # DEPENDENCYPART_ARC
(19,21),2.57386 # DEPENDENCYPART_ARC
(19,22),-0.473577 # DEPENDENCYPART_ARC
(19,23),2.10481 # DEPENDENCYPART_ARC
(19,24),2.13357 # DEPENDENCYPART_ARC
(20,1),-2.86358 # DEPENDENCYPART_ARC
(20,2),-2.03478 # DEPENDENCYPART_ARC
(20,3),-3.35641 # DEPENDENCYPART_ARC
(20,4),-1.54484 # DEPENDENCYPART_ARC
(20,5),-1.96569 # DEPENDENCYPART_ARC
(20,6),-2.06454 # DEPENDENCYPART_ARC
(20,7),-2.19581 # DEPENDENCYPART_ARC
(20,8),-1.8601 # DEPENDENCYPART_ARC
(20,9),-2.00504 # DEPENDENCYPART_ARC
(20,10),-3.0371 # DEPENDENCYPART_ARC
(20,11),-1.75465 # DEPENDENCYPART_ARC
(20,12),-2.73879 # DEPENDENCYPART_ARC
(20,13),-1.30651 # DEPENDENCYPART_ARC
(20,14),-1.50593 # DEPENDENCYPART_ARC
(20,15),-1.60681 # DEPENDENCYPART_ARC
(20,16),-1.73845 # DEPENDENCYPART_ARC
(20,17),-2.36829 # DEPENDENCYPART_ARC
(20,18),-1.36987 # DEPENDENCYPART_ARC
(20,19),-0.577725 # DEPENDENCYPART_ARC
(20,21),-0.330879 # DEPENDENCYPART_ARC
(20,22),-0.552264 # DEPENDENCYPART_ARC
(20,23),-0.973821 # DEPENDENCYPART_ARC
(20,24),-1.05716 # DEPENDENCYPART_ARC
(21,1),-3.22899 # DEPENDENCYPART_ARC
(21,2),-2.9496 # DEPENDENCYPART_ARC
(21,3),-5.30053 # DEPENDENCYPART_ARC
(21,4),-2.99581 # DEPENDENCYPART_ARC
(21,5),-2.67648 # DEPENDENCYPART_ARC
(21,6),-4.01268 # DEPENDENCYPART_ARC
(21,7),-2.03634 # DEPENDENCYPART_ARC
(21,8),-1.7467 # DEPENDENCYPART_ARC
(21,9),-1.39278 # DEPENDENCYPART_ARC
(21,10),-4.69199 # DEPENDENCYPART_ARC
(21,11),-1.07606 # DEPENDENCYPART_ARC
(21,12),-3.32584 # DEPENDENCYPART_ARC
(21,13),-1.94143 # DEPENDENCYPART_ARC
(21,14),-2.03611 # DEPENDENCYPART_ARC
(21,15),-0.451299 # DEPENDENCYPART_ARC
(21,16),-1.13135 # DEPENDENCYPART_ARC
(21,17),-2.55544 # DEPENDENCYPART_ARC
(21,18),-2.92504 # DEPENDENCYPART_ARC
(21,19),-1.30266 # DEPENDENCYPART_ARC
(21,20),3.28989 # DEPENDENCYPART_ARC
(21,22),-0.42207 # DEPENDENCYPART_ARC
(21,23),-1.19481 # DEPENDENCYPART_ARC
