# _root_ — Azt a határtalan boldogságot nem lehet leírni , amikor a bagi fiúk a második vonalba jutottak — mondja Lajtos_István , a RO-LA_Kft. egyik társtulajdonosa .
#goldHeads=19,5,5,5,8,7,19,7,7,17,13,13,17,16,16,17,2,19,0,19,19,23,25,25,19,19,
#predictedHeads=19,8,5,5,8,7,19,7,7,17,13,13,17,16,16,17,19,19,0,19,19,23,25,25,19,19,
(1,14),-1.33651 # DEPENDENCYPART_ARC
(1,15),-1.29207 # DEPENDENCYPART_ARC
(1,16),-2.31781 # DEPENDENCYPART_ARC
(1,17),-1.33416 # DEPENDENCYPART_ARC
(1,18),-0.994741 # DEPENDENCYPART_ARC
(1,19),-1.4097 # DEPENDENCYPART_ARC
(1,20),-2.36398 # DEPENDENCYPART_ARC
(1,21),-1.14238 # DEPENDENCYPART_ARC
(1,22),-1.38303 # DEPENDENCYPART_ARC
(1,23),-2.53012 # DEPENDENCYPART_ARC
(1,24),-1.58736 # DEPENDENCYPART_ARC
(1,25),-2.65802 # DEPENDENCYPART_ARC
(1,26),-1.44766 # DEPENDENCYPART_ARC
(2,1),0.59742 # DEPENDENCYPART_ARC
(2,3),0.272553 # DEPENDENCYPART_ARC
(2,4),1.04578 # DEPENDENCYPART_ARC
(2,5),0.689789 # DEPENDENCYPART_ARC
(2,6),0.934709 # DEPENDENCYPART_ARC
(2,7),1.95822 # DEPENDENCYPART_ARC
(2,8),1.56897 # DEPENDENCYPART_ARC
(2,9),1.53054 # DEPENDENCYPART_ARC
(2,10),1.03952 # DEPENDENCYPART_ARC
(2,11),0.105874 # DEPENDENCYPART_ARC
(2,12),0.761775 # DEPENDENCYPART_ARC
(2,13),0.882701 # DEPENDENCYPART_ARC
(2,14),-0.0369952 # DEPENDENCYPART_ARC
(2,15),0.551352 # DEPENDENCYPART_ARC
(2,16),0.350423 # DEPENDENCYPART_ARC
(2,17),2.34574 # DEPENDENCYPART_ARC
(2,18),0.580515 # DEPENDENCYPART_ARC
(2,19),1.56135 # DEPENDENCYPART_ARC
(2,20),0.621682 # DEPENDENCYPART_ARC
(2,21),1.35346 # DEPENDENCYPART_ARC
(2,22),-0.258104 # DEPENDENCYPART_ARC
(2,23),0.507555 # DEPENDENCYPART_ARC
(2,24),-0.0719979 # DEPENDENCYPART_ARC
(2,25),0.722834 # DEPENDENCYPART_ARC
(2,26),1.35561 # DEPENDENCYPART_ARC
(3,1),-0.936984 # DEPENDENCYPART_ARC
(3,2),-0.644987 # DEPENDENCYPART_ARC
(3,4),0.395608 # DEPENDENCYPART_ARC
(3,5),-0.519449 # DEPENDENCYPART_ARC
(3,6),-0.594215 # DEPENDENCYPART_ARC
(3,7),-0.892718 # DEPENDENCYPART_ARC
(3,8),-0.699534 # DEPENDENCYPART_ARC
(3,9),-0.259479 # DEPENDENCYPART_ARC
(3,10),-0.752525 # DEPENDENCYPART_ARC
(3,11),-0.827706 # DEPENDENCYPART_ARC
(3,12),-0.788651 # DEPENDENCYPART_ARC
(3,13),-1.38439 # DEPENDENCYPART_ARC
(3,14),-0.904439 # DEPENDENCYPART_ARC
(3,15),-0.816795 # DEPENDENCYPART_ARC
(3,16),-1.76 # DEPENDENCYPART_ARC
(3,17),-1.44389 # DEPENDENCYPART_ARC
(3,18),-0.49376 # DEPENDENCYPART_ARC
(3,19),-1.45895 # DEPENDENCYPART_ARC
(3,20),-1.51453 # DEPENDENCYPART_ARC
(3,21),-0.605468 # DEPENDENCYPART_ARC
(3,22),-0.971518 # DEPENDENCYPART_ARC
(3,23),-1.74775 # DEPENDENCYPART_ARC
(3,24),-1.2933 # DEPENDENCYPART_ARC
(3,25),-2.10693 # DEPENDENCYPART_ARC
(3,26),-2.19512 # DEPENDENCYPART_ARC
(4,1),-0.751342 # DEPENDENCYPART_ARC
(4,2),-0.258622 # DEPENDENCYPART_ARC
(4,3),0.930938 # DEPENDENCYPART_ARC
(4,5),-1.01974 # DEPENDENCYPART_ARC
(4,6),-1.00504 # DEPENDENCYPART_ARC
(4,7),-0.848618 # DEPENDENCYPART_ARC
(4,8),-1.17305 # DEPENDENCYPART_ARC
(4,9),-0.820277 # DEPENDENCYPART_ARC
(4,10),-1.23696 # DEPENDENCYPART_ARC
(4,11),-1.64601 # DEPENDENCYPART_ARC
(4,12),-1.75632 # DEPENDENCYPART_ARC
(4,13),-2.15065 # DEPENDENCYPART_ARC
(4,14),-1.67904 # DEPENDENCYPART_ARC
(4,15),-1.20738 # DEPENDENCYPART_ARC
(4,16),-2.27766 # DEPENDENCYPART_ARC
(4,17),-1.48899 # DEPENDENCYPART_ARC
(4,18),-0.868549 # DEPENDENCYPART_ARC
(4,19),-1.37362 # DEPENDENCYPART_ARC
(4,20),-2.21121 # DEPENDENCYPART_ARC
(4,21),-0.90378 # DEPENDENCYPART_ARC
(4,22),-1.87922 # DEPENDENCYPART_ARC
(4,23),-2.67443 # DEPENDENCYPART_ARC
(4,24),-2.23312 # DEPENDENCYPART_ARC
(4,25),-2.76166 # DEPENDENCYPART_ARC
(4,26),0.388773 # DEPENDENCYPART_ARC
(5,1),-0.503019 # DEPENDENCYPART_ARC
(5,2),1.80496 # DEPENDENCYPART_ARC
(5,3),3.12374 # DEPENDENCYPART_ARC
(5,4),3.90107 # DEPENDENCYPART_ARC
(5,6),-0.459932 # DEPENDENCYPART_ARC
(5,7),-0.397437 # DEPENDENCYPART_ARC
(5,8),-0.277197 # DEPENDENCYPART_ARC
(5,9),0.0449202 # DEPENDENCYPART_ARC
(5,10),-0.555569 # DEPENDENCYPART_ARC
(5,11),-0.853553 # DEPENDENCYPART_ARC
(5,12),-1.3486 # DEPENDENCYPART_ARC
(5,13),-1.40134 # DEPENDENCYPART_ARC
(5,14),-0.960507 # DEPENDENCYPART_ARC
(5,15),-0.874659 # DEPENDENCYPART_ARC
(5,16),-1.92437 # DEPENDENCYPART_ARC
(5,17),-1.48692 # DEPENDENCYPART_ARC
(5,18),-0.132917 # DEPENDENCYPART_ARC
(5,19),-1.04099 # DEPENDENCYPART_ARC
(5,20),-1.70117 # DEPENDENCYPART_ARC
(5,21),0.00332335 # DEPENDENCYPART_ARC
(5,22),-1.1048 # DEPENDENCYPART_ARC
(5,23),-2.11498 # DEPENDENCYPART_ARC
(5,24),-1.90132 # DEPENDENCYPART_ARC
(5,25),-2.62132 # DEPENDENCYPART_ARC
(5,26),1.27056 # DEPENDENCYPART_ARC
(6,1),-0.315711 # DEPENDENCYPART_ARC
(6,2),-0.348068 # DEPENDENCYPART_ARC
(6,3),-0.28286 # DEPENDENCYPART_ARC
(6,4),-0.127744 # DEPENDENCYPART_ARC
(6,5),0.618394 # DEPENDENCYPART_ARC
(6,7),0.279843 # DEPENDENCYPART_ARC
(6,8),-0.0177309 # DEPENDENCYPART_ARC
(6,9),0.0650861 # DEPENDENCYPART_ARC
(6,10),-0.366972 # DEPENDENCYPART_ARC
(6,11),-0.707554 # DEPENDENCYPART_ARC
(6,12),-0.513766 # DEPENDENCYPART_ARC
(6,13),-0.829656 # DEPENDENCYPART_ARC
(6,14),-0.79712 # DEPENDENCYPART_ARC
(6,15),-0.621393 # DEPENDENCYPART_ARC
(6,16),-1.07263 # DEPENDENCYPART_ARC
(6,17),-0.58216 # DEPENDENCYPART_ARC
(6,18),-0.139865 # DEPENDENCYPART_ARC
(6,19),-0.960068 # DEPENDENCYPART_ARC
(6,20),-1.48137 # DEPENDENCYPART_ARC
(6,21),-0.619431 # DEPENDENCYPART_ARC
(6,22),-0.942176 # DEPENDENCYPART_ARC
(6,23),-1.87476 # DEPENDENCYPART_ARC
(6,24),-0.865575 # DEPENDENCYPART_ARC
(6,25),-1.81177 # DEPENDENCYPART_ARC
(6,26),0.613444 # DEPENDENCYPART_ARC
(7,1),1.40356 # DEPENDENCYPART_ARC
(7,2),1.14657 # DEPENDENCYPART_ARC
(7,3),-0.878292 # DEPENDENCYPART_ARC
(7,4),-0.0605558 # DEPENDENCYPART_ARC
(7,5),1.14981 # DEPENDENCYPART_ARC
(7,6),3.46976 # DEPENDENCYPART_ARC
(7,8),4.20197 # DEPENDENCYPART_ARC
(7,9),1.93242 # DEPENDENCYPART_ARC
(7,10),0.378811 # DEPENDENCYPART_ARC
(7,11),-0.696172 # DEPENDENCYPART_ARC
(7,12),-0.608033 # DEPENDENCYPART_ARC
(7,13),-0.289173 # DEPENDENCYPART_ARC
(7,14),-0.843667 # DEPENDENCYPART_ARC
(7,15),-0.397721 # DEPENDENCYPART_ARC
(7,16),-1.00683 # DEPENDENCYPART_ARC
(7,17),1.74388 # DEPENDENCYPART_ARC
(7,18),0.00431042 # DEPENDENCYPART_ARC
(7,19),-0.00876273 # DEPENDENCYPART_ARC
(7,20),-1.05176 # DEPENDENCYPART_ARC
(7,21),-0.031641 # DEPENDENCYPART_ARC
(7,22),-0.977521 # DEPENDENCYPART_ARC
(7,23),-2.66101 # DEPENDENCYPART_ARC
(7,24),-1.35143 # DEPENDENCYPART_ARC
(7,25),-1.7965 # DEPENDENCYPART_ARC
(7,26),2.56723 # DEPENDENCYPART_ARC
(8,1),0.359028 # DEPENDENCYPART_ARC
(8,2),2.12721 # DEPENDENCYPART_ARC
(8,3),-0.402639 # DEPENDENCYPART_ARC
(8,4),0.569324 # DEPENDENCYPART_ARC
(8,5),3.0702 # DEPENDENCYPART_ARC
(8,6),1.77518 # DEPENDENCYPART_ARC
(8,7),1.64872 # DEPENDENCYPART_ARC
(8,9),1.02437 # DEPENDENCYPART_ARC
(8,10),0.315859 # DEPENDENCYPART_ARC
(8,11),-0.31814 # DEPENDENCYPART_ARC
(8,12),0.402454 # DEPENDENCYPART_ARC
(8,13),-0.693981 # DEPENDENCYPART_ARC
(8,14),-0.522434 # DEPENDENCYPART_ARC
(8,15),-0.635609 # DEPENDENCYPART_ARC
(8,16),-0.49555 # DEPENDENCYPART_ARC
(8,17),1.24946 # DEPENDENCYPART_ARC
(8,18),-0.410484 # DEPENDENCYPART_ARC
(8,19),-0.241898 # DEPENDENCYPART_ARC
(8,20),-2.22871 # DEPENDENCYPART_ARC
(8,21),-0.151732 # DEPENDENCYPART_ARC
(8,22),-0.729578 # DEPENDENCYPART_ARC
(8,23),-3.60368 # DEPENDENCYPART_ARC
(8,24),-1.31359 # DEPENDENCYPART_ARC
(8,25),-1.9566 # DEPENDENCYPART_ARC
(8,26),2.2781 # DEPENDENCYPART_ARC
(9,1),-2.07512 # DEPENDENCYPART_ARC
(9,2),-2.49793 # DEPENDENCYPART_ARC
(9,3),-2.13512 # DEPENDENCYPART_ARC
(9,4),-2.51881 # DEPENDENCYPART_ARC
(9,5),-2.76704 # DEPENDENCYPART_ARC
(9,6),-1.80137 # DEPENDENCYPART_ARC
(9,7),-1.84066 # DEPENDENCYPART_ARC
(9,8),-0.911164 # DEPENDENCYPART_ARC
(9,10),-1.17665 # DEPENDENCYPART_ARC
(9,11),-1.33627 # DEPENDENCYPART_ARC
(9,12),-1.46754 # DEPENDENCYPART_ARC
(9,13),-2.05845 # DEPENDENCYPART_ARC
(9,14),-1.58872 # DEPENDENCYPART_ARC
(9,15),-1.54163 # DEPENDENCYPART_ARC
(9,16),-2.47906 # DEPENDENCYPART_ARC
(9,17),-1.72123 # DEPENDENCYPART_ARC
(9,18),-1.37889 # DEPENDENCYPART_ARC
(9,19),-1.73874 # DEPENDENCYPART_ARC
(9,20),-2.64457 # DEPENDENCYPART_ARC
(9,21),-1.45835 # DEPENDENCYPART_ARC
(9,22),-1.81266 # DEPENDENCYPART_ARC
(9,23),-2.84368 # DEPENDENCYPART_ARC
(9,24),-1.9228 # DEPENDENCYPART_ARC
(9,25),-2.91921 # DEPENDENCYPART_ARC
(9,26),-1.67598 # DEPENDENCYPART_ARC
(10,1),-0.285588 # DEPENDENCYPART_ARC
(10,2),-0.530876 # DEPENDENCYPART_ARC
(10,3),-0.785582 # DEPENDENCYPART_ARC
(10,4),-0.334008 # DEPENDENCYPART_ARC
(10,5),-0.488776 # DEPENDENCYPART_ARC
(10,6),-0.0325188 # DEPENDENCYPART_ARC
(10,7),0.200503 # DEPENDENCYPART_ARC
(10,8),0.209598 # DEPENDENCYPART_ARC
(10,9),0.356204 # DEPENDENCYPART_ARC
(10,11),-0.201059 # DEPENDENCYPART_ARC
(10,12),0.208917 # DEPENDENCYPART_ARC
(10,13),0.476357 # DEPENDENCYPART_ARC
(10,14),-0.368649 # DEPENDENCYPART_ARC
(10,15),-0.175593 # DEPENDENCYPART_ARC
(10,16),-0.117735 # DEPENDENCYPART_ARC
(10,17),0.53411 # DEPENDENCYPART_ARC
(10,18),0.318013 # DEPENDENCYPART_ARC
(10,19),0.0228144 # DEPENDENCYPART_ARC
(10,20),-0.331804 # DEPENDENCYPART_ARC
(10,21),-0.203444 # DEPENDENCYPART_ARC
(10,22),-0.685113 # DEPENDENCYPART_ARC
(10,23),-1.19185 # DEPENDENCYPART_ARC
(10,24),-0.572277 # DEPENDENCYPART_ARC
(10,25),-0.935012 # DEPENDENCYPART_ARC
(10,26),1.12569 # DEPENDENCYPART_ARC
(11,1),-2.29533 # DEPENDENCYPART_ARC
(11,2),-3.25554 # DEPENDENCYPART_ARC
(11,3),-2.39646 # DEPENDENCYPART_ARC
(11,4),-2.61274 # DEPENDENCYPART_ARC
(11,5),-3.49026 # DEPENDENCYPART_ARC
(11,6),-2.40027 # DEPENDENCYPART_ARC
(11,7),-2.67309 # DEPENDENCYPART_ARC
(11,8),-1.94638 # DEPENDENCYPART_ARC
(11,9),-1.67303 # DEPENDENCYPART_ARC
(11,10),-1.0628 # DEPENDENCYPART_ARC
(11,12),0.307791 # DEPENDENCYPART_ARC
(11,13),-0.619811 # DEPENDENCYPART_ARC
(11,14),-0.757659 # DEPENDENCYPART_ARC
(11,15),-0.499134 # DEPENDENCYPART_ARC
(11,16),-1.30919 # DEPENDENCYPART_ARC
(11,17),-1.28071 # DEPENDENCYPART_ARC
(11,18),-0.556317 # DEPENDENCYPART_ARC
(11,19),-1.41686 # DEPENDENCYPART_ARC
(11,20),-1.45911 # DEPENDENCYPART_ARC
(11,21),-0.61711 # DEPENDENCYPART_ARC
(11,22),-1.11084 # DEPENDENCYPART_ARC
(11,23),-1.75274 # DEPENDENCYPART_ARC
(11,24),-1.42623 # DEPENDENCYPART_ARC
(11,25),-2.19627 # DEPENDENCYPART_ARC
(11,26),-2.01942 # DEPENDENCYPART_ARC
(12,1),-1.8135 # DEPENDENCYPART_ARC
(12,2),-1.93566 # DEPENDENCYPART_ARC
(12,3),-1.60205 # DEPENDENCYPART_ARC
(12,4),-2.03953 # DEPENDENCYPART_ARC
(12,5),-2.09897 # DEPENDENCYPART_ARC
(12,6),-1.4559 # DEPENDENCYPART_ARC
(12,7),-1.68711 # DEPENDENCYPART_ARC
(12,8),-0.953084 # DEPENDENCYPART_ARC
(12,9),-0.603944 # DEPENDENCYPART_ARC
(12,10),-0.183456 # DEPENDENCYPART_ARC
(12,11),1.05617 # DEPENDENCYPART_ARC
(12,13),-0.845065 # DEPENDENCYPART_ARC
(12,14),-1.38697 # DEPENDENCYPART_ARC
(12,15),-0.868131 # DEPENDENCYPART_ARC
(12,16),-1.41342 # DEPENDENCYPART_ARC
(12,17),-1.05704 # DEPENDENCYPART_ARC
(12,18),-0.516205 # DEPENDENCYPART_ARC
(12,19),-1.03791 # DEPENDENCYPART_ARC
(12,20),-1.73086 # DEPENDENCYPART_ARC
(12,21),-0.790114 # DEPENDENCYPART_ARC
(12,22),-1.69858 # DEPENDENCYPART_ARC
(12,23),-2.30893 # DEPENDENCYPART_ARC
(12,24),-2.11764 # DEPENDENCYPART_ARC
(12,25),-2.42368 # DEPENDENCYPART_ARC
(12,26),-0.184624 # DEPENDENCYPART_ARC
(13,1),-1.94741 # DEPENDENCYPART_ARC
(13,2),-2.72955 # DEPENDENCYPART_ARC
(13,3),-0.1773 # DEPENDENCYPART_ARC
(13,4),-0.217611 # DEPENDENCYPART_ARC
(13,5),-3.82862 # DEPENDENCYPART_ARC
(13,6),-0.527545 # DEPENDENCYPART_ARC
(13,7),-1.96189 # DEPENDENCYPART_ARC
(13,8),0.515442 # DEPENDENCYPART_ARC
(13,9),-0.172226 # DEPENDENCYPART_ARC
(13,10),0.0302058 # DEPENDENCYPART_ARC
(13,11),3.16632 # DEPENDENCYPART_ARC
(13,12),3.77496 # DEPENDENCYPART_ARC
(13,14),-0.309685 # DEPENDENCYPART_ARC
(13,15),-0.0638446 # DEPENDENCYPART_ARC
(13,16),-0.435801 # DEPENDENCYPART_ARC
(13,17),-0.0470325 # DEPENDENCYPART_ARC
(13,18),0.340486 # DEPENDENCYPART_ARC
(13,19),-0.311163 # DEPENDENCYPART_ARC
(13,20),-0.651985 # DEPENDENCYPART_ARC
(13,21),0.496428 # DEPENDENCYPART_ARC
(13,22),-0.72378 # DEPENDENCYPART_ARC
(13,23),-1.02805 # DEPENDENCYPART_ARC
(13,24),-0.843051 # DEPENDENCYPART_ARC
(13,25),-1.5428 # DEPENDENCYPART_ARC
(13,26),1.35943 # DEPENDENCYPART_ARC
(14,1),-1.48352 # DEPENDENCYPART_ARC
(14,2),-2.46648 # DEPENDENCYPART_ARC
(14,3),-1.61629 # DEPENDENCYPART_ARC
(14,4),-1.81052 # DEPENDENCYPART_ARC
(14,5),-2.78974 # DEPENDENCYPART_ARC
(14,6),-1.71001 # DEPENDENCYPART_ARC
(14,7),-2.08767 # DEPENDENCYPART_ARC
(14,8),-1.47308 # DEPENDENCYPART_ARC
(14,9),-0.977669 # DEPENDENCYPART_ARC
(14,10),-1.06529 # DEPENDENCYPART_ARC
(14,11),-0.764061 # DEPENDENCYPART_ARC
(14,12),-0.791914 # DEPENDENCYPART_ARC
(14,13),-0.996086 # DEPENDENCYPART_ARC
(14,15),0.464256 # DEPENDENCYPART_ARC
(14,16),-0.228196 # DEPENDENCYPART_ARC
(14,17),-0.570025 # DEPENDENCYPART_ARC
(14,18),-0.00846093 # DEPENDENCYPART_ARC
(14,19),-0.79324 # DEPENDENCYPART_ARC
(14,20),-0.847163 # DEPENDENCYPART_ARC
(14,21),-0.0683885 # DEPENDENCYPART_ARC
(14,22),-0.614362 # DEPENDENCYPART_ARC
(14,23),-1.02589 # DEPENDENCYPART_ARC
(14,24),-0.852091 # DEPENDENCYPART_ARC
(14,25),-1.58095 # DEPENDENCYPART_ARC
(14,26),-1.26191 # DEPENDENCYPART_ARC
(15,1),-2.12213 # DEPENDENCYPART_ARC
(15,2),-2.41809 # DEPENDENCYPART_ARC
(15,3),-1.51076 # DEPENDENCYPART_ARC
(15,4),-2.47746 # DEPENDENCYPART_ARC
(15,5),-3.10396 # DEPENDENCYPART_ARC
(15,6),-1.61686 # DEPENDENCYPART_ARC
(15,7),-2.30102 # DEPENDENCYPART_ARC
(15,8),-1.40463 # DEPENDENCYPART_ARC
(15,9),-1.58604 # DEPENDENCYPART_ARC
(15,10),-0.885322 # DEPENDENCYPART_ARC
(15,11),-0.645689 # DEPENDENCYPART_ARC
(15,12),-1.41452 # DEPENDENCYPART_ARC
(15,13),-1.00331 # DEPENDENCYPART_ARC
(15,14),0.517242 # DEPENDENCYPART_ARC
(15,16),-0.888794 # DEPENDENCYPART_ARC
(15,17),-0.917285 # DEPENDENCYPART_ARC
(15,18),-0.827188 # DEPENDENCYPART_ARC
(15,19),-0.665319 # DEPENDENCYPART_ARC
(15,20),-1.99608 # DEPENDENCYPART_ARC
(15,21),-0.897533 # DEPENDENCYPART_ARC
(15,22),-1.77025 # DEPENDENCYPART_ARC
(15,23),-2.49345 # DEPENDENCYPART_ARC
(15,24),-2.19272 # DEPENDENCYPART_ARC
(15,25),-2.12597 # DEPENDENCYPART_ARC
(15,26),-0.0416449 # DEPENDENCYPART_ARC
(16,1),-2.23809 # DEPENDENCYPART_ARC
(16,2),-2.01872 # DEPENDENCYPART_ARC
(16,3),-1.66799 # DEPENDENCYPART_ARC
(16,4),-1.66085 # DEPENDENCYPART_ARC
(16,5),-5.69208 # DEPENDENCYPART_ARC
(16,6),-0.220463 # DEPENDENCYPART_ARC
(16,7),-2.32413 # DEPENDENCYPART_ARC
(16,8),-0.0408646 # DEPENDENCYPART_ARC
(16,9),-0.664187 # DEPENDENCYPART_ARC
(16,10),-0.133201 # DEPENDENCYPART_ARC
(16,11),0.484216 # DEPENDENCYPART_ARC
(16,12),0.337205 # DEPENDENCYPART_ARC
(16,13),-1.63078 # DEPENDENCYPART_ARC
(16,14),2.39058 # DEPENDENCYPART_ARC
(16,15),3.22771 # DEPENDENCYPART_ARC
(16,17),-0.274033 # DEPENDENCYPART_ARC
(16,18),-0.380692 # DEPENDENCYPART_ARC
(16,19),-0.476854 # DEPENDENCYPART_ARC
(16,20),-1.0569 # DEPENDENCYPART_ARC
(16,21),-0.287036 # DEPENDENCYPART_ARC
(16,22),-1.2614 # DEPENDENCYPART_ARC
(16,23),-1.53756 # DEPENDENCYPART_ARC
(16,24),-2.02631 # DEPENDENCYPART_ARC
(16,25),-2.18903 # DEPENDENCYPART_ARC
(16,26),0.435757 # DEPENDENCYPART_ARC
(17,1),0.503535 # DEPENDENCYPART_ARC
(17,2),0.861252 # DEPENDENCYPART_ARC
(17,3),-0.464642 # DEPENDENCYPART_ARC
(17,4),-0.914423 # DEPENDENCYPART_ARC
(17,5),0.564221 # DEPENDENCYPART_ARC
(17,6),0.693449 # DEPENDENCYPART_ARC
(17,7),0.795077 # DEPENDENCYPART_ARC
(17,8),1.10418 # DEPENDENCYPART_ARC
(17,9),0.899781 # DEPENDENCYPART_ARC
(17,10),2.79492 # DEPENDENCYPART_ARC
(17,11),0.332012 # DEPENDENCYPART_ARC
(17,12),0.358516 # DEPENDENCYPART_ARC
(17,13),3.28849 # DEPENDENCYPART_ARC
(17,14),0.698339 # DEPENDENCYPART_ARC
(17,15),1.01577 # DEPENDENCYPART_ARC
(17,16),3.16181 # DEPENDENCYPART_ARC
(17,18),0.915857 # DEPENDENCYPART_ARC
(17,19),1.88763 # DEPENDENCYPART_ARC
(17,20),0.134263 # DEPENDENCYPART_ARC
(17,21),1.04109 # DEPENDENCYPART_ARC
(17,22),-0.0711387 # DEPENDENCYPART_ARC
(17,23),-1.97566 # DEPENDENCYPART_ARC
(17,24),-1.07255 # DEPENDENCYPART_ARC
(17,25),-0.82443 # DEPENDENCYPART_ARC
(17,26),2.53772 # DEPENDENCYPART_ARC
(18,1),-2.37272 # DEPENDENCYPART_ARC
(18,2),-2.817 # DEPENDENCYPART_ARC
(18,3),-2.49379 # DEPENDENCYPART_ARC
(18,4),-2.84055 # DEPENDENCYPART_ARC
(18,5),-3.30212 # DEPENDENCYPART_ARC
(18,6),-2.55686 # DEPENDENCYPART_ARC
(18,7),-2.73223 # DEPENDENCYPART_ARC
(18,8),-2.65373 # DEPENDENCYPART_ARC
(18,9),-2.07788 # DEPENDENCYPART_ARC
(18,10),-2.30481 # DEPENDENCYPART_ARC
(18,11),-2.17082 # DEPENDENCYPART_ARC
(18,12),-2.51047 # DEPENDENCYPART_ARC
(18,13),-2.81367 # DEPENDENCYPART_ARC
(18,14),-1.99845 # DEPENDENCYPART_ARC
(18,15),-1.95408 # DEPENDENCYPART_ARC
(18,16),-2.1995 # DEPENDENCYPART_ARC
(18,17),-0.936975 # DEPENDENCYPART_ARC
(18,19),-0.965786 # DEPENDENCYPART_ARC
(18,20),-1.47867 # DEPENDENCYPART_ARC
(18,21),-1.11987 # DEPENDENCYPART_ARC
(18,22),-1.52719 # DEPENDENCYPART_ARC
(18,23),-2.13546 # DEPENDENCYPART_ARC
(18,24),-1.77017 # DEPENDENCYPART_ARC
(18,25),-2.46604 # DEPENDENCYPART_ARC
(18,26),-1.52365 # DEPENDENCYPART_ARC
(19,1),3.23145 # DEPENDENCYPART_ARC
(19,2),0.305542 # DEPENDENCYPART_ARC
(19,3),-0.961452 # DEPENDENCYPART_ARC
(19,4),-0.2478 # DEPENDENCYPART_ARC
(19,5),0.79946 # DEPENDENCYPART_ARC
(19,6),0.105501 # DEPENDENCYPART_ARC
(19,7),2.97375 # DEPENDENCYPART_ARC
(19,8),2.0517 # DEPENDENCYPART_ARC
(19,9),1.9069 # DEPENDENCYPART_ARC
(19,10),1.44321 # DEPENDENCYPART_ARC
(19,11),-0.46873 # DEPENDENCYPART_ARC
(19,12),0.253292 # DEPENDENCYPART_ARC
(19,13),1.10649 # DEPENDENCYPART_ARC
(19,14),-0.329979 # DEPENDENCYPART_ARC
(19,15),0.32511 # DEPENDENCYPART_ARC
(19,16),1.43411 # DEPENDENCYPART_ARC
(19,17),2.77833 # DEPENDENCYPART_ARC
(19,18),2.65981 # DEPENDENCYPART_ARC
(19,20),3.89099 # DEPENDENCYPART_ARC
(19,21),2.64178 # DEPENDENCYPART_ARC
(19,22),0.207499 # DEPENDENCYPART_ARC
(19,23),1.20041 # DEPENDENCYPART_ARC
(19,24),0.625236 # DEPENDENCYPART_ARC
(19,25),1.68414 # DEPENDENCYPART_ARC
(19,26),4.14499 # DEPENDENCYPART_ARC
(20,1),-2.99083 # DEPENDENCYPART_ARC
(20,2),-4.74049 # DEPENDENCYPART_ARC
(20,3),-2.62836 # DEPENDENCYPART_ARC
(20,4),-3.32342 # DEPENDENCYPART_ARC
(20,5),-6.84899 # DEPENDENCYPART_ARC
(20,6),-1.52735 # DEPENDENCYPART_ARC
