# _root_ Az ÖIAG-hoz csapták még — idegen testként — az állami nyomdát , a Staatsdruckereit_és_a_Dorotheum aukciósházat , amelyek privatizációja is a szervezetre vár .
#goldHeads=2,3,0,3,3,7,3,3,11,11,3,3,15,15,3,3,18,22,22,21,22,3,3,
#predictedHeads=2,3,0,3,3,7,3,22,11,11,3,22,14,15,3,3,22,22,22,21,22,3,3,
(11,23),0.715118 # DEPENDENCYPART_ARC
(12,1),-2.10505 # DEPENDENCYPART_ARC
(12,2),-3.07483 # DEPENDENCYPART_ARC
(12,3),-2.1754 # DEPENDENCYPART_ARC
(12,4),-1.88846 # DEPENDENCYPART_ARC
(12,5),-1.54333 # DEPENDENCYPART_ARC
(12,6),-2.09975 # DEPENDENCYPART_ARC
(12,7),-2.79443 # DEPENDENCYPART_ARC
(12,8),-1.44905 # DEPENDENCYPART_ARC
(12,9),-1.33895 # DEPENDENCYPART_ARC
(12,10),-1.47411 # DEPENDENCYPART_ARC
(12,11),-1.56345 # DEPENDENCYPART_ARC
(12,13),-0.768521 # DEPENDENCYPART_ARC
(12,14),-1.26406 # DEPENDENCYPART_ARC
(12,15),-1.67751 # DEPENDENCYPART_ARC
(12,16),-0.863641 # DEPENDENCYPART_ARC
(12,17),-1.36479 # DEPENDENCYPART_ARC
(12,18),-2.07306 # DEPENDENCYPART_ARC
(12,19),-0.961074 # DEPENDENCYPART_ARC
(12,20),-1.28492 # DEPENDENCYPART_ARC
(12,21),-2.29595 # DEPENDENCYPART_ARC
(12,22),-1.36168 # DEPENDENCYPART_ARC
(12,23),-1.18359 # DEPENDENCYPART_ARC
(13,1),-1.60921 # DEPENDENCYPART_ARC
(13,2),-2.76441 # DEPENDENCYPART_ARC
(13,3),-1.93581 # DEPENDENCYPART_ARC
(13,4),-1.47298 # DEPENDENCYPART_ARC
(13,5),-1.09393 # DEPENDENCYPART_ARC
(13,6),-1.38532 # DEPENDENCYPART_ARC
(13,7),-2.37924 # DEPENDENCYPART_ARC
(13,8),-1.23867 # DEPENDENCYPART_ARC
(13,9),-0.997371 # DEPENDENCYPART_ARC
(13,10),-0.992498 # DEPENDENCYPART_ARC
(13,11),-1.72411 # DEPENDENCYPART_ARC
(13,12),-0.373819 # DEPENDENCYPART_ARC
(13,14),-0.079128 # DEPENDENCYPART_ARC
(13,15),-0.433519 # DEPENDENCYPART_ARC
(13,16),-0.0376927 # DEPENDENCYPART_ARC
(13,17),-0.716417 # DEPENDENCYPART_ARC
(13,18),-1.19509 # DEPENDENCYPART_ARC
(13,19),-0.86465 # DEPENDENCYPART_ARC
(13,20),-0.754038 # DEPENDENCYPART_ARC
(13,21),-1.43835 # DEPENDENCYPART_ARC
(13,22),-1.18221 # DEPENDENCYPART_ARC
(13,23),-1.43732 # DEPENDENCYPART_ARC
(14,1),-1.68505 # DEPENDENCYPART_ARC
(14,2),-3.85797 # DEPENDENCYPART_ARC
(14,3),-1.70292 # DEPENDENCYPART_ARC
(14,4),-1.63943 # DEPENDENCYPART_ARC
(14,5),-0.846554 # DEPENDENCYPART_ARC
(14,6),-2.44647 # DEPENDENCYPART_ARC
(14,7),-3.7819 # DEPENDENCYPART_ARC
(14,8),-0.925627 # DEPENDENCYPART_ARC
(14,9),-0.225716 # DEPENDENCYPART_ARC
(14,10),-1.08279 # DEPENDENCYPART_ARC
(14,11),-3.243 # DEPENDENCYPART_ARC
(14,12),-0.717942 # DEPENDENCYPART_ARC
(14,13),2.83766 # DEPENDENCYPART_ARC
(14,15),-0.681562 # DEPENDENCYPART_ARC
(14,16),-0.230006 # DEPENDENCYPART_ARC
(14,17),-0.845221 # DEPENDENCYPART_ARC
(14,18),-0.919269 # DEPENDENCYPART_ARC
(14,19),-1.30876 # DEPENDENCYPART_ARC
(14,20),-1.49919 # DEPENDENCYPART_ARC
(14,21),-2.10044 # DEPENDENCYPART_ARC
(14,22),-0.791852 # DEPENDENCYPART_ARC
(14,23),-0.18257 # DEPENDENCYPART_ARC
(15,1),-1.14607 # DEPENDENCYPART_ARC
(15,2),-2.87828 # DEPENDENCYPART_ARC
(15,3),-1.05656 # DEPENDENCYPART_ARC
(15,4),-0.781717 # DEPENDENCYPART_ARC
(15,5),-0.0535338 # DEPENDENCYPART_ARC
(15,6),-0.751637 # DEPENDENCYPART_ARC
(15,7),-2.85338 # DEPENDENCYPART_ARC
(15,8),0.0979231 # DEPENDENCYPART_ARC
(15,9),0.852364 # DEPENDENCYPART_ARC
(15,10),0.427466 # DEPENDENCYPART_ARC
(15,11),-1.84158 # DEPENDENCYPART_ARC
(15,12),0.589749 # DEPENDENCYPART_ARC
(15,13),2.59161 # DEPENDENCYPART_ARC
(15,14),3.33382 # DEPENDENCYPART_ARC
(15,16),0.466328 # DEPENDENCYPART_ARC
(15,17),-0.627877 # DEPENDENCYPART_ARC
(15,18),-0.867063 # DEPENDENCYPART_ARC
(15,19),-0.260742 # DEPENDENCYPART_ARC
(15,20),-0.636497 # DEPENDENCYPART_ARC
(15,21),-1.5394 # DEPENDENCYPART_ARC
(15,22),-0.108526 # DEPENDENCYPART_ARC
(15,23),0.679373 # DEPENDENCYPART_ARC
(16,1),-2.66403 # DEPENDENCYPART_ARC
(16,2),-3.7053 # DEPENDENCYPART_ARC
(16,3),-2.66878 # DEPENDENCYPART_ARC
(16,4),-2.48098 # DEPENDENCYPART_ARC
(16,5),-2.13857 # DEPENDENCYPART_ARC
(16,6),-2.69766 # DEPENDENCYPART_ARC
(16,7),-3.48955 # DEPENDENCYPART_ARC
(16,8),-2.00264 # DEPENDENCYPART_ARC
(16,9),-2.12569 # DEPENDENCYPART_ARC
(16,10),-2.50565 # DEPENDENCYPART_ARC
(16,11),-3.24684 # DEPENDENCYPART_ARC
(16,12),-1.86788 # DEPENDENCYPART_ARC
(16,13),-1.75438 # DEPENDENCYPART_ARC
(16,14),-2.45139 # DEPENDENCYPART_ARC
(16,15),-1.96094 # DEPENDENCYPART_ARC
(16,17),-1.3408 # DEPENDENCYPART_ARC
(16,18),-1.70548 # DEPENDENCYPART_ARC
(16,19),-1.32281 # DEPENDENCYPART_ARC
(16,20),-1.62623 # DEPENDENCYPART_ARC
(16,21),-2.3747 # DEPENDENCYPART_ARC
(16,22),-1.70875 # DEPENDENCYPART_ARC
(16,23),-1.5629 # DEPENDENCYPART_ARC
(17,1),-1.19738 # DEPENDENCYPART_ARC
(17,2),-1.07906 # DEPENDENCYPART_ARC
(17,3),-0.358112 # DEPENDENCYPART_ARC
(17,4),-0.024982 # DEPENDENCYPART_ARC
(17,5),-0.670019 # DEPENDENCYPART_ARC
(17,6),-1.12261 # DEPENDENCYPART_ARC
(17,7),-1.23442 # DEPENDENCYPART_ARC
(17,8),-0.656442 # DEPENDENCYPART_ARC
(17,9),-0.397757 # DEPENDENCYPART_ARC
(17,10),-0.952943 # DEPENDENCYPART_ARC
(17,11),-1.59843 # DEPENDENCYPART_ARC
(17,12),-0.82492 # DEPENDENCYPART_ARC
(17,13),-0.0389581 # DEPENDENCYPART_ARC
(17,14),-0.537708 # DEPENDENCYPART_ARC
(17,15),-1.23354 # DEPENDENCYPART_ARC
(17,16),-0.45185 # DEPENDENCYPART_ARC
(17,18),-0.359012 # DEPENDENCYPART_ARC
(17,19),-1.84995 # DEPENDENCYPART_ARC
(17,20),-1.60872 # DEPENDENCYPART_ARC
(17,21),-1.20911 # DEPENDENCYPART_ARC
(17,22),-0.843661 # DEPENDENCYPART_ARC
(17,23),-0.624365 # DEPENDENCYPART_ARC
(18,1),-2.92405 # DEPENDENCYPART_ARC
(18,2),-3.99493 # DEPENDENCYPART_ARC
(18,3),-1.9151 # DEPENDENCYPART_ARC
(18,4),-1.6507 # DEPENDENCYPART_ARC
(18,5),-0.805712 # DEPENDENCYPART_ARC
(18,6),-1.93605 # DEPENDENCYPART_ARC
(18,7),-3.88542 # DEPENDENCYPART_ARC
(18,8),-0.850001 # DEPENDENCYPART_ARC
(18,9),-1.35712 # DEPENDENCYPART_ARC
(18,10),-1.1069 # DEPENDENCYPART_ARC
(18,11),-4.06978 # DEPENDENCYPART_ARC
(18,12),-0.761506 # DEPENDENCYPART_ARC
(18,13),-0.467189 # DEPENDENCYPART_ARC
(18,14),1.09986 # DEPENDENCYPART_ARC
(18,15),-3.01702 # DEPENDENCYPART_ARC
(18,16),-0.566568 # DEPENDENCYPART_ARC
(18,17),1.50537 # DEPENDENCYPART_ARC
(18,19),-0.872028 # DEPENDENCYPART_ARC
(18,20),-1.45387 # DEPENDENCYPART_ARC
(18,21),-1.55661 # DEPENDENCYPART_ARC
(18,22),-1.24587 # DEPENDENCYPART_ARC
(18,23),-0.55842 # DEPENDENCYPART_ARC
(19,1),-1.54195 # DEPENDENCYPART_ARC
(19,2),-1.03528 # DEPENDENCYPART_ARC
(19,3),-1.93987 # DEPENDENCYPART_ARC
(19,4),-0.841485 # DEPENDENCYPART_ARC
(19,5),-0.670465 # DEPENDENCYPART_ARC
(19,6),-0.995653 # DEPENDENCYPART_ARC
(19,7),-1.09215 # DEPENDENCYPART_ARC
(19,8),-0.528614 # DEPENDENCYPART_ARC
(19,9),-0.892759 # DEPENDENCYPART_ARC
(19,10),-1.03013 # DEPENDENCYPART_ARC
(19,11),-1.05545 # DEPENDENCYPART_ARC
(19,12),-0.41465 # DEPENDENCYPART_ARC
(19,13),-1.05056 # DEPENDENCYPART_ARC
(19,14),-0.45277 # DEPENDENCYPART_ARC
(19,15),-0.729763 # DEPENDENCYPART_ARC
(19,16),-0.0440067 # DEPENDENCYPART_ARC
(19,17),0.037368 # DEPENDENCYPART_ARC
(19,18),0.0951465 # DEPENDENCYPART_ARC
(19,20),-0.614408 # DEPENDENCYPART_ARC
(19,21),0.0958616 # DEPENDENCYPART_ARC
(19,22),0.0150026 # DEPENDENCYPART_ARC
(19,23),-0.145247 # DEPENDENCYPART_ARC
(20,1),-1.58268 # DEPENDENCYPART_ARC
(20,2),-2.74823 # DEPENDENCYPART_ARC
(20,3),-1.92291 # DEPENDENCYPART_ARC
(20,4),-1.53876 # DEPENDENCYPART_ARC
(20,5),-1.00235 # DEPENDENCYPART_ARC
(20,6),-1.22413 # DEPENDENCYPART_ARC
(20,7),-2.49205 # DEPENDENCYPART_ARC
(20,8),-0.962509 # DEPENDENCYPART_ARC
(20,9),-1.10124 # DEPENDENCYPART_ARC
(20,10),-1.19931 # DEPENDENCYPART_ARC
(20,11),-2.30487 # DEPENDENCYPART_ARC
(20,12),-0.755966 # DEPENDENCYPART_ARC
(20,13),-0.98382 # DEPENDENCYPART_ARC
(20,14),-2.03963 # DEPENDENCYPART_ARC
(20,15),-2.03442 # DEPENDENCYPART_ARC
(20,16),-0.566188 # DEPENDENCYPART_ARC
(20,17),-1.26691 # DEPENDENCYPART_ARC
(20,18),-1.86753 # DEPENDENCYPART_ARC
(20,19),0.0447293 # DEPENDENCYPART_ARC
(20,21),-0.330986 # DEPENDENCYPART_ARC
(20,22),-0.667958 # DEPENDENCYPART_ARC
(20,23),-0.913532 # DEPENDENCYPART_ARC
(21,1),-2.9641 # DEPENDENCYPART_ARC
(21,2),-4.51467 # DEPENDENCYPART_ARC
(21,3),-2.6204 # DEPENDENCYPART_ARC
(21,4),-1.62546 # DEPENDENCYPART_ARC
(21,5),-1.21637 # DEPENDENCYPART_ARC
(21,6),-2.8025 # DEPENDENCYPART_ARC
(21,7),-4.50685 # DEPENDENCYPART_ARC
(21,8),-1.17239 # DEPENDENCYPART_ARC
(21,9),-1.4881 # DEPENDENCYPART_ARC
(21,10),-1.92541 # DEPENDENCYPART_ARC
(21,11),-4.4151 # DEPENDENCYPART_ARC
(21,12),-1.03912 # DEPENDENCYPART_ARC
(21,13),-0.671281 # DEPENDENCYPART_ARC
(21,14),-0.830943 # DEPENDENCYPART_ARC
(21,15),-3.922 # DEPENDENCYPART_ARC
(21,16),-1.05182 # DEPENDENCYPART_ARC
(21,17),-1.59287 # DEPENDENCYPART_ARC
(21,18),-1.84143 # DEPENDENCYPART_ARC
(21,19),-0.558947 # DEPENDENCYPART_ARC
(21,20),2.99284 # DEPENDENCYPART_ARC
(21,22),-0.58465 # DEPENDENCYPART_ARC
(21,23),-0.90751 # DEPENDENCYPART_ARC
(22,1),-0.909224 # DEPENDENCYPART_ARC
(22,2),0.36235 # DEPENDENCYPART_ARC
(22,3),-0.106852 # DEPENDENCYPART_ARC
(22,4),-0.558476 # DEPENDENCYPART_ARC
(22,5),0.932978 # DEPENDENCYPART_ARC
(22,6),-0.784488 # DEPENDENCYPART_ARC
(22,7),0.301513 # DEPENDENCYPART_ARC
(22,8),1.046 # DEPENDENCYPART_ARC
(22,9),-0.17399 # DEPENDENCYPART_ARC
(22,10),-0.540659 # DEPENDENCYPART_ARC
(22,11),0.0349658 # DEPENDENCYPART_ARC
(22,12),1.01564 # DEPENDENCYPART_ARC
(22,13),-0.543402 # DEPENDENCYPART_ARC
(22,14),1.44049 # DEPENDENCYPART_ARC
(22,15),0.334234 # DEPENDENCYPART_ARC
(22,16),0.867309 # DEPENDENCYPART_ARC
(22,17),1.95822 # DEPENDENCYPART_ARC
(22,18),2.77484 # DEPENDENCYPART_ARC
(22,19),2.69803 # DEPENDENCYPART_ARC
(22,20),0.391082 # DEPENDENCYPART_ARC
(22,21),3.70519 # DEPENDENCYPART_ARC
