# _root_ Egyértelmű sikernek könyvelheti el , hogy a sokáig kizárólag klasszikusokhoz szoktatott , jómódú salzburgi publikum idővel hajlandónak mutatkozott befogadni a kortárs zenét is .
#goldHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,18,18,3,18,22,22,19,18,3,
#predictedHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,18,18,6,18,22,22,19,18,3,
(2,7),-1.45559 # DEPENDENCYPART_ARC
(2,8),-1.08168 # DEPENDENCYPART_ARC
(2,9),-1.10487 # DEPENDENCYPART_ARC
(2,10),-2.70784 # DEPENDENCYPART_ARC
(2,11),-2.0697 # DEPENDENCYPART_ARC
(2,12),-0.897909 # DEPENDENCYPART_ARC
(2,13),-1.99271 # DEPENDENCYPART_ARC
(2,14),-1.90963 # DEPENDENCYPART_ARC
(2,15),-2.81789 # DEPENDENCYPART_ARC
(2,16),-1.35765 # DEPENDENCYPART_ARC
(2,17),-2.02407 # DEPENDENCYPART_ARC
(2,18),-2.27402 # DEPENDENCYPART_ARC
(2,19),-1.71731 # DEPENDENCYPART_ARC
(2,20),-1.8734 # DEPENDENCYPART_ARC
(2,21),-3.17878 # DEPENDENCYPART_ARC
(2,22),-3.28518 # DEPENDENCYPART_ARC
(2,23),-2.02981 # DEPENDENCYPART_ARC
(2,24),-0.349505 # DEPENDENCYPART_ARC
(3,1),0.854973 # DEPENDENCYPART_ARC
(3,2),3.39976 # DEPENDENCYPART_ARC
(3,4),3.54108 # DEPENDENCYPART_ARC
(3,5),1.82052 # DEPENDENCYPART_ARC
(3,6),2.41196 # DEPENDENCYPART_ARC
(3,7),-0.754618 # DEPENDENCYPART_ARC
(3,8),0.230208 # DEPENDENCYPART_ARC
(3,9),0.68982 # DEPENDENCYPART_ARC
(3,10),-1.9304 # DEPENDENCYPART_ARC
(3,11),-0.4549 # DEPENDENCYPART_ARC
(3,12),0.324487 # DEPENDENCYPART_ARC
(3,13),-1.04113 # DEPENDENCYPART_ARC
(3,14),-1.14409 # DEPENDENCYPART_ARC
(3,15),-1.31886 # DEPENDENCYPART_ARC
(3,16),0.275175 # DEPENDENCYPART_ARC
(3,17),-0.0376349 # DEPENDENCYPART_ARC
(3,18),0.404464 # DEPENDENCYPART_ARC
(3,19),0.687848 # DEPENDENCYPART_ARC
(3,20),-1.08371 # DEPENDENCYPART_ARC
(3,21),-1.46614 # DEPENDENCYPART_ARC
(3,22),-0.610026 # DEPENDENCYPART_ARC
(3,23),0.156787 # DEPENDENCYPART_ARC
(3,24),2.21327 # DEPENDENCYPART_ARC
(4,1),-0.216519 # DEPENDENCYPART_ARC
(4,2),0.24024 # DEPENDENCYPART_ARC
(4,3),0.00570678 # DEPENDENCYPART_ARC
(4,5),-0.728043 # DEPENDENCYPART_ARC
(4,6),-0.530039 # DEPENDENCYPART_ARC
(4,9),-1.0918 # DEPENDENCYPART_ARC
(4,10),-1.86077 # DEPENDENCYPART_ARC
(4,11),-1.27085 # DEPENDENCYPART_ARC
(4,12),-0.965633 # DEPENDENCYPART_ARC
(4,13),-1.53533 # DEPENDENCYPART_ARC
(4,14),-1.4506 # DEPENDENCYPART_ARC
(4,15),-2.09136 # DEPENDENCYPART_ARC
(4,16),-1.06645 # DEPENDENCYPART_ARC
(4,17),-1.78595 # DEPENDENCYPART_ARC
(4,18),-1.06976 # DEPENDENCYPART_ARC
(4,19),-1.46612 # DEPENDENCYPART_ARC
(4,21),-2.54678 # DEPENDENCYPART_ARC
(4,22),-2.71665 # DEPENDENCYPART_ARC
(4,23),-2.02723 # DEPENDENCYPART_ARC
(4,24),-1.03627 # DEPENDENCYPART_ARC
(6,1),0.476753 # DEPENDENCYPART_ARC
(6,2),0.343575 # DEPENDENCYPART_ARC
(6,3),-0.140575 # DEPENDENCYPART_ARC
(6,4),0.825803 # DEPENDENCYPART_ARC
(6,5),1.2158 # DEPENDENCYPART_ARC
(6,7),-0.667428 # DEPENDENCYPART_ARC
(6,8),-0.194504 # DEPENDENCYPART_ARC
(6,9),-0.0496497 # DEPENDENCYPART_ARC
(6,10),-1.268 # DEPENDENCYPART_ARC
(6,11),-0.270793 # DEPENDENCYPART_ARC
(6,12),0.0482868 # DEPENDENCYPART_ARC
(6,13),-0.457894 # DEPENDENCYPART_ARC
(6,14),-0.685844 # DEPENDENCYPART_ARC
(6,15),-1.63512 # DEPENDENCYPART_ARC
(6,16),-0.309519 # DEPENDENCYPART_ARC
(6,17),-0.616841 # DEPENDENCYPART_ARC
(6,18),0.808292 # DEPENDENCYPART_ARC
(6,19),-0.0731223 # DEPENDENCYPART_ARC
(6,20),-1.33522 # DEPENDENCYPART_ARC
(6,21),-1.83278 # DEPENDENCYPART_ARC
(6,22),-2.59403 # DEPENDENCYPART_ARC
(6,23),-0.168244 # DEPENDENCYPART_ARC
(6,24),1.81017 # DEPENDENCYPART_ARC
(7,1),-2.39245 # DEPENDENCYPART_ARC
(7,2),-3.47955 # DEPENDENCYPART_ARC
(7,5),-1.40563 # DEPENDENCYPART_ARC
(7,10),-1.03746 # DEPENDENCYPART_ARC
(7,11),-0.547752 # DEPENDENCYPART_ARC
(7,12),-0.472412 # DEPENDENCYPART_ARC
(7,13),-0.894164 # DEPENDENCYPART_ARC
(7,14),-0.86905 # DEPENDENCYPART_ARC
(7,15),-1.67453 # DEPENDENCYPART_ARC
(7,17),-1.17717 # DEPENDENCYPART_ARC
(7,21),-2.0433 # DEPENDENCYPART_ARC
(7,22),-2.19973 # DEPENDENCYPART_ARC
(7,23),-1.67728 # DEPENDENCYPART_ARC
(8,1),-1.54612 # DEPENDENCYPART_ARC
(8,2),-1.48728 # DEPENDENCYPART_ARC
(8,5),-0.551859 # DEPENDENCYPART_ARC
(8,9),-0.554757 # DEPENDENCYPART_ARC
(8,10),-0.493229 # DEPENDENCYPART_ARC
(8,11),-0.498557 # DEPENDENCYPART_ARC
(8,12),-0.440237 # DEPENDENCYPART_ARC
(8,13),-0.872239 # DEPENDENCYPART_ARC
(8,14),-0.978674 # DEPENDENCYPART_ARC
(8,15),-1.12595 # DEPENDENCYPART_ARC
(8,16),-0.871649 # DEPENDENCYPART_ARC
(8,17),-1.18267 # DEPENDENCYPART_ARC
(8,21),-1.80972 # DEPENDENCYPART_ARC
(8,22),-1.89863 # DEPENDENCYPART_ARC
(8,24),-0.772157 # DEPENDENCYPART_ARC
(9,1),-0.987097 # DEPENDENCYPART_ARC
(9,2),-1.05115 # DEPENDENCYPART_ARC
(9,3),-0.460883 # DEPENDENCYPART_ARC
(9,4),-0.643524 # DEPENDENCYPART_ARC
(9,5),-0.112382 # DEPENDENCYPART_ARC
(9,6),-0.0787793 # DEPENDENCYPART_ARC
(9,7),-0.0751752 # DEPENDENCYPART_ARC
(9,8),0.26034 # DEPENDENCYPART_ARC
(9,10),-0.149447 # DEPENDENCYPART_ARC
(9,11),0.0654904 # DEPENDENCYPART_ARC
(9,12),0.0726677 # DEPENDENCYPART_ARC
(9,13),-0.527037 # DEPENDENCYPART_ARC
(9,14),-0.517827 # DEPENDENCYPART_ARC
(9,15),-0.799278 # DEPENDENCYPART_ARC
(9,16),-0.536361 # DEPENDENCYPART_ARC
(9,17),-0.929731 # DEPENDENCYPART_ARC
(9,18),-0.556466 # DEPENDENCYPART_ARC
(9,19),-0.910896 # DEPENDENCYPART_ARC
(9,20),-1.04852 # DEPENDENCYPART_ARC
(9,21),-1.4719 # DEPENDENCYPART_ARC
(9,22),-1.59724 # DEPENDENCYPART_ARC
(9,23),-1.26717 # DEPENDENCYPART_ARC
(9,24),-0.219297 # DEPENDENCYPART_ARC
(10,1),-1.87463 # DEPENDENCYPART_ARC
(10,2),-3.71142 # DEPENDENCYPART_ARC
(10,3),-2.35101 # DEPENDENCYPART_ARC
(10,4),-1.14095 # DEPENDENCYPART_ARC
(10,5),-0.74821 # DEPENDENCYPART_ARC
(10,6),-1.14506 # DEPENDENCYPART_ARC
(10,7),0.375628 # DEPENDENCYPART_ARC
(10,8),0.356467 # DEPENDENCYPART_ARC
(10,9),0.504966 # DEPENDENCYPART_ARC
(10,11),-0.273423 # DEPENDENCYPART_ARC
(10,12),0.0011107 # DEPENDENCYPART_ARC
(10,13),-0.285912 # DEPENDENCYPART_ARC
(10,14),-0.294447 # DEPENDENCYPART_ARC
(10,15),-0.682191 # DEPENDENCYPART_ARC
(10,16),-0.866911 # DEPENDENCYPART_ARC
(10,17),-0.634333 # DEPENDENCYPART_ARC
(10,18),-1.17796 # DEPENDENCYPART_ARC
(10,19),-0.682431 # DEPENDENCYPART_ARC
(10,20),-1.15129 # DEPENDENCYPART_ARC
(10,21),-1.78274 # DEPENDENCYPART_ARC
(10,22),-1.77461 # DEPENDENCYPART_ARC
(10,23),-1.19761 # DEPENDENCYPART_ARC
(10,24),0.152211 # DEPENDENCYPART_ARC
(11,1),-1.34308 # DEPENDENCYPART_ARC
(11,2),-0.378324 # DEPENDENCYPART_ARC
(11,3),-0.538408 # DEPENDENCYPART_ARC
(11,4),-0.204716 # DEPENDENCYPART_ARC
(11,5),0.254309 # DEPENDENCYPART_ARC
(11,6),0.0545121 # DEPENDENCYPART_ARC
(11,7),-0.0962604 # DEPENDENCYPART_ARC
(11,8),1.56903 # DEPENDENCYPART_ARC
(11,9),1.21502 # DEPENDENCYPART_ARC
(11,10),2.46047 # DEPENDENCYPART_ARC
(11,12),0.221879 # DEPENDENCYPART_ARC
(11,13),-0.684245 # DEPENDENCYPART_ARC
(11,14),-0.80879 # DEPENDENCYPART_ARC
(11,15),-0.844809 # DEPENDENCYPART_ARC
(11,16),-0.665886 # DEPENDENCYPART_ARC
(11,17),-0.88621 # DEPENDENCYPART_ARC
(11,18),-0.176848 # DEPENDENCYPART_ARC
(11,19),-0.393492 # DEPENDENCYPART_ARC
(11,20),-1.20662 # DEPENDENCYPART_ARC
(11,21),-1.39973 # DEPENDENCYPART_ARC
(11,22),-1.97318 # DEPENDENCYPART_ARC
(11,23),-1.2612 # DEPENDENCYPART_ARC
(11,24),0.330241 # DEPENDENCYPART_ARC
(13,1),-1.69175 # DEPENDENCYPART_ARC
(13,2),-1.26673 # DEPENDENCYPART_ARC
(13,3),-0.589944 # DEPENDENCYPART_ARC
(13,4),-0.378588 # DEPENDENCYPART_ARC
(13,5),-0.14589 # DEPENDENCYPART_ARC
(13,6),-0.116367 # DEPENDENCYPART_ARC
(13,7),-0.496793 # DEPENDENCYPART_ARC
(13,8),0.840066 # DEPENDENCYPART_ARC
(13,9),0.414058 # DEPENDENCYPART_ARC
(13,10),0.595051 # DEPENDENCYPART_ARC
(13,11),0.100755 # DEPENDENCYPART_ARC
(13,12),0.762982 # DEPENDENCYPART_ARC
(13,14),-0.352218 # DEPENDENCYPART_ARC
(13,15),-0.202221 # DEPENDENCYPART_ARC
(13,16),-0.661382 # DEPENDENCYPART_ARC
(13,17),-0.709718 # DEPENDENCYPART_ARC
(13,18),-0.355149 # DEPENDENCYPART_ARC
(13,19),-0.552327 # DEPENDENCYPART_ARC
(13,20),-1.19361 # DEPENDENCYPART_ARC
(13,21),-1.22496 # DEPENDENCYPART_ARC
(13,22),-1.67474 # DEPENDENCYPART_ARC
(13,23),-1.14213 # DEPENDENCYPART_ARC
(13,24),-0.00405381 # DEPENDENCYPART_ARC
(14,1),-1.78412 # DEPENDENCYPART_ARC
(14,2),-1.75315 # DEPENDENCYPART_ARC
(14,3),-0.877992 # DEPENDENCYPART_ARC
(14,4),-0.636153 # DEPENDENCYPART_ARC
(14,5),-0.293932 # DEPENDENCYPART_ARC
(14,6),-0.466717 # DEPENDENCYPART_ARC
(14,7),-0.73366 # DEPENDENCYPART_ARC
(14,8),0.704633 # DEPENDENCYPART_ARC
(14,9),0.212056 # DEPENDENCYPART_ARC
(14,10),0.354468 # DEPENDENCYPART_ARC
(14,11),-0.477634 # DEPENDENCYPART_ARC
(14,12),0.140346 # DEPENDENCYPART_ARC
(14,13),1.42451 # DEPENDENCYPART_ARC
(14,15),-0.675371 # DEPENDENCYPART_ARC
(14,16),-1.12353 # DEPENDENCYPART_ARC
(14,17),-1.21239 # DEPENDENCYPART_ARC
(14,18),-0.936766 # DEPENDENCYPART_ARC
(14,19),-1.20822 # DEPENDENCYPART_ARC
(14,20),-1.72803 # DEPENDENCYPART_ARC
(14,21),-1.81733 # DEPENDENCYPART_ARC
(14,22),-2.27864 # DEPENDENCYPART_ARC
(14,23),-1.66386 # DEPENDENCYPART_ARC
(14,24),-0.668165 # DEPENDENCYPART_ARC
(15,1),-0.247785 # DEPENDENCYPART_ARC
(15,2),-3.45593 # DEPENDENCYPART_ARC
(15,3),-0.555534 # DEPENDENCYPART_ARC
(15,4),-0.398551 # DEPENDENCYPART_ARC
(15,5),-0.00500071 # DEPENDENCYPART_ARC
(15,6),-0.496225 # DEPENDENCYPART_ARC
(15,7),2.00166 # DEPENDENCYPART_ARC
(15,8),0.301682 # DEPENDENCYPART_ARC
(15,9),-0.0371633 # DEPENDENCYPART_ARC
(15,10),-0.94018 # DEPENDENCYPART_ARC
(15,11),2.14271 # DEPENDENCYPART_ARC
(15,12),2.08878 # DEPENDENCYPART_ARC
(15,13),2.76839 # DEPENDENCYPART_ARC
(15,14),3.70615 # DEPENDENCYPART_ARC
(15,16),-0.376215 # DEPENDENCYPART_ARC
(15,17),-0.54296 # DEPENDENCYPART_ARC
(15,18),-0.339057 # DEPENDENCYPART_ARC
(15,19),-0.330054 # DEPENDENCYPART_ARC
(15,20),-0.897311 # DEPENDENCYPART_ARC
(15,21),-1.00735 # DEPENDENCYPART_ARC
(15,22),-1.60639 # DEPENDENCYPART_ARC
(15,23),-0.77208 # DEPENDENCYPART_ARC
(15,24),0.169056 # DEPENDENCYPART_ARC
(16,1),-0.949727 # DEPENDENCYPART_ARC
(16,2),-1.06094 # DEPENDENCYPART_ARC
(16,3),-0.5992 # DEPENDENCYPART_ARC
(16,4),-0.735751 # DEPENDENCYPART_ARC
(16,5),-0.431355 # DEPENDENCYPART_ARC
(16,6),-0.54414 # DEPENDENCYPART_ARC
(16,7),-1.33448 # DEPENDENCYPART_ARC
(16,8),-0.31296 # DEPENDENCYPART_ARC
(16,9),-0.313279 # DEPENDENCYPART_ARC
(16,10),-0.193057 # DEPENDENCYPART_ARC
(16,11),-0.535275 # DEPENDENCYPART_ARC
(16,12),-0.191413 # DEPENDENCYPART_ARC
(16,13),-0.0154072 # DEPENDENCYPART_ARC
(16,14),-0.113072 # DEPENDENCYPART_ARC
(16,15),0.322488 # DEPENDENCYPART_ARC
(16,17),-0.0589373 # DEPENDENCYPART_ARC
(16,18),-0.177836 # DEPENDENCYPART_ARC
(16,19),-0.559184 # DEPENDENCYPART_ARC
(16,20),-0.798755 # DEPENDENCYPART_ARC
(16,21),-0.706005 # DEPENDENCYPART_ARC
(16,22),-1.12278 # DEPENDENCYPART_ARC
(16,23),-0.778237 # DEPENDENCYPART_ARC
(16,24),-0.499742 # DEPENDENCYPART_ARC
(17,1),-2.06053 # DEPENDENCYPART_ARC
(17,2),-1.74013 # DEPENDENCYPART_ARC
(17,3),-0.951849 # DEPENDENCYPART_ARC
(17,4),-0.645455 # DEPENDENCYPART_ARC
(17,5),-0.369141 # DEPENDENCYPART_ARC
(17,6),-0.477848 # DEPENDENCYPART_ARC
(17,7),-0.51297 # DEPENDENCYPART_ARC
(17,8),0.496617 # DEPENDENCYPART_ARC
(17,9),-0.102312 # DEPENDENCYPART_ARC
(17,10),-0.815441 # DEPENDENCYPART_ARC
(17,11),-1.01958 # DEPENDENCYPART_ARC
(17,12),-0.0693226 # DEPENDENCYPART_ARC
(17,13),-0.286874 # DEPENDENCYPART_ARC
(17,14),-0.378742 # DEPENDENCYPART_ARC
(17,15),-0.359895 # DEPENDENCYPART_ARC
(17,16),1.76507 # DEPENDENCYPART_ARC
(17,18),-0.458488 # DEPENDENCYPART_ARC
(17,19),-0.427453 # DEPENDENCYPART_ARC
(17,20),-1.07136 # DEPENDENCYPART_ARC
(17,21),-1.06769 # DEPENDENCYPART_ARC
(17,22),-1.61887 # DEPENDENCYPART_ARC
(17,23),-0.941078 # DEPENDENCYPART_ARC
(17,24),0.145323 # DEPENDENCYPART_ARC
(18,1),-1.84051 # DEPENDENCYPART_ARC
(18,2),0.18838 # DEPENDENCYPART_ARC
(18,3),-0.249945 # DEPENDENCYPART_ARC
(18,4),-0.465661 # DEPENDENCYPART_ARC
(18,5),1.2092 # DEPENDENCYPART_ARC
(18,6),0.502365 # DEPENDENCYPART_ARC
(18,7),-0.935988 # DEPENDENCYPART_ARC
(18,8),0.496718 # DEPENDENCYPART_ARC
(18,9),1.0635 # DEPENDENCYPART_ARC
(18,10),-0.214136 # DEPENDENCYPART_ARC
(18,11),-0.734326 # DEPENDENCYPART_ARC
(18,12),1.22565 # DEPENDENCYPART_ARC
(18,13),-0.36794 # DEPENDENCYPART_ARC
(18,14),-0.0872582 # DEPENDENCYPART_ARC
(18,15),2.0703 # DEPENDENCYPART_ARC
(18,16),1.85304 # DEPENDENCYPART_ARC
(18,17),2.4833 # DEPENDENCYPART_ARC
(18,19),3.39193 # DEPENDENCYPART_ARC
(18,20),-0.493143 # DEPENDENCYPART_ARC
(18,21),0.300368 # DEPENDENCYPART_ARC
(18,22),0.185653 # DEPENDENCYPART_ARC
(18,23),1.40591 # DEPENDENCYPART_ARC
(18,24),1.91836 # DEPENDENCYPART_ARC
(19,1),-1.23718 # DEPENDENCYPART_ARC
(19,2),0.221363 # DEPENDENCYPART_ARC
(19,3),-0.902041 # DEPENDENCYPART_ARC
(19,4),-0.988249 # DEPENDENCYPART_ARC
(19,5),0.208245 # DEPENDENCYPART_ARC
(19,6),-0.209383 # DEPENDENCYPART_ARC
(19,7),-0.917301 # DEPENDENCYPART_ARC
(19,8),0.341883 # DEPENDENCYPART_ARC
(19,9),1.08477 # DEPENDENCYPART_ARC
(19,10),0.55238 # DEPENDENCYPART_ARC
(19,11),-0.555298 # DEPENDENCYPART_ARC
(19,12),0.215407 # DEPENDENCYPART_ARC
(19,13),-0.143985 # DEPENDENCYPART_ARC
(19,14),0.0942481 # DEPENDENCYPART_ARC
(19,15),0.7044 # DEPENDENCYPART_ARC
(19,16),1.59829 # DEPENDENCYPART_ARC
(19,17),2.22677 # DEPENDENCYPART_ARC
(19,18),1.2839 # DEPENDENCYPART_ARC
(19,20),-0.0228988 # DEPENDENCYPART_ARC
(19,21),0.693426 # DEPENDENCYPART_ARC
(19,22),2.25588 # DEPENDENCYPART_ARC
(19,23),1.29546 # DEPENDENCYPART_ARC
(19,24),0.623226 # DEPENDENCYPART_ARC
(20,1),-2.58222 # DEPENDENCYPART_ARC
(20,2),-3.93537 # DEPENDENCYPART_ARC
(20,5),-2.03035 # DEPENDENCYPART_ARC
(20,10),-3.46773 # DEPENDENCYPART_ARC
(20,11),-2.46184 # DEPENDENCYPART_ARC
(20,12),-1.85091 # DEPENDENCYPART_ARC
(20,13),-2.44731 # DEPENDENCYPART_ARC
(20,14),-2.33815 # DEPENDENCYPART_ARC
(20,15),-3.40086 # DEPENDENCYPART_ARC
(20,17),-1.95707 # DEPENDENCYPART_ARC
(20,21),-0.52674 # DEPENDENCYPART_ARC
(20,22),-0.923933 # DEPENDENCYPART_ARC
(20,23),-1.03882 # DEPENDENCYPART_ARC
(21,1),-4.04484 # DEPENDENCYPART_ARC
(21,2),-6.7015 # DEPENDENCYPART_ARC
(21,3),-3.14254 # DEPENDENCYPART_ARC
(21,4),-2.65444 # DEPENDENCYPART_ARC
(21,5),-3.29224 # DEPENDENCYPART_ARC
(21,6),-3.04792 # DEPENDENCYPART_ARC
(21,7),-2.42214 # DEPENDENCYPART_ARC
(21,8),-2.15542 # DEPENDENCYPART_ARC
(21,9),-2.58614 # DEPENDENCYPART_ARC
(21,10),-5.56638 # DEPENDENCYPART_ARC
(21,11),-2.77474 # DEPENDENCYPART_ARC
(21,12),-1.86954 # DEPENDENCYPART_ARC
(21,13),-2.722 # DEPENDENCYPART_ARC
(21,14),-2.4759 # DEPENDENCYPART_ARC
(21,15),-4.11003 # DEPENDENCYPART_ARC
(21,16),-2.04265 # DEPENDENCYPART_ARC
(21,17),-4.61965 # DEPENDENCYPART_ARC
(21,18),-1.83832 # DEPENDENCYPART_ARC
(21,19),0.0801838 # DEPENDENCYPART_ARC
(21,20),2.33914 # DEPENDENCYPART_ARC
(21,22),-1.25716 # DEPENDENCYPART_ARC
(21,23),-1.35448 # DEPENDENCYPART_ARC
(21,24),-0.92764 # DEPENDENCYPART_ARC
(22,1),-1.40763 # DEPENDENCYPART_ARC
(22,2),-5.42526 # DEPENDENCYPART_ARC
(22,3),-2.2856 # DEPENDENCYPART_ARC
(22,4),-1.14009 # DEPENDENCYPART_ARC
(22,5),-1.31568 # DEPENDENCYPART_ARC
(22,6),-1.25468 # DEPENDENCYPART_ARC
(22,7),-0.96958 # DEPENDENCYPART_ARC
(22,8),-0.521656 # DEPENDENCYPART_ARC
(22,9),-0.871311 # DEPENDENCYPART_ARC
(22,10),-4.30082 # DEPENDENCYPART_ARC
(22,11),-0.344466 # DEPENDENCYPART_ARC
(22,12),-0.524447 # DEPENDENCYPART_ARC
(22,13),-0.602724 # DEPENDENCYPART_ARC
(22,14),-0.434003 # DEPENDENCYPART_ARC
(22,15),-2.9468 # DEPENDENCYPART_ARC
(22,16),-0.555265 # DEPENDENCYPART_ARC
(22,17),-2.60039 # DEPENDENCYPART_ARC
(22,18),-1.43401 # DEPENDENCYPART_ARC
(22,19),0.75063 # DEPENDENCYPART_ARC
(22,20),2.77498 # DEPENDENCYPART_ARC
(22,21),2.70395 # DEPENDENCYPART_ARC
(22,23),-0.919581 # DEPENDENCYPART_ARC
(22,24),-1.20127 # DEPENDENCYPART_ARC
(23,1),-0.404841 # DEPENDENCYPART_ARC
(23,2),-0.84464 # DEPENDENCYPART_ARC
(23,3),-1.85019 # DEPENDENCYPART_ARC
(23,5),-0.0838724 # DEPENDENCYPART_ARC
(23,6),-0.721278 # DEPENDENCYPART_ARC
(23,7),-1.78856 # DEPENDENCYPART_ARC
(23,8),-0.535417 # DEPENDENCYPART_ARC
(23,9),-0.50984 # DEPENDENCYPART_ARC
(23,10),-0.411903 # DEPENDENCYPART_ARC
(23,11),-0.290734 # DEPENDENCYPART_ARC
(23,12),-0.176798 # DEPENDENCYPART_ARC
(23,13),0.0969742 # DEPENDENCYPART_ARC
(23,14),-0.199374 # DEPENDENCYPART_ARC
(23,15),-0.711258 # DEPENDENCYPART_ARC
(23,16),-0.135577 # DEPENDENCYPART_ARC
(23,17),-0.132569 # DEPENDENCYPART_ARC
(23,18),0.444827 # DEPENDENCYPART_ARC
(23,19),-0.42168 # DEPENDENCYPART_ARC
(23,20),-0.139162 # DEPENDENCYPART_ARC
(23,21),0.198327 # DEPENDENCYPART_ARC
(23,22),0.308333 # DEPENDENCYPART_ARC
(23,24),0.558932 # DEPENDENCYPART_ARC
