# _root_ Ugyanakkor mindkét szakember csak akkor tulajdonítana jelentőséget az eltérésnek , ha hónapokon át , tendenciaszerűen jelentkezne .
#goldHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
#predictedHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
(2,16),-1.60689 # DEPENDENCYPART_ARC
(2,17),-0.557858 # DEPENDENCYPART_ARC
(3,1),1.02479 # DEPENDENCYPART_ARC
(3,2),3.08239 # DEPENDENCYPART_ARC
(3,4),-0.705767 # DEPENDENCYPART_ARC
(3,5),-0.809058 # DEPENDENCYPART_ARC
(3,6),-0.648617 # DEPENDENCYPART_ARC
(3,7),-1.7917 # DEPENDENCYPART_ARC
(3,8),-1.21395 # DEPENDENCYPART_ARC
(3,9),-2.06074 # DEPENDENCYPART_ARC
(3,10),-0.358627 # DEPENDENCYPART_ARC
(3,11),-1.08004 # DEPENDENCYPART_ARC
(3,12),-2.87559 # DEPENDENCYPART_ARC
(3,13),-0.575543 # DEPENDENCYPART_ARC
(3,14),-0.695681 # DEPENDENCYPART_ARC
(3,15),-1.98118 # DEPENDENCYPART_ARC
(3,16),-1.24519 # DEPENDENCYPART_ARC
(3,17),-0.0678478 # DEPENDENCYPART_ARC
(4,1),0.121822 # DEPENDENCYPART_ARC
(4,2),-0.323409 # DEPENDENCYPART_ARC
(4,3),0.333191 # DEPENDENCYPART_ARC
(4,5),-0.167666 # DEPENDENCYPART_ARC
(4,6),0.14424 # DEPENDENCYPART_ARC
(4,7),-0.413554 # DEPENDENCYPART_ARC
(4,8),-0.662399 # DEPENDENCYPART_ARC
(4,9),-0.506723 # DEPENDENCYPART_ARC
(4,10),-0.440399 # DEPENDENCYPART_ARC
(4,11),-0.616514 # DEPENDENCYPART_ARC
(4,12),-1.28587 # DEPENDENCYPART_ARC
(4,13),-0.418428 # DEPENDENCYPART_ARC
(4,14),-0.720493 # DEPENDENCYPART_ARC
(4,15),-1.2367 # DEPENDENCYPART_ARC
(4,16),-0.730163 # DEPENDENCYPART_ARC
(4,17),-0.00165565 # DEPENDENCYPART_ARC
(5,1),0.0406596 # DEPENDENCYPART_ARC
(5,2),-0.205366 # DEPENDENCYPART_ARC
(5,3),-0.205434 # DEPENDENCYPART_ARC
(5,4),0.888137 # DEPENDENCYPART_ARC
(5,6),0.391554 # DEPENDENCYPART_ARC
(5,7),-0.236172 # DEPENDENCYPART_ARC
(5,9),-0.537532 # DEPENDENCYPART_ARC
(5,10),-0.296489 # DEPENDENCYPART_ARC
(5,11),-0.446222 # DEPENDENCYPART_ARC
(5,12),-1.24749 # DEPENDENCYPART_ARC
(5,13),-0.351703 # DEPENDENCYPART_ARC
(5,14),-0.468847 # DEPENDENCYPART_ARC
(5,15),-1.3065 # DEPENDENCYPART_ARC
(5,16),-0.751407 # DEPENDENCYPART_ARC
(5,17),0.397751 # DEPENDENCYPART_ARC
(6,1),1.51804 # DEPENDENCYPART_ARC
(6,2),0.000608531 # DEPENDENCYPART_ARC
(6,3),1.79107 # DEPENDENCYPART_ARC
(6,4),2.18537 # DEPENDENCYPART_ARC
(6,5),2.843 # DEPENDENCYPART_ARC
(6,7),3.05777 # DEPENDENCYPART_ARC
(6,8),0.18349 # DEPENDENCYPART_ARC
(6,9),2.28002 # DEPENDENCYPART_ARC
(6,10),1.95101 # DEPENDENCYPART_ARC
(6,11),2.72678 # DEPENDENCYPART_ARC
(6,12),-0.399905 # DEPENDENCYPART_ARC
(6,13),1.50402 # DEPENDENCYPART_ARC
(6,14),1.13838 # DEPENDENCYPART_ARC
(6,15),0.471675 # DEPENDENCYPART_ARC
(6,16),1.86182 # DEPENDENCYPART_ARC
(6,17),2.33576 # DEPENDENCYPART_ARC
(7,1),-0.910859 # DEPENDENCYPART_ARC
(7,2),-0.522687 # DEPENDENCYPART_ARC
(7,3),-2.5222 # DEPENDENCYPART_ARC
(7,4),-0.71502 # DEPENDENCYPART_ARC
(7,5),-0.205125 # DEPENDENCYPART_ARC
(7,6),-0.715077 # DEPENDENCYPART_ARC
(7,8),-0.52289 # DEPENDENCYPART_ARC
(7,9),-0.940306 # DEPENDENCYPART_ARC
(7,10),0.00946963 # DEPENDENCYPART_ARC
(7,11),-0.718838 # DEPENDENCYPART_ARC
(7,12),-1.53506 # DEPENDENCYPART_ARC
(7,13),-0.210049 # DEPENDENCYPART_ARC
(7,14),-0.158633 # DEPENDENCYPART_ARC
(7,15),-0.952266 # DEPENDENCYPART_ARC
(7,16),-0.642798 # DEPENDENCYPART_ARC
(7,17),0.117898 # DEPENDENCYPART_ARC
(8,3),-2.70405 # DEPENDENCYPART_ARC
(8,7),-1.22282 # DEPENDENCYPART_ARC
(8,9),-0.571851 # DEPENDENCYPART_ARC
(8,10),-0.298437 # DEPENDENCYPART_ARC
(8,12),-1.29602 # DEPENDENCYPART_ARC
(8,14),-0.496309 # DEPENDENCYPART_ARC
(8,15),-1.1364 # DEPENDENCYPART_ARC
(9,1),-1.06806 # DEPENDENCYPART_ARC
(9,2),-0.950442 # DEPENDENCYPART_ARC
(9,3),-3.50435 # DEPENDENCYPART_ARC
(9,4),-1.2082 # DEPENDENCYPART_ARC
(9,5),-0.90316 # DEPENDENCYPART_ARC
(9,6),-1.93994 # DEPENDENCYPART_ARC
(9,7),-1.8972 # DEPENDENCYPART_ARC
(9,8),3.1394 # DEPENDENCYPART_ARC
(9,10),-0.494899 # DEPENDENCYPART_ARC
(9,11),-1.40882 # DEPENDENCYPART_ARC
(9,12),-1.92661 # DEPENDENCYPART_ARC
(9,13),-0.625848 # DEPENDENCYPART_ARC
(9,14),-0.776492 # DEPENDENCYPART_ARC
(9,15),-1.525 # DEPENDENCYPART_ARC
(9,16),-1.47866 # DEPENDENCYPART_ARC
(9,17),-0.554744 # DEPENDENCYPART_ARC
(11,1),0.0279849 # DEPENDENCYPART_ARC
(11,2),-0.474615 # DEPENDENCYPART_ARC
(11,3),-0.0623886 # DEPENDENCYPART_ARC
(11,4),0.114081 # DEPENDENCYPART_ARC
(11,5),0.269415 # DEPENDENCYPART_ARC
(11,6),-0.685686 # DEPENDENCYPART_ARC
(11,7),-0.213853 # DEPENDENCYPART_ARC
(11,8),-0.0700402 # DEPENDENCYPART_ARC
(11,9),0.134938 # DEPENDENCYPART_ARC
(11,10),0.836942 # DEPENDENCYPART_ARC
(11,12),-0.624984 # DEPENDENCYPART_ARC
(11,13),-0.315771 # DEPENDENCYPART_ARC
(11,14),-0.215742 # DEPENDENCYPART_ARC
(11,15),-0.668794 # DEPENDENCYPART_ARC
(11,16),0.151271 # DEPENDENCYPART_ARC
(11,17),1.67029 # DEPENDENCYPART_ARC
(12,1),-1.87085 # DEPENDENCYPART_ARC
(12,2),-2.15825 # DEPENDENCYPART_ARC
(12,3),-3.93328 # DEPENDENCYPART_ARC
(12,4),-2.07645 # DEPENDENCYPART_ARC
(12,5),-1.86365 # DEPENDENCYPART_ARC
(12,6),-3.68322 # DEPENDENCYPART_ARC
(12,7),-2.82761 # DEPENDENCYPART_ARC
(12,8),0.351923 # DEPENDENCYPART_ARC
(12,9),-1.62739 # DEPENDENCYPART_ARC
(12,10),-0.5086 # DEPENDENCYPART_ARC
(12,11),-0.919234 # DEPENDENCYPART_ARC
(12,13),-0.846554 # DEPENDENCYPART_ARC
(12,14),-1.0875 # DEPENDENCYPART_ARC
(12,15),-1.5456 # DEPENDENCYPART_ARC
(12,16),-1.36615 # DEPENDENCYPART_ARC
(12,17),-1.24035 # DEPENDENCYPART_ARC
(13,2),-0.814559 # DEPENDENCYPART_ARC
(13,3),-1.0979 # DEPENDENCYPART_ARC
(13,4),-0.57332 # DEPENDENCYPART_ARC
(13,6),-0.550888 # DEPENDENCYPART_ARC
(13,7),-0.201886 # DEPENDENCYPART_ARC
(13,8),-0.189209 # DEPENDENCYPART_ARC
(13,9),0.545025 # DEPENDENCYPART_ARC
(13,10),0.858901 # DEPENDENCYPART_ARC
(13,12),3.82479 # DEPENDENCYPART_ARC
(13,14),0.220942 # DEPENDENCYPART_ARC
(13,15),-0.331317 # DEPENDENCYPART_ARC
(13,16),-0.139809 # DEPENDENCYPART_ARC
(13,17),-0.484678 # DEPENDENCYPART_ARC
(15,1),-1.38176 # DEPENDENCYPART_ARC
(15,2),-1.54151 # DEPENDENCYPART_ARC
(15,3),-3.12484 # DEPENDENCYPART_ARC
(15,4),-1.28202 # DEPENDENCYPART_ARC
(15,5),-1.03377 # DEPENDENCYPART_ARC
(15,6),-1.10907 # DEPENDENCYPART_ARC
(15,7),-1.73085 # DEPENDENCYPART_ARC
(15,8),-0.424471 # DEPENDENCYPART_ARC
(15,9),-0.486244 # DEPENDENCYPART_ARC
(15,10),-0.328014 # DEPENDENCYPART_ARC
(15,11),-0.386073 # DEPENDENCYPART_ARC
(15,12),-1.06551 # DEPENDENCYPART_ARC
(15,13),0.262549 # DEPENDENCYPART_ARC
(15,14),0.39173 # DEPENDENCYPART_ARC
(15,16),0.279577 # DEPENDENCYPART_ARC
(15,17),-0.359871 # DEPENDENCYPART_ARC
(16,1),0.391617 # DEPENDENCYPART_ARC
(16,2),-1.07169 # DEPENDENCYPART_ARC
(16,3),0.36348 # DEPENDENCYPART_ARC
(16,4),0.745823 # DEPENDENCYPART_ARC
(16,5),0.355419 # DEPENDENCYPART_ARC
(16,6),0.779705 # DEPENDENCYPART_ARC
(16,7),0.453919 # DEPENDENCYPART_ARC
(16,8),0.131461 # DEPENDENCYPART_ARC
(16,9),0.432055 # DEPENDENCYPART_ARC
(16,10),0.813977 # DEPENDENCYPART_ARC
(16,11),1.00113 # DEPENDENCYPART_ARC
(16,12),0.995577 # DEPENDENCYPART_ARC
(16,13),1.90684 # DEPENDENCYPART_ARC
(16,14),1.67133 # DEPENDENCYPART_ARC
(16,15),3.36928 # DEPENDENCYPART_ARC
(16,17),1.40288 # DEPENDENCYPART_ARC
