# _root_ Önkéntesek hordták a vizet és az élelmet , a törmelék elszállítását — ha kellett , puszta kézzel — maguk szervezték meg .
#goldHeads=2,0,4,2,2,7,2,2,10,11,20,13,20,13,14,17,14,13,20,2,20,2,
#predictedHeads=2,0,4,2,2,7,2,2,10,11,2,13,2,2,14,17,20,20,20,2,20,2,
(7,22),0.75679 # DEPENDENCYPART_ARC
(8,1),-2.93364 # DEPENDENCYPART_ARC
(8,2),-2.0263 # DEPENDENCYPART_ARC
(8,3),-1.68471 # DEPENDENCYPART_ARC
(8,4),-2.46941 # DEPENDENCYPART_ARC
(8,5),-1.2746 # DEPENDENCYPART_ARC
(8,6),-1.00823 # DEPENDENCYPART_ARC
(8,7),-1.56257 # DEPENDENCYPART_ARC
(8,9),-0.758894 # DEPENDENCYPART_ARC
(8,10),-1.25443 # DEPENDENCYPART_ARC
(8,11),-1.66788 # DEPENDENCYPART_ARC
(8,12),-0.854014 # DEPENDENCYPART_ARC
(8,13),-0.985762 # DEPENDENCYPART_ARC
(8,14),-1.18838 # DEPENDENCYPART_ARC
(8,15),-0.922145 # DEPENDENCYPART_ARC
(8,16),-1.47239 # DEPENDENCYPART_ARC
(8,17),-2.15044 # DEPENDENCYPART_ARC
(8,18),-1.01388 # DEPENDENCYPART_ARC
(8,19),-1.50623 # DEPENDENCYPART_ARC
(8,20),-1.48322 # DEPENDENCYPART_ARC
(8,21),-1.32079 # DEPENDENCYPART_ARC
(8,22),-1.17536 # DEPENDENCYPART_ARC
(9,1),-2.79329 # DEPENDENCYPART_ARC
(9,2),-1.98354 # DEPENDENCYPART_ARC
(9,3),-1.27863 # DEPENDENCYPART_ARC
(9,4),-2.41437 # DEPENDENCYPART_ARC
(9,5),-1.12647 # DEPENDENCYPART_ARC
(9,6),-0.967605 # DEPENDENCYPART_ARC
(9,7),-1.86574 # DEPENDENCYPART_ARC
(9,8),-0.540832 # DEPENDENCYPART_ARC
(9,10),-0.306857 # DEPENDENCYPART_ARC
(9,11),-0.854724 # DEPENDENCYPART_ARC
(9,12),-0.174848 # DEPENDENCYPART_ARC
(9,13),-0.715553 # DEPENDENCYPART_ARC
(9,14),-1.09614 # DEPENDENCYPART_ARC
(9,15),-0.372602 # DEPENDENCYPART_ARC
(9,16),-1.05381 # DEPENDENCYPART_ARC
(9,17),-1.62505 # DEPENDENCYPART_ARC
(9,18),-0.487145 # DEPENDENCYPART_ARC
(9,19),-1.17887 # DEPENDENCYPART_ARC
(9,20),-1.45027 # DEPENDENCYPART_ARC
(9,21),-1.08084 # DEPENDENCYPART_ARC
(9,22),-1.50609 # DEPENDENCYPART_ARC
(10,1),-4.68315 # DEPENDENCYPART_ARC
(10,2),-1.57571 # DEPENDENCYPART_ARC
(10,3),-0.673716 # DEPENDENCYPART_ARC
(10,4),-3.40495 # DEPENDENCYPART_ARC
(10,5),-0.755493 # DEPENDENCYPART_ARC
(10,6),0.853721 # DEPENDENCYPART_ARC
(10,7),-2.88248 # DEPENDENCYPART_ARC
(10,8),-0.576405 # DEPENDENCYPART_ARC
(10,9),3.30682 # DEPENDENCYPART_ARC
(10,11),-1.12529 # DEPENDENCYPART_ARC
(10,12),-0.441989 # DEPENDENCYPART_ARC
(10,13),-0.982511 # DEPENDENCYPART_ARC
(10,14),-0.638861 # DEPENDENCYPART_ARC
(10,15),-0.710537 # DEPENDENCYPART_ARC
(10,16),-1.48337 # DEPENDENCYPART_ARC
(10,17),-1.90054 # DEPENDENCYPART_ARC
(10,18),-0.64284 # DEPENDENCYPART_ARC
(10,19),-1.35371 # DEPENDENCYPART_ARC
(10,20),-0.898583 # DEPENDENCYPART_ARC
(10,21),-1.18017 # DEPENDENCYPART_ARC
(10,22),0.228063 # DEPENDENCYPART_ARC
(11,1),-1.17104 # DEPENDENCYPART_ARC
(11,2),-1.13761 # DEPENDENCYPART_ARC
(11,3),-1.31571 # DEPENDENCYPART_ARC
(11,4),-1.25669 # DEPENDENCYPART_ARC
(11,5),1.04938 # DEPENDENCYPART_ARC
(11,6),-0.0772373 # DEPENDENCYPART_ARC
(11,7),-1.30617 # DEPENDENCYPART_ARC
(11,8),0.751616 # DEPENDENCYPART_ARC
(11,9),1.721 # DEPENDENCYPART_ARC
(11,10),4.62839 # DEPENDENCYPART_ARC
(11,12),-0.137371 # DEPENDENCYPART_ARC
(11,13),-0.968373 # DEPENDENCYPART_ARC
(11,14),-0.80153 # DEPENDENCYPART_ARC
(11,15),-0.458345 # DEPENDENCYPART_ARC
(11,16),-1.22069 # DEPENDENCYPART_ARC
(11,17),-1.43623 # DEPENDENCYPART_ARC
(11,18),-0.467865 # DEPENDENCYPART_ARC
(11,19),-1.68823 # DEPENDENCYPART_ARC
(11,20),-1.38453 # DEPENDENCYPART_ARC
(11,21),-1.01579 # DEPENDENCYPART_ARC
(11,22),0.612095 # DEPENDENCYPART_ARC
(12,1),-2.94979 # DEPENDENCYPART_ARC
(12,2),-2.02735 # DEPENDENCYPART_ARC
(12,3),-1.63592 # DEPENDENCYPART_ARC
(12,4),-2.5816 # DEPENDENCYPART_ARC
(12,5),-1.4036 # DEPENDENCYPART_ARC
(12,6),-1.48347 # DEPENDENCYPART_ARC
(12,7),-2.55023 # DEPENDENCYPART_ARC
(12,8),-1.29415 # DEPENDENCYPART_ARC
(12,9),-1.18601 # DEPENDENCYPART_ARC
(12,10),-1.78869 # DEPENDENCYPART_ARC
(12,11),-1.27514 # DEPENDENCYPART_ARC
(12,13),-1.02665 # DEPENDENCYPART_ARC
(12,14),-1.1671 # DEPENDENCYPART_ARC
(12,15),-1.1048 # DEPENDENCYPART_ARC
(12,16),-1.56333 # DEPENDENCYPART_ARC
(12,17),-2.07928 # DEPENDENCYPART_ARC
(12,18),-1.24065 # DEPENDENCYPART_ARC
(12,19),-1.84184 # DEPENDENCYPART_ARC
(12,20),-1.63581 # DEPENDENCYPART_ARC
(12,21),-1.64027 # DEPENDENCYPART_ARC
(12,22),-1.41684 # DEPENDENCYPART_ARC
(13,1),-0.160126 # DEPENDENCYPART_ARC
(13,2),-0.205997 # DEPENDENCYPART_ARC
(13,3),-0.767644 # DEPENDENCYPART_ARC
(13,4),-0.546633 # DEPENDENCYPART_ARC
(13,5),0.137692 # DEPENDENCYPART_ARC
(13,6),-0.146229 # DEPENDENCYPART_ARC
(13,7),-0.524204 # DEPENDENCYPART_ARC
(13,8),0.0586886 # DEPENDENCYPART_ARC
(13,9),-0.165348 # DEPENDENCYPART_ARC
(13,10),0.957942 # DEPENDENCYPART_ARC
(13,11),0.137159 # DEPENDENCYPART_ARC
(13,12),1.22194 # DEPENDENCYPART_ARC
(13,14),1.02007 # DEPENDENCYPART_ARC
(13,15),0.44396 # DEPENDENCYPART_ARC
(13,16),-0.32747 # DEPENDENCYPART_ARC
(13,17),-0.785398 # DEPENDENCYPART_ARC
(13,18),0.208938 # DEPENDENCYPART_ARC
(13,19),-0.829096 # DEPENDENCYPART_ARC
(13,20),0.250944 # DEPENDENCYPART_ARC
(13,21),-0.523934 # DEPENDENCYPART_ARC
(13,22),2.27917 # DEPENDENCYPART_ARC
(14,1),-0.903038 # DEPENDENCYPART_ARC
(14,2),-1.58591 # DEPENDENCYPART_ARC
(14,3),-1.90358 # DEPENDENCYPART_ARC
(14,4),-0.959414 # DEPENDENCYPART_ARC
(14,5),-0.598371 # DEPENDENCYPART_ARC
(14,6),-1.53922 # DEPENDENCYPART_ARC
(14,7),-1.63716 # DEPENDENCYPART_ARC
(14,8),-0.00100155 # DEPENDENCYPART_ARC
(14,9),-1.74295 # DEPENDENCYPART_ARC
(14,10),0.00162015 # DEPENDENCYPART_ARC
(14,11),-0.430024 # DEPENDENCYPART_ARC
(14,12),0.33573 # DEPENDENCYPART_ARC
(14,13),-0.208781 # DEPENDENCYPART_ARC
(14,15),1.08871 # DEPENDENCYPART_ARC
(14,16),-0.382523 # DEPENDENCYPART_ARC
(14,17),-0.0812216 # DEPENDENCYPART_ARC
(14,18),0.00493536 # DEPENDENCYPART_ARC
(14,19),-1.77563 # DEPENDENCYPART_ARC
(14,20),0.583624 # DEPENDENCYPART_ARC
(14,21),-0.249468 # DEPENDENCYPART_ARC
(14,22),2.05138 # DEPENDENCYPART_ARC
(15,1),-3.60585 # DEPENDENCYPART_ARC
(15,2),-2.92449 # DEPENDENCYPART_ARC
(15,3),-2.52751 # DEPENDENCYPART_ARC
(15,4),-3.48885 # DEPENDENCYPART_ARC
(15,5),-2.33312 # DEPENDENCYPART_ARC
(15,6),-2.46513 # DEPENDENCYPART_ARC
(15,7),-3.3662 # DEPENDENCYPART_ARC
(15,8),-2.20965 # DEPENDENCYPART_ARC
(15,9),-2.30943 # DEPENDENCYPART_ARC
(15,10),-3.08406 # DEPENDENCYPART_ARC
(15,11),-3.00936 # DEPENDENCYPART_ARC
(15,12),-1.92153 # DEPENDENCYPART_ARC
(15,13),-1.88907 # DEPENDENCYPART_ARC
(15,14),-1.15261 # DEPENDENCYPART_ARC
(15,16),-0.904329 # DEPENDENCYPART_ARC
(15,17),-1.40396 # DEPENDENCYPART_ARC
(15,18),-0.975323 # DEPENDENCYPART_ARC
(15,19),-1.52018 # DEPENDENCYPART_ARC
(15,20),-1.41839 # DEPENDENCYPART_ARC
(15,21),-1.43471 # DEPENDENCYPART_ARC
(15,22),-1.23698 # DEPENDENCYPART_ARC
(16,1),-3.33818 # DEPENDENCYPART_ARC
(16,2),-1.22497 # DEPENDENCYPART_ARC
(16,3),-1.44404 # DEPENDENCYPART_ARC
(16,4),-1.3776 # DEPENDENCYPART_ARC
(16,5),-0.809885 # DEPENDENCYPART_ARC
(16,6),-0.818735 # DEPENDENCYPART_ARC
(16,7),-1.10993 # DEPENDENCYPART_ARC
(16,8),-0.471208 # DEPENDENCYPART_ARC
(16,9),-0.732649 # DEPENDENCYPART_ARC
(16,10),-1.27704 # DEPENDENCYPART_ARC
(16,11),-1.12656 # DEPENDENCYPART_ARC
(16,12),0.177471 # DEPENDENCYPART_ARC
(16,13),0.034526 # DEPENDENCYPART_ARC
(16,14),-0.281344 # DEPENDENCYPART_ARC
(16,15),0.475165 # DEPENDENCYPART_ARC
(16,17),0.123548 # DEPENDENCYPART_ARC
(16,18),0.333208 # DEPENDENCYPART_ARC
(16,19),-1.01484 # DEPENDENCYPART_ARC
(16,20),-0.124408 # DEPENDENCYPART_ARC
(16,21),-0.759119 # DEPENDENCYPART_ARC
(16,22),0.156009 # DEPENDENCYPART_ARC
(17,1),-3.64244 # DEPENDENCYPART_ARC
(17,2),-1.23848 # DEPENDENCYPART_ARC
(17,3),-0.855122 # DEPENDENCYPART_ARC
(17,4),-3.05654 # DEPENDENCYPART_ARC
(17,5),-0.694114 # DEPENDENCYPART_ARC
(17,6),0.213205 # DEPENDENCYPART_ARC
(17,7),-3.36868 # DEPENDENCYPART_ARC
(17,8),-0.616116 # DEPENDENCYPART_ARC
(17,9),0.767075 # DEPENDENCYPART_ARC
(17,10),-0.210471 # DEPENDENCYPART_ARC
(17,11),-3.39185 # DEPENDENCYPART_ARC
(17,12),-0.140704 # DEPENDENCYPART_ARC
(17,13),0.112915 # DEPENDENCYPART_ARC
(17,14),-0.301311 # DEPENDENCYPART_ARC
(17,15),1.01753 # DEPENDENCYPART_ARC
(17,16),3.91223 # DEPENDENCYPART_ARC
(17,18),0.504367 # DEPENDENCYPART_ARC
(17,19),-0.456868 # DEPENDENCYPART_ARC
(17,20),-0.279058 # DEPENDENCYPART_ARC
(17,21),-0.33741 # DEPENDENCYPART_ARC
(17,22),0.609853 # DEPENDENCYPART_ARC
(18,1),-3.51664 # DEPENDENCYPART_ARC
(18,2),-2.81694 # DEPENDENCYPART_ARC
(18,3),-2.43852 # DEPENDENCYPART_ARC
(18,4),-3.4139 # DEPENDENCYPART_ARC
(18,5),-2.26691 # DEPENDENCYPART_ARC
(18,6),-2.32175 # DEPENDENCYPART_ARC
(18,7),-3.54436 # DEPENDENCYPART_ARC
(18,8),-2.11846 # DEPENDENCYPART_ARC
(18,9),-2.25612 # DEPENDENCYPART_ARC
(18,10),-3.14467 # DEPENDENCYPART_ARC
(18,11),-3.26093 # DEPENDENCYPART_ARC
(18,12),-1.93691 # DEPENDENCYPART_ARC
(18,13),-2.07434 # DEPENDENCYPART_ARC
(18,14),-2.00176 # DEPENDENCYPART_ARC
(18,15),-1.44639 # DEPENDENCYPART_ARC
(18,16),-1.66738 # DEPENDENCYPART_ARC
(18,17),-1.7428 # DEPENDENCYPART_ARC
(18,19),-1.15847 # DEPENDENCYPART_ARC
(18,20),-1.12047 # DEPENDENCYPART_ARC
(18,21),-1.41116 # DEPENDENCYPART_ARC
(18,22),-1.31489 # DEPENDENCYPART_ARC
(19,1),-0.654738 # DEPENDENCYPART_ARC
(19,2),-0.126307 # DEPENDENCYPART_ARC
(19,3),-0.366589 # DEPENDENCYPART_ARC
(19,4),-1.31437 # DEPENDENCYPART_ARC
(19,5),0.412578 # DEPENDENCYPART_ARC
(19,6),-0.274345 # DEPENDENCYPART_ARC
(19,7),-1.3289 # DEPENDENCYPART_ARC
(19,8),-0.240698 # DEPENDENCYPART_ARC
(19,9),0.0531893 # DEPENDENCYPART_ARC
(19,10),-0.438068 # DEPENDENCYPART_ARC
(19,11),-1.05881 # DEPENDENCYPART_ARC
(19,12),0.139983 # DEPENDENCYPART_ARC
(19,13),0.589486 # DEPENDENCYPART_ARC
(19,14),0.242287 # DEPENDENCYPART_ARC
(19,15),0.354037 # DEPENDENCYPART_ARC
(19,16),-0.0939713 # DEPENDENCYPART_ARC
(19,17),-0.54464 # DEPENDENCYPART_ARC
(19,18),0.193224 # DEPENDENCYPART_ARC
(19,20),0.0771622 # DEPENDENCYPART_ARC
(19,21),-0.345091 # DEPENDENCYPART_ARC
(19,22),0.0947648 # DEPENDENCYPART_ARC
(20,1),0.226606 # DEPENDENCYPART_ARC
(20,2),-0.916545 # DEPENDENCYPART_ARC
(20,3),-0.894161 # DEPENDENCYPART_ARC
(20,4),-0.00421719 # DEPENDENCYPART_ARC
(20,5),0.59341 # DEPENDENCYPART_ARC
(20,6),-0.394208 # DEPENDENCYPART_ARC
(20,7),-0.515271 # DEPENDENCYPART_ARC
(20,8),0.649109 # DEPENDENCYPART_ARC
(20,9),-0.763034 # DEPENDENCYPART_ARC
(20,10),-0.468034 # DEPENDENCYPART_ARC
(20,11),0.232559 # DEPENDENCYPART_ARC
(20,12),1.02999 # DEPENDENCYPART_ARC
(20,13),0.867412 # DEPENDENCYPART_ARC
(20,14),0.230342 # DEPENDENCYPART_ARC
(20,15),0.896126 # DEPENDENCYPART_ARC
(20,16),-0.31215 # DEPENDENCYPART_ARC
(20,17),1.06493 # DEPENDENCYPART_ARC
(20,18),1.59872 # DEPENDENCYPART_ARC
(20,19),3.90264 # DEPENDENCYPART_ARC
(20,21),2.96278 # DEPENDENCYPART_ARC
(20,22),2.01861 # DEPENDENCYPART_ARC
(21,1),-1.39607 # DEPENDENCYPART_ARC
(21,2),-0.967282 # DEPENDENCYPART_ARC
(21,3),-1.45157 # DEPENDENCYPART_ARC
(21,4),-1.59231 # DEPENDENCYPART_ARC
(21,5),-0.891086 # DEPENDENCYPART_ARC
(21,6),-1.25937 # DEPENDENCYPART_ARC
(21,7),-1.69244 # DEPENDENCYPART_ARC
(21,8),-0.704761 # DEPENDENCYPART_ARC
(21,9),-1.06732 # DEPENDENCYPART_ARC
(21,10),-1.17484 # DEPENDENCYPART_ARC
(21,11),-1.37312 # DEPENDENCYPART_ARC
(21,12),-0.0755886 # DEPENDENCYPART_ARC
(21,13),0.408476 # DEPENDENCYPART_ARC
(21,14),-0.523147 # DEPENDENCYPART_ARC
(21,15),-0.272996 # DEPENDENCYPART_ARC
(21,16),-0.244203 # DEPENDENCYPART_ARC
(21,17),-0.332634 # DEPENDENCYPART_ARC
(21,18),0.0977383 # DEPENDENCYPART_ARC
(21,19),0.553391 # DEPENDENCYPART_ARC
(21,20),0.666716 # DEPENDENCYPART_ARC
(21,22),0.632641 # DEPENDENCYPART_ARC
(22,1),-4.21565 # DEPENDENCYPART_ARC
(22,2),-3.33456 # DEPENDENCYPART_ARC
(22,3),-3.07164 # DEPENDENCYPART_ARC
(22,4),-4.11227 # DEPENDENCYPART_ARC
(22,5),-2.91059 # DEPENDENCYPART_ARC
(22,6),-3.0069 # DEPENDENCYPART_ARC
(22,7),-4.05388 # DEPENDENCYPART_ARC
(22,8),-2.71833 # DEPENDENCYPART_ARC
(22,9),-2.88875 # DEPENDENCYPART_ARC
(22,10),-3.9312 # DEPENDENCYPART_ARC
(22,11),-3.89572 # DEPENDENCYPART_ARC
(22,12),-2.58744 # DEPENDENCYPART_ARC
(22,13),-2.63094 # DEPENDENCYPART_ARC
(22,14),-2.94699 # DEPENDENCYPART_ARC
(22,15),-2.41085 # DEPENDENCYPART_ARC
(22,16),-2.88892 # DEPENDENCYPART_ARC
(22,17),-3.42754 # DEPENDENCYPART_ARC
(22,18),-2.31821 # DEPENDENCYPART_ARC
(22,19),-2.44748 # DEPENDENCYPART_ARC
(22,20),-1.95615 # DEPENDENCYPART_ARC
(22,21),-1.23069 # DEPENDENCYPART_ARC
