# _root_ Addig is egy sebtében összehívott " kinevezési bizottság " kapta feladatul , hogy november 30-áig három jelölt nevét tegye le a végső döntést meghozó kuratórium asztalára , ki legyen az új művészeti vezető .
#goldHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,19,29,19,33,33,33,29,10,
#predictedHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,10,29,10,33,33,33,29,10,
(1,28),-1.70163 # DEPENDENCYPART_ARC
(1,29),-1.17341 # DEPENDENCYPART_ARC
(1,30),-1.32507 # DEPENDENCYPART_ARC
(1,31),-2.46417 # DEPENDENCYPART_ARC
(1,32),-2.50661 # DEPENDENCYPART_ARC
(1,33),-2.91645 # DEPENDENCYPART_ARC
(1,34),-0.0444664 # DEPENDENCYPART_ARC
(2,1),0.593236 # DEPENDENCYPART_ARC
(2,3),0.0899987 # DEPENDENCYPART_ARC
(2,4),0.213464 # DEPENDENCYPART_ARC
(2,5),0.429779 # DEPENDENCYPART_ARC
(2,6),0.36807 # DEPENDENCYPART_ARC
(2,7),0.111582 # DEPENDENCYPART_ARC
(2,8),0.398217 # DEPENDENCYPART_ARC
(2,9),0.295802 # DEPENDENCYPART_ARC
(2,10),0.587872 # DEPENDENCYPART_ARC
(2,11),-0.149702 # DEPENDENCYPART_ARC
(2,12),0.138649 # DEPENDENCYPART_ARC
(2,13),0.238007 # DEPENDENCYPART_ARC
(2,14),-0.722246 # DEPENDENCYPART_ARC
(2,15),-1.0036 # DEPENDENCYPART_ARC
(2,16),-0.167765 # DEPENDENCYPART_ARC
(2,17),-0.632972 # DEPENDENCYPART_ARC
(2,18),-1.03647 # DEPENDENCYPART_ARC
(2,19),-0.165291 # DEPENDENCYPART_ARC
(2,20),-0.30024 # DEPENDENCYPART_ARC
(2,21),-0.987938 # DEPENDENCYPART_ARC
(2,22),-0.64944 # DEPENDENCYPART_ARC
(2,23),-0.831737 # DEPENDENCYPART_ARC
(2,24),-0.642479 # DEPENDENCYPART_ARC
(2,25),-0.702485 # DEPENDENCYPART_ARC
(2,26),-0.968481 # DEPENDENCYPART_ARC
(2,27),-0.299552 # DEPENDENCYPART_ARC
(2,28),-0.920297 # DEPENDENCYPART_ARC
(2,29),-1.07046 # DEPENDENCYPART_ARC
(2,30),-0.852078 # DEPENDENCYPART_ARC
(2,31),-0.81029 # DEPENDENCYPART_ARC
(2,32),-1.01487 # DEPENDENCYPART_ARC
(2,33),-1.10739 # DEPENDENCYPART_ARC
(2,34),0.00737001 # DEPENDENCYPART_ARC
(3,1),-0.10612 # DEPENDENCYPART_ARC
(3,2),0.512142 # DEPENDENCYPART_ARC
(3,4),0.137808 # DEPENDENCYPART_ARC
(3,5),0.667732 # DEPENDENCYPART_ARC
(3,6),0.306142 # DEPENDENCYPART_ARC
(3,7),0.266284 # DEPENDENCYPART_ARC
(3,8),-0.605497 # DEPENDENCYPART_ARC
(3,9),0.149773 # DEPENDENCYPART_ARC
(3,10),-0.372752 # DEPENDENCYPART_ARC
(3,11),-0.992884 # DEPENDENCYPART_ARC
(3,12),0.0215197 # DEPENDENCYPART_ARC
(3,13),-0.389534 # DEPENDENCYPART_ARC
(3,14),-1.16312 # DEPENDENCYPART_ARC
(3,15),-1.40551 # DEPENDENCYPART_ARC
(3,16),-0.76944 # DEPENDENCYPART_ARC
(3,17),-1.25561 # DEPENDENCYPART_ARC
(3,18),-1.44463 # DEPENDENCYPART_ARC
(3,19),-0.786275 # DEPENDENCYPART_ARC
(3,20),-0.563336 # DEPENDENCYPART_ARC
(3,21),-0.718257 # DEPENDENCYPART_ARC
(3,22),-0.727995 # DEPENDENCYPART_ARC
(3,23),-1.43699 # DEPENDENCYPART_ARC
(3,24),-0.929339 # DEPENDENCYPART_ARC
(3,25),-1.42862 # DEPENDENCYPART_ARC
(3,26),-1.71232 # DEPENDENCYPART_ARC
(3,27),-0.258281 # DEPENDENCYPART_ARC
(3,28),-1.14198 # DEPENDENCYPART_ARC
(3,29),-1.16596 # DEPENDENCYPART_ARC
(3,30),-0.885844 # DEPENDENCYPART_ARC
(3,31),-1.30453 # DEPENDENCYPART_ARC
(3,32),-1.21153 # DEPENDENCYPART_ARC
(3,33),-1.79752 # DEPENDENCYPART_ARC
(3,34),-1.30019 # DEPENDENCYPART_ARC
(4,1),-0.243658 # DEPENDENCYPART_ARC
(4,2),-0.505914 # DEPENDENCYPART_ARC
(4,3),0.317156 # DEPENDENCYPART_ARC
(4,5),-0.173393 # DEPENDENCYPART_ARC
(4,6),-0.461086 # DEPENDENCYPART_ARC
(4,7),-0.614093 # DEPENDENCYPART_ARC
(4,8),-0.428699 # DEPENDENCYPART_ARC
(4,9),-0.399716 # DEPENDENCYPART_ARC
(4,10),-0.450737 # DEPENDENCYPART_ARC
(4,11),-1.2546 # DEPENDENCYPART_ARC
(4,12),-0.756562 # DEPENDENCYPART_ARC
(4,13),-0.61834 # DEPENDENCYPART_ARC
(4,14),-1.62847 # DEPENDENCYPART_ARC
(4,15),-1.90673 # DEPENDENCYPART_ARC
(4,16),-1.27743 # DEPENDENCYPART_ARC
(4,17),-1.96876 # DEPENDENCYPART_ARC
(4,18),-2.09637 # DEPENDENCYPART_ARC
(4,19),-1.18794 # DEPENDENCYPART_ARC
(4,20),-1.07721 # DEPENDENCYPART_ARC
(4,21),-1.43949 # DEPENDENCYPART_ARC
(4,22),-1.86896 # DEPENDENCYPART_ARC
(4,23),-1.93638 # DEPENDENCYPART_ARC
(4,24),-1.9321 # DEPENDENCYPART_ARC
(4,25),-2.05394 # DEPENDENCYPART_ARC
(4,26),-1.9641 # DEPENDENCYPART_ARC
(4,27),-1.26441 # DEPENDENCYPART_ARC
(4,28),-1.71496 # DEPENDENCYPART_ARC
(4,29),-1.49489 # DEPENDENCYPART_ARC
(4,30),-1.41338 # DEPENDENCYPART_ARC
(4,31),-2.45742 # DEPENDENCYPART_ARC
(4,32),-2.31588 # DEPENDENCYPART_ARC
(4,33),-2.34976 # DEPENDENCYPART_ARC
(4,34),0.00846368 # DEPENDENCYPART_ARC
(5,1),0.356065 # DEPENDENCYPART_ARC
(5,2),0.79111 # DEPENDENCYPART_ARC
(5,3),1.05021 # DEPENDENCYPART_ARC
(5,4),2.74106 # DEPENDENCYPART_ARC
(5,6),0.970261 # DEPENDENCYPART_ARC
(5,7),-0.131416 # DEPENDENCYPART_ARC
(5,8),0.0606965 # DEPENDENCYPART_ARC
(5,9),0.498713 # DEPENDENCYPART_ARC
(5,10),0.384117 # DEPENDENCYPART_ARC
(5,11),-0.618344 # DEPENDENCYPART_ARC
(5,12),-0.0411069 # DEPENDENCYPART_ARC
(5,13),-0.042336 # DEPENDENCYPART_ARC
(5,14),-1.07747 # DEPENDENCYPART_ARC
(5,15),-1.16682 # DEPENDENCYPART_ARC
(5,16),-0.264714 # DEPENDENCYPART_ARC
(5,17),-1.31166 # DEPENDENCYPART_ARC
(5,18),-2.05152 # DEPENDENCYPART_ARC
(5,19),-0.723363 # DEPENDENCYPART_ARC
(5,20),-0.306984 # DEPENDENCYPART_ARC
(5,21),-0.805661 # DEPENDENCYPART_ARC
(5,22),-1.08043 # DEPENDENCYPART_ARC
(5,23),-2.0049 # DEPENDENCYPART_ARC
(5,24),-1.08927 # DEPENDENCYPART_ARC
(5,25),-1.55835 # DEPENDENCYPART_ARC
(5,26),-1.44561 # DEPENDENCYPART_ARC
(5,27),-0.0989011 # DEPENDENCYPART_ARC
(5,28),-1.31721 # DEPENDENCYPART_ARC
(5,29),-0.628904 # DEPENDENCYPART_ARC
(5,30),-1.00436 # DEPENDENCYPART_ARC
(5,31),-1.48758 # DEPENDENCYPART_ARC
(5,32),-1.47899 # DEPENDENCYPART_ARC
(5,33),-2.0078 # DEPENDENCYPART_ARC
(5,34),1.29696 # DEPENDENCYPART_ARC
(6,1),-1.53675 # DEPENDENCYPART_ARC
(6,2),-1.35555 # DEPENDENCYPART_ARC
(6,3),-1.22406 # DEPENDENCYPART_ARC
(6,4),-1.10359 # DEPENDENCYPART_ARC
(6,5),-0.830676 # DEPENDENCYPART_ARC
(6,7),-0.947739 # DEPENDENCYPART_ARC
(6,8),-1.4159 # DEPENDENCYPART_ARC
(6,9),-1.01641 # DEPENDENCYPART_ARC
(6,10),-1.31931 # DEPENDENCYPART_ARC
(6,11),-1.98302 # DEPENDENCYPART_ARC
(6,12),-1.16952 # DEPENDENCYPART_ARC
(6,13),-1.22035 # DEPENDENCYPART_ARC
(6,14),-2.28467 # DEPENDENCYPART_ARC
(6,15),-2.35031 # DEPENDENCYPART_ARC
(6,16),-1.57679 # DEPENDENCYPART_ARC
(6,17),-2.52295 # DEPENDENCYPART_ARC
(6,18),-2.62243 # DEPENDENCYPART_ARC
(6,19),-1.77401 # DEPENDENCYPART_ARC
(6,20),-1.60481 # DEPENDENCYPART_ARC
(6,21),-1.69116 # DEPENDENCYPART_ARC
(6,22),-1.85683 # DEPENDENCYPART_ARC
(6,23),-2.63473 # DEPENDENCYPART_ARC
(6,24),-1.93889 # DEPENDENCYPART_ARC
(6,25),-2.72911 # DEPENDENCYPART_ARC
(6,26),-2.88131 # DEPENDENCYPART_ARC
(6,27),-1.71505 # DEPENDENCYPART_ARC
(6,28),-1.89148 # DEPENDENCYPART_ARC
(6,29),-2.02789 # DEPENDENCYPART_ARC
(6,30),-1.78505 # DEPENDENCYPART_ARC
(6,31),-2.05851 # DEPENDENCYPART_ARC
(6,32),-2.12034 # DEPENDENCYPART_ARC
(6,33),-3.11633 # DEPENDENCYPART_ARC
(6,34),-2.27777 # DEPENDENCYPART_ARC
(7,1),0.240605 # DEPENDENCYPART_ARC
(7,2),0.394182 # DEPENDENCYPART_ARC
(7,3),0.705148 # DEPENDENCYPART_ARC
(7,4),1.66066 # DEPENDENCYPART_ARC
(7,5),0.700462 # DEPENDENCYPART_ARC
(7,6),1.20955 # DEPENDENCYPART_ARC
(7,8),0.0825319 # DEPENDENCYPART_ARC
(7,9),0.140819 # DEPENDENCYPART_ARC
(7,10),-0.256549 # DEPENDENCYPART_ARC
(7,11),-0.880047 # DEPENDENCYPART_ARC
(7,12),-0.491394 # DEPENDENCYPART_ARC
(7,13),-0.678834 # DEPENDENCYPART_ARC
(7,14),-1.59858 # DEPENDENCYPART_ARC
(7,15),-1.74479 # DEPENDENCYPART_ARC
(7,16),-0.861303 # DEPENDENCYPART_ARC
(7,17),-1.70339 # DEPENDENCYPART_ARC
(7,18),-2.51941 # DEPENDENCYPART_ARC
(7,19),-1.65282 # DEPENDENCYPART_ARC
(7,20),-1.08398 # DEPENDENCYPART_ARC
(7,21),-1.50934 # DEPENDENCYPART_ARC
(7,22),-1.74424 # DEPENDENCYPART_ARC
(7,23),-2.49306 # DEPENDENCYPART_ARC
(7,24),-1.70494 # DEPENDENCYPART_ARC
(7,25),-2.08189 # DEPENDENCYPART_ARC
(7,26),-1.89521 # DEPENDENCYPART_ARC
(7,27),-0.694038 # DEPENDENCYPART_ARC
(7,28),-1.92377 # DEPENDENCYPART_ARC
(7,29),-1.52842 # DEPENDENCYPART_ARC
(7,30),-1.69856 # DEPENDENCYPART_ARC
(7,31),-1.96528 # DEPENDENCYPART_ARC
(7,32),-2.04916 # DEPENDENCYPART_ARC
(7,33),-2.50111 # DEPENDENCYPART_ARC
(7,34),0.171793 # DEPENDENCYPART_ARC
(8,1),-0.0378214 # DEPENDENCYPART_ARC
(8,2),-0.305927 # DEPENDENCYPART_ARC
(8,3),3.2549 # DEPENDENCYPART_ARC
(8,4),0.685337 # DEPENDENCYPART_ARC
(8,5),2.23486 # DEPENDENCYPART_ARC
(8,6),2.71712 # DEPENDENCYPART_ARC
(8,7),3.80348 # DEPENDENCYPART_ARC
(8,9),1.71887 # DEPENDENCYPART_ARC
(8,10),0.500013 # DEPENDENCYPART_ARC
(8,11),-0.255297 # DEPENDENCYPART_ARC
(8,12),0.442241 # DEPENDENCYPART_ARC
(8,13),-0.0323284 # DEPENDENCYPART_ARC
(8,14),-0.617189 # DEPENDENCYPART_ARC
(8,15),-0.973642 # DEPENDENCYPART_ARC
(8,16),-0.272532 # DEPENDENCYPART_ARC
(8,17),-0.683668 # DEPENDENCYPART_ARC
(8,18),-1.06958 # DEPENDENCYPART_ARC
(8,19),-0.647863 # DEPENDENCYPART_ARC
(8,20),-0.13282 # DEPENDENCYPART_ARC
(8,21),-0.78042 # DEPENDENCYPART_ARC
(8,22),-1.14642 # DEPENDENCYPART_ARC
(8,23),-1.24806 # DEPENDENCYPART_ARC
(8,24),-1.15167 # DEPENDENCYPART_ARC
(8,25),-0.72979 # DEPENDENCYPART_ARC
(8,26),-1.42028 # DEPENDENCYPART_ARC
(8,27),0.610288 # DEPENDENCYPART_ARC
(8,28),-1.1009 # DEPENDENCYPART_ARC
(8,29),-0.83837 # DEPENDENCYPART_ARC
(8,30),-0.9522 # DEPENDENCYPART_ARC
(8,31),-1.50942 # DEPENDENCYPART_ARC
(8,32),-1.10203 # DEPENDENCYPART_ARC
(8,33),-1.21882 # DEPENDENCYPART_ARC
(8,34),1.41478 # DEPENDENCYPART_ARC
(9,1),-1.68138 # DEPENDENCYPART_ARC
(9,2),-1.37747 # DEPENDENCYPART_ARC
(9,3),-1.45444 # DEPENDENCYPART_ARC
(9,4),-1.47076 # DEPENDENCYPART_ARC
(9,5),-1.76632 # DEPENDENCYPART_ARC
(9,6),-1.09739 # DEPENDENCYPART_ARC
(9,7),-1.3021 # DEPENDENCYPART_ARC
(9,8),-1.31638 # DEPENDENCYPART_ARC
(9,10),-0.923022 # DEPENDENCYPART_ARC
(9,11),-1.44258 # DEPENDENCYPART_ARC
(9,12),-1.08017 # DEPENDENCYPART_ARC
(9,13),-1.24834 # DEPENDENCYPART_ARC
(9,14),-2.02634 # DEPENDENCYPART_ARC
(9,15),-2.26735 # DEPENDENCYPART_ARC
(9,16),-1.56899 # DEPENDENCYPART_ARC
(9,17),-2.38834 # DEPENDENCYPART_ARC
(9,18),-2.45218 # DEPENDENCYPART_ARC
(9,19),-1.64321 # DEPENDENCYPART_ARC
(9,20),-1.55564 # DEPENDENCYPART_ARC
(9,21),-1.71954 # DEPENDENCYPART_ARC
(9,22),-1.90192 # DEPENDENCYPART_ARC
(9,23),-2.68376 # DEPENDENCYPART_ARC
(9,24),-1.88272 # DEPENDENCYPART_ARC
(9,25),-2.70984 # DEPENDENCYPART_ARC
(9,26),-2.7409 # DEPENDENCYPART_ARC
(9,27),-1.65917 # DEPENDENCYPART_ARC
(9,28),-1.91838 # DEPENDENCYPART_ARC
(9,29),-1.91764 # DEPENDENCYPART_ARC
(9,30),-1.8504 # DEPENDENCYPART_ARC
(9,31),-1.97239 # DEPENDENCYPART_ARC
(9,32),-2.09141 # DEPENDENCYPART_ARC
(9,33),-2.99347 # DEPENDENCYPART_ARC
(9,34),-2.14346 # DEPENDENCYPART_ARC
(10,1),0.851868 # DEPENDENCYPART_ARC
(10,2),1.2116 # DEPENDENCYPART_ARC
(10,3),0.120287 # DEPENDENCYPART_ARC
(10,4),0.493806 # DEPENDENCYPART_ARC
(10,5),-0.386242 # DEPENDENCYPART_ARC
(10,6),0.992499 # DEPENDENCYPART_ARC
(10,7),0.228697 # DEPENDENCYPART_ARC
(10,8),1.45946 # DEPENDENCYPART_ARC
(10,9),1.63849 # DEPENDENCYPART_ARC
(10,11),3.67746 # DEPENDENCYPART_ARC
(10,12),2.29156 # DEPENDENCYPART_ARC
(10,13),3.25568 # DEPENDENCYPART_ARC
(10,14),0.605247 # DEPENDENCYPART_ARC
(10,15),0.630524 # DEPENDENCYPART_ARC
(10,16),-0.149614 # DEPENDENCYPART_ARC
(10,17),-0.00327043 # DEPENDENCYPART_ARC
(10,18),1.09486 # DEPENDENCYPART_ARC
(10,19),2.3894 # DEPENDENCYPART_ARC
(10,20),0.96013 # DEPENDENCYPART_ARC
(10,21),-0.917974 # DEPENDENCYPART_ARC
(10,22),-1.08835 # DEPENDENCYPART_ARC
(10,23),-0.179306 # DEPENDENCYPART_ARC
(10,24),-1.0107 # DEPENDENCYPART_ARC
(10,25),-0.342588 # DEPENDENCYPART_ARC
(10,26),0.777792 # DEPENDENCYPART_ARC
(10,27),3.03722 # DEPENDENCYPART_ARC
(10,28),-1.26508 # DEPENDENCYPART_ARC
(10,29),1.88234 # DEPENDENCYPART_ARC
(10,30),-0.97038 # DEPENDENCYPART_ARC
(10,31),-1.52285 # DEPENDENCYPART_ARC
(10,32),-1.39529 # DEPENDENCYPART_ARC
(10,33),-0.0198637 # DEPENDENCYPART_ARC
(10,34),5.63194 # DEPENDENCYPART_ARC
(11,1),-1.29689 # DEPENDENCYPART_ARC
(11,2),-1.57505 # DEPENDENCYPART_ARC
(11,3),0.781167 # DEPENDENCYPART_ARC
(11,4),-0.899344 # DEPENDENCYPART_ARC
(11,5),-0.861077 # DEPENDENCYPART_ARC
(11,6),0.000729945 # DEPENDENCYPART_ARC
(11,7),-0.405936 # DEPENDENCYPART_ARC
(11,8),-2.57651 # DEPENDENCYPART_ARC
(11,9),-0.278774 # DEPENDENCYPART_ARC
(11,10),0.622293 # DEPENDENCYPART_ARC
(11,12),-0.082806 # DEPENDENCYPART_ARC
(11,13),-0.809182 # DEPENDENCYPART_ARC
(11,14),-1.46545 # DEPENDENCYPART_ARC
(11,15),-1.67545 # DEPENDENCYPART_ARC
(11,16),-1.01254 # DEPENDENCYPART_ARC
(11,17),-1.80674 # DEPENDENCYPART_ARC
(11,18),-1.84426 # DEPENDENCYPART_ARC
(11,19),-1.27375 # DEPENDENCYPART_ARC
(11,20),-0.921776 # DEPENDENCYPART_ARC
(11,21),-1.29666 # DEPENDENCYPART_ARC
(11,22),-1.80593 # DEPENDENCYPART_ARC
(11,23),-2.2976 # DEPENDENCYPART_ARC
(11,24),-1.91043 # DEPENDENCYPART_ARC
(11,25),-2.29178 # DEPENDENCYPART_ARC
(11,26),-2.68795 # DEPENDENCYPART_ARC
(11,27),-0.412362 # DEPENDENCYPART_ARC
(11,28),-2.00736 # DEPENDENCYPART_ARC
(11,29),-1.50456 # DEPENDENCYPART_ARC
(11,30),-1.53841 # DEPENDENCYPART_ARC
(11,31),-2.08494 # DEPENDENCYPART_ARC
(11,32),-1.8679 # DEPENDENCYPART_ARC
(11,33),-2.51937 # DEPENDENCYPART_ARC
(11,34),0.533813 # DEPENDENCYPART_ARC
(12,1),-2.85467 # DEPENDENCYPART_ARC
(12,2),-2.51688 # DEPENDENCYPART_ARC
(12,3),-2.63647 # DEPENDENCYPART_ARC
(12,4),-2.69332 # DEPENDENCYPART_ARC
(12,5),-3.02382 # DEPENDENCYPART_ARC
(12,6),-2.32538 # DEPENDENCYPART_ARC
(12,7),-2.87702 # DEPENDENCYPART_ARC
(12,8),-3.39669 # DEPENDENCYPART_ARC
(12,9),-2.10276 # DEPENDENCYPART_ARC
(12,10),-1.97811 # DEPENDENCYPART_ARC
(12,11),-2.03812 # DEPENDENCYPART_ARC
(12,13),-1.34828 # DEPENDENCYPART_ARC
(12,14),-1.88456 # DEPENDENCYPART_ARC
(12,15),-2.32146 # DEPENDENCYPART_ARC
(12,16),-1.75413 # DEPENDENCYPART_ARC
(12,17),-2.54237 # DEPENDENCYPART_ARC
(12,18),-2.78423 # DEPENDENCYPART_ARC
(12,19),-2.02943 # DEPENDENCYPART_ARC
(12,20),-1.97448 # DEPENDENCYPART_ARC
(12,21),-2.04498 # DEPENDENCYPART_ARC
(12,22),-2.21207 # DEPENDENCYPART_ARC
(12,23),-3.07369 # DEPENDENCYPART_ARC
(12,24),-2.33393 # DEPENDENCYPART_ARC
(12,25),-3.21868 # DEPENDENCYPART_ARC
(12,26),-3.27621 # DEPENDENCYPART_ARC
(12,27),-1.97112 # DEPENDENCYPART_ARC
(12,28),-2.31679 # DEPENDENCYPART_ARC
(12,29),-2.33321 # DEPENDENCYPART_ARC
(12,30),-2.19453 # DEPENDENCYPART_ARC
(12,31),-2.35917 # DEPENDENCYPART_ARC
(12,32),-2.45695 # DEPENDENCYPART_ARC
(12,33),-3.48657 # DEPENDENCYPART_ARC
(12,34),-2.29544 # DEPENDENCYPART_ARC
(13,1),0.412751 # DEPENDENCYPART_ARC
(13,2),0.860574 # DEPENDENCYPART_ARC
(13,3),-0.814934 # DEPENDENCYPART_ARC
(13,4),0.124224 # DEPENDENCYPART_ARC
(13,5),0.158252 # DEPENDENCYPART_ARC
(13,6),-0.0634562 # DEPENDENCYPART_ARC
(13,7),0.330029 # DEPENDENCYPART_ARC
(13,8),0.0142831 # DEPENDENCYPART_ARC
(13,9),-0.27204 # DEPENDENCYPART_ARC
(13,10),0.0953387 # DEPENDENCYPART_ARC
(13,11),0.836832 # DEPENDENCYPART_ARC
(13,12),0.974253 # DEPENDENCYPART_ARC
(13,14),-0.400675 # DEPENDENCYPART_ARC
(13,15),-0.642427 # DEPENDENCYPART_ARC
(13,16),-0.184075 # DEPENDENCYPART_ARC
(13,17),-0.816804 # DEPENDENCYPART_ARC
(13,18),-1.2678 # DEPENDENCYPART_ARC
(13,19),1.11953 # DEPENDENCYPART_ARC
(13,20),-0.241635 # DEPENDENCYPART_ARC
(13,21),-1.32805 # DEPENDENCYPART_ARC
(13,22),-0.62248 # DEPENDENCYPART_ARC
(13,23),-1.80241 # DEPENDENCYPART_ARC
(13,24),-0.537082 # DEPENDENCYPART_ARC
(13,25),-1.63821 # DEPENDENCYPART_ARC
(13,26),-1.81337 # DEPENDENCYPART_ARC
(13,27),0.164335 # DEPENDENCYPART_ARC
(13,28),-1.58276 # DEPENDENCYPART_ARC
(13,29),-0.27629 # DEPENDENCYPART_ARC
(13,30),-1.18628 # DEPENDENCYPART_ARC
(13,31),-0.632773 # DEPENDENCYPART_ARC
(13,32),-0.652127 # DEPENDENCYPART_ARC
(13,33),-2.14092 # DEPENDENCYPART_ARC
(13,34),2.02824 # DEPENDENCYPART_ARC
(14,1),-2.19364 # DEPENDENCYPART_ARC
(14,2),-2.51674 # DEPENDENCYPART_ARC
(14,3),-0.0907985 # DEPENDENCYPART_ARC
(14,4),-1.81347 # DEPENDENCYPART_ARC
(14,5),-1.36768 # DEPENDENCYPART_ARC
(14,6),-0.887646 # DEPENDENCYPART_ARC
(14,7),-0.884131 # DEPENDENCYPART_ARC
(14,8),-2.38354 # DEPENDENCYPART_ARC
(14,9),-1.23445 # DEPENDENCYPART_ARC
(14,10),-1.02711 # DEPENDENCYPART_ARC
(14,11),-1.56167 # DEPENDENCYPART_ARC
(14,12),-0.288175 # DEPENDENCYPART_ARC
(14,13),-0.558129 # DEPENDENCYPART_ARC
(14,15),-0.615757 # DEPENDENCYPART_ARC
(14,16),-0.606655 # DEPENDENCYPART_ARC
(14,17),-0.377661 # DEPENDENCYPART_ARC
(14,18),-1.1829 # DEPENDENCYPART_ARC
(14,19),-0.897496 # DEPENDENCYPART_ARC
(14,20),-0.659009 # DEPENDENCYPART_ARC
(14,21),-1.20008 # DEPENDENCYPART_ARC
(14,22),-1.49344 # DEPENDENCYPART_ARC
(14,23),-1.52994 # DEPENDENCYPART_ARC
(14,24),-1.52879 # DEPENDENCYPART_ARC
(14,25),-1.19214 # DEPENDENCYPART_ARC
(14,26),-2.08533 # DEPENDENCYPART_ARC
(14,27),-0.0539081 # DEPENDENCYPART_ARC
(14,28),-1.71225 # DEPENDENCYPART_ARC
(14,29),-1.17354 # DEPENDENCYPART_ARC
(14,30),-1.45651 # DEPENDENCYPART_ARC
(14,31),-1.73935 # DEPENDENCYPART_ARC
(14,32),-1.61501 # DEPENDENCYPART_ARC
(14,33),-1.3034 # DEPENDENCYPART_ARC
(14,34),0.558263 # DEPENDENCYPART_ARC
(15,1),-0.839975 # DEPENDENCYPART_ARC
(15,2),-0.768385 # DEPENDENCYPART_ARC
(15,3),0.491456 # DEPENDENCYPART_ARC
(15,4),-0.493416 # DEPENDENCYPART_ARC
(15,5),-1.09836 # DEPENDENCYPART_ARC
(15,6),-0.296141 # DEPENDENCYPART_ARC
