# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(8,22),-1.18209 # DEPENDENCYPART_ARC
(8,23),-1.06145 # DEPENDENCYPART_ARC
(8,24),-3.29394 # DEPENDENCYPART_ARC
(8,25),0.617972 # DEPENDENCYPART_ARC
(9,1),-0.32239 # DEPENDENCYPART_ARC
(9,2),0.161929 # DEPENDENCYPART_ARC
(9,3),-0.201499 # DEPENDENCYPART_ARC
(9,4),-3.32335 # DEPENDENCYPART_ARC
(9,5),1.58468 # DEPENDENCYPART_ARC
(9,6),0.627799 # DEPENDENCYPART_ARC
(9,7),2.00808 # DEPENDENCYPART_ARC
(9,8),4.06821 # DEPENDENCYPART_ARC
(9,10),-0.423681 # DEPENDENCYPART_ARC
(9,11),-0.144095 # DEPENDENCYPART_ARC
(9,12),-0.745394 # DEPENDENCYPART_ARC
(9,13),-0.896842 # DEPENDENCYPART_ARC
(9,14),-0.360256 # DEPENDENCYPART_ARC
(9,15),-1.27772 # DEPENDENCYPART_ARC
(9,16),-0.878515 # DEPENDENCYPART_ARC
(9,17),-0.582812 # DEPENDENCYPART_ARC
(9,18),-0.48857 # DEPENDENCYPART_ARC
(9,19),-2.38767 # DEPENDENCYPART_ARC
(9,20),-2.74674 # DEPENDENCYPART_ARC
(9,21),-2.27129 # DEPENDENCYPART_ARC
(9,22),-1.2788 # DEPENDENCYPART_ARC
(9,23),-1.04273 # DEPENDENCYPART_ARC
(9,24),-3.15848 # DEPENDENCYPART_ARC
(9,25),0.718636 # DEPENDENCYPART_ARC
(10,1),0.142508 # DEPENDENCYPART_ARC
(10,2),-0.566866 # DEPENDENCYPART_ARC
(10,3),-0.265699 # DEPENDENCYPART_ARC
(10,4),-4.10308 # DEPENDENCYPART_ARC
(10,5),1.98478 # DEPENDENCYPART_ARC
(10,6),0.306346 # DEPENDENCYPART_ARC
(10,7),1.25222 # DEPENDENCYPART_ARC
(10,8),1.26956 # DEPENDENCYPART_ARC
(10,9),0.617163 # DEPENDENCYPART_ARC
(10,11),0.969252 # DEPENDENCYPART_ARC
(10,12),-0.0103247 # DEPENDENCYPART_ARC
(10,13),0.339367 # DEPENDENCYPART_ARC
(10,14),0.521255 # DEPENDENCYPART_ARC
(10,15),0.215539 # DEPENDENCYPART_ARC
(10,16),-0.0186676 # DEPENDENCYPART_ARC
(10,17),0.218898 # DEPENDENCYPART_ARC
(10,18),0.183298 # DEPENDENCYPART_ARC
(10,19),-0.998297 # DEPENDENCYPART_ARC
(10,20),-1.19951 # DEPENDENCYPART_ARC
(10,21),-1.82867 # DEPENDENCYPART_ARC
(10,22),-0.0390555 # DEPENDENCYPART_ARC
(10,23),-0.227339 # DEPENDENCYPART_ARC
(10,24),-2.54343 # DEPENDENCYPART_ARC
(10,25),1.64388 # DEPENDENCYPART_ARC
(11,1),-1.83608 # DEPENDENCYPART_ARC
(11,2),-2.8665 # DEPENDENCYPART_ARC
(11,3),-1.99698 # DEPENDENCYPART_ARC
(11,4),-2.74813 # DEPENDENCYPART_ARC
(11,5),-1.65387 # DEPENDENCYPART_ARC
(11,6),-1.87583 # DEPENDENCYPART_ARC
(11,7),-1.92612 # DEPENDENCYPART_ARC
(11,8),-2.27889 # DEPENDENCYPART_ARC
(11,9),-2.00114 # DEPENDENCYPART_ARC
(11,10),-1.49625 # DEPENDENCYPART_ARC
(11,12),-0.672494 # DEPENDENCYPART_ARC
(11,13),-1.2551 # DEPENDENCYPART_ARC
(11,14),-0.829361 # DEPENDENCYPART_ARC
(11,15),-1.16057 # DEPENDENCYPART_ARC
(11,16),-1.29147 # DEPENDENCYPART_ARC
(11,17),-0.899076 # DEPENDENCYPART_ARC
(11,18),-0.976835 # DEPENDENCYPART_ARC
(11,19),-1.55208 # DEPENDENCYPART_ARC
(11,20),-1.57377 # DEPENDENCYPART_ARC
(11,21),-2.14015 # DEPENDENCYPART_ARC
(11,22),-1.48787 # DEPENDENCYPART_ARC
(11,23),-1.34669 # DEPENDENCYPART_ARC
(11,24),-2.4445 # DEPENDENCYPART_ARC
(11,25),-1.20951 # DEPENDENCYPART_ARC
(12,1),-0.397542 # DEPENDENCYPART_ARC
(12,2),-1.07878 # DEPENDENCYPART_ARC
(12,3),-0.891865 # DEPENDENCYPART_ARC
(12,4),-2.15473 # DEPENDENCYPART_ARC
(12,5),-0.42899 # DEPENDENCYPART_ARC
(12,6),-0.687098 # DEPENDENCYPART_ARC
(12,7),-1.1351 # DEPENDENCYPART_ARC
(12,8),-0.880151 # DEPENDENCYPART_ARC
(12,9),-1.098 # DEPENDENCYPART_ARC
(12,10),-0.358352 # DEPENDENCYPART_ARC
(12,11),0.217695 # DEPENDENCYPART_ARC
(12,13),-0.0165821 # DEPENDENCYPART_ARC
(12,14),-0.529448 # DEPENDENCYPART_ARC
(12,15),-0.446553 # DEPENDENCYPART_ARC
(12,16),-1.0664 # DEPENDENCYPART_ARC
(12,17),-0.44881 # DEPENDENCYPART_ARC
(12,18),-0.704683 # DEPENDENCYPART_ARC
(12,19),-1.76882 # DEPENDENCYPART_ARC
(12,20),-1.82608 # DEPENDENCYPART_ARC
(12,21),-2.30273 # DEPENDENCYPART_ARC
(12,22),-1.17644 # DEPENDENCYPART_ARC
(12,23),-1.27323 # DEPENDENCYPART_ARC
(12,24),-2.55107 # DEPENDENCYPART_ARC
(12,25),-0.255435 # DEPENDENCYPART_ARC
(13,1),0.487678 # DEPENDENCYPART_ARC
(13,2),-0.346076 # DEPENDENCYPART_ARC
(13,3),0.147481 # DEPENDENCYPART_ARC
(13,4),-3.90815 # DEPENDENCYPART_ARC
(13,5),1.85056 # DEPENDENCYPART_ARC
(13,6),0.519764 # DEPENDENCYPART_ARC
(13,7),0.963866 # DEPENDENCYPART_ARC
(13,8),-0.0884685 # DEPENDENCYPART_ARC
(13,9),-1.82489 # DEPENDENCYPART_ARC
(13,10),-0.289397 # DEPENDENCYPART_ARC
(13,11),0.585166 # DEPENDENCYPART_ARC
(13,12),3.24542 # DEPENDENCYPART_ARC
(13,14),-0.206434 # DEPENDENCYPART_ARC
(13,15),-0.66123 # DEPENDENCYPART_ARC
(13,16),-0.855626 # DEPENDENCYPART_ARC
(13,17),-0.727761 # DEPENDENCYPART_ARC
(13,18),-0.976311 # DEPENDENCYPART_ARC
(13,19),-1.86025 # DEPENDENCYPART_ARC
(13,20),-2.1122 # DEPENDENCYPART_ARC
(13,21),-2.5261 # DEPENDENCYPART_ARC
(13,22),-0.981887 # DEPENDENCYPART_ARC
(13,23),-1.02746 # DEPENDENCYPART_ARC
(13,24),-3.2574 # DEPENDENCYPART_ARC
(13,25),0.3699 # DEPENDENCYPART_ARC
(14,1),-0.420599 # DEPENDENCYPART_ARC
(14,2),-1.79118 # DEPENDENCYPART_ARC
(14,3),-0.508016 # DEPENDENCYPART_ARC
(14,4),-1.31403 # DEPENDENCYPART_ARC
(14,5),-0.246643 # DEPENDENCYPART_ARC
(14,6),-0.196164 # DEPENDENCYPART_ARC
(14,7),-0.252413 # DEPENDENCYPART_ARC
(14,8),-0.817218 # DEPENDENCYPART_ARC
(14,9),-0.0745206 # DEPENDENCYPART_ARC
(14,10),0.82131 # DEPENDENCYPART_ARC
(14,11),0.875743 # DEPENDENCYPART_ARC
(14,12),1.11042 # DEPENDENCYPART_ARC
(14,13),4.20845 # DEPENDENCYPART_ARC
(14,15),0.375912 # DEPENDENCYPART_ARC
(14,16),-0.29383 # DEPENDENCYPART_ARC
(14,17),0.0747064 # DEPENDENCYPART_ARC
(14,18),-0.194117 # DEPENDENCYPART_ARC
(14,19),-0.642639 # DEPENDENCYPART_ARC
(14,20),-0.591172 # DEPENDENCYPART_ARC
(14,21),-0.710542 # DEPENDENCYPART_ARC
(14,22),0.0822313 # DEPENDENCYPART_ARC
(14,23),-0.388273 # DEPENDENCYPART_ARC
(14,24),-0.849178 # DEPENDENCYPART_ARC
(14,25),0.466912 # DEPENDENCYPART_ARC
(15,1),-0.516609 # DEPENDENCYPART_ARC
(15,2),1.62528 # DEPENDENCYPART_ARC
(15,3),0.235337 # DEPENDENCYPART_ARC
(15,4),2.11633 # DEPENDENCYPART_ARC
(15,5),0.254037 # DEPENDENCYPART_ARC
(15,6),0.353321 # DEPENDENCYPART_ARC
(15,7),-0.017195 # DEPENDENCYPART_ARC
(15,8),1.73646 # DEPENDENCYPART_ARC
(15,9),1.83271 # DEPENDENCYPART_ARC
(15,10),1.36664 # DEPENDENCYPART_ARC
(15,11),1.76796 # DEPENDENCYPART_ARC
(15,12),1.20286 # DEPENDENCYPART_ARC
(15,13),1.79294 # DEPENDENCYPART_ARC
(15,14),3.17187 # DEPENDENCYPART_ARC
(15,16),3.10632 # DEPENDENCYPART_ARC
(15,17),1.94841 # DEPENDENCYPART_ARC
(15,18),0.978112 # DEPENDENCYPART_ARC
(15,19),0.237706 # DEPENDENCYPART_ARC
(15,20),-0.0425945 # DEPENDENCYPART_ARC
(15,21),-0.760216 # DEPENDENCYPART_ARC
(15,22),1.10274 # DEPENDENCYPART_ARC
(15,23),1.04825 # DEPENDENCYPART_ARC
(15,24),0.190283 # DEPENDENCYPART_ARC
(15,25),2.42824 # DEPENDENCYPART_ARC
(16,1),-1.4863 # DEPENDENCYPART_ARC
(16,2),-0.401358 # DEPENDENCYPART_ARC
(16,3),-0.769251 # DEPENDENCYPART_ARC
(16,4),-0.457729 # DEPENDENCYPART_ARC
(16,5),-0.889407 # DEPENDENCYPART_ARC
(16,6),-0.650252 # DEPENDENCYPART_ARC
(16,7),-0.521294 # DEPENDENCYPART_ARC
(16,8),-0.266957 # DEPENDENCYPART_ARC
(16,9),-0.317182 # DEPENDENCYPART_ARC
(16,10),-0.585508 # DEPENDENCYPART_ARC
(16,11),-0.740406 # DEPENDENCYPART_ARC
(16,12),-0.260759 # DEPENDENCYPART_ARC
(16,13),0.285366 # DEPENDENCYPART_ARC
(16,14),0.0312374 # DEPENDENCYPART_ARC
(16,15),0.427241 # DEPENDENCYPART_ARC
(16,17),-0.337108 # DEPENDENCYPART_ARC
(16,18),-0.217618 # DEPENDENCYPART_ARC
(16,19),-0.674781 # DEPENDENCYPART_ARC
(16,20),-0.775648 # DEPENDENCYPART_ARC
(16,21),-0.890996 # DEPENDENCYPART_ARC
(16,22),-0.125141 # DEPENDENCYPART_ARC
(16,23),-0.76849 # DEPENDENCYPART_ARC
(16,24),-1.65772 # DEPENDENCYPART_ARC
(16,25),0.24205 # DEPENDENCYPART_ARC
(17,1),-2.16353 # DEPENDENCYPART_ARC
(17,2),-3.15121 # DEPENDENCYPART_ARC
(17,3),-2.34239 # DEPENDENCYPART_ARC
(17,4),-3.01206 # DEPENDENCYPART_ARC
(17,5),-2.02919 # DEPENDENCYPART_ARC
(17,6),-2.27735 # DEPENDENCYPART_ARC
(17,7),-2.41738 # DEPENDENCYPART_ARC
(17,8),-2.84234 # DEPENDENCYPART_ARC
(17,9),-2.78671 # DEPENDENCYPART_ARC
(17,10),-2.83573 # DEPENDENCYPART_ARC
(17,11),-1.63857 # DEPENDENCYPART_ARC
(17,12),-2.01963 # DEPENDENCYPART_ARC
(17,13),-2.4292 # DEPENDENCYPART_ARC
(17,14),-1.48912 # DEPENDENCYPART_ARC
(17,15),-1.29698 # DEPENDENCYPART_ARC
(17,16),-0.506348 # DEPENDENCYPART_ARC
(17,18),-0.929265 # DEPENDENCYPART_ARC
(17,19),-1.27281 # DEPENDENCYPART_ARC
(17,20),-1.47278 # DEPENDENCYPART_ARC
(17,21),-1.94189 # DEPENDENCYPART_ARC
(17,22),-1.447 # DEPENDENCYPART_ARC
(17,23),-1.47509 # DEPENDENCYPART_ARC
(17,24),-2.32548 # DEPENDENCYPART_ARC
(17,25),-1.37165 # DEPENDENCYPART_ARC
(18,1),-1.5809 # DEPENDENCYPART_ARC
(18,2),-0.0816258 # DEPENDENCYPART_ARC
(18,3),0.41997 # DEPENDENCYPART_ARC
(18,4),-0.43473 # DEPENDENCYPART_ARC
(18,5),-1.01017 # DEPENDENCYPART_ARC
(18,6),0.276547 # DEPENDENCYPART_ARC
(18,7),-0.365512 # DEPENDENCYPART_ARC
(18,8),-0.213611 # DEPENDENCYPART_ARC
(18,9),-0.208095 # DEPENDENCYPART_ARC
(18,10),-0.502625 # DEPENDENCYPART_ARC
(18,11),1.36067 # DEPENDENCYPART_ARC
(18,12),0.379321 # DEPENDENCYPART_ARC
(18,13),-0.159624 # DEPENDENCYPART_ARC
(18,14),0.526595 # DEPENDENCYPART_ARC
(18,15),2.07852 # DEPENDENCYPART_ARC
(18,16),0.935019 # DEPENDENCYPART_ARC
(18,17),2.55097 # DEPENDENCYPART_ARC
(18,19),-0.133746 # DEPENDENCYPART_ARC
(18,20),-0.276495 # DEPENDENCYPART_ARC
(18,21),-0.0578872 # DEPENDENCYPART_ARC
(18,22),2.52254 # DEPENDENCYPART_ARC
(18,23),0.335509 # DEPENDENCYPART_ARC
(18,24),-0.351137 # DEPENDENCYPART_ARC
(18,25),3.81969 # DEPENDENCYPART_ARC
(19,1),-1.21259 # DEPENDENCYPART_ARC
(19,2),-1.59518 # DEPENDENCYPART_ARC
(19,3),-1.08065 # DEPENDENCYPART_ARC
(19,4),-2.3767 # DEPENDENCYPART_ARC
(19,5),-0.639404 # DEPENDENCYPART_ARC
(19,6),-0.928778 # DEPENDENCYPART_ARC
(19,7),-0.154243 # DEPENDENCYPART_ARC
(19,8),-1.48689 # DEPENDENCYPART_ARC
(19,9),-1.55384 # DEPENDENCYPART_ARC
(19,10),-1.38475 # DEPENDENCYPART_ARC
(19,11),-0.00591652 # DEPENDENCYPART_ARC
(19,12),-0.673256 # DEPENDENCYPART_ARC
(19,13),-1.17897 # DEPENDENCYPART_ARC
(19,14),-0.943649 # DEPENDENCYPART_ARC
(19,15),-0.338974 # DEPENDENCYPART_ARC
(19,16),0.0159768 # DEPENDENCYPART_ARC
(19,17),-0.167171 # DEPENDENCYPART_ARC
(19,18),0.215941 # DEPENDENCYPART_ARC
(19,20),-0.645612 # DEPENDENCYPART_ARC
(19,21),-0.883926 # DEPENDENCYPART_ARC
(19,22),1.71825 # DEPENDENCYPART_ARC
(19,23),0.0977655 # DEPENDENCYPART_ARC
(19,24),-0.816 # DEPENDENCYPART_ARC
(19,25),0.724569 # DEPENDENCYPART_ARC
(20,1),-1.31592 # DEPENDENCYPART_ARC
(20,2),-1.73332 # DEPENDENCYPART_ARC
(20,3),-1.23271 # DEPENDENCYPART_ARC
(20,4),-2.46283 # DEPENDENCYPART_ARC
(20,5),-0.881762 # DEPENDENCYPART_ARC
(20,6),-1.13497 # DEPENDENCYPART_ARC
(20,7),-0.986698 # DEPENDENCYPART_ARC
(20,8),-1.61997 # DEPENDENCYPART_ARC
(20,9),-1.80056 # DEPENDENCYPART_ARC
(20,10),-1.48137 # DEPENDENCYPART_ARC
(20,11),-0.718561 # DEPENDENCYPART_ARC
(20,12),-0.890944 # DEPENDENCYPART_ARC
(20,13),-1.35692 # DEPENDENCYPART_ARC
(20,14),-0.956036 # DEPENDENCYPART_ARC
(20,15),-1.57414 # DEPENDENCYPART_ARC
(20,16),-0.282451 # DEPENDENCYPART_ARC
(20,17),-0.210241 # DEPENDENCYPART_ARC
(20,18),-0.391899 # DEPENDENCYPART_ARC
(20,19),0.15349 # DEPENDENCYPART_ARC
(20,21),-1.40403 # DEPENDENCYPART_ARC
(20,22),-0.16851 # DEPENDENCYPART_ARC
(20,23),-0.362434 # DEPENDENCYPART_ARC
(20,24),-1.33259 # DEPENDENCYPART_ARC
(20,25),-0.140656 # DEPENDENCYPART_ARC
(21,1),-2.27134 # DEPENDENCYPART_ARC
(21,2),-4.4132 # DEPENDENCYPART_ARC
