# _root_ Ugyanaz év júniusában a felügyelet felszólította a Bank_Austria_Creditanstalt_Hungary_Rt.-t , hogy tudatosítsa hirdetményeiben : a Nonstopbank nem különálló vállalkozása , hanem csak egy szolgáltatása .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,11,18,18,15,11,11,11,23,21,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,18,17,18,11,20,11,20,23,21,6,
(2,10),-0.71628 # DEPENDENCYPART_ARC
(2,11),-1.2588 # DEPENDENCYPART_ARC
(2,12),-2.12755 # DEPENDENCYPART_ARC
(2,13),0.0626024 # DEPENDENCYPART_ARC
(2,14),-1.32719 # DEPENDENCYPART_ARC
(2,15),-1.87194 # DEPENDENCYPART_ARC
(2,16),-0.975992 # DEPENDENCYPART_ARC
(2,17),-1.85469 # DEPENDENCYPART_ARC
(2,18),-1.95131 # DEPENDENCYPART_ARC
(2,19),-0.316316 # DEPENDENCYPART_ARC
(2,20),-1.0232 # DEPENDENCYPART_ARC
(2,21),-0.788424 # DEPENDENCYPART_ARC
(2,22),-1.11711 # DEPENDENCYPART_ARC
(2,23),-2.77523 # DEPENDENCYPART_ARC
(2,24),0.322864 # DEPENDENCYPART_ARC
(3,1),0.629552 # DEPENDENCYPART_ARC
(3,2),3.15442 # DEPENDENCYPART_ARC
(3,4),-0.804017 # DEPENDENCYPART_ARC
(3,5),-0.419759 # DEPENDENCYPART_ARC
(3,6),-0.773678 # DEPENDENCYPART_ARC
(3,7),-1.08405 # DEPENDENCYPART_ARC
(3,8),-0.628948 # DEPENDENCYPART_ARC
(3,9),-0.166911 # DEPENDENCYPART_ARC
(3,10),-0.823186 # DEPENDENCYPART_ARC
(3,11),-2.68496 # DEPENDENCYPART_ARC
(3,12),-1.48016 # DEPENDENCYPART_ARC
(3,13),0.152684 # DEPENDENCYPART_ARC
(3,14),-1.37493 # DEPENDENCYPART_ARC
(3,15),-1.49334 # DEPENDENCYPART_ARC
(3,16),-0.97864 # DEPENDENCYPART_ARC
(3,17),-1.78245 # DEPENDENCYPART_ARC
(3,18),-1.85187 # DEPENDENCYPART_ARC
(3,19),-0.466162 # DEPENDENCYPART_ARC
(3,20),-0.896789 # DEPENDENCYPART_ARC
(3,21),-0.833451 # DEPENDENCYPART_ARC
(3,22),-1.02128 # DEPENDENCYPART_ARC
(3,23),-2.90379 # DEPENDENCYPART_ARC
(3,24),0.348955 # DEPENDENCYPART_ARC
(4,2),-2.22075 # DEPENDENCYPART_ARC
(4,3),-2.09702 # DEPENDENCYPART_ARC
(4,5),-0.539727 # DEPENDENCYPART_ARC
(4,8),-1.32311 # DEPENDENCYPART_ARC
(4,9),-0.669553 # DEPENDENCYPART_ARC
(4,12),-2.06529 # DEPENDENCYPART_ARC
(4,13),-0.701511 # DEPENDENCYPART_ARC
(4,15),-1.90836 # DEPENDENCYPART_ARC
(4,17),-1.68516 # DEPENDENCYPART_ARC
(4,18),-2.43056 # DEPENDENCYPART_ARC
(4,19),-0.987436 # DEPENDENCYPART_ARC
(4,20),-1.60808 # DEPENDENCYPART_ARC
(4,23),-2.62847 # DEPENDENCYPART_ARC
(5,1),-0.145712 # DEPENDENCYPART_ARC
(5,2),-1.03521 # DEPENDENCYPART_ARC
(5,3),-2.77794 # DEPENDENCYPART_ARC
(5,4),2.8908 # DEPENDENCYPART_ARC
(5,6),-0.630271 # DEPENDENCYPART_ARC
(5,7),-1.51235 # DEPENDENCYPART_ARC
(5,8),-1.75371 # DEPENDENCYPART_ARC
(5,9),-0.716366 # DEPENDENCYPART_ARC
(5,10),-1.45576 # DEPENDENCYPART_ARC
(5,11),-1.95457 # DEPENDENCYPART_ARC
(5,12),-2.573 # DEPENDENCYPART_ARC
(5,13),-0.516148 # DEPENDENCYPART_ARC
(5,14),-1.7665 # DEPENDENCYPART_ARC
(5,15),-2.1186 # DEPENDENCYPART_ARC
(5,16),-1.49989 # DEPENDENCYPART_ARC
(5,17),-2.31584 # DEPENDENCYPART_ARC
(5,18),-2.32052 # DEPENDENCYPART_ARC
(5,19),-1.02117 # DEPENDENCYPART_ARC
(5,20),-1.54375 # DEPENDENCYPART_ARC
(5,21),-1.41635 # DEPENDENCYPART_ARC
(5,22),-1.57529 # DEPENDENCYPART_ARC
(5,23),-3.37222 # DEPENDENCYPART_ARC
(5,24),-0.560097 # DEPENDENCYPART_ARC
(6,1),1.18042 # DEPENDENCYPART_ARC
(6,2),1.35161 # DEPENDENCYPART_ARC
(6,3),2.65841 # DEPENDENCYPART_ARC
(6,4),-0.0969389 # DEPENDENCYPART_ARC
(6,5),3.46193 # DEPENDENCYPART_ARC
(6,7),0.172067 # DEPENDENCYPART_ARC
(6,8),3.35123 # DEPENDENCYPART_ARC
(6,9),1.97676 # DEPENDENCYPART_ARC
(6,10),2.83012 # DEPENDENCYPART_ARC
(6,11),2.25164 # DEPENDENCYPART_ARC
(6,12),0.762214 # DEPENDENCYPART_ARC
(6,13),1.45804 # DEPENDENCYPART_ARC
(6,14),-0.453009 # DEPENDENCYPART_ARC
(6,15),-1.88323 # DEPENDENCYPART_ARC
(6,16),0.451509 # DEPENDENCYPART_ARC
(6,17),-1.08751 # DEPENDENCYPART_ARC
(6,18),0.136779 # DEPENDENCYPART_ARC
(6,19),1.03815 # DEPENDENCYPART_ARC
(6,20),0.760354 # DEPENDENCYPART_ARC
(6,21),-0.172894 # DEPENDENCYPART_ARC
(6,22),-1.04447 # DEPENDENCYPART_ARC
(6,23),-1.37653 # DEPENDENCYPART_ARC
(6,24),2.32136 # DEPENDENCYPART_ARC
(7,2),-3.12785 # DEPENDENCYPART_ARC
(7,3),-3.49161 # DEPENDENCYPART_ARC
(7,5),-2.5608 # DEPENDENCYPART_ARC
(7,8),-0.211909 # DEPENDENCYPART_ARC
(7,9),-0.191016 # DEPENDENCYPART_ARC
(7,12),-1.4953 # DEPENDENCYPART_ARC
(7,13),-0.37627 # DEPENDENCYPART_ARC
(7,15),-1.46699 # DEPENDENCYPART_ARC
(7,17),-1.20222 # DEPENDENCYPART_ARC
(7,18),-2.07343 # DEPENDENCYPART_ARC
(7,19),-0.733862 # DEPENDENCYPART_ARC
(7,20),-1.35359 # DEPENDENCYPART_ARC
(7,23),-2.33545 # DEPENDENCYPART_ARC
(8,1),-2.48486 # DEPENDENCYPART_ARC
(8,2),-3.65324 # DEPENDENCYPART_ARC
(8,3),-5.70114 # DEPENDENCYPART_ARC
(8,4),-0.754175 # DEPENDENCYPART_ARC
(8,5),-2.76939 # DEPENDENCYPART_ARC
(8,6),-0.982918 # DEPENDENCYPART_ARC
(8,7),2.61439 # DEPENDENCYPART_ARC
(8,9),-0.422785 # DEPENDENCYPART_ARC
(8,10),-1.35693 # DEPENDENCYPART_ARC
(8,11),-1.38125 # DEPENDENCYPART_ARC
(8,12),-2.02156 # DEPENDENCYPART_ARC
(8,13),-0.621979 # DEPENDENCYPART_ARC
(8,14),-1.41007 # DEPENDENCYPART_ARC
(8,15),-2.07185 # DEPENDENCYPART_ARC
(8,16),-1.4768 # DEPENDENCYPART_ARC
(8,17),-1.66505 # DEPENDENCYPART_ARC
(8,18),-1.7797 # DEPENDENCYPART_ARC
(8,19),-1.01355 # DEPENDENCYPART_ARC
(8,20),-1.47428 # DEPENDENCYPART_ARC
(8,21),-1.4699 # DEPENDENCYPART_ARC
(8,22),-1.49814 # DEPENDENCYPART_ARC
(8,23),-3.4005 # DEPENDENCYPART_ARC
(8,24),-0.660947 # DEPENDENCYPART_ARC
(10,1),-0.465361 # DEPENDENCYPART_ARC
(10,2),-0.433329 # DEPENDENCYPART_ARC
(10,3),0.0239876 # DEPENDENCYPART_ARC
(10,4),-0.779739 # DEPENDENCYPART_ARC
(10,5),0.0905113 # DEPENDENCYPART_ARC
(10,6),0.232606 # DEPENDENCYPART_ARC
(10,7),-0.0140389 # DEPENDENCYPART_ARC
(10,8),0.224516 # DEPENDENCYPART_ARC
(10,9),1.01602 # DEPENDENCYPART_ARC
(10,11),0.935339 # DEPENDENCYPART_ARC
(10,12),-0.478258 # DEPENDENCYPART_ARC
(10,13),0.523521 # DEPENDENCYPART_ARC
(10,14),-1.00956 # DEPENDENCYPART_ARC
(10,15),-1.41296 # DEPENDENCYPART_ARC
(10,16),-0.358344 # DEPENDENCYPART_ARC
(10,17),-0.701446 # DEPENDENCYPART_ARC
(10,18),-1.38703 # DEPENDENCYPART_ARC
(10,19),-0.204093 # DEPENDENCYPART_ARC
(10,20),-0.143563 # DEPENDENCYPART_ARC
(10,21),-0.347847 # DEPENDENCYPART_ARC
(10,23),-2.67476 # DEPENDENCYPART_ARC
(10,24),1.80592 # DEPENDENCYPART_ARC
(11,1),-1.76483 # DEPENDENCYPART_ARC
(11,2),-1.68358 # DEPENDENCYPART_ARC
(11,3),-0.411828 # DEPENDENCYPART_ARC
(11,4),-2.57021 # DEPENDENCYPART_ARC
(11,5),-0.573223 # DEPENDENCYPART_ARC
(11,6),-2.15866 # DEPENDENCYPART_ARC
(11,7),-1.98611 # DEPENDENCYPART_ARC
(11,8),-0.0882945 # DEPENDENCYPART_ARC
(11,9),-0.225525 # DEPENDENCYPART_ARC
(11,10),-0.876513 # DEPENDENCYPART_ARC
(11,12),3.62599 # DEPENDENCYPART_ARC
(11,13),1.52434 # DEPENDENCYPART_ARC
(11,14),-0.440471 # DEPENDENCYPART_ARC
(11,15),0.186523 # DEPENDENCYPART_ARC
(11,16),0.76349 # DEPENDENCYPART_ARC
(11,17),-0.790803 # DEPENDENCYPART_ARC
(11,18),1.20516 # DEPENDENCYPART_ARC
(11,19),1.04469 # DEPENDENCYPART_ARC
(11,20),0.805058 # DEPENDENCYPART_ARC
(11,21),0.0068114 # DEPENDENCYPART_ARC
(11,22),-1.30636 # DEPENDENCYPART_ARC
(11,23),-0.353001 # DEPENDENCYPART_ARC
(11,24),1.75459 # DEPENDENCYPART_ARC
(12,1),-2.38656 # DEPENDENCYPART_ARC
(12,2),-1.67218 # DEPENDENCYPART_ARC
(12,3),-4.22323 # DEPENDENCYPART_ARC
(12,4),-1.67911 # DEPENDENCYPART_ARC
(12,5),-1.30721 # DEPENDENCYPART_ARC
(12,6),-2.78822 # DEPENDENCYPART_ARC
(12,7),-0.603788 # DEPENDENCYPART_ARC
(12,8),-2.42115 # DEPENDENCYPART_ARC
(12,9),-0.47898 # DEPENDENCYPART_ARC
(12,10),-0.769376 # DEPENDENCYPART_ARC
(12,11),-0.859891 # DEPENDENCYPART_ARC
(12,13),0.283336 # DEPENDENCYPART_ARC
(12,14),-0.940948 # DEPENDENCYPART_ARC
(12,15),-0.427688 # DEPENDENCYPART_ARC
(12,16),-0.783341 # DEPENDENCYPART_ARC
(12,17),-0.692567 # DEPENDENCYPART_ARC
(12,18),-1.07089 # DEPENDENCYPART_ARC
(12,19),-0.0501158 # DEPENDENCYPART_ARC
(12,20),-0.571999 # DEPENDENCYPART_ARC
(12,21),-0.800274 # DEPENDENCYPART_ARC
(12,22),-0.763767 # DEPENDENCYPART_ARC
(12,23),-2.5602 # DEPENDENCYPART_ARC
(12,24),0.0997646 # DEPENDENCYPART_ARC
(14,2),-4.01205 # DEPENDENCYPART_ARC
(14,3),-4.50585 # DEPENDENCYPART_ARC
(14,5),-3.84417 # DEPENDENCYPART_ARC
(14,8),-3.4251 # DEPENDENCYPART_ARC
(14,9),-2.00624 # DEPENDENCYPART_ARC
(14,12),-3.06681 # DEPENDENCYPART_ARC
(14,13),-1.21605 # DEPENDENCYPART_ARC
(14,15),-0.454503 # DEPENDENCYPART_ARC
(14,17),-0.507392 # DEPENDENCYPART_ARC
(14,18),-1.5358 # DEPENDENCYPART_ARC
(14,19),-0.667082 # DEPENDENCYPART_ARC
(14,20),-0.979918 # DEPENDENCYPART_ARC
(14,23),-2.13834 # DEPENDENCYPART_ARC
(15,1),-3.3177 # DEPENDENCYPART_ARC
(15,2),-4.78757 # DEPENDENCYPART_ARC
(15,3),-7.04652 # DEPENDENCYPART_ARC
(15,4),-2.42805 # DEPENDENCYPART_ARC
(15,5),-4.25704 # DEPENDENCYPART_ARC
(15,6),-2.3555 # DEPENDENCYPART_ARC
(15,7),-1.45102 # DEPENDENCYPART_ARC
(15,8),-4.74344 # DEPENDENCYPART_ARC
(15,9),-1.97703 # DEPENDENCYPART_ARC
(15,10),-2.28097 # DEPENDENCYPART_ARC
(15,11),-1.94931 # DEPENDENCYPART_ARC
(15,12),-3.98616 # DEPENDENCYPART_ARC
(15,13),-1.32327 # DEPENDENCYPART_ARC
(15,14),2.66097 # DEPENDENCYPART_ARC
(15,16),-0.653076 # DEPENDENCYPART_ARC
(15,17),-0.408777 # DEPENDENCYPART_ARC
(15,18),-0.0168286 # DEPENDENCYPART_ARC
(15,19),-0.0422314 # DEPENDENCYPART_ARC
(15,20),-0.880971 # DEPENDENCYPART_ARC
(15,21),-0.778301 # DEPENDENCYPART_ARC
(15,22),-0.833449 # DEPENDENCYPART_ARC
(15,23),-1.58914 # DEPENDENCYPART_ARC
(15,24),-0.492491 # DEPENDENCYPART_ARC
(16,1),-1.90781 # DEPENDENCYPART_ARC
(16,2),-0.98911 # DEPENDENCYPART_ARC
(16,3),-1.04966 # DEPENDENCYPART_ARC
(16,5),-0.973067 # DEPENDENCYPART_ARC
(16,6),-0.827236 # DEPENDENCYPART_ARC
(16,8),-0.934946 # DEPENDENCYPART_ARC
(16,9),-0.0683145 # DEPENDENCYPART_ARC
(16,10),-0.544506 # DEPENDENCYPART_ARC
(16,11),-0.282197 # DEPENDENCYPART_ARC
(16,12),-0.434107 # DEPENDENCYPART_ARC
(16,13),0.193336 # DEPENDENCYPART_ARC
(16,15),0.47575 # DEPENDENCYPART_ARC
(16,17),0.425331 # DEPENDENCYPART_ARC
(16,18),0.417044 # DEPENDENCYPART_ARC
(16,19),-0.0040937 # DEPENDENCYPART_ARC
(16,20),-0.289708 # DEPENDENCYPART_ARC
(16,21),-0.803308 # DEPENDENCYPART_ARC
(16,23),-0.816923 # DEPENDENCYPART_ARC
(16,24),0.214563 # DEPENDENCYPART_ARC
(17,1),-1.62169 # DEPENDENCYPART_ARC
(17,2),-2.03065 # DEPENDENCYPART_ARC
(17,3),-1.7957 # DEPENDENCYPART_ARC
(17,4),-1.54438 # DEPENDENCYPART_ARC
(17,5),-2.11479 # DEPENDENCYPART_ARC
(17,6),-1.21024 # DEPENDENCYPART_ARC
(17,7),-1.12682 # DEPENDENCYPART_ARC
(17,8),-0.743107 # DEPENDENCYPART_ARC
(17,9),-0.152244 # DEPENDENCYPART_ARC
(17,10),-0.30894 # DEPENDENCYPART_ARC
(17,11),0.0644528 # DEPENDENCYPART_ARC
(17,12),-0.543171 # DEPENDENCYPART_ARC
(17,13),0.127753 # DEPENDENCYPART_ARC
(17,14),0.135782 # DEPENDENCYPART_ARC
(17,15),0.619908 # DEPENDENCYPART_ARC
(17,16),1.56285 # DEPENDENCYPART_ARC
(17,18),-0.483078 # DEPENDENCYPART_ARC
(17,19),-0.446838 # DEPENDENCYPART_ARC
(17,20),-0.902638 # DEPENDENCYPART_ARC
(17,21),-1.08631 # DEPENDENCYPART_ARC
(17,22),-1.18413 # DEPENDENCYPART_ARC
(17,23),-1.93908 # DEPENDENCYPART_ARC
(17,24),-0.552634 # DEPENDENCYPART_ARC
(18,1),-1.87302 # DEPENDENCYPART_ARC
(18,2),-1.59034 # DEPENDENCYPART_ARC
(18,3),-5.96866 # DEPENDENCYPART_ARC
(18,4),-2.16573 # DEPENDENCYPART_ARC
(18,5),-1.09797 # DEPENDENCYPART_ARC
(18,6),-1.427 # DEPENDENCYPART_ARC
(18,7),-1.13134 # DEPENDENCYPART_ARC
(18,8),-4.03115 # DEPENDENCYPART_ARC
(18,9),-0.992735 # DEPENDENCYPART_ARC
(18,10),-0.894116 # DEPENDENCYPART_ARC
(18,11),-1.56553 # DEPENDENCYPART_ARC
(18,12),-2.56183 # DEPENDENCYPART_ARC
(18,13),-0.726791 # DEPENDENCYPART_ARC
(18,14),0.728474 # DEPENDENCYPART_ARC
(18,15),2.10275 # DEPENDENCYPART_ARC
(18,16),0.952153 # DEPENDENCYPART_ARC
(18,17),2.92645 # DEPENDENCYPART_ARC
(18,19),0.004183 # DEPENDENCYPART_ARC
(18,20),-0.794385 # DEPENDENCYPART_ARC
(18,21),-0.759139 # DEPENDENCYPART_ARC
(18,22),-0.841889 # DEPENDENCYPART_ARC
(18,23),-1.56043 # DEPENDENCYPART_ARC
(18,24),-0.319696 # DEPENDENCYPART_ARC
(20,1),-0.934178 # DEPENDENCYPART_ARC
(20,2),-0.716716 # DEPENDENCYPART_ARC
(20,3),-0.69073 # DEPENDENCYPART_ARC
(20,4),-2.4098 # DEPENDENCYPART_ARC
(20,5),-0.983442 # DEPENDENCYPART_ARC
(20,6),0.563328 # DEPENDENCYPART_ARC
(20,7),-2.02355 # DEPENDENCYPART_ARC
(20,8),-1.54211 # DEPENDENCYPART_ARC
(20,9),0.130691 # DEPENDENCYPART_ARC
(20,10),0.602768 # DEPENDENCYPART_ARC
(20,11),0.322163 # DEPENDENCYPART_ARC
(20,12),-0.858272 # DEPENDENCYPART_ARC
(20,13),-0.0533653 # DEPENDENCYPART_ARC
(20,14),-0.928428 # DEPENDENCYPART_ARC
(20,15),0.0121332 # DEPENDENCYPART_ARC
(20,16),0.657918 # DEPENDENCYPART_ARC
(20,17),0.183455 # DEPENDENCYPART_ARC
(20,18),-0.826306 # DEPENDENCYPART_ARC
(20,19),1.30325 # DEPENDENCYPART_ARC
(20,21),0.148768 # DEPENDENCYPART_ARC
(20,23),-0.915649 # DEPENDENCYPART_ARC
(20,24),1.91455 # DEPENDENCYPART_ARC
(21,1),-1.74003 # DEPENDENCYPART_ARC
(21,2),-1.59785 # DEPENDENCYPART_ARC
(21,3),-1.60404 # DEPENDENCYPART_ARC
(21,4),-1.86564 # DEPENDENCYPART_ARC
(21,5),-1.50407 # DEPENDENCYPART_ARC
(21,6),-0.671699 # DEPENDENCYPART_ARC
(21,7),-1.55141 # DEPENDENCYPART_ARC
(21,8),-1.47133 # DEPENDENCYPART_ARC
(21,9),-0.388654 # DEPENDENCYPART_ARC
(21,10),-0.957349 # DEPENDENCYPART_ARC
(21,11),-0.158064 # DEPENDENCYPART_ARC
(21,12),-0.8664 # DEPENDENCYPART_ARC
(21,13),0.0194935 # DEPENDENCYPART_ARC
(21,14),-0.744475 # DEPENDENCYPART_ARC
(21,15),-0.370433 # DEPENDENCYPART_ARC
(21,16),0.201674 # DEPENDENCYPART_ARC
(21,17),-0.224207 # DEPENDENCYPART_ARC
(21,18),-0.286504 # DEPENDENCYPART_ARC
(21,19),0.32846 # DEPENDENCYPART_ARC
(21,20),0.513018 # DEPENDENCYPART_ARC
(21,23),0.493253 # DEPENDENCYPART_ARC
(21,24),0.83799 # DEPENDENCYPART_ARC
(22,9),-1.31981 # DEPENDENCYPART_ARC
(22,13),-1.19776 # DEPENDENCYPART_ARC
(22,17),-1.46086 # DEPENDENCYPART_ARC
(22,19),-0.666389 # DEPENDENCYPART_ARC
(23,1),-3.58965 # DEPENDENCYPART_ARC
(23,2),-3.30463 # DEPENDENCYPART_ARC
(23,3),-7.28381 # DEPENDENCYPART_ARC
(23,4),-4.102 # DEPENDENCYPART_ARC
(23,5),-2.58939 # DEPENDENCYPART_ARC
(23,6),-2.70346 # DEPENDENCYPART_ARC
(23,7),-3.15676 # DEPENDENCYPART_ARC
(23,8),-5.02209 # DEPENDENCYPART_ARC
(23,9),-1.85637 # DEPENDENCYPART_ARC
(23,10),-2.12268 # DEPENDENCYPART_ARC
(23,11),-2.83661 # DEPENDENCYPART_ARC
(23,12),-3.79958 # DEPENDENCYPART_ARC
(23,13),-1.88904 # DEPENDENCYPART_ARC
(23,14),-1.47009 # DEPENDENCYPART_ARC
(23,15),-0.123292 # DEPENDENCYPART_ARC
(23,16),-1.07031 # DEPENDENCYPART_ARC
(23,17),-1.81038 # DEPENDENCYPART_ARC
(23,18),-0.911689 # DEPENDENCYPART_ARC
(23,19),-0.519465 # DEPENDENCYPART_ARC
(23,20),-0.224853 # DEPENDENCYPART_ARC
(23,21),-0.365475 # DEPENDENCYPART_ARC
(23,22),2.58398 # DEPENDENCYPART_ARC
(23,24),-0.729333 # DEPENDENCYPART_ARC
