# _root_ Az új idők igényeihez igazodva ez a cég is szeretne a nagyok beszállítójává válni , hiszen a multiknak és a bankoknak is kellenek a jól zárható , biztonságos iratszekrények .
#goldHeads=3,3,4,5,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,16,29,26,29,29,29,23,16,
#predictedHeads=3,3,4,14,10,8,8,10,10,16,12,13,14,10,16,0,18,23,23,21,23,23,6,29,26,29,29,29,23,16,
(5,13),-0.328727 # DEPENDENCYPART_ARC
(5,14),0.477078 # DEPENDENCYPART_ARC
(5,15),0.33742 # DEPENDENCYPART_ARC
(5,16),0.732845 # DEPENDENCYPART_ARC
(5,17),-0.225673 # DEPENDENCYPART_ARC
(5,18),-0.962469 # DEPENDENCYPART_ARC
(5,19),0.22251 # DEPENDENCYPART_ARC
(5,20),-0.291465 # DEPENDENCYPART_ARC
(5,21),-1.10737 # DEPENDENCYPART_ARC
(5,22),-0.741576 # DEPENDENCYPART_ARC
(5,23),-0.138467 # DEPENDENCYPART_ARC
(5,24),-0.359732 # DEPENDENCYPART_ARC
(5,25),0.0414469 # DEPENDENCYPART_ARC
(5,26),-0.749792 # DEPENDENCYPART_ARC
(5,27),-0.685252 # DEPENDENCYPART_ARC
(5,28),-0.898922 # DEPENDENCYPART_ARC
(5,29),-1.28143 # DEPENDENCYPART_ARC
(5,30),0.960114 # DEPENDENCYPART_ARC
(6,1),-0.316773 # DEPENDENCYPART_ARC
(6,2),-0.858026 # DEPENDENCYPART_ARC
(6,3),-0.430924 # DEPENDENCYPART_ARC
(6,4),-0.212355 # DEPENDENCYPART_ARC
(6,5),0.44654 # DEPENDENCYPART_ARC
(6,7),-0.719814 # DEPENDENCYPART_ARC
(6,8),0.290948 # DEPENDENCYPART_ARC
(6,9),-0.363135 # DEPENDENCYPART_ARC
(6,10),0.815079 # DEPENDENCYPART_ARC
(6,11),-0.954037 # DEPENDENCYPART_ARC
(6,12),0.0975257 # DEPENDENCYPART_ARC
(6,13),-0.544399 # DEPENDENCYPART_ARC
(6,14),0.674494 # DEPENDENCYPART_ARC
(6,15),0.895622 # DEPENDENCYPART_ARC
(6,16),0.333149 # DEPENDENCYPART_ARC
(6,17),-0.882591 # DEPENDENCYPART_ARC
(6,18),-0.402646 # DEPENDENCYPART_ARC
(6,19),0.140801 # DEPENDENCYPART_ARC
(6,20),-0.987112 # DEPENDENCYPART_ARC
(6,21),-0.422459 # DEPENDENCYPART_ARC
(6,22),-0.230256 # DEPENDENCYPART_ARC
(6,23),0.94878 # DEPENDENCYPART_ARC
(6,24),-1.08582 # DEPENDENCYPART_ARC
(6,25),-0.20937 # DEPENDENCYPART_ARC
(6,26),-0.938888 # DEPENDENCYPART_ARC
(6,27),0.345726 # DEPENDENCYPART_ARC
(6,28),-0.69871 # DEPENDENCYPART_ARC
(6,29),-0.539921 # DEPENDENCYPART_ARC
(6,30),0.553909 # DEPENDENCYPART_ARC
(7,2),-2.21468 # DEPENDENCYPART_ARC
(7,3),-3.04997 # DEPENDENCYPART_ARC
(7,4),-3.24391 # DEPENDENCYPART_ARC
(7,8),-0.482456 # DEPENDENCYPART_ARC
(7,9),-0.835824 # DEPENDENCYPART_ARC
(7,12),-1.31683 # DEPENDENCYPART_ARC
(7,13),-1.97648 # DEPENDENCYPART_ARC
(7,15),-0.639956 # DEPENDENCYPART_ARC
(7,16),-1.11957 # DEPENDENCYPART_ARC
(7,18),-1.99584 # DEPENDENCYPART_ARC
(7,19),-1.61212 # DEPENDENCYPART_ARC
(7,21),-2.16126 # DEPENDENCYPART_ARC
(7,22),-1.74557 # DEPENDENCYPART_ARC
(7,26),-2.10132 # DEPENDENCYPART_ARC
(7,27),-1.06402 # DEPENDENCYPART_ARC
(7,28),-2.23217 # DEPENDENCYPART_ARC
(7,29),-2.36686 # DEPENDENCYPART_ARC
(8,1),0.128322 # DEPENDENCYPART_ARC
(8,2),-0.283913 # DEPENDENCYPART_ARC
(8,3),-2.01788 # DEPENDENCYPART_ARC
(8,4),-3.52625 # DEPENDENCYPART_ARC
(8,5),-0.128855 # DEPENDENCYPART_ARC
(8,6),2.19181 # DEPENDENCYPART_ARC
(8,7),3.84296 # DEPENDENCYPART_ARC
(8,9),-0.997332 # DEPENDENCYPART_ARC
(8,10),-1.05179 # DEPENDENCYPART_ARC
(8,11),-1.34423 # DEPENDENCYPART_ARC
(8,12),-1.81783 # DEPENDENCYPART_ARC
(8,13),-2.12809 # DEPENDENCYPART_ARC
(8,14),-0.965457 # DEPENDENCYPART_ARC
(8,15),-0.665876 # DEPENDENCYPART_ARC
(8,16),-1.08138 # DEPENDENCYPART_ARC
(8,17),-1.64242 # DEPENDENCYPART_ARC
(8,18),-3.2608 # DEPENDENCYPART_ARC
(8,19),-1.14569 # DEPENDENCYPART_ARC
(8,20),-1.81469 # DEPENDENCYPART_ARC
(8,21),-3.86215 # DEPENDENCYPART_ARC
(8,22),-1.99022 # DEPENDENCYPART_ARC
(8,23),-2.01125 # DEPENDENCYPART_ARC
(8,24),-1.88168 # DEPENDENCYPART_ARC
(8,25),-1.18326 # DEPENDENCYPART_ARC
(8,26),-2.61951 # DEPENDENCYPART_ARC
(8,27),-1.64551 # DEPENDENCYPART_ARC
(8,28),-2.51701 # DEPENDENCYPART_ARC
(8,29),-3.48833 # DEPENDENCYPART_ARC
(8,30),-0.467821 # DEPENDENCYPART_ARC
(9,1),-1.25556 # DEPENDENCYPART_ARC
(9,2),-0.958484 # DEPENDENCYPART_ARC
(9,3),-1.08928 # DEPENDENCYPART_ARC
(9,4),-0.768774 # DEPENDENCYPART_ARC
(9,5),-0.049256 # DEPENDENCYPART_ARC
(9,6),-0.499493 # DEPENDENCYPART_ARC
(9,7),-0.75137 # DEPENDENCYPART_ARC
(9,8),-0.347227 # DEPENDENCYPART_ARC
(9,10),0.09758 # DEPENDENCYPART_ARC
(9,11),-1.18163 # DEPENDENCYPART_ARC
(9,12),-0.478911 # DEPENDENCYPART_ARC
(9,13),-1.00537 # DEPENDENCYPART_ARC
(9,14),-1.28983 # DEPENDENCYPART_ARC
(9,15),-0.322043 # DEPENDENCYPART_ARC
(9,16),-0.71322 # DEPENDENCYPART_ARC
(9,17),-1.52216 # DEPENDENCYPART_ARC
(9,18),-1.48634 # DEPENDENCYPART_ARC
(9,19),-0.791985 # DEPENDENCYPART_ARC
(9,20),-1.6496 # DEPENDENCYPART_ARC
(9,21),-1.94337 # DEPENDENCYPART_ARC
(9,22),-0.969972 # DEPENDENCYPART_ARC
(9,23),-2.09988 # DEPENDENCYPART_ARC
(9,24),-1.8047 # DEPENDENCYPART_ARC
(9,25),-1.31338 # DEPENDENCYPART_ARC
(9,26),-1.51418 # DEPENDENCYPART_ARC
(9,27),-1.23846 # DEPENDENCYPART_ARC
(9,28),-1.70225 # DEPENDENCYPART_ARC
(9,29),-2.28005 # DEPENDENCYPART_ARC
(9,30),0.0668129 # DEPENDENCYPART_ARC
(10,1),0.00192508 # DEPENDENCYPART_ARC
(10,2),-0.0565299 # DEPENDENCYPART_ARC
(10,3),0.571707 # DEPENDENCYPART_ARC
(10,4),0.615777 # DEPENDENCYPART_ARC
(10,5),1.81288 # DEPENDENCYPART_ARC
(10,6),0.707032 # DEPENDENCYPART_ARC
(10,7),0.389899 # DEPENDENCYPART_ARC
(10,8),2.55475 # DEPENDENCYPART_ARC
(10,9),3.10417 # DEPENDENCYPART_ARC
(10,11),-0.266303 # DEPENDENCYPART_ARC
(10,12),0.963246 # DEPENDENCYPART_ARC
(10,13),0.667927 # DEPENDENCYPART_ARC
(10,14),2.49567 # DEPENDENCYPART_ARC
(10,15),1.23177 # DEPENDENCYPART_ARC
(10,16),0.613578 # DEPENDENCYPART_ARC
(10,17),-1.07624 # DEPENDENCYPART_ARC
(10,18),-1.2102 # DEPENDENCYPART_ARC
(10,19),0.47693 # DEPENDENCYPART_ARC
(10,20),-1.14441 # DEPENDENCYPART_ARC
(10,21),-1.70624 # DEPENDENCYPART_ARC
(10,22),0.287397 # DEPENDENCYPART_ARC
(10,23),0.649566 # DEPENDENCYPART_ARC
(10,24),-1.5445 # DEPENDENCYPART_ARC
(10,25),-1.25489 # DEPENDENCYPART_ARC
(10,26),-1.42038 # DEPENDENCYPART_ARC
(10,27),-0.670248 # DEPENDENCYPART_ARC
(10,28),-1.87371 # DEPENDENCYPART_ARC
(10,29),-1.55256 # DEPENDENCYPART_ARC
(10,30),2.91096 # DEPENDENCYPART_ARC
(11,2),-2.4266 # DEPENDENCYPART_ARC
(11,3),-3.46307 # DEPENDENCYPART_ARC
(11,4),-3.82345 # DEPENDENCYPART_ARC
(11,8),-2.99004 # DEPENDENCYPART_ARC
(11,9),-1.66654 # DEPENDENCYPART_ARC
(11,12),-0.56403 # DEPENDENCYPART_ARC
(11,13),-1.23236 # DEPENDENCYPART_ARC
(11,15),-0.686515 # DEPENDENCYPART_ARC
(11,16),-1.18769 # DEPENDENCYPART_ARC
(11,18),-1.87275 # DEPENDENCYPART_ARC
(11,19),-1.47655 # DEPENDENCYPART_ARC
(11,21),-2.00124 # DEPENDENCYPART_ARC
(11,22),-1.71819 # DEPENDENCYPART_ARC
(11,26),-2.00437 # DEPENDENCYPART_ARC
(11,27),-1.03264 # DEPENDENCYPART_ARC
(11,28),-2.0438 # DEPENDENCYPART_ARC
(11,29),-2.42873 # DEPENDENCYPART_ARC
(12,1),-2.40474 # DEPENDENCYPART_ARC
(12,2),-2.84815 # DEPENDENCYPART_ARC
(12,3),-4.55084 # DEPENDENCYPART_ARC
(12,4),-6.5088 # DEPENDENCYPART_ARC
(12,5),-1.92113 # DEPENDENCYPART_ARC
(12,6),-1.3673 # DEPENDENCYPART_ARC
(12,7),-0.880654 # DEPENDENCYPART_ARC
(12,8),-2.6148 # DEPENDENCYPART_ARC
(12,9),-1.59295 # DEPENDENCYPART_ARC
(12,10),-1.80828 # DEPENDENCYPART_ARC
(12,11),2.89909 # DEPENDENCYPART_ARC
(12,13),-1.71341 # DEPENDENCYPART_ARC
(12,14),-0.694621 # DEPENDENCYPART_ARC
(12,15),-0.719516 # DEPENDENCYPART_ARC
(12,16),-1.18318 # DEPENDENCYPART_ARC
(12,17),-1.78048 # DEPENDENCYPART_ARC
(12,18),-3.11452 # DEPENDENCYPART_ARC
(12,19),-1.19759 # DEPENDENCYPART_ARC
(12,20),-1.90758 # DEPENDENCYPART_ARC
(12,21),-3.49779 # DEPENDENCYPART_ARC
(12,22),-1.88715 # DEPENDENCYPART_ARC
(12,23),-2.05891 # DEPENDENCYPART_ARC
(12,24),-2.05251 # DEPENDENCYPART_ARC
(12,25),-1.50348 # DEPENDENCYPART_ARC
(12,26),-2.42056 # DEPENDENCYPART_ARC
(12,27),-1.49202 # DEPENDENCYPART_ARC
(12,28),-2.26775 # DEPENDENCYPART_ARC
(12,29),-3.19261 # DEPENDENCYPART_ARC
(12,30),-0.843712 # DEPENDENCYPART_ARC
(13,1),-3.55865 # DEPENDENCYPART_ARC
(13,2),-2.54104 # DEPENDENCYPART_ARC
(13,3),-1.52058 # DEPENDENCYPART_ARC
(13,4),-5.1336 # DEPENDENCYPART_ARC
(13,5),-0.895713 # DEPENDENCYPART_ARC
(13,6),-1.42188 # DEPENDENCYPART_ARC
(13,7),-2.3736 # DEPENDENCYPART_ARC
(13,8),-0.182049 # DEPENDENCYPART_ARC
(13,9),-0.502877 # DEPENDENCYPART_ARC
(13,10),-2.69917 # DEPENDENCYPART_ARC
(13,11),0.526545 # DEPENDENCYPART_ARC
(13,12),4.16304 # DEPENDENCYPART_ARC
(13,14),-0.453178 # DEPENDENCYPART_ARC
(13,15),-0.933784 # DEPENDENCYPART_ARC
(13,16),-0.930301 # DEPENDENCYPART_ARC
(13,17),-1.76829 # DEPENDENCYPART_ARC
(13,18),-2.78584 # DEPENDENCYPART_ARC
(13,19),-1.02084 # DEPENDENCYPART_ARC
(13,20),-1.93947 # DEPENDENCYPART_ARC
(13,21),-3.3385 # DEPENDENCYPART_ARC
(13,22),-1.67697 # DEPENDENCYPART_ARC
(13,23),-2.08877 # DEPENDENCYPART_ARC
(13,24),-2.06571 # DEPENDENCYPART_ARC
(13,25),-1.44833 # DEPENDENCYPART_ARC
(13,26),-2.24159 # DEPENDENCYPART_ARC
(13,27),-1.53471 # DEPENDENCYPART_ARC
(13,28),-2.1161 # DEPENDENCYPART_ARC
(13,29),-3.06547 # DEPENDENCYPART_ARC
(13,30),-0.563853 # DEPENDENCYPART_ARC
(14,1),-0.174121 # DEPENDENCYPART_ARC
(14,2),-0.0246377 # DEPENDENCYPART_ARC
(14,3),-0.396399 # DEPENDENCYPART_ARC
(14,4),1.76675 # DEPENDENCYPART_ARC
(14,5),1.09467 # DEPENDENCYPART_ARC
(14,6),-0.636631 # DEPENDENCYPART_ARC
(14,7),-0.338155 # DEPENDENCYPART_ARC
(14,8),0.959195 # DEPENDENCYPART_ARC
(14,9),1.24256 # DEPENDENCYPART_ARC
(14,10),-0.086737 # DEPENDENCYPART_ARC
(14,11),0.379057 # DEPENDENCYPART_ARC
(14,12),1.57282 # DEPENDENCYPART_ARC
(14,13),4.90548 # DEPENDENCYPART_ARC
(14,15),1.22354 # DEPENDENCYPART_ARC
(14,16),0.612699 # DEPENDENCYPART_ARC
(14,17),-0.150345 # DEPENDENCYPART_ARC
(14,18),0.0392242 # DEPENDENCYPART_ARC
(14,19),-0.265418 # DEPENDENCYPART_ARC
(14,20),-0.493476 # DEPENDENCYPART_ARC
(14,21),-0.845748 # DEPENDENCYPART_ARC
(14,22),-0.085832 # DEPENDENCYPART_ARC
(14,23),0.859472 # DEPENDENCYPART_ARC
(14,24),-0.858753 # DEPENDENCYPART_ARC
(14,25),-1.14333 # DEPENDENCYPART_ARC
(14,26),-0.115388 # DEPENDENCYPART_ARC
(14,27),-0.876536 # DEPENDENCYPART_ARC
(14,28),-0.753386 # DEPENDENCYPART_ARC
(14,29),-2.76489 # DEPENDENCYPART_ARC
(14,30),1.77493 # DEPENDENCYPART_ARC
(16,1),-0.934782 # DEPENDENCYPART_ARC
(16,2),-0.206377 # DEPENDENCYPART_ARC
(16,3),-0.667478 # DEPENDENCYPART_ARC
(16,4),-0.533445 # DEPENDENCYPART_ARC
(16,5),-0.176884 # DEPENDENCYPART_ARC
(16,6),-0.891936 # DEPENDENCYPART_ARC
(16,7),-0.871906 # DEPENDENCYPART_ARC
(16,8),-0.866897 # DEPENDENCYPART_ARC
(16,9),0.385391 # DEPENDENCYPART_ARC
(16,10),1.28154 # DEPENDENCYPART_ARC
(16,11),-0.495391 # DEPENDENCYPART_ARC
(16,12),-0.179689 # DEPENDENCYPART_ARC
(16,13),-0.212522 # DEPENDENCYPART_ARC
(16,14),1.13407 # DEPENDENCYPART_ARC
(16,15),2.33023 # DEPENDENCYPART_ARC
(16,17),-0.0541989 # DEPENDENCYPART_ARC
(16,18),-0.163292 # DEPENDENCYPART_ARC
(16,19),0.75906 # DEPENDENCYPART_ARC
(16,20),-0.404461 # DEPENDENCYPART_ARC
(16,21),-0.826344 # DEPENDENCYPART_ARC
(16,22),0.675849 # DEPENDENCYPART_ARC
(16,23),0.866153 # DEPENDENCYPART_ARC
(16,24),-0.55783 # DEPENDENCYPART_ARC
(16,25),-0.0822089 # DEPENDENCYPART_ARC
(16,26),-0.299617 # DEPENDENCYPART_ARC
(16,27),0.488929 # DEPENDENCYPART_ARC
(16,28),-0.667804 # DEPENDENCYPART_ARC
(16,29),-1.02433 # DEPENDENCYPART_ARC
(16,30),3.10354 # DEPENDENCYPART_ARC
(17,2),-2.31541 # DEPENDENCYPART_ARC
(17,3),-3.58313 # DEPENDENCYPART_ARC
(17,4),-3.94028 # DEPENDENCYPART_ARC
(17,8),-3.43247 # DEPENDENCYPART_ARC
(17,9),-1.88189 # DEPENDENCYPART_ARC
(17,12),-3.02492 # DEPENDENCYPART_ARC
(17,13),-3.37362 # DEPENDENCYPART_ARC
(17,15),-0.955143 # DEPENDENCYPART_ARC
(17,16),-0.493255 # DEPENDENCYPART_ARC
(17,18),-0.575816 # DEPENDENCYPART_ARC
(17,19),-0.79261 # DEPENDENCYPART_ARC
(17,21),-1.30742 # DEPENDENCYPART_ARC
(17,22),-1.13843 # DEPENDENCYPART_ARC
(17,26),-1.29432 # DEPENDENCYPART_ARC
(17,27),-0.678365 # DEPENDENCYPART_ARC
(17,28),-1.46773 # DEPENDENCYPART_ARC
(17,29),-2.09906 # DEPENDENCYPART_ARC
(18,1),-3.75501 # DEPENDENCYPART_ARC
(18,2),-3.96109 # DEPENDENCYPART_ARC
(18,3),-5.83718 # DEPENDENCYPART_ARC
(18,4),-7.39832 # DEPENDENCYPART_ARC
(18,5),-2.36705 # DEPENDENCYPART_ARC
(18,6),-2.31429 # DEPENDENCYPART_ARC
(18,7),-2.23653 # DEPENDENCYPART_ARC
(18,8),-3.95441 # DEPENDENCYPART_ARC
(18,9),-2.57341 # DEPENDENCYPART_ARC
(18,10),-4.11926 # DEPENDENCYPART_ARC
(18,11),-1.0868 # DEPENDENCYPART_ARC
(18,12),-3.40768 # DEPENDENCYPART_ARC
(18,13),-4.15497 # DEPENDENCYPART_ARC
(18,14),-0.700103 # DEPENDENCYPART_ARC
(18,15),-0.985684 # DEPENDENCYPART_ARC
(18,16),-0.606553 # DEPENDENCYPART_ARC
(18,17),2.99201 # DEPENDENCYPART_ARC
(18,19),-1.33734 # DEPENDENCYPART_ARC
(18,20),-1.90732 # DEPENDENCYPART_ARC
(18,21),-2.57292 # DEPENDENCYPART_ARC
(18,22),-1.82176 # DEPENDENCYPART_ARC
(18,23),-2.63529 # DEPENDENCYPART_ARC
(18,24),-2.10221 # DEPENDENCYPART_ARC
(18,25),-1.7493 # DEPENDENCYPART_ARC
(18,26),-2.39624 # DEPENDENCYPART_ARC
(18,27),-1.6905 # DEPENDENCYPART_ARC
(18,28),-2.26031 # DEPENDENCYPART_ARC
(18,29),-3.34958 # DEPENDENCYPART_ARC
(18,30),-1.44591 # DEPENDENCYPART_ARC
(19,1),-1.49364 # DEPENDENCYPART_ARC
(19,2),-0.730041 # DEPENDENCYPART_ARC
(19,3),-1.36913 # DEPENDENCYPART_ARC
(19,4),-1.20348 # DEPENDENCYPART_ARC
(19,5),-1.25787 # DEPENDENCYPART_ARC
(19,6),-1.81822 # DEPENDENCYPART_ARC
(19,7),-1.84042 # DEPENDENCYPART_ARC
(19,8),-1.41717 # DEPENDENCYPART_ARC
(19,9),-0.582701 # DEPENDENCYPART_ARC
(19,10),0.075804 # DEPENDENCYPART_ARC
(19,11),-1.51012 # DEPENDENCYPART_ARC
(19,12),-0.974041 # DEPENDENCYPART_ARC
(19,13),-1.21459 # DEPENDENCYPART_ARC
(19,14),-1.12567 # DEPENDENCYPART_ARC
(19,15),0.706569 # DEPENDENCYPART_ARC
(19,16),0.441705 # DEPENDENCYPART_ARC
(19,17),-0.385609 # DEPENDENCYPART_ARC
(19,18),0.613508 # DEPENDENCYPART_ARC
(19,20),-0.261132 # DEPENDENCYPART_ARC
(19,21),0.515137 # DEPENDENCYPART_ARC
(19,22),0.0392997 # DEPENDENCYPART_ARC
(19,23),0.227174 # DEPENDENCYPART_ARC
(19,24),-0.682733 # DEPENDENCYPART_ARC
(19,25),-0.456503 # DEPENDENCYPART_ARC
(19,26),-0.633052 # DEPENDENCYPART_ARC
(19,27),0.0271138 # DEPENDENCYPART_ARC
(19,28),-0.904984 # DEPENDENCYPART_ARC
(19,29),-0.463457 # DEPENDENCYPART_ARC
(19,30),0.776144 # DEPENDENCYPART_ARC
(20,2),-2.30927 # DEPENDENCYPART_ARC
(20,3),-3.68537 # DEPENDENCYPART_ARC
(20,4),-4.0981 # DEPENDENCYPART_ARC
(20,8),-3.63339 # DEPENDENCYPART_ARC
(20,9),-2.08288 # DEPENDENCYPART_ARC
(20,12),-3.24155 # DEPENDENCYPART_ARC
(20,13),-3.70812 # DEPENDENCYPART_ARC
(20,15),-1.07126 # DEPENDENCYPART_ARC
(20,16),-1.41945 # DEPENDENCYPART_ARC
(20,18),-2.11061 # DEPENDENCYPART_ARC
