# _root_ ertzaintzaren_arabera , indar handiko suziri bat bota zioten , banketxearen eta goiko etxebizitza baten leihoak hautsiz .
#goldHeads=7,1,5,3,7,5,0,7,8,11,15,13,11,13,16,7,16,
#predictedHeads=7,1,5,3,7,5,0,7,8,11,13,11,15,13,16,7,16,
(0,4),(0,7),-0.0996171 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0321111 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.072892 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0649171 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.00489472 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.00489472 # DEPENDENCYPART_SIBL
(0,4),(0,14),0.0569866 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.00489472 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.098332 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0798058 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00105084 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.116006 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0592342 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.13484 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0509438 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.00733916 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.12616 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0578801 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.127294 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0723879 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0118007 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0118007 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0334393 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0118007 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.124874 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.134395 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0168029 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0367238 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.119869 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00316832 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.00316832 # DEPENDENCYPART_SIBL
(0,7),(0,14),0.0166874 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.00316832 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.111003 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.059536 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.071665 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0381846 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0122136 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.0122136 # DEPENDENCYPART_SIBL
(0,8),(0,14),0.0153755 # DEPENDENCYPART_SIBL
(0,8),(0,15),0.0122136 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0113974 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0802959 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.178956 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.293028 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.340789 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,14),0.0478309 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0223684 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.032339 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0473547 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0509438 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.00733916 # DEPENDENCYPART_SIBL
(0,12),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.00733866 # DEPENDENCYPART_SIBL
(0,13),(0,15),0.0509439 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.00588292 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.119998 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.132282 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.112279 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.174982 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0693041 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0552136 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.049334 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00751055 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.28917 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0956844 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.156211 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.155049 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0470035 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0192393 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0173979 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.007624 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.007624 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00306423 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0281692 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00198302 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00777462 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0159923 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0387217 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0627806 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0377602 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0037108 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00807652 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0980707 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0037108 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0316991 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0348371 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0598798 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00123042 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0393536 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0168731 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0278773 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0598798 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0598798 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0106984 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0598798 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0391258 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0285659 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.225879 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0539005 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0142475 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0747431 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0285659 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0285659 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.111286 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0285659 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0539005 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0476474 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0388783 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00264358 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00452895 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0167089 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0167089 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0105001 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0167089 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0370369 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0735991 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0270498 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0209756 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00922626 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00922626 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0252382 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00922626 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0735991 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0314651 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00415781 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0139861 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0139861 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0391456 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0139861 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0150722 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0291714 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0289408 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0289408 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0350752 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0289408 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0293028 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0179911 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0179911 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.104702 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0179911 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0240126 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0167089 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0105001 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0167089 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0370369 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0104996 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0167089 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0370371 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.000989551 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0824021 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0370369 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0492865 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0600481 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00922057 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0767939 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0087496 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0287177 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0265614 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0148369 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00907372 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.004624 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0514161 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00504306 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00692944 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.000702583 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0867024 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00366314 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0205816 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.027437 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.116911 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0420511 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.000292042 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0153488 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0562268 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0342394 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0562268 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0122209 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0562268 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0374452 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0822575 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00376518 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.004038 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0475896 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0117233 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00366496 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.017469 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0861164 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0131033 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0185068 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0430436 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0490714 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0137401 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0364666 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00929854 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0364684 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0570165 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0364666 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0204987 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.094253 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0270475 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0164365 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00677388 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0164415 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0252382 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0164415 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0735217 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.111541 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0361577 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0149714 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0361577 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0350769 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0361577 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0293835 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0549565 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.00858286 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.00745785 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0115872 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0074578 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0358696 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0887556 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.00388583 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.105415 # DEPENDENCYPART_SIBL
